time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,
0,6.13538,3.24559,0.212267,6.20707,3.26275,0.292328,6.12196,1.86,0.060369,6.17889,0.353295,-0.0266273,0,5.76372,1.86,0.312906,5.51221,0.672245,0.480484,0,5.59292,1.86,0.237453,5.21435,0.727071,0.338419,0,5.58441,1.86,0.445589,5.20722,0.748331,0.715738,0,5.53699,1.86,0.343886,5.13718,0.785392,0.527657,0,5.4914,1.86,0.624344,5.0533,0.780311,1.03061,0,5.63842,1.86,0.568602,5.29823,0.728789,0.943995,0,5.25145,1.86,0.531911,4.69594,0.893995,0.838782,0,6.03622,1.86,0.396668,6.02007,0.649801,0.640073,0,5.47621,1.86,0.489208,5.04567,0.821457,0.780276,0,5.90515,1.86,0.594346,5.78339,0.712954,0.995441,0,5.38772,1.86,0.608791,4.90744,0.854238,0.981591,0,5.72972,1.86,0.455068,5.45584,0.69684,0.741961,0,5.58435,1.86,0.126184,5.21393,0.765454,0.137177,0,5.34727,1.86,0.366249,4.84158,0.86206,0.55912,0,5.23018,1.86,0.381165,4.68038,0.925857,0.577187,0,6.0465,1.86,0.116279,6.03613,0.597851,0.107715,0,5.77203,1.86,0.0645411,5.52325,0.655044,0.0143045,0,6.00751,1.86,0.580449,5.96443,0.633547,0.990967,0,5.80654,1.86,0.203006,5.57606,0.603949,0.274558,0,5.69089,1.86,0.182829,5.40399,0.759359,0.239142,0,6.03841,1.86,0.28321,6.02502,0.661325,0.425523,0,5.26678,1.86,0.640417,4.74489,0.930275,1.01307,0,6.04423,1.86,0.0171107,6.03798,0.692385,-0.0697013,0,5.29391,1.86,0.0140978,4.78898,0.927682,-0.0416377,0,
0.0333341,6.10836,3.24756,0.21308,6.18078,3.26454,0.292978,6.12196,1.86,0.060369,6.19733,0.451656,-0.0150484,0,5.76372,1.86,0.312906,5.56839,0.817329,0.472927,0,5.59292,1.86,0.237453,5.28091,0.850226,0.338555,0,5.58441,1.86,0.445589,5.27383,0.869029,0.696775,0,5.53699,1.86,0.343886,5.20198,0.894487,0.519541,0,5.4914,1.86,0.624344,5.11953,0.879679,0.999723,0,5.63842,1.86,0.568602,5.35796,0.845312,0.91411,0,5.25145,1.86,0.531911,4.75675,0.957909,0.825423,0,6.03622,1.86,0.396668,6.04788,0.813571,0.619069,0,5.47621,1.86,0.489208,5.11079,0.920159,0.761605,0,5.90515,1.86,0.594346,5.82689,0.871937,0.951064,0,5.38772,1.86,0.608791,4.97394,0.940764,0.956485,0,5.72972,1.86,0.455068,5.5161,0.839874,0.717852,0,5.58435,1.86,0.126184,5.28052,0.887624,0.147562,0,5.34727,1.86,0.366249,4.90398,0.939611,0.553973,0,5.23018,1.86,0.381165,4.74712,0.99649,0.57007,0,6.0465,1.86,0.116279,6.06227,0.755626,0.118667,0,5.77203,1.86,0.0645411,5.57345,0.787172,0.0323158,0,6.00751,1.86,0.580449,5.99723,0.796048,0.949752,0,5.80654,1.86,0.203006,5.63612,0.771582,0.276648,0,5.69089,1.86,0.182829,5.46383,0.892713,0.244966,0,6.03841,1.86,0.28321,6.05178,0.82167,0.42072,0,5.26678,1.86,0.640417,4.79951,0.985258,0.99569,0,6.04423,1.86,0.0171107,6.064,0.853279,-0.0463715,0,5.29391,1.86,0.0140978,4.85131,0.999339,-0.0280508,0,
0.0666681,6.10836,3.24756,0.21308,6.1661,3.26531,0.293332,6.12196,1.86,0.060369,6.205,0.541027,-0.00636062,0,5.76372,1.86,0.312906,5.60505,0.92958,0.465099,0,5.59292,1.86,0.237453,5.32538,0.946924,0.337278,0,5.58441,1.86,0.445589,5.31543,0.958234,0.681983,0,5.53699,1.86,0.343886,5.24286,0.975565,0.512382,0,5.4914,1.86,0.624344,5.15704,0.949195,0.980656,0,5.63842,1.86,0.568602,5.39755,0.937288,0.890199,0,5.25145,1.86,0.531911,4.79676,1.01088,0.812613,0,6.03622,1.86,0.396668,6.0624,0.932607,0.603808,0,5.47621,1.86,0.489208,5.15412,0.998049,0.746685,0,5.90515,1.86,0.594346,5.85062,0.98095,0.922293,0,5.38772,1.86,0.608791,5.0066,0.994484,0.943735,0,5.72972,1.86,0.455068,5.55323,0.945404,0.699314,0,5.58435,1.86,0.126184,5.32308,0.979166,0.153481,0,5.34727,1.86,0.366249,4.94748,1.00452,0.546036,0,5.23018,1.86,0.381165,4.79044,1.05314,0.562034,0,6.0465,1.86,0.116279,6.0778,0.887288,0.129784,0,5.77203,1.86,0.0645411,5.61188,0.904886,0.0451459,0,6.00751,1.86,0.580449,6.01349,0.908303,0.919834,0,5.80654,1.86,0.203006,5.66785,0.881829,0.27756,0,5.69089,1.86,0.182829,5.50554,1.00186,0.247211,0,6.03841,1.86,0.28321,6.06789,0.955257,0.416144,0,5.26678,1.86,0.640417,4.83401,1.03238,0.983331,0,6.04423,1.86,0.0171107,6.07935,0.984393,-0.028018,0,5.29391,1.86,0.0140978,4.89832,1.06512,-0.0171269,0,
0.100002,6.08099,3.24865,0.212931,6.15422,3.26576,0.293613,6.12196,1.86,0.060369,6.21386,0.66969,0.00577235,0,5.76372,1.86,0.312906,5.64704,1.06201,0.456321,0,5.59292,1.86,0.237453,5.38003,1.0684,0.334283,0,5.58441,1.86,0.445589,5.36688,1.06999,0.662549,0,5.53699,1.86,0.343886,5.30152,1.09312,0.499242,0,5.4914,1.86,0.624344,5.21191,1.04961,0.949494,0,5.63842,1.86,0.568602,5.44699,1.05469,0.859484,0,5.25145,1.86,0.531911,4.85201,1.08555,0.795252,0,6.03622,1.86,0.396668,6.07922,1.07747,0.584068,0,5.47621,1.86,0.489208,5.20679,1.0943,0.727638,0,5.90515,1.86,0.594346,5.87844,1.10968,0.885638,0,5.38772,1.86,0.608791,5.05751,1.07452,0.920556,0,5.72972,1.86,0.455068,5.59628,1.07016,0.677803,0,5.58435,1.86,0.126184,5.37621,1.09534,0.160716,0,5.34727,1.86,0.366249,5.00665,1.09497,0.534645,0,5.23018,1.86,0.381165,4.84766,1.12947,0.552583,0,6.0465,1.86,0.116279,6.09558,1.05655,0.144313,0,5.77203,1.86,0.0645411,5.65531,1.04452,0.0593625,0,6.00751,1.86,0.580449,6.03303,1.04649,0.882661,0,5.80654,1.86,0.203006,5.71397,1.0433,0.278258,0,5.69089,1.86,0.182829,5.5496,1.12102,0.248403,0,6.03841,1.86,0.28321,6.08334,1.09524,0.407332,0,5.26678,1.86,0.640417,4.8858,1.10268,0.961461,0,6.04423,1.86,0.0171107,6.09472,1.12896,-0.00699699,0,5.29391,1.86,0.0140978,4.96055,1.15483,-0.00390291,0,
0.133336,6.05454,3.24927,0.212788,6.13945,3.26618,0.293956,6.12196,1.86,0.060369,6.2053,1.34634,0.0804278,0,5.76372,1.86,0.312906,5.74152,1.45371,0.424137,0,5.59292,1.86,0.237453,5.5208,1.45622,0.32595,0,5.58441,1.86,0.445589,5.50297,1.43727,0.599674,0,5.53699,1.86,0.343886,5.45895,1.48244,0.460256,0,5.4914,1.86,0.624344,5.37583,1.42408,0.836685,0,5.63842,1.86,0.568602,5.5717,1.4327,0.762376,0,5.25145,1.86,0.531911,5.06453,1.43392,0.71388,0,6.03622,1.86,0.396668,6.09577,1.44628,0.533016,0,5.47621,1.86,0.489208,5.35957,1.43447,0.657209,0,5.90515,1.86,0.594346,5.92571,1.44695,0.790209,0,5.38772,1.86,0.608791,5.22704,1.40133,0.823654,0,5.72972,1.86,0.455068,5.69686,1.44842,0.609489,0,5.58435,1.86,0.126184,5.51343,1.46559,0.181607,0,5.34727,1.86,0.366249,5.19721,1.44802,0.494278,0,5.23018,1.86,0.381165,5.05976,1.46892,0.508566,0,6.0465,1.86,0.116279,6.1107,1.49083,0.170975,0,5.77203,1.86,0.0645411,5.75757,1.48157,0.104002,0,6.00751,1.86,0.580449,6.05638,1.40903,0.784768,0,5.80654,1.86,0.203006,5.80418,1.47728,0.280043,0,5.69089,1.86,0.182829,5.65017,1.4631,0.254424,0,6.03841,1.86,0.28321,6.09831,1.44533,0.38763,0,5.26678,1.86,0.640417,5.08888,1.43993,0.855006,0,6.04423,1.86,0.0171107,6.1096,1.51218,0.0449666,0,5.29391,1.86,0.0140978,5.19409,1.55886,0.0516993,0,
0.16667,6.05454,3.24927,0.212788,6.12855,3.26646,0.294208,6.12196,1.86,0.060369,6.20704,1.30963,0.0707369,0,5.76372,1.86,0.312906,5.75209,1.48285,0.422255,0,5.59292,1.86,0.237453,5.53225,1.47749,0.325068,0,5.58441,1.86,0.445589,5.51695,1.46446,0.594268,0,5.53699,1.86,0.343886,5.45963,1.47272,0.461221,0,5.4914,1.86,0.624344,5.3879,1.44257,0.830948,0,5.63842,1.86,0.568602,5.58721,1.46712,0.752643,0,5.25145,1.86,0.531911,5.08492,1.46033,0.707608,0,6.03622,1.86,0.396668,6.10045,1.44471,0.532083,0,5.47621,1.86,0.489208,5.3598,1.4231,0.6588,0,5.90515,1.86,0.594346,5.93176,1.44785,0.788565,0,5.38772,1.86,0.608791,5.22519,1.38829,0.827493,0,5.72972,1.86,0.455068,5.70908,1.48054,0.603322,0,5.58435,1.86,0.126184,5.51675,1.46049,0.180804,0,5.34727,1.86,0.366249,5.21097,1.46607,0.49198,0,5.23018,1.86,0.381165,5.05614,1.45682,0.510249,0,6.0465,1.86,0.116279,6.11525,1.51716,0.172471,0,5.77203,1.86,0.0645411,5.7687,1.5131,0.106435,0,6.00751,1.86,0.580449,6.06349,1.4555,0.770133,0,5.80654,1.86,0.203006,5.81363,1.50577,0.278752,0,5.69089,1.86,0.182829,5.65513,1.4635,0.254545,0,6.03841,1.86,0.28321,6.10303,1.44367,0.386425,0,5.26678,1.86,0.640417,5.10841,1.46552,0.84771,0,6.04423,1.86,0.0171107,6.11359,1.51022,0.0439869,0,5.29391,1.86,0.0140978,5.18867,1.54867,0.0545332,0,
0.200004,6.0442,3.24941,0.213084,6.11849,3.26654,0.294434,6.12196,1.86,0.060369,6.21084,1.31184,0.068137,0,5.76372,1.86,0.312906,5.75758,1.49018,0.419093,0,5.59292,1.86,0.237453,5.54346,1.50036,0.322929,0,5.58441,1.86,0.445589,5.52799,1.4867,0.589099,0,5.53699,1.86,0.343886,5.47475,1.50461,0.455801,0,5.4914,1.86,0.624344,5.40341,1.47386,0.820756,0,5.63842,1.86,0.568602,5.59578,1.48406,0.745872,0,5.25145,1.86,0.531911,5.10874,1.498,0.697996,0,6.03622,1.86,0.396668,6.10435,1.4447,0.5305,0,5.47621,1.86,0.489208,5.37852,1.45954,0.650508,0,5.90515,1.86,0.594346,5.93587,1.44868,0.78704,0,5.38772,1.86,0.608791,5.24803,1.4291,0.814784,0,5.72972,1.86,0.455068,5.71431,1.49016,0.600189,0,5.58435,1.86,0.126184,5.52903,1.48551,0.180817,0,5.34727,1.86,0.366249,5.23327,1.50412,0.486432,0,5.23018,1.86,0.381165,5.08612,1.50269,0.503146,0,6.0465,1.86,0.116279,6.11922,1.51783,0.172013,0,5.77203,1.86,0.0645411,5.77286,1.52085,0.106253,0,6.00751,1.86,0.580449,6.06762,1.45521,0.769353,0,5.80654,1.86,0.203006,5.81717,1.51115,0.277851,0,5.69089,1.86,0.182829,5.66179,1.47678,0.249752,0,6.03841,1.86,0.28321,6.10697,1.44381,0.38418,0,5.26678,1.86,0.640417,5.13036,1.50255,0.834902,0,6.04423,1.86,0.0171107,6.11824,1.51104,0.042133,0,5.29391,1.86,0.0140978,5.21171,1.5882,0.0572857,0,
0.233338,6.01687,3.24976,0.213868,6.09194,3.2667,0.29503,6.12196,1.86,0.060369,6.2128,1.41313,0.0769854,0,5.76372,1.86,0.312906,5.78759,1.61425,0.408267,0,5.59292,1.86,0.237453,5.58842,1.62213,0.318112,0,5.58441,1.86,0.445589,5.57242,1.60503,0.564793,0,5.53699,1.86,0.343886,5.54166,1.67462,0.437279,0,5.4914,1.86,0.624344,5.44878,1.57528,0.787283,0,5.63842,1.86,0.568602,5.63025,1.58905,0.717991,0,5.25145,1.86,0.531911,5.18025,1.61022,0.667484,0,6.03622,1.86,0.396668,6.10956,1.63484,0.503509,0,5.47621,1.86,0.489208,5.45935,1.64461,0.609699,0,5.90515,1.86,0.594346,5.95682,1.63319,0.734304,0,5.38772,1.86,0.608791,5.34567,1.62089,0.754255,0,5.72972,1.86,0.455068,5.73865,1.58343,0.581972,0,5.58435,1.86,0.126184,5.61131,1.71361,0.193328,0,5.34727,1.86,0.366249,5.30879,1.63838,0.465906,0,5.23018,1.86,0.381165,5.20216,1.68711,0.475496,0,6.0465,1.86,0.116279,6.12425,1.64836,0.179871,0,5.77203,1.86,0.0645411,5.79763,1.62438,0.115117,0,6.00751,1.86,0.580449,6.07216,1.5549,0.741639,0,5.80654,1.86,0.203006,5.8334,1.59224,0.275112,0,5.69089,1.86,0.182829,5.71078,1.6531,0.253152,0,6.03841,1.86,0.28321,6.11167,1.63086,0.374941,0,5.26678,1.86,0.640417,5.1951,1.60376,0.797549,0,6.04423,1.86,0.0171107,6.12187,1.69427,0.0666727,0,5.29391,1.86,0.0140978,5.2712,1.68598,0.0669703,0,
0.266672,6.01687,3.24976,0.213868,6.07716,3.26653,0.295352,6.12196,1.86,0.060369,6.22613,1.41125,0.0765161,0,5.76372,1.86,0.312906,5.80362,1.60765,0.408198,0,5.59292,1.86,0.237453,5.60067,1.60923,0.320527,0,5.58441,1.86,0.445589,5.58614,1.59178,0.569767,0,5.53699,1.86,0.343886,5.54941,1.65526,0.442123,0,5.4914,1.86,0.624344,5.46084,1.55981,0.794827,0,5.63842,1.86,0.568602,5.64721,1.57734,0.721447,0,5.25145,1.86,0.531911,5.18634,1.58042,0.676611,0,6.03622,1.86,0.396668,6.12485,1.63394,0.504666,0,5.47621,1.86,0.489208,5.46691,1.61838,0.618125,0,5.90515,1.86,0.594346,5.97168,1.6312,0.737857,0,5.38772,1.86,0.608791,5.34918,1.5889,0.76545,0,5.72972,1.86,0.455068,5.75504,1.57628,0.584988,0,5.58435,1.86,0.126184,5.62008,1.69459,0.194319,0,5.34727,1.86,0.366249,5.31388,1.61539,0.474458,0,5.23018,1.86,0.381165,5.19801,1.64376,0.482007,0,6.0465,1.86,0.116279,6.13704,1.64692,0.181839,0,5.77203,1.86,0.0645411,5.80731,1.61955,0.118206,0,6.00751,1.86,0.580449,6.08849,1.55375,0.741972,0,5.80654,1.86,0.203006,5.84796,1.58785,0.276531,0,5.69089,1.86,0.182829,5.72239,1.64146,0.254892,0,6.03841,1.86,0.28321,6.12619,1.62988,0.377685,0,5.26678,1.86,0.640417,5.20215,1.5804,0.806932,0,6.04423,1.86,0.0171107,6.13431,1.69292,0.0673977,0,5.29391,1.86,0.0140978,5.27751,1.66631,0.0680142,0,
0.300007,5.98958,3.25048,0.213693,6.06543,3.26744,0.295645,6.12196,1.86,0.060369,6.2151,1.46693,0.083913,0,5.76372,1.86,0.312906,5.80881,1.68063,0.401396,0,5.59292,1.86,0.237453,5.61363,1.68054,0.319049,0,5.58441,1.86,0.445589,5.60414,1.6776,0.556393,0,5.53699,1.86,0.343886,5.54731,1.68084,0.438918,0,5.4914,1.86,0.624344,5.47962,1.63701,0.771571,0,5.63842,1.86,0.568602,5.66132,1.66511,0.700422,0,5.25145,1.86,0.531911,5.20529,1.6421,0.663345,0,6.03622,1.86,0.396668,6.11606,1.67857,0.499267,0,5.47621,1.86,0.489208,5.47117,1.65465,0.608932,0,5.90515,1.86,0.594346,5.96686,1.67279,0.726768,0,5.38772,1.86,0.608791,5.35972,1.63474,0.752771,0,5.72972,1.86,0.455068,5.76221,1.64921,0.573166,0,5.58435,1.86,0.126184,5.63244,1.75976,0.198167,0,5.34727,1.86,0.366249,5.32373,1.65587,0.466678,0,5.23018,1.86,0.381165,5.22639,1.71312,0.472794,0,6.0465,1.86,0.116279,6.12981,1.69912,0.186176,0,5.77203,1.86,0.0645411,5.80982,1.66027,0.121419,0,6.00751,1.86,0.580449,6.07964,1.60097,0.731786,0,5.80654,1.86,0.203006,5.85058,1.64554,0.278512,0,5.69089,1.86,0.182829,5.73149,1.70463,0.257047,0,6.03841,1.86,0.28321,6.11857,1.67852,0.373359,0,5.26678,1.86,0.640417,5.24235,1.67824,0.777151,0,6.04423,1.86,0.0171107,6.12732,1.73158,0.0693613,0,5.29391,1.86,0.0140978,5.28849,1.70543,0.0707949,0,
0.333341,5.97842,3.25063,0.213132,6.05551,3.26769,0.295875,6.12196,1.86,0.060369,6.21728,1.50364,0.0868705,0,5.76372,1.86,0.312906,5.82042,1.7173,0.402532,0,5.59292,1.86,0.237453,5.63011,1.71267,0.317412,0,5.58441,1.86,0.445589,5.6188,1.70685,0.550871,0,5.53699,1.86,0.343886,5.55091,1.66847,0.439842,0,5.4914,1.86,0.624344,5.49334,1.65831,0.765858,0,5.63842,1.86,0.568602,5.66943,1.6852,0.69559,0,5.25145,1.86,0.531911,5.2387,1.69309,0.651269,0,6.03622,1.86,0.396668,6.12252,1.71823,0.493599,0,5.47621,1.86,0.489208,5.47352,1.63739,0.612147,0,5.90515,1.86,0.594346,5.97378,1.67236,0.725512,0,5.38772,1.86,0.608791,5.35741,1.61438,0.758322,0,5.72972,1.86,0.455068,5.77743,1.69142,0.563489,0,5.58435,1.86,0.126184,5.64409,1.78015,0.198922,0,5.34727,1.86,0.366249,5.32095,1.63469,0.470304,0,5.23018,1.86,0.381165,5.21396,1.67977,0.477161,0,6.0465,1.86,0.116279,6.13331,1.72785,0.186421,0,5.77203,1.86,0.0645411,5.82148,1.69371,0.124387,0,6.00751,1.86,0.580449,6.08672,1.64341,0.719277,0,5.80654,1.86,0.203006,5.86205,1.68432,0.278781,0,5.69089,1.86,0.182829,5.73654,1.69962,0.256218,0,6.03841,1.86,0.28321,6.12559,1.72347,0.36616,0,5.26678,1.86,0.640417,5.24938,1.68078,0.775921,0,6.04423,1.86,0.0171107,6.13292,1.73007,0.0690466,0,5.29391,1.86,0.0140978,5.28466,1.68569,0.0671551,0,
0.366675,5.95136,3.25123,0.2131,6.04047,3.26803,0.296221,6.12196,1.86,0.060369,6.21518,1.5268,0.0880391,0,5.76372,1.86,0.312906,5.82715,1.74558,0.399977,0,5.59292,1.86,0.237453,5.64233,1.74649,0.316874,0,5.58441,1.86,0.445589,5.62638,1.73272,0.54818,0,5.53699,1.86,0.343886,5.55364,1.6733,0.439365,0,5.4914,1.86,0.624344,5.50856,1.69269,0.756138,0,5.63842,1.86,0.568602,5.68,1.71402,0.688605,0,5.25145,1.86,0.531911,5.25986,1.72805,0.643283,0,6.03622,1.86,0.396668,6.12333,1.74382,0.490284,0,5.47621,1.86,0.489208,5.51682,1.75476,0.591228,0,5.90515,1.86,0.594346,5.97829,1.72175,0.713429,0,5.38772,1.86,0.608791,5.41055,1.73266,0.725881,0,5.72972,1.86,0.455068,5.78088,1.71457,0.561889,0,5.58435,1.86,0.126184,5.65321,1.80473,0.200109,0,5.34727,1.86,0.366249,5.37069,1.74187,0.459851,0,5.23018,1.86,0.381165,5.22358,1.69151,0.47688,0,6.0465,1.86,0.116279,6.13414,1.75007,0.187958,0,5.77203,1.86,0.0645411,5.8249,1.71328,0.128107,0,6.00751,1.86,0.580449,6.08642,1.66563,0.714645,0,5.80654,1.86,0.203006,5.86734,1.71123,0.280151,0,5.69089,1.86,0.182829,5.75127,1.75604,0.259021,0,6.03841,1.86,0.28321,6.12734,1.75584,0.36381,0,5.26678,1.86,0.640417,5.27214,1.71967,0.764055,0,6.04423,1.86,0.0171107,6.13267,1.76828,0.0741722,0,5.29391,1.86,0.0140978,5.29072,1.69217,0.0697915,0,
0.400009,5.95136,3.25123,0.2131,6.02829,3.26837,0.296504,6.12196,1.86,0.060369,6.21714,1.54364,0.0914342,0,5.76372,1.86,0.312906,5.83078,1.74551,0.398428,0,5.59292,1.86,0.237453,5.64673,1.74642,0.315275,0,5.58441,1.86,0.445589,5.62666,1.73266,0.546065,0,5.53699,1.86,0.343886,5.55517,1.67299,0.43593,0,5.4914,1.86,0.624344,5.50991,1.69295,0.752828,0,5.63842,1.86,0.568602,5.6783,1.71495,0.683798,0,5.25145,1.86,0.531911,5.26114,1.73328,0.639738,0,6.03622,1.86,0.396668,6.12525,1.7436,0.488073,0,5.47621,1.86,0.489208,5.51459,1.74088,0.58948,0,5.90515,1.86,0.594346,5.97926,1.72111,0.710889,0,5.38772,1.86,0.608791,5.40553,1.71722,0.725915,0,5.72972,1.86,0.455068,5.78242,1.71377,0.558171,0,5.58435,1.86,0.126184,5.65438,1.80587,0.196412,0,5.34727,1.86,0.366249,5.36337,1.72449,0.455861,0,5.23018,1.86,0.381165,5.22218,1.69124,0.471998,0,6.0465,1.86,0.116279,6.13546,1.76138,0.187093,0,5.77203,1.86,0.0645411,5.83095,1.72858,0.125019,0,6.00751,1.86,0.580449,6.08542,1.66492,0.711944,0,5.80654,1.86,0.203006,5.87014,1.72363,0.279136,0,5.69089,1.86,0.182829,5.74952,1.75571,0.253997,0,6.03841,1.86,0.28321,6.12839,1.75572,0.361089,0,5.26678,1.86,0.640417,5.27212,1.7175,0.760469,0,6.04423,1.86,0.0171107,6.13515,1.76822,0.0737006,0,5.29391,1.86,0.0140978,5.29168,1.69327,0.065771,0,
0.433343,5.92441,3.2518,0.213877,6.00205,3.26882,0.297104,6.12196,1.86,0.060369,6.21238,1.54254,0.0894873,0,5.76372,1.86,0.312906,5.82438,1.74411,0.39599,0,5.59292,1.86,0.237453,5.64107,1.74598,0.31482,0,5.58441,1.86,0.445589,5.62319,1.72915,0.542933,0,5.53699,1.86,0.343886,5.55038,1.6697,0.435457,0,5.4914,1.86,0.624344,5.5044,1.69058,0.751276,0,5.63842,1.86,0.568602,5.67474,1.71151,0.684932,0,5.25145,1.86,0.531911,5.25477,1.73023,0.63954,0,6.03622,1.86,0.396668,6.11819,1.74291,0.487631,0,5.47621,1.86,0.489208,5.50961,1.74671,0.586572,0,5.90515,1.86,0.594346,5.97356,1.71964,0.709824,0,5.38772,1.86,0.608791,5.40257,1.72436,0.722554,0,5.72972,1.86,0.455068,5.77661,1.71214,0.557931,0,5.58435,1.86,0.126184,5.64842,1.80352,0.198002,0,5.34727,1.86,0.366249,5.3641,1.73087,0.454135,0,5.23018,1.86,0.381165,5.21496,1.68374,0.472076,0,6.0465,1.86,0.116279,6.12954,1.75746,0.18584,0,5.77203,1.86,0.0645411,5.82568,1.72703,0.125082,0,6.00751,1.86,0.580449,6.0819,1.66425,0.711407,0,5.80654,1.86,0.203006,5.86381,1.72204,0.278135,0,5.69089,1.86,0.182829,5.74346,1.75357,0.252412,0,6.03841,1.86,0.28321,6.12218,1.75511,0.360212,0,5.26678,1.86,0.640417,5.26729,1.71762,0.759432,0,6.04423,1.86,0.0171107,6.12824,1.76798,0.0730349,0,5.29391,1.86,0.0140978,5.28456,1.68867,0.0645702,0,
0.466677,5.91386,3.25198,0.21418,5.98694,3.269,0.297445,6.12196,1.86,0.060369,6.21364,1.56545,0.0915449,0,5.76372,1.86,0.312906,5.83032,1.77311,0.3936,0,5.59292,1.86,0.237453,5.65122,1.77883,0.314923,0,5.58441,1.86,0.445589,5.62838,1.75087,0.542136,0,5.53699,1.86,0.343886,5.57654,1.75553,0.428529,0,5.4914,1.86,0.624344,5.51517,1.71702,0.744678,0,5.63842,1.86,0.568602,5.68031,1.73205,0.680342,0,5.25145,1.86,0.531911,5.26936,1.75253,0.634887,0,6.03622,1.86,0.396668,6.11769,1.76011,0.486887,0,5.47621,1.86,0.489208,5.52542,1.78186,0.580396,0,5.90515,1.86,0.594346,5.97767,1.75204,0.701456,0,5.38772,1.86,0.608791,5.4158,1.75136,0.71546,0,5.72972,1.86,0.455068,5.78228,1.73413,0.556359,0,5.58435,1.86,0.126184,5.65411,1.82108,0.199173,0,5.34727,1.86,0.366249,5.38425,1.77395,0.450221,0,5.23018,1.86,0.381165,5.27276,1.79578,0.46072,0,6.0465,1.86,0.116279,6.13087,1.77186,0.187384,0,5.77203,1.86,0.0645411,5.83173,1.74834,0.128624,0,6.00751,1.86,0.580449,6.08356,1.68714,0.706743,0,5.80654,1.86,0.203006,5.86846,1.73879,0.279373,0,5.69089,1.86,0.182829,5.75037,1.77639,0.2541,0,6.03841,1.86,0.28321,6.12263,1.78007,0.36071,0,5.26678,1.86,0.640417,5.28109,1.74027,0.752591,0,6.04423,1.86,0.0171107,6.12695,1.78681,0.0762025,0,5.29391,1.86,0.0140978,5.32961,1.78133,0.0797954,0,
