time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,
0,-1.51859,3.2084,0.296926,-1.32508,3.31127,0.461314,-1.93541,1.86,0.583108,-2.06018,0.933261,0.966021,0,-1.76244,1.86,0.662277,-1.74544,0.986795,1.09114,0,-1.50508,1.86,0.579278,-1.30042,0.85003,0.976695,0,-1.83169,1.86,0.510711,-1.85861,1.01361,0.825604,0,-1.86692,1.86,0.670439,-1.9285,0.975417,1.10836,0,-1.47917,1.86,0.266475,-1.25491,0.91121,0.407113,0,-1.93529,1.86,0.433128,-2.06398,0.920278,0.70283,0,-1.73923,1.86,0.187954,-1.703,1.00167,0.274662,0,-1.55835,1.86,0.165427,-1.39258,1.02194,0.238053,0,-1.95484,1.86,0.29977,-2.06225,1.03273,0.466119,0,-2.02691,1.86,0.664504,-2.18051,1.04212,1.0799,0,-1.60162,1.86,0.49112,-1.46749,0.998309,0.794424,0,-1.83075,1.86,0.411478,-1.85946,1.00293,0.657418,0,-2.05975,1.86,0.3241,-2.2426,1.02511,0.507387,0,-1.95258,1.86,0.102645,-2.03361,1.10985,0.144125,0,-1.65005,1.86,0.65293,-1.54781,1.0266,1.06452,0,-1.36337,1.86,0.0907698,-1.06272,1.03221,0.112868,0,-2.12352,1.86,0.504536,-2.35848,1.00778,0.815978,0,-1.79349,1.86,0.273431,-1.80085,0.977619,0.420652,0,-1.68124,1.86,0.320023,-1.60374,1.0011,0.500886,0,-1.57568,1.86,0.272424,-1.42336,0.989814,0.41913,0,
0.0333341,-1.54562,3.20972,0.297179,-1.3524,3.3133,0.461995,-1.93541,1.86,0.583108,-2.02701,1.04911,0.941676,0,-1.76244,1.86,0.662277,-1.72487,1.1182,1.0534,0,-1.50508,1.86,0.579278,-1.30101,1.06936,0.930787,0,-1.83169,1.86,0.510711,-1.83346,1.14259,0.804604,0,-1.86692,1.86,0.670439,-1.90372,1.08888,1.07645,0,-1.47917,1.86,0.266475,-1.26262,1.08992,0.409611,0,-1.93529,1.86,0.433128,-2.02969,1.04701,0.689935,0,-1.73923,1.86,0.187954,-1.68181,1.1564,0.287235,0,-1.55835,1.86,0.165427,-1.39209,1.18683,0.252674,0,-1.95484,1.86,0.29977,-2.02683,1.15705,0.46678,0,-2.02691,1.86,0.664504,-2.15394,1.12899,1.05744,0,-1.60162,1.86,0.49112,-1.46316,1.13313,0.775151,0,-1.83075,1.86,0.411478,-1.8429,1.11099,0.644936,0,-2.05975,1.86,0.3241,-2.20319,1.13497,0.506124,0,-1.95258,1.86,0.102645,-2.00325,1.22339,0.160857,0,-1.65005,1.86,0.65293,-1.54028,1.15311,1.02966,0,-1.36337,1.86,0.0907698,-1.08379,1.16328,0.131704,0,-2.12352,1.86,0.504536,-2.31487,1.11555,0.798871,0,-1.79349,1.86,0.273431,-1.77985,1.10321,0.420536,0,-1.68124,1.86,0.320023,-1.58814,1.15881,0.497501,0,-1.57568,1.86,0.272424,-1.42065,1.15089,0.416406,0,
0.0666681,-1.54562,3.20972,0.297179,-1.36759,3.31446,0.462375,-1.93541,1.86,0.583108,-1.99407,1.13599,0.921673,0,-1.76244,1.86,0.662277,-1.70154,1.21545,1.0254,0,-1.50508,1.86,0.579278,-1.2989,1.16527,0.909636,0,-1.83169,1.86,0.510711,-1.80512,1.23976,0.78753,0,-1.86692,1.86,0.670439,-1.86953,1.19257,1.04592,0,-1.47917,1.86,0.266475,-1.26006,1.22388,0.412582,0,-1.93529,1.86,0.433128,-1.97839,1.1825,0.674551,0,-1.73923,1.86,0.187954,-1.65464,1.28234,0.295808,0,-1.55835,1.86,0.165427,-1.38203,1.31558,0.265212,0,-1.95484,1.86,0.29977,-1.98468,1.26538,0.464835,0,-2.02691,1.86,0.664504,-2.11032,1.22253,1.02928,0,-1.60162,1.86,0.49112,-1.45126,1.23594,0.760149,0,-1.83075,1.86,0.411478,-1.8125,1.21253,0.634627,0,-2.05975,1.86,0.3241,-2.15608,1.23365,0.502374,0,-1.95258,1.86,0.102645,-1.96999,1.30964,0.171842,0,-1.65005,1.86,0.65293,-1.52055,1.27791,0.996407,0,-1.36337,1.86,0.0907698,-1.0923,1.31339,0.154543,0,-2.12352,1.86,0.504536,-2.26191,1.21485,0.782553,0,-1.79349,1.86,0.273431,-1.74426,1.23746,0.421319,0,-1.68124,1.86,0.320023,-1.56637,1.28589,0.495203,0,-1.57568,1.86,0.272424,-1.40701,1.29675,0.418861,0,
0.100002,-1.57226,3.21111,0.297386,-1.37899,3.31537,0.462662,-1.93541,1.86,0.583108,-1.94849,1.24466,0.897904,0,-1.76244,1.86,0.662277,-1.67748,1.29859,1.00405,0,-1.50508,1.86,0.579278,-1.29007,1.26608,0.88962,0,-1.83169,1.86,0.510711,-1.77935,1.31455,0.775858,0,-1.86692,1.86,0.670439,-1.83878,1.276,1.02393,0,-1.47917,1.86,0.266475,-1.25493,1.31524,0.416677,0,-1.93529,1.86,0.433128,-1.93566,1.28911,0.665174,0,-1.73923,1.86,0.187954,-1.63077,1.3771,0.304792,0,-1.55835,1.86,0.165427,-1.37082,1.41624,0.27687,0,-1.95484,1.86,0.29977,-1.94835,1.34994,0.465907,0,-2.02691,1.86,0.664504,-2.07235,1.29809,1.00975,0,-1.60162,1.86,0.49112,-1.43525,1.34061,0.746144,0,-1.83075,1.86,0.411478,-1.78337,1.29851,0.628704,0,-2.05975,1.86,0.3241,-2.11538,1.31157,0.502062,0,-1.95258,1.86,0.102645,-1.93641,1.38541,0.184316,0,-1.65005,1.86,0.65293,-1.50326,1.37009,0.973183,0,-1.36337,1.86,0.0907698,-1.09397,1.37536,0.164442,0,-2.12352,1.86,0.504536,-2.21076,1.30469,0.770038,0,-1.79349,1.86,0.273431,-1.70504,1.37764,0.427209,0,-1.68124,1.86,0.320023,-1.54376,1.39854,0.494463,0,-1.57568,1.86,0.272424,-1.3956,1.38998,0.42134,0,
0.133336,-1.58293,3.2117,0.297077,-1.38956,3.31619,0.462927,-1.93541,1.86,0.583108,-1.90679,1.34822,0.875508,0,-1.76244,1.86,0.662277,-1.65009,1.3967,0.975763,0,-1.50508,1.86,0.579278,-1.28132,1.40563,0.858566,0,-1.83169,1.86,0.510711,-1.74715,1.41092,0.759523,0,-1.86692,1.86,0.670439,-1.80639,1.3642,0.996974,0,-1.47917,1.86,0.266475,-1.24924,1.40658,0.418513,0,-1.93529,1.86,0.433128,-1.89834,1.3813,0.654701,0,-1.73923,1.86,0.187954,-1.61263,1.44538,0.308248,0,-1.55835,1.86,0.165427,-1.36024,1.50977,0.285823,0,-1.95484,1.86,0.29977,-1.92103,1.41098,0.465544,0,-2.02691,1.86,0.664504,-2.03505,1.37148,0.987863,0,-1.60162,1.86,0.49112,-1.41927,1.45586,0.727681,0,-1.83075,1.86,0.411478,-1.7493,1.40317,0.617891,0,-2.05975,1.86,0.3241,-2.06871,1.40226,0.49852,0,-1.95258,1.86,0.102645,-1.88816,1.50209,0.19934,0,-1.65005,1.86,0.65293,-1.48946,1.43726,0.955005,0,-1.36337,1.86,0.0907698,-1.09609,1.481,0.180245,0,-2.12352,1.86,0.504536,-2.15404,1.40669,0.750684,0,-1.79349,1.86,0.273431,-1.68151,1.46079,0.426769,0,-1.68124,1.86,0.320023,-1.52306,1.50393,0.491758,0,-1.57568,1.86,0.272424,-1.38817,1.43477,0.422561,0,
0.16667,-1.61008,3.2132,0.297346,-1.40489,3.3174,0.463312,-1.93541,1.86,0.583108,-1.72236,2.04781,0.727181,0,-1.76244,1.86,0.662277,-1.56952,1.98703,0.816611,0,-1.50508,1.86,0.579278,-1.31149,1.95353,0.744595,0,-1.83169,1.86,0.510711,-1.63427,2.00814,0.665586,0,-1.86692,1.86,0.670439,-1.66541,2.02044,0.816936,0,-1.47917,1.86,0.266475,-1.28727,1.94447,0.430008,0,-1.93529,1.86,0.433128,-1.72233,2.05236,0.587363,0,-1.73923,1.86,0.187954,-1.55118,1.96292,0.349596,0,-1.55835,1.86,0.165427,-1.36743,1.99131,0.332066,0,-1.95484,1.86,0.29977,-1.7543,2.00913,0.463768,0,-2.02691,1.86,0.664504,-1.81097,2.04621,0.804816,0,-1.60162,1.86,0.49112,-1.41096,1.9799,0.652631,0,-1.83075,1.86,0.411478,-1.627,2.0457,0.565049,0,-2.05975,1.86,0.3241,-1.82976,2.07573,0.485085,0,-1.95258,1.86,0.102645,-1.72061,2.10771,0.285887,0,-1.65005,1.86,0.65293,-1.45971,1.97869,0.811836,0,-1.36337,1.86,0.0907698,-1.17386,1.971,0.254414,0,-2.12352,1.86,0.504536,-1.87774,2.09992,0.645373,0,-1.79349,1.86,0.273431,-1.58879,2.04921,0.437773,0,-1.68124,1.86,0.320023,-1.4845,2.02492,0.482535,0,-1.57568,1.86,0.272424,-1.38681,1.94028,0.432378,0,
0.200004,-1.61008,3.2132,0.297346,-1.41695,3.31839,0.463616,-1.93541,1.86,0.583108,-1.75401,1.91368,0.755934,0,-1.76244,1.86,0.662277,-1.56882,1.98215,0.815942,0,-1.50508,1.86,0.579278,-1.30836,1.94184,0.744972,0,-1.83169,1.86,0.510711,-1.6354,2.00175,0.664543,0,-1.86692,1.86,0.670439,-1.68376,1.90921,0.845564,0,-1.47917,1.86,0.266475,-1.28276,1.93035,0.426617,0,-1.93529,1.86,0.433128,-1.75585,1.91333,0.598241,0,-1.73923,1.86,0.187954,-1.54783,1.95892,0.347134,0,-1.55835,1.86,0.165427,-1.36461,1.98295,0.329119,0,-1.95484,1.86,0.29977,-1.75583,1.99459,0.461778,0,-2.02691,1.86,0.664504,-1.81772,2.03164,0.806302,0,-1.60162,1.86,0.49112,-1.40665,1.9733,0.650468,0,-1.83075,1.86,0.411478,-1.62545,2.03871,0.563209,0,-2.05975,1.86,0.3241,-1.87305,1.94104,0.485349,0,-1.95258,1.86,0.102645,-1.72254,2.09624,0.283003,0,-1.65005,1.86,0.65293,-1.45586,1.97367,0.811006,0,-1.36337,1.86,0.0907698,-1.16444,1.94583,0.249006,0,-2.12352,1.86,0.504536,-1.92806,1.96392,0.665499,0,-1.79349,1.86,0.273431,-1.60018,1.94721,0.433649,0,-1.68124,1.86,0.320023,-1.48204,2.02042,0.480194,0,-1.57568,1.86,0.272424,-1.38298,1.93267,0.429634,0,
0.233338,-1.63787,3.2149,0.29761,-1.44465,3.32077,0.464319,-1.93541,1.86,0.583108,-1.76155,1.93809,0.750183,0,-1.76244,1.86,0.662277,-1.57979,1.98621,0.815426,0,-1.50508,1.86,0.579278,-1.32136,1.9513,0.743485,0,-1.83169,1.86,0.510711,-1.64488,2.00965,0.664903,0,-1.86692,1.86,0.670439,-1.69486,1.92512,0.842475,0,-1.47917,1.86,0.266475,-1.29817,1.94282,0.427275,0,-1.93529,1.86,0.433128,-1.76312,1.93882,0.597341,0,-1.73923,1.86,0.187954,-1.55985,1.96201,0.348607,0,-1.55835,1.86,0.165427,-1.37947,1.98917,0.329529,0,-1.95484,1.86,0.29977,-1.76392,2.01663,0.462409,0,-2.02691,1.86,0.664504,-1.82528,2.05473,0.802253,0,-1.60162,1.86,0.49112,-1.41873,1.97724,0.650792,0,-1.83075,1.86,0.411478,-1.63709,2.04767,0.566269,0,-2.05975,1.86,0.3241,-1.87479,1.97835,0.486131,0,-1.95258,1.86,0.102645,-1.73343,2.11497,0.286648,0,-1.65005,1.86,0.65293,-1.46888,1.97631,0.811393,0,-1.36337,1.86,0.0907698,-1.18341,1.97079,0.253854,0,-2.12352,1.86,0.504536,-1.92775,2.00659,0.662023,0,-1.79349,1.86,0.273431,-1.61269,1.95403,0.43411,0,-1.68124,1.86,0.320023,-1.4956,2.02297,0.480051,0,-1.57568,1.86,0.272424,-1.39581,1.93785,0.43154,0,
0.266672,-1.63787,3.2149,0.29761,-1.46003,3.32214,0.464711,-1.93541,1.86,0.583108,-1.76287,1.92951,0.751879,0,-1.76244,1.86,0.662277,-1.58187,1.98427,0.816012,0,-1.50508,1.86,0.579278,-1.32386,1.95291,0.743728,0,-1.83169,1.86,0.510711,-1.64514,2.00677,0.664325,0,-1.86692,1.86,0.670439,-1.69593,1.91904,0.843114,0,-1.47917,1.86,0.266475,-1.29839,1.94482,0.426348,0,-1.93529,1.86,0.433128,-1.76797,1.93074,0.598212,0,-1.73923,1.86,0.187954,-1.56175,1.9603,0.347185,0,-1.55835,1.86,0.165427,-1.37999,1.99018,0.329162,0,-1.95484,1.86,0.29977,-1.7643,2.01111,0.461418,0,-2.02691,1.86,0.664504,-1.82773,2.04883,0.803184,0,-1.60162,1.86,0.49112,-1.41858,1.97752,0.651558,0,-1.83075,1.86,0.411478,-1.63805,2.04441,0.565159,0,-2.05975,1.86,0.3241,-1.87939,1.96368,0.485368,0,-1.95258,1.86,0.102645,-1.7343,2.10962,0.285363,0,-1.65005,1.86,0.65293,-1.47064,1.97551,0.810796,0,-1.36337,1.86,0.0907698,-1.18212,1.97324,0.253977,0,-2.12352,1.86,0.504536,-1.93379,1.98688,0.662066,0,-1.79349,1.86,0.273431,-1.61307,1.95066,0.434034,0,-1.68124,1.86,0.320023,-1.49655,2.022,0.480085,0,-1.57568,1.86,0.272424,-1.39343,1.93866,0.430237,0,
0.300007,-1.66512,3.2167,0.297897,-1.47219,3.32327,0.465023,-1.93541,1.86,0.583108,-1.75905,1.93035,0.753878,0,-1.76244,1.86,0.662277,-1.57902,1.98345,0.817499,0,-1.50508,1.86,0.579278,-1.31836,1.95038,0.743056,0,-1.83169,1.86,0.510711,-1.64233,2.00604,0.664787,0,-1.86692,1.86,0.670439,-1.69302,1.91902,0.844461,0,-1.47917,1.86,0.266475,-1.2952,1.94238,0.426703,0,-1.93529,1.86,0.433128,-1.75785,1.92877,0.598514,0,-1.73923,1.86,0.187954,-1.55533,1.95854,0.348915,0,-1.55835,1.86,0.165427,-1.37833,1.98775,0.32985,0,-1.95484,1.86,0.29977,-1.75794,2.01133,0.462219,0,-2.02691,1.86,0.664504,-1.82513,2.05121,0.804048,0,-1.60162,1.86,0.49112,-1.41561,1.97548,0.652204,0,-1.83075,1.86,0.411478,-1.63612,2.04379,0.56652,0,-2.05975,1.86,0.3241,-1.87483,1.96584,0.485728,0,-1.95258,1.86,0.102645,-1.73164,2.11037,0.286346,0,-1.65005,1.86,0.65293,-1.46776,1.97402,0.811654,0,-1.36337,1.86,0.0907698,-1.1801,1.97158,0.254953,0,-2.12352,1.86,0.504536,-1.92983,1.99248,0.661437,0,-1.79349,1.86,0.273431,-1.60692,1.94926,0.433918,0,-1.68124,1.86,0.320023,-1.49368,2.02035,0.480493,0,-1.57568,1.86,0.272424,-1.39088,1.93633,0.432105,0,
