time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,
0,-7.5435,1.45122,0.339575,-7.36548,1.75185,0.537756,-6.16,1.06051,0.732998,-5.03862,1.09473,1.19944,0,-6.16,1.25262,0.568882,-5.03512,1.41734,0.924,0,-6.16,1.37341,0.638794,-5.0689,1.62268,1.03445,0,-6.16,1.00952,0.559353,-5.12422,1.0363,0.893794,0,-6.16,1.22317,0.347899,-5.04572,1.36948,0.551713,0,-6.16,1.1654,0.638206,-5.08825,1.28139,1.0293,0,-6.16,0.52572,0.412438,-5.29671,0.367933,0.64671,0,-6.16,1.36994,0.371152,-5.0329,1.61482,0.590994,0,-6.16,1.13034,0.511504,-5.05068,1.21497,0.825417,0,-6.16,0.648157,0.606136,-5.19504,0.492004,0.955938,0,-6.16,0.975755,0.125454,-4.99502,0.937198,0.170885,0,-6.16,0.828007,0.728942,-5.14962,0.753693,1.16138,0,-6.16,1.09748,0.304988,-4.95049,1.13437,0.477381,0,-6.16,0.654588,0.435141,-5.11894,0.458271,0.692936,0,-6.16,1.67643,0.41365,-4.99537,2.13767,0.664655,0,-6.16,1.52076,0.408552,-4.89609,1.87597,0.660872,0,-6.16,0.91067,0.228812,-5.05885,0.850622,0.353087,0,-6.16,0.524156,0.13028,-5.223,0.316207,0.213643,0,-6.16,0.663592,0.719866,-5.18695,0.511609,1.13658,0,-6.16,1.1219,0.137456,-4.89827,1.16456,0.177313,0,-6.16,1.47945,0.719484,-5.04655,1.79917,1.17454,0,-6.16,1.0002,0.350207,-5.09004,1.01006,0.555241,0,-6.16,1.27522,0.208234,-5.05204,1.45755,0.318132,0,-6.16,1.60338,0.217476,-4.95421,2.01705,0.324952,0,-6.16,0.878401,0.474965,-5.05564,0.795494,0.763799,0,-6.16,0.78514,0.217492,-5.04616,0.635224,0.333093,0,-6.16,1.3982,0.484199,-5.06137,1.66355,0.778615,0,-6.16,1.66817,0.706471,-4.91235,2.13653,1.18831,0,-6.16,1.41427,0.193027,-4.90924,1.68626,0.277577,0,
0.0333341,-7.54801,1.4238,0.339989,-7.37095,1.7253,0.536897,-6.16,1.06051,0.732998,-5.12844,1.11285,1.1782,0,-6.16,1.25262,0.568882,-5.12692,1.42334,0.912817,0,-6.16,1.37341,0.638794,-5.13615,1.61819,1.02115,0,-6.16,1.00952,0.559353,-5.17288,1.04085,0.883552,0,-6.16,1.22317,0.347899,-5.16337,1.38401,0.553425,0,-6.16,1.1654,0.638206,-5.16367,1.28814,1.01712,0,-6.16,0.52572,0.412438,-5.33427,0.382757,0.646238,0,-6.16,1.36994,0.371152,-5.09096,1.60826,0.590571,0,-6.16,1.13034,0.511504,-5.13969,1.2284,0.818396,0,-6.16,0.648157,0.606136,-5.25389,0.516928,0.945522,0,-6.16,0.975755,0.125454,-5.11459,0.975709,0.191251,0,-6.16,0.828007,0.728942,-5.20992,0.77186,1.14547,0,-6.16,1.09748,0.304988,-5.1224,1.17627,0.489606,0,-6.16,0.654588,0.435141,-5.17261,0.478787,0.694519,0,-6.16,1.67643,0.41365,-5.05315,2.11991,0.665641,0,-6.16,1.52076,0.408552,-4.94795,1.86245,0.663309,0,-6.16,0.91067,0.228812,-5.14984,0.879827,0.361776,0,-6.16,0.524156,0.13028,-5.2659,0.335725,0.220445,0,-6.16,0.663592,0.719866,-5.24846,0.538268,1.12155,0,-6.16,1.1219,0.137456,-4.99693,1.1823,0.193759,0,-6.16,1.47945,0.719484,-5.11951,1.78892,1.15639,0,-6.16,1.0002,0.350207,-5.16836,1.02751,0.557715,0,-6.16,1.27522,0.208234,-5.15059,1.46368,0.330392,0,-6.16,1.60338,0.217476,-5.06585,1.99944,0.338146,0,-6.16,0.878401,0.474965,-5.12936,0.818896,0.759071,0,-6.16,0.78514,0.217492,-5.15683,0.686675,0.341227,0,-6.16,1.3982,0.484199,-5.15902,1.66084,0.771448,0,-6.16,1.66817,0.706471,-4.99032,2.11908,1.17169,0,-6.16,1.41427,0.193027,-4.98936,1.68175,0.28826,0,
0.0666681,-7.54966,1.41349,0.340144,-7.37297,1.71529,0.536572,-6.16,1.06051,0.732998,-5.17837,1.13478,1.15891,0,-6.16,1.25262,0.568882,-5.19279,1.44155,0.900203,0,-6.16,1.37341,0.638794,-5.21116,1.63248,1.00143,0,-6.16,1.00952,0.559353,-5.23664,1.07208,0.871918,0,-6.16,1.22317,0.347899,-5.23825,1.4047,0.55059,0,-6.16,1.1654,0.638206,-5.22971,1.31147,1.00031,0,-6.16,0.52572,0.412438,-5.40264,0.443593,0.641244,0,-6.16,1.36994,0.371152,-5.14852,1.62052,0.587888,0,-6.16,1.13034,0.511504,-5.21893,1.25708,0.806897,0,-6.16,0.648157,0.606136,-5.29019,0.545967,0.939736,0,-6.16,0.975755,0.125454,-5.21902,1.02336,0.206385,0,-6.16,0.828007,0.728942,-5.28134,0.816624,1.12086,0,-6.16,1.09748,0.304988,-5.2282,1.21343,0.489326,0,-6.16,0.654588,0.435141,-5.2164,0.514267,0.688184,0,-6.16,1.67643,0.41365,-5.11606,2.11931,0.662362,0,-6.16,1.52076,0.408552,-5.00838,1.86928,0.65948,0,-6.16,0.91067,0.228812,-5.22951,0.921752,0.365312,0,-6.16,0.524156,0.13028,-5.33427,0.396027,0.227162,0,-6.16,0.663592,0.719866,-5.28435,0.567072,1.10827,0,-6.16,1.1219,0.137456,-5.06258,1.20668,0.200879,0,-6.16,1.47945,0.719484,-5.17229,1.79576,1.13939,0,-6.16,1.0002,0.350207,-5.25101,1.06585,0.553922,0,-6.16,1.27522,0.208234,-5.25098,1.48753,0.338794,0,-6.16,1.60338,0.217476,-5.14916,1.99962,0.34585,0,-6.16,0.878401,0.474965,-5.17191,0.844127,0.752007,0,-6.16,0.78514,0.217492,-5.22189,0.72667,0.344067,0,-6.16,1.3982,0.484199,-5.23332,1.67271,0.761411,0,-6.16,1.66817,0.706471,-5.05782,2.11812,1.15344,0,-6.16,1.41427,0.193027,-5.08337,1.69578,0.297107,0,
0.100002,-7.55409,1.38603,0.340557,-7.37603,1.70015,0.53608,-6.16,1.06051,0.732998,-5.27061,1.16874,1.13482,0,-6.16,1.25262,0.568882,-5.29722,1.46352,0.885002,0,-6.16,1.37341,0.638794,-5.28325,1.64105,0.98589,0,-6.16,1.00952,0.559353,-5.32947,1.10864,0.860381,0,-6.16,1.22317,0.347899,-5.31753,1.42251,0.552148,0,-6.16,1.1654,0.638206,-5.33395,1.33995,0.981344,0,-6.16,0.52572,0.412438,-5.46285,0.489313,0.641339,0,-6.16,1.36994,0.371152,-5.23422,1.63176,0.58688,0,-6.16,1.13034,0.511504,-5.32903,1.28949,0.795378,0,-6.16,0.648157,0.606136,-5.38551,0.612004,0.924978,0,-6.16,0.975755,0.125454,-5.31073,1.06008,0.224001,0,-6.16,0.828007,0.728942,-5.35934,0.857794,1.10218,0,-6.16,1.09748,0.304988,-5.33643,1.24677,0.494002,0,-6.16,0.654588,0.435141,-5.31846,0.583988,0.686239,0,-6.16,1.67643,0.41365,-5.22711,2.10954,0.656868,0,-6.16,1.52076,0.408552,-5.15054,1.87241,0.654072,0,-6.16,0.91067,0.228812,-5.31107,0.959403,0.375306,0,-6.16,0.524156,0.13028,-5.39246,0.440877,0.241967,0,-6.16,0.663592,0.719866,-5.35961,0.617986,1.09341,0,-6.16,1.1219,0.137456,-5.17469,1.24165,0.221884,0,-6.16,1.47945,0.719484,-5.26914,1.80138,1.11409,0,-6.16,1.0002,0.350207,-5.36098,1.10845,0.558003,0,-6.16,1.27522,0.208234,-5.35265,1.50561,0.350826,0,-6.16,1.60338,0.217476,-5.30396,1.99195,0.360184,0,-6.16,0.878401,0.474965,-5.26317,0.890391,0.747718,0,-6.16,0.78514,0.217492,-5.30244,0.772245,0.357284,0,-6.16,1.3982,0.484199,-5.33896,1.6831,0.752547,0,-6.16,1.66817,0.706471,-5.14762,2.11113,1.12857,0,-6.16,1.41427,0.193027,-5.16254,1.70223,0.307832,0,
0.133336,-7.55409,1.38603,0.340557,-7.37838,1.68866,0.535707,-6.16,1.06051,0.732998,-5.39388,1.21326,1.10162,0,-6.16,1.25262,0.568882,-5.38745,1.48339,0.869839,0,-6.16,1.37341,0.638794,-5.41344,1.6582,0.960569,0,-6.16,1.00952,0.559353,-5.45257,1.15733,0.842443,0,-6.16,1.22317,0.347899,-5.42894,1.44931,0.552507,0,-6.16,1.1654,0.638206,-5.43734,1.36909,0.958676,0,-6.16,0.52572,0.412438,-5.52094,0.537059,0.63689,0,-6.16,1.36994,0.371152,-5.33527,1.64588,0.584781,0,-6.16,1.13034,0.511504,-5.4369,1.32212,0.781787,0,-6.16,0.648157,0.606136,-5.46487,0.666931,0.90868,0,-6.16,0.975755,0.125454,-5.39531,1.09659,0.237389,0,-6.16,0.828007,0.728942,-5.45271,0.909325,1.07643,0,-6.16,1.09748,0.304988,-5.46783,1.28859,0.49866,0,-6.16,0.654588,0.435141,-5.4231,0.654709,0.679281,0,-6.16,1.67643,0.41365,-5.35265,2.09808,0.649894,0,-6.16,1.52076,0.408552,-5.24572,1.87416,0.648965,0,-6.16,0.91067,0.228812,-5.44617,1.02292,0.388099,0,-6.16,0.524156,0.13028,-5.45547,0.492983,0.2512,0,-6.16,0.663592,0.719866,-5.43766,0.672301,1.0716,0,-6.16,1.1219,0.137456,-5.29069,1.27799,0.238761,0,-6.16,1.47945,0.719484,-5.36476,1.80722,1.08759,0,-6.16,1.0002,0.350207,-5.45754,1.14734,0.556125,0,-6.16,1.27522,0.208234,-5.44302,1.52367,0.359571,0,-6.16,1.60338,0.217476,-5.37343,1.98834,0.367423,0,-6.16,0.878401,0.474965,-5.34551,0.932652,0.739597,0,-6.16,0.78514,0.217492,-5.42383,0.841891,0.368521,0,-6.16,1.3982,0.484199,-5.45467,1.69509,0.741764,0,-6.16,1.66817,0.706471,-5.24506,2.10457,1.10565,0,-6.16,1.41427,0.193027,-5.26068,1.71327,0.31855,0,
0.16667,-7.55863,1.35863,0.34097,-7.38386,1.66215,0.534849,-6.16,1.06051,0.732998,-5.53121,1.23533,1.06408,0,-6.16,1.25262,0.568882,-5.54367,1.49132,0.846247,0,-6.16,1.37341,0.638794,-5.59715,1.65198,0.9228,0,-6.16,1.00952,0.559353,-5.57726,1.17934,0.823536,0,-6.16,1.22317,0.347899,-5.55224,1.45608,0.553735,0,-6.16,1.1654,0.638206,-5.57247,1.38128,0.929997,0,-6.16,0.52572,0.412438,-5.69938,0.638426,0.629578,0,-6.16,1.36994,0.371152,-5.46232,1.63892,0.583497,0,-6.16,1.13034,0.511504,-5.58517,1.33986,0.764889,0,-6.16,0.648157,0.606136,-5.58352,0.718907,0.887479,0,-6.16,0.975755,0.125454,-5.57952,1.14302,0.265941,0,-6.16,0.828007,0.728942,-5.606,0.959967,1.03502,0,-6.16,1.09748,0.304988,-5.61848,1.30976,0.503166,0,-6.16,0.654588,0.435141,-5.64372,0.760215,0.662229,0,-6.16,1.67643,0.41365,-5.62325,2.03365,0.636575,0,-6.16,1.52076,0.408552,-5.50908,1.84196,0.637996,0,-6.16,0.91067,0.228812,-5.60753,1.06719,0.401258,0,-6.16,0.524156,0.13028,-5.62776,0.589636,0.276084,0,-6.16,0.663592,0.719866,-5.53418,0.711791,1.04667,0,-6.16,1.1219,0.137456,-5.49842,1.30922,0.271529,0,-6.16,1.47945,0.719484,-5.54616,1.78829,1.04016,0,-6.16,1.0002,0.350207,-5.61739,1.18253,0.555461,0,-6.16,1.27522,0.208234,-5.54716,1.52224,0.369858,0,-6.16,1.60338,0.217476,-5.53527,1.95432,0.38369,0,-6.16,0.878401,0.474965,-5.46661,0.96837,0.728808,0,-6.16,0.78514,0.217492,-5.56335,0.891082,0.381333,0,-6.16,1.3982,0.484199,-5.5836,1.6848,0.72797,0,-6.16,1.66817,0.706471,-5.46618,2.05145,1.04865,0,-6.16,1.41427,0.193027,-5.45423,1.7017,0.339272,0,
0.200004,-7.56188,1.35154,0.340228,-7.38703,1.6469,0.534356,-6.16,1.06051,0.732998,-5.5294,1.23969,1.06649,0,-6.16,1.25262,0.568882,-5.53775,1.49336,0.849869,0,-6.16,1.37341,0.638794,-5.58768,1.65392,0.927376,0,-6.16,1.00952,0.559353,-5.57727,1.18188,0.826392,0,-6.16,1.22317,0.347899,-5.54672,1.45822,0.556433,0,-6.16,1.1654,0.638206,-5.56896,1.38264,0.933999,0,-6.16,0.52572,0.412438,-5.70749,0.644611,0.631794,0,-6.16,1.36994,0.371152,-5.45344,1.64347,0.585892,0,-6.16,1.13034,0.511504,-5.5824,1.3378,0.765799,0,-6.16,0.648157,0.606136,-5.5946,0.726726,0.888748,0,-6.16,0.975755,0.125454,-5.57984,1.1458,0.268864,0,-6.16,0.828007,0.728942,-5.60927,0.965457,1.03377,0,-6.16,1.09748,0.304988,-5.61531,1.31389,0.506712,0,-6.16,0.654588,0.435141,-5.59845,0.738673,0.66948,0,-6.16,1.67643,0.41365,-5.57975,2.04256,0.640191,0,-6.16,1.52076,0.408552,-5.51536,1.84713,0.639368,0,-6.16,0.91067,0.228812,-5.60957,1.07267,0.401501,0,-6.16,0.524156,0.13028,-5.63416,0.594895,0.2799,0,-6.16,0.663592,0.719866,-5.54594,0.719148,1.04621,0,-6.16,1.1219,0.137456,-5.49507,1.31133,0.274011,0,-6.16,1.47945,0.719484,-5.53206,1.79302,1.04749,0,-6.16,1.0002,0.350207,-5.61843,1.18098,0.556963,0,-6.16,1.27522,0.208234,-5.54057,1.52433,0.37205,0,-6.16,1.60338,0.217476,-5.51186,1.96101,0.382523,0,-6.16,0.878401,0.474965,-5.47118,0.972164,0.730529,0,-6.16,0.78514,0.217492,-5.56968,0.898176,0.382308,0,-6.16,1.3982,0.484199,-5.57406,1.6868,0.73091,0,-6.16,1.66817,0.706471,-5.4306,2.05719,1.06084,0,-6.16,1.41427,0.193027,-5.42818,1.70503,0.339546,0,
0.233338,-7.56781,1.32809,0.339705,-7.38591,1.65217,0.534526,-6.16,1.06051,0.732998,-5.52603,1.26453,1.06747,0,-6.16,1.25262,0.568882,-5.53722,1.51745,0.849912,0,-6.16,1.37341,0.638794,-5.59206,1.67866,0.926148,0,-6.16,1.00952,0.559353,-5.57405,1.2067,0.828875,0,-6.16,1.22317,0.347899,-5.54482,1.4856,0.555918,0,-6.16,1.1654,0.638206,-5.56637,1.40799,0.934254,0,-6.16,0.52572,0.412438,-5.71907,0.675725,0.632622,0,-6.16,1.36994,0.371152,-5.45632,1.66796,0.58716,0,-6.16,1.13034,0.511504,-5.5793,1.36507,0.76769,0,-6.16,0.648157,0.606136,-5.59749,0.753735,0.891726,0,-6.16,0.975755,0.125454,-5.57643,1.17066,0.271938,0,-6.16,0.828007,0.728942,-5.60808,0.99035,1.03194,0,-6.16,1.09748,0.304988,-5.61258,1.33574,0.505517,0,-6.16,0.654588,0.435141,-5.60882,0.773219,0.666845,0,-6.16,1.67643,0.41365,-5.61569,2.05612,0.638677,0,-6.16,1.52076,0.408552,-5.53546,1.86921,0.638777,0,-6.16,0.91067,0.228812,-5.60775,1.09668,0.404482,0,-6.16,0.524156,0.13028,-5.64277,0.630034,0.28718,0,-6.16,0.663592,0.719866,-5.54579,0.745538,1.04698,0,-6.16,1.1219,0.137456,-5.49177,1.33692,0.275091,0,-6.16,1.47945,0.719484,-5.54376,1.81831,1.04765,0,-6.16,1.0002,0.350207,-5.61539,1.20343,0.561155,0,-6.16,1.27522,0.208234,-5.53984,1.55261,0.370482,0,-6.16,1.60338,0.217476,-5.52982,1.9834,0.386401,0,-6.16,0.878401,0.474965,-5.46693,1.00235,0.732755,0,-6.16,0.78514,0.217492,-5.56912,0.925825,0.386666,0,-6.16,1.3982,0.484199,-5.57743,1.71373,0.728238,0,-6.16,1.66817,0.706471,-5.46006,2.07951,1.05401,0,-6.16,1.41427,0.193027,-5.43559,1.72427,0.34139,0,
0.266672,-7.56781,1.32809,0.339705,-7.39113,1.62622,0.533683,-6.16,1.06051,0.732998,-5.52718,1.26151,1.06681,0,-6.16,1.25262,0.568882,-5.5389,1.51103,0.849656,0,-6.16,1.37341,0.638794,-5.59399,1.67245,0.927022,0,-6.16,1.00952,0.559353,-5.57455,1.20455,0.825468,0,-6.16,1.22317,0.347899,-5.54674,1.47802,0.554642,0,-6.16,1.1654,0.638206,-5.56799,1.40222,0.933329,0,-6.16,0.52572,0.412438,-5.72192,0.667067,0.632531,0,-6.16,1.36994,0.371152,-5.45745,1.66237,0.586307,0,-6.16,1.13034,0.511504,-5.58096,1.35995,0.767446,0,-6.16,0.648157,0.606136,-5.60016,0.748206,0.891199,0,-6.16,0.975755,0.125454,-5.5781,1.16578,0.271874,0,-6.16,0.828007,0.728942,-5.60958,0.984745,1.03096,0,-6.16,1.09748,0.304988,-5.61452,1.32931,0.507524,0,-6.16,0.654588,0.435141,-5.7225,0.823303,0.656373,0,-6.16,1.67643,0.41365,-5.61208,2.05119,0.639619,0,-6.16,1.52076,0.408552,-5.64444,1.85135,0.631029,0,-6.16,0.91067,0.228812,-5.60918,1.092,0.403379,0,-6.16,0.524156,0.13028,-5.64643,0.630118,0.289798,0,-6.16,0.663592,0.719866,-5.54863,0.74021,1.04627,0,-6.16,1.1219,0.137456,-5.49335,1.33286,0.274357,0,-6.16,1.47945,0.719484,-5.54557,1.81354,1.04669,0,-6.16,1.0002,0.350207,-5.61753,1.196,0.559318,0,-6.16,1.27522,0.208234,-5.54184,1.54956,0.369753,0,-6.16,1.60338,0.217476,-5.53122,1.97756,0.386877,0,-6.16,0.878401,0.474965,-5.47065,0.995898,0.732625,0,-6.16,0.78514,0.217492,-5.57178,0.920978,0.385978,0,-6.16,1.3982,0.484199,-5.58015,1.70707,0.727895,0,-6.16,1.66817,0.706471,-5.46505,2.07514,1.05522,0,-6.16,1.41427,0.193027,-5.43528,1.71967,0.340301,0,
0.300007,-7.57131,1.31876,0.338995,-7.39321,1.61595,0.533349,-6.16,1.06051,0.732998,-5.52931,1.27035,1.06666,0,-6.16,1.25262,0.568882,-5.54129,1.51992,0.850535,0,-6.16,1.37341,0.638794,-5.59649,1.67996,0.926581,0,-6.16,1.00952,0.559353,-5.57697,1.21484,0.827384,0,-6.16,1.22317,0.347899,-5.54889,1.48551,0.556416,0,-6.16,1.1654,0.638206,-5.57041,1.41067,0.93465,0,-6.16,0.52572,0.412438,-5.72539,0.67651,0.633117,0,-6.16,1.36994,0.371152,-5.46007,1.67303,0.587202,0,-6.16,1.13034,0.511504,-5.58299,1.36787,0.766198,0,-6.16,0.648157,0.606136,-5.60362,0.758109,0.890454,0,-6.16,0.975755,0.125454,-5.58025,1.17624,0.27209,0,-6.16,0.828007,0.728942,-5.6132,0.995095,1.03508,0,-6.16,1.09748,0.304988,-5.6164,1.34012,0.506021,0,-6.16,0.654588,0.435141,-5.71897,0.827561,0.660827,0,-6.16,1.67643,0.41365,-5.62436,2.05807,0.64097,0,-6.16,1.52076,0.408552,-5.64262,1.85984,0.633383,0,-6.16,0.91067,0.228812,-5.61183,1.10128,0.405955,0,-6.16,0.524156,0.13028,-5.65619,0.643053,0.28959,0,-6.16,0.663592,0.719866,-5.55158,0.751367,1.04665,0,-6.16,1.1219,0.137456,-5.49443,1.34793,0.275556,0,-6.16,1.47945,0.719484,-5.5487,1.82148,1.04811,0,-6.16,1.0002,0.350207,-5.61953,1.20552,0.560852,0,-6.16,1.27522,0.208234,-5.54382,1.55814,0.373379,0,-6.16,1.60338,0.217476,-5.53609,1.98651,0.38676,0,-6.16,0.878401,0.474965,-5.47207,1.00743,0.734032,0,-6.16,0.78514,0.217492,-5.57544,0.928961,0.38737,0,-6.16,1.3982,0.484199,-5.58254,1.71373,0.733217,0,-6.16,1.66817,0.706471,-5.47401,2.08565,1.05481,0,-6.16,1.41427,0.193027,-5.43957,1.72945,0.341793,0,
