time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,
0,-7.43803,-2.50554,0.306572,-7.4522,-2.17375,0.394589,-4.31782,-1.86,0.481197,-4.66421,-1.59695,0.550621,0,-4.06595,-1.86,1.26001,-4.69601,-1.64612,1.17388,0,-6.16,-1.54208,0.453338,-5.20358,-0.478614,0.652815,0,-5.41348,-1.86,0.455893,-4.96214,-1.37978,0.578243,0,-6.16,-1.77324,0.450547,-5.02258,-0.781606,0.668294,0,-4.74617,-1.86,0.827887,-4.70359,-1.5146,0.926894,0,-6.16,-1.53312,0.302337,-5.23448,-0.486345,0.38724,0,-6.16,-1.56063,0.691882,-5.24372,-0.54092,1.06042,0,-4.73807,-1.86,0.00612956,-4.74388,-1.52621,0.0932171,0,-6.16,-1.81372,0.559449,-5.09923,-0.900055,0.860157,0,-6.16,-1.70388,0.303561,-5.14479,-0.726403,0.389153,0,-6.16,-1.6323,0.534069,-5.22362,-0.651028,0.791288,0,-6.14023,-1.86,0.319023,-5.06817,-0.987912,0.417463,0,-5.27308,-1.86,0.978959,-4.99221,-1.44024,1.15861,0,-6.16,-1.32122,0.741365,-5.35008,-0.225775,1.10974,0,-6.16,-1.4009,0.211471,-5.27295,-0.290179,0.232428,0,-5.10883,-1.86,0.221178,-4.78338,-1.43409,0.296745,0,-6.14422,-1.86,0.151278,-5.04569,-0.973036,0.105739,0,-6.16,-1.46574,0.786851,-5.34613,-0.460275,1.18604,0,-6.16,-1.76647,0.210454,-5.09912,-0.812996,0.217621,0,-6.16,-1.3914,0.559609,-5.29452,-0.292776,0.821786,0,-2.87956,-1.86,1.28884,-4.61372,-1.77178,1.00623,0,-4.81703,-1.86,0.634707,-4.7814,-1.51595,0.728958,0,-6.16,-1.23407,0.544334,-5.40229,-0.134372,0.775947,0,
0.033334,-7.43803,-2.50554,0.306572,-7.44733,-2.18424,0.394093,-4.31782,-1.86,0.481197,-4.6858,-1.60334,0.547408,0,-4.06595,-1.86,1.26001,-4.72585,-1.65136,1.16317,0,-6.16,-1.54208,0.453338,-5.25228,-0.511253,0.645361,0,-5.41348,-1.86,0.455893,-5.08875,-1.41147,0.567734,0,-6.16,-1.77324,0.450547,-5.09974,-0.819781,0.6558,0,-4.74617,-1.86,0.827887,-4.76205,-1.52388,0.914827,0,-6.16,-1.53312,0.302337,-5.29556,-0.527512,0.386867,0,-6.16,-1.56063,0.691882,-5.30002,-0.577691,1.03864,0,-4.73807,-1.86,0.00612956,-4.80999,-1.5377,0.0995212,0,-6.16,-1.81372,0.559449,-5.18166,-0.937847,0.843503,0,-6.16,-1.70388,0.303561,-5.19777,-0.756265,0.389132,0,-6.16,-1.6323,0.534069,-5.28728,-0.689716,0.779728,0,-6.14023,-1.86,0.319023,-5.17699,-1.03352,0.41403,0,-5.27308,-1.86,0.978959,-5.06062,-1.45711,1.13759,0,-6.16,-1.32122,0.741365,-5.38595,-0.254223,1.09678,0,-6.16,-1.4009,0.211471,-5.32621,-0.330294,0.236566,0,-5.10883,-1.86,0.221178,-4.85557,-1.44876,0.299525,0,-6.14422,-1.86,0.151278,-5.14786,-1.01589,0.115701,0,-6.16,-1.46574,0.786851,-5.39401,-0.494231,1.16546,0,-6.16,-1.76647,0.210454,-5.17282,-0.850309,0.220348,0,-6.16,-1.3914,0.559609,-5.33883,-0.326712,0.813098,0,-2.87956,-1.86,1.28884,-4.64101,-1.77524,0.997748,0,-4.81703,-1.86,0.634707,-4.86759,-1.53097,0.715964,0,-6.16,-1.23407,0.544334,-5.45187,-0.175649,0.767003,0,
0.0666681,-7.42597,-2.52665,0.306729,-7.43631,-2.20695,0.393009,-4.31782,-1.86,0.481197,-4.77659,-1.59763,0.540897,0,-4.06595,-1.86,1.26001,-4.78419,-1.64237,1.14974,0,-6.16,-1.54208,0.453338,-5.34635,-0.554681,0.638708,0,-5.41348,-1.86,0.455893,-5.22916,-1.43677,0.55864,0,-6.16,-1.77324,0.450547,-5.23414,-0.870321,0.645849,0,-4.74617,-1.86,0.827887,-4.84253,-1.52229,0.900652,0,-6.16,-1.53312,0.302337,-5.37527,-0.564075,0.385868,0,-6.16,-1.56063,0.691882,-5.36269,-0.602071,1.02504,0,-4.73807,-1.86,0.00612956,-4.88086,-1.53583,0.105923,0,-6.16,-1.81372,0.559449,-5.26555,-0.963916,0.826653,0,-6.16,-1.70388,0.303561,-5.28769,-0.789239,0.389584,0,-6.16,-1.6323,0.534069,-5.36537,-0.721423,0.766426,0,-6.14023,-1.86,0.319023,-5.29464,-1.07166,0.412154,0,-5.27308,-1.86,0.978959,-5.16273,-1.46784,1.10722,0,-6.16,-1.32122,0.741365,-5.44098,-0.278874,1.08376,0,-6.16,-1.4009,0.211471,-5.38651,-0.359231,0.233364,0,-5.10883,-1.86,0.221178,-4.95321,-1.45495,0.302826,0,-6.14422,-1.86,0.151278,-5.25824,-1.05028,0.129041,0,-6.16,-1.46574,0.786851,-5.44514,-0.514898,1.15013,0,-6.16,-1.76647,0.210454,-5.29145,-0.894867,0.233213,0,-6.16,-1.3914,0.559609,-5.4036,-0.357131,0.802351,0,-2.87956,-1.86,1.28884,-4.66753,-1.76221,0.992783,0,-4.81703,-1.86,0.634707,-4.95134,-1.53293,0.705832,0,-6.16,-1.23407,0.544334,-5.49001,-0.19151,0.761542,0,
0.100002,-7.42197,-2.53419,0.306555,-7.42969,-2.21991,0.392383,-4.31782,-1.86,0.481197,-4.86745,-1.60969,0.538239,0,-4.06595,-1.86,1.26001,-4.84859,-1.64847,1.13068,0,-6.16,-1.54208,0.453338,-5.4187,-0.602166,0.629749,0,-5.41348,-1.86,0.455893,-5.35848,-1.47202,0.550396,0,-6.16,-1.77324,0.450547,-5.36105,-0.934699,0.633225,0,-4.74617,-1.86,0.827887,-4.93665,-1.53752,0.884503,0,-6.16,-1.53312,0.302337,-5.43808,-0.60531,0.387518,0,-6.16,-1.56063,0.691882,-5.43517,-0.646656,1.00602,0,-4.73807,-1.86,0.00612956,-4.95664,-1.54792,0.117181,0,-6.16,-1.81372,0.559449,-5.37087,-1.0122,0.808702,0,-6.16,-1.70388,0.303561,-5.35997,-0.828662,0.392597,0,-6.16,-1.6323,0.534069,-5.45199,-0.771974,0.751892,0,-6.14023,-1.86,0.319023,-5.42089,-1.12676,0.41315,0,-5.27308,-1.86,0.978959,-5.28934,-1.49753,1.07053,0,-6.16,-1.32122,0.741365,-5.48484,-0.31229,1.07056,0,-6.16,-1.4009,0.211471,-5.44343,-0.399897,0.237875,0,-5.10883,-1.86,0.221178,-5.06547,-1.47878,0.310741,0,-6.14422,-1.86,0.151278,-5.36283,-1.09557,0.141154,0,-6.16,-1.46574,0.786851,-5.50028,-0.551523,1.13139,0,-6.16,-1.76647,0.210454,-5.42385,-0.962865,0.246899,0,-6.16,-1.3914,0.559609,-5.45606,-0.395691,0.791103,0,-2.87956,-1.86,1.28884,-4.716,-1.76306,0.983621,0,-4.81703,-1.86,0.634707,-5.02276,-1.54577,0.699658,0,-6.16,-1.23407,0.544334,-5.53695,-0.228606,0.753661,0,
0.133336,-7.40942,-2.55504,0.30671,-7.43201,-2.21541,0.392601,-4.31782,-1.86,0.481197,-5.09567,-1.67632,0.523494,0,-4.06595,-1.86,1.26001,-4.82816,-1.65942,1.13608,0,-6.16,-1.54208,0.453338,-5.55655,-0.727303,0.609134,0,-5.41348,-1.86,0.455893,-5.69906,-1.59513,0.523922,0,-6.16,-1.77324,0.450547,-5.73533,-1.17218,0.586269,0,-4.74617,-1.86,0.827887,-5.09536,-1.59242,0.850256,0,-6.16,-1.53312,0.302337,-5.54914,-0.706788,0.383573,0,-6.16,-1.56063,0.691882,-5.56144,-0.757384,0.961198,0,-4.73807,-1.86,0.00612956,-4.92698,-1.55396,0.11228,0,-6.16,-1.81372,0.559449,-5.53313,-1.11515,0.77175,0,-6.16,-1.70388,0.303561,-5.48808,-0.924871,0.388635,0,-6.16,-1.6323,0.534069,-5.57769,-0.874472,0.72548,0,-6.14023,-1.86,0.319023,-5.71533,-1.28948,0.408246,0,-5.27308,-1.86,0.978959,-5.55687,-1.59258,0.983912,0,-6.16,-1.32122,0.741365,-5.41141,-0.264325,1.08447,0,-6.16,-1.4009,0.211471,-5.34038,-0.328201,0.229553,0,-5.10883,-1.86,0.221178,-5.29891,-1.56026,0.315257,0,-6.14422,-1.86,0.151278,-5.53538,-1.19688,0.161253,0,-6.16,-1.46574,0.786851,-5.45676,-0.531065,1.13956,0,-6.16,-1.76647,0.210454,-5.69274,-1.13872,0.265067,0,-6.16,-1.3914,0.559609,-5.37488,-0.344427,0.79949,0,-2.87956,-1.86,1.28884,-4.40648,-1.73091,1.04705,0,-4.81703,-1.86,0.634707,-5.07734,-1.57087,0.690888,0,-6.16,-1.23407,0.544334,-5.43518,-0.145219,0.767252,0,
0.16667,-7.40493,-2.56292,0.306528,-7.4205,-2.23794,0.391513,-4.31782,-1.86,0.481197,-5.35297,-1.72718,0.506187,0,-4.06595,-1.86,1.26001,-5.17009,-1.72181,1.03783,0,-6.16,-1.54208,0.453338,-5.7587,-0.877066,0.585986,0,-5.41348,-1.86,0.455893,-5.85205,-1.64551,0.514492,0,-6.16,-1.77324,0.450547,-5.89491,-1.2636,0.567419,0,-4.74617,-1.86,0.827887,-5.39005,-1.66137,0.793142,0,-6.16,-1.53312,0.302337,-5.70397,-0.822882,0.385994,0,-6.16,-1.56063,0.691882,-5.75125,-0.895594,0.903655,0,-4.73807,-1.86,0.00612956,-5.28701,-1.63795,0.15854,0,-6.16,-1.81372,0.559449,-5.76942,-1.24206,0.725284,0,-6.16,-1.70388,0.303561,-5.70586,-1.0596,0.388984,0,-6.16,-1.6323,0.534069,-5.76868,-1.00331,0.689252,0,-6.14023,-1.86,0.319023,-5.87658,-1.37047,0.407028,0,-5.27308,-1.86,0.978959,-5.71003,-1.63899,0.935219,0,-6.16,-1.32122,0.741365,-5.71999,-0.545456,0.980678,0,-6.16,-1.4009,0.211471,-5.62931,-0.573808,0.251843,0,-5.10883,-1.86,0.221178,-5.62655,-1.64955,0.32601,0,-6.14422,-1.86,0.151278,-5.75333,-1.30526,0.18772,0,-6.16,-1.46574,0.786851,-5.72179,-0.7433,1.042,0,-6.16,-1.76647,0.210454,-5.85174,-1.23057,0.276044,0,-6.16,-1.3914,0.559609,-5.68418,-0.609485,0.739024,0,-2.87956,-1.86,1.28884,-4.87822,-1.79376,0.945406,0,-4.81703,-1.86,0.634707,-5.3786,-1.64379,0.654021,0,-6.16,-1.23407,0.544334,-5.7375,-0.441427,0.713732,0,
0.200004,-7.40493,-2.56292,0.306528,-7.41585,-2.24662,0.391089,-4.31782,-1.86,0.481197,-5.43477,-1.75046,0.502061,0,-4.06595,-1.86,1.26001,-5.26492,-1.74622,1.0083,0,-6.16,-1.54208,0.453338,-5.80956,-0.921473,0.579932,0,-5.41348,-1.86,0.455893,-5.91433,-1.66928,0.50964,0,-6.16,-1.77324,0.450547,-5.9346,-1.29172,0.563351,0,-4.74617,-1.86,0.827887,-5.49533,-1.69225,0.772325,0,-6.16,-1.53312,0.302337,-5.79023,-0.89205,0.385715,0,-6.16,-1.56063,0.691882,-5.80917,-0.943653,0.881468,0,-4.73807,-1.86,0.00612956,-5.42113,-1.67544,0.174473,0,-6.16,-1.81372,0.559449,-5.82769,-1.27943,0.713555,0,-6.16,-1.70388,0.303561,-5.78617,-1.11471,0.389109,0,-6.16,-1.6323,0.534069,-5.8085,-1.03685,0.684557,0,-6.14023,-1.86,0.319023,-5.9363,-1.40419,0.405987,0,-5.27308,-1.86,0.978959,-5.7778,-1.66317,0.913035,0,-6.16,-1.32122,0.741365,-5.75869,-0.587084,0.966208,0,-6.16,-1.4009,0.211471,-5.69336,-0.634512,0.258589,0,-5.10883,-1.86,0.221178,-5.7164,-1.68033,0.328395,0,-6.14422,-1.86,0.151278,-5.83097,-1.34876,0.196616,0,-6.16,-1.46574,0.786851,-5.77471,-0.791805,1.02023,0,-6.16,-1.76647,0.210454,-5.90423,-1.26569,0.281858,0,-6.16,-1.3914,0.559609,-5.72932,-0.654799,0.732871,0,-2.87956,-1.86,1.28884,-4.95999,-1.81234,0.925792,0,-4.81703,-1.86,0.634707,-5.49448,-1.67759,0.637837,0,-6.16,-1.23407,0.544334,-5.76778,-0.476549,0.70419,0,
0.233338,-7.39119,-2.58446,0.306678,-7.40338,-2.26966,0.38996,-4.31782,-1.86,0.481197,-5.48549,-1.7587,0.497816,0,-4.06595,-1.86,1.26001,-5.32617,-1.75521,0.989156,0,-6.16,-1.54208,0.453338,-5.87494,-0.968137,0.572263,0,-5.41348,-1.86,0.455893,-5.94721,-1.68081,0.505885,0,-6.16,-1.77324,0.450547,-5.97265,-1.31322,0.5586,0,-4.74617,-1.86,0.827887,-5.55617,-1.70535,0.758714,0,-6.16,-1.53312,0.302337,-5.8485,-0.935663,0.386998,0,-6.16,-1.56063,0.691882,-5.86847,-0.985841,0.863654,0,-4.73807,-1.86,0.00612956,-5.49633,-1.69194,0.180428,0,-6.16,-1.81372,0.559449,-5.88283,-1.3081,0.701952,0,-6.16,-1.70388,0.303561,-5.88133,-1.17068,0.386244,0,-6.16,-1.6323,0.534069,-5.86827,-1.07482,0.670662,0,-6.14023,-1.86,0.319023,-5.96457,-1.41996,0.403735,0,-5.27308,-1.86,0.978959,-5.81181,-1.67369,0.901356,0,-6.16,-1.32122,0.741365,-5.83318,-0.654157,0.945074,0,-6.16,-1.4009,0.211471,-5.7937,-0.717072,0.264289,0,-5.10883,-1.86,0.221178,-5.75548,-1.69189,0.328272,0,-6.14422,-1.86,0.151278,-5.88318,-1.37471,0.202654,0,-6.16,-1.46574,0.786851,-5.84708,-0.848628,0.993546,0,-6.16,-1.76647,0.210454,-5.94514,-1.28933,0.284752,0,-6.16,-1.3914,0.559609,-5.82541,-0.734657,0.714151,0,-2.87956,-1.86,1.28884,-5.03205,-1.81882,0.909324,0,-4.81703,-1.86,0.634707,-5.56185,-1.6927,0.627204,0,-6.16,-1.23407,0.544334,-5.8925,-0.594988,0.686615,0,
0.266672,-7.3771,-2.60556,0.306826,-7.39619,-2.28235,0.389332,-4.31782,-1.86,0.481197,-5.56403,-1.77936,0.494565,0,-4.06595,-1.86,1.26001,-5.41953,-1.77723,0.963612,0,-6.16,-1.54208,0.453338,-5.93099,-1.01193,0.567415,0,-5.41348,-1.86,0.455893,-6.00023,-1.70116,0.503376,0,-6.16,-1.77324,0.450547,-6.00368,-1.33496,0.555979,0,-4.74617,-1.86,0.827887,-5.63866,-1.72933,0.743261,0,-6.16,-1.53312,0.302337,-5.90915,-0.982754,0.385467,0,-6.16,-1.56063,0.691882,-5.9152,-1.02284,0.85425,0,-4.73807,-1.86,0.00612956,-5.58955,-1.7191,0.195419,0,-6.16,-1.81372,0.559449,-5.94023,-1.34173,0.690799,0,-6.16,-1.70388,0.303561,-5.94895,-1.21699,0.388368,0,-6.16,-1.6323,0.534069,-5.92335,-1.11431,0.662515,0,-6.14023,-1.86,0.319023,-6.0072,-1.44372,0.405132,0,-5.27308,-1.86,0.978959,-5.88802,-1.69748,0.877345,0,-6.16,-1.32122,0.741365,-5.89518,-0.710746,0.924663,0,-6.16,-1.4009,0.211471,-5.85009,-0.769163,0.267968,0,-5.10883,-1.86,0.221178,-5.81918,-1.71328,0.333454,0,-6.14422,-1.86,0.151278,-5.93825,-1.40567,0.210709,0,-6.16,-1.46574,0.786851,-5.89785,-0.891877,0.975553,0,-6.16,-1.76647,0.210454,-5.98685,-1.31642,0.287768,0,-6.16,-1.3914,0.559609,-5.88162,-0.785836,0.702674,0,-2.87956,-1.86,1.28884,-5.15153,-1.8401,0.88733,0,-4.81703,-1.86,0.634707,-5.64716,-1.71878,0.620882,0,-6.16,-1.23407,0.544334,-5.93782,-0.643792,0.677849,0,
0.300007,-7.3771,-2.60556,0.306826,-7.39048,-2.29238,0.388834,-4.31782,-1.86,0.481197,-5.55634,-1.7795,0.492401,0,-4.06595,-1.86,1.26001,-5.40942,-1.77795,0.962854,0,-6.16,-1.54208,0.453338,-5.93651,-1.01948,0.565363,0,-5.41348,-1.86,0.455893,-5.99843,-1.70115,0.498308,0,-6.16,-1.77324,0.450547,-6.00489,-1.33524,0.553932,0,-4.74617,-1.86,0.827887,-5.63525,-1.73035,0.738462,0,-6.16,-1.53312,0.302337,-5.91934,-0.993248,0.385112,0,-6.16,-1.56063,0.691882,-5.91794,-1.02751,0.852008,0,-4.73807,-1.86,0.00612956,-5.59761,-1.72202,0.191951,0,-6.16,-1.81372,0.559449,-5.9544,-1.34947,0.68657,0,-6.16,-1.70388,0.303561,-5.9553,-1.22445,0.386843,0,-6.16,-1.6323,0.534069,-5.93236,-1.1224,0.660684,0,-6.14023,-1.86,0.319023,-6.00867,-1.44474,0.403946,0,-5.27308,-1.86,0.978959,-5.8925,-1.70061,0.873524,0,-6.16,-1.32122,0.741365,-5.89782,-0.719791,0.920616,0,-6.16,-1.4009,0.211471,-5.87428,-0.791245,0.268398,0,-5.10883,-1.86,0.221178,-5.8233,-1.71441,0.330596,0,-6.14422,-1.86,0.151278,-5.95306,-1.41227,0.210661,0,-6.16,-1.46574,0.786851,-5.90613,-0.901627,0.972428,0,-6.16,-1.76647,0.210454,-5.98252,-1.31588,0.285435,0,-6.16,-1.3914,0.559609,-5.88549,-0.794716,0.698452,0,-2.87956,-1.86,1.28884,-5.1375,-1.8411,0.884661,0,-4.81703,-1.86,0.634707,-5.65449,-1.72127,0.619469,0,-6.16,-1.23407,0.544334,-5.95185,-0.662766,0.673879,0,
