time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,
0,-7.55578,-1.82978,0.30393,-7.56197,-1.08075,0.43839,2.67787,-3.15459,-0.347598,-4.95582,-1.41813,0.272469,0,-6.16,-1.42514,0.442608,-4.96117,-0.326757,0.696793,0,-6.16,-1.40425,0.590787,-4.96067,-0.287688,0.973,0,-6.16,-1.29566,0.443558,-4.93308,-0.0747544,0.701373,0,-6.16,-1.47167,0.306476,-5.02587,-0.430061,0.443016,0,-6.16,-1.8145,0.660936,-4.93897,-1.05202,1.10929,0,-6.16,-1.60468,0.552314,-4.90445,-0.652168,0.911304,0,-6.16,-1.68545,0.440491,-4.84381,-0.799663,0.70433,0,2.7657,-5.51957,-1.29227,-4.80275,-2.06713,0.0116818,0,-6.16,-1.58808,0.318118,-5.01323,-0.639389,0.464298,0,-6.16,-1.6997,0.573302,-4.98828,-0.84088,0.935088,0,-6.03525,-1.95362,0.310024,-4.94704,-1.29372,0.44887,0,-6.16,-1.78227,0.330066,-4.95152,-0.991892,0.487271,0,-6.16,-1.561,0.695111,-4.94214,-0.576261,1.17262,0,-6.08603,-1.88115,0.407139,-4.84565,-1.17568,0.629136,0,-6.16,-1.42888,0.198714,-4.96599,-0.335121,0.242702,0,-6.16,-1.56349,0.4217,-4.81549,-0.55676,0.670126,0,-6.14203,-1.90674,0.135523,-4.98881,-1.22081,0.131874,0,-6.16,-1.60447,0.221445,-4.93287,-0.656348,0.283021,0,-6.15732,-1.88075,0.521862,-4.79389,-1.18163,0.86976,0,-6.16,-1.80403,0.111349,-4.9413,-1.03239,0.0768071,0,-6.16,-1.50628,0.5316,-4.959,-0.477453,0.862968,0,-6.16,-1.69639,0.694995,-4.97118,-0.833141,1.16427,0,-6.16,-1.69424,0.267993,-4.89719,-0.821974,0.369781,0,-6.16,-1.83719,0.237856,-4.95766,-1.09456,0.315107,0,-6.2138,-1.90417,0.686271,-4.98303,-1.2237,1.17315,0,-6.16,-1.35921,0.13088,-4.96973,-0.206809,0.117002,0,
0.033334,-7.55578,-1.82978,0.30393,-7.56237,-1.09603,0.437947,2.67787,-3.15459,-0.347598,-5.06527,-1.39527,0.288258,0,-6.16,-1.42514,0.442608,-5.04849,-0.343731,0.697516,0,-6.16,-1.40425,0.590787,-5.02326,-0.301249,0.968297,0,-6.16,-1.29566,0.443558,-5.00098,-0.0934583,0.702893,0,-6.16,-1.47167,0.306476,-5.10373,-0.443891,0.450911,0,-6.16,-1.8145,0.660936,-5.05466,-1.04325,1.0921,0,-6.16,-1.60468,0.552314,-4.99093,-0.657824,0.903388,0,-6.16,-1.68545,0.440491,-4.90634,-0.800551,0.701764,0,2.7657,-5.51957,-1.29227,-4.79676,-2.07039,0.0157937,0,-6.16,-1.58808,0.318118,-5.08784,-0.646097,0.471868,0,-6.16,-1.6997,0.573302,-5.06296,-0.842376,0.929569,0,-6.03525,-1.95362,0.310024,-5.02995,-1.2794,0.453321,0,-6.16,-1.78227,0.330066,-5.06225,-0.988194,0.495677,0,-6.16,-1.561,0.695111,-5.01468,-0.582973,1.16229,0,-6.08603,-1.88115,0.407139,-4.93754,-1.16571,0.630397,0,-6.16,-1.42888,0.198714,-5.08696,-0.359661,0.260133,0,-6.16,-1.56349,0.4217,-4.87726,-0.563483,0.671985,0,-6.14203,-1.90674,0.135523,-5.09499,-1.20721,0.152465,0,-6.16,-1.60447,0.221445,-5.04918,-0.66716,0.297349,0,-6.15732,-1.88075,0.521862,-4.87212,-1.17084,0.866406,0,-6.16,-1.80403,0.111349,-5.0622,-1.0262,0.104727,0,-6.16,-1.50628,0.5316,-5.03385,-0.486817,0.857076,0,-6.16,-1.69639,0.694995,-5.02182,-0.833141,1.15736,0,-6.16,-1.69424,0.267993,-4.97255,-0.824867,0.38161,0,-6.16,-1.83719,0.237856,-5.05954,-1.08589,0.327397,0,-6.2138,-1.90417,0.686271,-5.05223,-1.21334,1.16069,0,-6.16,-1.35921,0.13088,-5.05648,-0.228981,0.13605,0,
0.0666681,-7.55525,-1.8552,0.303814,-7.56261,-1.1069,0.437631,2.67787,-3.15459,-0.347598,-5.1908,-1.37013,0.305314,0,-6.16,-1.42514,0.442608,-5.20601,-0.378749,0.695634,0,-6.16,-1.40425,0.590787,-5.13554,-0.326475,0.958664,0,-6.16,-1.29566,0.443558,-5.09849,-0.121484,0.703454,0,-6.16,-1.47167,0.306476,-5.20044,-0.460069,0.458498,0,-6.16,-1.8145,0.660936,-5.17269,-1.03574,1.06977,0,-6.16,-1.60468,0.552314,-5.11912,-0.668636,0.891656,0,-6.16,-1.68545,0.440491,-5.03176,-0.803049,0.701314,0,2.7657,-5.51957,-1.29227,-4.83014,-2.05357,0.0340529,0,-6.16,-1.58808,0.318118,-5.23213,-0.660157,0.480962,0,-6.16,-1.6997,0.573302,-5.18244,-0.843999,0.916683,0,-6.03525,-1.95362,0.310024,-5.1604,-1.26121,0.467163,0,-6.16,-1.78227,0.330066,-5.1986,-0.984012,0.502985,0,-6.16,-1.561,0.695111,-5.13487,-0.595766,1.13976,0,-6.08603,-1.88115,0.407139,-5.13078,-1.14709,0.630893,0,-6.16,-1.42888,0.198714,-5.25284,-0.397951,0.286049,0,-6.16,-1.56349,0.4217,-5.01298,-0.578767,0.673793,0,-6.14203,-1.90674,0.135523,-5.24507,-1.18867,0.18026,0,-6.16,-1.60447,0.221445,-5.18431,-0.678055,0.311379,0,-6.15732,-1.88075,0.521862,-5.03545,-1.15263,0.852884,0,-6.16,-1.80403,0.111349,-5.20028,-1.01997,0.133722,0,-6.16,-1.50628,0.5316,-5.15237,-0.504497,0.848723,0,-6.16,-1.69639,0.694995,-5.13021,-0.834077,1.13886,0,-6.16,-1.69424,0.267993,-5.03815,-0.826369,0.391312,0,-6.16,-1.83719,0.237856,-5.20391,-1.07562,0.345154,0,-6.2138,-1.90417,0.686271,-5.14707,-1.20437,1.14896,0,-6.16,-1.35921,0.13088,-5.16966,-0.2582,0.160309,0,
0.100002,-7.55465,-1.88022,0.3037,-7.5629,-1.1214,0.437208,2.67787,-3.15459,-0.347598,-5.27521,-1.35599,0.315362,0,-6.16,-1.42514,0.442608,-5.33559,-0.411948,0.691143,0,-6.16,-1.40425,0.590787,-5.23884,-0.35268,0.945634,0,-6.16,-1.29566,0.443558,-5.23221,-0.166553,0.702403,0,-6.16,-1.47167,0.306476,-5.28003,-0.477088,0.464791,0,-6.16,-1.8145,0.660936,-5.28228,-1.0335,1.0506,0,-6.16,-1.60468,0.552314,-5.23323,-0.682717,0.87968,0,-6.16,-1.68545,0.440491,-5.18282,-0.813249,0.697594,0,2.7657,-5.51957,-1.29227,-4.30076,-2.229,-0.0338712,0,-6.16,-1.58808,0.318118,-5.35152,-0.677865,0.488364,0,-6.16,-1.6997,0.573302,-5.27304,-0.849814,0.906836,0,-6.03525,-1.95362,0.310024,-5.29131,-1.24485,0.473145,0,-6.16,-1.78227,0.330066,-5.34145,-0.983851,0.508204,0,-6.16,-1.561,0.695111,-5.22482,-0.610669,1.1237,0,-6.08603,-1.88115,0.407139,-5.21506,-1.14199,0.627748,0,-6.16,-1.42888,0.198714,-5.39795,-0.436198,0.306592,0,-6.16,-1.56349,0.4217,-5.10803,-0.594358,0.674031,0,-6.14203,-1.90674,0.135523,-5.3463,-1.17972,0.197092,0,-6.16,-1.60447,0.221445,-5.26242,-0.689554,0.323164,0,-6.15732,-1.88075,0.521862,-5.39157,-1.14299,0.801854,0,-6.16,-1.80403,0.111349,-5.32868,-1.01775,0.158547,0,-6.16,-1.50628,0.5316,-5.25934,-0.524934,0.839588,0,-6.16,-1.69639,0.694995,-5.25391,-0.84177,1.11556,0,-6.16,-1.69424,0.267993,-5.18345,-0.832525,0.405406,0,-6.16,-1.83719,0.237856,-5.30907,-1.07328,0.35854,0,-6.2138,-1.90417,0.686271,-5.25051,-1.19369,1.12766,0,-6.16,-1.35921,0.13088,-5.27593,-0.289658,0.181821,0,
0.133336,-7.55465,-1.88022,0.3037,-7.56325,-1.1327,0.436881,2.67787,-3.15459,-0.347598,-5.39053,-1.33705,0.333508,0,-6.16,-1.42514,0.442608,-5.46071,-0.442484,0.685973,0,-6.16,-1.40425,0.590787,-5.38956,-0.390138,0.924228,0,-6.16,-1.29566,0.443558,-5.39174,-0.219771,0.695933,0,-6.16,-1.47167,0.306476,-5.41272,-0.504199,0.474189,0,-6.16,-1.8145,0.660936,-5.4635,-1.02909,1.01524,0,-6.16,-1.60468,0.552314,-5.43682,-0.70784,0.854751,0,-6.16,-1.68545,0.440491,-5.35742,-0.824474,0.688959,0,2.7657,-5.51957,-1.29227,-4.35499,-2.1965,-0.0034796,0,-6.16,-1.58808,0.318118,-5.49941,-0.698582,0.496339,0,-6.16,-1.6997,0.573302,-5.41726,-0.85563,0.887346,0,-6.03525,-1.95362,0.310024,-5.46026,-1.22527,0.481374,0,-6.16,-1.78227,0.330066,-5.51448,-0.983779,0.512516,0,-6.16,-1.561,0.695111,-5.38913,-0.633265,1.0878,0,-6.08603,-1.88115,0.407139,-5.39157,-1.12914,0.626957,0,-6.16,-1.42888,0.198714,-5.5303,-0.468824,0.322987,0,-6.16,-1.56349,0.4217,-5.29296,-0.620177,0.668475,0,-6.14203,-1.90674,0.135523,-5.5641,-1.16093,0.233992,0,-6.16,-1.60447,0.221445,-5.40188,-0.70598,0.342007,0,-6.15732,-1.88075,0.521862,-5.39344,-1.13273,0.815874,0,-6.16,-1.80403,0.111349,-5.46664,-1.01546,0.185689,0,-6.16,-1.50628,0.5316,-5.41183,-0.552679,0.823763,0,-6.16,-1.69639,0.694995,-5.4255,-0.850809,1.07737,0,-6.16,-1.69424,0.267993,-5.40999,-0.847051,0.421726,0,-6.16,-1.83719,0.237856,-5.46673,-1.06826,0.377363,0,-6.2138,-1.90417,0.686271,-5.43517,-1.17616,1.08637,0,-6.16,-1.35921,0.13088,-5.36357,-0.316672,0.201985,0,
0.16667,-7.55497,-1.89011,0.303379,-7.56351,-1.14294,0.436584,2.67787,-3.15459,-0.347598,-5.4102,-1.33074,0.33224,0,-6.16,-1.42514,0.442608,-5.47909,-0.445128,0.6827,0,-6.16,-1.40425,0.590787,-5.42369,-0.396008,0.912867,0,-6.16,-1.29566,0.443558,-5.4325,-0.230579,0.689679,0,-6.16,-1.47167,0.306476,-5.45391,-0.509205,0.470189,0,-6.16,-1.8145,0.660936,-5.54406,-1.02418,0.994824,0,-6.16,-1.60468,0.552314,-5.47963,-0.710625,0.842744,0,-6.16,-1.68545,0.440491,-5.40305,-0.824793,0.682219,0,2.7657,-5.51957,-1.29227,-4.5231,-2.14037,0.0114416,0,-6.16,-1.58808,0.318118,-5.53557,-0.699735,0.489907,0,-6.16,-1.6997,0.573302,-5.4609,-0.854792,0.876813,0,-6.03525,-1.95362,0.310024,-5.50936,-1.21668,0.47904,0,-6.16,-1.78227,0.330066,-5.54559,-0.982306,0.511166,0,-6.16,-1.561,0.695111,-5.44506,-0.637693,1.06552,0,-6.08603,-1.88115,0.407139,-5.44569,-1.12199,0.620132,0,-6.16,-1.42888,0.198714,-5.57425,-0.47574,0.321516,0,-6.16,-1.56349,0.4217,-5.34212,-0.624763,0.661573,0,-6.14203,-1.90674,0.135523,-5.61577,-1.1542,0.236214,0,-6.16,-1.60447,0.221445,-5.41228,-0.705974,0.340496,0,-6.15732,-1.88075,0.521862,-5.39259,-1.12324,0.811553,0,-6.16,-1.80403,0.111349,-5.52028,-1.01058,0.189425,0,-6.16,-1.50628,0.5316,-5.4506,-0.558228,0.818053,0,-6.16,-1.69639,0.694995,-5.47224,-0.850825,1.06324,0,-6.16,-1.69424,0.267993,-5.46911,-0.84799,0.419354,0,-6.16,-1.83719,0.237856,-5.52258,-1.0633,0.380827,0,-6.2138,-1.90417,0.686271,-5.48444,-1.16791,1.06779,0,-6.16,-1.35921,0.13088,-5.4014,-0.322607,0.204993,0,
0.200004,-7.55405,-1.91592,0.303343,-7.56405,-1.16965,0.435805,2.67787,-3.15459,-0.347598,-5.59072,-1.32127,0.332954,0,-6.16,-1.42514,0.442608,-5.50099,-0.460441,0.671282,0,-6.16,-1.40425,0.590787,-5.47887,-0.421142,0.888727,0,-6.16,-1.29566,0.443558,-5.45432,-0.248287,0.678859,0,-6.16,-1.47167,0.306476,-5.4969,-0.527074,0.465982,0,-6.16,-1.8145,0.660936,-5.56923,-1.03486,0.979364,0,-6.16,-1.60468,0.552314,-5.68459,-0.763005,0.793374,0,-6.16,-1.68545,0.440491,-5.4542,-0.837517,0.668487,0,2.7657,-5.51957,-1.29227,-4.51742,-2.15258,-0.00251424,0,-6.16,-1.58808,0.318118,-5.68837,-0.741987,0.476957,0,-6.16,-1.6997,0.573302,-5.47297,-0.867664,0.865266,0,-6.03525,-1.95362,0.310024,-5.74274,-1.21443,0.464942,0,-6.16,-1.78227,0.330066,-5.57184,-0.992329,0.502136,0,-6.16,-1.561,0.695111,-5.69987,-0.706672,0.98126,0,-6.08603,-1.88115,0.407139,-5.6941,-1.13158,0.587283,0,-6.16,-1.42888,0.198714,-5.58557,-0.490288,0.315623,0,-6.16,-1.56349,0.4217,-5.59414,-0.690703,0.627538,0,-6.14203,-1.90674,0.135523,-5.77022,-1.16376,0.243996,0,-6.16,-1.60447,0.221445,-5.44145,-0.718616,0.332444,0,-6.15732,-1.88075,0.521862,-5.65518,-1.13232,0.757531,0,-6.16,-1.80403,0.111349,-5.73522,-1.03284,0.207869,0,-6.16,-1.50628,0.5316,-5.45937,-0.571585,0.807159,0,-6.16,-1.69639,0.694995,-5.50354,-0.86292,1.04441,0,-6.16,-1.69424,0.267993,-5.6354,-0.879565,0.413089,0,-6.16,-1.83719,0.237856,-5.56101,-1.0714,0.37375,0,-6.2138,-1.90417,0.686271,-5.67006,-1.17141,0.99985,0,-6.16,-1.35921,0.13088,-5.44073,-0.342461,0.201329,0,
0.233338,-7.55405,-1.91592,0.303343,-7.5643,-1.18455,0.435369,2.67787,-3.15459,-0.347598,-5.59164,-1.32158,0.320864,0,-6.16,-1.42514,0.442608,-5.5928,-0.495727,0.651619,0,-6.16,-1.40425,0.590787,-5.60995,-0.471339,0.847776,0,-6.16,-1.29566,0.443558,-5.5871,-0.3109,0.653652,0,-6.16,-1.47167,0.306476,-5.61164,-0.566573,0.45375,0,-6.16,-1.8145,0.660936,-5.69985,-1.04628,0.93248,0,-6.16,-1.60468,0.552314,-5.65194,-0.75866,0.789355,0,-6.16,-1.68545,0.440491,-5.65899,-0.869807,0.635386,0,2.7657,-5.51957,-1.29227,-4.4109,-2.20191,-0.0362063,0,-6.16,-1.58808,0.318118,-5.67287,-0.739433,0.47068,0,-6.16,-1.6997,0.573302,-5.5029,-0.8747,0.847352,0,-6.03525,-1.95362,0.310024,-5.73818,-1.2154,0.45991,0,-6.16,-1.78227,0.330066,-5.66358,-1.00221,0.489494,0,-6.16,-1.561,0.695111,-5.6546,-0.699305,0.982988,0,-6.08603,-1.88115,0.407139,-5.70076,-1.13119,0.580242,0,-6.16,-1.42888,0.198714,-5.64999,-0.51815,0.307427,0,-6.16,-1.56349,0.4217,-5.58143,-0.687728,0.618713,0,-6.14203,-1.90674,0.135523,-5.74678,-1.16655,0.233619,0,-6.16,-1.60447,0.221445,-5.51349,-0.736248,0.326317,0,-6.15732,-1.88075,0.521862,-5.68382,-1.13309,0.74089,0,-6.16,-1.80403,0.111349,-5.71442,-1.03345,0.195845,0,-6.16,-1.50628,0.5316,-5.53291,-0.596134,0.783306,0,-6.16,-1.69639,0.694995,-5.59829,-0.878703,1.00527,0,-6.16,-1.69424,0.267993,-5.61023,-0.878048,0.404421,0,-6.16,-1.83719,0.237856,-5.5571,-1.07765,0.363224,0,-6.2138,-1.90417,0.686271,-5.64678,-1.17367,0.993311,0,-6.16,-1.35921,0.13088,-5.60706,-0.408984,0.214305,0,
0.266672,-7.55248,-1.94196,0.303381,-7.56386,-1.19673,0.434999,2.67787,-3.15459,-0.347598,-5.56759,-1.31533,0.311061,0,-6.16,-1.42514,0.442608,-5.58106,-0.484594,0.641711,0,-6.16,-1.40425,0.590787,-5.57001,-0.452982,0.8475,0,-6.16,-1.29566,0.443558,-5.54336,-0.286769,0.650249,0,-6.16,-1.47167,0.306476,-5.58928,-0.553301,0.446406,0,-6.16,-1.8145,0.660936,-5.65779,-1.03863,0.933744,0,-6.16,-1.60468,0.552314,-5.64213,-0.751306,0.781939,0,-6.16,-1.68545,0.440491,-5.63205,-0.859357,0.627146,0,2.7657,-5.51957,-1.29227,-4.27825,-2.23547,-0.0768954,0,-6.16,-1.58808,0.318118,-5.64703,-0.730838,0.461434,0,-6.16,-1.6997,0.573302,-5.46866,-0.864228,0.845101,0,-6.03525,-1.95362,0.310024,-5.71525,-1.20886,0.450434,0,-6.16,-1.78227,0.330066,-5.62786,-0.993605,0.480952,0,-6.16,-1.561,0.695111,-5.63876,-0.691989,0.977743,0,-6.08603,-1.88115,0.407139,-5.6809,-1.12433,0.572517,0,-6.16,-1.42888,0.198714,-5.63366,-0.506285,0.298828,0,-6.16,-1.56349,0.4217,-5.58398,-0.682889,0.609249,0,-6.14203,-1.90674,0.135523,-5.71406,-1.16052,0.220128,0,-6.16,-1.60447,0.221445,-5.49457,-0.7253,0.316558,0,-6.15732,-1.88075,0.521862,-5.67687,-1.12581,0.731244,0,-6.16,-1.80403,0.111349,-5.69309,-1.02542,0.185135,0,-6.16,-1.50628,0.5316,-5.50086,-0.582125,0.775487,0,-6.16,-1.69639,0.694995,-5.5488,-0.86767,1.00922,0,-6.16,-1.69424,0.267993,-5.59544,-0.869244,0.395897,0,-6.16,-1.83719,0.237856,-5.56165,-1.06744,0.353844,0,-6.2138,-1.90417,0.686271,-5.61523,-1.16698,0.991579,0,-6.16,-1.35921,0.13088,-5.58679,-0.392841,0.203291,0,
0.300007,-7.5504,-1.96755,0.303481,-7.56362,-1.21175,0.434548,2.67787,-3.15459,-0.347598,-5.55826,-1.31582,0.310482,0,-6.16,-1.42514,0.442608,-5.59717,-0.493315,0.640236,0,-6.16,-1.40425,0.590787,-5.58613,-0.460993,0.848112,0,-6.16,-1.29566,0.443558,-5.56818,-0.300958,0.648945,0,-6.16,-1.47167,0.306476,-5.62561,-0.563762,0.447746,0,-6.16,-1.8145,0.660936,-5.63303,-1.04054,0.940268,0,-6.16,-1.60468,0.552314,-5.63285,-0.751357,0.785513,0,-6.16,-1.68545,0.440491,-5.63993,-0.861848,0.628674,0,2.7657,-5.51957,-1.29227,-4.2306,-2.243,-0.0853,0,-6.16,-1.58808,0.318118,-5.65271,-0.730581,0.463297,0,-6.16,-1.6997,0.573302,-5.46318,-0.864789,0.846148,0,-6.03525,-1.95362,0.310024,-5.70019,-1.21081,0.451747,0,-6.16,-1.78227,0.330066,-5.62769,-0.993575,0.480959,0,-6.16,-1.561,0.695111,-5.62221,-0.690228,0.982359,0,-6.08603,-1.88115,0.407139,-5.66781,-1.12574,0.570449,0,-6.16,-1.42888,0.198714,-5.65055,-0.513533,0.302659,0,-6.16,-1.56349,0.4217,-5.58548,-0.684288,0.61046,0,-6.14203,-1.90674,0.135523,-5.70519,-1.15967,0.219397,0,-6.16,-1.60447,0.221445,-5.51331,-0.72898,0.318384,0,-6.15732,-1.88075,0.521862,-5.67323,-1.12699,0.73179,0,-6.16,-1.80403,0.111349,-5.68093,-1.02592,0.183443,0,-6.16,-1.50628,0.5316,-5.51321,-0.587314,0.773415,0,-6.16,-1.69639,0.694995,-5.5419,-0.867902,1.01117,0,-6.16,-1.69424,0.267993,-5.59742,-0.869196,0.394207,0,-6.16,-1.83719,0.237856,-5.56568,-1.06832,0.352431,0,-6.2138,-1.90417,0.686271,-5.60268,-1.16762,0.996618,0,-6.16,-1.35921,0.13088,-5.62505,-0.410134,0.210508,0,
