time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,
0,2.57111,-3.25888,0.248672,2.74471,-3.49077,0.130854,3.00952,-1.86,0.707774,3.42147,-1.33134,0.839563,0,3.00523,-1.86,0.441854,3.41999,-1.3148,0.43135,0,2.77861,-1.86,0.666019,3.05662,-1.38789,0.758235,0,2.78507,-1.86,0.35238,3.07282,-1.34555,0.289894,0,2.98105,-1.86,0.273175,3.36595,-1.37085,0.167987,0,3.012,-1.86,0.554732,3.39791,-1.41826,0.584298,0,2.50274,-1.86,0.60693,2.63491,-1.24445,0.706143,0,3.23857,-1.86,0.703243,3.7024,-1.48362,0.783085,0,2.58151,-1.86,0.275436,2.76101,-1.29785,0.17281,0,2.98649,-1.86,0.157329,3.35157,-1.447,-0.00259872,0,2.35924,-1.86,0.469818,2.38376,-1.10762,0.507601,0,2.66442,-1.86,0.567482,2.89283,-1.27015,0.636941,0,2.68663,-1.86,0.229365,2.90625,-1.53458,0.103855,0,2.79669,-1.86,0.538975,3.09884,-1.29469,0.586596,0,3.2192,-1.86,0.108447,3.6945,-1.44067,-0.07465,0,3.27746,-1.86,0.208658,3.71909,-1.56107,0.0756573,0,2.89816,-1.86,0.502579,3.27394,-1.22709,0.54173,0,3.32157,-1.86,0.551375,3.81883,-1.48858,0.564108,0,2.58012,-1.86,0.178207,2.75836,-1.36964,0.0240085,0,2.45623,-1.86,0.194387,2.55359,-1.16358,0.0405451,0,3.17717,-1.86,0.209186,3.6446,-1.41367,0.0722243,0,2.67025,-1.86,0.109386,2.89944,-1.30732,-0.0865511,0,2.67537,-1.86,0.407279,2.90299,-1.36694,0.371656,0,3.32835,-1.86,0.355345,3.87883,-1.39564,0.290621,0,2.80093,-1.86,0.209934,3.07507,-1.47989,0.0751686,0,2.37658,-1.86,0.587631,2.42162,-1.16748,0.693805,0,2.87371,-1.86,0.710639,3.19803,-1.39511,0.822927,0,3.08463,-1.86,0.329014,3.46331,-1.53319,0.243284,0,
0.0333341,2.57111,-3.25888,0.248672,2.79178,-3.49559,0.129633,3.00952,-1.86,0.707774,3.37319,-1.56828,0.764721,0,3.00523,-1.86,0.441854,3.39482,-1.4919,0.41049,0,2.77861,-1.86,0.666019,3.06851,-1.53563,0.714403,0,2.78507,-1.86,0.35238,3.07952,-1.50947,0.277913,0,2.98105,-1.86,0.273175,3.36263,-1.5001,0.167916,0,3.012,-1.86,0.554732,3.35541,-1.63839,0.542163,0,2.50274,-1.86,0.60693,2.67352,-1.43743,0.654909,0,3.23857,-1.86,0.703243,3.63838,-1.67539,0.728122,0,2.58151,-1.86,0.275436,2.78778,-1.52233,0.167148,0,2.98649,-1.86,0.157329,3.34862,-1.57373,0.0100724,0,2.35924,-1.86,0.469818,2.44185,-1.30859,0.472533,0,2.66442,-1.86,0.567482,2.90472,-1.49185,0.587593,0,2.68663,-1.86,0.229365,2.9294,-1.65902,0.105998,0,2.79669,-1.86,0.538975,3.09342,-1.50486,0.54441,0,3.2192,-1.86,0.108447,3.67469,-1.55916,-0.0533982,0,3.27746,-1.86,0.208658,3.70846,-1.65612,0.0833919,0,2.89816,-1.86,0.502579,3.28723,-1.32977,0.52782,0,3.32157,-1.86,0.551375,3.85313,-1.51367,0.562962,0,2.58012,-1.86,0.178207,2.7909,-1.49467,0.0295188,0,2.45623,-1.86,0.194387,2.59836,-1.33014,0.045432,0,3.17717,-1.86,0.209186,3.62295,-1.5424,0.0833667,0,2.67025,-1.86,0.109386,2.92179,-1.44621,-0.0703865,0,2.67537,-1.86,0.407279,2.92201,-1.54555,0.350923,0,3.32835,-1.86,0.355345,3.85416,-1.50653,0.287801,0,2.80093,-1.86,0.209934,3.09726,-1.5701,0.0766098,0,2.37658,-1.86,0.587631,2.47707,-1.36708,0.643376,0,2.87371,-1.86,0.710639,3.19583,-1.55707,0.771419,0,3.08463,-1.86,0.329014,3.43937,-1.68741,0.23925,0,
0.0666681,2.59923,-3.25964,0.248263,2.80733,-3.4973,0.129226,3.00952,-1.86,0.707774,3.36563,-1.60259,0.747804,0,3.00523,-1.86,0.441854,3.37329,-1.56021,0.390923,0,2.77861,-1.86,0.666019,3.06029,-1.58607,0.695111,0,2.78507,-1.86,0.35238,3.06432,-1.58953,0.26922,0,2.98105,-1.86,0.273175,3.34339,-1.56068,0.158952,0,3.012,-1.86,0.554732,3.32149,-1.736,0.513823,0,2.50274,-1.86,0.60693,2.67552,-1.49721,0.640477,0,3.23857,-1.86,0.703243,3.62901,-1.7015,0.713551,0,2.58151,-1.86,0.275436,2.78353,-1.63268,0.162486,0,2.98649,-1.86,0.157329,3.32524,-1.64381,0.00705097,0,2.35924,-1.86,0.469818,2.45356,-1.41792,0.454064,0,2.66442,-1.86,0.567482,2.89891,-1.56596,0.565728,0,2.68663,-1.86,0.229365,2.92169,-1.72561,0.102461,0,2.79669,-1.86,0.538975,3.07709,-1.59235,0.520913,0,3.2192,-1.86,0.108447,3.64206,-1.62158,-0.0556161,0,3.27746,-1.86,0.208658,3.67918,-1.70836,0.077418,0,2.89816,-1.86,0.502579,3.25005,-1.45211,0.497085,0,3.32157,-1.86,0.551375,3.85251,-1.52075,0.550101,0,2.58012,-1.86,0.178207,2.78501,-1.59579,0.0315956,0,2.45623,-1.86,0.194387,2.60206,-1.42174,0.0454547,0,3.17717,-1.86,0.209186,3.58503,-1.62053,0.0762614,0,2.67025,-1.86,0.109386,2.90786,-1.5584,-0.0612788,0,2.67537,-1.86,0.407279,2.91702,-1.60554,0.340012,0,3.32835,-1.86,0.355345,3.82144,-1.56104,0.275473,0,2.80093,-1.86,0.209934,3.08233,-1.64007,0.0730818,0,2.37658,-1.86,0.587631,2.48481,-1.4311,0.627183,0,2.87371,-1.86,0.710639,3.18135,-1.6181,0.744907,0,3.08463,-1.86,0.329014,3.39725,-1.79011,0.223947,0,
0.100002,2.59923,-3.25964,0.248263,2.82031,-3.49866,0.128888,3.00952,-1.86,0.707774,3.34447,-1.64425,0.733351,0,3.00523,-1.86,0.441854,3.33081,-1.66029,0.37776,0,2.77861,-1.86,0.666019,3.03922,-1.66289,0.67297,0,2.78507,-1.86,0.35238,3.04426,-1.66777,0.26298,0,2.98105,-1.86,0.273175,3.30563,-1.65212,0.158524,0,3.012,-1.86,0.554732,3.30829,-1.76568,0.506841,0,2.50274,-1.86,0.60693,2.67037,-1.56704,0.621962,0,3.23857,-1.86,0.703243,3.60518,-1.73475,0.705105,0,2.58151,-1.86,0.275436,2.77533,-1.72668,0.159433,0,2.98649,-1.86,0.157329,3.29425,-1.71772,0.0140493,0,2.35924,-1.86,0.469818,2.45618,-1.47706,0.445539,0,2.66442,-1.86,0.567482,2.88542,-1.64411,0.547094,0,2.68663,-1.86,0.229365,2.90722,-1.80412,0.103906,0,2.79669,-1.86,0.538975,3.05663,-1.66957,0.505732,0,3.2192,-1.86,0.108447,3.60363,-1.68508,-0.0519448,0,3.27746,-1.86,0.208658,3.64731,-1.75613,0.0753379,0,2.89816,-1.86,0.502579,3.21855,-1.54781,0.47992,0,3.32157,-1.86,0.551375,3.83192,-1.54052,0.544788,0,2.58012,-1.86,0.178207,2.77786,-1.66716,0.0335718,0,2.45623,-1.86,0.194387,2.60017,-1.46194,0.049986,0,3.17717,-1.86,0.209186,3.54502,-1.69129,0.0785743,0,2.67025,-1.86,0.109386,2.89103,-1.67058,-0.0498618,0,2.67537,-1.86,0.407279,2.89947,-1.70698,0.327592,0,3.32835,-1.86,0.355345,3.78833,-1.60725,0.267556,0,2.80093,-1.86,0.209934,3.06426,-1.70328,0.0757377,0,2.37658,-1.86,0.587631,2.48534,-1.49407,0.612076,0,2.87371,-1.86,0.710639,3.16573,-1.65991,0.730416,0,3.08463,-1.86,0.329014,3.36427,-1.86012,0.220212,0,
0.133336,2.62636,-3.26069,0.24783,2.84794,-3.50194,0.128158,3.00952,-1.86,0.707774,3.33392,-1.71683,0.713887,0,3.00523,-1.86,0.441854,3.29441,-1.8131,0.360369,0,2.77861,-1.86,0.666019,3.03881,-1.74869,0.648916,0,2.78507,-1.86,0.35238,3.04313,-1.75829,0.258715,0,2.98105,-1.86,0.273175,3.2873,-1.75615,0.156102,0,3.012,-1.86,0.554732,3.30912,-1.80769,0.500559,0,2.50274,-1.86,0.60693,2.68623,-1.67068,0.596008,0,3.23857,-1.86,0.703243,3.59552,-1.78282,0.690809,0,2.58151,-1.86,0.275436,2.7898,-1.7798,0.158728,0,2.98649,-1.86,0.157329,3.28165,-1.80383,0.0229398,0,2.35924,-1.86,0.469818,2.48011,-1.56107,0.431187,0,2.66442,-1.86,0.567482,2.89352,-1.71976,0.532519,0,2.68663,-1.86,0.229365,2.91455,-1.87852,0.105868,0,2.79669,-1.86,0.538975,3.05261,-1.77344,0.489978,0,3.2192,-1.86,0.108447,3.58717,-1.74915,-0.0415563,0,3.27746,-1.86,0.208658,3.61792,-1.83682,0.0833075,0,2.89816,-1.86,0.502579,3.20259,-1.66512,0.460869,0,3.32157,-1.86,0.551375,3.80149,-1.61425,0.53378,0,2.58012,-1.86,0.178207,2.79002,-1.7476,0.0405721,0,2.45623,-1.86,0.194387,2.61749,-1.52155,0.0541079,0,3.17717,-1.86,0.209186,3.51552,-1.78644,0.0829082,0,2.67025,-1.86,0.109386,2.89878,-1.75582,-0.0406578,0,2.67537,-1.86,0.407279,2.90351,-1.81779,0.316607,0,3.32835,-1.86,0.355345,3.77831,-1.65152,0.267656,0,2.80093,-1.86,0.209934,3.06129,-1.79449,0.0800093,0,2.37658,-1.86,0.587631,2.51108,-1.61137,0.582753,0,2.87371,-1.86,0.710639,3.15843,-1.7447,0.705482,0,3.08463,-1.86,0.329014,3.34869,-1.93893,0.217961,0,
0.16667,2.65292,-3.26173,0.247379,2.86328,-3.50384,0.12775,3.00952,-1.86,0.707774,3.32888,-1.73601,0.707579,0,3.00523,-1.86,0.441854,3.28923,-1.83863,0.356806,0,2.77861,-1.86,0.666019,3.03761,-1.76717,0.644058,0,2.78507,-1.86,0.35238,3.03835,-1.79261,0.25616,0,2.98105,-1.86,0.273175,3.27046,-1.81254,0.158209,0,3.012,-1.86,0.554732,3.29505,-1.84707,0.491901,0,2.50274,-1.86,0.60693,2.68837,-1.71887,0.583685,0,3.23857,-1.86,0.703243,3.57619,-1.81897,0.677652,0,2.58151,-1.86,0.275436,2.78867,-1.82061,0.159317,0,2.98649,-1.86,0.157329,3.27256,-1.83582,0.0249551,0,2.35924,-1.86,0.469818,2.48719,-1.61863,0.422877,0,2.66442,-1.86,0.567482,2.88424,-1.8185,0.511868,0,2.68663,-1.86,0.229365,2.91319,-1.90482,0.10796,0,2.79669,-1.86,0.538975,3.045,-1.82057,0.480111,0,3.2192,-1.86,0.108447,3.56563,-1.79239,-0.0356829,0,3.27746,-1.86,0.208658,3.59391,-1.88193,0.0835799,0,2.89816,-1.86,0.502579,3.19207,-1.7115,0.453131,0,3.32157,-1.86,0.551375,3.78095,-1.64983,0.526136,0,2.58012,-1.86,0.178207,2.78921,-1.79399,0.0427795,0,2.45623,-1.86,0.194387,2.62032,-1.60402,0.0554599,0,3.17717,-1.86,0.209186,3.48212,-1.85905,0.085038,0,2.67025,-1.86,0.109386,2.8967,-1.79037,-0.038247,0,2.67537,-1.86,0.407279,2.89677,-1.89893,0.31005,0,3.32835,-1.86,0.355345,3.75916,-1.68297,0.263273,0,2.80093,-1.86,0.209934,3.0522,-1.8475,0.0833751,0,2.37658,-1.86,0.587631,2.51838,-1.66746,0.571216,0,2.87371,-1.86,0.710639,3.15752,-1.75777,0.698751,0,3.08463,-1.86,0.329014,3.34217,-1.96015,0.21788,0,
0.200004,2.65292,-3.26173,0.247379,2.87457,-3.50514,0.127453,3.00952,-1.86,0.707774,3.30934,-1.77241,0.696709,0,3.00523,-1.86,0.441854,3.27389,-1.8664,0.353704,0,2.77861,-1.86,0.666019,3.02319,-1.81046,0.631714,0,2.78507,-1.86,0.35238,3.0249,-1.83856,0.256634,0,2.98105,-1.86,0.273175,3.24985,-1.86123,0.159837,0,3.012,-1.86,0.554732,3.28835,-1.85364,0.490381,0,2.50274,-1.86,0.60693,2.68383,-1.7568,0.574047,0,3.23857,-1.86,0.703243,3.55547,-1.84752,0.669208,0,2.58151,-1.86,0.275436,2.78327,-1.84381,0.160948,0,2.98649,-1.86,0.157329,3.25987,-1.85809,0.0278004,0,2.35924,-1.86,0.469818,2.4872,-1.66289,0.417199,0,2.66442,-1.86,0.567482,2.87516,-1.87795,0.500104,0,2.68663,-1.86,0.229365,2.90564,-1.92601,0.108412,0,2.79669,-1.86,0.538975,3.03804,-1.83672,0.479844,0,3.2192,-1.86,0.108447,3.54596,-1.82023,-0.0320243,0,3.27746,-1.86,0.208658,3.55521,-1.94188,0.0872357,0,2.89816,-1.86,0.502579,3.17004,-1.77236,0.442105,0,3.32157,-1.86,0.551375,3.74527,-1.69726,0.51717,0,2.58012,-1.86,0.178207,2.78356,-1.82075,0.0452422,0,2.45623,-1.86,0.194387,2.61812,-1.64789,0.0587649,0,3.17717,-1.86,0.209186,3.45785,-1.90122,0.0875892,0,2.67025,-1.86,0.109386,2.89112,-1.79996,-0.0373001,0,2.67537,-1.86,0.407279,2.89187,-1.91386,0.308188,0,3.32835,-1.86,0.355345,3.72884,-1.72256,0.264014,0,2.80093,-1.86,0.209934,3.03228,-1.92528,0.0858687,0,2.37658,-1.86,0.587631,2.51709,-1.70198,0.563621,0,2.87371,-1.86,0.710639,3.14678,-1.77617,0.694633,0,3.08463,-1.86,0.329014,3.3311,-1.97463,0.218844,0,
0.233338,2.66272,-3.26228,0.24682,2.8844,-3.50635,0.127192,3.00952,-1.86,0.707774,3.28722,-1.81872,0.679429,0,3.00523,-1.86,0.441854,3.26367,-1.88128,0.34934,0,2.77861,-1.86,0.666019,3.00654,-1.87455,0.610766,0,2.78507,-1.86,0.35238,3.01128,-1.88731,0.253681,0,2.98105,-1.86,0.273175,3.23679,-1.8883,0.153971,0,3.012,-1.86,0.554732,3.27216,-1.88137,0.481241,0,2.50274,-1.86,0.60693,2.67962,-1.7973,0.560187,0,3.23857,-1.86,0.703243,3.52506,-1.89374,0.653654,0,2.58151,-1.86,0.275436,2.77601,-1.90107,0.15586,0,2.98649,-1.86,0.157329,3.25043,-1.8709,0.0260591,0,2.35924,-1.86,0.469818,2.48996,-1.73016,0.403092,0,2.66442,-1.86,0.567482,2.86655,-1.92647,0.485011,0,2.68663,-1.86,0.229365,2.89753,-1.95288,0.106163,0,2.79669,-1.86,0.538975,3.02149,-1.89248,0.462748,0,3.2192,-1.86,0.108447,3.52468,-1.85055,-0.0298609,0,3.27746,-1.86,0.208658,3.53768,-1.96625,0.0863453,0,2.89816,-1.86,0.502579,3.14803,-1.83863,0.427663,0,3.32157,-1.86,0.551375,3.70307,-1.75774,0.504064,0,2.58012,-1.86,0.178207,2.77656,-1.87103,0.0442098,0,2.45623,-1.86,0.194387,2.61503,-1.69253,0.0583035,0,3.17717,-1.86,0.209186,3.43725,-1.93435,0.0874997,0,2.67025,-1.86,0.109386,2.88428,-1.81553,-0.0395132,0,2.67537,-1.86,0.407279,2.88343,-1.94266,0.30278,0,3.32835,-1.86,0.355345,3.69398,-1.77074,0.260493,0,2.80093,-1.86,0.209934,3.02162,-1.96209,0.0848135,0,2.37658,-1.86,0.587631,2.52073,-1.78331,0.538429,0,2.87371,-1.86,0.710639,3.13123,-1.8126,0.680041,0,3.08463,-1.86,0.329014,3.31357,-2.00356,0.215606,0,
0.266672,2.66272,-3.26228,0.24682,2.8992,-3.50819,0.126799,3.00952,-1.86,0.707774,3.19548,-2.19041,0.557695,0,3.00523,-1.86,0.441854,3.18326,-2.22527,0.301846,0,2.77861,-1.86,0.666019,2.98398,-2.19602,0.515031,0,2.78507,-1.86,0.35238,2.9877,-2.2031,0.227887,0,2.98105,-1.86,0.273175,3.15964,-2.24054,0.148152,0,3.012,-1.86,0.554732,3.19353,-2.20316,0.411135,0,2.50274,-1.86,0.60693,2.7235,-2.16114,0.46801,0,3.23857,-1.86,0.703243,3.37398,-2.26424,0.532791,0,2.58151,-1.86,0.275436,2.79711,-2.17742,0.152406,0,2.98649,-1.86,0.157329,3.17864,-2.19438,0.0465221,0,2.35924,-1.86,0.469818,2.58686,-2.1613,0.336253,0,2.66442,-1.86,0.567482,2.86921,-2.24855,0.413432,0,2.68663,-1.86,0.229365,2.89642,-2.20488,0.110012,0,2.79669,-1.86,0.538975,2.9951,-2.21031,0.397137,0,3.2192,-1.86,0.108447,3.37187,-2.24518,0.00925753,0,3.27746,-1.86,0.208658,3.40784,-2.27805,0.0942646,0,2.89816,-1.86,0.502579,3.08063,-2.26772,0.351958,0,3.32157,-1.86,0.551375,3.46629,-2.25582,0.397494,0,2.58012,-1.86,0.178207,2.7986,-2.20333,0.0611318,0,2.45623,-1.86,0.194387,2.67876,-2.13287,0.0768471,0,3.17717,-1.86,0.209186,3.30981,-2.29824,0.0967996,0,2.67025,-1.86,0.109386,2.88438,-2.16799,-0.00420006,0,2.67537,-1.86,0.407279,2.8848,-2.21749,0.271199,0,3.32835,-1.86,0.355345,3.49191,-2.20632,0.224665,0,2.80093,-1.86,0.209934,2.99303,-2.27304,0.0922544,0,2.37658,-1.86,0.587631,2.60749,-2.19475,0.438844,0,2.87371,-1.86,0.710639,3.07707,-2.17235,0.562467,0,3.08463,-1.86,0.329014,3.23504,-2.2814,0.199787,0,
0.300007,2.71,-3.26431,0.246395,2.8844,-3.50635,0.127192,3.00952,-1.86,0.707774,3.16454,-2.1808,0.557561,0,3.00523,-1.86,0.441854,3.15184,-2.21591,0.301473,0,2.77861,-1.86,0.666019,2.95399,-2.17984,0.518621,0,2.78507,-1.86,0.35238,2.95589,-2.18658,0.228781,0,2.98105,-1.86,0.273175,3.12825,-2.23092,0.147249,0,3.012,-1.86,0.554732,3.16308,-2.1947,0.412129,0,2.50274,-1.86,0.60693,2.6882,-2.12691,0.477847,0,3.23857,-1.86,0.703243,3.34336,-2.25941,0.529749,0,2.58151,-1.86,0.275436,2.76307,-2.15156,0.154343,0,2.98649,-1.86,0.157329,3.1461,-2.18529,0.0452339,0,2.35924,-1.86,0.469818,2.53991,-2.10124,0.346689,0,2.66442,-1.86,0.567482,2.83956,-2.22742,0.415918,0,2.68663,-1.86,0.229365,2.8618,-2.18497,0.110701,0,2.79669,-1.86,0.538975,2.96153,-2.19428,0.40045,0,3.2192,-1.86,0.108447,3.33957,-2.23837,0.00643719,0,3.27746,-1.86,0.208658,3.3747,-2.27555,0.0918578,0,2.89816,-1.86,0.502579,3.05015,-2.25546,0.353397,0,3.32157,-1.86,0.551375,3.43982,-2.23772,0.396731,0,2.58012,-1.86,0.178207,2.76458,-2.17726,0.0616305,0,2.45623,-1.86,0.194387,2.63766,-2.09032,0.0777557,0,3.17717,-1.86,0.209186,3.27541,-2.29232,0.0948902,0,2.67025,-1.86,0.109386,2.84618,-2.14667,-0.00496587,0,2.67537,-1.86,0.407279,2.85097,-2.19701,0.273981,0,3.32835,-1.86,0.355345,3.46376,-2.19065,0.222343,0,2.80093,-1.86,0.209934,2.95809,-2.2572,0.0927204,0,2.37658,-1.86,0.587631,2.56453,-2.14293,0.452927,0,2.87371,-1.86,0.710639,3.04731,-2.15927,0.564635,0,3.08463,-1.86,0.329014,3.20076,-2.27594,0.1982,0,
