time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,
0,7.55438,1.35115,0.188758,7.55666,1.34027,0.189971,6.16,1.08691,0.0629993,5.2862,0.909999,-0.0148006,0,6.16,1.06419,0.481372,5.20243,0.855774,0.684012,0,6.16,0.888431,0.15117,5.25761,0.577339,0.127996,0,6.16,1.48328,0.0817423,5.1664,1.56677,0.00652413,0,6.16,0.9146,0.41957,5.28797,0.62999,0.565508,0,6.16,1.06722,0.323541,5.20381,0.861168,0.417401,0,6.16,0.938159,0.630928,5.26714,0.662151,0.915999,0,6.16,1.19562,0.566481,5.25305,1.08332,0.813995,0,6.16,0.779792,0.564768,5.46222,0.482055,0.754759,0,6.16,1.47585,0.647414,5.54655,1.52003,0.85116,0,6.16,1.83134,0.355097,5.27497,2.12603,0.46216,0,6.16,1.09093,0.578612,5.28097,0.915575,0.826232,0,6.16,1.25188,0.389428,5.26914,1.17741,0.519176,0,6.16,1.34322,0.650043,5.32183,1.32755,0.929293,0,6.16,0.916228,0.534488,5.23957,0.617543,0.764483,0,6.16,1.0624,0.219438,5.23556,0.859603,0.241041,0,6.16,1.58611,0.654197,5.26176,1.72697,0.956,0,6.16,1.64635,0.372328,5.26309,1.82584,0.49192,0,6.16,1.5568,0.531806,5.32971,1.66871,0.73785,0,6.16,1.70004,0.624628,5.24725,1.9181,0.911871,0,6.16,1.72369,0.488655,5.21554,1.96576,0.693489,0,6.16,0.943877,0.305928,5.29058,0.678387,0.38039,0,6.16,1.35081,0.48239,5.20595,1.33969,0.684991,0,
0.0333341,7.55345,1.36202,0.188555,7.5563,1.35153,0.190404,6.16,1.08691,0.0629993,5.46866,0.92969,-0.00188366,0,6.16,1.06419,0.481372,5.38536,0.876836,0.644821,0,6.16,0.888431,0.15117,5.42943,0.618223,0.129698,0,6.16,1.48328,0.0817423,5.3574,1.53238,0.0197537,0,6.16,0.9146,0.41957,5.46239,0.668658,0.533791,0,6.16,1.06722,0.323541,5.42734,0.888854,0.394791,0,6.16,0.938159,0.630928,5.42829,0.692787,0.862792,0,6.16,1.19562,0.566481,5.423,1.08607,0.766642,0,6.16,0.779792,0.564768,5.57818,0.51725,0.72147,0,6.16,1.47585,0.647414,5.64296,1.50144,0.819549,0,6.16,1.83134,0.355097,5.48954,2.0334,0.437504,0,6.16,1.09093,0.578612,5.44048,0.930679,0.781085,0,6.16,1.25188,0.389428,5.46132,1.17528,0.491718,0,6.16,1.34322,0.650043,5.50077,1.31328,0.871091,0,6.16,0.916228,0.534488,5.40003,0.651054,0.723362,0,6.16,1.0624,0.219438,5.42188,0.882087,0.235565,0,6.16,1.58611,0.654197,5.42006,1.68408,0.903404,0,6.16,1.64635,0.372328,5.43738,1.77297,0.470692,0,6.16,1.5568,0.531806,5.47664,1.63258,0.699418,0,6.16,1.70004,0.624628,5.41819,1.85797,0.856492,0,6.16,1.72369,0.488655,5.36392,1.91157,0.663877,0,6.16,0.943877,0.305928,5.4702,0.715029,0.362448,0,6.16,1.35081,0.48239,5.41028,1.32222,0.641857,0,
0.0666681,7.55345,1.36202,0.188555,7.556,1.36219,0.190813,6.16,1.08691,0.0629993,5.61906,0.947231,0.0121689,0,6.16,1.06419,0.481372,5.55067,0.898804,0.608315,0,6.16,0.888431,0.15117,5.54726,0.647431,0.131179,0,6.16,1.48328,0.0817423,5.49168,1.50983,0.029703,0,6.16,0.9146,0.41957,5.60513,0.702012,0.509169,0,6.16,1.06722,0.323541,5.57541,0.909276,0.377887,0,6.16,0.938159,0.630928,5.54257,0.716634,0.824757,0,6.16,1.19562,0.566481,5.56549,1.09113,0.726263,0,6.16,0.779792,0.564768,5.688,0.550942,0.690481,0,6.16,1.47585,0.647414,5.72977,1.48459,0.7906,0,6.16,1.83134,0.355097,5.58714,1.99248,0.425933,0,6.16,1.09093,0.578612,5.56475,0.943439,0.747017,0,6.16,1.25188,0.389428,5.59487,1.17538,0.470688,0,6.16,1.34322,0.650043,5.67568,1.3022,0.810119,0,6.16,0.916228,0.534488,5.53985,0.682959,0.686072,0,6.16,1.0624,0.219438,5.57817,0.903241,0.231044,0,6.16,1.58611,0.654197,5.54269,1.65292,0.861428,0,6.16,1.64635,0.372328,5.5671,1.73533,0.452419,0,6.16,1.5568,0.531806,5.60682,1.60265,0.667706,0,6.16,1.70004,0.624628,5.55275,1.81333,0.816107,0,6.16,1.72369,0.488655,5.51782,1.85721,0.62846,0,6.16,0.943877,0.305928,5.61683,0.746677,0.349156,0,6.16,1.35081,0.48239,5.55564,1.31225,0.610153,0,
0.100002,7.55217,1.39002,0.18899,7.5553,1.38996,0.191875,6.16,1.08691,0.0629993,5.70884,0.971619,0.0221305,0,6.16,1.06419,0.481372,5.6414,0.924751,0.589852,0,6.16,0.888431,0.15117,5.62818,0.680364,0.13372,0,6.16,1.48328,0.0817423,5.60061,1.50511,0.0383475,0,6.16,0.9146,0.41957,5.69238,0.736031,0.495159,0,6.16,1.06722,0.323541,5.65714,0.933514,0.370495,0,6.16,0.938159,0.630928,5.62891,0.747816,0.797109,0,6.16,1.19562,0.566481,5.63273,1.10714,0.707127,0,6.16,0.779792,0.564768,5.72599,0.576034,0.680679,0,6.16,1.47585,0.647414,5.78147,1.48812,0.773918,0,6.16,1.83134,0.355097,5.64533,1.97932,0.419127,0,6.16,1.09093,0.578612,5.64416,0.96523,0.723153,0,6.16,1.25188,0.389428,5.68006,1.18881,0.458046,0,6.16,1.34322,0.650043,5.75288,1.31153,0.784238,0,6.16,0.916228,0.534488,5.62629,0.716227,0.665089,0,6.16,1.0624,0.219438,5.67433,0.930157,0.229262,0,6.16,1.58611,0.654197,5.62549,1.64525,0.833878,0,6.16,1.64635,0.372328,5.63964,1.72738,0.443039,0,6.16,1.5568,0.531806,5.68747,1.59795,0.649545,0,6.16,1.70004,0.624628,5.62235,1.80324,0.794471,0,6.16,1.72369,0.488655,5.60569,1.84023,0.6088,0,6.16,0.943877,0.305928,5.70638,0.77972,0.342042,0,6.16,1.35081,0.48239,5.63593,1.32001,0.593508,0,
0.133336,7.55082,1.4176,0.189377,7.55488,1.40539,0.192467,6.16,1.08691,0.0629993,6.31301,1.11062,0.0744236,0,6.16,1.06419,0.481372,6.34457,1.09659,0.443189,0,6.16,0.888431,0.15117,6.32375,0.938129,0.153435,0,6.16,1.48328,0.0817423,6.26511,1.46798,0.0910849,0,6.16,0.9146,0.41957,6.35391,0.970336,0.385773,0,6.16,1.06722,0.323541,6.32429,1.09416,0.306772,0,6.16,0.938159,0.630928,6.33684,0.985138,0.572931,0,6.16,1.19562,0.566481,6.27668,1.20291,0.534109,0,6.16,0.779792,0.564768,6.33076,0.847181,0.517788,0,6.16,1.47585,0.647414,6.31464,1.45856,0.598852,0,6.16,1.83134,0.355097,6.26708,1.78802,0.346582,0,6.16,1.09093,0.578612,6.31795,1.11551,0.535404,0,6.16,1.25188,0.389428,6.27177,1.25394,0.373648,0,6.16,1.34322,0.650043,6.34642,1.33835,0.590193,0,6.16,0.916228,0.534488,6.33671,0.966598,0.48909,0,6.16,1.0624,0.219438,6.31524,1.08903,0.215258,0,6.16,1.58611,0.654197,6.31598,1.55449,0.605533,0,6.16,1.64635,0.372328,6.28205,1.61534,0.35839,0,6.16,1.5568,0.531806,6.30831,1.53007,0.497095,0,6.16,1.70004,0.624628,6.29731,1.66022,0.585458,0,6.16,1.72369,0.488655,6.33697,1.67283,0.454415,0,6.16,0.943877,0.305928,6.36847,0.999567,0.286586,0,6.16,1.35081,0.48239,6.30033,1.34426,0.455265,0,
0.16667,7.55082,1.4176,0.189377,7.55451,1.41734,0.192926,6.16,1.08691,0.0629993,6.14928,1.06873,0.059217,0,6.16,1.06419,0.481372,6.19977,1.05495,0.47148,0,6.16,0.888431,0.15117,6.11388,0.854097,0.146089,0,6.16,1.48328,0.0817423,6.1306,1.4707,0.0803538,0,6.16,0.9146,0.41957,6.15738,0.89585,0.416787,0,6.16,1.06722,0.323541,6.17103,1.05108,0.320728,0,6.16,0.938159,0.630928,6.13265,0.91293,0.636668,0,6.16,1.19562,0.566481,6.1203,1.17559,0.57531,0,6.16,0.779792,0.564768,6.24536,0.80573,0.540408,0,6.16,1.47585,0.647414,6.31484,1.45432,0.599442,0,6.16,1.83134,0.355097,6.2568,1.78841,0.347081,0,6.16,1.09093,0.578612,6.17697,1.07761,0.574413,0,6.16,1.25188,0.389428,6.26508,1.25399,0.374157,0,6.16,1.34322,0.650043,6.20225,1.32917,0.637621,0,6.16,0.916228,0.534488,6.127,0.888691,0.540612,0,6.16,1.0624,0.219438,6.14434,1.04251,0.218802,0,6.16,1.58611,0.654197,6.15762,1.57211,0.657141,0,6.16,1.64635,0.372328,6.14735,1.63261,0.374571,0,6.16,1.5568,0.531806,6.19188,1.53645,0.523992,0,6.16,1.70004,0.624628,6.14103,1.68896,0.634408,0,6.16,1.72369,0.488655,6.17514,1.70687,0.490413,0,6.16,0.943877,0.305928,6.17367,0.930603,0.301455,0,6.16,1.35081,0.48239,6.15464,1.33515,0.485725,0,
0.200004,7.5494,1.44514,0.189741,7.55403,1.43259,0.193512,6.16,1.08691,0.0629993,6.18119,1.07604,0.0622664,0,6.16,1.06419,0.481372,6.23524,1.06744,0.465537,0,6.16,0.888431,0.15117,6.20159,0.888723,0.150427,0,6.16,1.48328,0.0817423,6.13279,1.47065,0.0805266,0,6.16,0.9146,0.41957,6.22897,0.924237,0.406345,0,6.16,1.06722,0.323541,6.20684,1.06098,0.318453,0,6.16,0.938159,0.630928,6.19573,0.936898,0.618036,0,6.16,1.19562,0.566481,6.13207,1.17764,0.57322,0,6.16,0.779792,0.564768,6.3289,0.845008,0.518916,0,6.16,1.47585,0.647414,6.31633,1.45605,0.599917,0,6.16,1.83134,0.355097,6.28399,1.78205,0.344079,0,6.16,1.09093,0.578612,6.20409,1.08795,0.567961,0,6.16,1.25188,0.389428,6.27101,1.25613,0.374774,0,6.16,1.34322,0.650043,6.20257,1.32988,0.637561,0,6.16,0.916228,0.534488,6.19956,0.917861,0.523021,0,6.16,1.0624,0.219438,6.18222,1.05192,0.219078,0,6.16,1.58611,0.654197,6.17172,1.57168,0.653504,0,6.16,1.64635,0.372328,6.16929,1.62952,0.37175,0,6.16,1.5568,0.531806,6.20123,1.53766,0.522772,0,6.16,1.70004,0.624628,6.16782,1.68375,0.625293,0,6.16,1.72369,0.488655,6.20497,1.70322,0.484688,0,6.16,0.943877,0.305928,6.239,0.954729,0.297799,0,6.16,1.35081,0.48239,6.15504,1.33561,0.485985,0,
0.233338,7.5494,1.44514,0.189741,7.55364,1.44472,0.193978,6.16,1.08691,0.0629993,6.17521,1.0695,0.0644107,0,6.16,1.06419,0.481372,6.22905,1.06227,0.468152,0,6.16,0.888431,0.15117,6.1814,0.873552,0.151661,0,6.16,1.48328,0.0817423,6.13218,1.46686,0.0813371,0,6.16,0.9146,0.41957,6.21202,0.913205,0.409397,0,6.16,1.06722,0.323541,6.20054,1.05454,0.319112,0,6.16,0.938159,0.630928,6.18182,0.926306,0.622705,0,6.16,1.19562,0.566481,6.13162,1.17099,0.57678,0,6.16,0.779792,0.564768,6.32011,0.837298,0.522485,0,6.16,1.47585,0.647414,6.31655,1.45141,0.601534,0,6.16,1.83134,0.355097,6.28188,1.77934,0.348283,0,6.16,1.09093,0.578612,6.1992,1.08274,0.568838,0,6.16,1.25188,0.389428,6.27186,1.25243,0.37639,0,6.16,1.34322,0.650043,6.20336,1.32656,0.639687,0,6.16,0.916228,0.534488,6.18358,0.903941,0.527329,0,6.16,1.0624,0.219438,6.17556,1.04465,0.219499,0,6.16,1.58611,0.654197,6.16933,1.56592,0.657591,0,6.16,1.64635,0.372328,6.16515,1.62573,0.375649,0,6.16,1.5568,0.531806,6.19973,1.53246,0.526431,0,6.16,1.70004,0.624628,6.16168,1.67825,0.631213,0,6.16,1.72369,0.488655,6.19591,1.7007,0.48898,0,6.16,0.943877,0.305928,6.2241,0.944314,0.299767,0,6.16,1.35081,0.48239,6.15574,1.33026,0.488213,0,
0.266672,7.54793,1.47298,0.190087,7.55275,1.4725,0.195045,6.16,1.08691,0.0629993,6.09889,1.06039,0.0571946,0,6.16,1.06419,0.481372,6.1445,1.04705,0.486718,0,6.16,0.888431,0.15117,6.13819,0.864942,0.151704,0,6.16,1.48328,0.0817423,6.05419,1.47763,0.0771646,0,6.16,0.9146,0.41957,6.13292,0.891857,0.423538,0,6.16,1.06722,0.323541,6.12596,1.04408,0.327938,0,6.16,0.938159,0.630928,6.08101,0.900608,0.656331,0,6.16,1.19562,0.566481,6.04408,1.16688,0.601337,0,6.16,0.779792,0.564768,6.33213,0.8576,0.520293,0,6.16,1.47585,0.647414,6.31634,1.46806,0.602365,0,6.16,1.83134,0.355097,6.28503,1.7924,0.346504,0,6.16,1.09093,0.578612,6.08842,1.06545,0.601559,0,6.16,1.25188,0.389428,6.27163,1.26636,0.376915,0,6.16,1.34322,0.650043,6.10476,1.32911,0.670138,0,6.16,0.916228,0.534488,6.10277,0.88413,0.548538,0,6.16,1.0624,0.219438,6.10476,1.03535,0.221234,0,6.16,1.58611,0.654197,6.06746,1.58788,0.692032,0,6.16,1.64635,0.372328,6.08895,1.64598,0.385798,0,6.16,1.5568,0.531806,6.09239,1.55447,0.55217,0,6.16,1.70004,0.624628,6.09716,1.69938,0.651462,0,6.16,1.72369,0.488655,6.07686,1.73544,0.51639,0,6.16,0.943877,0.305928,6.1401,0.924215,0.307407,0,6.16,1.35081,0.48239,6.05657,1.33533,0.508433,0,
0.300007,7.54793,1.47298,0.190087,7.55223,1.48796,0.19564,6.16,1.08691,0.0629993,6.08032,1.05443,0.0549222,0,6.16,1.06419,0.481372,6.11236,1.0392,0.493019,0,6.16,0.888431,0.15117,6.11958,0.857734,0.151164,0,6.16,1.48328,0.0817423,6.03286,1.47753,0.0743877,0,6.16,0.9146,0.41957,6.10063,0.880878,0.429345,0,6.16,1.06722,0.323541,6.10389,1.03764,0.330072,0,6.16,0.938159,0.630928,6.05093,0.889131,0.665215,0,6.16,1.19562,0.566481,6.01648,1.16157,0.60822,0,6.16,0.779792,0.564768,6.32756,0.85782,0.521418,0,6.16,1.47585,0.647414,6.31598,1.4712,0.602129,0,6.16,1.83134,0.355097,6.2837,1.79756,0.346771,0,6.16,1.09093,0.578612,6.0567,1.05617,0.612067,0,6.16,1.25188,0.389428,6.27109,1.26859,0.376605,0,6.16,1.34322,0.650043,6.07307,1.32624,0.682433,0,6.16,0.916228,0.534488,6.07018,0.87243,0.557447,0,6.16,1.0624,0.219438,6.08568,1.02934,0.22157,0,6.16,1.58611,0.654197,6.03387,1.59125,0.703299,0,6.16,1.64635,0.372328,6.06517,1.64963,0.388928,0,6.16,1.5568,0.531806,6.0568,1.55712,0.561956,0,6.16,1.70004,0.624628,6.06098,1.70925,0.661767,0,6.16,1.72369,0.488655,6.04003,1.74276,0.523343,0,6.16,0.943877,0.305928,6.11046,0.913885,0.310335,0,6.16,1.35081,0.48239,6.01738,1.33354,0.516703,0,
