time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,
0,7.38983,2.3735,0.193636,7.41144,2.35282,0.204574,6.16,1.50045,0.039985,5.50949,1.00264,-0.0330495,0,6.16,1.24654,0.518256,5.57597,0.67088,0.689058,0,6.16,1.49629,0.462138,5.55132,1.02605,0.610686,0,6.16,1.85077,0.312304,5.4708,1.52797,0.39183,0,6.16,1.32202,0.63576,5.55679,0.767134,0.871323,0,5.53568,1.86,0.290515,4.99467,1.68351,0.330852,0,6.16,1.70283,0.444074,5.49201,1.30609,0.595442,0,6.16,1.42111,0.252717,5.55052,0.911722,0.293973,0,6.16,1.67363,0.32831,5.44399,1.2332,0.420024,0,6.16,1.37151,0.507366,5.55643,0.841474,0.677791,0,6.16,1.78792,0.0684351,5.46947,1.42817,0.00687569,0,5.5362,1.86,0.458408,4.99099,1.6823,0.550314,0,6.16,1.29579,0.337853,5.57358,0.742288,0.420094,0,5.98764,1.86,0.13978,5.37574,1.60733,0.126387,0,6.16,1.72031,0.162043,5.46185,1.31736,0.154493,0,6.16,1.51076,0.329234,5.52429,1.02898,0.412648,0,6.16,1.59673,0.227667,5.54878,1.17635,0.256118,0,5.66522,1.86,0.769121,5.08826,1.6611,0.979799,0,6.16,1.31445,0.0566402,5.55126,0.750959,-0.00263822,0,6.16,1.83271,0.200548,5.44586,1.48851,0.215622,0,4.46092,1.86,1.12323,4.66427,1.87119,1.07649,0,6.16,1.66841,0.0318271,5.5246,1.27105,-0.043677,0,4.9932,1.86,0.677047,4.78497,1.79008,0.734346,0,5.39354,1.86,0.0551322,4.90207,1.70735,0.0304735,0,6.16,1.38457,0.13958,5.48105,0.800561,0.119727,0,4.37675,1.86,0.531567,4.58864,1.87176,0.521165,0,
0.033334,7.37847,2.39742,0.193928,7.40742,2.36205,0.204924,6.16,1.50045,0.039985,5.59222,1.05549,-0.0230673,0,6.16,1.24654,0.518256,5.65603,0.73629,0.667717,0,6.16,1.49629,0.462138,5.61916,1.07049,0.597049,0,6.16,1.85077,0.312304,5.54634,1.55827,0.385098,0,6.16,1.32202,0.63576,5.6166,0.816236,0.849186,0,5.53568,1.86,0.290515,5.04385,1.69706,0.330965,0,6.16,1.70283,0.444074,5.57485,1.34765,0.579276,0,6.16,1.42111,0.252717,5.62552,0.964168,0.290303,0,6.16,1.67363,0.32831,5.53643,1.28119,0.411387,0,6.16,1.37151,0.507366,5.60536,0.878971,0.66648,0,6.16,1.78792,0.0684351,5.56525,1.46856,0.0185504,0,5.5362,1.86,0.458408,5.03771,1.69558,0.544761,0,6.16,1.29579,0.337853,5.6221,0.782715,0.415731,0,5.98764,1.86,0.13978,5.47704,1.63933,0.132272,0,6.16,1.72031,0.162043,5.5489,1.3593,0.157672,0,6.16,1.51076,0.329234,5.598,1.07641,0.404362,0,6.16,1.59673,0.227667,5.61979,1.21758,0.254345,0,5.66522,1.86,0.769121,5.13944,1.67528,0.964755,0,6.16,1.31445,0.0566402,5.57802,0.775906,-0.0017368,0,6.16,1.83271,0.200548,5.55592,1.53061,0.216136,0,4.46092,1.86,1.12323,4.67862,1.87758,1.0753,0,6.16,1.66841,0.0318271,5.60714,1.31394,-0.0315224,0,4.9932,1.86,0.677047,4.80722,1.7996,0.736248,0,5.39354,1.86,0.0551322,4.9506,1.71902,0.0368702,0,6.16,1.38457,0.13958,5.54444,0.847396,0.12406,0,4.37675,1.86,0.531567,4.59786,1.878,0.521323,0,
0.0666681,7.37847,2.39742,0.193928,7.3967,2.38603,0.205836,6.16,1.50045,0.039985,5.65248,1.08371,-0.0195025,0,6.16,1.24654,0.518256,5.68289,0.74822,0.661769,0,6.16,1.49629,0.462138,5.67591,1.0967,0.582209,0,6.16,1.85077,0.312304,5.63139,1.58176,0.373724,0,6.16,1.32202,0.63576,5.66737,0.842563,0.829936,0,5.53568,1.86,0.290515,5.09579,1.69593,0.324408,0,6.16,1.70283,0.444074,5.64784,1.37446,0.562302,0,6.16,1.42111,0.252717,5.67212,0.986413,0.285516,0,6.16,1.67363,0.32831,5.62107,1.31493,0.398665,0,6.16,1.37151,0.507366,5.6763,0.916262,0.649175,0,6.16,1.78792,0.0684351,5.64964,1.49642,0.0226422,0,5.5362,1.86,0.458408,5.07159,1.69164,0.535394,0,6.16,1.29579,0.337853,5.67292,0.808743,0.407405,0,5.98764,1.86,0.13978,5.57053,1.66085,0.133799,0,6.16,1.72031,0.162043,5.62868,1.38826,0.156372,0,6.16,1.51076,0.329234,5.66391,1.10765,0.393833,0,6.16,1.59673,0.227667,5.68552,1.24565,0.249132,0,5.66522,1.86,0.769121,5.18505,1.67446,0.948902,0,6.16,1.31445,0.0566402,5.62004,0.793769,-0.00271806,0,6.16,1.83271,0.200548,5.64832,1.55934,0.211643,0,4.46092,1.86,1.12323,4.67278,1.86525,1.07146,0,6.16,1.66841,0.0318271,5.67969,1.34262,-0.0261017,0,4.9932,1.86,0.677047,4.82144,1.78792,0.727419,0,5.39354,1.86,0.0551322,4.99453,1.71503,0.0349873,0,6.16,1.38457,0.13958,5.61082,0.881332,0.122752,0,4.37675,1.86,0.531567,4.61047,1.86726,0.508487,0,
0.100002,7.36701,2.42052,0.194132,7.39045,2.39927,0.206347,6.16,1.50045,0.039985,5.70437,1.11643,-0.0164405,0,6.16,1.24654,0.518256,5.74518,0.796531,0.639585,0,6.16,1.49629,0.462138,5.73435,1.13381,0.565478,0,6.16,1.85077,0.312304,5.7307,1.61912,0.361593,0,6.16,1.32202,0.63576,5.72268,0.884218,0.805226,0,5.53568,1.86,0.290515,5.15489,1.70811,0.317069,0,6.16,1.70283,0.444074,5.72491,1.41211,0.542688,0,6.16,1.42111,0.252717,5.71912,1.01851,0.279078,0,6.16,1.67363,0.32831,5.68368,1.34747,0.388718,0,6.16,1.37151,0.507366,5.72208,0.951207,0.631366,0,6.16,1.78792,0.0684351,5.73606,1.53315,0.0292315,0,5.5362,1.86,0.458408,5.12296,1.70101,0.525424,0,6.16,1.29579,0.337853,5.71906,0.84389,0.39899,0,5.98764,1.86,0.13978,5.65581,1.68828,0.135522,0,6.16,1.72031,0.162043,5.70078,1.42287,0.154452,0,6.16,1.51076,0.329234,5.72733,1.14748,0.383364,0,6.16,1.59673,0.227667,5.74505,1.2795,0.244093,0,5.66522,1.86,0.769121,5.23535,1.68517,0.928346,0,6.16,1.31445,0.0566402,5.67288,0.831758,0.000372976,0,6.16,1.83271,0.200548,5.72473,1.5898,0.208917,0,4.46092,1.86,1.12323,4.29602,1.79139,1.18687,0,6.16,1.66841,0.0318271,5.74298,1.37558,-0.0220617,0,4.9932,1.86,0.677047,4.84086,1.78981,0.720767,0,5.39354,1.86,0.0551322,5.27135,1.7895,0.0510071,0,6.16,1.38457,0.13958,5.67014,0.923556,0.121342,0,4.37675,1.86,0.531567,4.34792,1.81605,0.533724,0,
0.133336,7.36701,2.42052,0.194132,7.38582,2.40917,0.206728,6.16,1.50045,0.039985,5.76307,1.15628,-0.00970507,0,6.16,1.24654,0.518256,5.76654,0.819265,0.63426,0,6.16,1.49629,0.462138,5.76143,1.15468,0.561156,0,6.16,1.85077,0.312304,5.77176,1.63823,0.358101,0,6.16,1.32202,0.63576,5.74677,0.906775,0.797471,0,5.53568,1.86,0.290515,5.19091,1.7196,0.315325,0,6.16,1.70283,0.444074,5.76129,1.43334,0.535274,0,6.16,1.42111,0.252717,5.74481,1.03991,0.27807,0,6.16,1.67363,0.32831,5.70098,1.36032,0.390194,0,6.16,1.37151,0.507366,5.74488,0.971405,0.626905,0,6.16,1.78792,0.0684351,5.79362,1.56083,0.0346068,0,5.5362,1.86,0.458408,5.14518,1.71023,0.521156,0,6.16,1.29579,0.337853,5.73781,0.863038,0.398895,0,5.98764,1.86,0.13978,5.71545,1.7103,0.138483,0,6.16,1.72031,0.162043,5.74905,1.44879,0.155706,0,6.16,1.51076,0.329234,5.75785,1.17054,0.380006,0,6.16,1.59673,0.227667,5.77721,1.30085,0.244412,0,5.66522,1.86,0.769121,5.2489,1.69323,0.922147,0,6.16,1.31445,0.0566402,5.70617,0.861133,0.00569838,0,6.16,1.83271,0.200548,5.77629,1.6127,0.2097,0,4.46092,1.86,1.12323,4.10858,1.76412,1.24501,0,6.16,1.66841,0.0318271,5.78481,1.39971,-0.0149831,0,4.9932,1.86,0.677047,4.84596,1.79559,0.719852,0,5.39354,1.86,0.0551322,5.27412,1.79192,0.0511874,0,6.16,1.38457,0.13958,5.7065,0.953568,0.124667,0,4.37675,1.86,0.531567,4.10486,1.78114,0.564388,0,
0.16667,7.36206,2.42931,0.193786,7.38157,2.41769,0.207062,6.16,1.50045,0.039985,5.78889,1.17856,-0.00100675,0,6.16,1.24654,0.518256,5.79714,0.848253,0.628232,0,6.16,1.49629,0.462138,5.80371,1.18473,0.553667,0,6.16,1.85077,0.312304,5.82829,1.66215,0.355247,0,6.16,1.32202,0.63576,5.782,0.937146,0.785655,0,5.53568,1.86,0.290515,5.22512,1.73134,0.316941,0,6.16,1.70283,0.444074,5.81251,1.46117,0.528827,0,6.16,1.42111,0.252717,5.79106,1.07526,0.279226,0,6.16,1.67363,0.32831,5.75084,1.38776,0.386943,0,6.16,1.37151,0.507366,5.79138,1.00826,0.617597,0,6.16,1.78792,0.0684351,5.84605,1.58652,0.0420363,0,5.5362,1.86,0.458408,5.18192,1.72169,0.519723,0,6.16,1.29579,0.337853,5.78241,0.90124,0.396416,0,5.98764,1.86,0.13978,5.77178,1.7317,0.142563,0,6.16,1.72031,0.162043,5.79732,1.47522,0.160751,0,6.16,1.51076,0.329234,5.8019,1.2015,0.377951,0,6.16,1.59673,0.227667,5.81857,1.32739,0.245252,0,5.66522,1.86,0.769121,5.29016,1.70544,0.91277,0,6.16,1.31445,0.0566402,5.73264,0.886673,0.00965771,0,6.16,1.83271,0.200548,5.82104,1.63344,0.211258,0,4.46092,1.86,1.12323,3.93078,1.73364,1.31284,0,6.16,1.66841,0.0318271,5.83678,1.42963,-0.00528744,0,4.9932,1.86,0.677047,4.86635,1.80327,0.720606,0,5.39354,1.86,0.0551322,5.27753,1.79412,0.0549367,0,6.16,1.38457,0.13958,5.75083,0.989956,0.129785,0,4.37675,1.86,0.531567,4.10532,1.78734,0.569299,0,
0.200004,7.35001,2.4517,0.193953,7.37014,2.44007,0.207943,6.16,1.50045,0.039985,5.85008,1.21011,0.00714912,0,6.16,1.24654,0.518256,6.09289,1.12865,0.553707,0,6.16,1.49629,0.462138,5.86582,1.21805,0.54413,0,6.16,1.85077,0.312304,5.90791,1.69051,0.350164,0,6.16,1.32202,0.63576,5.84778,0.977232,0.767341,0,5.53568,1.86,0.290515,5.2732,1.73253,0.315794,0,6.16,1.70283,0.444074,5.88566,1.49345,0.517105,0,6.16,1.42111,0.252717,5.849,1.10817,0.278773,0,6.16,1.67363,0.32831,5.81501,1.41574,0.383243,0,6.16,1.37151,0.507366,5.83639,1.03289,0.608752,0,6.16,1.78792,0.0684351,6.06961,1.70156,0.067202,0,5.5362,1.86,0.458408,5.2411,1.72547,0.516823,0,6.16,1.29579,0.337853,5.84825,0.943228,0.390821,0,5.98764,1.86,0.13978,6.00809,1.82663,0.154482,0,6.16,1.72031,0.162043,5.86778,1.50511,0.164008,0,6.16,1.51076,0.329234,5.86547,1.23545,0.373512,0,6.16,1.59673,0.227667,5.88328,1.35922,0.245745,0,5.66522,1.86,0.769121,5.59167,1.79724,0.814807,0,6.16,1.31445,0.0566402,5.79497,0.923316,0.0180369,0,6.16,1.83271,0.200548,6.047,1.74057,0.212226,0,4.46092,1.86,1.12323,4.20885,1.76313,1.22743,0,6.16,1.66841,0.0318271,5.91067,1.46455,0.00617041,0,4.9932,1.86,0.677047,4.90539,1.79971,0.715419,0,5.39354,1.86,0.0551322,5.39195,1.81741,0.0671605,0,6.16,1.38457,0.13958,6.06881,1.25821,0.146084,0,4.37675,1.86,0.531567,4.28021,1.79697,0.556237,0,
0.233338,7.34473,2.46047,0.19362,7.36563,2.44849,0.208279,6.16,1.50045,0.039985,6.06786,1.38514,0.0355921,0,6.16,1.24654,0.518256,6.04526,1.08285,0.566501,0,6.16,1.49629,0.462138,5.90864,1.25065,0.53396,0,6.16,1.85077,0.312304,5.95655,1.71353,0.344753,0,6.16,1.32202,0.63576,5.86382,0.996216,0.76212,0,5.53568,1.86,0.290515,5.51694,1.81525,0.3033,0,6.16,1.70283,0.444074,5.93282,1.52142,0.505432,0,6.16,1.42111,0.252717,5.89658,1.14672,0.276209,0,6.16,1.67363,0.32831,5.87557,1.45164,0.375523,0,6.16,1.37151,0.507366,6.05571,1.23379,0.55103,0,6.16,1.78792,0.0684351,6.07083,1.70105,0.0662038,0,5.5362,1.86,0.458408,5.46401,1.80037,0.483259,0,6.16,1.29579,0.337853,5.88946,0.981986,0.385633,0,5.98764,1.86,0.13978,6.01297,1.82766,0.154605,0,6.16,1.72031,0.162043,5.91823,1.53407,0.165229,0,6.16,1.51076,0.329234,5.91175,1.27,0.368297,0,6.16,1.59673,0.227667,5.92639,1.38865,0.244444,0,5.66522,1.86,0.769121,5.59388,1.79885,0.812233,0,6.16,1.31445,0.0566402,5.84002,0.96416,0.024083,0,6.16,1.83271,0.200548,6.05442,1.74251,0.212611,0,4.46092,1.86,1.12323,4.29291,1.78631,1.19963,0,6.16,1.66841,0.0318271,5.97811,1.50537,0.0113784,0,4.9932,1.86,0.677047,4.84014,1.79188,0.728783,0,5.39354,1.86,0.0551322,5.42131,1.82641,0.0679631,0,6.16,1.38457,0.13958,6.0515,1.24072,0.145248,0,4.37675,1.86,0.531567,4.38309,1.81842,0.544662,0,
0.266672,7.33225,2.4825,0.193804,7.35867,2.46124,0.20879,6.16,1.50045,0.039985,6.04804,1.3672,0.0324962,0,6.16,1.24654,0.518256,6.07499,1.1106,0.557485,0,6.16,1.49629,0.462138,5.9421,1.27441,0.525643,0,6.16,1.85077,0.312304,6.01099,1.73748,0.338327,0,6.16,1.32202,0.63576,5.88968,1.01628,0.751,0,5.53568,1.86,0.290515,5.51513,1.81246,0.302664,0,6.16,1.70283,0.444074,5.96379,1.53908,0.497924,0,6.16,1.42111,0.252717,5.92632,1.16997,0.273584,0,6.16,1.67363,0.32831,5.91408,1.47429,0.371094,0,6.16,1.37151,0.507366,6.03141,1.20664,0.557887,0,6.16,1.78792,0.0684351,6.06822,1.69769,0.0652446,0,5.5362,1.86,0.458408,5.46217,1.79935,0.484536,0,6.16,1.29579,0.337853,5.92393,1.01129,0.380173,0,5.98764,1.86,0.13978,6.00811,1.82363,0.153788,0,6.16,1.72031,0.162043,5.95903,1.55632,0.165718,0,6.16,1.51076,0.329234,5.95008,1.29686,0.362842,0,6.16,1.59673,0.227667,5.96155,1.41106,0.242216,0,5.66522,1.86,0.769121,5.5908,1.79756,0.815229,0,6.16,1.31445,0.0566402,5.87188,0.991092,0.0247019,0,6.16,1.83271,0.200548,6.05035,1.7391,0.210759,0,4.46092,1.86,1.12323,4.29238,1.78302,1.19676,0,6.16,1.66841,0.0318271,6.01822,1.52972,0.0162606,0,4.9932,1.86,0.677047,4.83743,1.78461,0.725975,0,5.39354,1.86,0.0551322,5.41705,1.82248,0.0682167,0,6.16,1.38457,0.13958,6.07435,1.25979,0.144461,0,4.37675,1.86,0.531567,4.38072,1.81709,0.547928,0,
0.300007,7.32658,2.49142,0.193517,7.35365,2.47074,0.209167,6.16,1.50045,0.039985,6.06063,1.38003,0.0336974,0,6.16,1.24654,0.518256,6.06844,1.10589,0.556712,0,6.16,1.49629,0.462138,5.95366,1.28611,0.522171,0,6.16,1.85077,0.312304,6.03312,1.74967,0.335672,0,6.16,1.32202,0.63576,5.89237,1.02354,0.748923,0,5.53568,1.86,0.290515,5.51552,1.81103,0.305179,0,6.16,1.70283,0.444074,5.98284,1.55169,0.493912,0,6.16,1.42111,0.252717,5.93551,1.1809,0.272464,0,6.16,1.67363,0.32831,5.95556,1.50027,0.363855,0,6.16,1.37151,0.507366,6.04928,1.22817,0.551296,0,6.16,1.78792,0.0684351,6.06677,1.69802,0.0657086,0,5.5362,1.86,0.458408,5.46096,1.80109,0.483665,0,6.16,1.29579,0.337853,5.93643,1.0265,0.377769,0,5.98764,1.86,0.13978,6.00625,1.82451,0.153774,0,6.16,1.72031,0.162043,5.97453,1.56741,0.165749,0,6.16,1.51076,0.329234,5.96216,1.30904,0.360135,0,6.16,1.59673,0.227667,5.97719,1.42379,0.241582,0,5.66522,1.86,0.769121,5.58787,1.79982,0.814863,0,6.16,1.31445,0.0566402,5.88363,1.00528,0.0273558,0,6.16,1.83271,0.200548,6.0491,1.73908,0.211101,0,4.46092,1.86,1.12323,4.29004,1.79277,1.19518,0,6.16,1.66841,0.0318271,6.02277,1.53565,0.0168872,0,4.9932,1.86,0.677047,4.8331,1.7886,0.724217,0,5.39354,1.86,0.0551322,5.41415,1.82639,0.0668695,0,6.16,1.38457,0.13958,6.07036,1.25882,0.143828,0,4.37675,1.86,0.531567,4.37841,1.82501,0.547118,0,
