time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,
0,-1.63905,3.21576,0.299373,-1.46773,3.19318,0.411122,-1.48788,1.86,0.590067,-1.1978,0.77239,0.930177,0,-1.90916,1.86,0.581409,-1.92555,0.895313,0.889146,0,-1.7434,1.86,0.670734,-1.64573,0.88058,1.04458,0,-1.92144,1.86,0.442342,-1.9408,0.921997,0.650627,0,-1.8458,1.86,0.675319,-1.81583,0.910543,1.04409,0,-1.49347,1.86,0.309105,-1.22844,0.964653,0.427119,0,-1.82703,1.86,0.49953,-1.78612,0.896947,0.750127,0,-1.99186,1.86,0.664869,-2.06192,0.909861,1.02668,0,-1.62713,1.86,0.649256,-1.4481,0.960737,0.987256,0,-1.69767,1.86,0.195828,-1.56821,0.869065,0.233619,0,-1.54016,1.86,0.173984,-1.29997,0.893166,0.198402,0,-1.92656,1.86,0.301726,-1.93662,0.982121,0.414959,0,-2.10107,1.86,0.507704,-2.26966,0.839997,0.772724,0,-1.37393,1.86,0.64989,-1.02494,0.92885,0.996543,0,-2.03486,1.86,0.333571,-2.1404,0.889121,0.46924,0,-1.56675,1.86,0.517536,-1.34344,0.862575,0.786155,0,-2.15298,1.86,0.690707,-2.32124,0.94163,1.06103,0,-1.79989,1.86,0.34565,-1.75247,0.793056,0.493047,0,-1.43133,1.86,0.477556,-1.10962,0.855923,0.718302,0,-1.86881,1.86,0.1977,-1.87018,0.818469,0.233034,0,-1.64066,1.86,0.323952,-1.47048,0.867272,0.453289,0,-2.01522,1.86,0.175894,-2.10791,0.885903,0.200981,0,
0.0333341,-1.63905,3.21576,0.299373,-1.48024,3.19389,0.4114,-1.48788,1.86,0.590067,-1.19979,0.912891,0.902052,0,-1.90916,1.86,0.581409,-1.89085,1.00889,0.865864,0,-1.7434,1.86,0.670734,-1.62436,1.00412,1.01107,0,-1.92144,1.86,0.442342,-1.90455,1.03892,0.637169,0,-1.8458,1.86,0.675319,-1.78472,1.03176,1.01152,0,-1.49347,1.86,0.309105,-1.23195,1.10777,0.425875,0,-1.82703,1.86,0.49953,-1.75751,1.01755,0.731168,0,-1.99186,1.86,0.664869,-2.0212,1.01676,0.997326,0,-1.62713,1.86,0.649256,-1.43613,1.12302,0.944367,0,-1.69767,1.86,0.195828,-1.54875,1.01066,0.244982,0,-1.54016,1.86,0.173984,-1.29743,1.05717,0.211467,0,-1.92656,1.86,0.301726,-1.89386,1.12333,0.41363,0,-2.10107,1.86,0.507704,-2.21323,0.96056,0.751748,0,-1.37393,1.86,0.64989,-1.03286,1.03032,0.972077,0,-2.03486,1.86,0.333571,-2.09428,1.00235,0.466069,0,-1.56675,1.86,0.517536,-1.33792,1.02491,0.75853,0,-2.15298,1.86,0.690707,-2.28133,1.01887,1.04079,0,-1.79989,1.86,0.34565,-1.71933,0.949945,0.486316,0,-1.43133,1.86,0.477556,-1.12004,1.02447,0.694214,0,-1.86881,1.86,0.1977,-1.83362,0.952522,0.24203,0,-1.64066,1.86,0.323952,-1.45843,0.992168,0.451543,0,-2.01522,1.86,0.175894,-2.05694,1.01744,0.212731,0,
0.0666681,-1.66551,3.2177,0.299562,-1.49572,3.19484,0.411745,-1.48788,1.86,0.590067,-1.20668,1.04143,0.871828,0,-1.90916,1.86,0.581409,-1.85791,1.13382,0.838096,0,-1.7434,1.86,0.670734,-1.60652,1.13359,0.973816,0,-1.92144,1.86,0.442342,-1.87229,1.15869,0.623652,0,-1.8458,1.86,0.675319,-1.75768,1.15797,0.974704,0,-1.49347,1.86,0.309105,-1.23989,1.24657,0.423328,0,-1.82703,1.86,0.49953,-1.7322,1.14915,0.705754,0,-1.99186,1.86,0.664869,-1.98265,1.13343,0.964113,0,-1.62713,1.86,0.649256,-1.43141,1.24616,0.912417,0,-1.69767,1.86,0.195828,-1.53731,1.13121,0.255524,0,-1.54016,1.86,0.173984,-1.30198,1.23695,0.229893,0,-1.92656,1.86,0.301726,-1.86103,1.24745,0.413795,0,-2.10107,1.86,0.507704,-2.166,1.07568,0.733122,0,-1.37393,1.86,0.64989,-1.04839,1.15231,0.940198,0,-2.03486,1.86,0.333571,-2.04994,1.12619,0.461254,0,-1.56675,1.86,0.517536,-1.33846,1.17425,0.7354,0,-2.15298,1.86,0.690707,-2.22973,1.12844,1.00719,0,-1.79989,1.86,0.34565,-1.69065,1.11801,0.480451,0,-1.43133,1.86,0.477556,-1.13487,1.16754,0.675305,0,-1.86881,1.86,0.1977,-1.79697,1.11627,0.25008,0,-1.64066,1.86,0.323952,-1.44944,1.14951,0.448432,0,-2.01522,1.86,0.175894,-2.00723,1.16517,0.223719,0,
0.100002,-1.67555,3.21854,0.299213,-1.50703,3.19568,0.412001,-1.48788,1.86,0.590067,-1.20804,1.13618,0.854821,0,-1.90916,1.86,0.581409,-1.83604,1.20508,0.82447,0,-1.7434,1.86,0.670734,-1.59135,1.22062,0.951092,0,-1.92144,1.86,0.442342,-1.84583,1.24451,0.617242,0,-1.8458,1.86,0.675319,-1.73627,1.24288,0.952236,0,-1.49347,1.86,0.309105,-1.24127,1.32831,0.423296,0,-1.82703,1.86,0.49953,-1.71315,1.22822,0.696208,0,-1.99186,1.86,0.664869,-1.95769,1.19932,0.946112,0,-1.62713,1.86,0.649256,-1.42689,1.28639,0.903419,0,-1.69767,1.86,0.195828,-1.52901,1.18337,0.260416,0,-1.54016,1.86,0.173984,-1.30175,1.3244,0.236713,0,-1.92656,1.86,0.301726,-1.83778,1.32179,0.412754,0,-2.10107,1.86,0.507704,-2.13266,1.14919,0.726445,0,-1.37393,1.86,0.64989,-1.05089,1.19019,0.931895,0,-2.03486,1.86,0.333571,-2.01695,1.20902,0.460468,0,-1.56675,1.86,0.517536,-1.33606,1.22362,0.727813,0,-2.15298,1.86,0.690707,-2.20769,1.17126,0.997629,0,-1.79989,1.86,0.34565,-1.67231,1.20927,0.477334,0,-1.43133,1.86,0.477556,-1.13719,1.21696,0.67008,0,-1.86881,1.86,0.1977,-1.77324,1.20929,0.261948,0,-1.64066,1.86,0.323952,-1.44352,1.21264,0.448919,0,-2.01522,1.86,0.175894,-1.98699,1.21757,0.230287,0,
0.133336,-1.67555,3.21854,0.299213,-1.51729,3.19642,0.412233,-1.48788,1.86,0.590067,-1.20799,1.23606,0.830691,0,-1.90916,1.86,0.581409,-1.81632,1.25716,0.813231,0,-1.7434,1.86,0.670734,-1.57807,1.27767,0.933728,0,-1.92144,1.86,0.442342,-1.82847,1.28874,0.610902,0,-1.8458,1.86,0.675319,-1.71893,1.29824,0.935093,0,-1.49347,1.86,0.309105,-1.2384,1.37579,0.423412,0,-1.82703,1.86,0.49953,-1.69655,1.28591,0.683057,0,-1.99186,1.86,0.664869,-1.92758,1.27187,0.924693,0,-1.62713,1.86,0.649256,-1.41723,1.34056,0.889061,0,-1.69767,1.86,0.195828,-1.51496,1.25586,0.265235,0,-1.54016,1.86,0.173984,-1.29914,1.4279,0.24532,0,-1.92656,1.86,0.301726,-1.81259,1.3944,0.411545,0,-2.10107,1.86,0.507704,-2.10717,1.19554,0.717227,0,-1.37393,1.86,0.64989,-1.0522,1.25753,0.913748,0,-2.03486,1.86,0.333571,-1.98382,1.28675,0.455007,0,-1.56675,1.86,0.517536,-1.32938,1.33067,0.710367,0,-2.15298,1.86,0.690707,-2.17166,1.23421,0.981966,0,-1.79989,1.86,0.34565,-1.65435,1.282,0.472939,0,-1.43133,1.86,0.477556,-1.13449,1.25808,0.663608,0,-1.86881,1.86,0.1977,-1.74331,1.32009,0.268391,0,-1.64066,1.86,0.323952,-1.4324,1.30032,0.447646,0,-2.01522,1.86,0.175894,-1.95822,1.28165,0.236683,0,
0.16667,-1.67555,3.21854,0.299213,-1.53283,3.19756,0.412585,-1.48788,1.86,0.590067,-1.21739,1.34361,0.808115,0,-1.90916,1.86,0.581409,-1.79722,1.33718,0.798447,0,-1.7434,1.86,0.670734,-1.56899,1.35779,0.912348,0,-1.92144,1.86,0.442342,-1.80751,1.37283,0.603254,0,-1.8458,1.86,0.675319,-1.70529,1.3705,0.916255,0,-1.49347,1.86,0.309105,-1.24232,1.4271,0.423636,0,-1.82703,1.86,0.49953,-1.68478,1.35334,0.67531,0,-1.99186,1.86,0.664869,-1.91284,1.32383,0.912054,0,-1.62713,1.86,0.649256,-1.41541,1.41122,0.870801,0,-1.69767,1.86,0.195828,-1.50978,1.32993,0.271471,0,-1.54016,1.86,0.173984,-1.30328,1.4778,0.252294,0,-1.92656,1.86,0.301726,-1.7973,1.46042,0.412973,0,-2.10107,1.86,0.507704,-2.06772,1.2964,0.702294,0,-1.37393,1.86,0.64989,-1.06165,1.31675,0.899553,0,-2.03486,1.86,0.333571,-1.96289,1.35249,0.454762,0,-1.56675,1.86,0.517536,-1.33247,1.36447,0.703281,0,-2.15298,1.86,0.690707,-2.14887,1.28747,0.965358,0,-1.79989,1.86,0.34565,-1.64686,1.33694,0.471109,0,-1.43133,1.86,0.477556,-1.13852,1.29063,0.657963,0,-1.86881,1.86,0.1977,-1.73334,1.37908,0.274086,0,-1.64066,1.86,0.323952,-1.43134,1.36605,0.445668,0,-2.01522,1.86,0.175894,-1.93131,1.36805,0.244277,0,
0.200004,-1.72337,3.22208,0.300116,-1.56465,3.19976,0.413302,-1.48788,1.86,0.590067,-1.24505,1.4004,0.796434,0,-1.90916,1.86,0.581409,-1.79803,1.43199,0.778721,0,-1.7434,1.86,0.670734,-1.58409,1.42529,0.895235,0,-1.92144,1.86,0.442342,-1.81031,1.45706,0.595565,0,-1.8458,1.86,0.675319,-1.71573,1.43487,0.898568,0,-1.49347,1.86,0.309105,-1.27028,1.51115,0.423669,0,-1.82703,1.86,0.49953,-1.69363,1.43227,0.663921,0,-1.99186,1.86,0.664869,-1.91033,1.40628,0.891427,0,-1.62713,1.86,0.649256,-1.43559,1.49934,0.847894,0,-1.69767,1.86,0.195828,-1.52508,1.4278,0.27961,0,-1.54016,1.86,0.173984,-1.32728,1.53201,0.259298,0,-1.92656,1.86,0.301726,-1.80913,1.50455,0.412338,0,-2.10107,1.86,0.507704,-2.06529,1.36632,0.693079,0,-1.37393,1.86,0.64989,-1.09524,1.39302,0.878657,0,-2.03486,1.86,0.333571,-1.9508,1.46034,0.453576,0,-1.56675,1.86,0.517536,-1.35505,1.44581,0.69295,0,-2.15298,1.86,0.690707,-2.14069,1.35918,0.944034,0,-1.79989,1.86,0.34565,-1.65746,1.41322,0.468436,0,-1.43133,1.86,0.477556,-1.16572,1.34687,0.652359,0,-1.86881,1.86,0.1977,-1.72174,1.61677,0.289536,0,-1.64066,1.86,0.323952,-1.45096,1.4449,0.445207,0,-2.01522,1.86,0.175894,-1.92651,1.45927,0.251605,0,
0.233338,-1.72337,3.22208,0.300116,-1.58007,3.20096,0.413653,-1.48788,1.86,0.590067,-1.27772,1.60957,0.751902,0,-1.90916,1.86,0.581409,-1.78172,1.5155,0.760059,0,-1.7434,1.86,0.670734,-1.57787,1.50013,0.875028,0,-1.92144,1.86,0.442342,-1.78537,1.57805,0.582055,0,-1.8458,1.86,0.675319,-1.70195,1.52104,0.873419,0,-1.49347,1.86,0.309105,-1.27635,1.56004,0.423893,0,-1.82703,1.86,0.49953,-1.6761,1.55985,0.643223,0,-1.99186,1.86,0.664869,-1.88824,1.48944,0.8684,0,-1.62713,1.86,0.649256,-1.43684,1.55088,0.835212,0,-1.69767,1.86,0.195828,-1.52279,1.49716,0.285662,0,-1.54016,1.86,0.173984,-1.33079,1.57772,0.26231,0,-1.92656,1.86,0.301726,-1.79411,1.57215,0.412259,0,-2.10107,1.86,0.507704,-2.03503,1.45172,0.679822,0,-1.37393,1.86,0.64989,-1.10524,1.44381,0.864216,0,-2.03486,1.86,0.333571,-1.89706,1.67499,0.448361,0,-1.56675,1.86,0.517536,-1.35887,1.51244,0.680986,0,-2.15298,1.86,0.690707,-2.09953,1.46292,0.909207,0,-1.79989,1.86,0.34565,-1.64961,1.48085,0.466241,0,-1.43133,1.86,0.477556,-1.17275,1.39752,0.645849,0,-1.86881,1.86,0.1977,-1.7215,1.61445,0.292431,0,-1.64066,1.86,0.323952,-1.45122,1.51834,0.441751,0,-2.01522,1.86,0.175894,-1.90795,1.52806,0.257928,0,
0.266672,-1.75023,3.22434,0.300404,-1.59185,3.20192,0.413923,-1.48788,1.86,0.590067,-1.26988,1.59996,0.751507,0,-1.90916,1.86,0.581409,-1.77156,1.55102,0.750743,0,-1.7434,1.86,0.670734,-1.57255,1.52879,0.864653,0,-1.92144,1.86,0.442342,-1.77407,1.62218,0.575586,0,-1.8458,1.86,0.675319,-1.69434,1.55264,0.862178,0,-1.49347,1.86,0.309105,-1.27594,1.5922,0.421267,0,-1.82703,1.86,0.49953,-1.66502,1.62779,0.630102,0,-1.99186,1.86,0.664869,-1.87597,1.52448,0.855797,0,-1.62713,1.86,0.649256,-1.43351,1.58677,0.822398,0,-1.69767,1.86,0.195828,-1.51711,1.55138,0.285378,0,-1.54016,1.86,0.173984,-1.32882,1.59963,0.261974,0,-1.92656,1.86,0.301726,-1.78244,1.61117,0.410366,0,-2.10107,1.86,0.507704,-2.01838,1.49141,0.669331,0,-1.37393,1.86,0.64989,-1.11025,1.49238,0.848514,0,-2.03486,1.86,0.333571,-1.89053,1.68281,0.446401,0,-1.56675,1.86,0.517536,-1.35805,1.56745,0.670404,0,-2.15298,1.86,0.690707,-2.07979,1.50677,0.893909,0,-1.79989,1.86,0.34565,-1.6379,1.54708,0.463587,0,-1.43133,1.86,0.477556,-1.17351,1.42908,0.638584,0,-1.86881,1.86,0.1977,-1.71429,1.61413,0.29037,0,-1.64066,1.86,0.323952,-1.44801,1.55299,0.439269,0,-2.01522,1.86,0.175894,-1.89535,1.56203,0.258011,0,
0.300007,-1.75023,3.22434,0.300404,-1.60737,3.20324,0.414279,-1.48788,1.86,0.590067,-1.29222,1.71097,0.726021,0,-1.90916,1.86,0.581409,-1.75414,1.7268,0.712827,0,-1.7434,1.86,0.670734,-1.57362,1.74979,0.802916,0,-1.92144,1.86,0.442342,-1.75748,1.77502,0.558432,0,-1.8458,1.86,0.675319,-1.682,1.74834,0.80691,0,-1.49347,1.86,0.309105,-1.30628,1.74221,0.419052,0,-1.82703,1.86,0.49953,-1.66052,1.7655,0.609706,0,-1.99186,1.86,0.664869,-1.84828,1.7046,0.807385,0,-1.62713,1.86,0.649256,-1.44737,1.70323,0.792342,0,-1.69767,1.86,0.195828,-1.52426,1.74264,0.299408,0,-1.54016,1.86,0.173984,-1.35805,1.78615,0.277983,0,-1.92656,1.86,0.301726,-1.76147,1.77569,0.409714,0,-2.10107,1.86,0.507704,-1.96114,1.72072,0.634609,0,-1.37393,1.86,0.64989,-1.1733,1.71228,0.793214,0,-2.03486,1.86,0.333571,-1.877,1.75861,0.443236,0,-1.56675,1.86,0.517536,-1.38393,1.74903,0.641233,0,-2.15298,1.86,0.690707,-2.01762,1.72635,0.83071,0,-1.79989,1.86,0.34565,-1.63207,1.75351,0.455788,0,-1.43133,1.86,0.477556,-1.21652,1.60374,0.615091,0,-1.86881,1.86,0.1977,-1.7045,1.71143,0.295261,0,-1.64066,1.86,0.323952,-1.46432,1.73795,0.435907,0,-2.01522,1.86,0.175894,-1.86539,1.73304,0.273224,0,
