time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,p33wx,p33wy,p33wz,p33wHatx,p33wHaty,p33wHatz,converged33,p34wx,p34wy,p34wz,p34wHatx,p34wHaty,p34wHatz,converged34,p35wx,p35wy,p35wz,p35wHatx,p35wHaty,p35wHatz,converged35,
0,5.20953,-3.29378,0.206002,5.70823,-4.02433,0.0553122,5.4668,-1.86,0.19734,6.13872,-1.62521,0.040818,0,5.55891,-1.86,0.335373,6.2869,-1.64956,0.26959,0,4.95631,-1.86,0.633853,5.28151,-1.60817,0.776312,0,5.61721,-1.86,0.443418,6.38432,-1.64658,0.449037,0,5.80566,-1.86,0.440266,6.69138,-1.6597,0.441668,0,4.95483,-1.86,0.435467,5.28159,-1.62271,0.439672,0,4.95577,-1.86,0.187951,5.2819,-1.61549,0.0249859,0,4.83701,-1.86,0.184244,5.09524,-1.66499,0.0195089,0,5.59767,-1.86,0.609229,6.34238,-1.6818,0.714109,0,5.56683,-1.86,0.16921,6.29086,-1.68634,-0.00468175,0,5.4489,-1.86,0.34095,6.11043,-1.61526,0.282055,0,4.82884,-1.86,0.53201,5.07605,-1.64337,0.596687,0,5.74224,-1.86,0.308382,6.59291,-1.6432,0.225339,0,5.17057,-1.86,0.414614,5.64149,-1.56794,0.412712,0,5.71952,-1.86,0.587295,6.54948,-1.65925,0.68427,0,4.78732,-1.86,0.637834,4.99224,-1.59289,0.787622,0,5.16808,-1.86,0.0976,5.63897,-1.6288,-0.125803,0,5.44591,-1.86,0.469406,6.101,-1.64191,0.492994,0,5.17549,-1.86,0.24664,5.65184,-1.64904,0.122635,0,5.4481,-1.86,0.594423,6.09495,-1.7002,0.684934,0,4.85289,-1.86,0.411048,5.10565,-1.60179,0.401761,0,5.48291,-1.86,0.0929076,6.152,-1.69689,-0.128273,0,5.03515,-1.86,0.11626,5.41541,-1.61678,-0.0953787,0,5.28703,-1.86,0.556559,5.83797,-1.62398,0.642192,0,5.1719,-1.86,0.668616,5.64543,-1.63136,0.827412,0,5.6586,-1.86,0.0918085,6.43828,-1.69345,-0.130331,0,4.73834,-1.86,0.138654,4.92814,-1.65063,-0.0561862,0,5.82377,-1.86,0.608774,6.66836,-1.78318,0.684888,0,5.35746,-1.86,0.291263,5.95422,-1.64011,0.197091,0,4.85674,-1.86,0.299434,5.08977,-1.51087,0.219102,0,5.07944,-1.86,0.275188,5.48934,-1.61184,0.171726,0,5.49038,-1.86,0.696047,6.15266,-1.75541,0.830794,0,5.89617,-1.86,0.686285,6.80058,-1.74338,0.819377,0,5.05606,-1.86,0.650343,5.44957,-1.60778,0.80422,0,4.91313,-1.86,0.0894374,5.20901,-1.60942,-0.141016,0,5.05104,-1.86,0.378157,5.43797,-1.5794,0.348877,0,
0.033334,5.23602,-3.29264,0.20543,5.71982,-4.02457,0.0550675,5.4668,-1.86,0.19734,6.11064,-1.72975,0.0432889,0,5.55891,-1.86,0.335373,6.25641,-1.73961,0.262496,0,4.95631,-1.86,0.633853,5.29032,-1.71226,0.748401,0,5.61721,-1.86,0.443418,6.34524,-1.74875,0.43488,0,5.80566,-1.86,0.440266,6.66349,-1.71291,0.434599,0,4.95483,-1.86,0.435467,5.29149,-1.72966,0.425618,0,4.95577,-1.86,0.187951,5.29085,-1.71426,0.0289078,0,4.83701,-1.86,0.184244,5.113,-1.77454,0.0199863,0,5.59767,-1.86,0.609229,6.30609,-1.77873,0.687985,0,5.56683,-1.86,0.16921,6.25291,-1.79897,-0.00241043,0,5.4489,-1.86,0.34095,6.08164,-1.73219,0.272918,0,4.82884,-1.86,0.53201,5.09094,-1.73148,0.579209,0,5.74224,-1.86,0.308382,6.54587,-1.74292,0.215663,0,5.17057,-1.86,0.414614,5.6386,-1.62188,0.405866,0,5.71952,-1.86,0.587295,6.50111,-1.76255,0.658002,0,4.78732,-1.86,0.637834,5.01228,-1.70011,0.755426,0,5.16808,-1.86,0.0976,5.63182,-1.75405,-0.11447,0,5.44591,-1.86,0.469406,6.06748,-1.77509,0.468747,0,5.17549,-1.86,0.24664,5.64288,-1.80547,0.116754,0,5.4481,-1.86,0.594423,6.06174,-1.83403,0.65271,0,4.85289,-1.86,0.411048,5.11985,-1.69341,0.391299,0,5.48291,-1.86,0.0929076,6.1327,-1.76674,-0.123578,0,5.03515,-1.86,0.11626,5.41921,-1.71816,-0.0863535,0,5.28703,-1.86,0.556559,5.82406,-1.72081,0.61954,0,5.1719,-1.86,0.668616,5.6377,-1.75272,0.788426,0,5.6586,-1.86,0.0918085,6.39647,-1.79552,-0.121246,0,4.73834,-1.86,0.138654,4.95604,-1.77,-0.0475404,0,5.82377,-1.86,0.608774,6.6138,-1.88096,0.65824,0,5.35746,-1.86,0.291263,5.93731,-1.73599,0.193257,0,4.85674,-1.86,0.299434,5.11005,-1.64158,0.211665,0,5.07944,-1.86,0.275188,5.49107,-1.73269,0.167731,0,5.49038,-1.86,0.696047,6.12627,-1.84717,0.801226,0,5.89617,-1.86,0.686285,6.7611,-1.81125,0.803271,0,5.05606,-1.86,0.650343,5.45027,-1.7276,0.767588,0,4.91313,-1.86,0.0894374,5.22366,-1.72479,-0.129752,0,5.05104,-1.86,0.378157,5.44173,-1.6936,0.341974,0,
0.0666681,5.24682,-3.29223,0.204802,5.73047,-4.02469,0.0548452,5.4668,-1.86,0.19734,6.08824,-1.80585,0.0398726,0,5.55891,-1.86,0.335373,6.23068,-1.80874,0.25239,0,4.95631,-1.86,0.633853,5.29399,-1.78307,0.725417,0,5.61721,-1.86,0.443418,6.31111,-1.83296,0.415448,0,5.80566,-1.86,0.440266,6.62648,-1.77503,0.419441,0,4.95483,-1.86,0.435467,5.29588,-1.80318,0.411021,0,4.95577,-1.86,0.187951,5.29918,-1.83126,0.0294922,0,4.83701,-1.86,0.184244,5.12185,-1.83656,0.0182945,0,5.59767,-1.86,0.609229,6.27088,-1.86823,0.662292,0,5.56683,-1.86,0.16921,6.21332,-1.91126,-0.00111563,0,5.4489,-1.86,0.34095,6.06345,-1.79715,0.262865,0,4.82884,-1.86,0.53201,5.09776,-1.7853,0.562961,0,5.74224,-1.86,0.308382,6.50788,-1.81957,0.20567,0,5.17057,-1.86,0.414614,5.63235,-1.66894,0.393892,0,5.71952,-1.86,0.587295,6.47176,-1.82212,0.637455,0,4.78732,-1.86,0.637834,5.03215,-1.80804,0.718185,0,5.16808,-1.86,0.0976,5.62579,-1.83742,-0.111955,0,5.44591,-1.86,0.469406,6.03802,-1.88985,0.441121,0,5.17549,-1.86,0.24664,5.63934,-1.86725,0.109769,0,5.4481,-1.86,0.594423,6.04071,-1.91194,0.623958,0,4.85289,-1.86,0.411048,5.1278,-1.76114,0.379243,0,5.48291,-1.86,0.0929076,6.09532,-1.88983,-0.113411,0,5.03515,-1.86,0.11626,5.42006,-1.80463,-0.0854449,0,5.28703,-1.86,0.556559,5.81463,-1.77306,0.608273,0,5.1719,-1.86,0.668616,5.63251,-1.81602,0.762622,0,5.6586,-1.86,0.0918085,6.36546,-1.86701,-0.119286,0,4.73834,-1.86,0.138654,4.9752,-1.85873,-0.0439946,0,5.82377,-1.86,0.608774,6.57977,-1.94038,0.63705,0,5.35746,-1.86,0.291263,5.91823,-1.82387,0.185087,0,4.85674,-1.86,0.299434,5.12205,-1.7285,0.204503,0,5.07944,-1.86,0.275188,5.49021,-1.83652,0.158406,0,5.49038,-1.86,0.696047,6.1104,-1.89377,0.780693,0,5.89617,-1.86,0.686285,6.736,-1.8467,0.786237,0,5.05606,-1.86,0.650343,5.44996,-1.79878,0.742383,0,4.91313,-1.86,0.0894374,5.23339,-1.82225,-0.124759,0,5.05104,-1.86,0.378157,5.441,-1.75828,0.332136,0,
0.100002,5.27414,-3.29083,0.204263,5.74587,-4.02487,0.0545241,5.4668,-1.86,0.19734,6.06774,-1.8891,0.0405829,0,5.55891,-1.86,0.335373,6.21249,-1.86698,0.246514,0,4.95631,-1.86,0.633853,5.30027,-1.83932,0.706397,0,5.61721,-1.86,0.443418,6.28533,-1.90633,0.404266,0,5.80566,-1.86,0.440266,6.58973,-1.84682,0.408753,0,4.95483,-1.86,0.435467,5.30236,-1.85866,0.402684,0,4.95577,-1.86,0.187951,5.30961,-1.91143,0.0310753,0,4.83701,-1.86,0.184244,5.13725,-1.9199,0.0221387,0,5.59767,-1.86,0.609229,6.23849,-1.96388,0.633808,0,5.56683,-1.86,0.16921,6.19253,-1.98202,0.000119109,0,5.4489,-1.86,0.34095,6.04621,-1.86934,0.257032,0,4.82884,-1.86,0.53201,5.10827,-1.84321,0.549925,0,5.74224,-1.86,0.308382,6.48361,-1.8742,0.202814,0,5.17057,-1.86,0.414614,5.62722,-1.75577,0.382308,0,5.71952,-1.86,0.587295,6.44196,-1.88892,0.618341,0,4.78732,-1.86,0.637834,5.04593,-1.8642,0.702829,0,5.16808,-1.86,0.0976,5.62378,-1.91057,-0.106255,0,5.44591,-1.86,0.469406,6.02324,-1.96074,0.431248,0,5.17549,-1.86,0.24664,5.63514,-1.96367,0.110659,0,5.4481,-1.86,0.594423,6.027,-1.97313,0.610812,0,4.85289,-1.86,0.411048,5.14007,-1.83186,0.370025,0,5.48291,-1.86,0.0929076,6.08282,-1.94729,-0.111132,0,5.03515,-1.86,0.11626,5.42445,-1.87119,-0.0819015,0,5.28703,-1.86,0.556559,5.80645,-1.83436,0.593311,0,5.1719,-1.86,0.668616,5.62944,-1.88242,0.740928,0,5.6586,-1.86,0.0918085,6.34179,-1.92851,-0.1142,0,4.73834,-1.86,0.138654,5.00075,-1.95619,-0.0429466,0,5.82377,-1.86,0.608774,6.56066,-1.97895,0.628249,0,5.35746,-1.86,0.291263,5.90345,-1.91465,0.180108,0,4.85674,-1.86,0.299434,5.13615,-1.80654,0.200347,0,5.07944,-1.86,0.275188,5.49317,-1.88547,0.155653,0,5.49038,-1.86,0.696047,6.09075,-1.96314,0.756414,0,5.89617,-1.86,0.686285,6.70142,-1.90429,0.769368,0,5.05606,-1.86,0.650343,5.45256,-1.86506,0.722007,0,4.91313,-1.86,0.0894374,5.25142,-1.94526,-0.113614,0,5.05104,-1.86,0.378157,5.44661,-1.88911,0.312635,0,
0.133336,5.27414,-3.29083,0.204263,5.75773,-4.02485,0.0542811,5.4668,-1.86,0.19734,6.04398,-1.97834,0.0406489,0,5.55891,-1.86,0.335373,6.17791,-1.96855,0.234727,0,4.95631,-1.86,0.633853,5.30631,-1.92653,0.679444,0,5.61721,-1.86,0.443418,6.25396,-1.98826,0.387188,0,5.80566,-1.86,0.440266,6.55022,-1.92074,0.392834,0,4.95483,-1.86,0.435467,5.31045,-1.95934,0.384715,0,4.95577,-1.86,0.187951,5.32221,-2.03655,0.0310477,0,4.83701,-1.86,0.184244,5.14963,-1.99527,0.0219388,0,5.59767,-1.86,0.609229,6.20751,-2.05067,0.605906,0,5.56683,-1.86,0.16921,6.16249,-2.07064,0.000983972,0,5.4489,-1.86,0.34095,6.02206,-1.96277,0.246967,0,4.82884,-1.86,0.53201,5.12194,-1.9312,0.529456,0,5.74224,-1.86,0.308382,6.46038,-1.91942,0.19855,0,5.17057,-1.86,0.414614,5.62001,-1.90817,0.359705,0,5.71952,-1.86,0.587295,6.40156,-1.97577,0.591786,0,4.78732,-1.86,0.637834,5.16908,-2.26802,0.582612,0,5.16808,-1.86,0.0976,5.61819,-2.02265,-0.0989052,0,5.44591,-1.86,0.469406,6.00043,-2.05053,0.412616,0,5.17549,-1.86,0.24664,5.63116,-2.03917,0.104596,0,5.4481,-1.86,0.594423,6.00437,-2.05857,0.5839,0,4.85289,-1.86,0.411048,5.15466,-1.92809,0.354166,0,5.48291,-1.86,0.0929076,6.05959,-2.02701,-0.10567,0,5.03515,-1.86,0.11626,5.42549,-1.93325,-0.0795654,0,5.28703,-1.86,0.556559,5.79353,-1.91619,0.571052,0,5.1719,-1.86,0.668616,5.62337,-1.96418,0.715892,0,5.6586,-1.86,0.0918085,6.30152,-2.0268,-0.108864,0,4.73834,-1.86,0.138654,5.02288,-2.04743,-0.039855,0,5.82377,-1.86,0.608774,6.5249,-2.04038,0.608196,0,5.35746,-1.86,0.291263,5.88139,-2.04106,0.17175,0,4.85674,-1.86,0.299434,5.14992,-1.898,0.194572,0,5.07944,-1.86,0.275188,5.49197,-1.96219,0.151639,0,5.49038,-1.86,0.696047,6.06743,-2.04123,0.727754,0,5.89617,-1.86,0.686285,6.65605,-1.97713,0.743137,0,5.05606,-1.86,0.650343,5.45209,-1.9181,0.705906,0,4.91313,-1.86,0.0894374,5.26322,-2.03303,-0.106382,0,5.05104,-1.86,0.378157,5.45077,-1.98653,0.299582,0,
0.16667,5.30161,-3.28942,0.203763,5.78519,-4.02499,0.0537135,5.4668,-1.86,0.19734,6.03769,-2.05544,0.0389489,0,5.55891,-1.86,0.335373,6.1666,-2.0456,0.227134,0,4.95631,-1.86,0.633853,5.32922,-2.02467,0.648716,0,5.61721,-1.86,0.443418,6.23476,-2.07727,0.371107,0,5.80566,-1.86,0.440266,6.51767,-2.00909,0.37713,0,4.95483,-1.86,0.435467,5.3367,-2.07349,0.36399,0,4.95577,-1.86,0.187951,5.34855,-2.14189,0.0299058,0,4.83701,-1.86,0.184244,5.17576,-2.07026,0.0215518,0,5.59767,-1.86,0.609229,6.19742,-2.11647,0.586023,0,5.56683,-1.86,0.16921,6.15237,-2.14297,0.00219645,0,5.4489,-1.86,0.34095,6.0072,-2.0874,0.230976,0,4.82884,-1.86,0.53201,5.15128,-2.01872,0.506007,0,5.74224,-1.86,0.308382,6.44131,-1.98392,0.19331,0,5.17057,-1.86,0.414614,5.63045,-2.04339,0.33831,0,5.71952,-1.86,0.587295,6.37467,-2.06655,0.567083,0,4.78732,-1.86,0.637834,5.16218,-2.23374,0.590254,0,5.16808,-1.86,0.0976,5.62889,-2.10662,-0.0932827,0,5.44591,-1.86,0.469406,5.99548,-2.12833,0.395898,0,5.17549,-1.86,0.24664,5.64078,-2.10594,0.101411,0,5.4481,-1.86,0.594423,6.00306,-2.11706,0.567585,0,4.85289,-1.86,0.411048,5.18331,-2.01782,0.339156,0,5.48291,-1.86,0.0929076,6.04759,-2.12401,-0.0993936,0,5.03515,-1.86,0.11626,5.43938,-1.98263,-0.0764135,0,5.28703,-1.86,0.556559,5.79567,-1.99841,0.548837,0,5.1719,-1.86,0.668616,5.63242,-2.03615,0.692014,0,5.6586,-1.86,0.0918085,6.28374,-2.10682,-0.10374,0,4.73834,-1.86,0.138654,5.0562,-2.12776,-0.0384816,0,5.82377,-1.86,0.608774,6.50293,-2.10479,0.587865,0,5.35746,-1.86,0.291263,5.88225,-2.1217,0.162761,0,4.85674,-1.86,0.299434,5.17259,-1.95755,0.187533,0,5.07944,-1.86,0.275188,5.50641,-2.0443,0.144702,0,5.49038,-1.86,0.696047,6.05991,-2.1149,0.701176,0,5.89617,-1.86,0.686285,6.63758,-2.02863,0.721893,0,5.05606,-1.86,0.650343,5.46693,-2.01068,0.673636,0,4.91313,-1.86,0.0894374,5.28164,-2.07563,-0.105804,0,5.05104,-1.86,0.378157,5.46552,-2.0338,0.296204,0,
0.200004,5.32869,-3.28802,0.203313,5.80047,-4.02503,0.0533987,5.4668,-1.86,0.19734,6.01064,-2.24228,0.0406385,0,5.55891,-1.86,0.335373,6.12167,-2.25415,0.208957,0,4.95631,-1.86,0.633853,5.37553,-2.23633,0.586007,0,5.61721,-1.86,0.443418,6.17415,-2.32163,0.331368,0,5.80566,-1.86,0.440266,6.4213,-2.26218,0.336431,0,4.95483,-1.86,0.435467,5.38105,-2.27794,0.333945,0,4.95577,-1.86,0.187951,5.40331,-2.39686,0.033355,0,4.83701,-1.86,0.184244,5.24419,-2.30377,0.0282343,0,5.59767,-1.86,0.609229,6.13847,-2.36826,0.515875,0,5.56683,-1.86,0.16921,6.10504,-2.36098,0.00766595,0,5.4489,-1.86,0.34095,5.97928,-2.29667,0.211284,0,4.82884,-1.86,0.53201,5.21146,-2.21783,0.466856,0,5.74224,-1.86,0.308382,6.3473,-2.25303,0.175348,0,5.17057,-1.86,0.414614,5.64266,-2.23449,0.31137,0,5.71952,-1.86,0.587295,6.29284,-2.32681,0.498301,0,4.78732,-1.86,0.637834,5.1777,-2.27991,0.576552,0,5.16808,-1.86,0.0976,5.6418,-2.31049,-0.0786287,0,5.44591,-1.86,0.469406,5.96785,-2.34461,0.359042,0,5.17549,-1.86,0.24664,5.65091,-2.32118,0.0970745,0,5.4481,-1.86,0.594423,5.97955,-2.28996,0.523015,0,4.85289,-1.86,0.411048,5.25349,-2.26452,0.304784,0,5.48291,-1.86,0.0929076,6.01569,-2.32111,-0.0821686,0,5.03515,-1.86,0.11626,5.46647,-2.17665,-0.0619439,0,5.28703,-1.86,0.556559,5.79157,-2.16792,0.508916,0,5.1719,-1.86,0.668616,5.64507,-2.2611,0.619899,0,5.6586,-1.86,0.0918085,6.22436,-2.31848,-0.085046,0,4.73834,-1.86,0.138654,5.15511,-2.39323,-0.0249316,0,5.82377,-1.86,0.608774,6.41541,-2.32718,0.524836,0,5.35746,-1.86,0.291263,5.87064,-2.28506,0.154637,0,4.85674,-1.86,0.299434,5.24956,-2.22996,0.171916,0,5.07944,-1.86,0.275188,5.52977,-2.24458,0.1356,0,5.49038,-1.86,0.696047,6.02057,-2.34074,0.627779,0,5.89617,-1.86,0.686285,6.54,-2.2464,0.648237,0,5.05606,-1.86,0.650343,5.50245,-2.25958,0.599037,0,4.91313,-1.86,0.0894374,5.34228,-2.33644,-0.0843219,0,5.05104,-1.86,0.378157,5.49575,-2.25509,0.269114,0,
0.233338,5.32869,-3.28802,0.203313,5.81267,-4.02512,0.0531458,5.4668,-1.86,0.19734,6.00097,-2.24894,0.0417734,0,5.55891,-1.86,0.335373,6.11337,-2.26358,0.207635,0,4.95631,-1.86,0.633853,5.36616,-2.2284,0.587155,0,5.61721,-1.86,0.443418,6.16458,-2.33041,0.330729,0,5.80566,-1.86,0.440266,6.41075,-2.27024,0.337251,0,4.95483,-1.86,0.435467,5.37322,-2.27068,0.335212,0,4.95577,-1.86,0.187951,5.39609,-2.38879,0.0311391,0,4.83701,-1.86,0.184244,5.23268,-2.28853,0.0251839,0,5.59767,-1.86,0.609229,6.13131,-2.37622,0.515516,0,5.56683,-1.86,0.16921,6.09746,-2.37105,0.00805298,0,5.4489,-1.86,0.34095,5.97518,-2.30312,0.212487,0,4.82884,-1.86,0.53201,5.19933,-2.20375,0.468855,0,5.74224,-1.86,0.308382,6.334,-2.26316,0.177012,0,5.17057,-1.86,0.414614,5.63865,-2.2339,0.308766,0,5.71952,-1.86,0.587295,6.2832,-2.33375,0.497309,0,4.78732,-1.86,0.637834,5.17151,-2.27427,0.579166,0,5.16808,-1.86,0.0976,5.63679,-2.31037,-0.0793661,0,5.44591,-1.86,0.469406,5.96145,-2.35006,0.358183,0,5.17549,-1.86,0.24664,5.64495,-2.32119,0.097197,0,5.4481,-1.86,0.594423,5.97176,-2.29566,0.521637,0,4.85289,-1.86,0.411048,5.2419,-2.24913,0.306451,0,5.48291,-1.86,0.0929076,6.00822,-2.3288,-0.0801425,0,5.03515,-1.86,0.11626,5.45962,-2.17328,-0.0633371,0,5.28703,-1.86,0.556559,5.784,-2.1697,0.507279,0,5.1719,-1.86,0.668616,5.63822,-2.26016,0.61838,0,5.6586,-1.86,0.0918085,6.21545,-2.33117,-0.0839185,0,4.73834,-1.86,0.138654,5.1389,-2.36461,-0.0273677,0,5.82377,-1.86,0.608774,6.40653,-2.33733,0.520047,0,5.35746,-1.86,0.291263,5.86451,-2.28888,0.154539,0,4.85674,-1.86,0.299434,5.2379,-2.21233,0.171895,0,5.07944,-1.86,0.275188,5.52144,-2.24254,0.135215,0,5.49038,-1.86,0.696047,6.01547,-2.34844,0.628939,0,5.89617,-1.86,0.686285,6.53098,-2.25329,0.64501,0,5.05606,-1.86,0.650343,5.4916,-2.25647,0.601191,0,4.91313,-1.86,0.0894374,5.33276,-2.32567,-0.084433,0,5.05104,-1.86,0.378157,5.48904,-2.25155,0.269658,0,
0.266672,5.35591,-3.28665,0.202888,5.82794,-4.02516,0.0528309,5.4668,-1.86,0.19734,5.99624,-2.25185,0.041245,0,5.55891,-1.86,0.335373,6.10812,-2.26872,0.206636,0,4.95631,-1.86,0.633853,5.36498,-2.24076,0.583582,0,5.61721,-1.86,0.443418,6.16025,-2.33978,0.32679,0,5.80566,-1.86,0.440266,6.3998,-2.2938,0.328454,0,4.95483,-1.86,0.435467,5.37289,-2.28172,0.33018,0,4.95577,-1.86,0.187951,5.39815,-2.40161,0.0328452,0,4.83701,-1.86,0.184244,5.23717,-2.30939,0.0242319,0,5.59767,-1.86,0.609229,6.12774,-2.38303,0.511798,0,5.56683,-1.86,0.16921,6.09449,-2.3768,0.00789582,0,5.4489,-1.86,0.34095,5.97256,-2.30435,0.209931,0,4.82884,-1.86,0.53201,5.20161,-2.22351,0.465084,0,5.74224,-1.86,0.308382,6.32166,-2.28428,0.174388,0,5.17057,-1.86,0.414614,5.6322,-2.23677,0.308564,0,5.71952,-1.86,0.587295,6.27692,-2.35012,0.489979,0,4.78732,-1.86,0.637834,5.1673,-2.28212,0.575923,0,5.16808,-1.86,0.0976,5.63161,-2.31315,-0.078423,0,5.44591,-1.86,0.469406,5.9582,-2.35122,0.354311,0,5.17549,-1.86,0.24664,5.642,-2.32366,0.0970519,0,5.4481,-1.86,0.594423,5.96665,-2.29722,0.52131,0,4.85289,-1.86,0.411048,5.24514,-2.27046,0.303481,0,5.48291,-1.86,0.0929076,6.00306,-2.33155,-0.0828303,0,5.03515,-1.86,0.11626,5.45511,-2.18042,-0.0634241,0,5.28703,-1.86,0.556559,5.77932,-2.17031,0.506543,0,5.1719,-1.86,0.668616,5.63344,-2.26301,0.617564,0,5.6586,-1.86,0.0918085,6.20847,-2.34059,-0.0842657,0,4.73834,-1.86,0.138654,5.15143,-2.39652,-0.0252743,0,5.82377,-1.86,0.608774,6.39577,-2.35524,0.514428,0,5.35746,-1.86,0.291263,5.85776,-2.2894,0.152374,0,4.85674,-1.86,0.299434,5.24217,-2.23547,0.168759,0,5.07944,-1.86,0.275188,5.51794,-2.24817,0.134406,0,5.49038,-1.86,0.696047,6.01102,-2.35052,0.628917,0,5.89617,-1.86,0.686285,6.51644,-2.27746,0.639599,0,5.05606,-1.86,0.650343,5.49232,-2.26376,0.5983,0,4.91313,-1.86,0.0894374,5.3323,-2.34266,-0.0835467,0,5.05104,-1.86,0.378157,5.48685,-2.25878,0.269675,0,
0.300007,5.35591,-3.28665,0.202888,5.8403,-4.02529,0.0525736,5.4668,-1.86,0.19734,5.99184,-2.24983,0.041322,0,5.55891,-1.86,0.335373,6.10384,-2.26701,0.20689,0,4.95631,-1.86,0.633853,5.36167,-2.23936,0.583848,0,5.61721,-1.86,0.443418,6.15691,-2.33716,0.327937,0,5.80566,-1.86,0.440266,6.39746,-2.29129,0.329573,0,4.95483,-1.86,0.435467,5.36823,-2.28085,0.33059,0,4.95577,-1.86,0.187951,5.39438,-2.39971,0.0328562,0,4.83701,-1.86,0.184244,5.23237,-2.30681,0.0239358,0,5.59767,-1.86,0.609229,6.12408,-2.38127,0.513987,0,5.56683,-1.86,0.16921,6.09158,-2.37457,0.00789271,0,5.4489,-1.86,0.34095,5.9694,-2.30254,0.210171,0,4.82884,-1.86,0.53201,5.19705,-2.22165,0.464872,0,5.74224,-1.86,0.308382,6.31977,-2.28333,0.171202,0,5.17057,-1.86,0.414614,5.62918,-2.23553,0.309174,0,5.71952,-1.86,0.587295,6.27454,-2.34689,0.490953,0,4.78732,-1.86,0.637834,5.16617,-2.28394,0.575621,0,5.16808,-1.86,0.0976,5.62814,-2.31187,-0.0784449,0,5.44591,-1.86,0.469406,5.9547,-2.34956,0.355484,0,5.17549,-1.86,0.24664,5.63852,-2.32226,0.0971568,0,5.4481,-1.86,0.594423,5.96222,-2.29555,0.521877,0,4.85289,-1.86,0.411048,5.24054,-2.26837,0.303192,0,5.48291,-1.86,0.0929076,6.0022,-2.33023,-0.0829577,0,5.03515,-1.86,0.11626,5.45098,-2.17963,-0.0627146,0,5.28703,-1.86,0.556559,5.77459,-2.16877,0.507012,0,5.1719,-1.86,0.668616,5.62962,-2.26117,0.61615,0,5.6586,-1.86,0.0918085,6.20475,-2.34015,-0.0836435,0,4.73834,-1.86,0.138654,5.1494,-2.38994,-0.0231045,0,5.82377,-1.86,0.608774,6.39335,-2.35676,0.51536,0,5.35746,-1.86,0.291263,5.85545,-2.28775,0.152709,0,4.85674,-1.86,0.299434,5.23762,-2.23353,0.168311,0,5.07944,-1.86,0.275188,5.51436,-2.24676,0.134537,0,5.49038,-1.86,0.696047,6.00788,-2.34905,0.629531,0,5.89617,-1.86,0.686285,6.51229,-2.27841,0.63884,0,5.05606,-1.86,0.650343,5.48859,-2.26168,0.598969,0,4.91313,-1.86,0.0894374,5.32871,-2.34161,-0.0835372,0,5.05104,-1.86,0.378157,5.48497,-2.25759,0.272285,0,
