time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,p33wx,p33wy,p33wz,p33wHatx,p33wHaty,p33wHatz,converged33,p34wx,p34wy,p34wz,p34wHatx,p34wHaty,p34wHatz,converged34,
0,6.76391,3.5038,0.207138,6.77457,3.52334,0.248128,6.12846,1.86,0.132963,5.79093,0.97884,0.133309,0,6.16,1.41713,-0.0638231,6.00577,0.866958,-0.0968111,0,6.16,1.08756,0.467878,6.07149,0.710352,0.55168,0,6.1397,1.86,0.445623,5.8027,0.964016,0.619437,0,5.77282,1.86,0.310177,5.32806,1.12419,0.398513,0,5.60665,1.86,0.273092,5.1608,1.23111,0.340098,0,5.69365,1.86,0.774579,5.27579,1.22139,1.04276,0,5.95767,1.86,0.495488,5.57211,1.07172,0.678181,0,6.16,1.67682,0.569719,5.89186,0.852947,0.778091,0,5.41842,1.86,0.767135,5.01467,1.37325,0.9806,0,6.16,0.391515,-0.173581,6.20675,0.597092,-0.109833,0,6.09084,1.86,0.259731,5.74941,1.01966,0.328232,0,5.11923,1.86,0.759837,4.78741,1.53724,0.915916,0,5.29216,1.86,0.632933,4.90606,1.43641,0.788706,0,4.78231,1.86,0.584984,4.55317,1.68062,0.671696,0,6.07801,1.86,-0.00109692,5.74328,1.05182,-0.064961,0,6.16,1.68494,0.310271,5.87034,0.799987,0.402547,0,6.16,1.16378,0.627155,6.04953,0.71399,0.752385,0,5.82206,1.86,0.604529,5.42694,1.17133,0.816726,0,4.66075,1.86,0.768213,4.50809,1.75189,0.85277,0,6.03665,1.86,0.595452,5.71259,1.12301,0.815154,0,5.45266,1.86,0.182607,5.03447,1.34193,0.215573,0,6.16,0.0666373,0.7724,6.26109,0.600879,0.728743,0,5.58394,1.86,0.0322627,5.11218,1.20748,0.0017554,0,4.92762,1.86,0.388655,4.63804,1.61077,0.459323,0,4.88095,1.86,0.092182,4.61016,1.63384,0.115989,0,5.25026,1.86,0.306168,4.84824,1.43138,0.374156,0,5.1016,1.86,0.550563,4.73988,1.51131,0.668482,0,5.78407,1.86,0.0572357,5.38276,1.18841,0.0351997,0,5.32874,1.86,0.469808,4.91099,1.38885,0.589205,0,6.16,1.48501,0.176838,5.954,0.780303,0.206958,0,4.97405,1.86,-0.0535326,4.64701,1.5694,-0.0617238,0,5.91624,1.86,0.366728,5.53434,1.11828,0.481625,0,5.24906,1.86,0.109987,4.85265,1.43782,0.12487,0,4.59639,1.86,0.441107,4.46247,1.76989,0.497702,0,
0.033334,6.74054,3.51359,0.207607,6.764,3.52808,0.248539,6.12846,1.86,0.132963,5.81869,1.05271,0.135793,0,6.16,1.41713,-0.0638231,6.0182,0.92141,-0.0915222,0,6.16,1.08756,0.467878,6.07226,0.733527,0.550032,0,6.1397,1.86,0.445623,5.83344,1.0424,0.606393,0,5.77282,1.86,0.310177,5.36357,1.18413,0.397537,0,5.60665,1.86,0.273092,5.19332,1.28092,0.341233,0,5.69365,1.86,0.774579,5.28836,1.24975,1.0373,0,5.95767,1.86,0.495488,5.59932,1.13157,0.673858,0,6.16,1.67682,0.569719,5.89693,0.883666,0.772365,0,5.41842,1.86,0.767135,5.01278,1.38478,0.980198,0,6.16,0.391515,-0.173581,6.19561,0.594924,-0.111033,0,6.09084,1.86,0.259731,5.78049,1.09639,0.32688,0,5.11923,1.86,0.759837,4.79696,1.55705,0.913612,0,5.29216,1.86,0.632933,4.92735,1.46671,0.783174,0,4.78231,1.86,0.584984,4.57823,1.70696,0.66897,0,6.07801,1.86,-0.00109692,5.77207,1.12366,-0.0527707,0,6.16,1.68494,0.310271,5.88533,0.852186,0.400608,0,6.16,1.16378,0.627155,6.05076,0.737556,0.750191,0,5.82206,1.86,0.604529,5.45852,1.22797,0.802961,0,4.66075,1.86,0.768213,4.51098,1.76513,0.854139,0,6.03665,1.86,0.595452,5.73682,1.18419,0.802841,0,5.45266,1.86,0.182607,5.06362,1.38275,0.212738,0,6.16,0.0666373,0.7724,6.25017,0.595644,0.732293,0,5.58394,1.86,0.0322627,5.13875,1.24844,0.00755933,0,4.92762,1.86,0.388655,4.67016,1.64369,0.454018,0,4.88095,1.86,0.092182,4.61826,1.65105,0.118927,0,5.25026,1.86,0.306168,4.86367,1.45694,0.375864,0,5.1016,1.86,0.550563,4.75382,1.53431,0.666185,0,5.78407,1.86,0.0572357,5.41345,1.24363,0.0411246,0,5.32874,1.86,0.469808,4.9359,1.42267,0.584586,0,6.16,1.48501,0.176838,5.95199,0.79945,0.206474,0,4.97405,1.86,-0.0535326,4.66465,1.59129,-0.058455,0,5.91624,1.86,0.366728,5.56246,1.17754,0.478535,0,5.24906,1.86,0.109987,4.87201,1.46568,0.128978,0,4.59639,1.86,0.441107,4.4726,1.78653,0.497584,0,
0.0666681,6.71772,3.52237,0.208008,6.75069,3.53342,0.249038,6.12846,1.86,0.132963,5.8501,1.11678,0.136919,0,6.16,1.41713,-0.0638231,6.03685,0.96762,-0.0853493,0,6.16,1.08756,0.467878,6.07632,0.74563,0.550616,0,6.1397,1.86,0.445623,5.89348,1.16656,0.591541,0,5.77282,1.86,0.310177,5.4084,1.24438,0.394859,0,5.60665,1.86,0.273092,5.23378,1.32768,0.341811,0,5.69365,1.86,0.774579,5.34073,1.31128,1.01716,0,5.95767,1.86,0.495488,5.64016,1.19717,0.662846,0,6.16,1.67682,0.569719,5.91537,0.923334,0.758876,0,5.41842,1.86,0.767135,5.06913,1.43582,0.965733,0,6.16,0.391515,-0.173581,6.19382,0.590833,-0.112576,0,6.09084,1.86,0.259731,5.82689,1.18619,0.326205,0,5.11923,1.86,0.759837,4.82479,1.57749,0.907493,0,5.29216,1.86,0.632933,4.96744,1.50228,0.77761,0,4.78231,1.86,0.584984,4.59973,1.72157,0.667982,0,6.07801,1.86,-0.00109692,5.79077,1.16108,-0.0484832,0,6.16,1.68494,0.310271,5.91242,0.91124,0.396775,0,6.16,1.16378,0.627155,6.06309,0.766865,0.745308,0,5.82206,1.86,0.604529,5.50024,1.28638,0.789196,0,4.66075,1.86,0.768213,4.53011,1.7758,0.853415,0,6.03665,1.86,0.595452,5.76618,1.23652,0.790466,0,5.45266,1.86,0.182607,5.08913,1.40906,0.213534,0,6.16,0.0666373,0.7724,6.24979,0.593663,0.729718,0,5.58394,1.86,0.0322627,5.17679,1.29048,0.0150451,0,4.92762,1.86,0.388655,4.69774,1.66385,0.455239,0,4.88095,1.86,0.092182,4.64699,1.66922,0.123961,0,5.25026,1.86,0.306168,4.87597,1.46867,0.378183,0,5.1016,1.86,0.550563,4.78058,1.55456,0.664164,0,5.78407,1.86,0.0572357,5.45766,1.30423,0.0526931,0,5.32874,1.86,0.469808,4.9749,1.45796,0.581086,0,6.16,1.48501,0.176838,5.9627,0.822234,0.206712,0,4.97405,1.86,-0.0535326,4.68849,1.60824,-0.0512923,0,5.91624,1.86,0.366728,5.61318,1.25584,0.470993,0,5.24906,1.86,0.109987,4.89599,1.48641,0.133197,0,4.59639,1.86,0.441107,4.49159,1.79774,0.500323,0,
0.100002,6.70836,3.52541,0.20776,6.74101,3.53732,0.249401,6.12846,1.86,0.132963,5.86804,1.16994,0.138328,0,6.16,1.41713,-0.0638231,6.04024,0.997355,-0.0823243,0,6.16,1.08756,0.467878,6.06937,0.753205,0.545128,0,6.1397,1.86,0.445623,5.91159,1.22544,0.58105,0,5.77282,1.86,0.310177,5.43024,1.28829,0.38824,0,5.60665,1.86,0.273092,5.24894,1.35836,0.338049,0,5.69365,1.86,0.774579,5.36274,1.35186,1.00148,0,5.95767,1.86,0.495488,5.64917,1.22829,0.656939,0,6.16,1.67682,0.569719,5.9204,0.957583,0.746258,0,5.41842,1.86,0.767135,5.09544,1.474,0.954167,0,6.16,0.391515,-0.173581,6.18485,0.591029,-0.114492,0,6.09084,1.86,0.259731,5.86241,1.27265,0.320165,0,5.11923,1.86,0.759837,4.84634,1.6067,0.905652,0,5.29216,1.86,0.632933,4.9893,1.53353,0.772666,0,4.78231,1.86,0.584984,4.61008,1.73915,0.667605,0,6.07801,1.86,-0.00109692,5.80421,1.20082,-0.0463725,0,6.16,1.68494,0.310271,5.91222,0.933979,0.39535,0,6.16,1.16378,0.627155,6.06622,0.797742,0.735924,0,5.82206,1.86,0.604529,5.53766,1.35197,0.77199,0,4.66075,1.86,0.768213,4.54172,1.79286,0.851026,0,6.03665,1.86,0.595452,5.78812,1.28958,0.775409,0,5.45266,1.86,0.182607,5.11935,1.45047,0.219377,0,6.16,0.0666373,0.7724,6.23575,0.587856,0.726876,0,5.58394,1.86,0.0322627,5.18053,1.30939,0.0162561,0,4.92762,1.86,0.388655,4.70255,1.67938,0.456505,0,4.88095,1.86,0.092182,4.65727,1.68735,0.124995,0,5.25026,1.86,0.306168,4.8709,1.47771,0.381053,0,5.1016,1.86,0.550563,4.79155,1.57469,0.663359,0,5.78407,1.86,0.0572357,5.46602,1.33069,0.051885,0,5.32874,1.86,0.469808,4.99404,1.48727,0.575697,0,6.16,1.48501,0.176838,5.96965,0.856694,0.206269,0,4.97405,1.86,-0.0535326,4.68946,1.62199,-0.046321,0,5.91624,1.86,0.366728,5.64361,1.31858,0.464091,0,5.24906,1.86,0.109987,4.90456,1.5055,0.130659,0,4.59639,1.86,0.441107,4.49493,1.81128,0.50171,0,
0.133336,6.70836,3.52541,0.20776,6.73218,3.54056,0.249724,6.12846,1.86,0.132963,5.87978,1.21548,0.138823,0,6.16,1.41713,-0.0638231,6.0431,1.03085,-0.081525,0,6.16,1.08756,0.467878,6.05938,0.760073,0.541765,0,6.1397,1.86,0.445623,5.91373,1.25594,0.571352,0,5.77282,1.86,0.310177,5.45155,1.33397,0.382922,0,5.60665,1.86,0.273092,5.26767,1.39509,0.334168,0,5.69365,1.86,0.774579,4.72635,0.34654,1.34324,0,5.95767,1.86,0.495488,5.65247,1.25282,0.649386,0,6.16,1.67682,0.569719,5.31581,-0.945252,1.11545,0,5.41842,1.86,0.767135,4.35891,0.55499,1.26494,0,6.16,0.391515,-0.173581,6.17531,0.598613,-0.11647,0,6.09084,1.86,0.259731,5.87988,1.32974,0.316014,0,5.11923,1.86,0.759837,4.83289,1.61396,0.903618,0,5.29216,1.86,0.632933,3.55931,-0.09463,1.19035,0,4.78231,1.86,0.584984,4.60962,1.7534,0.663393,0,6.07801,1.86,-0.00109692,5.8162,1.24341,-0.0441721,0,6.16,1.68494,0.310271,5.9104,0.955522,0.391198,0,6.16,1.16378,0.627155,6.06106,0.817395,0.730059,0,5.82206,1.86,0.604529,5.54195,1.37819,0.764247,0,4.66075,1.86,0.768213,4.54151,1.80712,0.848302,0,6.03665,1.86,0.595452,5.80261,1.33487,0.762782,0,5.45266,1.86,0.182607,5.12307,1.47092,0.218114,0,6.16,0.0666373,0.7724,6.22153,0.583306,0.726447,0,5.58394,1.86,0.0322627,5.17667,1.32527,0.0101888,0,4.92762,1.86,0.388655,4.70109,1.69284,0.452803,0,4.88095,1.86,0.092182,4.66271,1.70595,0.121398,0,5.25026,1.86,0.306168,4.8816,1.49883,0.377502,0,5.1016,1.86,0.550563,4.79362,1.59089,0.659329,0,5.78407,1.86,0.0572357,5.47704,1.3611,0.0526935,0,5.32874,1.86,0.469808,5.00597,1.5133,0.569803,0,6.16,1.48501,0.176838,5.96713,0.879691,0.205403,0,4.97405,1.86,-0.0535326,4.69399,1.6384,-0.0471066,0,5.91624,1.86,0.366728,5.66727,1.37478,0.454834,0,5.24906,1.86,0.109987,4.92305,1.53507,0.129459,0,4.59639,1.86,0.441107,4.49299,1.82435,0.498147,0,
0.16667,6.70836,3.52541,0.20776,6.71873,3.54534,0.25021,6.12846,1.86,0.132963,5.90974,1.27643,0.14041,0,6.16,1.41713,-0.0638231,6.06186,1.07716,-0.0779978,0,6.16,1.08756,0.467878,6.0716,0.787051,0.536925,0,6.1397,1.86,0.445623,5.94597,1.3209,0.559293,0,5.77282,1.86,0.310177,5.4726,1.3633,0.38215,0,5.60665,1.86,0.273092,5.29252,1.4239,0.33371,0,5.69365,1.86,0.774579,4.83281,0.498517,1.29085,0,5.95767,1.86,0.495488,5.6707,1.28092,0.644467,0,6.16,1.67682,0.569719,5.59924,-0.123146,0.954247,0,5.41842,1.86,0.767135,4.38508,0.581177,1.25208,0,6.16,0.391515,-0.173581,6.18119,0.614459,-0.11755,0,6.09084,1.86,0.259731,5.89552,1.3631,0.313378,0,5.11923,1.86,0.759837,4.84573,1.62274,0.905409,0,5.29216,1.86,0.632933,3.73051,0.0726218,1.1425,0,4.78231,1.86,0.584984,4.63475,1.76727,0.660225,0,6.07801,1.86,-0.00109692,5.85836,1.32259,-0.0332365,0,6.16,1.68494,0.310271,5.9302,0.997347,0.385679,0,6.16,1.16378,0.627155,6.05825,0.82156,0.723097,0,5.82206,1.86,0.604529,5.56991,1.41613,0.753809,0,4.66075,1.86,0.768213,4.54669,1.81023,0.847927,0,6.03665,1.86,0.595452,5.82802,1.38107,0.750429,0,5.45266,1.86,0.182607,5.15309,1.49962,0.219669,0,6.16,0.0666373,0.7724,6.21458,0.572468,0.725594,0,5.58394,1.86,0.0322627,5.19737,1.3453,0.0124255,0,4.92762,1.86,0.388655,4.72257,1.70581,0.45093,0,4.88095,1.86,0.092182,4.67882,1.71583,0.123903,0,5.25026,1.86,0.306168,4.90097,1.51496,0.378136,0,5.1016,1.86,0.550563,3.48901,0.245365,0.939407,0,5.78407,1.86,0.0572357,5.48849,1.37754,0.0537877,0,5.32874,1.86,0.469808,5.04208,1.54536,0.564001,0,6.16,1.48501,0.176838,5.49419,-0.828252,0.169432,0,4.97405,1.86,-0.0535326,4.7069,1.64735,-0.0471037,0,5.91624,1.86,0.366728,5.67745,1.39408,0.452929,0,5.24906,1.86,0.109987,4.95055,1.55863,0.135231,0,4.59639,1.86,0.441107,4.51023,1.83257,0.499197,0,
0.200004,6.66623,3.5403,0.208846,6.69121,3.55537,0.251213,6.12846,1.86,0.132963,6.0094,1.4895,0.147089,0,6.16,1.41713,-0.0638231,6.11383,1.16782,-0.06608,0,6.16,1.08756,0.467878,5.99988,0.318534,0.584351,0,6.1397,1.86,0.445623,6.04211,1.53706,0.52802,0,5.77282,1.86,0.310177,5.59957,1.53278,0.371684,0,5.60665,1.86,0.273092,5.39183,1.52182,0.328106,0,5.69365,1.86,0.774579,5.32407,1.22816,1.03172,0,5.95767,1.86,0.495488,5.75957,1.40696,0.617709,0,6.16,1.67682,0.569719,5.92689,0.838856,0.767811,0,5.41842,1.86,0.767135,5.04949,1.36279,0.979833,0,6.16,0.391515,-0.173581,6.1372,0.132613,-0.179863,0,6.09084,1.86,0.259731,6.00736,1.59907,0.306346,0,5.11923,1.86,0.759837,4.69398,1.4149,0.964157,0,5.29216,1.86,0.632933,4.99123,1.48839,0.770305,0,4.78231,1.86,0.584984,4.48917,1.59588,0.687384,0,6.07801,1.86,-0.00109692,5.95155,1.49952,-0.0104564,0,6.16,1.68494,0.310271,5.99915,1.11974,0.379578,0,6.16,1.16378,0.627155,6.00216,0.43369,0.784842,0,5.82206,1.86,0.604529,5.67339,1.55924,0.713445,0,4.66075,1.86,0.768213,4.37063,1.6193,0.900541,0,6.03665,1.86,0.595452,5.94442,1.60313,0.696918,0,5.45266,1.86,0.182607,5.19704,1.50975,0.21543,0,6.16,0.0666373,0.7724,6.06241,-0.680006,0.928224,0,5.58394,1.86,0.0322627,5.32272,1.4631,0.0277185,0,4.92762,1.86,0.388655,4.64469,1.58355,0.459257,0,4.88095,1.86,0.092182,4.55424,1.55791,0.108828,0,5.25026,1.86,0.306168,4.86138,1.41369,0.377646,0,5.1016,1.86,0.550563,4.89346,1.63221,0.637315,0,5.78407,1.86,0.0572357,5.56714,1.45551,0.0630435,0,5.32874,1.86,0.469808,5.20062,1.68971,0.535935,0,6.16,1.48501,0.176838,5.93224,0.596394,0.195415,0,4.97405,1.86,-0.0535326,4.5705,1.46515,-0.0728178,0,5.91624,1.86,0.366728,5.78104,1.55483,0.436894,0,5.24906,1.86,0.109987,4.95525,1.51695,0.132419,0,4.59639,1.86,0.441107,4.27984,1.60339,0.520979,0,
0.233338,6.66623,3.5403,0.208846,6.67739,3.55961,0.251693,6.12846,1.86,0.132963,6.0618,1.63514,0.15707,0,6.16,1.41713,-0.0638231,6.15718,1.33455,-0.0446707,0,6.16,1.08756,0.467878,6.09099,0.711668,0.538531,0,6.1397,1.86,0.445623,6.0911,1.67632,0.508458,0,5.77282,1.86,0.310177,5.66459,1.6503,0.359926,0,5.60665,1.86,0.273092,5.4737,1.64727,0.322481,0,5.69365,1.86,0.774579,5.47148,1.47703,0.951007,0,5.95767,1.86,0.495488,5.85115,1.60187,0.582178,0,6.16,1.67682,0.569719,6.05525,1.26176,0.685107,0,5.41842,1.86,0.767135,5.24544,1.61829,0.891597,0,6.16,0.391515,-0.173581,6.19992,0.497517,-0.137086,0,6.09084,1.86,0.259731,6.04636,1.70529,0.301924,0,5.11923,1.86,0.759837,4.93708,1.66809,0.882325,0,5.29216,1.86,0.632933,5.16041,1.68733,0.722183,0,4.78231,1.86,0.584984,4.74889,1.82264,0.641471,0,6.07801,1.86,-0.00109692,5.99102,1.60662,-0.00120509,0,6.16,1.68494,0.310271,6.06028,1.3186,0.366348,0,6.16,1.16378,0.627155,6.09477,0.817013,0.716476,0,5.82206,1.86,0.604529,5.72061,1.65211,0.693427,0,4.66075,1.86,0.768213,4.61413,1.82114,0.833447,0,6.03665,1.86,0.595452,5.99785,1.73269,0.666472,0,5.45266,1.86,0.182607,5.33643,1.6924,0.21964,0,6.16,0.0666373,0.7724,6.12334,-0.267586,0.857212,0,5.58394,1.86,0.0322627,5.4471,1.64387,0.0486991,0,4.92762,1.86,0.388655,4.84358,1.77244,0.442532,0,4.88095,1.86,0.092182,4.79076,1.77434,0.127676,0,5.25026,1.86,0.306168,5.08364,1.66359,0.363323,0,5.1016,1.86,0.550563,4.9443,1.68111,0.629607,0,5.78407,1.86,0.0572357,5.64894,1.60233,0.073823,0,5.32874,1.86,0.469808,5.30367,1.8145,0.517571,0,6.16,1.48501,0.176838,6.05041,1.02189,0.199344,0,4.97405,1.86,-0.0535326,4.81632,1.7018,-0.0353356,0,5.91624,1.86,0.366728,5.81967,1.64093,0.431026,0,5.24906,1.86,0.109987,5.10497,1.68834,0.143222,0,4.59639,1.86,0.441107,4.72757,1.95338,0.472164,0,
0.266672,6.64094,3.54779,0.209187,6.66651,3.563,0.252072,6.12846,1.86,0.132963,6.07788,1.68541,0.155119,0,6.16,1.41713,-0.0638231,6.17312,1.40027,-0.0397863,0,6.16,1.08756,0.467878,6.10439,0.787841,0.531639,0,6.1397,1.86,0.445623,6.10174,1.71463,0.498672,0,5.77282,1.86,0.310177,5.68319,1.68806,0.355499,0,5.60665,1.86,0.273092,5.51595,1.71075,0.319331,0,5.69365,1.86,0.774579,5.50198,1.54433,0.923229,0,5.95767,1.86,0.495488,5.88026,1.66876,0.570164,0,6.16,1.67682,0.569719,6.09209,1.40304,0.65612,0,5.41842,1.86,0.767135,5.32862,1.73342,0.855295,0,6.16,0.391515,-0.173581,6.20741,0.560074,-0.132172,0,6.09084,1.86,0.259731,6.05091,1.72668,0.297735,0,5.11923,1.86,0.759837,4.95023,1.68424,0.874645,0,5.29216,1.86,0.632933,5.23128,1.77744,0.702664,0,4.78231,1.86,0.584984,4.72511,1.80548,0.643063,0,6.07801,1.86,-0.00109692,5.97506,1.58694,-0.00518742,0,6.16,1.68494,0.310271,6.07057,1.36521,0.361626,0,6.16,1.16378,0.627155,6.10554,0.882513,0.706844,0,5.82206,1.86,0.604529,5.73369,1.68129,0.68257,0,4.66075,1.86,0.768213,4.58968,1.80313,0.839231,0,6.03665,1.86,0.595452,6.00813,1.76489,0.657371,0,5.45266,1.86,0.182607,5.36609,1.73638,0.213217,0,6.16,0.0666373,0.7724,6.14108,-0.140986,0.837097,0,5.58394,1.86,0.0322627,5.48372,1.70156,0.0531063,0,4.92762,1.86,0.388655,4.83592,1.76966,0.441448,0,4.88095,1.86,0.092182,4.774,1.76383,0.122488,0,5.25026,1.86,0.306168,5.14533,1.73254,0.355584,0,5.1016,1.86,0.550563,5.03521,1.7854,0.607164,0,5.78407,1.86,0.0572357,5.66905,1.64376,0.0775161,0,5.32874,1.86,0.469808,5.33698,1.85848,0.50907,0,6.16,1.48501,0.176838,6.09129,1.18786,0.198413,0,4.97405,1.86,-0.0535326,4.83433,1.72101,-0.0388822,0,5.91624,1.86,0.366728,5.84387,1.69105,0.421559,0,5.24906,1.86,0.109987,5.13389,1.7245,0.144472,0,4.59639,1.86,0.441107,4.66109,1.90636,0.476357,0,
0.300007,6.61554,3.55492,0.209537,6.65267,3.56683,0.252542,6.12846,1.86,0.132963,6.0964,1.72828,0.155977,0,6.16,1.41713,-0.0638231,6.18905,1.45138,-0.0343699,0,6.16,1.08756,0.467878,6.11896,0.847363,0.521725,0,6.1397,1.86,0.445623,6.118,1.75175,0.492115,0,5.77282,1.86,0.310177,5.71516,1.73444,0.353248,0,5.60665,1.86,0.273092,5.54815,1.75506,0.316023,0,5.69365,1.86,0.774579,5.53237,1.58837,0.900531,0,5.95767,1.86,0.495488,5.89828,1.70518,0.562135,0,6.16,1.67682,0.569719,6.11422,1.47619,0.637766,0,5.41842,1.86,0.767135,5.38337,1.80111,0.830183,0,6.16,0.391515,-0.173581,6.22275,0.636895,-0.126461,0,6.09084,1.86,0.259731,6.06904,1.76221,0.29572,0,5.11923,1.86,0.759837,5.0314,1.76292,0.845776,0,5.29216,1.86,0.632933,5.2741,1.8262,0.688634,0,4.78231,1.86,0.584984,4.81715,1.88099,0.62469,0,6.07801,1.86,-0.00109692,5.98537,1.60093,-0.00559062,0,6.16,1.68494,0.310271,6.08694,1.40884,0.35762,0,6.16,1.16378,0.627155,6.12363,0.948504,0.692387,0,5.82206,1.86,0.604529,5.76548,1.72849,0.670144,0,4.66075,1.86,0.768213,4.67675,1.871,0.809531,0,6.03665,1.86,0.595452,6.02225,1.79273,0.647971,0,5.45266,1.86,0.182607,5.41671,1.79531,0.214415,0,6.16,0.0666373,0.7724,6.15525,-0.0524583,0.812745,0,5.58394,1.86,0.0322627,5.51367,1.74223,0.0554616,0,4.92762,1.86,0.388655,4.924,1.84469,0.432456,0,4.88095,1.86,0.092182,4.85815,1.83544,0.128414,0,5.25026,1.86,0.306168,5.22276,1.81541,0.348961,0,5.1016,1.86,0.550563,5.06871,1.81796,0.60108,0,5.78407,1.86,0.0572357,5.69502,1.68326,0.0788265,0,5.32874,1.86,0.469808,5.37494,1.89933,0.502383,0,6.16,1.48501,0.176838,6.11753,1.27777,0.19865,0,4.97405,1.86,-0.0535326,4.90056,1.78309,-0.0240359,0,5.91624,1.86,0.366728,5.8696,1.73612,0.414466,0,5.24906,1.86,0.109987,5.17957,1.77299,0.145667,0,4.59639,1.86,0.441107,4.7758,1.99341,0.462443,0,
