time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,
0,-7.63919,-0.628263,0.322387,-7.62612,-0.249351,0.510798,-6.16,-0.961739,0.506574,-5.22643,-0.790347,0.809603,0,-6.16,-0.821363,0.642579,-5.18681,-0.567788,1.03882,0,-6.16,-0.813734,0.398682,-5.14646,-0.560266,0.638695,0,-6.16,-1.16713,0.651085,-5.26861,-1.10818,1.03467,0,-6.16,-0.817856,0.112577,-5.14797,-0.566983,0.159296,0,-6.16,-1.30004,0.684578,-5.36143,-1.27786,1.06532,0,-6.16,-0.321949,0.168013,-5.00866,0.292676,0.237632,0,-6.16,-1.01642,0.388205,-5.14053,-0.9016,0.621396,0,-6.16,-1.31009,0.443468,-5.18443,-1.37484,0.710665,0,-6.16,-1.14459,0.413582,-5.27732,-1.06922,0.655605,0,-6.16,-1.09062,0.110548,-5.2012,-1.00731,0.16352,0,-6.16,-1.23963,0.340435,-5.34272,-1.19311,0.538658,0,-6.16,-0.236538,0.233919,-5.10785,0.417544,0.360185,0,-6.16,-1.2439,0.580272,-5.32279,-1.20799,0.912363,0,-6.16,-1.22169,0.172826,-5.24451,-1.20481,0.269994,0,-6.16,-1.09159,0.313262,-5.204,-1.00804,0.495857,0,-6.16,-0.949019,0.290465,-5.20183,-0.775045,0.45848,0,-6.16,-0.350245,0.295255,-5.05755,0.233416,0.463685,0,-6.16,-0.926032,0.618597,-5.1597,-0.745853,1.0047,0,-6.16,-1.30943,0.258517,-5.25219,-1.34254,0.408295,0,-6.16,-0.395885,0.396056,-5.09622,0.148088,0.636796,0,-6.16,-0.381819,0.546467,-5.03054,0.18309,0.903998,0,-6.16,-0.233368,0.468072,-5.2625,0.381654,0.743589,0,-6.16,-0.547793,0.52164,-5.08575,-0.111153,0.852995,0,-6.16,-0.230872,0.123012,-4.9376,0.472929,0.148423,0,-6.16,-0.379863,0.717493,-5.19171,0.159456,1.16105,0,-6.16,-0.516505,0.147278,-5.18785,-0.0651317,0.222153,0,-6.16,-0.599898,0.66945,-5.12527,-0.201395,1.09757,0,-6.16,-0.239909,0.35973,-5.09531,0.415098,0.57469,0,-6.16,-0.0613114,0.183881,-4.9866,0.762334,0.263645,0,-6.16,-0.415391,0.115743,-5.19749,0.100154,0.171519,0,
0.0333341,-7.63919,-0.628263,0.322387,-7.6267,-0.264786,0.510365,-6.16,-0.961739,0.506574,-5.33778,-0.756982,0.792455,0,-6.16,-0.821363,0.642579,-5.33324,-0.538049,1.00248,0,-6.16,-0.813734,0.398682,-5.3224,-0.525899,0.623843,0,-6.16,-1.16713,0.651085,-5.41839,-1.04042,0.992984,0,-6.16,-0.817856,0.112577,-5.33472,-0.528674,0.182256,0,-6.16,-1.30004,0.684578,-5.46483,-1.22064,1.03559,0,-6.16,-0.321949,0.168013,-5.10376,0.280603,0.241075,0,-6.16,-1.01642,0.388205,-5.25167,-0.863584,0.611121,0,-6.16,-1.31009,0.443468,-5.29355,-1.31251,0.697834,0,-6.16,-1.14459,0.413582,-5.39907,-1.0162,0.643556,0,-6.16,-1.09062,0.110548,-5.3415,-0.951899,0.181476,0,-6.16,-1.23963,0.340435,-5.45598,-1.13562,0.53248,0,-6.16,-0.236538,0.233919,-5.22672,0.394877,0.365308,0,-6.16,-1.2439,0.580272,-5.45029,-1.14424,0.885127,0,-6.16,-1.22169,0.172826,-5.3661,-1.14442,0.276875,0,-6.16,-1.09159,0.313262,-5.33882,-0.955823,0.491173,0,-6.16,-0.949019,0.290465,-5.32131,-0.739561,0.460782,0,-6.16,-0.350245,0.295255,-5.15469,0.223429,0.463931,0,-6.16,-0.926032,0.618597,-5.26625,-0.715691,0.979348,0,-6.16,-1.30943,0.258517,-5.36634,-1.27893,0.412608,0,-6.16,-0.395885,0.396056,-5.20267,0.13939,0.629978,0,-6.16,-0.381819,0.546467,-5.15291,0.173424,0.882046,0,-6.16,-0.233368,0.468072,-5.35398,0.363968,0.732324,0,-6.16,-0.547793,0.52164,-5.29992,-0.11157,0.820278,0,-6.16,-0.230872,0.123012,-5.06639,0.450473,0.162472,0,-6.16,-0.379863,0.717493,-5.24646,0.154272,1.14229,0,-6.16,-0.516505,0.147278,-5.36216,-0.0673923,0.237875,0,-6.16,-0.599898,0.66945,-5.28074,-0.193529,1.05634,0,-6.16,-0.239909,0.35973,-5.14897,0.405186,0.570791,0,-6.16,-0.0613114,0.183881,-5.0307,0.749895,0.265117,0,-6.16,-0.415391,0.115743,-5.32409,0.0900098,0.188487,0,
0.0666681,-7.63813,-0.654652,0.322178,-7.62729,-0.277127,0.510022,-6.16,-0.961739,0.506574,-5.42739,-0.727091,0.786398,0,-6.16,-0.821363,0.642579,-5.42639,-0.516624,0.983539,0,-6.16,-0.813734,0.398682,-5.50239,-0.489734,0.616402,0,-6.16,-1.16713,0.651085,-5.52603,-0.990153,0.973465,0,-6.16,-0.817856,0.112577,-5.45135,-0.504051,0.201693,0,-6.16,-1.30004,0.684578,-5.57274,-1.1584,1.01259,0,-6.16,-0.321949,0.168013,-5.21037,0.271545,0.252019,0,-6.16,-1.01642,0.388205,-5.33498,-0.831473,0.611186,0,-6.16,-1.31009,0.443468,-5.40352,-1.24834,0.694992,0,-6.16,-1.14459,0.413582,-5.57125,-0.940336,0.637436,0,-6.16,-1.09062,0.110548,-5.44471,-0.90867,0.199921,0,-6.16,-1.23963,0.340435,-5.57161,-1.07474,0.536172,0,-6.16,-0.236538,0.233919,-5.32017,0.380742,0.374391,0,-6.16,-1.2439,0.580272,-5.56995,-1.08144,0.867793,0,-6.16,-1.22169,0.172826,-5.47685,-1.08695,0.292689,0,-6.16,-1.09159,0.313262,-5.47763,-0.899597,0.501461,0,-6.16,-0.949019,0.290465,-5.38997,-0.716791,0.465231,0,-6.16,-0.350245,0.295255,-5.24329,0.217675,0.463935,0,-6.16,-0.926032,0.618597,-5.3668,-0.684063,0.962864,0,-6.16,-1.30943,0.258517,-5.46319,-1.22249,0.422692,0,-6.16,-0.395885,0.396056,-5.29828,0.135329,0.626416,0,-6.16,-0.381819,0.546467,-5.32679,0.160491,0.855979,0,-6.16,-0.233368,0.468072,-5.46766,0.34661,0.720826,0,-6.16,-0.547793,0.52164,-5.50595,-0.108864,0.795513,0,-6.16,-0.230872,0.123012,-5.17224,0.434172,0.177276,0,-6.16,-0.379863,0.717493,-5.31613,0.153541,1.1252,0,-6.16,-0.516505,0.147278,-5.50541,-0.0669868,0.260122,0,-6.16,-0.599898,0.66945,-5.42429,-0.183775,1.02559,0,-6.16,-0.239909,0.35973,-5.3262,0.378368,0.564596,0,-6.16,-0.0613114,0.183881,-5.20157,0.706896,0.282859,0,-6.16,-0.415391,0.115743,-5.43298,0.085303,0.204097,0,
0.100002,-7.63719,-0.680816,0.32197,-7.62805,-0.292555,0.509594,-6.16,-0.961739,0.506574,-5.5782,-0.690709,0.768318,0,-6.16,-0.821363,0.642579,-5.61603,-0.491513,0.94269,0,-6.16,-0.813734,0.398682,-5.83923,-0.453365,0.59961,0,-6.16,-1.16713,0.651085,-5.74147,-0.914563,0.924645,0,-6.16,-0.817856,0.112577,-5.78215,-0.465715,0.249397,0,-6.16,-1.30004,0.684578,-5.82544,-1.04555,0.949629,0,-6.16,-0.321949,0.168013,-5.53303,0.204111,0.289155,0,-6.16,-1.01642,0.388205,-5.50164,-0.786214,0.605498,0,-6.16,-1.31009,0.443468,-5.67647,-1.12683,0.672346,0,-6.16,-1.14459,0.413582,-5.84341,-0.850736,0.619326,0,-6.16,-1.09062,0.110548,-5.58108,-0.867799,0.215759,0,-6.16,-1.23963,0.340435,-5.70996,-1.02001,0.53235,0,-6.16,-0.236538,0.233919,-5.5028,0.332652,0.3853,0,-6.16,-1.2439,0.580272,-5.78182,-0.995559,0.830351,0,-6.16,-1.22169,0.172826,-5.71966,-0.993107,0.31591,0,-6.16,-1.09159,0.313262,-5.65863,-0.84494,0.50153,0,-6.16,-0.949019,0.290465,-5.42452,-0.706299,0.466826,0,-6.16,-0.350245,0.295255,-5.52905,0.164636,0.471897,0,-6.16,-0.926032,0.618597,-5.40932,-0.675123,0.954361,0,-6.16,-1.30943,0.258517,-5.68357,-1.12246,0.428051,0,-6.16,-0.395885,0.396056,-5.44076,0.113817,0.619393,0,-6.16,-0.381819,0.546467,-5.52304,0.12088,0.82616,0,-6.16,-0.233368,0.468072,-5.64068,0.300305,0.704735,0,-6.16,-0.547793,0.52164,-5.78223,-0.129304,0.75773,0,-6.16,-0.230872,0.123012,-5.49552,0.342933,0.224241,0,-6.16,-0.379863,0.717493,-5.2853,0.163594,1.1343,0,-6.16,-0.516505,0.147278,-5.64362,-0.0796851,0.273951,0,-6.16,-0.599898,0.66945,-5.55316,-0.189693,0.995111,0,-6.16,-0.239909,0.35973,-5.44401,0.343377,0.565453,0,-6.16,-0.0613114,0.183881,-5.59509,0.549169,0.318315,0,-6.16,-0.415391,0.115743,-5.53852,0.0708409,0.219667,0,
0.133336,-7.63719,-0.680816,0.32197,-7.62858,-0.304841,0.509251,-6.16,-0.961739,0.506574,-5.68608,-0.660282,0.755548,0,-6.16,-0.821363,0.642579,-5.73179,-0.470651,0.918194,0,-6.16,-0.813734,0.398682,-5.93633,-0.435586,0.598271,0,-6.16,-1.16713,0.651085,-5.80217,-0.886331,0.911926,0,-6.16,-0.817856,0.112577,-5.87473,-0.448256,0.263403,0,-6.16,-1.30004,0.684578,-5.82655,-1.03987,0.950329,0,-6.16,-0.321949,0.168013,-5.62121,0.189991,0.300021,0,-6.16,-1.01642,0.388205,-5.60584,-0.752566,0.599259,0,-6.16,-1.31009,0.443468,-5.75015,-1.08514,0.669411,0,-6.16,-1.14459,0.413582,-5.87691,-0.833334,0.618012,0,-6.16,-1.09062,0.110548,-5.69237,-0.826239,0.233559,0,-6.16,-1.23963,0.340435,-5.71877,-1.00904,0.533104,0,-6.16,-0.236538,0.233919,-5.59461,0.312059,0.389385,0,-6.16,-1.2439,0.580272,-5.7861,-0.985745,0.831714,0,-6.16,-1.22169,0.172826,-5.73329,-0.981996,0.317515,0,-6.16,-1.09159,0.313262,-5.72752,-0.81747,0.505271,0,-6.16,-0.949019,0.290465,-5.57711,-0.666532,0.470843,0,-6.16,-0.350245,0.295255,-5.56133,0.161463,0.472589,0,-6.16,-0.926032,0.618597,-5.62801,-0.623444,0.910726,0,-6.16,-1.30943,0.258517,-5.68494,-1.1156,0.428576,0,-6.16,-0.395885,0.396056,-5.58605,0.0956209,0.61236,0,-6.16,-0.381819,0.546467,-5.66435,0.102309,0.806381,0,-6.16,-0.233368,0.468072,-5.79768,0.263429,0.692274,0,-6.16,-0.547793,0.52164,-5.81095,-0.127613,0.753849,0,-6.16,-0.230872,0.123012,-5.51655,0.340592,0.224529,0,-6.16,-0.379863,0.717493,-5.61388,0.115014,1.04705,0,-6.16,-0.516505,0.147278,-5.85027,-0.0887419,0.296972,0,-6.16,-0.599898,0.66945,-5.8056,-0.187258,0.935074,0,-6.16,-0.239909,0.35973,-5.57116,0.313967,0.562437,0,-6.16,-0.0613114,0.183881,-5.65541,0.53153,0.323452,0,-6.16,-0.415391,0.115743,-5.70733,0.0517064,0.244084,0,
0.16667,-7.63632,-0.706018,0.321744,-7.62938,-0.320278,0.508823,-6.16,-0.961739,0.506574,-5.68321,-0.662236,0.757268,0,-6.16,-0.821363,0.642579,-5.72763,-0.46761,0.919825,0,-6.16,-0.813734,0.398682,-5.9326,-0.438932,0.600212,0,-6.16,-1.16713,0.651085,-5.80729,-0.88087,0.913478,0,-6.16,-0.817856,0.112577,-5.87081,-0.449848,0.264098,0,-6.16,-1.30004,0.684578,-5.84575,-1.03572,0.948031,0,-6.16,-0.321949,0.168013,-5.5951,0.197348,0.298065,0,-6.16,-1.01642,0.388205,-5.60407,-0.753639,0.601499,0,-6.16,-1.31009,0.443468,-5.76722,-1.07208,0.665265,0,-6.16,-1.14459,0.413582,-5.88563,-0.831487,0.619338,0,-6.16,-1.09062,0.110548,-5.69021,-0.823258,0.235175,0,-6.16,-1.23963,0.340435,-5.72618,-1.00368,0.535849,0,-6.16,-0.236538,0.233919,-5.59416,0.31546,0.392711,0,-6.16,-1.2439,0.580272,-5.79819,-0.977356,0.830576,0,-6.16,-1.22169,0.172826,-5.74495,-0.973939,0.322477,0,-6.16,-1.09159,0.313262,-5.72819,-0.814592,0.506726,0,-6.16,-0.949019,0.290465,-5.57141,-0.664573,0.47231,0,-6.16,-0.350245,0.295255,-5.52811,0.170877,0.470578,0,-6.16,-0.926032,0.618597,-5.62313,-0.622054,0.912454,0,-6.16,-1.30943,0.258517,-5.70189,-1.10521,0.431488,0,-6.16,-0.395885,0.396056,-5.57946,0.0954556,0.616297,0,-6.16,-0.381819,0.546467,-5.65238,0.106917,0.810332,0,-6.16,-0.233368,0.468072,-5.79103,0.261076,0.693472,0,-6.16,-0.547793,0.52164,-5.81041,-0.125814,0.753822,0,-6.16,-0.230872,0.123012,-5.49944,0.348137,0.2246,0,-6.16,-0.379863,0.717493,-5.59094,0.11931,1.05242,0,-6.16,-0.516505,0.147278,-5.84498,-0.0886447,0.295684,0,-6.16,-0.599898,0.66945,-5.80052,-0.188205,0.937513,0,-6.16,-0.239909,0.35973,-5.57174,0.318088,0.564003,0,-6.16,-0.0613114,0.183881,-5.66656,0.528077,0.325947,0,-6.16,-0.415391,0.115743,-5.69972,0.0539588,0.240983,0,
0.200004,-7.6366,-0.715006,0.321272,-7.62982,-0.331731,0.508502,-6.16,-0.961739,0.506574,-5.68602,-0.649618,0.753605,0,-6.16,-0.821363,0.642579,-5.73231,-0.461421,0.91838,0,-6.16,-0.813734,0.398682,-5.93717,-0.430725,0.598932,0,-6.16,-1.16713,0.651085,-5.81358,-0.875194,0.909747,0,-6.16,-0.817856,0.112577,-5.87568,-0.443316,0.263102,0,-6.16,-1.30004,0.684578,-5.84065,-1.02417,0.945247,0,-6.16,-0.321949,0.168013,-5.68134,0.188404,0.303083,0,-6.16,-1.01642,0.388205,-5.60591,-0.734889,0.600082,0,-6.16,-1.31009,0.443468,-5.77622,-1.0601,0.661824,0,-6.16,-1.14459,0.413582,-5.88722,-0.821432,0.616873,0,-6.16,-1.09062,0.110548,-5.69577,-0.808838,0.231661,0,-6.16,-1.23963,0.340435,-5.72885,-0.994579,0.533902,0,-6.16,-0.236538,0.233919,-5.61476,0.319164,0.392719,0,-6.16,-1.2439,0.580272,-5.79951,-0.963796,0.832393,0,-6.16,-1.22169,0.172826,-5.74849,-0.962551,0.320463,0,-6.16,-1.09159,0.313262,-5.73245,-0.803509,0.505605,0,-6.16,-0.949019,0.290465,-5.57614,-0.65347,0.471194,0,-6.16,-0.350245,0.295255,-5.57327,0.168803,0.471647,0,-6.16,-0.926032,0.618597,-5.62793,-0.614147,0.911512,0,-6.16,-1.30943,0.258517,-5.70453,-1.09653,0.430413,0,-6.16,-0.395885,0.396056,-5.59425,0.0969723,0.612818,0,-6.16,-0.381819,0.546467,-5.68651,0.104969,0.803267,0,-6.16,-0.233368,0.468072,-5.81128,0.261639,0.690418,0,-6.16,-0.547793,0.52164,-5.81761,-0.118466,0.751785,0,-6.16,-0.230872,0.123012,-5.55446,0.340109,0.230808,0,-6.16,-0.379863,0.717493,-5.61648,0.124353,1.0467,0,-6.16,-0.516505,0.147278,-5.85656,-0.0849243,0.293108,0,-6.16,-0.599898,0.66945,-5.80897,-0.19274,0.935242,0,-6.16,-0.239909,0.35973,-5.59646,0.321256,0.570188,0,-6.16,-0.0613114,0.183881,-5.6727,0.528455,0.321314,0,-6.16,-0.415391,0.115743,-5.71539,0.0619052,0.244847,0,
0.233338,-7.63583,-0.741586,0.320955,-7.63029,-0.342279,0.508208,-6.16,-0.961739,0.506574,-5.68726,-0.639647,0.759122,0,-6.16,-0.821363,0.642579,-5.73161,-0.450971,0.91805,0,-6.16,-0.813734,0.398682,-6.01036,-0.41809,0.59665,0,-6.16,-1.16713,0.651085,-5.81092,-0.865453,0.910774,0,-6.16,-0.817856,0.112577,-5.95779,-0.428987,0.275507,0,-6.16,-1.30004,0.684578,-5.84662,-1.01055,0.943857,0,-6.16,-0.321949,0.168013,-5.77345,0.173907,0.3159,0,-6.16,-1.01642,0.388205,-5.60858,-0.72269,0.600253,0,-6.16,-1.31009,0.443468,-5.94537,-0.985275,0.649669,0,-6.16,-1.14459,0.413582,-5.8888,-0.811469,0.616994,0,-6.16,-1.09062,0.110548,-5.69762,-0.797623,0.231602,0,-6.16,-1.23963,0.340435,-5.72925,-0.985043,0.533349,0,-6.16,-0.236538,0.233919,-5.79449,0.269984,0.405244,0,-6.16,-1.2439,0.580272,-5.80339,-0.951997,0.831204,0,-6.16,-1.22169,0.172826,-5.7501,-0.951337,0.320292,0,-6.16,-1.09159,0.313262,-5.73229,-0.79033,0.505327,0,-6.16,-0.949019,0.290465,-5.57595,-0.641723,0.471525,0,-6.16,-0.350245,0.295255,-5.67465,0.157152,0.474959,0,-6.16,-0.926032,0.618597,-5.62747,-0.604093,0.911781,0,-6.16,-1.30943,0.258517,-5.70393,-1.08377,0.430769,0,-6.16,-0.395885,0.396056,-5.7051,0.0853256,0.607461,0,-6.16,-0.381819,0.546467,-5.75605,0.0994854,0.793617,0,-6.16,-0.233368,0.468072,-5.81015,0.269443,0.689074,0,-6.16,-0.547793,0.52164,-5.94182,-0.123207,0.734732,0,-6.16,-0.230872,0.123012,-5.61726,0.326645,0.237961,0,-6.16,-0.379863,0.717493,-5.8111,0.0908521,0.994928,0,-6.16,-0.516505,0.147278,-5.85538,-0.0744572,0.292769,0,-6.16,-0.599898,0.66945,-5.8078,-0.181358,0.932727,0,-6.16,-0.239909,0.35973,-5.76493,0.277606,0.563388,0,-6.16,-0.0613114,0.183881,-5.73172,0.511934,0.325875,0,-6.16,-0.415391,0.115743,-5.71451,0.0713119,0.242944,0,
0.266672,-7.63583,-0.741586,0.320955,-7.63159,-0.369955,0.507438,-6.16,-0.961739,0.506574,-5.99578,-0.606485,0.720745,0,-6.16,-0.821363,0.642579,-6.02485,-0.446683,0.854535,0,-6.16,-0.813734,0.398682,-6.10474,-0.427539,0.590597,0,-6.16,-1.16713,0.651085,-6.08548,-0.800135,0.849828,0,-6.16,-0.817856,0.112577,-6.07013,-0.435358,0.290898,0,-6.16,-1.30004,0.684578,-6.19306,-0.893991,0.858698,0,-6.16,-0.321949,0.168013,-5.88506,0.128987,0.322151,0,-6.16,-1.01642,0.388205,-6.03956,-0.652772,0.580041,0,-6.16,-1.31009,0.443468,-6.08663,-0.943301,0.637618,0,-6.16,-1.14459,0.413582,-6.1401,-0.757586,0.601002,0,-6.16,-1.09062,0.110548,-6.07726,-0.721578,0.28543,0,-6.16,-1.23963,0.340435,-6.14545,-0.855404,0.528669,0,-6.16,-0.236538,0.233919,-5.88985,0.221982,0.407001,0,-6.16,-1.2439,0.580272,-6.20791,-0.833359,0.759414,0,-6.16,-1.22169,0.172826,-6.09795,-0.851704,0.352555,0,-6.16,-1.09159,0.313262,-6.08677,-0.719919,0.505512,0,-6.16,-0.949019,0.290465,-5.97555,-0.595397,0.478324,0,-6.16,-0.350245,0.295255,-5.79756,0.111699,0.477294,0,-6.16,-0.926032,0.618597,-5.95343,-0.575243,0.84469,0,-6.16,-1.30943,0.258517,-6.14717,-0.92527,0.448231,0,-6.16,-0.395885,0.396056,-5.83453,0.0437947,0.599769,0,-6.16,-0.381819,0.546467,-5.85607,0.0614396,0.777948,0,-6.16,-0.233368,0.468072,-5.97122,0.199126,0.673746,0,-6.16,-0.547793,0.52164,-6.03131,-0.150729,0.722481,0,-6.16,-0.230872,0.123012,-5.73982,0.273613,0.254503,0,-6.16,-0.379863,0.717493,-5.93504,0.0483306,0.961003,0,-6.16,-0.516505,0.147278,-6.08348,-0.121562,0.320631,0,-6.16,-0.599898,0.66945,-5.9872,-0.209196,0.890744,0,-6.16,-0.239909,0.35973,-5.86481,0.22719,0.560301,0,-6.16,-0.0613114,0.183881,-5.84303,0.450246,0.33962,0,-6.16,-0.415391,0.115743,-6.01006,-0.00552973,0.284072,0,
0.300007,-7.63514,-0.767845,0.320639,-7.63237,-0.385306,0.507012,-6.16,-0.961739,0.506574,-6.00417,-0.61305,0.724071,0,-6.16,-0.821363,0.642579,-6.08073,-0.442371,0.843594,0,-6.16,-0.813734,0.398682,-6.13349,-0.428364,0.589518,0,-6.16,-1.16713,0.651085,-6.10865,-0.79567,0.84739,0,-6.16,-0.817856,0.112577,-6.11426,-0.432854,0.297042,0,-6.16,-1.30004,0.684578,-6.19904,-0.889294,0.857531,0,-6.16,-0.321949,0.168013,-5.936,0.114885,0.330212,0,-6.16,-1.01642,0.388205,-6.11785,-0.633237,0.576803,0,-6.16,-1.31009,0.443468,-6.14848,-0.918864,0.633518,0,-6.16,-1.14459,0.413582,-6.17022,-0.749711,0.599989,0,-6.16,-1.09062,0.110548,-6.11197,-0.714664,0.290916,0,-6.16,-1.23963,0.340435,-6.15314,-0.850871,0.529688,0,-6.16,-0.236538,0.233919,-5.93283,0.207086,0.40941,0,-6.16,-1.2439,0.580272,-6.21314,-0.829175,0.760176,0,-6.16,-1.22169,0.172826,-6.1273,-0.841802,0.354863,0,-6.16,-1.09159,0.313262,-6.13056,-0.708867,0.507231,0,-6.16,-0.949019,0.290465,-6.02101,-0.590657,0.479164,0,-6.16,-0.350245,0.295255,-5.89066,0.0968371,0.479722,0,-6.16,-0.926032,0.618597,-6.00047,-0.56996,0.836387,0,-6.16,-1.30943,0.258517,-6.14428,-0.92364,0.448739,0,-6.16,-0.395885,0.396056,-5.8887,0.0333389,0.597037,0,-6.16,-0.381819,0.546467,-5.92227,0.0507814,0.767978,0,-6.16,-0.233368,0.468072,-5.99911,0.193338,0.670464,0,-6.16,-0.547793,0.52164,-6.07393,-0.154493,0.717665,0,-6.16,-0.230872,0.123012,-5.81795,0.253286,0.263994,0,-6.16,-0.379863,0.717493,-6.01286,0.0354959,0.944077,0,-6.16,-0.516505,0.147278,-6.1168,-0.126526,0.328532,0,-6.16,-0.599898,0.66945,-6.05962,-0.208398,0.872758,0,-6.16,-0.239909,0.35973,-5.94621,0.207354,0.554488,0,-6.16,-0.0613114,0.183881,-5.88969,0.429413,0.343528,0,-6.16,-0.415391,0.115743,-6.06398,-0.0130054,0.292516,0,
