time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,
0,7.60405,-1.46917,0.154806,8.01235,-3.58428,0.0097484,6.16,-1.24549,0.0274505,5.65108,-3.21853,-0.1985,0,6.16,-1.00276,0.562649,5.88508,-2.8972,0.610555,0,6.16,-0.877307,0.562528,5.85219,-2.69892,0.619662,0,6.16,-0.973727,0.685439,5.711,-2.79471,0.855406,0,6.16,-1.12725,0.456737,5.55404,-3.0022,0.52375,0,6.16,-1.44589,0.278899,5.41538,-3.54242,0.232918,0,6.16,-1.2402,0.515849,5.44011,-3.17642,0.652864,0,6.16,-1.1245,0.225711,5.76508,-3.0479,0.120093,0,6.16,-0.717398,0.385692,5.79904,-2.43204,0.36363,0,6.16,-1.26112,0.639256,5.59832,-3.23649,0.819609,0,6.16,-1.01786,0.424957,5.63059,-2.83991,0.455326,0,6.16,-1.1078,0.121659,5.57311,-2.97387,-0.0462418,0,6.16,-0.692661,0.62784,5.81918,-2.40495,0.728177,0,6.16,-0.377431,0.0908955,5.972,-2.04173,-0.080553,0,6.16,-0.967376,0.196933,5.66667,-2.76918,0.0781787,0,6.16,-0.853792,0.319133,5.60477,-2.5583,0.283722,0,6.16,-1.25947,0.162912,5.55987,-3.22815,0.0235161,0,6.16,-0.781777,0.703439,5.77417,-2.51887,0.860092,0,6.16,-1.26022,0.365594,5.48451,-3.21852,0.378737,0,6.16,-1.40337,0.464773,5.55529,-3.47232,0.537161,0,6.16,-1.01508,0.298125,5.67437,-2.8491,0.241789,0,6.16,-0.602028,0.311332,5.78736,-2.24819,0.250924,0,6.16,-1.15731,0.345666,5.53196,-3.04862,0.337581,0,6.16,-1.09197,0.645208,5.62335,-2.96026,0.821059,0,6.16,-0.577863,0.0857139,5.82985,-2.23718,-0.094676,0,6.16,-1.35136,0.216156,5.51469,-3.38052,0.115861,0,6.16,-0.722179,0.229305,5.71244,-2.39457,0.128401,0,6.16,-1.47224,0.155837,5.39767,-3.58984,0.011615,0,6.16,-0.867061,0.448605,5.73274,-2.63378,0.473547,0,6.16,-1.36376,0.342799,5.44359,-3.39678,0.344162,0,6.16,-1.39398,0.0537657,5.4032,-3.44844,-0.172814,0,6.16,-0.762804,0.51622,5.78255,-2.49356,0.56782,0,
0.0333341,7.6051,-1.44308,0.155361,8.01626,-3.56967,0.0100717,6.16,-1.24549,0.0274505,5.83935,-3.26071,-0.181492,0,6.16,-1.00276,0.562649,6.02526,-2.95233,0.571289,0,6.16,-0.877307,0.562528,5.98656,-2.76647,0.583753,0,6.16,-0.973727,0.685439,5.84634,-2.85419,0.807516,0,6.16,-1.12725,0.456737,5.71262,-3.05277,0.491152,0,6.16,-1.44589,0.278899,5.58871,-3.55876,0.217396,0,6.16,-1.2402,0.515849,5.60972,-3.21804,0.610896,0,6.16,-1.1245,0.225711,5.93404,-3.10081,0.113379,0,6.16,-0.717398,0.385692,5.9146,-2.50421,0.347809,0,6.16,-1.26112,0.639256,5.76864,-3.27457,0.762572,0,6.16,-1.01786,0.424957,5.7757,-2.89757,0.424613,0,6.16,-1.1078,0.121659,5.68768,-3.01202,-0.0421085,0,6.16,-0.692661,0.62784,5.94584,-2.48678,0.688664,0,6.16,-0.377431,0.0908955,6.06392,-2.12406,-0.0721347,0,6.16,-0.967376,0.196933,5.76647,-2.8126,0.0759595,0,6.16,-0.853792,0.319133,5.74912,-2.63397,0.270142,0,6.16,-1.25947,0.162912,5.7013,-3.25937,0.0224845,0,6.16,-0.781777,0.703439,5.89084,-2.5882,0.817581,0,6.16,-1.26022,0.365594,5.66269,-3.25844,0.353566,0,6.16,-1.40337,0.464773,5.72649,-3.49308,0.49934,0,6.16,-1.01508,0.298125,5.83976,-2.9158,0.227599,0,6.16,-0.602028,0.311332,5.90514,-2.33337,0.240941,0,6.16,-1.15731,0.345666,5.68816,-3.09528,0.317927,0,6.16,-1.09197,0.645208,5.77097,-3.01255,0.771942,0,6.16,-0.577863,0.0857139,5.93963,-2.31802,-0.0870114,0,6.16,-1.35136,0.216156,5.65344,-3.40241,0.109616,0,6.16,-0.722179,0.229305,5.86541,-2.48869,0.123215,0,6.16,-1.47224,0.155837,5.54337,-3.6017,0.0112464,0,6.16,-0.867061,0.448605,5.87904,-2.70797,0.446175,0,6.16,-1.36376,0.342799,5.59497,-3.42028,0.323732,0,6.16,-1.39398,0.0537657,5.57993,-3.47177,-0.158622,0,6.16,-0.762804,0.51622,5.88923,-2.55722,0.543617,0,
0.0666681,7.6051,-1.44308,0.155361,8.01938,-3.55813,0.0103259,6.16,-1.24549,0.0274505,5.99135,-3.29283,-0.170429,0,6.16,-1.00276,0.562649,6.13407,-2.99535,0.536971,0,6.16,-0.877307,0.562528,6.09999,-2.82198,0.550035,0,6.16,-0.973727,0.685439,5.97908,-2.91038,0.758145,0,6.16,-1.12725,0.456737,5.88162,-3.10421,0.453221,0,6.16,-1.44589,0.278899,5.74073,-3.57072,0.201491,0,6.16,-1.2402,0.515849,5.77345,-3.25486,0.567191,0,6.16,-1.1245,0.225711,6.04292,-3.13331,0.107081,0,6.16,-0.717398,0.385692,6.02939,-2.57468,0.328692,0,6.16,-1.26112,0.639256,5.93261,-3.30885,0.705418,0,6.16,-1.01786,0.424957,5.90366,-2.94705,0.399934,0,6.16,-1.1078,0.121659,5.80226,-3.05001,-0.0409534,0,6.16,-0.692661,0.62784,6.07255,-2.56681,0.644312,0,6.16,-0.377431,0.0908955,6.14573,-2.19632,-0.070025,0,6.16,-0.967376,0.196933,5.89765,-2.86948,0.0693569,0,6.16,-0.853792,0.319133,5.89074,-2.70562,0.252452,0,6.16,-1.25947,0.162912,5.83894,-3.28882,0.0199429,0,6.16,-0.781777,0.703439,6.0118,-2.65708,0.771316,0,6.16,-1.26022,0.365594,5.8203,-3.29108,0.329027,0,6.16,-1.40337,0.464773,5.86459,-3.50809,0.46891,0,6.16,-1.01508,0.298125,5.97861,-2.96858,0.212074,0,6.16,-0.602028,0.311332,6.02359,-2.41624,0.226604,0,6.16,-1.15731,0.345666,5.8308,-3.1358,0.296805,0,6.16,-1.09197,0.645208,5.90211,-3.0566,0.724588,0,6.16,-0.577863,0.0857139,6.05236,-2.39917,-0.082092,0,6.16,-1.35136,0.216156,5.78835,-3.42283,0.101995,0,6.16,-0.722179,0.229305,6.02967,-2.58652,0.112554,0,6.16,-1.47224,0.155837,5.68612,-3.61127,0.00853675,0,6.16,-0.867061,0.448605,6.0091,-2.7722,0.418839,0,6.16,-1.36376,0.342799,5.75294,-3.44242,0.300914,0,6.16,-1.39398,0.0537657,5.74442,-3.49059,-0.149049,0,6.16,-0.762804,0.51622,5.96788,-2.60335,0.519275,0,
0.100002,7.60614,-1.41732,0.155863,8.02628,-3.53267,0.010887,6.16,-1.24549,0.0274505,6.08057,-3.30278,-0.163425,0,6.16,-1.00276,0.562649,6.21477,-3.01816,0.516165,0,6.16,-0.877307,0.562528,6.17651,-2.85007,0.529978,0,6.16,-0.973727,0.685439,6.08216,-2.94436,0.7209,0,6.16,-1.12725,0.456737,5.98795,-3.12695,0.431887,0,6.16,-1.44589,0.278899,5.80214,-3.56729,0.196134,0,6.16,-1.2402,0.515849,5.90061,-3.27444,0.535539,0,6.16,-1.1245,0.225711,6.1513,-3.15737,0.1012,0,6.16,-0.717398,0.385692,6.11049,-2.61506,0.316377,0,6.16,-1.26112,0.639256,6.0314,-3.32017,0.671971,0,6.16,-1.01786,0.424957,6.00352,-2.9768,0.382094,0,6.16,-1.1078,0.121659,5.87861,-3.06665,-0.0399693,0,6.16,-0.692661,0.62784,6.1508,-2.60604,0.621701,0,6.16,-0.377431,0.0908955,6.1743,-2.21196,-0.0650125,0,6.16,-0.967376,0.196933,6.02217,-2.91272,0.0689719,0,6.16,-0.853792,0.319133,5.99303,-2.74797,0.242288,0,6.16,-1.25947,0.162912,5.93572,-3.30081,0.0202505,0,6.16,-0.781777,0.703439,6.11459,-2.70564,0.733392,0,6.16,-1.26022,0.365594,5.92355,-3.30365,0.311843,0,6.16,-1.40337,0.464773,5.96992,-3.51133,0.445592,0,6.16,-1.01508,0.298125,6.07666,-2.99678,0.202943,0,6.16,-0.602028,0.311332,6.09859,-2.45913,0.221528,0,6.16,-1.15731,0.345666,5.92955,-3.15509,0.283118,0,6.16,-1.09197,0.645208,6.00765,-3.08302,0.688081,0,6.16,-0.577863,0.0857139,6.12274,-2.44042,-0.0761337,0,6.16,-1.35136,0.216156,5.88382,-3.42881,0.0973212,0,6.16,-0.722179,0.229305,6.11256,-2.62567,0.110645,0,6.16,-1.47224,0.155837,5.77466,-3.60922,0.00703267,0,6.16,-0.867061,0.448605,6.09962,-2.80751,0.402623,0,6.16,-1.36376,0.342799,5.86295,-3.44899,0.285302,0,6.16,-1.39398,0.0537657,5.82438,-3.49133,-0.143241,0,6.16,-0.762804,0.51622,6.07069,-2.65535,0.496038,0,
0.133336,7.60624,-1.40765,0.155876,8.0302,-3.51795,0.0112131,6.16,-1.24549,0.0274505,6.82551,-3.3918,-0.0952371,0,6.16,-1.00276,0.562649,6.82063,-3.18823,0.349384,0,6.16,-0.877307,0.562528,6.88741,-3.11227,0.333582,0,6.16,-0.973727,0.685439,6.9061,-3.19395,0.424984,0,6.16,-1.12725,0.456737,6.81733,-3.2909,0.263554,0,6.16,-1.44589,0.278899,6.7103,-3.55387,0.122505,0,6.16,-1.2402,0.515849,6.82561,-3.3867,0.309412,0,6.16,-1.1245,0.225711,6.79703,-3.28516,0.0734869,0,6.16,-0.717398,0.385692,6.91332,-2.99889,0.192366,0,6.16,-1.26112,0.639256,6.84927,-3.40785,0.403427,0,6.16,-1.01786,0.424957,6.84786,-3.20913,0.230228,0,6.16,-1.1078,0.121659,6.75006,-3.25572,-0.0150391,0,6.16,-0.692661,0.62784,6.94707,-2.99899,0.365868,0,6.16,-0.377431,0.0908955,6.9468,-2.76351,-0.028497,0,6.16,-0.967376,0.196933,6.89089,-3.18127,0.0467969,0,6.16,-0.853792,0.319133,6.88749,-3.09304,0.142693,0,6.16,-1.25947,0.162912,6.78061,-3.39461,0.0191366,0,6.16,-0.781777,0.703439,6.95071,-3.06702,0.420396,0,6.16,-1.26022,0.365594,6.80408,-3.4002,0.188411,0,6.16,-1.40337,0.464773,6.77131,-3.5188,0.276415,0,6.16,-1.01508,0.298125,6.82028,-3.19992,0.132113,0,6.16,-0.602028,0.311332,6.93181,-2.9222,0.133609,0,6.16,-1.15731,0.345666,6.80402,-3.31294,0.172692,0,6.16,-1.09197,0.645208,6.85147,-3.27108,0.408142,0,6.16,-0.577863,0.0857139,6.9034,-2.8861,-0.0355569,0,6.16,-1.35136,0.216156,6.7771,-3.47277,0.0630199,0,6.16,-0.722179,0.229305,6.92429,-3.00963,0.0714998,0,6.16,-1.47224,0.155837,6.73522,-3.57671,0.0108908,0,6.16,-0.867061,0.448605,6.91941,-3.11724,0.238391,0,6.16,-1.36376,0.342799,6.78643,-3.48478,0.171213,0,6.16,-1.39398,0.0537657,6.75333,-3.50955,-0.0766941,0,6.16,-0.762804,0.51622,6.95682,-3.05486,0.279888,0,
0.16667,7.60733,-1.38162,0.156369,8.02889,-3.52286,0.0111045,6.16,-1.24549,0.0274505,6.80381,-3.40334,-0.0956554,0,6.16,-1.00276,0.562649,6.81531,-3.1994,0.346575,0,6.16,-0.877307,0.562528,6.88076,-3.1222,0.332245,0,6.16,-0.973727,0.685439,6.9008,-3.20548,0.423479,0,6.16,-1.12725,0.456737,6.80807,-3.30086,0.262333,0,6.16,-1.44589,0.278899,6.64082,-3.56802,0.127741,0,6.16,-1.2402,0.515849,6.80478,-3.39531,0.313094,0,6.16,-1.1245,0.225711,6.78833,-3.2942,0.0708649,0,6.16,-0.717398,0.385692,6.90039,-3.00589,0.191124,0,6.16,-1.26112,0.639256,6.82839,-3.41771,0.410224,0,6.16,-1.01786,0.424957,6.84237,-3.2209,0.226884,0,6.16,-1.1078,0.121659,6.74087,-3.2709,-0.0185532,0,6.16,-0.692661,0.62784,6.93428,-3.00515,0.366457,0,6.16,-0.377431,0.0908955,6.93228,-2.77044,-0.0332411,0,6.16,-0.967376,0.196933,6.88603,-3.19266,0.0448704,0,6.16,-0.853792,0.319133,6.87816,-3.10193,0.140994,0,6.16,-1.25947,0.162912,6.75585,-3.40541,0.0176411,0,6.16,-0.781777,0.703439,6.93896,-3.07446,0.421099,0,6.16,-1.26022,0.365594,6.77981,-3.40912,0.190203,0,6.16,-1.40337,0.464773,6.72153,-3.52966,0.284957,0,6.16,-1.01508,0.298125,6.81513,-3.21175,0.130217,0,6.16,-0.602028,0.311332,6.91782,-2.92823,0.131496,0,6.16,-1.15731,0.345666,6.79196,-3.32381,0.17181,0,6.16,-1.09197,0.645208,6.84452,-3.28269,0.408381,0,6.16,-0.577863,0.0857139,6.8897,-2.89233,-0.0390725,0,6.16,-1.35136,0.216156,6.73399,-3.48471,0.0645507,0,6.16,-0.722179,0.229305,6.91255,-3.01485,0.0697102,0,6.16,-1.47224,0.155837,6.65302,-3.59243,0.0101643,0,6.16,-0.867061,0.448605,6.9121,-3.12558,0.236158,0,6.16,-1.36376,0.342799,6.74022,-3.49543,0.175498,0,6.16,-1.39398,0.0537657,6.69709,-3.52052,-0.0822322,0,6.16,-0.762804,0.51622,6.9445,-3.06243,0.279087,0,
0.200004,7.60741,-1.37171,0.156364,8.03586,-3.49737,0.0116645,6.16,-1.24549,0.0274505,6.8245,-3.38976,-0.0951968,0,6.16,-1.00276,0.562649,6.81872,-3.18698,0.348889,0,6.16,-0.877307,0.562528,6.88721,-3.10908,0.332703,0,6.16,-0.973727,0.685439,6.90507,-3.18995,0.424691,0,6.16,-1.12725,0.456737,6.81619,-3.28712,0.26227,0,6.16,-1.44589,0.278899,6.7095,-3.55019,0.122031,0,6.16,-1.2402,0.515849,6.82564,-3.38253,0.308858,0,6.16,-1.1245,0.225711,6.79545,-3.28241,0.0715445,0,6.16,-0.717398,0.385692,6.91597,-2.99616,0.190489,0,6.16,-1.26112,0.639256,6.84918,-3.40431,0.404205,0,6.16,-1.01786,0.424957,6.84613,-3.20548,0.226863,0,6.16,-1.1078,0.121659,6.74766,-3.25843,-0.0179496,0,6.16,-0.692661,0.62784,6.94983,-2.99568,0.363892,0,6.16,-0.377431,0.0908955,6.95933,-2.76885,-0.0316994,0,6.16,-0.967376,0.196933,6.89002,-3.17708,0.0449523,0,6.16,-0.853792,0.319133,6.88711,-3.08973,0.141605,0,6.16,-1.25947,0.162912,6.77971,-3.39529,0.0157373,0,6.16,-0.781777,0.703439,6.9513,-3.06245,0.418291,0,6.16,-1.26022,0.365594,6.8039,-3.39593,0.187695,0,6.16,-1.40337,0.464773,6.76988,-3.51283,0.273752,0,6.16,-1.01508,0.298125,6.81921,-3.19523,0.130118,0,6.16,-0.602028,0.311332,6.93635,-2.9214,0.13067,0,6.16,-1.15731,0.345666,6.80286,-3.31037,0.170799,0,6.16,-1.09197,0.645208,6.85004,-3.26858,0.407762,0,6.16,-0.577863,0.0857139,6.90865,-2.88745,-0.0396734,0,6.16,-1.35136,0.216156,6.77703,-3.47194,0.0628017,0,6.16,-0.722179,0.229305,6.9271,-3.00508,0.0701454,0,6.16,-1.47224,0.155837,6.73481,-3.57462,0.00962451,0,6.16,-0.867061,0.448605,6.91934,-3.11257,0.236621,0,6.16,-1.36376,0.342799,6.78648,-3.48199,0.170447,0,6.16,-1.39398,0.0537657,6.75324,-3.50561,-0.0773316,0,6.16,-0.762804,0.51622,6.95781,-3.05156,0.277108,0,
0.233338,7.60741,-1.37171,0.156364,8.03847,-3.4875,0.0118835,6.16,-1.24549,0.0274505,6.827,-3.38926,-0.0939396,0,6.16,-1.00276,0.562649,6.82068,-3.18686,0.349338,0,6.16,-0.877307,0.562528,6.88841,-3.10859,0.333805,0,6.16,-0.973727,0.685439,6.90804,-3.18632,0.42623,0,6.16,-1.12725,0.456737,6.81887,-3.28716,0.263101,0,6.16,-1.44589,0.278899,6.70866,-3.54717,0.124191,0,6.16,-1.2402,0.515849,6.82878,-3.38124,0.309526,0,6.16,-1.1245,0.225711,6.79834,-3.28096,0.0735996,0,6.16,-0.717398,0.385692,6.91675,-2.99268,0.19351,0,6.16,-1.26112,0.639256,6.8523,-3.40643,0.405855,0,6.16,-1.01786,0.424957,6.84782,-3.20767,0.229259,0,6.16,-1.1078,0.121659,6.74995,-3.25873,-0.0176726,0,6.16,-0.692661,0.62784,6.94944,-2.99421,0.365068,0,6.16,-0.377431,0.0908955,6.95269,-2.76354,-0.0317747,0,6.16,-0.967376,0.196933,6.89173,-3.17594,0.0453758,0,6.16,-0.853792,0.319133,6.88715,-3.09106,0.142147,0,6.16,-1.25947,0.162912,6.78248,-3.39419,0.0166489,0,6.16,-0.781777,0.703439,6.95186,-3.06098,0.419566,0,6.16,-1.26022,0.365594,6.8068,-3.39579,0.188177,0,6.16,-1.40337,0.464773,6.77153,-3.51198,0.273894,0,6.16,-1.01508,0.298125,6.82126,-3.19521,0.132664,0,6.16,-0.602028,0.311332,6.93471,-2.91959,0.133107,0,6.16,-1.15731,0.345666,6.80568,-3.31033,0.172251,0,6.16,-1.09197,0.645208,6.853,-3.2674,0.409089,0,6.16,-0.577863,0.0857139,6.90729,-2.88556,-0.0392973,0,6.16,-1.35136,0.216156,6.7786,-3.46931,0.0631356,0,6.16,-0.722179,0.229305,6.92769,-3.00213,0.0728122,0,6.16,-1.47224,0.155837,6.73207,-3.57356,0.0114307,0,6.16,-0.867061,0.448605,6.92106,-3.11094,0.239269,0,6.16,-1.36376,0.342799,6.78804,-3.48388,0.171631,0,6.16,-1.39398,0.0537657,6.75391,-3.50435,-0.0763843,0,6.16,-0.762804,0.51622,6.95833,-3.04977,0.278866,0,
0.266672,7.60806,-1.34579,0.156883,8.04498,-3.4619,0.0124587,6.16,-1.24549,0.0274505,6.82974,-3.38156,-0.0954393,0,6.16,-1.00276,0.562649,6.82187,-3.1763,0.348718,0,6.16,-0.877307,0.562528,6.88957,-3.09708,0.333159,0,6.16,-0.973727,0.685439,6.90975,-3.17301,0.425518,0,6.16,-1.12725,0.456737,6.82037,-3.27845,0.262407,0,6.16,-1.44589,0.278899,6.71719,-3.53664,0.122161,0,6.16,-1.2402,0.515849,6.83127,-3.37077,0.308182,0,6.16,-1.1245,0.225711,6.80028,-3.27034,0.0720725,0,6.16,-0.717398,0.385692,6.91726,-2.98122,0.192288,0,6.16,-1.26112,0.639256,6.85512,-3.39255,0.404872,0,6.16,-1.01786,0.424957,6.84988,-3.19454,0.229083,0,6.16,-1.1078,0.121659,6.75185,-3.24777,-0.0176431,0,6.16,-0.692661,0.62784,6.95049,-2.98298,0.364853,0,6.16,-0.377431,0.0908955,6.95412,-2.75509,-0.0318404,0,6.16,-0.967376,0.196933,6.89343,-3.16422,0.0439512,0,6.16,-0.853792,0.319133,6.8886,-3.08009,0.141633,0,6.16,-1.25947,0.162912,6.78525,-3.38333,0.0146514,0,6.16,-0.781777,0.703439,6.95319,-3.04856,0.419097,0,6.16,-1.26022,0.365594,6.8096,-3.38537,0.186703,0,6.16,-1.40337,0.464773,6.77709,-3.50204,0.27233,0,6.16,-1.01508,0.298125,6.82288,-3.18397,0.131677,0,6.16,-0.602028,0.311332,6.93549,-2.90961,0.132127,0,6.16,-1.15731,0.345666,6.80787,-3.29845,0.17132,0,6.16,-1.09197,0.645208,6.85445,-3.2562,0.407664,0,6.16,-0.577863,0.0857139,6.90741,-2.87638,-0.0402007,0,6.16,-1.35136,0.216156,6.78318,-3.46121,0.0626747,0,6.16,-0.722179,0.229305,6.92805,-2.99156,0.0699049,0,6.16,-1.47224,0.155837,6.74235,-3.56326,0.0111824,0,6.16,-0.867061,0.448605,6.92225,-3.09899,0.238139,0,6.16,-1.36376,0.342799,6.79313,-3.47326,0.169716,0,6.16,-1.39398,0.0537657,6.76043,-3.49635,-0.0768981,0,6.16,-0.762804,0.51622,6.95961,-3.0368,0.277199,0,
0.300007,7.60805,-1.33617,0.156858,8.04733,-3.45244,0.0126726,6.16,-1.24549,0.0274505,6.82802,-3.38461,-0.0965531,0,6.16,-1.00276,0.562649,6.82001,-3.17948,0.347002,0,6.16,-0.877307,0.562528,6.88864,-3.09983,0.332301,0,6.16,-0.973727,0.685439,6.90832,-3.17558,0.424492,0,6.16,-1.12725,0.456737,6.81801,-3.28248,0.260694,0,6.16,-1.44589,0.278899,6.71466,-3.53983,0.12084,0,6.16,-1.2402,0.515849,6.82915,-3.37352,0.30755,0,6.16,-1.1245,0.225711,6.79838,-3.27337,0.0706945,0,6.16,-0.717398,0.385692,6.91802,-2.98224,0.190699,0,6.16,-1.26112,0.639256,6.85225,-3.3981,0.403615,0,6.16,-1.01786,0.424957,6.84801,-3.19797,0.226633,0,6.16,-1.1078,0.121659,6.75,-3.25139,-0.0192235,0,6.16,-0.692661,0.62784,6.95139,-2.98544,0.365872,0,6.16,-0.377431,0.0908955,6.9568,-2.75993,-0.0331592,0,6.16,-0.967376,0.196933,6.89236,-3.16662,0.0430576,0,6.16,-0.853792,0.319133,6.88753,-3.08369,0.139815,0,6.16,-1.25947,0.162912,6.78319,-3.38646,0.0132501,0,6.16,-0.781777,0.703439,6.95236,-3.05152,0.417893,0,6.16,-1.26022,0.365594,6.80734,-3.38763,0.184659,0,6.16,-1.40337,0.464773,6.77486,-3.50526,0.27116,0,6.16,-1.01508,0.298125,6.8214,-3.18655,0.129878,0,6.16,-0.602028,0.311332,6.93631,-2.91357,0.131462,0,6.16,-1.15731,0.345666,6.80546,-3.30254,0.168016,0,6.16,-1.09197,0.645208,6.8524,-3.2588,0.406261,0,6.16,-0.577863,0.0857139,6.9098,-2.87927,-0.0408837,0,6.16,-1.35136,0.216156,6.78132,-3.46575,0.0605375,0,6.16,-0.722179,0.229305,6.92834,-2.99478,0.0689278,0,6.16,-1.47224,0.155837,6.73985,-3.56609,0.00935549,0,6.16,-0.867061,0.448605,6.92105,-3.10213,0.236017,0,6.16,-1.36376,0.342799,6.7904,-3.47689,0.16808,0,6.16,-1.39398,0.0537657,6.75895,-3.50029,-0.0790928,0,6.16,-0.762804,0.51622,6.95877,-3.04008,0.2759,0,
