time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,
0,5.82054,3.42955,0.211879,5.9181,3.44748,0.310058,5.57244,1.86,0.219078,5.50377,0.826333,0.322079,0,5.56149,1.86,0.427989,5.48922,0.848996,0.667841,0,5.74285,1.86,0.295571,5.78603,0.779547,0.452318,0,6.01301,1.86,0.379023,6.24515,0.780363,0.594083,0,5.62094,1.86,0.55719,5.58342,0.815861,0.889029,0,5.36172,1.86,0.5908,5.1626,0.863082,0.933983,0,5.08001,1.86,0.653156,4.76074,0.994487,0.999713,0,4.93695,1.86,0.5032,4.56322,1.04077,0.756762,0,4.89033,1.86,0.311695,4.50526,1.0636,0.461661,0,5.46274,1.86,0.340376,5.33589,0.893521,0.519147,0,5.87775,1.86,0.577137,6.01439,0.805611,0.924861,0,5.31247,1.86,0.467065,5.09125,0.893194,0.725347,0,6.0272,1.86,0.0972801,6.26407,0.819861,0.118204,0,5.70627,1.86,0.438391,5.72697,0.822315,0.688912,0,5.32618,1.86,0.349033,5.09952,0.848593,0.537158,0,4.73191,1.86,0.453235,4.27715,1.08162,0.673865,0,6.0162,1.86,0.268555,6.24187,0.850144,0.403847,0,5.45222,1.86,0.0333625,5.31885,0.893889,0.0196177,0,5.47318,1.86,0.642098,5.35367,0.897145,1.00911,0,5.07871,1.86,0.513669,4.72357,0.920125,0.796012,0,5.4401,1.86,0.496099,5.28584,0.83905,0.782402,0,5.91975,1.86,0.0985022,6.08321,0.835198,0.121358,0,5.29632,1.86,0.146269,5.06127,0.88209,0.202818,0,5.74613,1.86,0.57513,5.79225,0.793153,0.924365,0,5.00486,1.86,0.36285,4.63255,0.973809,0.547994,0,5.58595,1.86,0.0517904,5.53687,0.896915,0.049908,0,5.86896,1.86,0.318731,6.00157,0.741311,0.494288,0,5.78912,1.86,0.183055,5.8646,0.775541,0.260987,0,5.75575,1.86,0.0455639,5.81201,0.87744,0.037726,0,5.98573,1.86,0.59925,6.19385,0.827373,0.95671,0,
0.033334,5.82054,3.42955,0.211879,5.90618,3.44923,0.310409,5.57244,1.86,0.219078,5.52964,0.932094,0.31491,0,5.56149,1.86,0.427989,5.51645,0.950924,0.647176,0,5.74285,1.86,0.295571,5.80399,0.913069,0.435717,0,6.01301,1.86,0.379023,6.24386,0.862354,0.580416,0,5.62094,1.86,0.55719,5.60588,0.914746,0.860245,0,5.36172,1.86,0.5908,5.17389,0.893495,0.921184,0,5.08001,1.86,0.653156,4.77778,1.02279,0.986109,0,4.93695,1.86,0.5032,4.59448,1.08484,0.742646,0,4.89033,1.86,0.311695,4.5295,1.09457,0.456503,0,5.46274,1.86,0.340376,5.35974,0.965792,0.507803,0,5.87775,1.86,0.577137,6.01893,0.87953,0.902646,0,5.31247,1.86,0.467065,5.12109,0.961617,0.707417,0,6.0272,1.86,0.0972801,6.25969,0.900348,0.115691,0,5.70627,1.86,0.438391,5.74183,0.913982,0.669829,0,5.32618,1.86,0.349033,5.1334,0.932832,0.521299,0,4.73191,1.86,0.453235,4.30144,1.10974,0.6638,0,6.0162,1.86,0.268555,6.23878,0.915336,0.395037,0,5.45222,1.86,0.0333625,5.35138,0.993316,0.0244352,0,5.47318,1.86,0.642098,5.38293,0.987704,0.974693,0,5.07871,1.86,0.513669,4.7568,0.974402,0.779418,0,5.4401,1.86,0.496099,5.31033,0.90816,0.764846,0,5.91975,1.86,0.0985022,6.08511,0.921134,0.125858,0,5.29632,1.86,0.146269,5.09275,0.9532,0.19906,0,5.74613,1.86,0.57513,5.80288,0.859162,0.903999,0,5.00486,1.86,0.36285,4.66411,1.02119,0.537621,0,5.58595,1.86,0.0517904,5.56117,0.999393,0.0539701,0,5.86896,1.86,0.318731,6.01141,0.870151,0.480346,0,5.78912,1.86,0.183055,5.88153,0.922231,0.255956,0,5.75575,1.86,0.0455639,5.82377,0.966381,0.0434866,0,5.98573,1.86,0.59925,6.19342,0.887858,0.939219,0,
0.0666681,5.79363,3.4334,0.212227,5.89119,3.45136,0.310848,5.57244,1.86,0.219078,5.55525,1.04287,0.31188,0,5.56149,1.86,0.427989,5.53874,1.04381,0.632973,0,5.74285,1.86,0.295571,5.81372,0.998823,0.432115,0,6.01301,1.86,0.379023,6.24043,0.948446,0.569333,0,5.62094,1.86,0.55719,5.6242,1.0061,0.836611,0,5.36172,1.86,0.5908,5.21732,0.997625,0.892892,0,5.08001,1.86,0.653156,4.79433,1.04904,0.979025,0,4.93695,1.86,0.5032,4.62979,1.13433,0.731652,0,4.89033,1.86,0.311695,4.57247,1.15178,0.448035,0,5.46274,1.86,0.340376,5.38921,1.05917,0.497263,0,5.87775,1.86,0.577137,6.02318,0.963815,0.880961,0,5.31247,1.86,0.467065,5.15199,1.03499,0.69262,0,6.0272,1.86,0.0972801,6.25522,1.01002,0.124802,0,5.70627,1.86,0.438391,5.75334,0.99212,0.65667,0,5.32618,1.86,0.349033,5.16895,1.01963,0.512578,0,4.73191,1.86,0.453235,4.34888,1.16279,0.651499,0,6.0162,1.86,0.268555,6.23533,1.0096,0.388534,0,5.45222,1.86,0.0333625,5.38099,1.08815,0.0336377,0,5.47318,1.86,0.642098,5.40428,1.05723,0.957383,0,5.07871,1.86,0.513669,4.79204,1.03297,0.766557,0,5.4401,1.86,0.496099,5.33597,0.984592,0.748046,0,5.91975,1.86,0.0985022,6.08644,1.00938,0.13005,0,5.29632,1.86,0.146269,5.14047,1.06502,0.199758,0,5.74613,1.86,0.57513,5.81223,0.92748,0.88613,0,5.00486,1.86,0.36285,4.70151,1.07835,0.529213,0,5.58595,1.86,0.0517904,5.57899,1.08079,0.0606759,0,5.86896,1.86,0.318731,6.01549,0.9877,0.470221,0,5.78912,1.86,0.183055,5.88884,1.01811,0.256386,0,5.75575,1.86,0.0455639,5.83468,1.05913,0.0516402,0,5.98573,1.86,0.59925,6.19214,0.990356,0.910408,0,
0.100002,5.79363,3.4334,0.212227,5.8794,3.4531,0.311195,5.57244,1.86,0.219078,5.57387,1.12195,0.314919,0,5.56149,1.86,0.427989,5.5606,1.13151,0.621144,0,5.74285,1.86,0.295571,5.82682,1.09743,0.426449,0,6.01301,1.86,0.379023,6.23745,1.03801,0.560008,0,5.62094,1.86,0.55719,5.64214,1.08899,0.820856,0,5.36172,1.86,0.5908,5.26032,1.11063,0.865542,0,5.08001,1.86,0.653156,4.82862,1.10186,0.964629,0,4.93695,1.86,0.5032,4.66973,1.19029,0.721672,0,4.89033,1.86,0.311695,4.59949,1.18906,0.450216,0,5.46274,1.86,0.340376,5.41253,1.13314,0.494222,0,5.87775,1.86,0.577137,6.02837,1.05837,0.860189,0,5.31247,1.86,0.467065,5.18184,1.10443,0.68388,0,6.0272,1.86,0.0972801,6.25141,1.05868,0.124617,0,5.70627,1.86,0.438391,5.7725,1.11306,0.638765,0,5.32618,1.86,0.349033,5.20541,1.10856,0.508354,0,4.73191,1.86,0.453235,4.37805,1.19733,0.649428,0,6.0162,1.86,0.268555,6.23234,1.08921,0.386459,0,5.45222,1.86,0.0333625,5.40618,1.1667,0.0435869,0,5.47318,1.86,0.642098,5.42431,1.11891,0.940272,0,5.07871,1.86,0.513669,4.83382,1.10228,0.7521,0,5.4401,1.86,0.496099,5.36081,1.05738,0.733857,0,5.91975,1.86,0.0985022,6.08859,1.12404,0.137556,0,5.29632,1.86,0.146269,5.17436,1.14601,0.204202,0,5.74613,1.86,0.57513,5.82882,1.04703,0.856065,0,5.00486,1.86,0.36285,4.73487,1.1291,0.526081,0,5.58595,1.86,0.0517904,5.5953,1.14909,0.0677853,0,5.86896,1.86,0.318731,6.017,1.03856,0.467306,0,5.78912,1.86,0.183055,5.8961,1.09037,0.260052,0,5.75575,1.86,0.0455639,5.84348,1.13062,0.0593093,0,5.98573,1.86,0.59925,6.19046,1.05673,0.892786,0,
0.133336,5.76729,3.43715,0.21258,5.86447,3.45518,0.311631,5.57244,1.86,0.219078,5.58795,1.18975,0.310554,0,5.56149,1.86,0.427989,5.57338,1.19224,0.611002,0,5.74285,1.86,0.295571,5.83428,1.17664,0.419684,0,6.01301,1.86,0.379023,6.23335,1.09104,0.553894,0,5.62094,1.86,0.55719,5.65461,1.15703,0.804276,0,5.36172,1.86,0.5908,5.34168,1.41203,0.790373,0,5.08001,1.86,0.653156,4.83433,1.11614,0.956894,0,4.93695,1.86,0.5032,4.68582,1.21697,0.71287,0,4.89033,1.86,0.311695,4.63584,1.2402,0.44032,0,5.46274,1.86,0.340376,5.43138,1.19957,0.48461,0,5.87775,1.86,0.577137,6.02895,1.119,0.844387,0,5.31247,1.86,0.467065,5.1999,1.15212,0.671869,0,6.0272,1.86,0.0972801,6.24673,1.15197,0.134936,0,5.70627,1.86,0.438391,5.77575,1.1559,0.632245,0,5.32618,1.86,0.349033,5.22505,1.16443,0.49724,0,4.73191,1.86,0.453235,4.39669,1.22098,0.639669,0,6.0162,1.86,0.268555,6.22809,1.14913,0.382795,0,5.45222,1.86,0.0333625,5.42745,1.24052,0.0488881,0,5.47318,1.86,0.642098,5.43499,1.15825,0.926154,0,5.07871,1.86,0.513669,4.85751,1.14635,0.740208,0,5.4401,1.86,0.496099,5.37788,1.11443,0.72013,0,5.91975,1.86,0.0985022,6.08696,1.2082,0.142557,0,5.29632,1.86,0.146269,5.20402,1.22206,0.203562,0,5.74613,1.86,0.57513,5.83335,1.10471,0.842933,0,5.00486,1.86,0.36285,4.7658,1.18015,0.51506,0,5.58595,1.86,0.0517904,5.61004,1.22059,0.0720051,0,5.86896,1.86,0.318731,6.01867,1.08569,0.462947,0,5.78912,1.86,0.183055,5.90431,1.19735,0.257953,0,5.75575,1.86,0.0455639,5.85041,1.2005,0.0651961,0,5.98573,1.86,0.59925,6.18825,1.08814,0.885049,0,
0.16667,5.75618,3.43873,0.212483,5.85319,3.45684,0.311963,5.57244,1.86,0.219078,5.5961,1.22265,0.311501,0,5.56149,1.86,0.427989,5.5877,1.2488,0.601179,0,5.74285,1.86,0.295571,5.84111,1.23044,0.417036,0,6.01301,1.86,0.379023,6.23282,1.12632,0.55166,0,5.62094,1.86,0.55719,5.66451,1.20388,0.791366,0,5.36172,1.86,0.5908,5.34629,1.41193,0.789845,0,5.08001,1.86,0.653156,4.85101,1.1394,0.950283,0,4.93695,1.86,0.5032,4.71391,1.25454,0.704647,0,4.89033,1.86,0.311695,4.66311,1.27791,0.436317,0,5.46274,1.86,0.340376,5.45067,1.26097,0.478096,0,5.87775,1.86,0.577137,6.03302,1.21178,0.819392,0,5.31247,1.86,0.467065,5.22263,1.20368,0.663481,0,6.0272,1.86,0.0972801,6.24183,1.23329,0.139553,0,5.70627,1.86,0.438391,5.77908,1.17245,0.630937,0,5.32618,1.86,0.349033,5.24767,1.21791,0.492795,0,4.73191,1.86,0.453235,4.42457,1.25115,0.634396,0,6.0162,1.86,0.268555,6.22653,1.20322,0.381012,0,5.45222,1.86,0.0333625,5.43781,1.27338,0.0572463,0,5.47318,1.86,0.642098,5.44811,1.19541,0.915855,0,5.07871,1.86,0.513669,4.88691,1.19476,0.729105,0,5.4401,1.86,0.496099,5.39526,1.16421,0.711944,0,5.91975,1.86,0.0985022,6.08737,1.2501,0.146101,0,5.29632,1.86,0.146269,5.22497,1.27146,0.207382,0,5.74613,1.86,0.57513,5.84265,1.16988,0.829896,0,5.00486,1.86,0.36285,4.7897,1.21667,0.511635,0,5.58595,1.86,0.0517904,5.62303,1.27569,0.0786169,0,5.86896,1.86,0.318731,6.02365,1.16937,0.455864,0,5.78912,1.86,0.183055,5.9087,1.25441,0.258019,0,5.75575,1.86,0.0455639,5.85734,1.25664,0.0700623,0,5.98573,1.86,0.59925,6.18933,1.12182,0.87474,0,
0.200004,5.72903,3.44232,0.212894,5.84291,3.45828,0.312264,5.57244,1.86,0.219078,5.6042,1.24573,0.310547,0,5.56149,1.86,0.427989,5.59505,1.27205,0.59947,0,5.74285,1.86,0.295571,5.84794,1.26975,0.416847,0,6.01301,1.86,0.379023,6.23266,1.18948,0.541253,0,5.62094,1.86,0.55719,5.6749,1.24305,0.782014,0,5.36172,1.86,0.5908,5.34812,1.41532,0.789784,0,5.08001,1.86,0.653156,4.86955,1.16494,0.943734,0,4.93695,1.86,0.5032,4.72835,1.27289,0.699674,0,4.89033,1.86,0.311695,4.68523,1.30516,0.435852,0,5.46274,1.86,0.340376,5.46503,1.30199,0.476038,0,5.87775,1.86,0.577137,6.0352,1.25038,0.810597,0,5.31247,1.86,0.467065,5.23816,1.23642,0.658092,0,6.0272,1.86,0.0972801,6.24076,1.26803,0.144249,0,5.70627,1.86,0.438391,5.7879,1.20573,0.627476,0,5.32618,1.86,0.349033,5.26311,1.25154,0.489847,0,4.73191,1.86,0.453235,4.44654,1.27397,0.630316,0,6.0162,1.86,0.268555,6.22651,1.24478,0.378305,0,5.45222,1.86,0.0333625,5.44766,1.29601,0.0606087,0,5.47318,1.86,0.642098,5.46713,1.24991,0.905993,0,5.07871,1.86,0.513669,4.9032,1.21975,0.72587,0,5.4401,1.86,0.496099,5.40251,1.18159,0.707024,0,5.91975,1.86,0.0985022,6.08999,1.30221,0.146173,0,5.29632,1.86,0.146269,5.23835,1.29863,0.209361,0,5.74613,1.86,0.57513,5.8479,1.2,0.821599,0,5.00486,1.86,0.36285,4.80816,1.24183,0.509183,0,5.58595,1.86,0.0517904,5.63154,1.30551,0.0809545,0,5.86896,1.86,0.318731,6.02464,1.18487,0.454387,0,5.78912,1.86,0.183055,5.91418,1.29343,0.258952,0,5.75575,1.86,0.0455639,5.86595,1.31485,0.0771943,0,5.98573,1.86,0.59925,6.19162,1.15227,0.867638,0,
0.233338,5.72903,3.44232,0.212894,5.81583,3.46184,0.313047,5.57244,1.86,0.219078,5.60736,1.29726,0.309096,0,5.56149,1.86,0.427989,5.5979,1.32092,0.591436,0,5.74285,1.86,0.295571,5.84397,1.31493,0.414093,0,6.01301,1.86,0.379023,6.22003,1.2497,0.535738,0,5.62094,1.86,0.55719,5.67376,1.2837,0.773317,0,5.36172,1.86,0.5908,5.35214,1.45321,0.779416,0,5.08001,1.86,0.653156,4.88942,1.21282,0.925022,0,4.93695,1.86,0.5032,4.74097,1.30245,0.692487,0,4.89033,1.86,0.311695,4.69502,1.33122,0.431033,0,5.46274,1.86,0.340376,5.4707,1.35387,0.469333,0,5.87775,1.86,0.577137,6.0066,1.52476,0.74964,0,5.31247,1.86,0.467065,5.24991,1.28743,0.648521,0,6.0272,1.86,0.0972801,6.22849,1.32751,0.147327,0,5.70627,1.86,0.438391,5.78326,1.23579,0.620925,0,5.32618,1.86,0.349033,5.27322,1.30121,0.482163,0,4.73191,1.86,0.453235,4.52736,1.40863,0.608069,0,6.0162,1.86,0.268555,6.21529,1.29112,0.377896,0,5.45222,1.86,0.0333625,5.45648,1.35338,0.0650867,0,5.47318,1.86,0.642098,5.47169,1.29768,0.891452,0,5.07871,1.86,0.513669,4.98267,1.42002,0.686391,0,5.4401,1.86,0.496099,5.40732,1.22076,0.700156,0,5.91975,1.86,0.0985022,6.08076,1.34924,0.15238,0,5.29632,1.86,0.146269,5.25102,1.35166,0.208861,0,5.74613,1.86,0.57513,5.84232,1.44284,0.763388,0,5.00486,1.86,0.36285,4.82079,1.27536,0.502822,0,5.58595,1.86,0.0517904,5.63543,1.36538,0.0866412,0,5.86896,1.86,0.318731,6.01869,1.2259,0.452821,0,5.78912,1.86,0.183055,5.90959,1.34909,0.260289,0,5.75575,1.86,0.0455639,5.86246,1.37859,0.0841666,0,5.98573,1.86,0.59925,6.18171,1.21525,0.852188,0,
0.266672,5.70297,3.44567,0.21327,5.80074,3.46373,0.313481,5.57244,1.86,0.219078,5.61758,1.35198,0.309816,0,5.56149,1.86,0.427989,5.60951,1.38048,0.58359,0,5.74285,1.86,0.295571,5.84938,1.38614,0.407351,0,6.01301,1.86,0.379023,6.17043,1.53976,0.506894,0,5.62094,1.86,0.55719,5.68421,1.34615,0.761114,0,5.36172,1.86,0.5908,5.37071,1.51173,0.765837,0,5.08001,1.86,0.653156,4.96239,1.3811,0.878997,0,4.93695,1.86,0.5032,4.76904,1.34564,0.684069,0,4.89033,1.86,0.311695,4.83086,1.57788,0.418212,0,5.46274,1.86,0.340376,5.48426,1.40713,0.467063,0,5.87775,1.86,0.577137,6.00704,1.5466,0.744299,0,5.31247,1.86,0.467065,5.27103,1.34586,0.639216,0,6.0272,1.86,0.0972801,6.22296,1.37932,0.150542,0,5.70627,1.86,0.438391,5.78976,1.28788,0.613444,0,5.32618,1.86,0.349033,5.29146,1.35347,0.4771,0,4.73191,1.86,0.453235,4.56236,1.45858,0.601729,0,6.0162,1.86,0.268555,6.16802,1.56854,0.368984,0,5.45222,1.86,0.0333625,5.46878,1.40169,0.0711875,0,5.47318,1.86,0.642098,5.48801,1.36103,0.876641,0,5.07871,1.86,0.513669,5.01314,1.48265,0.675455,0,5.4401,1.86,0.496099,5.42345,1.27625,0.690258,0,5.91975,1.86,0.0985022,6.07874,1.4133,0.155951,0,5.29632,1.86,0.146269,5.32341,1.61096,0.222286,0,5.74613,1.86,0.57513,5.84624,1.49477,0.7514,0,5.00486,1.86,0.36285,4.84489,1.31589,0.499895,0,5.58595,1.86,0.0517904,5.64507,1.42282,0.0920397,0,5.86896,1.86,0.318731,6.01949,1.31414,0.446837,0,5.78912,1.86,0.183055,5.91191,1.40661,0.263355,0,5.75575,1.86,0.0455639,5.86522,1.42964,0.0897208,0,5.98573,1.86,0.59925,6.14017,1.49518,0.785416,0,
0.300007,5.69266,3.44694,0.213148,5.7898,3.46512,0.313796,5.57244,1.86,0.219078,5.62685,1.39544,0.307497,0,5.56149,1.86,0.427989,5.62113,1.43488,0.574402,0,5.74285,1.86,0.295571,5.85271,1.42048,0.407395,0,6.01301,1.86,0.379023,6.17986,1.51466,0.507905,0,5.62094,1.86,0.55719,5.69124,1.38604,0.749163,0,5.36172,1.86,0.5908,5.38236,1.54176,0.756603,0,5.08001,1.86,0.653156,4.97154,1.38584,0.875673,0,4.93695,1.86,0.5032,4.7867,1.37237,0.678774,0,4.89033,1.86,0.311695,4.83431,1.57981,0.414668,0,5.46274,1.86,0.340376,5.49933,1.46222,0.458277,0,5.87775,1.86,0.577137,6.01064,1.55711,0.740848,0,5.31247,1.86,0.467065,5.28313,1.37763,0.631897,0,6.0272,1.86,0.0972801,6.21974,1.4267,0.154245,0,5.70627,1.86,0.438391,5.79789,1.35029,0.60285,0,5.32618,1.86,0.349033,5.30939,1.40068,0.472796,0,4.73191,1.86,0.453235,4.57728,1.47134,0.595657,0,6.0162,1.86,0.268555,6.17642,1.54403,0.370433,0,5.45222,1.86,0.0333625,5.48424,1.45406,0.0766693,0,5.47318,1.86,0.642098,5.49489,1.38584,0.867461,0,5.07871,1.86,0.513669,5.0209,1.49032,0.671145,0,5.4401,1.86,0.496099,5.43303,1.30763,0.682338,0,5.91975,1.86,0.0985022,6.0784,1.44574,0.1588,0,5.29632,1.86,0.146269,5.32701,1.61335,0.221647,0,5.74613,1.86,0.57513,5.8505,1.5262,0.744264,0,5.00486,1.86,0.36285,4.86891,1.35528,0.493115,0,5.58595,1.86,0.0517904,5.65382,1.46575,0.0958972,0,5.86896,1.86,0.318731,6.01961,1.38952,0.440866,0,5.78912,1.86,0.183055,5.91458,1.44276,0.262372,0,5.75575,1.86,0.0455639,5.86881,1.46439,0.092066,0,5.98573,1.86,0.59925,6.14653,1.4752,0.789219,0,
