time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,
0,-4.17481,-3.60554,0.294845,-3.438,-3.9838,0.296231,-3.72184,-1.86,0.851991,-2.53852,-0.517635,1.40257,0,-4.28365,-1.86,0.817542,-3.65838,-0.449165,1.35466,0,-4.45619,-1.86,0.744908,-4.0013,-0.489316,1.19723,0,-4.72593,-1.86,0.516967,-4.51137,-0.584133,0.728841,0,-3.70549,-1.86,0.383171,-2.44777,-0.300836,0.482591,0,-3.58811,-1.86,0.82235,-2.28308,-0.547702,1.33462,0,-4.58478,-1.86,0.546509,-4.2705,-0.439198,0.807274,0,-3.97548,-1.86,0.677197,-3.02212,-0.341935,1.09396,0,-4.28735,-1.86,0.630309,-3.67364,-0.328786,0.998663,0,-4.00123,-1.86,0.178547,-3.08376,-0.421623,0.0588972,0,-3.59006,-1.86,0.190575,-2.24071,-0.409771,0.0827363,0,-4.65691,-1.86,0.367424,-4.42126,-0.423643,0.444261,0,-4.50808,-1.86,0.351914,-4.13267,-0.345364,0.415186,0,-3.86186,-1.86,0.574644,-2.7866,-0.350463,0.878631,0,-4.26336,-1.86,0.495228,-3.62402,-0.316645,0.717208,0,-4.14578,-1.86,0.877788,-3.38,-0.49681,1.46075,0,
0.0333341,-4.14864,-3.60403,0.294788,-3.42295,-3.98229,0.295904,-3.72184,-1.86,0.851991,-2.56396,-0.589878,1.37885,0,-4.28365,-1.86,0.817542,-3.66152,-0.602546,1.31163,0,-4.45619,-1.86,0.744908,-3.9911,-0.605754,1.17307,0,-4.72593,-1.86,0.516967,-4.4862,-0.683766,0.722985,0,-3.70549,-1.86,0.383171,-2.4882,-0.404786,0.479112,0,-3.58811,-1.86,0.82235,-2.32717,-0.651661,1.3115,0,-4.58478,-1.86,0.546509,-4.253,-0.56472,0.790757,0,-3.97548,-1.86,0.677197,-3.04736,-0.459526,1.06824,0,-4.28735,-1.86,0.630309,-3.67875,-0.468819,0.969083,0,-4.00123,-1.86,0.178547,-3.10358,-0.531738,0.0593808,0,-3.59006,-1.86,0.190575,-2.28286,-0.502253,0.0884488,0,-4.65691,-1.86,0.367424,-4.3911,-0.57865,0.441432,0,-4.50808,-1.86,0.351914,-4.11668,-0.522496,0.409819,0,-3.86186,-1.86,0.574644,-2.81897,-0.46612,0.86053,0,-4.26336,-1.86,0.495228,-3.62915,-0.453245,0.704481,0,-4.14578,-1.86,0.877788,-3.38958,-0.588224,1.43189,0,
0.0666681,-4.14864,-3.60403,0.294788,-3.41095,-3.98108,0.295643,-3.72184,-1.86,0.851991,-2.59897,-0.674179,1.3532,0,-4.28365,-1.86,0.817542,-3.66646,-0.717385,1.27673,0,-4.45619,-1.86,0.744908,-3.98511,-0.740507,1.13765,0,-4.72593,-1.86,0.516967,-4.4609,-0.817092,0.702211,0,-3.70549,-1.86,0.383171,-2.52983,-0.508685,0.475418,0,-3.58811,-1.86,0.82235,-2.38544,-0.777856,1.27883,0,-4.58478,-1.86,0.546509,-4.23828,-0.685822,0.775707,0,-3.97548,-1.86,0.677197,-3.0747,-0.577978,1.04417,0,-4.28735,-1.86,0.630309,-3.6837,-0.588136,0.947754,0,-4.00123,-1.86,0.178547,-3.12713,-0.640413,0.065328,0,-3.59006,-1.86,0.190575,-2.32348,-0.586986,0.096036,0,-4.65691,-1.86,0.367424,-4.36948,-0.706239,0.434242,0,-4.50808,-1.86,0.351914,-4.0986,-0.704529,0.405864,0,-3.86186,-1.86,0.574644,-2.8506,-0.57255,0.846408,0,-4.26336,-1.86,0.495228,-3.63384,-0.534127,0.6928,0,-4.14578,-1.86,0.877788,-3.40075,-0.662417,1.4084,0,
0.100002,-4.12358,-3.60245,0.294738,-3.39592,-3.97954,0.295317,-3.72184,-1.86,0.851991,-2.62142,-0.735024,1.33299,0,-4.28365,-1.86,0.817542,-3.66871,-0.814615,1.24398,0,-4.45619,-1.86,0.744908,-3.9776,-0.824169,1.11812,0,-4.72593,-1.86,0.516967,-4.44763,-0.864831,0.697129,0,-3.70549,-1.86,0.383171,-2.55249,-0.572008,0.467332,0,-3.58811,-1.86,0.82235,-2.41062,-0.836994,1.25797,0,-4.58478,-1.86,0.546509,-4.22538,-0.769348,0.760257,0,-3.97548,-1.86,0.677197,-3.09962,-0.699664,1.01484,0,-4.28735,-1.86,0.630309,-3.68543,-0.684062,0.925604,0,-4.00123,-1.86,0.178547,-3.14368,-0.732219,0.0671911,0,-3.59006,-1.86,0.190575,-2.33373,-0.615451,0.0945878,0,-4.65691,-1.86,0.367424,-4.35741,-0.760138,0.43196,0,-4.50808,-1.86,0.351914,-4.08525,-0.805123,0.401508,0,-3.86186,-1.86,0.574644,-2.87045,-0.646101,0.833631,0,-4.26336,-1.86,0.495228,-3.63727,-0.608748,0.6808,0,-4.14578,-1.86,0.877788,-3.41289,-0.756984,1.37547,0,
0.133336,-4.12358,-3.60245,0.294738,-3.38478,-3.97833,0.295077,-3.72184,-1.86,0.851991,-2.65742,-0.83083,1.3129,0,-4.28365,-1.86,0.817542,-3.67423,-0.98456,1.19848,0,-4.45619,-1.86,0.744908,-3.96974,-0.970188,1.08238,0,-4.72593,-1.86,0.516967,-4.42093,-1.00612,0.682993,0,-3.70549,-1.86,0.383171,-2.60766,-0.71283,0.467666,0,-3.58811,-1.86,0.82235,-2.46576,-0.955488,1.22803,0,-4.58478,-1.86,0.546509,-4.20759,-0.911877,0.742551,0,-3.97548,-1.86,0.677197,-3.12674,-0.830639,0.992342,0,-4.28735,-1.86,0.630309,-3.69063,-0.861656,0.897037,0,-4.00123,-1.86,0.178547,-3.18373,-0.943636,0.0854539,0,-3.59006,-1.86,0.190575,-2.38088,-0.707719,0.107178,0,-4.65691,-1.86,0.367424,-4.34323,-0.862367,0.430354,0,-4.50808,-1.86,0.351914,-4.0688,-0.971505,0.398826,0,-3.86186,-1.86,0.574644,-2.91529,-0.802034,0.813768,0,-4.26336,-1.86,0.495228,-3.64502,-0.744211,0.673704,0,-4.14578,-1.86,0.877788,-3.43224,-0.925167,1.32468,0,
0.16667,-4.11472,-3.60172,0.294377,-3.37472,-3.97726,0.29486,-3.72184,-1.86,0.851991,-2.72607,-1.02007,1.25322,0,-4.28365,-1.86,0.817542,-3.67352,-1.24572,1.1239,0,-4.45619,-1.86,0.744908,-3.94636,-1.21956,1.02031,0,-4.72593,-1.86,0.516967,-4.36642,-1.23312,0.658217,0,-3.70549,-1.86,0.383171,-2.69125,-0.955387,0.458765,0,-3.58811,-1.86,0.82235,-2.54754,-1.14716,1.17232,0,-4.58478,-1.86,0.546509,-4.16861,-1.14752,0.715396,0,-3.97548,-1.86,0.677197,-3.17822,-1.12936,0.935545,0,-4.28735,-1.86,0.630309,-3.68953,-1.12111,0.84896,0,-4.00123,-1.86,0.178547,-3.22219,-1.19258,0.104934,0,-3.59006,-1.86,0.190575,-2.47678,-0.929946,0.123527,0,-4.65691,-1.86,0.367424,-4.29834,-1.0946,0.423077,0,-4.50808,-1.86,0.351914,-4.03693,-1.21395,0.394749,0,-3.86186,-1.86,0.574644,-2.97669,-1.05017,0.776341,0,-4.26336,-1.86,0.495228,-3.64988,-1.00831,0.645814,0,-4.14578,-1.86,0.877788,-3.45292,-1.1798,1.24226,0,
0.200004,-4.08916,-3.60075,0.294328,-3.34814,-3.97512,0.294267,-3.72184,-1.86,0.851991,-2.72349,-1.05776,1.24227,0,-4.28365,-1.86,0.817542,-3.65774,-1.30976,1.10179,0,-4.45619,-1.86,0.744908,-3.92532,-1.27022,1.00215,0,-4.72593,-1.86,0.516967,-4.34035,-1.27376,0.64772,0,-3.70549,-1.86,0.383171,-2.69016,-0.998207,0.454105,0,-3.58811,-1.86,0.82235,-2.55115,-1.19092,1.15802,0,-4.58478,-1.86,0.546509,-4.14905,-1.15521,0.712453,0,-3.97548,-1.86,0.677197,-3.18115,-1.23534,0.909917,0,-4.28735,-1.86,0.630309,-3.67378,-1.20915,0.830816,0,-4.00123,-1.86,0.178547,-3.21057,-1.227,0.111823,0,-3.59006,-1.86,0.190575,-2.47718,-0.968532,0.123243,0,-4.65691,-1.86,0.367424,-4.27218,-1.14459,0.416362,0,-4.50808,-1.86,0.351914,-4.01504,-1.26008,0.390817,0,-3.86186,-1.86,0.574644,-2.97228,-1.09585,0.766542,0,-4.26336,-1.86,0.495228,-3.63453,-1.05962,0.639408,0,-4.14578,-1.86,0.877788,-3.44018,-1.22219,1.22639,0,
0.233338,-4.0796,-3.6002,0.293965,-3.3328,-3.97395,0.293922,-3.72184,-1.86,0.851991,-2.7354,-1.0909,1.2307,0,-4.28365,-1.86,0.817542,-3.65575,-1.33907,1.08849,0,-4.45619,-1.86,0.744908,-3.91975,-1.32454,0.985978,0,-4.72593,-1.86,0.516967,-4.32639,-1.33326,0.640359,0,-3.70549,-1.86,0.383171,-2.7064,-1.04403,0.449627,0,-3.58811,-1.86,0.82235,-2.57271,-1.24061,1.14103,0,-4.58478,-1.86,0.546509,-4.14583,-1.1846,0.705162,0,-3.97548,-1.86,0.677197,-3.1905,-1.30211,0.895131,0,-4.28735,-1.86,0.630309,-3.67122,-1.2485,0.819442,0,-4.00123,-1.86,0.178547,-3.2115,-1.23869,0.109274,0,-3.59006,-1.86,0.190575,-2.4801,-0.980558,0.128026,0,-4.65691,-1.86,0.367424,-4.26581,-1.16236,0.410533,0,-4.50808,-1.86,0.351914,-4.01029,-1.29101,0.388802,0,-3.86186,-1.86,0.574644,-2.98587,-1.14926,0.757012,0,-4.26336,-1.86,0.495228,-3.63494,-1.10425,0.632457,0,-4.14578,-1.86,0.877788,-3.44422,-1.26864,1.21094,0,
0.266672,-4.05299,-3.59907,0.293923,-3.33749,-3.97424,0.294029,-3.72184,-1.86,0.851991,-2.77474,-1.12497,1.21625,0,-4.28365,-1.86,0.817542,-3.68287,-1.39895,1.0712,0,-4.45619,-1.86,0.744908,-3.94034,-1.37857,0.970497,0,-4.72593,-1.86,0.516967,-4.33884,-1.39097,0.63312,0,-3.70549,-1.86,0.383171,-2.75478,-1.10548,0.446228,0,-3.58811,-1.86,0.82235,-2.62011,-1.29042,1.12448,0,-4.58478,-1.86,0.546509,-4.16515,-1.23955,0.698433,0,-3.97548,-1.86,0.677197,-3.22703,-1.3675,0.879674,0,-4.28735,-1.86,0.630309,-3.69754,-1.33424,0.803746,0,-4.00123,-1.86,0.178547,-3.25064,-1.30746,0.11101,0,-3.59006,-1.86,0.190575,-2.52776,-1.02171,0.12813,0,-4.65691,-1.86,0.367424,-4.27729,-1.25209,0.41007,0,-4.50808,-1.86,0.351914,-4.03029,-1.3481,0.385701,0,-3.86186,-1.86,0.574644,-3.03065,-1.22437,0.743778,0,-4.26336,-1.86,0.495228,-3.66282,-1.16786,0.624017,0,-4.14578,-1.86,0.877788,-3.47658,-1.34127,1.18606,0,
0.300007,-4.05299,-3.59907,0.293923,-3.30994,-3.97193,0.293417,-3.72184,-1.86,0.851991,-2.78497,-1.20011,1.19093,0,-4.28365,-1.86,0.817542,-3.66479,-1.49939,1.04154,0,-4.45619,-1.86,0.744908,-3.91427,-1.46855,0.948038,0,-4.72593,-1.86,0.516967,-4.30136,-1.47207,0.623138,0,-3.70549,-1.86,0.383171,-2.75583,-1.15865,0.441475,0,-3.58811,-1.86,0.82235,-2.63294,-1.36133,1.10249,0,-4.58478,-1.86,0.546509,-4.13419,-1.32269,0.685884,0,-3.97548,-1.86,0.677197,-3.22226,-1.44035,0.863043,0,-4.28735,-1.86,0.630309,-3.67829,-1.4243,0.785138,0,-4.00123,-1.86,0.178547,-3.24915,-1.41334,0.116092,0,-3.59006,-1.86,0.190575,-2.54618,-1.10428,0.135455,0,-4.65691,-1.86,0.367424,-4.24053,-1.3369,0.410102,0,-4.50808,-1.86,0.351914,-3.99598,-1.46661,0.378601,0,-3.86186,-1.86,0.574644,-3.03683,-1.32537,0.728096,0,-4.26336,-1.86,0.495228,-3.64621,-1.23509,0.612082,0,-4.14578,-1.86,0.877788,-3.46577,-1.4311,1.15535,0,
