time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,
0,-3.82828,3.4102,0.317129,-3.68103,3.26292,0.619968,-4.23329,1.86,0.501166,-4.60514,-0.274158,1.03988,0,-4.18214,1.86,0.400382,-4.4938,-0.29767,0.811188,0,-3.28586,1.86,0.737169,-2.51876,-0.0588195,1.52002,0,-3.69105,1.86,0.226193,-3.3698,-0.25308,0.413716,0,-4.08379,1.86,0.221859,-4.27085,-0.315448,0.400054,0,-4.31842,1.86,0.364145,-4.7535,-0.128998,0.722841,0,-4.26567,1.86,0.267214,-4.66736,-0.232773,0.50741,0,-3.84368,1.86,0.498123,-3.71423,-0.0774648,1.00998,0,-3.69476,1.86,0.623432,-3.38488,-0.175717,1.2994,0,-3.35778,1.86,0.429133,-2.63074,-0.197618,0.869996,0,-3.24536,1.86,0.39435,-2.37894,-0.19982,0.792458,0,-4.37416,1.86,0.733344,-4.88326,-0.15115,1.53661,0,-3.83805,1.86,0.275999,-3.70338,-0.283583,0.525872,0,-3.55401,1.86,0.725697,-3.07615,-0.156007,1.52105,0,-4.46696,1.86,0.21902,-5.0876,-0.15108,0.403902,0,-4.01318,1.86,0.343063,-4.10833,-0.319488,0.6799,0,-3.81781,1.86,0.399497,-3.65857,-0.0645058,0.796766,0,-3.75977,1.86,0.10822,-3.53077,-0.13722,0.161757,0,-3.57576,1.86,0.392558,-3.11472,-0.213717,0.789133,0,
0.0333341,-3.85473,3.40922,0.317436,-3.70759,3.26169,0.620932,-4.23329,1.86,0.501166,-4.55363,-0.100222,1.02251,0,-4.18214,1.86,0.400382,-4.42819,-0.0554891,0.803648,0,-3.28586,1.86,0.737169,-2.56614,0.0869236,1.48061,0,-3.69105,1.86,0.226193,-3.38381,-0.0318055,0.427671,0,-4.08379,1.86,0.221859,-4.22631,-0.0947123,0.41453,0,-4.31842,1.86,0.364145,-4.67839,0.0797086,0.717061,0,-4.26567,1.86,0.267214,-4.61837,-0.0763352,0.514655,0,-3.84368,1.86,0.498123,-3.70654,0.149295,0.983306,0,-3.69476,1.86,0.623432,-3.39975,0.0489235,1.2541,0,-3.35778,1.86,0.429133,-2.68818,0.0103903,0.856019,0,-3.24536,1.86,0.39435,-2.4371,-0.0287104,0.782587,0,-4.37416,1.86,0.733344,-4.82155,0.00205064,1.49615,0,-3.83805,1.86,0.275999,-3.69414,-0.0429506,0.530777,0,-3.55401,1.86,0.725697,-3.10816,0.0702586,1.45883,0,-4.46696,1.86,0.21902,-5.0275,-0.016115,0.414623,0,-4.01318,1.86,0.343063,-4.07027,-0.0668416,0.678952,0,-3.81781,1.86,0.399497,-3.6566,0.154995,0.780899,0,-3.75977,1.86,0.10822,-3.53388,0.0691493,0.190011,0,-3.57576,1.86,0.392558,-3.14438,-0.00603104,0.778154,0,
0.0666682,-3.86483,3.4088,0.317266,-3.72288,3.26096,0.621486,-4.23329,1.86,0.501166,-4.51317,0.0189896,1.00105,0,-4.18214,1.86,0.400382,-4.38321,0.0984108,0.788164,0,-3.28586,1.86,0.737169,-2.58905,0.171248,1.45424,0,-3.69105,1.86,0.226193,-3.38802,0.138628,0.43266,0,-4.08379,1.86,0.221859,-4.18824,0.070935,0.417361,0,-4.31842,1.86,0.364145,-4.62972,0.207203,0.706829,0,-4.26567,1.86,0.267214,-4.57636,0.0394676,0.511053,0,-3.84368,1.86,0.498123,-3.69791,0.284206,0.961993,0,-3.69476,1.86,0.623432,-3.40351,0.194144,1.2193,0,-3.35778,1.86,0.429133,-2.72727,0.180734,0.839826,0,-3.24536,1.86,0.39435,-2.47275,0.0920374,0.771658,0,-4.37416,1.86,0.733344,-4.77675,0.103865,1.45969,0,-3.83805,1.86,0.275999,-3.68258,0.138097,0.528499,0,-3.55401,1.86,0.725697,-3.11993,0.158054,1.43342,0,-4.46696,1.86,0.21902,-4.95942,0.118547,0.413996,0,-4.01318,1.86,0.343063,-4.03879,0.109241,0.668668,0,-3.81781,1.86,0.399497,-3.65088,0.278868,0.769968,0,-3.75977,1.86,0.10822,-3.53043,0.248001,0.208171,0,-3.57576,1.86,0.392558,-3.15675,0.114431,0.767519,0,
0.100002,-3.89071,3.40756,0.317574,-3.71775,3.26118,0.621299,-4.23329,1.86,0.501166,-4.45448,0.148103,0.995188,0,-4.18214,1.86,0.400382,-4.31701,0.271351,0.786952,0,-3.28586,1.86,0.737169,-2.61202,0.326309,1.41506,0,-3.69105,1.86,0.226193,-3.37665,0.289405,0.448258,0,-4.08379,1.86,0.221859,-4.14307,0.201118,0.431085,0,-4.31842,1.86,0.364145,-4.54726,0.37986,0.712235,0,-4.26567,1.86,0.267214,-4.51512,0.167913,0.526514,0,-3.84368,1.86,0.498123,-3.67014,0.449962,0.952026,0,-3.69476,1.86,0.623432,-3.39136,0.367111,1.1944,0,-3.35778,1.86,0.429133,-2.7447,0.319728,0.836451,0,-3.24536,1.86,0.39435,-2.49029,0.206889,0.77074,0,-4.37416,1.86,0.733344,-4.69558,0.25796,1.43328,0,-3.83805,1.86,0.275999,-3.65629,0.302584,0.540862,0,-3.55401,1.86,0.725697,-3.11868,0.315258,1.40032,0,-4.46696,1.86,0.21902,-4.87038,0.269338,0.438042,0,-4.01318,1.86,0.343063,-4.0057,0.211813,0.671607,0,-3.81781,1.86,0.399497,-3.62321,0.498862,0.77008,0,-3.75977,1.86,0.10822,-3.51296,0.401181,0.23738,0,-3.57576,1.86,0.392558,-3.15331,0.255149,0.766502,0,
0.133336,-3.90092,3.407,0.317394,-3.74392,3.25966,0.622243,-4.23329,1.86,0.501166,-4.42059,0.270434,0.97272,0,-4.18214,1.86,0.400382,-4.28185,0.422164,0.772279,0,-3.28586,1.86,0.737169,-2.65991,0.469112,1.37585,0,-3.69105,1.86,0.226193,-3.39066,0.469763,0.454443,0,-4.08379,1.86,0.221859,-4.11604,0.352151,0.437103,0,-4.31842,1.86,0.364145,-4.51203,0.494963,0.701396,0,-4.26567,1.86,0.267214,-4.46493,0.329302,0.523854,0,-3.84368,1.86,0.498123,-3.67027,0.582904,0.932449,0,-3.69476,1.86,0.623432,-3.40482,0.523761,1.15743,0,-3.35778,1.86,0.429133,-2.78094,0.439593,0.826404,0,-3.24536,1.86,0.39435,-2.53966,0.348663,0.760491,0,-4.37416,1.86,0.733344,-4.65592,0.36557,1.39642,0,-3.83805,1.86,0.275999,-3.6543,0.475179,0.542333,0,-3.55401,1.86,0.725697,-3.14246,0.449873,1.35926,0,-4.46696,1.86,0.21902,-4.822,0.383227,0.436742,0,-4.01318,1.86,0.343063,-3.99313,0.321024,0.662893,0,-3.81781,1.86,0.399497,-3.62746,0.626173,0.758981,0,-3.75977,1.86,0.10822,-3.51968,0.566135,0.255633,0,-3.57576,1.86,0.392558,-3.1805,0.443871,0.755509,0,
0.16667,-3.90092,3.407,0.317394,-3.75397,3.259,0.622604,-4.23329,1.86,0.501166,-4.36581,0.436596,0.952817,0,-4.18214,1.86,0.400382,-4.22254,0.635319,0.761429,0,-3.28586,1.86,0.737169,-2.71011,0.645373,1.32583,0,-3.69105,1.86,0.226193,-3.39893,0.65937,0.464295,0,-4.08379,1.86,0.221859,-4.06667,0.584145,0.448869,0,-4.31842,1.86,0.364145,-4.44904,0.660522,0.695184,0,-4.26567,1.86,0.267214,-4.39799,0.530545,0.524116,0,-3.84368,1.86,0.498123,-3.6588,0.773437,0.909546,0,-3.69476,1.86,0.623432,-3.41072,0.695886,1.12588,0,-3.35778,1.86,0.429133,-2.81289,0.576782,0.815989,0,-3.24536,1.86,0.39435,-2.5911,0.515522,0.749899,0,-4.37416,1.86,0.733344,-4.58286,0.536701,1.35179,0,-3.83805,1.86,0.275999,-3.64375,0.691447,0.548477,0,-3.55401,1.86,0.725697,-3.16737,0.656096,1.30264,0,-4.46696,1.86,0.21902,-4.74134,0.548564,0.448445,0,-4.01318,1.86,0.343063,-3.96591,0.465563,0.660962,0,-3.81781,1.86,0.399497,-3.62041,0.772755,0.750027,0,-3.75977,1.86,0.10822,-3.51947,0.748061,0.278722,0,-3.57576,1.86,0.392558,-3.21068,0.694149,0.742293,0,
0.200004,-3.92717,3.40578,0.317697,-3.78038,3.25746,0.623556,-4.23329,1.86,0.501166,-4.33156,0.56974,0.937915,0,-4.18214,1.86,0.400382,-4.18914,0.795556,0.753613,0,-3.28586,1.86,0.737169,-2.75259,0.758447,1.29285,0,-3.69105,1.86,0.226193,-3.41438,0.78319,0.469974,0,-4.08379,1.86,0.221859,-4.04503,0.738173,0.45822,0,-4.31842,1.86,0.364145,-4.42474,0.749332,0.693608,0,-4.26567,1.86,0.267214,-4.34489,0.719142,0.531752,0,-3.84368,1.86,0.498123,-3.66309,0.885206,0.895778,0,-3.69476,1.86,0.623432,-3.42485,0.794572,1.10042,0,-3.35778,1.86,0.429133,-2.85843,0.720519,0.796409,0,-3.24536,1.86,0.39435,-2.6342,0.624295,0.740972,0,-4.37416,1.86,0.733344,-4.55492,0.624151,1.32839,0,-3.83805,1.86,0.275999,-3.64798,0.832412,0.549852,0,-3.55401,1.86,0.725697,-3.19209,0.769403,1.27181,0,-4.46696,1.86,0.21902,-4.69779,0.656607,0.455294,0,-4.01318,1.86,0.343063,-3.94696,0.626188,0.657797,0,-3.81781,1.86,0.399497,-3.62465,0.925687,0.739631,0,-3.75977,1.86,0.10822,-3.53002,0.857996,0.28969,0,-3.57576,1.86,0.392558,-3.2398,0.840758,0.732782,0,
0.233338,-3.93756,3.4053,0.317535,-3.79086,3.25682,0.623934,-4.23329,1.86,0.501166,-4.29625,0.680831,0.921849,0,-4.18214,1.86,0.400382,-4.16594,0.885065,0.742924,0,-3.28586,1.86,0.737169,-2.76844,0.816572,1.27657,0,-3.69105,1.86,0.226193,-3.41933,0.899425,0.474141,0,-4.08379,1.86,0.221859,-4.01631,0.882278,0.46424,0,-4.31842,1.86,0.364145,-4.38897,0.841899,0.688045,0,-4.26567,1.86,0.267214,-4.28909,0.897311,0.538874,0,-3.84368,1.86,0.498123,-3.65575,1.0354,0.875417,0,-3.69476,1.86,0.623432,-3.42838,0.916987,1.07657,0,-3.35778,1.86,0.429133,-2.89361,0.861737,0.788468,0,-3.24536,1.86,0.39435,-2.66605,0.729816,0.733912,0,-4.37416,1.86,0.733344,-4.51493,0.715406,1.30024,0,-3.83805,1.86,0.275999,-3.64258,0.952711,0.552224,0,-3.55401,1.86,0.725697,-3.20003,0.842247,1.25286,0,-4.46696,1.86,0.21902,-4.66538,0.724871,0.454555,0,-4.01318,1.86,0.343063,-3.92719,0.748106,0.65498,0,-3.81781,1.86,0.399497,-3.62113,1.04776,0.733183,0,-3.75977,1.86,0.10822,-3.52926,0.958743,0.30155,0,-3.57576,1.86,0.392558,-3.24826,0.912507,0.727785,0,
0.266672,-3.96511,3.40399,0.317829,-3.80609,3.25587,0.624482,-4.23329,1.86,0.501166,-4.26489,0.791162,0.910543,0,-4.18214,1.86,0.400382,-4.13963,0.991909,0.741706,0,-3.28586,1.86,0.737169,-2.7993,0.91993,1.25015,0,-3.69105,1.86,0.226193,-3.42813,1.0083,0.483184,0,-4.08379,1.86,0.221859,-3.99911,0.98705,0.4746,0,-4.31842,1.86,0.364145,-4.34978,0.95744,0.688261,0,-4.26567,1.86,0.267214,-4.25532,1.01958,0.546962,0,-3.84368,1.86,0.498123,-3.65551,1.14505,0.865831,0,-3.69476,1.86,0.623432,-3.43493,0.989721,1.06144,0,-3.35778,1.86,0.429133,-2.92736,0.977073,0.781912,0,-3.24536,1.86,0.39435,-2.70313,0.838078,0.729722,0,-4.37416,1.86,0.733344,-4.47592,0.815891,1.27375,0,-3.83805,1.86,0.275999,-3.64171,1.08511,0.554345,0,-3.55401,1.86,0.725697,-3.2223,0.990203,1.21803,0,-4.46696,1.86,0.21902,-4.62477,0.812022,0.462559,0,-4.01318,1.86,0.343063,-3.91445,0.846157,0.654867,0,-3.81781,1.86,0.399497,-3.62242,1.12475,0.7277,0,-3.75977,1.86,0.10822,-3.53279,1.06032,0.318383,0,-3.57576,1.86,0.392558,-3.26045,1.00045,0.724955,0,
0.300007,-3.96511,3.40399,0.317829,-3.81814,3.25515,0.624916,-4.23329,1.86,0.501166,-4.23823,0.882226,0.899723,0,-4.18214,1.86,0.400382,-4.11592,1.08767,0.737,0,-3.28586,1.86,0.737169,-2.82231,0.994948,1.2297,0,-3.69105,1.86,0.226193,-3.43411,1.09529,0.48753,0,-4.08379,1.86,0.221859,-3.9841,1.06771,0.479412,0,-4.31842,1.86,0.364145,-4.31532,1.05937,0.68391,0,-4.26567,1.86,0.267214,-4.23017,1.10375,0.548788,0,-3.84368,1.86,0.498123,-3.65419,1.20132,0.857432,0,-3.69476,1.86,0.623432,-3.43832,1.06409,1.04608,0,-3.35778,1.86,0.429133,-2.9517,1.06523,0.775489,0,-3.24536,1.86,0.39435,-2.7333,0.928412,0.726256,0,-4.37416,1.86,0.733344,-4.4415,0.903608,1.25112,0,-3.83805,1.86,0.275999,-3.64059,1.17941,0.556329,0,-3.55401,1.86,0.725697,-3.23206,1.04636,1.20029,0,-4.46696,1.86,0.21902,-4.58269,0.903692,0.467817,0,-4.01318,1.86,0.343063,-3.90355,0.920476,0.650067,0,-3.81781,1.86,0.399497,-3.62066,1.20123,0.724174,0,-3.75977,1.86,0.10822,-3.53462,1.13999,0.329178,0,-3.57576,1.86,0.392558,-3.27789,1.12571,0.718866,0,
