time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,
0,-3.50447,-3.40815,0.289486,-2.82685,-3.55451,0.264671,-3.25493,-1.86,0.625425,-2.27848,-0.15241,1.0029,0,-2.88614,-1.86,0.744931,-1.52408,-0.292669,1.22426,0,-3.44729,-1.86,0.678311,-2.70159,-0.163049,1.11645,0,-3.69579,-1.86,0.45173,-3.2591,-0.0567441,0.631231,0,-3.06056,-1.86,0.466941,-1.843,-0.123293,0.65797,0,-4.01365,-1.86,0.574551,-3.9325,-0.192784,0.883673,0,-3.04965,-1.86,0.287434,-1.78119,0.00481486,0.259954,0,-3.54446,-1.86,0.311564,-2.91763,-0.0401509,0.314789,0,-3.55348,-1.86,0.47684,-2.93441,-0.157166,0.67581,0,-3.66733,-1.86,0.156398,-3.18586,-0.141662,-0.0287156,0,-3.46119,-1.86,0.241818,-2.73336,-0.210456,0.161708,0,-3.15524,-1.86,0.588451,-2.03011,-0.0225172,0.946737,0,-3.11744,-1.86,0.195065,-1.95701,-0.075048,0.0524611,0,-3.55749,-1.86,0.193689,-2.94523,-0.0980687,0.0507925,0,-3.00588,-1.86,0.153101,-1.73772,-0.1727,-0.0332488,0,-3.81059,-1.86,0.321236,-3.48696,-0.216088,0.333136,0,-2.88932,-1.86,0.203627,-1.51722,-0.258555,0.0818823,0,
0.0333341,-3.47906,-3.40765,0.289517,-2.81165,-3.55371,0.264354,-3.25493,-1.86,0.625425,-2.31255,-0.289552,0.977067,0,-2.88614,-1.86,0.744931,-1.57275,-0.388478,1.19872,0,-3.44729,-1.86,0.678311,-2.71898,-0.30577,1.0822,0,-3.69579,-1.86,0.45173,-3.25009,-0.250293,0.613781,0,-3.06056,-1.86,0.466941,-1.8872,-0.235065,0.646672,0,-4.01365,-1.86,0.574551,-3.89604,-0.344766,0.860829,0,-3.04965,-1.86,0.287434,-1.8374,-0.136343,0.261665,0,-3.54446,-1.86,0.311564,-2.92699,-0.204964,0.315147,0,-3.55348,-1.86,0.47684,-2.94199,-0.359789,0.655488,0,-3.66733,-1.86,0.156398,-3.1806,-0.323212,-0.00921553,0,-3.46119,-1.86,0.241818,-2.75228,-0.39236,0.165912,0,-3.15524,-1.86,0.588451,-2.07795,-0.169179,0.92009,0,-3.11744,-1.86,0.195065,-2.00328,-0.206945,0.0631159,0,-3.55749,-1.86,0.193689,-2.95208,-0.282503,0.0647887,0,-3.00588,-1.86,0.153101,-1.78758,-0.290904,-0.0214886,0,-3.81059,-1.86,0.321236,-3.46382,-0.398456,0.331972,0,-2.88932,-1.86,0.203627,-1.57211,-0.372217,0.0924957,0,
0.0666681,-3.47906,-3.40765,0.289517,-2.8005,-3.55316,0.264119,-3.25493,-1.86,0.625425,-2.35035,-0.428495,0.950438,0,-2.88614,-1.86,0.744931,-1.63883,-0.511518,1.16862,0,-3.44729,-1.86,0.678311,-2.74394,-0.48915,1.04117,0,-3.69579,-1.86,0.45173,-3.24571,-0.407957,0.595003,0,-3.06056,-1.86,0.466941,-1.93562,-0.352119,0.6382,0,-4.01365,-1.86,0.574551,-3.86992,-0.469039,0.839031,0,-3.04965,-1.86,0.287434,-1.8964,-0.279977,0.266798,0,-3.54446,-1.86,0.311564,-2.94022,-0.411498,0.318419,0,-3.55348,-1.86,0.47684,-2.95023,-0.497503,0.640323,0,-3.66733,-1.86,0.156398,-3.17842,-0.503097,0.00646204,0,-3.46119,-1.86,0.241818,-2.77268,-0.564564,0.173747,0,-3.15524,-1.86,0.588451,-2.11536,-0.282491,0.905627,0,-3.11744,-1.86,0.195065,-2.06379,-0.373271,0.0757694,0,-3.55749,-1.86,0.193689,-2.96169,-0.448565,0.0785607,0,-3.00588,-1.86,0.153101,-1.84156,-0.410944,-0.00519848,0,-3.81059,-1.86,0.321236,-3.44134,-0.606633,0.329714,0,-2.88932,-1.86,0.203627,-1.64775,-0.514699,0.103816,0,
0.100002,-3.46937,-3.40723,0.289156,-2.79047,-3.55264,0.26391,-3.25493,-1.86,0.625425,-2.37597,-0.51826,0.930978,0,-2.88614,-1.86,0.744931,-1.67854,-0.581852,1.14395,0,-3.44729,-1.86,0.678311,-2.75886,-0.596673,1.01435,0,-3.69579,-1.86,0.45173,-3.24227,-0.540846,0.588271,0,-3.06056,-1.86,0.466941,-1.98509,-0.469432,0.621142,0,-4.01365,-1.86,0.574551,-3.85358,-0.552455,0.828249,0,-3.04965,-1.86,0.287434,-1.94138,-0.386998,0.26479,0,-3.54446,-1.86,0.311564,-2.95056,-0.581517,0.31285,0,-3.55348,-1.86,0.47684,-2.95883,-0.607047,0.6294,0,-3.66733,-1.86,0.156398,-3.17723,-0.62878,0.0191456,0,-3.46119,-1.86,0.241818,-2.78404,-0.652174,0.173544,0,-3.15524,-1.86,0.588451,-2.14315,-0.35575,0.890511,0,-3.11744,-1.86,0.195065,-2.09942,-0.471808,0.0774404,0,-3.55749,-1.86,0.193689,-2.96836,-0.540625,0.0849746,0,-3.00588,-1.86,0.153101,-1.87441,-0.482569,-0.00695583,0,-3.81059,-1.86,0.321236,-3.43009,-0.713509,0.327263,0,-2.88932,-1.86,0.203627,-1.68376,-0.582898,0.101266,0,
0.133336,-3.46937,-3.40723,0.289156,-2.77516,-3.55184,0.263589,-3.25493,-1.86,0.625425,-2.40748,-0.648391,0.902815,0,-2.88614,-1.86,0.744931,-1.71906,-0.661412,1.12213,0,-3.44729,-1.86,0.678311,-2.77274,-0.72818,0.982411,0,-3.69579,-1.86,0.45173,-3.23398,-0.68029,0.57141,0,-3.06056,-1.86,0.466941,-2.03719,-0.613599,0.608274,0,-4.01365,-1.86,0.574551,-3.82932,-0.655965,0.807009,0,-3.04965,-1.86,0.287434,-1.9804,-0.491147,0.268256,0,-3.54446,-1.86,0.311564,-2.95401,-0.743544,0.315092,0,-3.55348,-1.86,0.47684,-2.96348,-0.739215,0.611739,0,-3.66733,-1.86,0.156398,-3.17181,-0.744872,0.0308571,0,-3.46119,-1.86,0.241818,-2.79783,-0.793845,0.177876,0,-3.15524,-1.86,0.588451,-2.18647,-0.490398,0.863415,0,-3.11744,-1.86,0.195065,-2.12695,-0.555654,0.0862574,0,-3.55749,-1.86,0.193689,-2.97209,-0.638656,0.0921971,0,-3.00588,-1.86,0.153101,-1.89774,-0.538063,0.00339636,0,-3.81059,-1.86,0.321236,-3.41783,-0.804986,0.324657,0,-2.88932,-1.86,0.203627,-1.73435,-0.682374,0.1089,0,
0.16667,-3.42337,-3.40628,0.289603,-2.79047,-3.55264,0.26391,-3.25493,-1.86,0.625425,-2.45684,-0.745461,0.878308,0,-2.88614,-1.86,0.744931,-1.77253,-0.714221,1.10033,0,-3.44729,-1.86,0.678311,-2.80941,-0.823269,0.953497,0,-3.69579,-1.86,0.45173,-3.25156,-0.820351,0.548859,0,-3.06056,-1.86,0.466941,-2.10925,-0.741537,0.587078,0,-4.01365,-1.86,0.574551,-3.83309,-0.751234,0.782964,0,-3.04965,-1.86,0.287434,-2.04462,-0.590323,0.262603,0,-3.54446,-1.86,0.311564,-2.98353,-0.835903,0.312857,0,-3.55348,-1.86,0.47684,-2.9938,-0.862715,0.590419,0,-3.66733,-1.86,0.156398,-3.19538,-0.83006,0.0312965,0,-3.46119,-1.86,0.241818,-2.83022,-0.861373,0.179594,0,-3.15524,-1.86,0.588451,-2.24518,-0.597508,0.8371,0,-3.11744,-1.86,0.195065,-2.18299,-0.641583,0.0868229,0,-3.55749,-1.86,0.193689,-3.00367,-0.743564,0.09428,0,-3.00588,-1.86,0.153101,-1.95237,-0.601576,0.00363144,0,-3.81059,-1.86,0.321236,-3.43066,-0.921972,0.317589,0,-2.88932,-1.86,0.203627,-1.79843,-0.76045,0.107824,0,
0.200004,-3.42337,-3.40628,0.289603,-2.74406,-3.55008,0.262943,-3.25493,-1.86,0.625425,-2.4514,-0.849387,0.848982,0,-2.88614,-1.86,0.744931,-1.78024,-0.781985,1.07332,0,-3.44729,-1.86,0.678311,-2.78773,-0.907749,0.924156,0,-3.69579,-1.86,0.45173,-3.21305,-0.932269,0.532786,0,-3.06056,-1.86,0.466941,-2.11871,-0.850991,0.571962,0,-4.01365,-1.86,0.574551,-3.7687,-0.887919,0.755019,0,-3.04965,-1.86,0.287434,-2.05392,-0.693867,0.256238,0,-3.54446,-1.86,0.311564,-2.95698,-0.923978,0.307032,0,-3.55348,-1.86,0.47684,-2.96583,-0.972802,0.571842,0,-3.66733,-1.86,0.156398,-3.15943,-0.96349,0.0373442,0,-3.46119,-1.86,0.241818,-2.80876,-0.940749,0.177951,0,-3.15524,-1.86,0.588451,-2.24502,-0.69401,0.811908,0,-3.11744,-1.86,0.195065,-2.19024,-0.754233,0.0865374,0,-3.55749,-1.86,0.193689,-2.97689,-0.845187,0.0971565,0,-3.00588,-1.86,0.153101,-1.9607,-0.689351,0.00520429,0,-3.81059,-1.86,0.321236,-3.38505,-1.02892,0.310644,0,-2.88932,-1.86,0.203627,-1.81186,-0.846561,0.106738,0,
0.233338,-3.39735,-3.40562,0.289654,-2.71703,-3.54854,0.262381,-3.25493,-1.86,0.625425,-2.46488,-0.968846,0.823968,0,-2.88614,-1.86,0.744931,-1.81509,-0.876199,1.04758,0,-3.44729,-1.86,0.678311,-2.78623,-1.02063,0.896831,0,-3.69579,-1.86,0.45173,-3.18827,-1.08273,0.520289,0,-3.06056,-1.86,0.466941,-2.13621,-0.937366,0.561269,0,-4.01365,-1.86,0.574551,-3.71437,-1.03781,0.727889,0,-3.04965,-1.86,0.287434,-2.08247,-0.806574,0.257514,0,-3.54446,-1.86,0.311564,-2.94701,-1.03049,0.309294,0,-3.55348,-1.86,0.47684,-2.95488,-1.10156,0.558035,0,-3.66733,-1.86,0.156398,-3.13986,-1.07107,0.0468533,0,-3.46119,-1.86,0.241818,-2.80477,-1.03938,0.18204,0,-3.15524,-1.86,0.588451,-2.2566,-0.77489,0.79324,0,-3.11744,-1.86,0.195065,-2.20908,-0.853453,0.0956818,0,-3.55749,-1.86,0.193689,-2.96645,-0.962787,0.104358,0,-3.00588,-1.86,0.153101,-1.99025,-0.79214,0.015512,0,-3.81059,-1.86,0.321236,-3.35836,-1.12369,0.308792,0,-2.88932,-1.86,0.203627,-1.84142,-0.932731,0.113597,0,
0.266672,-3.39735,-3.40562,0.289654,-2.702,-3.54767,0.262068,-3.25493,-1.86,0.625425,-2.48451,-1.07728,0.799767,0,-2.88614,-1.86,0.744931,-1.86811,-0.995029,1.01456,0,-3.44729,-1.86,0.678311,-2.78992,-1.09632,0.876808,0,-3.69579,-1.86,0.45173,-3.17375,-1.20392,0.51041,0,-3.06056,-1.86,0.466941,-2.16684,-1.03279,0.55148,0,-4.01365,-1.86,0.574551,-3.67876,-1.15215,0.706541,0,-3.04965,-1.86,0.287434,-2.11853,-0.91763,0.257929,0,-3.54446,-1.86,0.311564,-2.94559,-1.17069,0.3072,0,-3.55348,-1.86,0.47684,-2.95244,-1.20115,0.545108,0,-3.66733,-1.86,0.156398,-3.12768,-1.2089,0.0595187,0,-3.46119,-1.86,0.241818,-2.80987,-1.14598,0.184758,0,-3.15524,-1.86,0.588451,-2.28422,-0.876609,0.774111,0,-3.11744,-1.86,0.195065,-2.2423,-0.971128,0.102241,0,-3.55749,-1.86,0.193689,-2.96358,-1.13055,0.115259,0,-3.00588,-1.86,0.153101,-2.02821,-0.896613,0.0250374,0,-3.81059,-1.86,0.321236,-3.34091,-1.22284,0.307932,0,-2.88932,-1.86,0.203627,-1.8995,-1.06479,0.124566,0,
0.300007,-3.37079,-3.40511,0.289717,-2.68946,-3.54712,0.261804,-3.25493,-1.86,0.625425,-2.4977,-1.14651,0.786738,0,-2.88614,-1.86,0.744931,-1.90102,-1.07026,0.994332,0,-3.44729,-1.86,0.678311,-2.79522,-1.15819,0.863031,0,-3.69579,-1.86,0.45173,-3.16727,-1.26598,0.50221,0,-3.06056,-1.86,0.466941,-2.18496,-1.08862,0.546164,0,-4.01365,-1.86,0.574551,-3.66004,-1.2157,0.696606,0,-3.04965,-1.86,0.287434,-2.1406,-0.9847,0.259992,0,-3.54446,-1.86,0.311564,-2.9444,-1.26287,0.304903,0,-3.55348,-1.86,0.47684,-2.95215,-1.26237,0.540387,0,-3.66733,-1.86,0.156398,-3.12172,-1.27111,0.0664186,0,-3.46119,-1.86,0.241818,-2.81327,-1.20964,0.189444,0,-3.15524,-1.86,0.588451,-2.3042,-0.951522,0.762905,0,-3.11744,-1.86,0.195065,-2.26725,-1.06003,0.111358,0,-3.55749,-1.86,0.193689,-2.96066,-1.24817,0.122106,0,-3.00588,-1.86,0.153101,-2.05796,-0.976942,0.0338936,0,-3.81059,-1.86,0.321236,-3.33604,-1.24653,0.308835,0,-2.88932,-1.86,0.203627,-1.95224,-1.19058,0.137923,0,
