time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,
0,3.96664,-3.29479,0.222767,4.80647,-3.00601,0.12515,4.42353,-1.86,0.140272,5.89026,0.397463,-0.070536,0,4.08692,-1.86,0.574743,5.08688,0.338917,0.945715,0,4.45154,-1.86,0.619226,5.92782,0.311971,1.04197,0,4.0852,-1.86,0.693664,5.09331,0.46539,1.26446,0,3.93946,-1.86,0.50312,4.74251,0.369806,0.784776,0,4.11423,-1.86,0.330169,5.15815,0.412772,0.381065,0,3.7574,-1.86,0.361311,4.30507,0.432194,0.457146,0,4.29513,-1.86,0.279356,5.5772,0.360433,0.257925,0,3.68139,-1.86,0.528495,4.14853,0.303305,0.830308,0,3.67399,-1.86,0.102164,4.13688,0.276831,-0.150794,0,4.10986,-1.86,0.133876,5.15464,0.482011,-0.0909478,0,3.89893,-1.86,0.302469,4.64065,0.50793,0.320349,0,3.57103,-1.86,0.421532,3.89371,0.304384,0.58375,0,4.52637,-1.86,0.195345,6.12697,0.378913,0.0604578,0,3.81956,-1.86,0.461594,4.46722,0.30334,0.676008,0,4.1739,-1.86,0.639873,5.28942,0.337261,1.09707,0,4.33606,-1.86,0.0803835,5.69839,0.458099,-0.218616,0,3.75264,-1.86,0.217123,4.29788,0.40381,0.111737,0,
0.033334,3.99209,-3.29511,0.222624,4.82189,-3.00555,0.124718,4.42353,-1.86,0.140272,5.80408,0.189603,-0.0610766,0,4.08692,-1.86,0.574743,5.06068,0.181747,0.90531,0,4.45154,-1.86,0.619226,5.88002,0.206197,1.00971,0,4.0852,-1.86,0.693664,5.06512,0.311867,1.21115,0,3.93946,-1.86,0.50312,4.73295,0.214047,0.750671,0,4.11423,-1.86,0.330169,5.11537,0.171628,0.356074,0,3.7574,-1.86,0.361311,4.32025,0.20682,0.43314,0,4.29513,-1.86,0.279356,5.51549,0.163132,0.243241,0,3.68139,-1.86,0.528495,4.16392,0.181128,0.801829,0,3.67399,-1.86,0.102164,4.16058,0.104659,-0.138198,0,4.10986,-1.86,0.133876,5.11712,0.272368,-0.0810461,0,3.89893,-1.86,0.302469,4.63387,0.269526,0.30582,0,3.57103,-1.86,0.421532,3.92575,0.134365,0.556986,0,4.52637,-1.86,0.195345,6.03517,0.195391,0.0623797,0,3.81956,-1.86,0.461594,4.47314,0.12104,0.643809,0,4.1739,-1.86,0.639873,5.25666,0.194055,1.05007,0,4.33606,-1.86,0.0803835,5.64356,0.301302,-0.20622,0,3.75264,-1.86,0.217123,4.31148,0.216739,0.111702,0,
0.0666681,3.99209,-3.29511,0.222624,4.83288,-3.00516,0.124413,4.42353,-1.86,0.140272,5.73254,0.0203447,-0.0463846,0,4.08692,-1.86,0.574743,5.02437,-0.0129929,0.860541,0,4.45154,-1.86,0.619226,5.82275,0.0827558,0.987559,0,4.0852,-1.86,0.693664,5.02837,0.119237,1.15117,0,3.93946,-1.86,0.50312,4.71643,0.0140944,0.712547,0,4.11423,-1.86,0.330169,5.0776,-0.0282507,0.347462,0,3.7574,-1.86,0.361311,4.33234,-0.0034039,0.41075,0,4.29513,-1.86,0.279356,5.46348,0.00680566,0.240767,0,3.68139,-1.86,0.528495,4.17742,0.0123501,0.767853,0,3.67399,-1.86,0.102164,4.1793,-0.0787246,-0.12255,0,4.10986,-1.86,0.133876,5.08198,0.0927048,-0.0659348,0,3.89893,-1.86,0.302469,4.62521,0.0182362,0.293877,0,3.57103,-1.86,0.421532,3.96463,-0.086498,0.526068,0,4.52637,-1.86,0.195345,5.96187,0.0515177,0.0689782,0,3.81956,-1.86,0.461594,4.47395,-0.0619512,0.614091,0,4.1739,-1.86,0.639873,5.20999,0.0117459,1.0003,0,4.33606,-1.86,0.0803835,5.58375,0.142405,-0.187525,0,3.75264,-1.86,0.217123,4.32101,0.0296385,0.113009,0,
0.100002,4.00123,-3.29539,0.222344,4.84301,-3.0048,0.124131,4.42353,-1.86,0.140272,5.67386,-0.121133,-0.0441131,0,4.08692,-1.86,0.574743,5.00091,-0.149429,0.823355,0,4.45154,-1.86,0.619226,5.77782,-0.00931764,0.953749,0,4.0852,-1.86,0.693664,5.00637,-0.00446558,1.10779,0,3.93946,-1.86,0.50312,4.70667,-0.142001,0.677471,0,4.11423,-1.86,0.330169,5.05146,-0.169042,0.333269,0,3.7574,-1.86,0.361311,4.34167,-0.138766,0.391848,0,4.29513,-1.86,0.279356,5.4119,-0.15288,0.231865,0,3.68139,-1.86,0.528495,4.19134,-0.120476,0.733176,0,3.67399,-1.86,0.102164,4.19547,-0.219638,-0.108923,0,4.10986,-1.86,0.133876,5.05221,-0.0672228,-0.0598764,0,3.89893,-1.86,0.302469,4.62156,-0.128989,0.283233,0,3.57103,-1.86,0.421532,3.98572,-0.197395,0.513176,0,4.52637,-1.86,0.195345,5.88463,-0.103256,0.0693916,0,3.81956,-1.86,0.461594,4.47607,-0.199512,0.587601,0,4.1739,-1.86,0.639873,5.17899,-0.117552,0.959123,0,4.33606,-1.86,0.0803835,5.52446,-0.0263135,-0.176686,0,3.75264,-1.86,0.217123,4.3312,-0.130531,0.111995,0,
0.133336,4.00123,-3.29539,0.222344,4.85834,-3.00426,0.123704,4.42353,-1.86,0.140272,5.61173,-0.284094,-0.0328997,0,4.08692,-1.86,0.574743,4.98137,-0.28954,0.792441,0,4.45154,-1.86,0.619226,5.7407,-0.0986569,0.935804,0,4.0852,-1.86,0.693664,4.98494,-0.149303,1.06293,0,3.93946,-1.86,0.50312,4.7007,-0.33709,0.644429,0,4.11423,-1.86,0.330169,5.0293,-0.311935,0.324057,0,3.7574,-1.86,0.361311,4.35389,-0.272165,0.37639,0,4.29513,-1.86,0.279356,5.37169,-0.296394,0.230325,0,3.68139,-1.86,0.528495,4.21802,-0.314162,0.692679,0,3.67399,-1.86,0.102164,4.21777,-0.370104,-0.097927,0,4.10986,-1.86,0.133876,5.02786,-0.228245,-0.0474715,0,3.89893,-1.86,0.302469,4.62109,-0.274451,0.275524,0,3.57103,-1.86,0.421532,4.01853,-0.353624,0.489039,0,4.52637,-1.86,0.195345,5.81523,-0.256063,0.0747491,0,3.81956,-1.86,0.461594,4.48278,-0.34055,0.565664,0,4.1739,-1.86,0.639873,5.14176,-0.303138,0.91237,0,4.33606,-1.86,0.0803835,5.47712,-0.176289,-0.159209,0,3.75264,-1.86,0.217123,4.34703,-0.29171,0.11303,0,
0.16667,4.04715,-3.29573,0.2224,4.84301,-3.0048,0.124131,4.42353,-1.86,0.140272,5.5336,-0.419221,-0.0249935,0,4.08692,-1.86,0.574743,4.92988,-0.459978,0.748938,0,4.45154,-1.86,0.619226,5.66405,-0.209949,0.904363,0,4.0852,-1.86,0.693664,4.93415,-0.308925,1.00919,0,3.93946,-1.86,0.50312,4.66856,-0.540906,0.603949,0,4.11423,-1.86,0.330169,4.98011,-0.449376,0.315934,0,3.7574,-1.86,0.361311,4.33834,-0.413796,0.361743,0,4.29513,-1.86,0.279356,5.29858,-0.456331,0.221232,0,3.68139,-1.86,0.528495,4.20512,-0.413074,0.671034,0,3.67399,-1.86,0.102164,4.20848,-0.496887,-0.0880473,0,4.10986,-1.86,0.133876,4.97728,-0.380031,-0.0398729,0,3.89893,-1.86,0.302469,4.59259,-0.432535,0.266122,0,3.57103,-1.86,0.421532,4.00879,-0.437011,0.478397,0,4.52637,-1.86,0.195345,5.72836,-0.386858,0.0763191,0,3.81956,-1.86,0.461594,4.46422,-0.522925,0.533931,0,4.1739,-1.86,0.639873,5.08535,-0.450261,0.870068,0,4.33606,-1.86,0.0803835,5.39932,-0.335228,-0.14512,0,3.75264,-1.86,0.217123,4.33377,-0.44147,0.11198,0,
0.200004,4.04715,-3.29573,0.2224,4.88939,-3.0032,0.122839,4.42353,-1.86,0.140272,5.51609,-0.554858,-0.0169276,0,4.08692,-1.86,0.574743,4.9488,-0.574691,0.721711,0,4.45154,-1.86,0.619226,5.64189,-0.34237,0.867734,0,4.0852,-1.86,0.693664,4.95373,-0.412499,0.977122,0,3.93946,-1.86,0.50312,4.70105,-0.645256,0.585664,0,4.11423,-1.86,0.330169,4.99582,-0.565811,0.307403,0,3.7574,-1.86,0.361311,4.38333,-0.532321,0.355842,0,4.29513,-1.86,0.279356,5.30714,-0.546178,0.219886,0,3.68139,-1.86,0.528495,4.25297,-0.523855,0.650324,0,3.67399,-1.86,0.102164,4.26028,-0.616378,-0.0738533,0,4.10986,-1.86,0.133876,4.99159,-0.510296,-0.0304864,0,3.89893,-1.86,0.302469,4.62683,-0.545123,0.263606,0,3.57103,-1.86,0.421532,4.07143,-0.576972,0.461825,0,4.52637,-1.86,0.195345,5.70948,-0.500898,0.0786317,0,3.81956,-1.86,0.461594,4.50592,-0.649325,0.513175,0,4.1739,-1.86,0.639873,5.10011,-0.548705,0.845152,0,4.33606,-1.86,0.0803835,5.39426,-0.458687,-0.131359,0,3.75264,-1.86,0.217123,4.37944,-0.560221,0.114589,0,
0.233338,4.07354,-3.29597,0.222275,4.91681,-3.00219,0.122077,4.42353,-1.86,0.140272,5.49346,-0.657853,-0.0111283,0,4.08692,-1.86,0.574743,4.95002,-0.678339,0.696003,0,4.45154,-1.86,0.619226,5.60572,-0.4704,0.83242,0,4.0852,-1.86,0.693664,4.95036,-0.544679,0.931334,0,3.93946,-1.86,0.50312,4.71307,-0.758909,0.563226,0,4.11423,-1.86,0.330169,4.99719,-0.655793,0.300424,0,3.7574,-1.86,0.361311,4.41563,-0.693761,0.341933,0,4.29513,-1.86,0.279356,5.29187,-0.650798,0.214767,0,3.68139,-1.86,0.528495,4.28157,-0.621039,0.629754,0,3.67399,-1.86,0.102164,4.29098,-0.718277,-0.0679676,0,4.10986,-1.86,0.133876,4.99066,-0.622146,-0.0236946,0,3.89893,-1.86,0.302469,4.64209,-0.664885,0.254963,0,3.57103,-1.86,0.421532,4.10963,-0.678459,0.445144,0,4.52637,-1.86,0.195345,5.68262,-0.59336,0.0814503,0,3.81956,-1.86,0.461594,4.52993,-0.786025,0.490209,0,4.1739,-1.86,0.639873,5.09702,-0.634672,0.818801,0,4.33606,-1.86,0.0803835,5.37954,-0.553965,-0.12105,0,3.75264,-1.86,0.217123,4.40336,-0.649728,0.114743,0,
0.266672,4.07354,-3.29597,0.222275,4.93208,-3.00161,0.121653,4.42353,-1.86,0.140272,5.47802,-0.708172,-0.00764251,0,4.08692,-1.86,0.574743,4.94214,-0.765352,0.675572,0,4.45154,-1.86,0.619226,5.55571,-0.608607,0.793515,0,4.0852,-1.86,0.693664,4.94198,-0.639236,0.899612,0,3.93946,-1.86,0.50312,4.71486,-0.854973,0.544329,0,4.11423,-1.86,0.330169,4.98656,-0.749339,0.294998,0,3.7574,-1.86,0.361311,4.42967,-0.783567,0.332329,0,4.29513,-1.86,0.279356,5.27253,-0.733456,0.213916,0,3.68139,-1.86,0.528495,4.29644,-0.703192,0.61333,0,3.67399,-1.86,0.102164,4.30786,-0.804266,-0.0579709,0,4.10986,-1.86,0.133876,4.98111,-0.713819,-0.0170881,0,3.89893,-1.86,0.302469,4.6466,-0.76251,0.249883,0,3.57103,-1.86,0.421532,4.13067,-0.758873,0.435011,0,4.52637,-1.86,0.195345,5.6494,-0.673965,0.0830187,0,3.81956,-1.86,0.461594,4.53725,-0.839966,0.482937,0,4.1739,-1.86,0.639873,5.08323,-0.719014,0.794257,0,4.33606,-1.86,0.0803835,5.3571,-0.635708,-0.113603,0,3.75264,-1.86,0.217123,4.41533,-0.73861,0.115934,0,
0.300007,4.09997,-3.29603,0.22217,4.94432,-3.00102,0.121317,4.42353,-1.86,0.140272,5.4436,-0.7993,-0.00359347,0,4.08692,-1.86,0.574743,4.9281,-0.891526,0.64322,0,4.45154,-1.86,0.619226,5.50849,-0.736927,0.757108,0,4.0852,-1.86,0.693664,4.92913,-0.746347,0.863988,0,3.93946,-1.86,0.50312,4.71435,-0.959009,0.522732,0,4.11423,-1.86,0.330169,4.97124,-0.868604,0.285268,0,3.7574,-1.86,0.361311,4.4427,-0.89572,0.321806,0,4.29513,-1.86,0.279356,5.24986,-0.816662,0.208658,0,3.68139,-1.86,0.528495,4.31352,-0.812421,0.587461,0,3.67399,-1.86,0.102164,4.32644,-0.913506,-0.0534241,0,4.10986,-1.86,0.133876,4.96679,-0.825361,-0.0123504,0,3.89893,-1.86,0.302469,4.64939,-0.879971,0.242364,0,3.57103,-1.86,0.421532,4.15438,-0.861245,0.419362,0,4.52637,-1.86,0.195345,5.60972,-0.76399,0.0834836,0,3.81956,-1.86,0.461594,4.54333,-0.942233,0.465939,0,4.1739,-1.86,0.639873,5.06321,-0.828981,0.760726,0,4.33606,-1.86,0.0803835,5.32662,-0.737097,-0.103997,0,3.75264,-1.86,0.217123,4.42643,-0.83715,0.11492,0,
