time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,
0,-7.63191,-0.949504,0.316936,-7.32653,-1.20054,0.46991,-6.16,-1.2611,0.44172,-4.20429,-1.8615,0.734603,0,-6.16,-1.13078,0.674996,-4.08956,-1.5992,1.25734,0,-6.16,-0.749214,0.361302,-4.18798,-0.77346,0.564512,0,-6.16,-1.09076,0.153845,-4.14539,-1.50582,0.117434,0,-6.16,-1.11186,0.342618,-4.10275,-1.55613,0.526159,0,-6.16,-0.99758,0.359518,-3.95062,-1.3108,0.567575,0,-6.16,-1.42736,0.327779,-4.10513,-2.24637,0.493642,0,-6.16,-1.37705,0.526719,-4.14089,-2.12587,0.92394,0,-6.16,-0.652555,0.242807,-4.25964,-0.58181,0.315454,0,-6.16,-0.810154,0.496549,-4.10953,-0.895976,0.862471,0,-6.16,-1.05276,0.599617,-4.20024,-1.41985,1.07031,0,-6.16,-1.49622,0.204662,-4.16863,-2.37349,0.229034,0,-6.16,-1.39572,0.148865,-4.09745,-2.17945,0.101197,0,-6.16,-1.00747,0.250911,-4.31606,-1.3191,0.33487,0,-6.16,-0.80496,0.238212,-4.28187,-0.901546,0.30707,0,-6.16,-1.19018,0.101255,-4.12264,-1.72442,0.000441492,0,-6.16,-0.332366,0.306659,-4.08201,0.159816,0.447258,0,-6.16,-0.273255,0.163704,-4.305,0.187662,0.155356,0,-6.16,-0.499883,0.184328,-4.18141,-0.239805,0.186559,0,-6.16,-0.624101,0.145439,-4.12909,-0.493663,0.0973657,0,
0.033334,-7.63191,-0.949504,0.316936,-7.3258,-1.21236,0.469558,-6.16,-1.2611,0.44172,-4.37687,-1.81191,0.715422,0,-6.16,-1.13078,0.674996,-4.24415,-1.56726,1.2163,0,-6.16,-0.749214,0.361302,-4.37786,-0.786585,0.560157,0,-6.16,-1.09076,0.153845,-4.36122,-1.47064,0.137339,0,-6.16,-1.11186,0.342618,-4.26896,-1.52598,0.518236,0,-6.16,-0.99758,0.359518,-4.169,-1.28711,0.55757,0,-6.16,-1.42736,0.327779,-4.23592,-2.19071,0.487761,0,-6.16,-1.37705,0.526719,-4.2772,-2.07466,0.899082,0,-6.16,-0.652555,0.242807,-4.51104,-0.616022,0.32395,0,-6.16,-0.810154,0.496549,-4.28996,-0.899796,0.836603,0,-6.16,-1.05276,0.599617,-4.36454,-1.39778,1.0352,0,-6.16,-1.49622,0.204662,-4.29348,-2.31482,0.235125,0,-6.16,-1.39572,0.148865,-4.25574,-2.11835,0.116154,0,-6.16,-1.00747,0.250911,-4.4801,-1.30134,0.339456,0,-6.16,-0.80496,0.238212,-4.46014,-0.907457,0.313785,0,-6.16,-1.19018,0.101255,-4.36768,-1.66583,0.0327831,0,-6.16,-0.332366,0.306659,-4.21973,0.115956,0.444005,0,-6.16,-0.273255,0.163704,-4.40401,0.150046,0.155401,0,-6.16,-0.499883,0.184328,-4.32469,-0.271184,0.196494,0,-6.16,-0.624101,0.145439,-4.29097,-0.516572,0.111863,0,
0.0666681,-7.63101,-0.977308,0.316521,-7.32468,-1.22741,0.469104,-6.16,-1.2611,0.44172,-4.5163,-1.77231,0.699146,0,-6.16,-1.13078,0.674996,-4.36921,-1.54203,1.18131,0,-6.16,-0.749214,0.361302,-4.52977,-0.796992,0.551803,0,-6.16,-1.09076,0.153845,-4.5081,-1.4476,0.150992,0,-6.16,-1.11186,0.342618,-4.45752,-1.49214,0.50797,0,-6.16,-0.99758,0.359518,-4.36377,-1.26831,0.547661,0,-6.16,-1.42736,0.327779,-4.34468,-2.14558,0.482227,0,-6.16,-1.37705,0.526719,-4.39044,-2.03206,0.876384,0,-6.16,-0.652555,0.242807,-4.67054,-0.63978,0.327606,0,-6.16,-0.810154,0.496549,-4.40076,-0.903345,0.819602,0,-6.16,-1.05276,0.599617,-4.45251,-1.38735,1.00898,0,-6.16,-1.49622,0.204662,-4.40595,-2.26254,0.237959,0,-6.16,-1.39572,0.148865,-4.43027,-2.05094,0.131386,0,-6.16,-1.00747,0.250911,-4.60432,-1.28836,0.341469,0,-6.16,-0.80496,0.238212,-4.61085,-0.912378,0.318324,0,-6.16,-1.19018,0.101255,-4.53016,-1.62995,0.0529889,0,-6.16,-0.332366,0.306659,-4.38369,0.0627126,0.440535,0,-6.16,-0.273255,0.163704,-4.51573,0.111493,0.168836,0,-6.16,-0.499883,0.184328,-4.45883,-0.300938,0.204749,0,-6.16,-0.624101,0.145439,-4.43626,-0.537673,0.125001,0,
0.100002,-7.63101,-0.977308,0.316521,-7.32368,-1.2396,0.468734,-6.16,-1.2611,0.44172,-4.6337,-1.73641,0.689395,0,-6.16,-1.13078,0.674996,-4.61308,-1.49305,1.13019,0,-6.16,-0.749214,0.361302,-4.70263,-0.807201,0.551379,0,-6.16,-1.09076,0.153845,-4.64644,-1.42246,0.168867,0,-6.16,-1.11186,0.342618,-4.69575,-1.44975,0.510654,0,-6.16,-0.99758,0.359518,-4.54893,-1.24903,0.54176,0,-6.16,-1.42736,0.327779,-4.47123,-2.08987,0.486181,0,-6.16,-1.37705,0.526719,-4.53676,-1.97378,0.858212,0,-6.16,-0.652555,0.242807,-4.82231,-0.658483,0.336995,0,-6.16,-0.810154,0.496549,-4.49553,-0.902217,0.810316,0,-6.16,-1.05276,0.599617,-4.65847,-1.35386,0.974186,0,-6.16,-1.49622,0.204662,-4.54109,-2.19654,0.253537,0,-6.16,-1.39572,0.148865,-4.5784,-1.99267,0.152936,0,-6.16,-1.00747,0.250911,-4.6974,-1.27587,0.346179,0,-6.16,-0.80496,0.238212,-4.7549,-0.914931,0.326693,0,-6.16,-1.19018,0.101255,-4.64774,-1.60099,0.0688982,0,-6.16,-0.332366,0.306659,-4.50861,0.0230788,0.443227,0,-6.16,-0.273255,0.163704,-4.63644,0.0703322,0.176931,0,-6.16,-0.499883,0.184328,-4.56876,-0.32346,0.212167,0,-6.16,-0.624101,0.145439,-4.56435,-0.554078,0.142814,0,
0.133336,-7.63013,-1.00395,0.316129,-7.32247,-1.25476,0.468274,-6.16,-1.2611,0.44172,-4.74234,-1.70679,0.681342,0,-6.16,-1.13078,0.674996,-4.73493,-1.47415,1.09809,0,-6.16,-0.749214,0.361302,-4.80498,-0.817339,0.548369,0,-6.16,-1.09076,0.153845,-4.71639,-1.41368,0.172438,0,-6.16,-1.11186,0.342618,-4.88737,-1.4224,0.507963,0,-6.16,-0.99758,0.359518,-4.73518,-1.23521,0.534375,0,-6.16,-1.42736,0.327779,-4.55621,-2.05676,0.483456,0,-6.16,-1.37705,0.526719,-4.6652,-1.92859,0.840794,0,-6.16,-0.652555,0.242807,-4.8956,-0.671239,0.34234,0,-6.16,-0.810154,0.496549,-4.5946,-0.904715,0.798714,0,-6.16,-1.05276,0.599617,-4.77587,-1.34141,0.951349,0,-6.16,-1.49622,0.204662,-4.6444,-2.15153,0.257061,0,-6.16,-1.39572,0.148865,-4.68895,-1.95299,0.163063,0,-6.16,-1.00747,0.250911,-4.80265,-1.26515,0.350431,0,-6.16,-0.80496,0.238212,-4.86763,-0.920934,0.333139,0,-6.16,-1.19018,0.101255,-4.74624,-1.57919,0.085329,0,-6.16,-0.332366,0.306659,-4.63503,-0.0205747,0.446743,0,-6.16,-0.273255,0.163704,-4.72652,0.0357938,0.188855,0,-6.16,-0.499883,0.184328,-4.6638,-0.346108,0.218244,0,-6.16,-0.624101,0.145439,-4.72548,-0.580111,0.15901,0,
0.16667,-7.63048,-1.01423,0.315618,-7.32158,-1.26611,0.467931,-6.16,-1.2611,0.44172,-4.85593,-1.67388,0.673894,0,-6.16,-1.13078,0.674996,-4.89561,-1.44497,1.06566,0,-6.16,-0.749214,0.361302,-4.88302,-0.82145,0.542495,0,-6.16,-1.09076,0.153845,-4.84864,-1.38965,0.190474,0,-6.16,-1.11186,0.342618,-5.07496,-1.39415,0.50461,0,-6.16,-0.99758,0.359518,-4.86697,-1.22423,0.532278,0,-6.16,-1.42736,0.327779,-4.67806,-2.00516,0.483727,0,-6.16,-1.37705,0.526719,-4.81254,-1.87509,0.821949,0,-6.16,-0.652555,0.242807,-4.9887,-0.681512,0.348342,0,-6.16,-0.810154,0.496549,-4.71165,-0.905965,0.786954,0,-6.16,-1.05276,0.599617,-4.91215,-1.32238,0.925059,0,-6.16,-1.49622,0.204662,-4.74168,-2.10569,0.266716,0,-6.16,-1.39572,0.148865,-4.79147,-1.91308,0.17878,0,-6.16,-1.00747,0.250911,-4.9093,-1.25276,0.356604,0,-6.16,-0.80496,0.238212,-5.01528,-0.926086,0.339641,0,-6.16,-1.19018,0.101255,-4.85634,-1.55248,0.105494,0,-6.16,-0.332366,0.306659,-4.73677,-0.0539534,0.4489,0,-6.16,-0.273255,0.163704,-4.80096,0.010082,0.199967,0,-6.16,-0.499883,0.184328,-4.71724,-0.3567,0.226753,0,-6.16,-0.624101,0.145439,-4.84676,-0.599064,0.174635,0,
0.200004,-7.63048,-1.01423,0.315618,-7.32078,-1.27594,0.467633,-6.16,-1.2611,0.44172,-4.94604,-1.64781,0.663248,0,-6.16,-1.13078,0.674996,-5.01227,-1.42376,1.0335,0,-6.16,-0.749214,0.361302,-4.98847,-0.827391,0.535451,0,-6.16,-1.09076,0.153845,-4.96738,-1.37087,0.201525,0,-6.16,-1.11186,0.342618,-5.18357,-1.37784,0.502173,0,-6.16,-0.99758,0.359518,-4.97969,-1.21403,0.526352,0,-6.16,-1.42736,0.327779,-4.79025,-1.95988,0.479947,0,-6.16,-1.37705,0.526719,-4.95954,-1.82354,0.798081,0,-6.16,-0.652555,0.242807,-5.1109,-0.697537,0.352019,0,-6.16,-0.810154,0.496549,-4.82972,-0.908504,0.768558,0,-6.16,-1.05276,0.599617,-5.01239,-1.3089,0.904096,0,-6.16,-1.49622,0.204662,-4.85501,-2.05368,0.272459,0,-6.16,-1.39572,0.148865,-4.89711,-1.87247,0.187695,0,-6.16,-1.00747,0.250911,-5.0133,-1.24129,0.358398,0,-6.16,-0.80496,0.238212,-5.17538,-0.93504,0.343319,0,-6.16,-1.19018,0.101255,-4.98254,-1.52335,0.122118,0,-6.16,-0.332366,0.306659,-4.84658,-0.0897003,0.446136,0,-6.16,-0.273255,0.163704,-4.89089,-0.0205209,0.210601,0,-6.16,-0.499883,0.184328,-4.80608,-0.373372,0.229811,0,-6.16,-0.624101,0.145439,-4.95244,-0.614853,0.18394,0,
0.233338,-7.63048,-1.01423,0.315618,-7.31956,-1.29084,0.46718,-6.16,-1.2611,0.44172,-5.04166,-1.62474,0.65187,0,-6.16,-1.13078,0.674996,-5.08316,-1.41443,1.01355,0,-6.16,-0.749214,0.361302,-5.11079,-0.841486,0.528312,0,-6.16,-1.09076,0.153845,-5.06095,-1.36043,0.209809,0,-6.16,-1.11186,0.342618,-5.24892,-1.37077,0.499761,0,-6.16,-0.99758,0.359518,-5.03135,-1.21273,0.526816,0,-6.16,-1.42736,0.327779,-4.84544,-1.94121,0.478152,0,-6.16,-1.37705,0.526719,-5.04629,-1.79745,0.783744,0,-6.16,-0.652555,0.242807,-5.1942,-0.713539,0.354963,0,-6.16,-0.810154,0.496549,-4.93281,-0.915612,0.754696,0,-6.16,-1.05276,0.599617,-5.09142,-1.3019,0.886248,0,-6.16,-1.49622,0.204662,-4.93227,-2.02263,0.277526,0,-6.16,-1.39572,0.148865,-4.94461,-1.85852,0.189583,0,-6.16,-1.00747,0.250911,-5.09444,-1.23664,0.360791,0,-6.16,-0.80496,0.238212,-5.23903,-0.942463,0.347294,0,-6.16,-1.19018,0.101255,-5.0738,-1.50717,0.13492,0,-6.16,-0.332366,0.306659,-4.91839,-0.11747,0.444678,0,-6.16,-0.273255,0.163704,-4.95031,-0.0450338,0.214224,0,-6.16,-0.499883,0.184328,-4.89377,-0.396136,0.235954,0,-6.16,-0.624101,0.145439,-5.07369,-0.638607,0.194552,0,
0.266672,-7.62777,-1.0608,0.315398,-7.31682,-1.32189,0.466233,-6.16,-1.2611,0.44172,-5.13703,-1.6144,0.644191,0,-6.16,-1.13078,0.674996,-5.21693,-1.40738,0.979301,0,-6.16,-0.749214,0.361302,-5.20043,-0.865518,0.525668,0,-6.16,-1.09076,0.153845,-5.12698,-1.36552,0.215014,0,-6.16,-1.11186,0.342618,-5.31902,-1.37449,0.499859,0,-6.16,-0.99758,0.359518,-5.12622,-1.21891,0.524423,0,-6.16,-1.42736,0.327779,-4.93174,-1.91938,0.479349,0,-6.16,-1.37705,0.526719,-5.12628,-1.78379,0.772763,0,-6.16,-0.652555,0.242807,-5.28288,-0.742629,0.362085,0,-6.16,-0.810154,0.496549,-5.01651,-0.934231,0.741134,0,-6.16,-1.05276,0.599617,-5.16012,-1.30796,0.875532,0,-6.16,-1.49622,0.204662,-5.03414,-1.99156,0.286807,0,-6.16,-1.39572,0.148865,-5.02557,-1.84062,0.200784,0,-6.16,-1.00747,0.250911,-5.17256,-1.24422,0.364384,0,-6.16,-0.80496,0.238212,-5.31044,-0.960715,0.351239,0,-6.16,-1.19018,0.101255,-5.16644,-1.50242,0.150205,0,-6.16,-0.332366,0.306659,-4.99284,-0.156627,0.44617,0,-6.16,-0.273255,0.163704,-5.04329,-0.0935847,0.221327,0,-6.16,-0.499883,0.184328,-4.99454,-0.434913,0.244556,0,-6.16,-0.624101,0.145439,-5.20891,-0.679476,0.208038,0,
0.300006,-7.62657,-1.08785,0.31504,-7.31545,-1.33708,0.465769,-6.16,-1.2611,0.44172,-5.19627,-1.60258,0.638289,0,-6.16,-1.13078,0.674996,-5.27393,-1.40261,0.965501,0,-6.16,-0.749214,0.361302,-5.28119,-0.877073,0.527023,0,-6.16,-1.09076,0.153845,-5.2013,-1.35778,0.222907,0,-6.16,-1.11186,0.342618,-5.37979,-1.36859,0.499667,0,-6.16,-0.99758,0.359518,-5.20021,-1.21722,0.52227,0,-6.16,-1.42736,0.327779,-5.00629,-1.89413,0.479958,0,-6.16,-1.37705,0.526719,-5.1588,-1.77564,0.768351,0,-6.16,-0.652555,0.242807,-5.33641,-0.754653,0.367096,0,-6.16,-0.810154,0.496549,-5.0822,-0.940063,0.734302,0,-6.16,-1.05276,0.599617,-5.19918,-1.30574,0.867641,0,-6.16,-1.49622,0.204662,-5.1156,-1.96083,0.293967,0,-6.16,-1.39572,0.148865,-5.13563,-1.80579,0.213168,0,-6.16,-1.00747,0.250911,-5.24448,-1.24141,0.367943,0,-6.16,-0.80496,0.238212,-5.36541,-0.966781,0.355911,0,-6.16,-1.19018,0.101255,-5.24035,-1.49095,0.162653,0,-6.16,-0.332366,0.306659,-5.05396,-0.180676,0.447292,0,-6.16,-0.273255,0.163704,-5.10801,-0.122263,0.231932,0,-6.16,-0.499883,0.184328,-5.11834,-0.471033,0.259126,0,-6.16,-0.624101,0.145439,-5.2712,-0.695099,0.21649,0,
