time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,
0,4.65442,3.4704,0.231568,4.75766,3.44076,0.331756,4.90991,1.86,0.510056,5.23584,0.426712,0.852978,0,4.26802,1.86,0.515093,4.05723,0.521553,0.845708,0,4.91094,1.86,0.668957,5.22728,0.492585,1.13249,0,4.27241,1.86,0.3781,4.06211,0.508598,0.598557,0,4.30525,1.86,0.175509,4.12375,0.517155,0.229984,0,4.90714,1.86,0.244692,5.22641,0.453813,0.356098,0,5.08371,1.86,0.557867,5.46433,0.789845,0.868884,0,4.47581,1.86,0.572866,4.42223,0.416384,0.972723,0,4.3424,1.86,0.029919,4.17823,0.450146,-0.0427199,0,4.15761,1.86,0.594731,3.86614,0.550908,0.98345,0,4.6488,1.86,0.607358,4.74749,0.524958,1.01216,0,4.91107,1.86,0.385811,5.23083,0.471814,0.61612,0,4.39244,1.86,0.407412,4.29217,0.579295,0.644208,0,4.03893,1.86,0.227008,3.62274,0.471292,0.323348,0,5.0851,1.86,0.426768,5.53603,0.530263,0.684544,0,4.0943,1.86,0.3401,3.76027,0.573142,0.525017,0,4.57907,1.86,0.365902,4.61735,0.441987,0.581903,0,5.18964,1.86,0.495082,5.66627,0.706892,0.779107,0,5.1954,1.86,0.34349,5.74392,0.504881,0.535797,0,5.11474,1.86,0.196656,5.60507,0.47619,0.267486,0,4.51837,1.86,0.0544071,4.50482,0.447952,0.00251481,0,5.17218,1.86,0.659923,5.67112,0.599601,1.08748,0,4.15192,1.86,0.479403,3.902,0.698587,0.753768,0,4.98663,1.86,-0.00910175,5.36539,0.494789,-0.108512,0,4.55859,1.86,0.169298,4.57071,0.299061,0.210273,0,5.08407,1.86,0.0707664,5.55846,0.439247,0.0320481,0,4.1846,1.86,0.269324,3.90148,0.506029,0.400561,0,4.99107,1.86,0.161486,5.36757,0.523224,0.204789,0,
0.0333341,4.62709,3.47123,0.232172,4.7302,3.44101,0.332374,4.90991,1.86,0.510056,5.20804,0.513369,0.839776,0,4.26802,1.86,0.515093,4.05595,0.587023,0.835101,0,4.91094,1.86,0.668957,5.19996,0.57232,1.10915,0,4.27241,1.86,0.3781,4.07857,0.625289,0.588511,0,4.30525,1.86,0.175509,4.13069,0.615167,0.229401,0,4.90714,1.86,0.244692,5.19707,0.547257,0.355586,0,5.08371,1.86,0.557867,5.43512,0.830506,0.861579,0,4.47581,1.86,0.572866,4.41782,0.489106,0.957926,0,4.3424,1.86,0.029919,4.20942,0.644311,-0.0194793,0,4.15761,1.86,0.594731,3.87603,0.633472,0.96207,0,4.6488,1.86,0.607358,4.73439,0.614128,0.990707,0,4.91107,1.86,0.385811,5.20357,0.548039,0.606703,0,4.39244,1.86,0.407412,4.28112,0.628757,0.638372,0,4.03893,1.86,0.227008,3.63047,0.539227,0.319898,0,5.0851,1.86,0.426768,5.49968,0.619408,0.674702,0,4.0943,1.86,0.3401,3.78031,0.667527,0.513867,0,4.57907,1.86,0.365902,4.60849,0.5419,0.572908,0,5.18964,1.86,0.495082,5.63159,0.767509,0.769944,0,5.1954,1.86,0.34349,5.69991,0.591195,0.529593,0,5.11474,1.86,0.196656,5.55709,0.601149,0.271432,0,4.51837,1.86,0.0544071,4.4988,0.550439,0.0119495,0,5.17218,1.86,0.659923,5.62804,0.689254,1.06398,0,4.15192,1.86,0.479403,3.91249,0.777096,0.745092,0,4.98663,1.86,-0.00910175,5.3299,0.601415,-0.0978692,0,4.55859,1.86,0.169298,4.56357,0.408282,0.213704,0,5.08407,1.86,0.0707664,5.52113,0.526387,0.0401572,0,4.1846,1.86,0.269324,3.91795,0.6025,0.397233,0,4.99107,1.86,0.161486,5.33039,0.615745,0.210237,0,
0.0666681,4.6164,3.47179,0.232105,4.71942,3.44122,0.332622,4.90991,1.86,0.510056,5.2135,0.573853,0.826019,0,4.26802,1.86,0.515093,4.07764,0.621768,0.826426,0,4.91094,1.86,0.668957,5.20583,0.626384,1.09244,0,4.27241,1.86,0.3781,4.10569,0.68114,0.581987,0,4.30525,1.86,0.175509,4.16351,0.692459,0.226217,0,4.90714,1.86,0.244692,5.2016,0.624357,0.353025,0,5.08371,1.86,0.557867,5.43573,0.889941,0.847045,0,4.47581,1.86,0.572866,4.43427,0.523846,0.948877,0,4.3424,1.86,0.029919,4.23796,0.723138,-0.012739,0,4.15761,1.86,0.594731,3.89758,0.665661,0.959939,0,4.6488,1.86,0.607358,4.74744,0.659741,0.979752,0,4.91107,1.86,0.385811,5.20927,0.602407,0.598373,0,4.39244,1.86,0.407412,4.30336,0.673369,0.63109,0,4.03893,1.86,0.227008,3.6656,0.586993,0.318656,0,5.0851,1.86,0.426768,5.49769,0.686449,0.663663,0,4.0943,1.86,0.3401,3.81038,0.713264,0.509423,0,4.57907,1.86,0.365902,4.62641,0.606747,0.565127,0,5.18964,1.86,0.495082,5.63315,0.79951,0.763762,0,5.1954,1.86,0.34349,5.69285,0.664152,0.525353,0,5.11474,1.86,0.196656,5.55226,0.670794,0.272611,0,4.51837,1.86,0.0544071,4.50794,0.566344,0.0122055,0,5.17218,1.86,0.659923,5.62654,0.734779,1.05006,0,4.15192,1.86,0.479403,3.9429,0.827506,0.732157,0,4.98663,1.86,-0.00910175,5.33125,0.664057,-0.0918941,0,4.55859,1.86,0.169298,4.58095,0.470161,0.209901,0,5.08407,1.86,0.0707664,5.52359,0.561415,0.0415433,0,4.1846,1.86,0.269324,3.95416,0.66949,0.394884,0,4.99107,1.86,0.161486,5.33308,0.669466,0.213464,0,
0.100002,4.58865,3.47279,0.232725,4.70372,3.44159,0.332984,4.90991,1.86,0.510056,5.20956,0.635338,0.814281,0,4.26802,1.86,0.515093,4.09769,0.676614,0.818602,0,4.91094,1.86,0.668957,5.20155,0.704626,1.07124,0,4.27241,1.86,0.3781,4.12988,0.752832,0.577607,0,4.30525,1.86,0.175509,4.18249,0.754542,0.231384,0,4.90714,1.86,0.244692,5.19667,0.682657,0.357536,0,5.08371,1.86,0.557867,5.42967,0.916179,0.839893,0,4.47581,1.86,0.572866,4.44128,0.556189,0.939896,0,4.3424,1.86,0.029919,4.24755,0.762578,-0.00874922,0,4.15761,1.86,0.594731,3.9221,0.71965,0.944717,0,4.6488,1.86,0.607358,4.75662,0.747188,0.962032,0,4.91107,1.86,0.385811,5.20528,0.665559,0.590373,0,4.39244,1.86,0.407412,4.318,0.727815,0.626034,0,4.03893,1.86,0.227008,3.6983,0.650882,0.321268,0,5.0851,1.86,0.426768,5.48734,0.744436,0.65557,0,4.0943,1.86,0.3401,3.82739,0.750789,0.505923,0,4.57907,1.86,0.365902,4.6339,0.663587,0.560332,0,5.18964,1.86,0.495082,5.61938,0.865362,0.751133,0,5.1954,1.86,0.34349,5.67687,0.730904,0.52055,0,5.11474,1.86,0.196656,5.54146,0.72524,0.273665,0,4.51837,1.86,0.0544071,4.51807,0.610427,0.0179978,0,5.17218,1.86,0.659923,5.61711,0.779121,1.03696,0,4.15192,1.86,0.479403,3.95335,0.855047,0.727038,0,4.98663,1.86,-0.00910175,5.32402,0.730848,-0.0798698,0,4.55859,1.86,0.169298,4.58815,0.51741,0.212797,0,5.08407,1.86,0.0707664,5.51521,0.62132,0.048096,0,4.1846,1.86,0.269324,3.98539,0.74964,0.39288,0,4.99107,1.86,0.161486,5.3287,0.7019,0.215787,0,
0.133336,4.56172,3.47386,0.233288,4.69155,3.44161,0.333255,4.90991,1.86,0.510056,5.21016,0.726051,0.801231,0,4.26802,1.86,0.515093,4.12957,0.749734,0.806033,0,4.91094,1.86,0.668957,5.20262,0.773236,1.05136,0,4.27241,1.86,0.3781,4.17036,0.858463,0.569261,0,4.30525,1.86,0.175509,4.21123,0.827087,0.231902,0,4.90714,1.86,0.244692,5.19662,0.779635,0.35823,0,5.08371,1.86,0.557867,5.42092,1.01281,0.822688,0,4.47581,1.86,0.572866,4.47532,0.683856,0.912346,0,4.3424,1.86,0.029919,4.28813,0.880648,0.00689796,0,4.15761,1.86,0.594731,3.94799,0.765511,0.932684,0,4.6488,1.86,0.607358,4.76779,0.812346,0.946489,0,4.91107,1.86,0.385811,5.20748,0.728641,0.586272,0,4.39244,1.86,0.407412,4.3392,0.784679,0.618732,0,4.03893,1.86,0.227008,3.73083,0.702999,0.319151,0,5.0851,1.86,0.426768,5.47788,0.837501,0.645347,0,4.0943,1.86,0.3401,3.87747,0.843592,0.49974,0,4.57907,1.86,0.365902,4.65257,0.752868,0.552611,0,5.18964,1.86,0.495082,5.6031,0.960661,0.735691,0,5.1954,1.86,0.34349,5.66655,0.801799,0.517408,0,5.11474,1.86,0.196656,5.53404,0.800869,0.275951,0,4.51837,1.86,0.0544071,4.54819,0.742979,0.0324772,0,5.17218,1.86,0.659923,5.60888,0.851426,1.01982,0,4.15192,1.86,0.479403,3.99954,0.947418,0.715412,0,4.98663,1.86,-0.00910175,5.32176,0.805186,-0.0689933,0,4.55859,1.86,0.169298,4.61398,0.642156,0.217463,0,5.08407,1.86,0.0707664,5.50203,0.73768,0.0571831,0,4.1846,1.86,0.269324,4.03774,0.871923,0.389628,0,4.99107,1.86,0.161486,5.32121,0.829417,0.217828,0,
0.16667,4.56172,3.47386,0.233288,4.67603,3.44194,0.333611,4.90991,1.86,0.510056,5.03727,1.63569,0.643297,0,4.26802,1.86,0.515093,4.31698,1.64473,0.649483,0,4.91094,1.86,0.668957,5.0335,1.66606,0.811331,0,4.27241,1.86,0.3781,4.33183,1.67056,0.495124,0,4.30525,1.86,0.175509,4.36124,1.64918,0.265087,0,4.90714,1.86,0.244692,5.03021,1.65996,0.34932,0,5.08371,1.86,0.557867,5.20226,1.74076,0.675045,0,4.47581,1.86,0.572866,4.5406,1.54386,0.731817,0,4.3424,1.86,0.029919,4.40459,1.63253,0.102754,0,4.15761,1.86,0.594731,4.16887,1.56273,0.755468,0,4.6488,1.86,0.607358,4.745,1.61385,0.759556,0,4.91107,1.86,0.385811,5.03819,1.63461,0.502239,0,4.39244,1.86,0.407412,4.45131,1.62333,0.527962,0,4.03893,1.86,0.227008,4.09211,1.72903,0.324954,0,5.0851,1.86,0.426768,5.22628,1.66747,0.545656,0,4.0943,1.86,0.3401,4.13057,1.65924,0.449427,0,4.57907,1.86,0.365902,4.66456,1.59829,0.48431,0,5.18964,1.86,0.495082,5.32969,1.69966,0.615726,0,5.1954,1.86,0.34349,5.34822,1.66026,0.453679,0,5.11474,1.86,0.196656,5.2679,1.63606,0.294069,0,4.51837,1.86,0.0544071,4.59534,1.61205,0.128192,0,5.17218,1.86,0.659923,5.32059,1.66945,0.803164,0,4.15192,1.86,0.479403,4.19992,1.67726,0.602387,0,4.98663,1.86,-0.00910175,5.12178,1.64531,0.0610936,0,4.55859,1.86,0.169298,4.64587,1.68566,0.259285,0,5.08407,1.86,0.0707664,5.21148,1.71454,0.158664,0,4.1846,1.86,0.269324,4.25994,1.75695,0.370282,0,4.99107,1.86,0.161486,5.12634,1.63429,0.25486,0,
0.200004,4.55086,3.4745,0.23318,4.66449,3.44205,0.333871,4.90991,1.86,0.510056,5.05147,1.61358,0.647791,0,4.26802,1.86,0.515093,4.32243,1.62693,0.654181,0,4.91094,1.86,0.668957,5.04652,1.64567,0.817723,0,4.27241,1.86,0.3781,4.34082,1.65253,0.493345,0,4.30525,1.86,0.175509,4.36893,1.6355,0.264707,0,4.90714,1.86,0.244692,5.04438,1.6371,0.349323,0,5.08371,1.86,0.557867,5.22649,1.69405,0.68434,0,4.47581,1.86,0.572866,4.55022,1.54412,0.732784,0,4.3424,1.86,0.029919,4.41386,1.6265,0.102477,0,4.15761,1.86,0.594731,4.17423,1.54039,0.762625,0,4.6488,1.86,0.607358,4.75418,1.61738,0.758488,0,4.91107,1.86,0.385811,5.05343,1.61224,0.504563,0,4.39244,1.86,0.407412,4.45955,1.61839,0.530165,0,4.03893,1.86,0.227008,4.08097,1.66942,0.324564,0,5.0851,1.86,0.426768,5.25399,1.61082,0.55304,0,4.0943,1.86,0.3401,4.12863,1.6377,0.450965,0,4.57907,1.86,0.365902,4.67529,1.60293,0.484979,0,5.18964,1.86,0.495082,5.36929,1.62683,0.628087,0,5.1954,1.86,0.34349,5.39239,1.57147,0.459518,0,5.11474,1.86,0.196656,5.29985,1.57026,0.292413,0,4.51837,1.86,0.0544071,4.6049,1.61552,0.129722,0,5.17218,1.86,0.659923,5.35746,1.59831,0.82135,0,4.15192,1.86,0.479403,4.20557,1.65589,0.60615,0,4.98663,1.86,-0.00910175,5.14082,1.6086,0.0552548,0,4.55859,1.86,0.169298,4.65416,1.63988,0.256498,0,5.08407,1.86,0.0707664,5.23719,1.64861,0.151787,0,4.1846,1.86,0.269324,4.26554,1.73655,0.371669,0,4.99107,1.86,0.161486,5.14813,1.59886,0.252105,0,
0.233338,4.52289,3.47601,0.233766,4.65401,3.44228,0.334113,4.90991,1.86,0.510056,4.9925,1.91841,0.596441,0,4.26802,1.86,0.515093,4.33935,1.65645,0.647321,0,4.91094,1.86,0.668957,4.99251,1.9213,0.744178,0,4.27241,1.86,0.3781,4.355,1.68507,0.490008,0,4.30525,1.86,0.175509,4.3823,1.66154,0.264745,0,4.90714,1.86,0.244692,4.98786,1.92953,0.348351,0,5.08371,1.86,0.557867,5.13935,1.98063,0.628424,0,4.47581,1.86,0.572866,4.56065,1.55148,0.732282,0,4.3424,1.86,0.029919,4.47274,2.00055,0.149494,0,4.15761,1.86,0.594731,4.1898,1.58056,0.749748,0,4.6488,1.86,0.607358,4.74469,1.91099,0.689506,0,4.91107,1.86,0.385811,4.99247,1.92361,0.477563,0,4.39244,1.86,0.407412,4.46967,1.63317,0.528627,0,4.03893,1.86,0.227008,4.10285,1.71678,0.324033,0,5.0851,1.86,0.426768,5.1564,1.92907,0.516628,0,4.0943,1.86,0.3401,4.148,1.67711,0.448802,0,4.57907,1.86,0.365902,4.67956,1.93711,0.458449,0,5.18964,1.86,0.495082,5.24101,1.96946,0.573425,0,5.1954,1.86,0.34349,5.25428,1.94233,0.435603,0,5.11474,1.86,0.196656,5.18687,1.92034,0.300596,0,4.51837,1.86,0.0544071,4.61892,1.91703,0.165896,0,5.17218,1.86,0.659923,5.2325,1.94616,0.732043,0,4.15192,1.86,0.479403,4.22524,1.69712,0.600331,0,4.98663,1.86,-0.00910175,5.06007,1.94861,0.105901,0,4.55859,1.86,0.169298,4.6628,1.64304,0.257985,0,5.08407,1.86,0.0707664,5.15459,1.92295,0.179738,0,4.1846,1.86,0.269324,4.28045,1.77353,0.37128,0,4.99107,1.86,0.161486,5.06262,1.94642,0.267936,0,
0.266672,4.52289,3.47601,0.233766,4.62595,3.44312,0.334767,4.90991,1.86,0.510056,4.99874,1.79856,0.618051,0,4.26802,1.86,0.515093,4.32292,1.6858,0.646053,0,4.91094,1.86,0.668957,4.99899,1.79528,0.779308,0,4.27241,1.86,0.3781,4.34297,1.73182,0.485912,0,4.30525,1.86,0.175509,4.36131,1.66856,0.271713,0,4.90714,1.86,0.244692,4.994,1.80804,0.34932,0,5.08371,1.86,0.557867,5.15918,1.86775,0.651078,0,4.47581,1.86,0.572866,4.54822,1.62826,0.720309,0,4.3424,1.86,0.029919,4.43463,1.87586,0.135652,0,4.15761,1.86,0.594731,4.18254,1.61973,0.74593,0,4.6488,1.86,0.607358,4.73044,1.79453,0.71816,0,4.91107,1.86,0.385811,4.99816,1.8227,0.487339,0,4.39244,1.86,0.407412,4.45774,1.67924,0.527756,0,4.03893,1.86,0.227008,4.0903,1.73429,0.328011,0,5.0851,1.86,0.426768,5.18051,1.79887,0.531569,0,4.0943,1.86,0.3401,4.12799,1.66762,0.452535,0,4.57907,1.86,0.365902,4.66144,1.83108,0.468823,0,5.18964,1.86,0.495082,5.28107,1.81056,0.59906,0,5.1954,1.86,0.34349,5.29529,1.78756,0.445736,0,5.11474,1.86,0.196656,5.21669,1.77695,0.299048,0,4.51837,1.86,0.0544071,4.5936,1.78947,0.153496,0,5.17218,1.86,0.659923,5.2681,1.79877,0.770016,0,4.15192,1.86,0.479403,4.22449,1.76686,0.594026,0,4.98663,1.86,-0.00910175,5.07366,1.81622,0.086299,0,4.55859,1.86,0.169298,4.64426,1.67545,0.261038,0,5.08407,1.86,0.0707664,5.18239,1.76795,0.165197,0,4.1846,1.86,0.269324,4.28841,1.86209,0.370784,0,4.99107,1.86,0.161486,5.07693,1.80973,0.263967,0,
0.300007,4.49572,3.47714,0.234327,4.61032,3.4437,0.335135,4.90991,1.86,0.510056,4.98962,1.81445,0.615415,0,4.26802,1.86,0.515093,4.30483,1.5994,0.659304,0,4.91094,1.86,0.668957,4.98864,1.80935,0.77537,0,4.27241,1.86,0.3781,4.3348,1.72441,0.483376,0,4.30525,1.86,0.175509,4.3557,1.66253,0.268583,0,4.90714,1.86,0.244692,4.98441,1.82412,0.350716,0,5.08371,1.86,0.557867,5.14019,1.89904,0.645122,0,4.47581,1.86,0.572866,4.55208,1.60623,0.7268,0,4.3424,1.86,0.029919,4.43097,1.87873,0.135537,0,4.15761,1.86,0.594731,4.17162,1.61425,0.745227,0,4.6488,1.86,0.607358,4.72525,1.79415,0.718945,0,4.91107,1.86,0.385811,5.00921,1.75271,0.492736,0,4.39244,1.86,0.407412,4.45232,1.67464,0.529633,0,4.03893,1.86,0.227008,4.06108,1.65748,0.327176,0,5.0851,1.86,0.426768,5.16234,1.83598,0.527317,0,4.0943,1.86,0.3401,4.12748,1.66354,0.449202,0,4.57907,1.86,0.365902,4.65518,1.82913,0.468549,0,5.18964,1.86,0.495082,5.25331,1.86454,0.591076,0,5.1954,1.86,0.34349,5.26594,1.84641,0.442486,0,5.11474,1.86,0.196656,5.19413,1.82177,0.301901,0,4.51837,1.86,0.0544071,4.58822,1.78741,0.152788,0,5.17218,1.86,0.659923,5.24211,1.84714,0.758504,0,4.15192,1.86,0.479403,4.2169,1.75749,0.596195,0,4.98663,1.86,-0.00910175,5.06092,1.84205,0.0933582,0,4.55859,1.86,0.169298,4.64194,1.62593,0.259357,0,5.08407,1.86,0.0707664,5.16433,1.80395,0.170157,0,4.1846,1.86,0.269324,4.26361,1.77862,0.37224,0,4.99107,1.86,0.161486,5.06441,1.83749,0.264331,0,
