time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,
0,-7.58507,-2.03746,0.304591,-7.26004,-2.18457,0.67063,-6.16,-1.34353,0.434422,-5.02874,-1.09807,0.873913,0,-6.16,-1.33486,0.245518,-4.94845,-1.04489,0.574807,0,-6.16,-1.35736,0.691076,-5.15241,-1.17873,1.24223,0,-5.58832,-1.86,0.831483,-5.06391,-1.9894,1.25014,0,-6.16,-1.21571,0.66067,-5.07697,-0.925735,1.21611,0,-6.16,-1.20647,0.290538,-5.02564,-0.881645,0.648595,0,-6.16,-1.09431,0.63229,-5.00246,-0.690439,1.18977,0,-6.16,-1.20581,0.4348,-5.04703,-0.893099,0.872833,0,-6.16,-1.71974,0.65292,-5.07446,-1.6973,1.20485,0,-6.16,-1.3233,0.587722,-5.0457,-1.07488,1.11057,0,-6.16,-1.45083,0.52376,-4.99815,-1.25347,1.0185,0,-5.91581,-1.86,0.531868,-5.01101,-1.94548,0.976846,0,-6.16,-1.09365,0.396542,-5.00869,-0.693529,0.815896,0,-6.16,-1.58078,0.407231,-4.94431,-1.44248,0.837419,0,-6.16,-1.42744,0.306789,-5.05027,-1.23866,0.674038,0,-6.10674,-1.86,0.30045,-4.98669,-1.91168,0.664262,0,-6.16,-1.32196,0.138669,-5.01407,-1.05692,0.409128,0,-6.16,-1.16803,0.152606,-4.95221,-0.776586,0.424496,0,-6.16,-1.6805,0.36038,-5.14453,-1.65467,0.753449,0,-6.16,-1.47176,0.692093,-5.15014,-1.34702,1.24435,0,-6.16,-1.21515,0.559954,-5.02035,-0.892203,1.07197,0,-6.16,-1.61612,0.26332,-5.09386,-1.54412,0.607895,0,-6.16,-1.09795,0.514974,-5.09345,-0.756199,0.990484,0,-6.16,-1.59668,0.707485,-5.13362,-1.52687,1.27181,0,-6.16,-1.84916,0.157633,-4.99324,-1.88505,0.436869,0,-6.16,-1.05191,0.241789,-5.06202,-0.664465,0.573764,0,-6.16,-1.08135,0.749085,-5.06251,-0.710205,1.35607,0,-6.16,-1.7245,0.105691,-5.02936,-1.6947,0.359288,0,-6.16,-1.79206,0.556756,-5.01662,-1.79826,1.0676,0,-6.16,-1.04868,0.0973519,-4.99585,-0.613578,0.341361,0,-6.16,-1.45082,0.418263,-5.04928,-1.27451,0.846974,0,-1.42036,-1.86,-0.572689,-4.23724,-2.09756,0.240464,0,-6.16,-1.60596,0.142738,-5.01866,-1.5059,0.416064,0,
0.033334,-7.58093,-2.06301,0.304736,-7.26083,-2.18005,0.670733,-6.16,-1.34353,0.434422,-5.12765,-1.12897,0.865772,0,-6.16,-1.33486,0.245518,-5.04199,-1.07403,0.580476,0,-6.16,-1.35736,0.691076,-5.26996,-1.21681,1.2105,0,-5.58832,-1.86,0.831483,-5.21896,-1.98398,1.21212,0,-6.16,-1.21571,0.66067,-5.18473,-0.969506,1.18825,0,-6.16,-1.20647,0.290538,-5.12514,-0.922154,0.648171,0,-6.16,-1.09431,0.63229,-5.09245,-0.732534,1.16881,0,-6.16,-1.20581,0.4348,-5.13822,-0.929638,0.863721,0,-6.16,-1.71974,0.65292,-5.23053,-1.7125,1.16915,0,-6.16,-1.3233,0.587722,-5.1663,-1.11581,1.08677,0,-6.16,-1.45083,0.52376,-5.09776,-1.27783,1.00143,0,-5.91581,-1.86,0.531868,-5.16485,-1.94328,0.959067,0,-6.16,-1.09365,0.396542,-5.14561,-0.761951,0.806935,0,-6.16,-1.58078,0.407231,-5.1186,-1.47734,0.821413,0,-6.16,-1.42744,0.306789,-5.16802,-1.27171,0.673338,0,-6.10674,-1.86,0.30045,-5.13086,-1.90997,0.666068,0,-6.16,-1.32196,0.138669,-5.12564,-1.09596,0.423304,0,-6.16,-1.16803,0.152606,-5.03912,-0.81322,0.433375,0,-6.16,-1.6805,0.36038,-5.26138,-1.66703,0.749275,0,-6.16,-1.47176,0.692093,-5.27217,-1.37721,1.21158,0,-6.16,-1.21515,0.559954,-5.07732,-0.913035,1.05913,0,-6.16,-1.61612,0.26332,-5.23002,-1.56609,0.612138,0,-6.16,-1.09795,0.514974,-5.21382,-0.816122,0.971853,0,-6.16,-1.59668,0.707485,-5.24717,-1.54558,1.23972,0,-6.16,-1.84916,0.157633,-5.12298,-1.88585,0.453238,0,-6.16,-1.05191,0.241789,-5.13618,-0.700715,0.575659,0,-6.16,-1.08135,0.749085,-5.15944,-0.755703,1.3229,0,-6.16,-1.7245,0.105691,-5.14916,-1.70448,0.374459,0,-6.16,-1.79206,0.556756,-5.20939,-1.80778,1.03611,0,-6.16,-1.04868,0.0973519,-5.1008,-0.667622,0.355179,0,-6.16,-1.45082,0.418263,-5.15697,-1.30266,0.841399,0,-1.42036,-1.86,-0.572689,-4.27001,-2.0911,0.247603,0,-6.16,-1.60596,0.142738,-5.15531,-1.52822,0.432563,0,
0.0666681,-7.58093,-2.06301,0.304736,-7.25657,-2.20622,0.670151,-6.16,-1.34353,0.434422,-5.20341,-1.16481,0.860122,0,-6.16,-1.33486,0.245518,-5.10396,-1.10461,0.585468,0,-6.16,-1.35736,0.691076,-5.32825,-1.24705,1.19782,0,-5.58832,-1.86,0.831483,-5.29447,-1.99372,1.19408,0,-6.16,-1.21571,0.66067,-5.21655,-0.993695,1.1874,0,-6.16,-1.20647,0.290538,-5.19055,-0.959685,0.652118,0,-6.16,-1.09431,0.63229,-5.14058,-0.764615,1.16153,0,-6.16,-1.20581,0.4348,-5.20065,-0.965515,0.861438,0,-6.16,-1.71974,0.65292,-5.28573,-1.73031,1.16023,0,-6.16,-1.3233,0.587722,-5.24313,-1.1542,1.07573,0,-6.16,-1.45083,0.52376,-5.15894,-1.30456,0.997372,0,-5.91581,-1.86,0.531868,-5.28326,-1.95542,0.943983,0,-6.16,-1.09365,0.396542,-5.21151,-0.80577,0.80687,0,-6.16,-1.58078,0.407231,-5.24261,-1.5163,0.819348,0,-6.16,-1.42744,0.306789,-5.226,-1.29924,0.677104,0,-6.10674,-1.86,0.30045,-5.2135,-1.92203,0.66992,0,-6.16,-1.32196,0.138669,-5.17952,-1.12508,0.431639,0,-6.16,-1.16803,0.152606,-5.09095,-0.844946,0.442169,0,-6.16,-1.6805,0.36038,-5.3219,-1.68613,0.751307,0,-6.16,-1.47176,0.692093,-5.3254,-1.4019,1.19871,0,-6.16,-1.21515,0.559954,-5.13058,-0.942629,1.05494,0,-6.16,-1.61612,0.26332,-5.28722,-1.58714,0.616669,0,-6.16,-1.09795,0.514974,-5.25451,-0.846335,0.968399,0,-6.16,-1.59668,0.707485,-5.28464,-1.56277,1.23232,0,-6.16,-1.84916,0.157633,-5.2369,-1.8998,0.466734,0,-6.16,-1.05191,0.241789,-5.17901,-0.732556,0.585401,0,-6.16,-1.08135,0.749085,-5.20236,-0.78597,1.31411,0,-6.16,-1.7245,0.105691,-5.1927,-1.71852,0.380283,0,-6.16,-1.79206,0.556756,-5.31418,-1.82823,1.02246,0,-6.16,-1.04868,0.0973519,-5.15356,-0.704313,0.365988,0,-6.16,-1.45082,0.418263,-5.21945,-1.32981,0.836672,0,-1.42036,-1.86,-0.572689,-4.2836,-2.09399,0.253158,0,-6.16,-1.60596,0.142738,-5.21853,-1.55042,0.441957,0,
0.100002,-7.57662,-2.08888,0.304885,-7.25414,-2.22076,0.669824,-6.16,-1.34353,0.434422,-5.28505,-1.19807,0.855933,0,-6.16,-1.33486,0.245518,-5.17158,-1.13141,0.587533,0,-6.16,-1.35736,0.691076,-5.37166,-1.2644,1.18754,0,-5.58832,-1.86,0.831483,-5.36102,-1.99604,1.17797,0,-6.16,-1.21571,0.66067,-5.26287,-1.01424,1.17833,0,-6.16,-1.20647,0.290538,-5.24577,-0.986749,0.654282,0,-6.16,-1.09431,0.63229,-5.17663,-0.784206,1.15503,0,-6.16,-1.20581,0.4348,-5.25555,-0.992508,0.859626,0,-6.16,-1.71974,0.65292,-5.38378,-1.74502,1.13717,0,-6.16,-1.3233,0.587722,-5.2932,-1.17606,1.06883,0,-6.16,-1.45083,0.52376,-5.21785,-1.32391,0.989972,0,-5.91581,-1.86,0.531868,-5.36577,-1.96113,0.935003,0,-6.16,-1.09365,0.396542,-5.25914,-0.832869,0.806192,0,-6.16,-1.58078,0.407231,-5.33731,-1.54208,0.813974,0,-6.16,-1.42744,0.306789,-5.31882,-1.33104,0.677432,0,-6.10674,-1.86,0.30045,-5.29889,-1.92778,0.672596,0,-6.16,-1.32196,0.138669,-5.22996,-1.14597,0.439804,0,-6.16,-1.16803,0.152606,-5.14633,-0.872164,0.448866,0,-6.16,-1.6805,0.36038,-5.38464,-1.69792,0.750543,0,-6.16,-1.47176,0.692093,-5.38855,-1.42181,1.18409,0,-6.16,-1.21515,0.559954,-5.19863,-0.973876,1.04037,0,-6.16,-1.61612,0.26332,-5.34193,-1.59962,0.61895,0,-6.16,-1.09795,0.514974,-5.29734,-0.86909,0.962277,0,-6.16,-1.59668,0.707485,-5.36627,-1.58112,1.21351,0,-6.16,-1.84916,0.157633,-5.32761,-1.9077,0.47735,0,-6.16,-1.05191,0.241789,-5.212,-0.750902,0.586818,0,-6.16,-1.08135,0.749085,-5.24399,-0.808238,1.30148,0,-6.16,-1.7245,0.105691,-5.25082,-1.72666,0.38994,0,-6.16,-1.79206,0.556756,-5.39585,-1.83859,1.00859,0,-6.16,-1.04868,0.0973519,-5.203,-0.732747,0.375339,0,-6.16,-1.45082,0.418263,-5.2453,-1.33974,0.835811,0,-1.42036,-1.86,-0.572689,-4.29673,-2.09362,0.259297,0,-6.16,-1.60596,0.142738,-5.28254,-1.56543,0.450633,0,
0.133336,-7.57662,-2.08888,0.304885,-7.25221,-2.23269,0.66956,-6.16,-1.34353,0.434422,-5.31485,-1.21046,0.852477,0,-6.16,-1.33486,0.245518,-5.22066,-1.15057,0.588789,0,-6.16,-1.35736,0.691076,-5.40702,-1.27678,1.17718,0,-5.58832,-1.86,0.831483,-5.41333,-1.99666,1.16497,0,-6.16,-1.21571,0.66067,-5.31771,-1.03859,1.1602,0,-6.16,-1.20647,0.290538,-5.27859,-1.00195,0.652309,0,-6.16,-1.09431,0.63229,-5.21549,-0.803274,1.14586,0,-6.16,-1.20581,0.4348,-5.2965,-1.01123,0.855127,0,-6.16,-1.71974,0.65292,-5.427,-1.75209,1.1256,0,-6.16,-1.3233,0.587722,-5.33351,-1.1914,1.05763,0,-6.16,-1.45083,0.52376,-5.25968,-1.33674,0.983576,0,-5.91581,-1.86,0.531868,-5.42804,-1.96412,0.929119,0,-6.16,-1.09365,0.396542,-5.31173,-0.86022,0.801555,0,-6.16,-1.58078,0.407231,-5.3742,-1.55194,0.811984,0,-6.16,-1.42744,0.306789,-5.3835,-1.35399,0.679005,0,-6.10674,-1.86,0.30045,-5.32602,-1.92956,0.670342,0,-6.16,-1.32196,0.138669,-5.27302,-1.16227,0.443664,0,-6.16,-1.16803,0.152606,-5.18305,-0.889766,0.451165,0,-6.16,-1.6805,0.36038,-5.39694,-1.70041,0.746297,0,-6.16,-1.47176,0.692093,-5.42512,-1.43281,1.17353,0,-6.16,-1.21515,0.559954,-5.24043,-0.993502,1.03143,0,-6.16,-1.61612,0.26332,-5.38514,-1.60833,0.620189,0,-6.16,-1.09795,0.514974,-5.3179,-0.879955,0.956962,0,-6.16,-1.59668,0.707485,-5.41373,-1.59198,1.20012,0,-6.16,-1.84916,0.157633,-5.36899,-1.91076,0.481318,0,-6.16,-1.05191,0.241789,-5.2474,-0.769543,0.590967,0,-6.16,-1.08135,0.749085,-5.28683,-0.830149,1.28815,0,-6.16,-1.7245,0.105691,-5.31887,-1.73574,0.400121,0,-6.16,-1.79206,0.556756,-5.43568,-1.84292,1.00118,0,-6.16,-1.04868,0.0973519,-5.24372,-0.754773,0.378733,0,-6.16,-1.45082,0.418263,-5.27232,-1.34665,0.832956,0,-1.42036,-1.86,-0.572689,-4.29354,-2.09442,0.259515,0,-6.16,-1.60596,0.142738,-5.32317,-1.57424,0.45591,0,
0.16667,-7.57209,-2.11491,0.305054,-7.24766,-2.2594,0.668958,-6.16,-1.34353,0.434422,-5.3364,-1.22801,0.848906,0,-6.16,-1.33486,0.245518,-5.24455,-1.1697,0.589632,0,-6.16,-1.35736,0.691076,-5.40495,-1.287,1.17847,0,-5.58832,-1.86,0.831483,-5.41865,-2.00721,1.16156,0,-6.16,-1.21571,0.66067,-5.32719,-1.05404,1.15714,0,-6.16,-1.20647,0.290538,-5.27467,-1.01108,0.652624,0,-6.16,-1.09431,0.63229,-5.22491,-0.818214,1.14449,0,-6.16,-1.20581,0.4348,-5.3321,-1.03726,0.850574,0,-6.16,-1.71974,0.65292,-5.43054,-1.76323,1.12227,0,-6.16,-1.3233,0.587722,-5.35225,-1.20872,1.05365,0,-6.16,-1.45083,0.52376,-5.27715,-1.35205,0.979936,0,-5.91581,-1.86,0.531868,-5.43922,-1.97504,0.924612,0,-6.16,-1.09365,0.396542,-5.33281,-0.88181,0.800946,0,-6.16,-1.58078,0.407231,-5.39051,-1.56568,0.808475,0,-6.16,-1.42744,0.306789,-5.40205,-1.37124,0.678763,0,-6.10674,-1.86,0.30045,-5.3442,-1.93951,0.66879,0,-6.16,-1.32196,0.138669,-5.28953,-1.17877,0.443089,0,-6.16,-1.16803,0.152606,-5.21131,-0.912304,0.452537,0,-6.16,-1.6805,0.36038,-5.41249,-1.71208,0.742759,0,-6.16,-1.47176,0.692093,-5.43333,-1.44584,1.1682,0,-6.16,-1.21515,0.559954,-5.26163,-1.01279,1.02765,0,-6.16,-1.61612,0.26332,-5.40294,-1.62224,0.62122,0,-6.16,-1.09795,0.514974,-5.32269,-0.891827,0.956962,0,-6.16,-1.59668,0.707485,-5.41351,-1.60296,1.19837,0,-6.16,-1.84916,0.157633,-5.38912,-1.92167,0.483175,0,-6.16,-1.05191,0.241789,-5.25312,-0.782581,0.588736,0,-6.16,-1.08135,0.749085,-5.30374,-0.849268,1.28616,0,-6.16,-1.7245,0.105691,-5.34845,-1.75049,0.402795,0,-6.16,-1.79206,0.556756,-5.42314,-1.85288,1.00192,0,-6.16,-1.04868,0.0973519,-5.26421,-0.775655,0.383071,0,-6.16,-1.45082,0.418263,-5.2899,-1.36124,0.831392,0,-1.42036,-1.86,-0.572689,-4.2877,-2.10124,0.257124,0,-6.16,-1.60596,0.142738,-5.33422,-1.58665,0.456726,0,
0.200004,-7.56736,-2.14062,0.305214,-7.24506,-2.27428,0.66862,-6.16,-1.34353,0.434422,-5.70727,-1.43268,0.811124,0,-6.16,-1.33486,0.245518,-5.66409,-1.40119,0.60252,0,-6.16,-1.35736,0.691076,-5.76788,-1.47908,1.07574,0,-5.58832,-1.86,0.831483,-5.72127,-2.05142,1.07772,0,-6.16,-1.21571,0.66067,-5.6732,-1.27804,1.06653,0,-6.16,-1.20647,0.290538,-5.67903,-1.27127,0.656096,0,-6.16,-1.09431,0.63229,-5.73294,-1.18133,1.02088,0,-6.16,-1.20581,0.4348,-5.78256,-1.32838,0.804314,0,-6.16,-1.71974,0.65292,-5.77508,-1.85683,1.03499,0,-6.16,-1.3233,0.587722,-5.73835,-1.42656,0.97221,0,-6.16,-1.45083,0.52376,-5.69868,-1.5459,0.909854,0,-5.91581,-1.86,0.531868,-5.74928,-2.02675,0.874349,0,-6.16,-1.09365,0.396542,-5.8545,-1.25958,0.761442,0,-6.16,-1.58078,0.407231,-5.79187,-1.71726,0.776631,0,-6.16,-1.42744,0.306789,-5.77023,-1.55246,0.674047,0,-6.10674,-1.86,0.30045,-5.69511,-1.99836,0.667595,0,-6.16,-1.32196,0.138669,-5.72921,-1.42381,0.491898,0,-6.16,-1.16803,0.152606,-5.73885,-1.26369,0.507624,0,-6.16,-1.6805,0.36038,-5.67792,-1.79401,0.729096,0,-6.16,-1.47176,0.692093,-5.72796,-1.58363,1.08454,0,-6.16,-1.21515,0.559954,-5.71883,-1.30212,0.941417,0,-6.16,-1.61612,0.26332,-5.73089,-1.73763,0.626822,0,-6.16,-1.09795,0.514974,-5.75768,-1.20446,0.888222,0,-6.16,-1.59668,0.707485,-5.74709,-1.72401,1.09517,0,-6.16,-1.84916,0.157633,-5.71728,-1.98496,0.515082,0,-6.16,-1.05191,0.241789,-5.7131,-1.12556,0.604257,0,-6.16,-1.08135,0.749085,-5.75734,-1.18265,1.1378,0,-6.16,-1.7245,0.105691,-5.69141,-1.84539,0.448477,0,-6.16,-1.79206,0.556756,-5.73474,-1.92258,0.941763,0,-6.16,-1.04868,0.0973519,-5.75713,-1.15131,0.450384,0,-6.16,-1.45082,0.418263,-5.67216,-1.53769,0.796774,0,-1.42036,-1.86,-0.572689,-4.57671,-2.12246,0.293418,0,-6.16,-1.60596,0.142738,-5.73305,-1.72566,0.499096,0,
0.233338,-7.56736,-2.14062,0.305214,-7.24288,-2.28563,0.668355,-6.16,-1.34353,0.434422,-5.65552,-1.39744,0.816427,0,-6.16,-1.33486,0.245518,-5.60628,-1.36517,0.600795,0,-6.16,-1.35736,0.691076,-5.71969,-1.45237,1.08873,0,-5.58832,-1.86,0.831483,-5.71628,-2.04464,1.08003,0,-6.16,-1.21571,0.66067,-5.60681,-1.23097,1.0837,0,-6.16,-1.20647,0.290538,-5.60194,-1.2161,0.65624,0,-6.16,-1.09431,0.63229,-5.62481,-1.09832,1.04704,0,-6.16,-1.20581,0.4348,-5.69988,-1.26979,0.814604,0,-6.16,-1.71974,0.65292,-5.76217,-1.84971,1.0379,0,-6.16,-1.3233,0.587722,-5.68265,-1.39063,0.984617,0,-6.16,-1.45083,0.52376,-5.65937,-1.52246,0.917042,0,-5.91581,-1.86,0.531868,-5.74315,-2.02167,0.876987,0,-6.16,-1.09365,0.396542,-5.73807,-1.17155,0.770526,0,-6.16,-1.58078,0.407231,-5.76657,-1.70756,0.779507,0,-6.16,-1.42744,0.306789,-5.72958,-1.52804,0.674298,0,-6.10674,-1.86,0.30045,-5.68804,-1.99326,0.668812,0,-6.16,-1.32196,0.138669,-5.67023,-1.38357,0.487041,0,-6.16,-1.16803,0.152606,-5.64056,-1.19249,0.496391,0,-6.16,-1.6805,0.36038,-5.66402,-1.78386,0.729211,0,-6.16,-1.47176,0.692093,-5.69808,-1.56503,1.09442,0,-6.16,-1.21515,0.559954,-5.63931,-1.24438,0.95427,0,-6.16,-1.61612,0.26332,-5.71066,-1.72951,0.630195,0,-6.16,-1.09795,0.514974,-5.65752,-1.12932,0.900936,0,-6.16,-1.59668,0.707485,-5.72564,-1.71706,1.09987,0,-6.16,-1.84916,0.157633,-5.71,-1.97915,0.514938,0,-6.16,-1.05191,0.241789,-5.60277,-1.03711,0.600831,0,-6.16,-1.08135,0.749085,-5.65524,-1.10427,1.17074,0,-6.16,-1.7245,0.105691,-5.67875,-1.8385,0.448015,0,-6.16,-1.79206,0.556756,-5.72534,-1.91647,0.943674,0,-6.16,-1.04868,0.0973519,-5.63814,-1.05931,0.431739,0,-6.16,-1.45082,0.418263,-5.63446,-1.51556,0.800014,0,-1.42036,-1.86,-0.572689,-4.57168,-2.11791,0.293113,0,-6.16,-1.60596,0.142738,-5.71177,-1.71437,0.497295,0,
0.266672,-7.56278,-2.16532,0.305369,-7.24014,-2.30016,0.668017,-6.16,-1.34353,0.434422,-5.70406,-1.42788,0.810815,0,-6.16,-1.33486,0.245518,-5.6609,-1.39566,0.601204,0,-6.16,-1.35736,0.691076,-5.7612,-1.47724,1.07546,0,-5.58832,-1.86,0.831483,-5.71612,-2.04595,1.07625,0,-6.16,-1.21571,0.66067,-5.66826,-1.27131,1.06757,0,-6.16,-1.20647,0.290538,-5.67562,-1.26448,0.654832,0,-6.16,-1.09431,0.63229,-5.73076,-1.17602,1.01844,0,-6.16,-1.20581,0.4348,-5.78024,-1.32133,0.805316,0,-6.16,-1.71974,0.65292,-5.76942,-1.85354,1.03437,0,-6.16,-1.3233,0.587722,-5.73575,-1.41937,0.972011,0,-6.16,-1.45083,0.52376,-5.69587,-1.54155,0.908899,0,-5.91581,-1.86,0.531868,-5.74422,-2.02182,0.874678,0,-6.16,-1.09365,0.396542,-5.84917,-1.25513,0.759756,0,-6.16,-1.58078,0.407231,-5.78734,-1.71637,0.775186,0,-6.16,-1.42744,0.306789,-5.76657,-1.54866,0.672406,0,-6.10674,-1.86,0.30045,-5.68963,-1.99413,0.665442,0,-6.16,-1.32196,0.138669,-5.72872,-1.41831,0.491248,0,-6.16,-1.16803,0.152606,-5.73825,-1.25874,0.505678,0,-6.16,-1.6805,0.36038,-5.67289,-1.78699,0.724448,0,-6.16,-1.47176,0.692093,-5.72374,-1.57753,1.08373,0,-6.16,-1.21515,0.559954,-5.7176,-1.29649,0.937286,0,-6.16,-1.61612,0.26332,-5.72513,-1.73614,0.62943,0,-6.16,-1.09795,0.514974,-5.7503,-1.20079,0.889124,0,-6.16,-1.59668,0.707485,-5.73993,-1.72598,1.09335,0,-6.16,-1.84916,0.157633,-5.71275,-1.97749,0.511353,0,-6.16,-1.05191,0.241789,-5.71005,-1.11826,0.603678,0,-6.16,-1.08135,0.749085,-5.75083,-1.17952,1.13847,0,-6.16,-1.7245,0.105691,-5.68632,-1.84008,0.447323,0,-6.16,-1.79206,0.556756,-5.7289,-1.91844,0.940772,0,-6.16,-1.04868,0.0973519,-5.75143,-1.1476,0.446639,0,-6.16,-1.45082,0.418263,-5.66906,-1.53213,0.795272,0,-1.42036,-1.86,-0.572689,-4.57365,-2.11867,0.289642,0,-6.16,-1.60596,0.142738,-5.72933,-1.72159,0.496377,0,
0.300007,-7.56278,-2.16532,0.305369,-7.23818,-2.31081,0.667772,-6.16,-1.34353,0.434422,-5.69807,-1.42165,0.808428,0,-6.16,-1.33486,0.245518,-5.65656,-1.3904,0.597974,0,-6.16,-1.35736,0.691076,-5.75818,-1.47128,1.07157,0,-5.58832,-1.86,0.831483,-5.71911,-2.04255,1.07412,0,-6.16,-1.21571,0.66067,-5.66047,-1.26005,1.06561,0,-6.16,-1.20647,0.290538,-5.66552,-1.25319,0.651374,0,-6.16,-1.09431,0.63229,-5.71028,-1.15962,1.023,0,-6.16,-1.20581,0.4348,-5.76724,-1.31318,0.80291,0,-6.16,-1.71974,0.65292,-5.77061,-1.85335,1.0307,0,-6.16,-1.3233,0.587722,-5.73153,-1.4141,0.971148,0,-6.16,-1.45083,0.52376,-5.69366,-1.53827,0.906918,0,-5.91581,-1.86,0.531868,-5.74743,-2.01751,0.871349,0,-6.16,-1.09365,0.396542,-5.82606,-1.23746,0.759393,0,-6.16,-1.58078,0.407231,-5.78882,-1.71519,0.772052,0,-6.16,-1.42744,0.306789,-5.76441,-1.5459,0.670729,0,-6.10674,-1.86,0.30045,-5.69304,-1.99143,0.663671,0,-6.16,-1.32196,0.138669,-5.72167,-1.41264,0.488686,0,-6.16,-1.16803,0.152606,-5.72301,-1.24483,0.502722,0,-6.16,-1.6805,0.36038,-5.67535,-1.78515,0.722581,0,-6.16,-1.47176,0.692093,-5.72324,-1.57599,1.08274,0,-6.16,-1.21515,0.559954,-5.70442,-1.28565,0.937192,0,-6.16,-1.61612,0.26332,-5.72723,-1.73466,0.627234,0,-6.16,-1.09795,0.514974,-5.73078,-1.18258,0.888083,0,-6.16,-1.59668,0.707485,-5.74101,-1.72528,1.09084,0,-6.16,-1.84916,0.157633,-5.71595,-1.97576,0.510736,0,-6.16,-1.05191,0.241789,-5.68655,-1.09943,0.600346,0,-6.16,-1.08135,0.749085,-5.72911,-1.16218,1.13913,0,-6.16,-1.7245,0.105691,-5.68905,-1.8393,0.445963,0,-6.16,-1.79206,0.556756,-5.73144,-1.91692,0.938893,0,-6.16,-1.04868,0.0973519,-5.72771,-1.12781,0.441364,0,-6.16,-1.45082,0.418263,-5.66982,-1.5254,0.794661,0,-1.42036,-1.86,-0.572689,-4.577,-2.1187,0.288382,0,-6.16,-1.60596,0.142738,-5.73103,-1.72002,0.495443,0,
