time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,
0,7.52252,-1.95122,0.153775,8.13496,-3.0355,0.0147505,6.16,-1.11911,0.585072,6.10934,-1.79842,0.655949,0,6.16,-1.43057,0.0419253,6.09511,-2.25602,-0.152703,0,6.16,-0.816431,0.583336,6.13065,-1.36618,0.64665,0,6.16,-0.847592,0.727867,6.15234,-1.42959,0.850123,0,6.16,-1.74617,0.600639,5.91816,-2.70189,0.741794,0,6.16,-0.817107,0.35084,6.11315,-1.35261,0.307171,0,6.16,-1.24994,0.202796,5.87561,-1.87262,0.0960369,0,6.16,-1.56537,0.50774,5.92172,-2.40873,0.589724,0,6.16,-0.995162,0.629976,6.10732,-1.61273,0.723412,0,6.16,-1.3529,0.248473,6.01656,-2.10525,0.161984,0,6.16,-0.960371,0.412291,6.09393,-1.55122,0.402003,0,6.16,-1.55281,0.622321,5.93141,-2.39116,0.772514,0,6.16,-1.1025,0.429901,5.93624,-1.66589,0.460341,0,6.16,-1.73917,0.47141,5.90963,-2.68917,0.533529,0,6.16,-0.961468,0.258745,6.06869,-1.53452,0.173939,0,6.16,-1.69353,0.289235,5.95146,-2.62254,0.231832,0,6.16,-1.51251,0.341009,5.9929,-2.34578,0.309106,0,6.16,-1.61283,0.170911,5.96689,-2.49704,0.0420167,0,6.16,-1.07931,0.715126,6.04755,-1.69971,0.874755,0,6.16,-1.63804,0.0566072,5.99338,-2.54324,-0.137977,0,6.16,-0.778953,0.241297,6.05274,-1.24402,0.148502,0,6.16,-1.41722,0.156451,5.9778,-2.19005,0.0189863,0,
0.033334,7.52636,-1.92469,0.153712,8.1383,-3.02092,0.0152213,6.16,-1.11911,0.585072,6.16629,-1.84071,0.635852,0,6.16,-1.43057,0.0419253,6.21914,-2.31324,-0.142607,0,6.16,-0.816431,0.583336,6.18399,-1.42183,0.628774,0,6.16,-0.847592,0.727867,6.1997,-1.47786,0.827141,0,6.16,-1.74617,0.600639,6.03089,-2.72813,0.70237,0,6.16,-0.817107,0.35084,6.17899,-1.41922,0.297623,0,6.16,-1.24994,0.202796,5.98201,-1.93889,0.0917914,0,6.16,-1.56537,0.50774,6.04422,-2.45349,0.556795,0,6.16,-0.995162,0.629976,6.20972,-1.70091,0.685163,0,6.16,-1.3529,0.248473,6.10517,-2.15267,0.15471,0,6.16,-0.960371,0.412291,6.18259,-1.63066,0.385309,0,6.16,-1.55281,0.622321,5.99958,-2.418,0.74694,0,6.16,-1.1025,0.429901,6.02929,-1.73635,0.438977,0,6.16,-1.73917,0.47141,6.02703,-2.71632,0.505415,0,6.16,-0.961468,0.258745,6.13521,-1.59302,0.169381,0,6.16,-1.69353,0.289235,6.05894,-2.6512,0.219785,0,6.16,-1.51251,0.341009,6.10277,-2.3898,0.293766,0,6.16,-1.61283,0.170911,6.11463,-2.54428,0.0421052,0,6.16,-1.07931,0.715126,6.11947,-1.75627,0.843855,0,6.16,-1.63804,0.0566072,6.16481,-2.59368,-0.12707,0,6.16,-0.778953,0.241297,6.10233,-1.29765,0.144446,0,6.16,-1.41722,0.156451,6.08627,-2.24254,0.0176982,0,
0.0666681,7.52636,-1.92469,0.153712,8.14112,-3.0091,0.0156004,6.16,-1.11911,0.585072,6.22937,-1.88589,0.619273,0,6.16,-1.43057,0.0419253,6.31277,-2.35472,-0.132951,0,6.16,-0.816431,0.583336,6.22343,-1.45921,0.617066,0,6.16,-0.847592,0.727867,6.27651,-1.55019,0.800428,0,6.16,-1.74617,0.600639,6.13096,-2.7498,0.671623,0,6.16,-0.817107,0.35084,6.23711,-1.47421,0.292621,0,6.16,-1.24994,0.202796,6.06415,-1.98744,0.0910309,0,6.16,-1.56537,0.50774,6.18663,-2.50316,0.520787,0,6.16,-0.995162,0.629976,6.27559,-1.75197,0.665005,0,6.16,-1.3529,0.248473,6.19289,-2.19814,0.146395,0,6.16,-0.960371,0.412291,6.23856,-1.6756,0.37708,0,6.16,-1.55281,0.622321,6.07432,-2.44646,0.722721,0,6.16,-1.1025,0.429901,6.09341,-1.78134,0.428869,0,6.16,-1.73917,0.47141,6.12843,-2.7385,0.481957,0,6.16,-0.961468,0.258745,6.19051,-1.63872,0.168581,0,6.16,-1.69353,0.289235,6.15345,-2.67508,0.211157,0,6.16,-1.51251,0.341009,6.19076,-2.42381,0.28359,0,6.16,-1.61283,0.170911,6.22041,-2.57613,0.0417357,0,6.16,-1.07931,0.715126,6.1904,-1.80865,0.818276,0,6.16,-1.63804,0.0566072,6.22041,-2.60736,-0.120541,0,6.16,-0.778953,0.241297,6.15241,-1.3474,0.145462,0,6.16,-1.41722,0.156451,6.16978,-2.28089,0.0188899,0,
0.100002,7.52986,-1.89881,0.153625,8.14692,-2.98334,0.0164346,6.16,-1.11911,0.585072,6.30423,-1.93679,0.595469,0,6.16,-1.43057,0.0419253,6.41416,-2.39463,-0.124003,0,6.16,-0.816431,0.583336,6.25856,-1.49455,0.604395,0,6.16,-0.847592,0.727867,6.30963,-1.57951,0.78331,0,6.16,-1.74617,0.600639,6.17903,-2.75512,0.655426,0,6.16,-0.817107,0.35084,6.29069,-1.52596,0.284412,0,6.16,-1.24994,0.202796,6.13241,-2.02552,0.0904106,0,6.16,-1.56537,0.50774,6.31902,-2.54245,0.486433,0,6.16,-0.995162,0.629976,6.32431,-1.78931,0.647003,0,6.16,-1.3529,0.248473,6.26666,-2.23173,0.139562,0,6.16,-0.960371,0.412291,6.27513,-1.70488,0.368701,0,6.16,-1.55281,0.622321,6.12327,-2.46074,0.703839,0,6.16,-1.1025,0.429901,6.15195,-1.82193,0.419519,0,6.16,-1.73917,0.47141,6.19126,-2.74705,0.471416,0,6.16,-0.961468,0.258745,6.24482,-1.68391,0.161696,0,6.16,-1.69353,0.289235,6.25751,-2.6962,0.203674,0,6.16,-1.51251,0.341009,6.27155,-2.45079,0.272264,0,6.16,-1.61283,0.170911,6.34644,-2.60914,0.0409299,0,6.16,-1.07931,0.715126,6.22306,-1.83067,0.79855,0,6.16,-1.63804,0.0566072,6.30247,-2.6276,-0.114549,0,6.16,-0.778953,0.241297,6.187,-1.38335,0.141778,0,6.16,-1.41722,0.156451,6.24149,-2.31002,0.0194492,0,
0.133336,7.53079,-1.88892,0.153274,8.15014,-2.96844,0.0169203,6.16,-1.11911,0.585072,6.36479,-1.97762,0.573661,0,6.16,-1.43057,0.0419253,6.50027,-2.42949,-0.119569,0,6.16,-0.816431,0.583336,6.30389,-1.53873,0.589515,0,6.16,-0.847592,0.727867,6.34263,-1.61092,0.765348,0,6.16,-1.74617,0.600639,6.27567,-2.77511,0.621386,0,6.16,-0.817107,0.35084,6.35608,-1.58761,0.2731,0,6.16,-1.24994,0.202796,6.22023,-2.07633,0.0840618,0,6.16,-1.56537,0.50774,6.65267,-2.62208,0.398621,0,6.16,-0.995162,0.629976,6.71338,-2.04658,0.509672,0,6.16,-1.3529,0.248473,6.35172,-2.27321,0.133348,0,6.16,-0.960371,0.412291,6.32043,-1.74281,0.357512,0,6.16,-1.55281,0.622321,6.19944,-2.48792,0.673465,0,6.16,-1.1025,0.429901,6.22844,-1.87634,0.401092,0,6.16,-1.73917,0.47141,6.28311,-2.76582,0.44629,0,6.16,-0.961468,0.258745,6.30785,-1.7355,0.155175,0,6.16,-1.69353,0.289235,6.32845,-2.71107,0.192722,0,6.16,-1.51251,0.341009,6.34604,-2.47744,0.259196,0,6.16,-1.61283,0.170911,6.39599,-2.62095,0.0380654,0,6.16,-1.07931,0.715126,6.63187,-2.08177,0.631571,0,6.16,-1.63804,0.0566072,6.39171,-2.65099,-0.110685,0,6.16,-0.778953,0.241297,6.64368,-1.7617,0.110344,0,6.16,-1.41722,0.156451,6.31435,-2.34158,0.015682,0,
0.16667,7.53079,-1.88892,0.153274,8.14903,-2.97371,0.0167477,6.16,-1.11911,0.585072,6.4101,-2.01437,0.560157,0,6.16,-1.43057,0.0419253,6.55547,-2.46067,-0.115899,0,6.16,-0.816431,0.583336,6.34872,-1.58443,0.572428,0,6.16,-0.847592,0.727867,6.38352,-1.65269,0.752017,0,6.16,-1.74617,0.600639,6.34934,-2.79634,0.596557,0,6.16,-0.817107,0.35084,6.40096,-1.63189,0.268051,0,6.16,-1.24994,0.202796,6.29642,-2.1254,0.0804875,0,6.16,-1.56537,0.50774,6.65149,-2.62995,0.399546,0,6.16,-0.995162,0.629976,6.69983,-2.0463,0.515835,0,6.16,-1.3529,0.248473,6.40185,-2.30426,0.129652,0,6.16,-0.960371,0.412291,6.3661,-1.78506,0.349773,0,6.16,-1.55281,0.622321,6.26983,-2.51917,0.648488,0,6.16,-1.1025,0.429901,6.30911,-1.93718,0.382875,0,6.16,-1.73917,0.47141,6.35474,-2.78696,0.427804,0,6.16,-0.961468,0.258745,6.35775,-1.78016,0.152545,0,6.16,-1.69353,0.289235,6.38028,-2.73075,0.187634,0,6.16,-1.51251,0.341009,6.40331,-2.50601,0.251711,0,6.16,-1.61283,0.170911,6.43529,-2.64083,0.0371881,0,6.16,-1.07931,0.715126,6.62084,-2.0871,0.635398,0,6.16,-1.63804,0.0566072,6.44323,-2.67245,-0.106716,0,6.16,-0.778953,0.241297,6.62901,-1.75868,0.112877,0,6.16,-1.41722,0.156451,6.36662,-2.37177,0.0159727,0,
0.200004,7.5368,-1.84297,0.153496,8.15216,-2.9592,0.0172208,6.16,-1.11911,0.585072,6.42627,-2.02367,0.551392,0,6.16,-1.43057,0.0419253,6.58545,-2.47183,-0.11401,0,6.16,-0.816431,0.583336,6.37538,-1.6089,0.562441,0,6.16,-0.847592,0.727867,6.40675,-1.67376,0.739738,0,6.16,-1.74617,0.600639,6.38709,-2.80185,0.582925,0,6.16,-0.817107,0.35084,6.42665,-1.65507,0.262644,0,6.16,-1.24994,0.202796,6.3466,-2.15246,0.0783676,0,6.16,-1.56537,0.50774,6.65091,-2.63135,0.398578,0,6.16,-0.995162,0.629976,6.73326,-2.06751,0.50352,0,6.16,-1.3529,0.248473,6.44937,-2.32667,0.12574,0,6.16,-0.960371,0.412291,6.39057,-1.80395,0.344085,0,6.16,-1.55281,0.622321,6.30935,-2.53116,0.63356,0,6.16,-1.1025,0.429901,6.35122,-1.96425,0.373008,0,6.16,-1.73917,0.47141,6.40022,-2.79434,0.416808,0,6.16,-0.961468,0.258745,6.3817,-1.79826,0.149917,0,6.16,-1.69353,0.289235,6.42437,-2.73988,0.183234,0,6.16,-1.51251,0.341009,6.44451,-2.51983,0.244641,0,6.16,-1.61283,0.170911,6.47684,-2.65206,0.0353799,0,6.16,-1.07931,0.715126,6.6498,-2.10362,0.626776,0,6.16,-1.63804,0.0566072,6.47791,-2.68063,-0.104521,0,6.16,-0.778953,0.241297,6.67041,-1.79382,0.108231,0,6.16,-1.41722,0.156451,6.38766,-2.37865,0.0116983,0,
0.233338,7.5368,-1.84297,0.153496,8.15862,-2.92876,0.0182151,6.16,-1.11911,0.585072,6.46356,-2.04408,0.543577,0,6.16,-1.43057,0.0419253,6.62583,-2.48038,-0.108213,0,6.16,-0.816431,0.583336,6.41323,-1.64109,0.555176,0,6.16,-0.847592,0.727867,6.44917,-1.70893,0.725032,0,6.16,-1.74617,0.600639,6.44129,-2.8048,0.569827,0,6.16,-0.817107,0.35084,6.44321,-1.66683,0.262354,0,6.16,-1.24994,0.202796,6.39544,-2.17342,0.0791243,0,6.16,-1.56537,0.50774,6.65294,-2.62559,0.400836,0,6.16,-0.995162,0.629976,6.72904,-2.06079,0.507375,0,6.16,-1.3529,0.248473,6.49124,-2.33913,0.125078,0,6.16,-0.960371,0.412291,6.43229,-1.83382,0.338781,0,6.16,-1.55281,0.622321,6.35942,-2.54158,0.618908,0,6.16,-1.1025,0.429901,6.39036,-1.98558,0.367876,0,6.16,-1.73917,0.47141,6.45487,-2.79712,0.407365,0,6.16,-0.961468,0.258745,6.42387,-1.82876,0.148597,0,6.16,-1.69353,0.289235,6.4853,-2.74541,0.180324,0,6.16,-1.51251,0.341009,6.48816,-2.52769,0.242072,0,6.16,-1.61283,0.170911,6.5363,-2.66048,0.036933,0,6.16,-1.07931,0.715126,6.64594,-2.09729,0.630457,0,6.16,-1.63804,0.0566072,6.52453,-2.68497,-0.0987245,0,6.16,-0.778953,0.241297,6.66336,-1.78568,0.11156,0,6.16,-1.41722,0.156451,6.42599,-2.38957,0.0143793,0,
0.266672,7.53969,-1.81607,0.153484,8.16157,-2.91384,0.0187076,6.16,-1.11911,0.585072,6.51416,-2.07618,0.529572,0,6.16,-1.43057,0.0419253,6.67238,-2.49755,-0.102763,0,6.16,-0.816431,0.583336,6.43698,-1.66181,0.546315,0,6.16,-0.847592,0.727867,6.50777,-1.75923,0.701887,0,6.16,-1.74617,0.600639,6.49456,-2.81282,0.552855,0,6.16,-0.817107,0.35084,6.4752,-1.69632,0.258715,0,6.16,-1.24994,0.202796,6.43938,-2.1962,0.0783996,0,6.16,-1.56537,0.50774,6.65299,-2.62676,0.401857,0,6.16,-0.995162,0.629976,6.73413,-2.06761,0.506503,0,6.16,-1.3529,0.248473,6.53864,-2.36001,0.123087,0,6.16,-0.960371,0.412291,6.46652,-1.85908,0.334337,0,6.16,-1.55281,0.622321,6.40354,-2.5547,0.605132,0,6.16,-1.1025,0.429901,6.44419,-2.02076,0.357435,0,6.16,-1.73917,0.47141,6.50827,-2.80513,0.396427,0,6.16,-0.961468,0.258745,6.46528,-1.85993,0.146666,0,6.16,-1.69353,0.289235,6.51853,-2.75067,0.178058,0,6.16,-1.51251,0.341009,6.54737,-2.54676,0.235052,0,6.16,-1.61283,0.170911,6.57967,-2.67019,0.0380722,0,6.16,-1.07931,0.715126,6.64944,-2.10178,0.629987,0,6.16,-1.63804,0.0566072,6.55891,-2.69229,-0.0956451,0,6.16,-0.778953,0.241297,6.67236,-1.79441,0.112927,0,6.16,-1.41722,0.156451,6.46723,-2.406,0.0156331,0,
0.300006,7.53969,-1.81607,0.153484,8.16392,-2.90203,0.0190967,6.16,-1.11911,0.585072,6.53643,-2.08912,0.51533,0,6.16,-1.43057,0.0419253,6.69843,-2.50762,-0.102336,0,6.16,-0.816431,0.583336,6.45252,-1.67567,0.538055,0,6.16,-0.847592,0.727867,6.51373,-1.76099,0.694188,0,6.16,-1.74617,0.600639,6.51613,-2.81612,0.544612,0,6.16,-0.817107,0.35084,6.50807,-1.72577,0.251489,0,6.16,-1.24994,0.202796,6.48226,-2.21924,0.0760257,0,6.16,-1.56537,0.50774,6.65245,-2.62635,0.399673,0,6.16,-0.995162,0.629976,6.73594,-2.07037,0.503048,0,6.16,-1.3529,0.248473,6.56476,-2.37167,0.119473,0,6.16,-0.960371,0.412291,6.49273,-1.87941,0.325534,0,6.16,-1.55281,0.622321,6.43348,-2.56419,0.592263,0,6.16,-1.1025,0.429901,6.48415,-2.04627,0.346678,0,6.16,-1.73917,0.47141,6.53091,-2.80875,0.38997,0,6.16,-0.961468,0.258745,6.50328,-1.88883,0.140454,0,6.16,-1.69353,0.289235,6.56219,-2.75991,0.17248,0,6.16,-1.51251,0.341009,6.55222,-2.54748,0.232898,0,6.16,-1.61283,0.170911,6.58469,-2.67134,0.0366226,0,6.16,-1.07931,0.715126,6.64881,-2.10393,0.624927,0,6.16,-1.63804,0.0566072,6.58686,-2.69946,-0.0948431,0,6.16,-0.778953,0.241297,6.67157,-1.79832,0.111317,0,6.16,-1.41722,0.156451,6.48921,-2.41504,0.0149036,0,
