time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,
0,-6.2789,3.27812,0.33552,-6.03933,2.90276,0.666372,-5.44632,1.86,0.745386,-4.6426,0.523712,1.35397,0,-5.44559,1.86,0.627172,-4.67079,0.573792,1.14535,0,-5.76283,1.86,0.555853,-5.13542,0.418861,1.0523,0,-5.58615,1.86,0.396461,-4.83691,0.441291,0.772148,0,-6.16,-0.808951,-0.00533181,-5.94745,-0.255742,0.402961,0,-5.55881,1.86,0.656425,-4.80248,0.466937,1.21757,0,-5.6941,1.86,0.671907,-5.0303,0.455889,1.24679,0,-5.95921,1.86,0.490034,-5.47316,0.391275,0.940016,0,-5.3957,1.86,0.170934,-4.60467,0.599171,0.399019,0,-5.5481,1.86,0.124714,-4.7255,0.353262,0.287384,0,-5.81091,1.86,0.410301,-5.23465,0.464349,0.794957,0,-5.40357,1.86,0.51746,-4.5652,0.514511,0.972777,0,-5.559,1.86,0.22954,-4.82895,0.518463,0.488186,0,-6.125,1.86,0.420668,-5.76204,0.347631,0.81979,0,-5.39066,1.86,0.31136,-4.54145,0.511295,0.62563,0,-5.78043,1.86,0.304697,-5.16419,0.413,0.612257,0,-5.68018,1.86,0.485847,-4.98818,0.412996,0.930298,0,-5.52202,1.86,0.497626,-4.7109,0.413758,0.950891,0,-5.68674,1.86,0.211443,-5.03695,0.502224,0.45634,0,-5.76799,1.86,0.75079,-5.16336,0.471333,1.37837,0,-6.0711,1.86,0.317907,-5.6596,0.311275,0.634186,0,
0.0333341,-6.30465,3.27487,0.335727,-6.06635,2.89833,0.667251,-5.44632,1.86,0.745386,-4.90985,0.981155,1.20692,0,-5.44559,1.86,0.627172,-4.97434,1.09432,1.02487,0,-5.76283,1.86,0.555853,-5.28797,0.841213,0.972888,0,-5.58615,1.86,0.396461,-5.09516,0.978023,0.735342,0,-6.16,-0.808951,-0.00533181,-5.90514,-1.10831,0.302362,0,-5.55881,1.86,0.656425,-5.04884,0.955015,1.09397,0,-5.6941,1.86,0.671907,-5.23036,0.948206,1.11603,0,-5.95921,1.86,0.490034,-5.59814,0.958223,0.864022,0,-5.3957,1.86,0.170934,-4.87762,1.04574,0.438062,0,-5.5481,1.86,0.124714,-5.01506,0.923898,0.353972,0,-5.81091,1.86,0.410301,-5.42405,1.04745,0.749766,0,-5.40357,1.86,0.51746,-4.90628,1.0723,0.887752,0,-5.559,1.86,0.22954,-5.09248,1.0458,0.514544,0,-6.125,1.86,0.420668,-5.82688,0.970371,0.767616,0,-5.39066,1.86,0.31136,-4.86599,1.0371,0.620819,0,-5.78043,1.86,0.304697,-5.37141,1.01274,0.61176,0,-5.68018,1.86,0.485847,-5.22831,0.988868,0.855873,0,-5.52202,1.86,0.497626,-4.9659,0.900526,0.881986,0,-5.68674,1.86,0.211443,-5.25957,1.04543,0.492897,0,-5.76799,1.86,0.75079,-5.35257,1.00148,1.20962,0,-6.0711,1.86,0.317907,-5.74086,0.901957,0.627496,0,
0.0666681,-6.30465,3.27487,0.335727,-6.08134,2.89569,0.667736,-5.44632,1.86,0.745386,-4.99208,1.12492,1.16241,0,-5.44559,1.86,0.627172,-5.02296,1.17977,1.00484,0,-5.76283,1.86,0.555853,-5.35813,1.03636,0.940198,0,-5.58615,1.86,0.396461,-5.17385,1.14444,0.722616,0,-6.16,-0.808951,-0.00533181,-5.93469,-0.242841,0.369637,0,-5.55881,1.86,0.656425,-5.14574,1.15334,1.04697,0,-5.6941,1.86,0.671907,-5.31227,1.15247,1.06182,0,-5.95921,1.86,0.490034,-5.64817,1.18624,0.833886,0,-5.3957,1.86,0.170934,-4.9728,1.20648,0.448092,0,-5.5481,1.86,0.124714,-5.10987,1.11498,0.377074,0,-5.81091,1.86,0.410301,-5.47599,1.207,0.737022,0,-5.40357,1.86,0.51746,-4.98261,1.20251,0.864731,0,-5.559,1.86,0.22954,-5.17193,1.20946,0.518964,0,-6.125,1.86,0.420668,-5.85222,1.21165,0.749438,0,-5.39066,1.86,0.31136,-4.9469,1.17268,0.616608,0,-5.78043,1.86,0.304697,-5.43734,1.20655,0.610428,0,-5.68018,1.86,0.485847,-5.30491,1.17637,0.830108,0,-5.52202,1.86,0.497626,-5.07445,1.11087,0.85185,0,-5.68674,1.86,0.211443,-5.32736,1.21369,0.499648,0,-5.76799,1.86,0.75079,-5.34189,0.992249,1.20383,0,-6.0711,1.86,0.317907,-5.73208,0.90883,0.617794,0,
0.100002,-6.31435,3.27371,0.33554,-6.09221,2.89404,0.668091,-5.44632,1.86,0.745386,-5.00208,1.14021,1.16296,0,-5.44559,1.86,0.627172,-5.03382,1.19473,1.00701,0,-5.76283,1.86,0.555853,-5.36498,1.06116,0.941873,0,-5.58615,1.86,0.396461,-5.18764,1.17192,0.727579,0,-6.16,-0.808951,-0.00533181,-5.93452,-0.338271,0.365339,0,-5.55881,1.86,0.656425,-5.15428,1.16776,1.04898,0,-5.6941,1.86,0.671907,-5.31766,1.16495,1.06264,0,-5.95921,1.86,0.490034,-5.65023,1.20402,0.836452,0,-5.3957,1.86,0.170934,-4.99572,1.23956,0.457928,0,-5.5481,1.86,0.124714,-5.14662,1.19071,0.396428,0,-5.81091,1.86,0.410301,-5.47791,1.21544,0.741114,0,-5.40357,1.86,0.51746,-5.00862,1.2404,0.864552,0,-5.559,1.86,0.22954,-5.19075,1.24517,0.527882,0,-6.125,1.86,0.420668,-5.85059,1.19204,0.752297,0,-5.39066,1.86,0.31136,-4.98025,1.22401,0.62331,0,-5.78043,1.86,0.304697,-5.44765,1.24099,0.616477,0,-5.68018,1.86,0.485847,-5.31902,1.21198,0.831233,0,-5.52202,1.86,0.497626,-5.10313,1.16671,0.849853,0,-5.68674,1.86,0.211443,-5.33525,1.23141,0.505171,0,-5.76799,1.86,0.75079,-5.39579,1.12919,1.1731,0,-6.0711,1.86,0.317907,-5.77519,1.18051,0.62767,0,
0.133336,-6.31435,3.27371,0.33554,-6.10172,2.89238,0.668399,-5.44632,1.86,0.745386,-4.99504,1.14074,1.16655,0,-5.44559,1.86,0.627172,-5.02797,1.19954,1.00729,0,-5.76283,1.86,0.555853,-5.36032,1.07194,0.944162,0,-5.58615,1.86,0.396461,-5.18218,1.17564,0.731147,0,-6.16,-0.808951,-0.00533181,-5.92234,-0.499125,0.356366,0,-5.55881,1.86,0.656425,-5.14941,1.17269,1.05019,0,-5.6941,1.86,0.671907,-5.31061,1.16751,1.06774,0,-5.95921,1.86,0.490034,-5.64322,1.20085,0.841631,0,-5.3957,1.86,0.170934,-4.9872,1.23448,0.461254,0,-5.5481,1.86,0.124714,-5.14761,1.20349,0.400962,0,-5.81091,1.86,0.410301,-5.46858,1.21147,0.747683,0,-5.40357,1.86,0.51746,-4.99716,1.23202,0.870444,0,-5.559,1.86,0.22954,-5.18095,1.23636,0.527853,0,-6.125,1.86,0.420668,-5.84814,1.18671,0.755631,0,-5.39066,1.86,0.31136,-4.96428,1.20437,0.626809,0,-5.78043,1.86,0.304697,-5.4401,1.23739,0.619895,0,-5.68018,1.86,0.485847,-5.31269,1.21296,0.834715,0,-5.52202,1.86,0.497626,-5.10109,1.17338,0.854038,0,-5.68674,1.86,0.211443,-5.33039,1.23114,0.508644,0,-5.76799,1.86,0.75079,-5.38773,1.12799,1.17861,0,-6.0711,1.86,0.317907,-5.76913,1.17852,0.632522,0,
0.16667,-6.33985,3.2703,0.335825,-6.12723,2.88798,0.669225,-5.44632,1.86,0.745386,-5.01667,1.17081,1.16198,0,-5.44559,1.86,0.627172,-5.04882,1.22661,1.00745,0,-5.76283,1.86,0.555853,-5.3829,1.12173,0.938279,0,-5.58615,1.86,0.396461,-5.20466,1.21261,0.73256,0,-6.16,-0.808951,-0.00533181,-5.92457,-0.432539,0.36012,0,-5.55881,1.86,0.656425,-5.16954,1.20369,1.04998,0,-5.6941,1.86,0.671907,-5.32674,1.19005,1.06281,0,-5.95921,1.86,0.490034,-5.65729,1.23697,0.83989,0,-5.3957,1.86,0.170934,-5.01945,1.2844,0.470053,0,-5.5481,1.86,0.124714,-5.17966,1.2599,0.414154,0,-5.81091,1.86,0.410301,-5.48501,1.24442,0.749389,0,-5.40357,1.86,0.51746,-5.02243,1.26752,0.869657,0,-5.559,1.86,0.22954,-5.20901,1.28983,0.533403,0,-6.125,1.86,0.420668,-5.85164,1.18827,0.756858,0,-5.39066,1.86,0.31136,-4.98708,1.23521,0.630265,0,-5.78043,1.86,0.304697,-5.4575,1.27213,0.622259,0,-5.68018,1.86,0.485847,-5.33634,1.26203,0.833229,0,-5.52202,1.86,0.497626,-5.12915,1.22011,0.851539,0,-5.68674,1.86,0.211443,-5.35118,1.27549,0.514522,0,-5.76799,1.86,0.75079,-5.41108,1.17635,1.16813,0,-6.0711,1.86,0.317907,-5.78366,1.23676,0.635019,0,
0.200004,-6.34962,3.26907,0.335648,-6.14189,2.88535,0.669699,-5.44632,1.86,0.745386,-5.00417,1.15627,1.1662,0,-5.44559,1.86,0.627172,-5.03581,1.21275,1.01237,0,-5.76283,1.86,0.555853,-5.37224,1.10683,0.940519,0,-5.58615,1.86,0.396461,-5.19296,1.19677,0.733088,0,-6.16,-0.808951,-0.00533181,-5.92383,-0.44518,0.356537,0,-5.55881,1.86,0.656425,-5.15779,1.19031,1.05111,0,-5.6941,1.86,0.671907,-5.31841,1.17446,1.06658,0,-5.95921,1.86,0.490034,-5.65146,1.22357,0.843174,0,-5.3957,1.86,0.170934,-5.00669,1.26851,0.469352,0,-5.5481,1.86,0.124714,-5.16937,1.2449,0.412161,0,-5.81091,1.86,0.410301,-5.47636,1.2294,0.750059,0,-5.40357,1.86,0.51746,-5.0111,1.25051,0.872383,0,-5.559,1.86,0.22954,-5.19864,1.27439,0.530772,0,-6.125,1.86,0.420668,-5.84956,1.17528,0.753923,0,-5.39066,1.86,0.31136,-4.97451,1.21825,0.627737,0,-5.78043,1.86,0.304697,-5.44854,1.25717,0.621728,0,-5.68018,1.86,0.485847,-5.32526,1.24812,0.836219,0,-5.52202,1.86,0.497626,-5.11862,1.20397,0.85373,0,-5.68674,1.86,0.211443,-5.34166,1.26137,0.514579,0,-5.76799,1.86,0.75079,-5.40227,1.16216,1.17231,0,-6.0711,1.86,0.317907,-5.7814,1.2231,0.635202,0,
0.233338,-6.37523,3.26527,0.335883,-6.1368,2.88631,0.669535,-5.44632,1.86,0.745386,-5.01994,1.19359,1.1531,0,-5.44559,1.86,0.627172,-5.05373,1.25572,1.00362,0,-5.76283,1.86,0.555853,-5.38587,1.15937,0.930144,0,-5.58615,1.86,0.396461,-5.21172,1.25416,0.729122,0,-6.16,-0.808951,-0.00533181,-5.92633,-0.418132,0.358096,0,-5.55881,1.86,0.656425,-5.16999,1.22411,1.04208,0,-5.6941,1.86,0.671907,-5.31556,1.19075,1.05805,0,-5.95921,1.86,0.490034,-5.65191,1.26838,0.83761,0,-5.3957,1.86,0.170934,-5.01306,1.28722,0.471761,0,-5.5481,1.86,0.124714,-5.18489,1.28645,0.418112,0,-5.81091,1.86,0.410301,-5.48193,1.27133,0.745812,0,-5.40357,1.86,0.51746,-5.01782,1.27256,0.868316,0,-5.559,1.86,0.22954,-5.21116,1.31013,0.535957,0,-6.125,1.86,0.420668,-5.83925,1.19059,0.752206,0,-5.39066,1.86,0.31136,-4.98433,1.24486,0.626767,0,-5.78043,1.86,0.304697,-5.45349,1.28931,0.622551,0,-5.68018,1.86,0.485847,-5.33782,1.28796,0.829251,0,-5.52202,1.86,0.497626,-5.12904,1.23381,0.851364,0,-5.68674,1.86,0.211443,-5.34285,1.27885,0.515086,0,-5.76799,1.86,0.75079,-5.41222,1.21218,1.15604,0,-6.0711,1.86,0.317907,-5.77814,1.26146,0.634998,0,
0.266672,-6.38503,3.26383,0.33574,-6.16217,2.88161,0.670352,-5.44632,1.86,0.745386,-5.00818,1.17466,1.15663,0,-5.44559,1.86,0.627172,-5.04286,1.23371,1.00277,0,-5.76283,1.86,0.555853,-5.38067,1.14249,0.93269,0,-5.58615,1.86,0.396461,-5.20216,1.2355,0.725062,0,-6.16,-0.808951,-0.00533181,-5.92679,-0.425368,0.353967,0,-5.55881,1.86,0.656425,-5.15931,1.20579,1.04337,0,-5.6941,1.86,0.671907,-5.31137,1.17732,1.06198,0,-5.95921,1.86,0.490034,-5.65262,1.25503,0.836117,0,-5.3957,1.86,0.170934,-5.00142,1.26801,0.464665,0,-5.5481,1.86,0.124714,-5.17716,1.26652,0.410241,0,-5.81091,1.86,0.410301,-5.48056,1.2552,0.742718,0,-5.40357,1.86,0.51746,-5.00857,1.25424,0.865846,0,-5.559,1.86,0.22954,-5.20394,1.28963,0.53239,0,-6.125,1.86,0.420668,-5.84127,1.17952,0.749101,0,-5.39066,1.86,0.31136,-4.97359,1.22636,0.624115,0,-5.78043,1.86,0.304697,-5.44989,1.27358,0.619133,0,-5.68018,1.86,0.485847,-5.32586,1.26047,0.830987,0,-5.52202,1.86,0.497626,-5.1185,1.21598,0.847507,0,-5.68674,1.86,0.211443,-5.33665,1.26231,0.511155,0,-5.76799,1.86,0.75079,-5.40907,1.19702,1.15954,0,-6.0711,1.86,0.317907,-5.77753,1.25045,0.632373,0,
0.300007,-6.38503,3.26383,0.33574,-6.17218,2.87969,0.670673,-5.44632,1.86,0.745386,-5.02012,1.18652,1.15555,0,-5.44559,1.86,0.627172,-5.05484,1.24476,1.00104,0,-5.76283,1.86,0.555853,-5.38529,1.15005,0.934757,0,-5.58615,1.86,0.396461,-5.21233,1.24728,0.728363,0,-6.16,-0.808951,-0.00533181,-5.93354,-0.426676,0.356514,0,-5.55881,1.86,0.656425,-5.16944,1.21658,1.04367,0,-5.6941,1.86,0.671907,-5.31688,1.18223,1.06282,0,-5.95921,1.86,0.490034,-5.65349,1.25853,0.838907,0,-5.3957,1.86,0.170934,-5.01335,1.2776,0.470047,0,-5.5481,1.86,0.124714,-5.17291,1.25408,0.410752,0,-5.81091,1.86,0.410301,-5.48533,1.26003,0.74326,0,-5.40357,1.86,0.51746,-5.0195,1.26496,0.869492,0,-5.559,1.86,0.22954,-5.21239,1.29795,0.539133,0,-6.125,1.86,0.420668,-5.84409,1.18037,0.752699,0,-5.39066,1.86,0.31136,-4.98613,1.23644,0.628103,0,-5.78043,1.86,0.304697,-5.45595,1.27875,0.62079,0,-5.68018,1.86,0.485847,-5.32824,1.26041,0.833291,0,-5.52202,1.86,0.497626,-5.13021,1.22725,0.849438,0,-5.68674,1.86,0.211443,-5.34268,1.2686,0.514629,0,-5.76799,1.86,0.75079,-5.4152,1.20243,1.15968,0,-6.0711,1.86,0.317907,-5.7818,1.2513,0.63465,0,
