time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,
0,-7.51916,1.59441,0.336205,-7.24209,1.17695,0.682729,-6.16,1.24692,0.648936,-4.83967,0.562728,1.23551,0,-6.16,1.34569,0.55795,-4.78727,0.727735,1.08323,0,-6.16,1.35013,0.658364,-4.81458,0.740663,1.25812,0,-6.16,1.26323,0.410294,-4.74379,0.568193,0.818913,0,-6.16,1.45586,0.363992,-4.75693,0.923623,0.733536,0,-6.16,1.22043,0.503302,-4.74004,0.488494,0.990335,0,-6.16,0.960252,0.478385,-4.81924,0.0464911,0.936181,0,-6.16,0.902745,0.378951,-4.82071,-0.0552733,0.758881,0,-6.16,1.24011,0.173018,-4.79115,0.538044,0.388458,0,-6.16,0.988772,0.216627,-4.82026,0.0977888,0.469658,0,-6.16,1.37782,0.321346,-4.78898,0.786031,0.65591,0,-6.16,1.37129,0.220728,-4.85487,0.785064,0.479905,0,-6.16,1.71493,0.606609,-4.76712,1.39641,1.17512,0,-6.16,1.6694,0.695795,-4.71775,1.31622,1.35059,0,-6.16,1.82876,0.137815,-4.6277,1.62773,0.301118,0,-6.16,1.13765,0.670542,-4.80926,0.359368,1.28117,0,-6.16,1.3611,0.433764,-4.79878,0.757545,0.858106,0,-6.16,1.62218,0.490482,-4.82363,1.22637,0.957246,0,-6.16,1.82422,0.481385,-4.73606,1.60067,0.950413,0,-6.16,1.75523,0.396998,-4.69865,1.4779,0.796492,0,-6.16,1.07278,0.142462,-4.81722,0.246305,0.337073,0,-6.16,1.56297,0.650002,-4.73743,1.11902,1.26099,0,-6.16,1.68739,0.255446,-4.77188,1.34594,0.535953,0,-6.16,1.60165,0.395772,-4.66025,1.1907,0.795881,0,-6.16,1.07689,0.345999,-4.76832,0.235024,0.700555,0,-6.16,1.45967,0.469775,-4.84974,0.93978,0.917835,0,
0.0333341,-7.52124,1.56904,0.335893,-7.243,1.15088,0.682373,-6.16,1.24692,0.648936,-4.99264,0.608019,1.20094,0,-6.16,1.34569,0.55795,-4.93027,0.760231,1.05973,0,-6.16,1.35013,0.658364,-4.97316,0.775797,1.22108,0,-6.16,1.26323,0.410294,-4.89995,0.613895,0.809499,0,-6.16,1.45586,0.363992,-4.90947,0.945507,0.730466,0,-6.16,1.22043,0.503302,-4.90182,0.541739,0.970409,0,-6.16,0.960252,0.478385,-4.92722,0.104871,0.924537,0,-6.16,0.902745,0.378951,-4.9225,0.00495195,0.755548,0,-6.16,1.24011,0.173018,-4.94377,0.586141,0.407062,0,-6.16,0.988772,0.216627,-4.93227,0.15562,0.481482,0,-6.16,1.37782,0.321346,-4.9621,0.820372,0.658698,0,-6.16,1.37129,0.220728,-5.02639,0.820255,0.495816,0,-6.16,1.71493,0.606609,-4.91793,1.38988,1.1445,0,-6.16,1.6694,0.695795,-4.87885,1.31362,1.30824,0,-6.16,1.82876,0.137815,-4.75288,1.6114,0.318116,0,-6.16,1.13765,0.670542,-4.94268,0.411051,1.24615,0,-6.16,1.3611,0.433764,-5.02451,0.806267,0.84243,0,-6.16,1.62218,0.490482,-4.99358,1.22902,0.938845,0,-6.16,1.82422,0.481385,-4.87382,1.58153,0.938127,0,-6.16,1.75523,0.396998,-4.87792,1.46404,0.788273,0,-6.16,1.07278,0.142462,-4.93335,0.297555,0.354847,0,-6.16,1.56297,0.650002,-4.86554,1.12687,1.23144,0,-6.16,1.68739,0.255446,-4.93236,1.34096,0.54557,0,-6.16,1.60165,0.395772,-4.8594,1.19888,0.784517,0,-6.16,1.07689,0.345999,-4.8711,0.279702,0.696139,0,-6.16,1.45967,0.469775,-5.03116,0.965068,0.89942,0,
0.0666682,-7.52215,1.55913,0.336193,-7.2433,1.1409,0.682235,-6.16,1.24692,0.648936,-5.10678,0.646594,1.17022,0,-6.16,1.34569,0.55795,-5.05998,0.794376,1.03867,0,-6.16,1.35013,0.658364,-5.06106,0.798638,1.19909,0,-6.16,1.26323,0.410294,-5.03294,0.656395,0.798458,0,-6.16,1.45586,0.363992,-5.03648,0.967912,0.724815,0,-6.16,1.22043,0.503302,-5.03291,0.588036,0.950994,0,-6.16,0.960252,0.478385,-5.02308,0.159695,0.908783,0,-6.16,0.902745,0.378951,-5.01034,0.0596555,0.749716,0,-6.16,1.24011,0.173018,-5.07236,0.629653,0.420249,0,-6.16,0.988772,0.216627,-5.07647,0.232643,0.485925,0,-6.16,1.37782,0.321346,-5.09253,0.850308,0.657096,0,-6.16,1.37129,0.220728,-5.14834,0.848771,0.502919,0,-6.16,1.71493,0.606609,-5.0391,1.38845,1.11727,0,-6.16,1.6694,0.695795,-4.98938,1.31586,1.27401,0,-6.16,1.82876,0.137815,-4.84235,1.60306,0.323403,0,-6.16,1.13765,0.670542,-5.02468,0.445533,1.21848,0,-6.16,1.3611,0.433764,-5.1424,0.832907,0.827418,0,-6.16,1.62218,0.490482,-5.08167,1.23348,0.926234,0,-6.16,1.82422,0.481385,-4.99411,1.57095,0.920059,0,-6.16,1.75523,0.396998,-5.00354,1.45819,0.78183,0,-6.16,1.07278,0.142462,-5.04208,0.349832,0.367973,0,-6.16,1.56297,0.650002,-4.99388,1.14026,1.19625,0,-6.16,1.68739,0.255446,-5.04665,1.34147,0.548478,0,-6.16,1.60165,0.395772,-5.03137,1.20829,0.771703,0,-6.16,1.07689,0.345999,-4.99904,0.341346,0.694682,0,-6.16,1.45967,0.469775,-5.16255,0.986845,0.883657,0,
0.100002,-7.524,1.53315,0.336439,-7.24373,1.12572,0.682024,-6.16,1.24692,0.648936,-5.19026,0.671987,1.14898,0,-6.16,1.34569,0.55795,-5.1428,0.812845,1.02288,0,-6.16,1.35013,0.658364,-5.13153,0.815262,1.18091,0,-6.16,1.26323,0.410294,-5.1247,0.68279,0.792935,0,-6.16,1.45586,0.363992,-5.12362,0.980242,0.721676,0,-6.16,1.22043,0.503302,-5.10764,0.611236,0.938276,0,-6.16,0.960252,0.478385,-5.10057,0.201311,0.897816,0,-6.16,0.902745,0.378951,-5.0771,0.0987525,0.745393,0,-6.16,1.24011,0.173018,-5.16421,0.657484,0.429163,0,-6.16,0.988772,0.216627,-5.16352,0.275451,0.491619,0,-6.16,1.37782,0.321346,-5.171,0.865592,0.657328,0,-6.16,1.37129,0.220728,-5.24094,0.867666,0.509292,0,-6.16,1.71493,0.606609,-5.11587,1.38457,1.0999,0,-6.16,1.6694,0.695795,-5.0927,1.3153,1.24333,0,-6.16,1.82876,0.137815,-4.92664,1.59447,0.336157,0,-6.16,1.13765,0.670542,-5.09661,0.47461,1.19726,0,-6.16,1.3611,0.433764,-5.18454,0.840375,0.823954,0,-6.16,1.62218,0.490482,-5.19734,1.23699,0.909358,0,-6.16,1.82422,0.481385,-5.06318,1.56209,0.912166,0,-6.16,1.75523,0.396998,-5.12853,1.4493,0.775252,0,-6.16,1.07278,0.142462,-5.13079,0.388907,0.377659,0,-6.16,1.56297,0.650002,-5.08594,1.14654,1.17446,0,-6.16,1.68739,0.255446,-5.14665,1.33939,0.554685,0,-6.16,1.60165,0.395772,-5.12382,1.21023,0.766194,0,-6.16,1.07689,0.345999,-5.08331,0.377709,0.692061,0,-6.16,1.45967,0.469775,-5.21037,0.990765,0.873392,0,
0.133336,-7.5251,1.52301,0.336436,-7.24407,1.11484,0.681874,-6.16,1.24692,0.648936,-5.27403,0.699521,1.12939,0,-6.16,1.34569,0.55795,-5.23238,0.835366,1.00627,0,-6.16,1.35013,0.658364,-5.20603,0.834653,1.16161,0,-6.16,1.26323,0.410294,-5.20814,0.708758,0.788706,0,-6.16,1.45586,0.363992,-5.20903,0.994616,0.720194,0,-6.16,1.22043,0.503302,-5.19681,0.642694,0.927747,0,-6.16,0.960252,0.478385,-5.17392,0.242216,0.892912,0,-6.16,0.902745,0.378951,-5.13925,0.136833,0.745298,0,-6.16,1.24011,0.173018,-5.23262,0.680006,0.437569,0,-6.16,0.988772,0.216627,-5.20038,0.294418,0.498687,0,-6.16,1.37782,0.321346,-5.25515,0.884404,0.663232,0,-6.16,1.37129,0.220728,-5.31154,0.883729,0.515483,0,-6.16,1.71493,0.606609,-5.20135,1.38326,1.08237,0,-6.16,1.6694,0.695795,-5.22476,1.3153,1.20462,0,-6.16,1.82876,0.137815,-5.01455,1.58623,0.35033,0,-6.16,1.13765,0.670542,-5.18634,0.51242,1.17955,0,-6.16,1.3611,0.433764,-5.2729,0.863104,0.818247,0,-6.16,1.62218,0.490482,-5.28082,1.23999,0.900832,0,-6.16,1.82422,0.481385,-5.12584,1.55672,0.904056,0,-6.16,1.75523,0.396998,-5.22342,1.44304,0.769703,0,-6.16,1.07278,0.142462,-5.18895,0.415611,0.385318,0,-6.16,1.56297,0.650002,-5.17138,1.15428,1.15353,0,-6.16,1.68739,0.255446,-5.21386,1.33877,0.556156,0,-6.16,1.60165,0.395772,-5.20339,1.21485,0.76239,0,-6.16,1.07689,0.345999,-5.15848,0.41238,0.69186,0,-6.16,1.45967,0.469775,-5.28313,1.00447,0.866179,0,
0.16667,-7.5251,1.52301,0.336436,-7.24431,1.10429,0.681725,-6.16,1.24692,0.648936,-5.29683,0.706302,1.12233,0,-6.16,1.34569,0.55795,-5.2866,0.848551,0.996925,0,-6.16,1.35013,0.658364,-5.26222,0.848805,1.14964,0,-6.16,1.26323,0.410294,-5.27337,0.728758,0.784689,0,-6.16,1.45586,0.363992,-5.27718,1.00563,0.718299,0,-6.16,1.22043,0.503302,-5.24926,0.66029,0.922546,0,-6.16,0.960252,0.478385,-5.22864,0.27221,0.886796,0,-6.16,0.902745,0.378951,-5.18947,0.16713,0.743191,0,-6.16,1.24011,0.173018,-5.29262,0.699982,0.444231,0,-6.16,0.988772,0.216627,-5.23713,0.315278,0.500829,0,-6.16,1.37782,0.321346,-5.31441,0.897562,0.663881,0,-6.16,1.37129,0.220728,-5.36683,0.896601,0.520337,0,-6.16,1.71493,0.606609,-5.28469,1.38086,1.06856,0,-6.16,1.6694,0.695795,-5.29509,1.31467,1.18877,0,-6.16,1.82876,0.137815,-5.07797,1.57961,0.358423,0,-6.16,1.13765,0.670542,-5.25498,0.540065,1.16378,0,-6.16,1.3611,0.433764,-5.36158,0.883149,0.811743,0,-6.16,1.62218,0.490482,-5.32739,1.24198,0.895664,0,-6.16,1.82422,0.481385,-5.17652,1.55239,0.900915,0,-6.16,1.75523,0.396998,-5.29195,1.43872,0.766083,0,-6.16,1.07278,0.142462,-5.2485,0.443597,0.392512,0,-6.16,1.56297,0.650002,-5.2247,1.15897,1.14069,0,-6.16,1.68739,0.255446,-5.26043,1.33916,0.559153,0,-6.16,1.60165,0.395772,-5.27124,1.21865,0.761711,0,-6.16,1.07689,0.345999,-5.23873,0.448767,0.691637,0,-6.16,1.45967,0.469775,-5.33215,1.01281,0.862749,0,
0.200004,-7.52612,1.49527,0.337424,-7.24481,1.07725,0.68134,-6.16,1.24692,0.648936,-5.32542,0.708972,1.11456,0,-6.16,1.34569,0.55795,-5.34709,0.85498,0.987048,0,-6.16,1.35013,0.658364,-5.32358,0.855474,1.13487,0,-6.16,1.26323,0.410294,-5.33087,0.737813,0.782264,0,-6.16,1.45586,0.363992,-5.33898,1.0066,0.716426,0,-6.16,1.22043,0.503302,-5.30661,0.672001,0.91323,0,-6.16,0.960252,0.478385,-5.28391,0.29559,0.880146,0,-6.16,0.902745,0.378951,-5.2363,0.188957,0.741613,0,-6.16,1.24011,0.173018,-5.34789,0.709563,0.450321,0,-6.16,0.988772,0.216627,-5.28196,0.332826,0.504975,0,-6.16,1.37782,0.321346,-5.59903,0.922207,0.666417,0,-6.16,1.37129,0.220728,-5.43075,0.901588,0.529568,0,-6.16,1.71493,0.606609,-5.39641,1.36671,1.04752,0,-6.16,1.6694,0.695795,-5.64796,1.27076,1.09536,0,-6.16,1.82876,0.137815,-5.15794,1.5635,0.37003,0,-6.16,1.13765,0.670542,-5.30799,0.553544,1.14981,0,-6.16,1.3611,0.433764,-5.41638,0.885959,0.807938,0,-6.16,1.62218,0.490482,-5.37602,1.2356,0.888949,0,-6.16,1.82422,0.481385,-5.2311,1.53935,0.894595,0,-6.16,1.75523,0.396998,-5.62979,1.37517,0.750902,0,-6.16,1.07278,0.142462,-5.29809,0.458849,0.40058,0,-6.16,1.56297,0.650002,-5.29322,1.15649,1.12449,0,-6.16,1.68739,0.255446,-5.30669,1.33097,0.561145,0,-6.16,1.60165,0.395772,-5.29816,1.21137,0.760209,0,-6.16,1.07689,0.345999,-5.60858,0.564808,0.690864,0,-6.16,1.45967,0.469775,-5.40084,1.01494,0.854717,0,
0.233338,-7.52698,1.46856,0.338368,-7.245,1.0622,0.681123,-6.16,1.24692,0.648936,-5.66699,0.77668,1.03608,0,-6.16,1.34569,0.55795,-5.67195,0.894234,0.933405,0,-6.16,1.35013,0.658364,-5.6652,0.896271,1.05137,0,-6.16,1.26323,0.410294,-5.69234,0.80453,0.765885,0,-6.16,1.45586,0.363992,-5.64781,1.01847,0.710171,0,-6.16,1.22043,0.503302,-5.66864,0.749924,0.868849,0,-6.16,0.960252,0.478385,-5.65451,0.445077,0.842586,0,-6.16,0.902745,0.378951,-5.62804,0.364569,0.730473,0,-6.16,1.24011,0.173018,-5.66779,0.772454,0.488147,0,-6.16,0.988772,0.216627,-5.62958,0.465515,0.535041,0,-6.16,1.37782,0.321346,-5.64295,0.927096,0.665671,0,-6.16,1.37129,0.220728,-5.71307,0.929351,0.551529,0,-6.16,1.71493,0.606609,-5.69594,1.3174,0.984728,0,-6.16,1.6694,0.695795,-5.69626,1.26664,1.08073,0,-6.16,1.82876,0.137815,-5.61204,1.45909,0.436624,0,-6.16,1.13765,0.670542,-5.67593,0.655034,1.06052,0,-6.16,1.3611,0.433764,-5.72426,0.920202,0.785231,0,-6.16,1.62218,0.490482,-5.66256,1.2104,0.85699,0,-6.16,1.82422,0.481385,-5.62241,1.44871,0.851176,0,-6.16,1.75523,0.396998,-5.66543,1.36886,0.74881,0,-6.16,1.07278,0.142462,-5.64656,0.570919,0.45028,0,-6.16,1.56297,0.650002,-5.65899,1.14333,1.04032,0,-6.16,1.68739,0.255446,-5.66215,1.28701,0.581848,0,-6.16,1.60165,0.395772,-5.66298,1.18849,0.743938,0,-6.16,1.07689,0.345999,-5.65346,0.581213,0.689401,0,-6.16,1.45967,0.469775,-5.69626,1.02743,0.828098,0,
0.266672,-7.52758,1.45858,0.338896,-7.24501,1.05095,0.680956,-6.16,1.24692,0.648936,-5.69798,0.787927,1.02865,0,-6.16,1.34569,0.55795,-5.7035,0.903304,0.930029,0,-6.16,1.35013,0.658364,-5.69486,0.904835,1.04431,0,-6.16,1.26323,0.410294,-5.73476,0.819201,0.7644,0,-6.16,1.45586,0.363992,-5.66542,1.02252,0.710471,0,-6.16,1.22043,0.503302,-5.69393,0.759575,0.866875,0,-6.16,0.960252,0.478385,-5.67901,0.460259,0.840773,0,-6.16,0.902745,0.378951,-5.64422,0.376757,0.731235,0,-6.16,1.24011,0.173018,-5.69961,0.783953,0.491557,0,-6.16,0.988772,0.216627,-5.66768,0.487227,0.539066,0,-6.16,1.37782,0.321346,-5.67809,0.935718,0.665528,0,-6.16,1.37129,0.220728,-5.72533,0.93316,0.55328,0,-6.16,1.71493,0.606609,-5.70572,1.31977,0.984022,0,-6.16,1.6694,0.695795,-5.73889,1.26541,1.06923,0,-6.16,1.82876,0.137815,-5.59759,1.46519,0.434769,0,-6.16,1.13765,0.670542,-5.69618,0.664306,1.05624,0,-6.16,1.3611,0.433764,-5.72659,0.921469,0.78533,0,-6.16,1.62218,0.490482,-5.69319,1.21387,0.854308,0,-6.16,1.82422,0.481385,-5.63237,1.45243,0.850427,0,-6.16,1.75523,0.396998,-5.70544,1.36371,0.74714,0,-6.16,1.07278,0.142462,-5.67045,0.582849,0.454359,0,-6.16,1.56297,0.650002,-5.68047,1.14688,1.03495,0,-6.16,1.68739,0.255446,-5.68814,1.28954,0.583877,0,-6.16,1.60165,0.395772,-5.68913,1.19206,0.741771,0,-6.16,1.07689,0.345999,-5.69989,0.600027,0.69019,0,-6.16,1.45967,0.469775,-5.72181,1.03312,0.825743,0,
0.300007,-7.52758,1.45858,0.338896,-7.245,1.04111,0.680809,-6.16,1.24692,0.648936,-5.73307,0.798501,1.02093,0,-6.16,1.34569,0.55795,-5.73038,0.908751,0.92397,0,-6.16,1.35013,0.658364,-5.7242,0.910948,1.03853,0,-6.16,1.26323,0.410294,-5.76635,0.827347,0.76285,0,-6.16,1.45586,0.363992,-5.69814,1.02724,0.710479,0,-6.16,1.22043,0.503302,-5.72686,0.769955,0.863456,0,-6.16,0.960252,0.478385,-5.73503,0.485543,0.837415,0,-6.16,0.902745,0.378951,-5.70925,0.40814,0.730436,0,-6.16,1.24011,0.173018,-5.73075,0.792877,0.495392,0,-6.16,0.988772,0.216627,-5.71633,0.506639,0.545297,0,-6.16,1.37782,0.321346,-5.71118,0.941732,0.665912,0,-6.16,1.37129,0.220728,-5.75139,0.939289,0.556664,0,-6.16,1.71493,0.606609,-5.76571,1.3156,0.972331,0,-6.16,1.6694,0.695795,-5.7356,1.26781,1.07182,0,-6.16,1.82876,0.137815,-5.62612,1.46354,0.438622,0,-6.16,1.13765,0.670542,-5.73301,0.677598,1.05115,0,-6.16,1.3611,0.433764,-5.75136,0.928188,0.784606,0,-6.16,1.62218,0.490482,-5.73713,1.21271,0.849259,0,-6.16,1.82422,0.481385,-5.70431,1.43732,0.842165,0,-6.16,1.75523,0.396998,-5.74031,1.3596,0.746188,0,-6.16,1.07278,0.142462,-5.71146,0.598887,0.461929,0,-6.16,1.56297,0.650002,-5.7207,1.14848,1.0264,0,-6.16,1.68739,0.255446,-5.73155,1.28436,0.58741,0,-6.16,1.60165,0.395772,-5.74237,1.19324,0.739509,0,-6.16,1.07689,0.345999,-5.72721,0.611444,0.691209,0,-6.16,1.45967,0.469775,-5.75498,1.03766,0.823186,0,
