time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,
0,7.25426,2.53939,0.196734,7.28424,2.52177,0.24009,6.16,1.84346,0.463612,5.42006,1.33617,0.694744,0,6.16,1.46163,0.621421,5.5094,0.773674,0.928916,0,6.16,1.84419,0.370974,5.50845,1.39356,0.522853,0,6.16,1.57403,0.54239,5.47778,0.928082,0.810719,0,6.16,1.71455,0.557683,5.49581,1.17365,0.830019,0,6.16,1.80624,0.601698,5.46958,1.30595,0.911662,0,6.16,1.68159,0.438051,5.47314,1.10201,0.639493,0,5.61841,1.86,0.278673,4.81309,1.49546,0.363869,0,5.98081,1.86,0.497142,5.24294,1.43272,0.721636,0,6.16,1.74803,0.268758,5.45023,1.19542,0.360805,0,6.15463,1.86,0.150762,5.4617,1.39572,0.163895,0,6.16,1.47933,0.0341806,5.52233,0.814904,-0.0216449,0,6.16,1.49414,0.332009,5.46697,0.785882,0.464746,0,6.16,1.47422,0.460201,5.50393,0.788775,0.66874,0,6.16,1.70611,0.158619,5.46442,1.13597,0.176702,0,5.61763,1.86,0.447962,4.85122,1.51178,0.613566,0,6.16,1.61063,0.341843,5.49104,0.999772,0.477885,0,5.82119,1.86,0.66866,4.9434,1.41201,1.01096,0,6.10702,1.86,0.28241,5.43752,1.42814,0.378004,0,4.59613,1.86,1.07832,4.37841,1.77906,1.20384,0,6.16,1.57891,0.222884,5.47559,0.934219,0.283311,0,5.065,1.86,0.700981,4.45431,1.64356,0.891901,0,6.16,1.42186,0.239986,5.50866,0.708411,0.310272,0,5.43874,1.86,0.796968,4.77522,1.58285,1.06961,0,5.87167,1.86,0.193775,5.1201,1.45832,0.235458,0,5.85896,1.86,0.0864353,5.15441,1.48472,0.0717257,0,5.92603,1.86,0.379951,5.10565,1.4074,0.540609,0,5.15058,1.86,0.269409,4.56288,1.64289,0.334103,0,4.6151,1.86,0.505535,4.32289,1.75943,0.586591,0,5.61408,1.86,0.599483,4.866,1.52008,0.833894,0,4.90451,1.86,0.0128375,4.39592,1.68665,0.014043,0,
0.0333341,7.24922,2.54809,0.196361,7.27962,2.5315,0.240562,6.16,1.84346,0.463612,5.51657,1.39394,0.669641,0,6.16,1.46163,0.621421,5.55292,0.817166,0.910218,0,6.16,1.84419,0.370974,5.61306,1.45552,0.505425,0,6.16,1.57403,0.54239,5.54759,0.987317,0.78739,0,6.16,1.71455,0.557683,5.5644,1.22375,0.805314,0,6.16,1.80624,0.601698,5.55214,1.35848,0.879547,0,6.16,1.68159,0.438051,5.55692,1.16472,0.619372,0,5.61841,1.86,0.278673,4.88007,1.52327,0.358377,0,5.98081,1.86,0.497142,5.31613,1.47117,0.700924,0,6.16,1.74803,0.268758,5.54035,1.25706,0.353402,0,6.15463,1.86,0.150762,5.56733,1.45699,0.166352,0,6.16,1.47933,0.0341806,5.58633,0.874087,-0.0128744,0,6.16,1.49414,0.332009,5.53403,0.84788,0.455063,0,6.16,1.47422,0.460201,5.56005,0.842874,0.65441,0,6.16,1.70611,0.158619,5.55577,1.20163,0.178611,0,5.61763,1.86,0.447962,4.90301,1.53434,0.603197,0,6.16,1.61063,0.341843,5.57212,1.06455,0.463631,0,5.82119,1.86,0.66866,4.98634,1.43332,0.9941,0,6.10702,1.86,0.28241,5.53408,1.48194,0.368715,0,4.59613,1.86,1.07832,4.37092,1.78895,1.2035,0,6.16,1.57891,0.222884,5.5477,0.994887,0.280284,0,5.065,1.86,0.700981,4.47155,1.6556,0.883725,0,6.16,1.42186,0.239986,5.5712,0.770368,0.306815,0,5.43874,1.86,0.796968,4.79591,1.59522,1.05989,0,5.87167,1.86,0.193775,5.19791,1.49531,0.2314,0,5.85896,1.86,0.0864353,5.23229,1.52125,0.0759591,0,5.92603,1.86,0.379951,5.19832,1.45186,0.527466,0,5.15058,1.86,0.269409,4.58681,1.65668,0.331297,0,4.6151,1.86,0.505535,4.333,1.76996,0.58452,0,5.61408,1.86,0.599483,4.92915,1.54544,0.816321,0,4.90451,1.86,0.0128375,4.43765,1.7009,0.0159594,0,
0.0666681,7.23714,2.57076,0.196439,7.27509,2.54032,0.240999,6.16,1.84346,0.463612,5.61735,1.45291,0.644671,0,6.16,1.46163,0.621421,5.60779,0.867736,0.887352,0,6.16,1.84419,0.370974,5.71188,1.51381,0.489002,0,6.16,1.57403,0.54239,5.61293,1.04167,0.766832,0,6.16,1.71455,0.557683,5.64006,1.27655,0.778908,0,6.16,1.80624,0.601698,5.63801,1.41132,0.847608,0,6.16,1.68159,0.438051,5.62598,1.21618,0.604007,0,5.61841,1.86,0.278673,4.95285,1.55163,0.353774,0,5.98081,1.86,0.497142,5.39199,1.50862,0.682469,0,6.16,1.74803,0.268758,5.63009,1.31753,0.346698,0,6.15463,1.86,0.150762,5.6622,1.51164,0.169904,0,6.16,1.47933,0.0341806,5.63951,0.923952,-0.00460577,0,6.16,1.49414,0.332009,5.60329,0.910179,0.445155,0,6.16,1.47422,0.460201,5.62309,0.90044,0.637827,0,6.16,1.70611,0.158619,5.63965,1.26156,0.181517,0,5.61763,1.86,0.447962,4.958,1.55662,0.594899,0,6.16,1.61063,0.341843,5.64203,1.12089,0.454314,0,5.82119,1.86,0.66866,5.04654,1.45958,0.974401,0,6.10702,1.86,0.28241,5.62924,1.53412,0.360769,0,4.59613,1.86,1.07832,4.38842,1.79577,1.19923,0,6.16,1.57891,0.222884,5.62037,1.05486,0.277603,0,5.065,1.86,0.700981,4.4766,1.66476,0.885109,0,6.16,1.42186,0.239986,5.62478,0.823326,0.304555,0,5.43874,1.86,0.796968,4.84229,1.61137,1.04303,0,5.87167,1.86,0.193775,5.28549,1.53462,0.232417,0,5.85896,1.86,0.0864353,5.32665,1.5629,0.0820106,0,5.92603,1.86,0.379951,5.29105,1.49559,0.514723,0,5.15058,1.86,0.269409,4.62504,1.67013,0.329192,0,4.6151,1.86,0.505535,4.34929,1.77886,0.581724,0,5.61408,1.86,0.599483,5.02687,1.5807,0.794435,0,4.90451,1.86,0.0128375,4.47515,1.71434,0.0187938,0,
0.100002,7.23714,2.57076,0.196439,7.26329,2.563,0.242125,6.16,1.84346,0.463612,5.69625,1.48912,0.625676,0,6.16,1.46163,0.621421,5.68648,0.918043,0.862035,0,6.16,1.84419,0.370974,5.77769,1.54447,0.477796,0,6.16,1.57403,0.54239,5.67644,1.07707,0.7506,0,6.16,1.71455,0.557683,5.69991,1.30596,0.762295,0,6.16,1.80624,0.601698,5.70487,1.44203,0.824184,0,6.16,1.68159,0.438051,5.68121,1.24347,0.591835,0,5.61841,1.86,0.278673,5.00973,1.5564,0.352534,0,5.98081,1.86,0.497142,5.46824,1.53285,0.664092,0,6.16,1.74803,0.268758,5.70986,1.35917,0.34041,0,6.15463,1.86,0.150762,5.74309,1.54917,0.16878,0,6.16,1.47933,0.0341806,5.69664,0.956984,0.000594959,0,6.16,1.49414,0.332009,5.66991,0.951146,0.435452,0,6.16,1.47422,0.460201,5.67944,0.933044,0.627865,0,6.16,1.70611,0.158619,5.7143,1.30216,0.179899,0,5.61763,1.86,0.447962,5.01561,1.56103,0.583391,0,6.16,1.61063,0.341843,5.70009,1.15236,0.447446,0,5.82119,1.86,0.66866,5.10097,1.46617,0.957207,0,6.10702,1.86,0.28241,5.69763,1.56251,0.354918,0,4.59613,1.86,1.07832,4.39594,1.77847,1.19352,0,6.16,1.57891,0.222884,5.67732,1.08615,0.275393,0,5.065,1.86,0.700981,4.48769,1.64795,0.880068,0,6.16,1.42186,0.239986,5.66675,0.844872,0.305622,0,5.43874,1.86,0.796968,4.8566,1.60194,1.0393,0,5.87167,1.86,0.193775,5.38903,1.56662,0.232305,0,5.85896,1.86,0.0864353,5.3893,1.57894,0.0853905,0,5.92603,1.86,0.379951,5.36449,1.51669,0.503194,0,5.15058,1.86,0.269409,4.69247,1.66703,0.325845,0,4.6151,1.86,0.505535,4.35786,1.76143,0.579193,0,5.61408,1.86,0.599483,5.07926,1.586,0.779596,0,4.90451,1.86,0.0128375,4.50666,1.70238,0.0174795,0,
0.133336,7.22506,2.59227,0.196513,7.25644,2.57548,0.242755,6.16,1.84346,0.463612,5.76085,1.52691,0.610921,0,6.16,1.46163,0.621421,5.73227,0.958863,0.843971,0,6.16,1.84419,0.370974,5.83673,1.57901,0.469154,0,6.16,1.57403,0.54239,5.72615,1.11617,0.734223,0,6.16,1.71455,0.557683,5.76484,1.3495,0.741702,0,6.16,1.80624,0.601698,5.76858,1.48049,0.801417,0,6.16,1.68159,0.438051,5.73848,1.28318,0.579981,0,5.61841,1.86,0.278673,5.06186,1.57378,0.350966,0,5.98081,1.86,0.497142,5.52141,1.55827,0.653851,0,6.16,1.74803,0.268758,5.76239,1.39445,0.338723,0,6.15463,1.86,0.150762,5.80111,1.58251,0.174209,0,6.16,1.47933,0.0341806,5.75959,1.01048,0.00761668,0,6.16,1.49414,0.332009,5.71514,0.989598,0.431647,0,6.16,1.47422,0.460201,5.72546,0.972364,0.615696,0,6.16,1.70611,0.158619,5.76849,1.33996,0.183869,0,5.61763,1.86,0.447962,5.07359,1.58008,0.577579,0,6.16,1.61063,0.341843,5.75978,1.19759,0.438284,0,5.82119,1.86,0.66866,5.15117,1.4853,0.941978,0,6.10702,1.86,0.28241,5.75901,1.59577,0.350728,0,4.59613,1.86,1.07832,4.1374,1.70512,1.28304,0,6.16,1.57891,0.222884,5.73364,1.1298,0.274731,0,5.065,1.86,0.700981,4.51665,1.65205,0.877922,0,6.16,1.42186,0.239986,5.71909,0.890017,0.302606,0,5.43874,1.86,0.796968,4.87375,1.60613,1.03719,0,5.87167,1.86,0.193775,5.44773,1.59332,0.232697,0,5.85896,1.86,0.0864353,5.44359,1.6019,0.0911454,0,5.92603,1.86,0.379951,5.44466,1.55246,0.494577,0,5.15058,1.86,0.269409,4.77171,1.68595,0.328262,0,4.6151,1.86,0.505535,4.24865,1.7285,0.591874,0,5.61408,1.86,0.599483,5.09692,1.59347,0.778634,0,4.90451,1.86,0.0128375,4.71529,1.7659,0.0365053,0,
0.16667,7.21987,2.60037,0.19613,7.25133,2.5848,0.243224,6.16,1.84346,0.463612,5.82077,1.5649,0.597677,0,6.16,1.46163,0.621421,5.77147,0.997424,0.830875,0,6.16,1.84419,0.370974,5.88887,1.61233,0.462027,0,6.16,1.57403,0.54239,5.77496,1.15852,0.719999,0,6.16,1.71455,0.557683,5.82064,1.39129,0.724808,0,6.16,1.80624,0.601698,5.81807,1.5139,0.784911,0,6.16,1.68159,0.438051,5.81325,1.33978,0.56461,0,5.61841,1.86,0.278673,5.12068,1.59793,0.346453,0,5.98081,1.86,0.497142,5.58778,1.59267,0.641226,0,6.16,1.74803,0.268758,5.82907,1.44155,0.334586,0,6.15463,1.86,0.150762,5.86172,1.61972,0.17765,0,6.16,1.47933,0.0341806,5.80869,1.05815,0.01667,0,6.16,1.49414,0.332009,5.75953,1.03165,0.42748,0,6.16,1.47422,0.460201,5.77805,1.02193,0.604876,0,6.16,1.70611,0.158619,5.82221,1.38061,0.18699,0,5.61763,1.86,0.447962,5.1216,1.60089,0.571537,0,6.16,1.61063,0.341843,5.81283,1.24236,0.433493,0,5.82119,1.86,0.66866,5.2021,1.50938,0.927812,0,6.10702,1.86,0.28241,5.81858,1.63097,0.34699,0,4.59613,1.86,1.07832,4.1288,1.70596,1.28741,0,6.16,1.57891,0.222884,5.78681,1.17606,0.275168,0,5.065,1.86,0.700981,4.53136,1.65622,0.876913,0,6.16,1.42186,0.239986,5.76872,0.939911,0.301964,0,5.43874,1.86,0.796968,4.93503,1.62551,1.01758,0,5.87167,1.86,0.193775,5.51447,1.62556,0.234695,0,5.85896,1.86,0.0864353,5.49533,1.62726,0.0962627,0,5.92603,1.86,0.379951,5.50623,1.58452,0.487049,0,5.15058,1.86,0.269409,4.83641,1.70733,0.326931,0,4.6151,1.86,0.505535,4.2364,1.728,0.59459,0,5.61408,1.86,0.599483,5.13121,1.60776,0.772104,0,4.90451,1.86,0.0128375,4.67226,1.75594,0.0333839,0,
0.200004,7.21987,2.60037,0.19613,7.2466,2.59304,0.243645,6.16,1.84346,0.463612,5.86935,1.59687,0.585558,0,6.16,1.46163,0.621421,5.79933,1.02727,0.818766,0,6.16,1.84419,0.370974,5.92564,1.63705,0.456049,0,6.16,1.57403,0.54239,5.81237,1.19313,0.707903,0,6.16,1.71455,0.557683,5.85508,1.41923,0.71192,0,6.16,1.80624,0.601698,5.86414,1.54529,0.767532,0,6.16,1.68159,0.438051,5.84847,1.37031,0.557778,0,5.61841,1.86,0.278673,5.16494,1.61859,0.347303,0,5.98081,1.86,0.497142,5.62222,1.61351,0.630759,0,6.16,1.74803,0.268758,5.86906,1.47257,0.332735,0,6.15463,1.86,0.150762,5.90789,1.6495,0.180482,0,6.16,1.47933,0.0341806,5.844,1.09463,0.0241685,0,6.16,1.49414,0.332009,5.80718,1.07764,0.422786,0,6.16,1.47422,0.460201,5.81178,1.05736,0.595549,0,6.16,1.70611,0.158619,5.86762,1.41637,0.18919,0,5.61763,1.86,0.447962,5.15771,1.61831,0.566274,0,6.16,1.61063,0.341843,5.84558,1.2726,0.430872,0,5.82119,1.86,0.66866,5.29903,1.55255,0.895563,0,6.10702,1.86,0.28241,5.86329,1.65875,0.345024,0,4.59613,1.86,1.07832,4.03335,1.68428,1.3209,0,6.16,1.57891,0.222884,5.82987,1.21533,0.274376,0,5.065,1.86,0.700981,4.53699,1.6564,0.876535,0,6.16,1.42186,0.239986,5.81012,0.983803,0.299447,0,5.43874,1.86,0.796968,4.95288,1.6379,1.01139,0,5.87167,1.86,0.193775,5.56859,1.65347,0.234679,0,5.85896,1.86,0.0864353,5.5485,1.65383,0.101721,0,5.92603,1.86,0.379951,5.55823,1.61237,0.480226,0,5.15058,1.86,0.269409,4.87307,1.72292,0.32575,0,4.6151,1.86,0.505535,4.15104,1.70854,0.605909,0,5.61408,1.86,0.599483,5.16742,1.62424,0.763196,0,4.90451,1.86,0.0128375,4.60879,1.73901,0.0273269,0,
0.233338,7.20687,2.62226,0.196257,7.2337,2.61523,0.244782,6.16,1.84346,0.463612,5.93527,1.63286,0.572671,0,6.16,1.46163,0.621421,5.85646,1.06629,0.802461,0,6.16,1.84419,0.370974,5.97765,1.66509,0.450936,0,6.16,1.57403,0.54239,5.87488,1.23515,0.695112,0,6.16,1.71455,0.557683,5.91213,1.45295,0.69669,0,6.16,1.80624,0.601698,5.92425,1.57864,0.749344,0,6.16,1.68159,0.438051,5.9113,1.40958,0.547305,0,5.61841,1.86,0.278673,5.23017,1.63111,0.343289,0,5.98081,1.86,0.497142,5.67804,1.63395,0.620367,0,6.16,1.74803,0.268758,5.92278,1.50399,0.331887,0,6.15463,1.86,0.150762,5.96688,1.68115,0.183859,0,6.16,1.47933,0.0341806,5.90313,1.13721,0.0326941,0,6.16,1.49414,0.332009,5.87201,1.1248,0.417888,0,6.16,1.47422,0.460201,5.873,1.1009,0.586307,0,6.16,1.70611,0.158619,5.92997,1.45552,0.192676,0,5.61763,1.86,0.447962,5.21707,1.6283,0.56041,0,6.16,1.61063,0.341843,5.90967,1.31529,0.425537,0,5.82119,1.86,0.66866,5.39156,1.58382,0.870026,0,6.10702,1.86,0.28241,5.92101,1.68761,0.342191,0,4.59613,1.86,1.07832,4.20848,1.70972,1.26604,0,6.16,1.57891,0.222884,5.88381,1.25108,0.275449,0,5.065,1.86,0.700981,4.54387,1.63594,0.879473,0,6.16,1.42186,0.239986,5.88685,1.04421,0.299476,0,5.43874,1.86,0.796968,5.00515,1.6394,0.998212,0,5.87167,1.86,0.193775,5.64299,1.68125,0.238125,0,5.85896,1.86,0.0864353,5.61601,1.67753,0.108281,0,5.92603,1.86,0.379951,5.62968,1.63951,0.473555,0,5.15058,1.86,0.269409,4.9234,1.72255,0.326105,0,4.6151,1.86,0.505535,4.32126,1.73344,0.587762,0,5.61408,1.86,0.599483,5.22778,1.63442,0.751358,0,4.90451,1.86,0.0128375,4.69509,1.751,0.0408132,0,
0.266672,7.19367,2.64323,0.196389,7.22626,2.62743,0.245416,6.16,1.84346,0.463612,5.96623,1.65409,0.564664,0,6.16,1.46163,0.621421,5.89133,1.09954,0.789436,0,6.16,1.84419,0.370974,6.01079,1.68722,0.446121,0,6.16,1.57403,0.54239,5.90216,1.25971,0.686321,0,6.16,1.71455,0.557683,5.95064,1.48233,0.685223,0,6.16,1.80624,0.601698,5.95807,1.60225,0.736251,0,6.16,1.68159,0.438051,5.94679,1.43813,0.538696,0,5.61841,1.86,0.278673,5.57703,1.80152,0.328425,0,5.98081,1.86,0.497142,5.71077,1.65178,0.613398,0,6.16,1.74803,0.268758,5.95896,1.53077,0.328728,0,6.15463,1.86,0.150762,5.99397,1.69947,0.186246,0,6.16,1.47933,0.0341806,5.93308,1.16629,0.0364317,0,6.16,1.49414,0.332009,5.89349,1.1465,0.41471,0,6.16,1.47422,0.460201,5.90204,1.12924,0.577906,0,6.16,1.70611,0.158619,5.95491,1.47592,0.193586,0,5.61763,1.86,0.447962,5.25631,1.6437,0.555045,0,6.16,1.61063,0.341843,5.93916,1.34122,0.420334,0,5.82119,1.86,0.66866,5.71863,1.76549,0.759408,0,6.10702,1.86,0.28241,5.9504,1.70634,0.340733,0,4.59613,1.86,1.07832,4.31338,1.74154,1.23273,0,6.16,1.57891,0.222884,5.92364,1.28556,0.273895,0,5.065,1.86,0.700981,4.85803,1.75078,0.805953,0,6.16,1.42186,0.239986,5.92042,1.07903,0.298708,0,5.43874,1.86,0.796968,5.02518,1.64711,0.992924,0,5.87167,1.86,0.193775,5.66295,1.69287,0.236984,0,5.85896,1.86,0.0864353,5.65104,1.69532,0.110545,0,5.92603,1.86,0.379951,5.65615,1.65435,0.468694,0,5.15058,1.86,0.269409,5.29662,1.86771,0.3115,0,4.6151,1.86,0.505535,4.43568,1.76655,0.574295,0,5.61408,1.86,0.599483,5.57963,1.80443,0.661197,0,4.90451,1.86,0.0128375,4.76333,1.77372,0.0453317,0,
0.300007,7.19367,2.64323,0.196389,7.22061,2.63652,0.245892,6.16,1.84346,0.463612,5.98638,1.66889,0.561143,0,6.16,1.46163,0.621421,5.91106,1.12196,0.782437,0,6.16,1.84419,0.370974,6.03117,1.70216,0.443815,0,6.16,1.57403,0.54239,5.94357,1.29767,0.669688,0,6.16,1.71455,0.557683,5.97089,1.50013,0.679421,0,6.16,1.80624,0.601698,5.97968,1.61877,0.72937,0,6.16,1.68159,0.438051,5.96739,1.45675,0.534918,0,5.61841,1.86,0.278673,5.57646,1.80391,0.329787,0,5.98081,1.86,0.497142,5.72859,1.66367,0.610713,0,6.16,1.74803,0.268758,5.97765,1.54679,0.328731,0,6.15463,1.86,0.150762,6.01043,1.71148,0.188359,0,6.16,1.47933,0.0341806,5.94598,1.18226,0.0405697,0,6.16,1.49414,0.332009,5.91063,1.16524,0.413807,0,6.16,1.47422,0.460201,5.92031,1.14978,0.574666,0,6.16,1.70611,0.158619,5.97332,1.492,0.196013,0,5.61763,1.86,0.447962,5.27566,1.65499,0.553202,0,6.16,1.61063,0.341843,5.95755,1.35931,0.419291,0,5.82119,1.86,0.66866,5.71856,1.76625,0.761945,0,6.10702,1.86,0.28241,5.96794,1.71861,0.340165,0,4.59613,1.86,1.07832,4.34106,1.75663,1.22533,0,6.16,1.57891,0.222884,5.94046,1.30369,0.274625,0,5.065,1.86,0.700981,4.85056,1.75094,0.811429,0,6.16,1.42186,0.239986,5.93734,1.09984,0.299302,0,5.43874,1.86,0.796968,5.05645,1.65977,0.983813,0,5.87167,1.86,0.193775,5.68156,1.70373,0.238368,0,5.85896,1.86,0.0864353,5.66034,1.70292,0.113183,0,5.92603,1.86,0.379951,5.66911,1.66343,0.467862,0,5.15058,1.86,0.269409,5.29478,1.87117,0.312437,0,4.6151,1.86,0.505535,4.47304,1.78333,0.571025,0,5.61408,1.86,0.599483,5.57982,1.80638,0.663135,0,4.90451,1.86,0.0128375,4.78154,1.78432,0.0479505,0,
