time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,
0,-5.76154,3.49335,0.336396,-5.51654,3.43499,0.602564,-5.46884,1.86,0.699731,-5.04299,0.792448,1.19039,0,-5.60904,1.86,0.373566,-5.25943,0.68112,0.665233,0,-5.77902,1.86,0.527211,-5.54585,0.696306,0.922507,0,-5.56539,1.86,0.626715,-5.18414,0.667001,1.09456,0,-5.03245,1.86,0.692984,-4.36004,0.84412,1.16819,0,-5.40263,1.86,0.598308,-4.90286,0.642123,1.05041,0,-6.09821,1.86,0.48575,-6.06686,0.765179,0.846692,0,-5.16377,1.86,0.612606,-4.55171,0.798638,1.04839,0,-5.28946,1.86,0.665538,-4.74779,0.775164,1.13855,0,-5.71966,1.86,0.736934,-5.44672,0.711476,1.27043,0,-5.94688,1.86,0.747768,-5.8265,0.703387,1.29054,0,-5.87968,1.86,0.603948,-5.70748,0.795346,1.03495,0,-5.97885,1.86,0.460718,-5.87951,0.706941,0.810208,0,-5.40015,1.86,0.102371,-4.89859,0.642045,0.202394,0,-5.5899,1.86,0.086259,-5.2297,0.705226,0.184519,0,-5.09483,1.86,0.50616,-4.42207,0.753661,0.88125,0,-6.07384,1.86,0.788563,-6.02421,0.779897,1.33758,0,-5.45952,1.86,0.505706,-5.01207,0.70667,0.885376,0,-6.16322,1.8751,0.249104,-6.20458,0.663153,0.453045,0,-5.94198,1.86,0.245703,-5.8265,0.629353,0.446779,0,-5.20787,1.86,0.482263,-4.60184,0.736559,0.843547,0,-5.41751,1.86,0.287068,-4.94317,0.71278,0.520351,0,-5.79097,1.86,0.309137,-5.56475,0.759479,0.557912,0,-5.23118,1.86,0.282452,-4.62816,0.699,0.512203,0,-5.58907,1.86,0.750642,-5.24146,0.829811,1.26328,0,
0.0333341,-5.78877,3.49478,0.336675,-5.53213,3.43582,0.602996,-5.46884,1.86,0.699731,-5.05902,0.944198,1.15444,0,-5.60904,1.86,0.373566,-5.26176,0.819461,0.660536,0,-5.77902,1.86,0.527211,-5.53223,0.844986,0.904727,0,-5.56539,1.86,0.626715,-5.18882,0.792139,1.07006,0,-5.03245,1.86,0.692984,-4.40181,0.962187,1.13856,0,-5.40263,1.86,0.598308,-4.91785,0.764142,1.02599,0,-6.09821,1.86,0.48575,-6.02748,0.90203,0.838365,0,-5.16377,1.86,0.612606,-4.58284,0.914571,1.02485,0,-5.28946,1.86,0.665538,-4.76931,0.888111,1.11671,0,-5.71966,1.86,0.736934,-5.43806,0.867042,1.23086,0,-5.94688,1.86,0.747768,-5.80039,0.83392,1.25627,0,-5.87968,1.86,0.603948,-5.68802,0.928167,1.01124,0,-5.97885,1.86,0.460718,-5.84798,0.860103,0.797271,0,-5.40015,1.86,0.102371,-4.91799,0.784552,0.218771,0,-5.5899,1.86,0.086259,-5.23147,0.816652,0.200726,0,-5.09483,1.86,0.50616,-4.45201,0.853476,0.86781,0,-6.07384,1.86,0.788563,-5.97764,0.946192,1.28962,0,-5.45952,1.86,0.505706,-5.02685,0.845646,0.869689,0,-6.16322,1.8751,0.249104,-6.15332,0.813259,0.463146,0,-5.94198,1.86,0.245703,-5.8068,0.735725,0.446487,0,-5.20787,1.86,0.482263,-4.62262,0.821454,0.835048,0,-5.41751,1.86,0.287068,-4.96022,0.849817,0.52234,0,-5.79097,1.86,0.309137,-5.54555,0.967276,0.563179,0,-5.23118,1.86,0.282452,-4.65544,0.816886,0.51118,0,-5.58907,1.86,0.750642,-5.24395,0.960248,1.22799,0,
0.0666681,-5.80063,3.49553,0.336464,-5.54363,3.43638,0.603312,-5.46884,1.86,0.699731,-5.06477,1.01206,1.13604,0,-5.60904,1.86,0.373566,-5.26334,1.01102,0.655557,0,-5.77902,1.86,0.527211,-5.5182,0.983535,0.886369,0,-5.56539,1.86,0.626715,-5.19179,0.93022,1.04247,0,-5.03245,1.86,0.692984,-4.43248,1.05872,1.11717,0,-5.40263,1.86,0.598308,-4.93195,0.892246,1.00594,0,-6.09821,1.86,0.48575,-5.98833,1.03008,0.824268,0,-5.16377,1.86,0.612606,-4.61729,1.04984,1.00051,0,-5.28946,1.86,0.665538,-4.79355,1.02154,1.0869,0,-5.71966,1.86,0.736934,-5.42956,0.99318,1.19864,0,-5.94688,1.86,0.747768,-5.77472,0.951898,1.2252,0,-5.87968,1.86,0.603948,-5.66612,1.05895,0.987748,0,-5.97885,1.86,0.460718,-5.81483,1.00892,0.784698,0,-5.40015,1.86,0.102371,-4.93293,0.910794,0.236767,0,-5.5899,1.86,0.086259,-5.23081,0.924654,0.218125,0,-5.09483,1.86,0.50616,-4.47648,0.943081,0.857165,0,-6.07384,1.86,0.788563,-5.94067,1.07681,1.25343,0,-5.45952,1.86,0.505706,-5.03901,0.983231,0.854177,0,-6.16322,1.8751,0.249104,-6.1001,0.969059,0.469303,0,-5.94198,1.86,0.245703,-5.78287,0.839726,0.454832,0,-5.20787,1.86,0.482263,-4.64489,0.928491,0.824195,0,-5.41751,1.86,0.287068,-4.97555,0.985623,0.525319,0,-5.79097,1.86,0.309137,-5.52919,1.15255,0.565598,0,-5.23118,1.86,0.282452,-4.68007,0.935152,0.515819,0,-5.58907,1.86,0.750642,-5.24498,1.08466,1.19439,0,
0.100002,-5.80063,3.49553,0.336464,-5.55452,3.43693,0.603612,-5.46884,1.86,0.699731,-5.06846,1.09146,1.11645,0,-5.60904,1.86,0.373566,-5.26544,1.12426,0.650963,0,-5.77902,1.86,0.527211,-5.50864,1.07562,0.873703,0,-5.56539,1.86,0.626715,-5.19383,1.01995,1.02464,0,-5.03245,1.86,0.692984,-4.4518,1.12166,1.10151,0,-5.40263,1.86,0.598308,-4.94542,1.0033,0.985594,0,-6.09821,1.86,0.48575,-5.95326,1.14942,0.807514,0,-5.16377,1.86,0.612606,-4.64238,1.14608,0.983201,0,-5.28946,1.86,0.665538,-4.80526,1.08757,1.0737,0,-5.71966,1.86,0.736934,-5.42414,1.0638,1.17791,0,-5.94688,1.86,0.747768,-5.75322,1.05088,1.19824,0,-5.87968,1.86,0.603948,-5.64811,1.1691,0.968308,0,-5.97885,1.86,0.460718,-5.79035,1.12035,0.774332,0,-5.40015,1.86,0.102371,-4.93933,0.971179,0.245707,0,-5.5899,1.86,0.086259,-5.23072,1.0219,0.230433,0,-5.09483,1.86,0.50616,-4.49706,1.01918,0.847298,0,-6.07384,1.86,0.788563,-5.91725,1.15881,1.22374,0,-5.45952,1.86,0.505706,-5.04787,1.07997,0.840727,0,-6.16322,1.8751,0.249104,-6.06487,1.07446,0.471071,0,-5.94198,1.86,0.245703,-5.75915,0.950134,0.458109,0,-5.20787,1.86,0.482263,-4.66368,1.01453,0.814502,0,-5.41751,1.86,0.287068,-4.98728,1.08751,0.526578,0,-5.79097,1.86,0.309137,-5.52068,1.24643,0.564394,0,-5.23118,1.86,0.282452,-4.69915,1.02527,0.51695,0,-5.58907,1.86,0.750642,-5.24547,1.17401,1.17065,0,
0.133336,-5.82896,3.49711,0.336702,-5.58229,3.43843,0.604381,-5.46884,1.86,0.699731,-5.08803,1.15557,1.10109,0,-5.60904,1.86,0.373566,-5.28221,1.22511,0.650652,0,-5.77902,1.86,0.527211,-5.51453,1.17026,0.863823,0,-5.56539,1.86,0.626715,-5.2111,1.09827,1.00778,0,-5.03245,1.86,0.692984,-4.4889,1.19275,1.08423,0,-5.40263,1.86,0.598308,-4.97278,1.09714,0.969756,0,-6.09821,1.86,0.48575,-5.94247,1.24029,0.801161,0,-5.16377,1.86,0.612606,-4.67341,1.20798,0.971634,0,-5.28946,1.86,0.665538,-4.83439,1.16854,1.05605,0,-5.71966,1.86,0.736934,-5.43152,1.18162,1.15063,0,-5.94688,1.86,0.747768,-5.75077,1.13704,1.17696,0,-5.87968,1.86,0.603948,-5.65101,1.24927,0.955166,0,-5.97885,1.86,0.460718,-5.79433,1.17194,0.774384,0,-5.40015,1.86,0.102371,-4.96022,1.03492,0.254199,0,-5.5899,1.86,0.086259,-5.24762,1.12233,0.243686,0,-5.09483,1.86,0.50616,-4.53887,1.11073,0.834642,0,-6.07384,1.86,0.788563,-5.91786,1.20659,1.21226,0,-5.45952,1.86,0.505706,-5.06957,1.15464,0.833014,0,-6.16322,1.8751,0.249104,-6.04687,1.17392,0.477659,0,-5.94198,1.86,0.245703,-5.75717,1.03595,0.464125,0,-5.20787,1.86,0.482263,-4.70066,1.10454,0.800418,0,-5.41751,1.86,0.287068,-5.00906,1.14102,0.52417,0,-5.79097,1.86,0.309137,-5.52975,1.30379,0.565367,0,-5.23118,1.86,0.282452,-4.73034,1.10049,0.518121,0,-5.58907,1.86,0.750642,-5.26119,1.24224,1.15324,0,
0.16667,-5.85709,3.49858,0.336885,-5.59775,3.43926,0.604809,-5.46884,1.86,0.699731,-5.21555,1.74012,0.974533,0,-5.60904,1.86,0.373566,-5.37317,1.88609,0.637267,0,-5.77902,1.86,0.527211,-5.53593,1.83523,0.786192,0,-5.56539,1.86,0.626715,-5.32087,1.78686,0.891216,0,-5.03245,1.86,0.692984,-4.80805,1.84033,0.947348,0,-5.40263,1.86,0.598308,-5.162,1.81275,0.859694,0,-6.09821,1.86,0.48575,-5.83519,1.90325,0.742961,0,-5.16377,1.86,0.612606,-4.95206,1.88705,0.861509,0,-5.28946,1.86,0.665538,-5.05949,1.84794,0.922018,0,-5.71966,1.86,0.736934,-5.47768,1.84701,0.991329,0,-5.94688,1.86,0.747768,-5.70221,1.82426,1.00663,0,-5.87968,1.86,0.603948,-5.63224,1.86707,0.859662,0,-5.97885,1.86,0.460718,-5.73469,1.81924,0.727025,0,-5.40015,1.86,0.102371,-5.14634,1.75028,0.359652,0,-5.5899,1.86,0.086259,-5.35078,1.84085,0.35615,0,-5.09483,1.86,0.50616,-4.85476,1.80579,0.768677,0,-6.07384,1.86,0.788563,-5.81882,1.86985,1.03625,0,-5.45952,1.86,0.505706,-5.21806,1.81037,0.768577,0,-6.16322,1.8751,0.249104,-5.89747,1.91341,0.519654,0,-5.94198,1.86,0.245703,-5.70573,1.75622,0.507417,0,-5.20787,1.86,0.482263,-4.9822,1.85184,0.738606,0,-5.41751,1.86,0.287068,-5.16962,1.777,0.547604,0,-5.79097,1.86,0.309137,-5.54525,1.92319,0.577158,0,-5.23118,1.86,0.282452,-4.99804,1.8313,0.546256,0,-5.58907,1.86,0.750642,-5.34834,1.82541,1.00948,0,
0.200004,-5.86825,3.49922,0.336607,-5.60976,3.43982,0.605138,-5.46884,1.86,0.699731,-5.23539,1.8512,0.951131,0,-5.60904,1.86,0.373566,-5.38378,1.98632,0.635928,0,-5.77902,1.86,0.527211,-5.5335,1.83973,0.786168,0,-5.56539,1.86,0.626715,-5.3339,1.87569,0.876318,0,-5.03245,1.86,0.692984,-4.78234,1.79197,0.957601,0,-5.40263,1.86,0.598308,-5.14569,1.76918,0.866864,0,-6.09821,1.86,0.48575,-5.83287,1.90484,0.742111,0,-5.16377,1.86,0.612606,-4.94648,1.88417,0.859958,0,-5.28946,1.86,0.665538,-5.06488,1.87159,0.917589,0,-5.71966,1.86,0.736934,-5.48375,1.95947,0.96243,0,-5.94688,1.86,0.747768,-5.69921,1.83067,1.00549,0,-5.87968,1.86,0.603948,-5.62748,1.99181,0.838758,0,-5.97885,1.86,0.460718,-5.7345,1.826,0.728329,0,-5.40015,1.86,0.102371,-5.1617,1.82158,0.369911,0,-5.5899,1.86,0.086259,-5.36162,1.916,0.369454,0,-5.09483,1.86,0.50616,-4.79537,1.68367,0.781452,0,-6.07384,1.86,0.788563,-5.81706,1.8717,1.0351,0,-5.45952,1.86,0.505706,-5.23245,1.88637,0.762064,0,-6.16322,1.8751,0.249104,-5.89777,1.90759,0.521304,0,-5.94198,1.86,0.245703,-5.70101,1.76324,0.506506,0,-5.20787,1.86,0.482263,-4.97606,1.8427,0.740837,0,-5.41751,1.86,0.287068,-5.18607,1.85813,0.551693,0,-5.79097,1.86,0.309137,-5.54639,2.03674,0.578447,0,-5.23118,1.86,0.282452,-4.99634,1.83546,0.547455,0,-5.58907,1.86,0.750642,-5.36004,1.90477,0.98843,0,
0.233338,-5.86825,3.49922,0.336607,-5.61992,3.44029,0.605417,-5.46884,1.86,0.699731,-5.23519,1.86545,0.948957,0,-5.60904,1.86,0.373566,-5.38225,1.99147,0.636458,0,-5.77902,1.86,0.527211,-5.52909,1.83323,0.789591,0,-5.56539,1.86,0.626715,-5.33129,1.88457,0.875154,0,-5.03245,1.86,0.692984,-4.82706,1.89164,0.936969,0,-5.40263,1.86,0.598308,-5.15346,1.80838,0.860706,0,-6.09821,1.86,0.48575,-5.82769,1.90857,0.741833,0,-5.16377,1.86,0.612606,-4.97634,1.96107,0.848728,0,-5.28946,1.86,0.665538,-5.07891,1.92123,0.907016,0,-5.71966,1.86,0.736934,-5.48213,1.95589,0.963982,0,-5.94688,1.86,0.747768,-5.69526,1.8248,1.00622,0,-5.87968,1.86,0.603948,-5.62493,1.9841,0.838969,0,-5.97885,1.86,0.460718,-5.72791,1.82054,0.727068,0,-5.40015,1.86,0.102371,-5.1679,1.85598,0.375991,0,-5.5899,1.86,0.086259,-5.35792,1.92461,0.37057,0,-5.09483,1.86,0.50616,-4.84141,1.79442,0.770687,0,-6.07384,1.86,0.788563,-5.81307,1.87405,1.03433,0,-5.45952,1.86,0.505706,-5.23364,1.90789,0.760277,0,-6.16322,1.8751,0.249104,-5.90895,1.83482,0.518206,0,-5.94198,1.86,0.245703,-5.69533,1.75641,0.505954,0,-5.20787,1.86,0.482263,-5.00231,1.91738,0.733211,0,-5.41751,1.86,0.287068,-5.18896,1.88544,0.551559,0,-5.79097,1.86,0.309137,-5.54065,2.03037,0.579083,0,-5.23118,1.86,0.282452,-5.01955,1.90672,0.550991,0,-5.58907,1.86,0.750642,-5.35468,1.90911,0.988575,0,
0.266672,-5.89601,3.50056,0.336772,-5.64742,3.44159,0.606171,-5.46884,1.86,0.699731,-5.24691,1.87005,0.946788,0,-5.60904,1.86,0.373566,-5.39635,1.99148,0.634613,0,-5.77902,1.86,0.527211,-5.54115,1.82889,0.789979,0,-5.56539,1.86,0.626715,-5.34322,1.88563,0.87271,0,-5.03245,1.86,0.692984,-4.83308,1.88628,0.936126,0,-5.40263,1.86,0.598308,-5.16259,1.80474,0.859811,0,-6.09821,1.86,0.48575,-5.83781,1.90062,0.74247,0,-5.16377,1.86,0.612606,-4.98905,1.95958,0.848011,0,-5.28946,1.86,0.665538,-5.09153,1.92386,0.905229,0,-5.71966,1.86,0.736934,-5.49369,1.95315,0.962531,0,-5.94688,1.86,0.747768,-5.70623,1.81859,1.00761,0,-5.87968,1.86,0.603948,-5.6368,1.97883,0.839526,0,-5.97885,1.86,0.460718,-5.74057,1.81385,0.726956,0,-5.40015,1.86,0.102371,-5.18063,1.86177,0.374768,0,-5.5899,1.86,0.086259,-5.37145,1.92532,0.370704,0,-5.09483,1.86,0.50616,-4.84344,1.77529,0.771317,0,-6.07384,1.86,0.788563,-5.8253,1.8667,1.03566,0,-5.45952,1.86,0.505706,-5.24777,1.91107,0.756377,0,-6.16322,1.8751,0.249104,-5.9206,1.82857,0.516132,0,-5.94198,1.86,0.245703,-5.70579,1.74999,0.504128,0,-5.20787,1.86,0.482263,-5.01319,1.91689,0.734612,0,-5.41751,1.86,0.287068,-5.20271,1.89108,0.549876,0,-5.79097,1.86,0.309137,-5.55475,2.02651,0.57838,0,-5.23118,1.86,0.282452,-5.03119,1.90855,0.549185,0,-5.58907,1.86,0.750642,-5.36899,1.90867,0.985968,0,
0.300007,-5.89601,3.50056,0.336772,-5.66267,3.44229,0.606589,-5.46884,1.86,0.699731,-5.25009,1.87153,0.946272,0,-5.60904,1.86,0.373566,-5.39903,1.99101,0.634789,0,-5.77902,1.86,0.527211,-5.54374,1.82706,0.791678,0,-5.56539,1.86,0.626715,-5.34438,1.88619,0.872655,0,-5.03245,1.86,0.692984,-4.84919,1.91309,0.931882,0,-5.40263,1.86,0.598308,-5.16487,1.81075,0.859426,0,-6.09821,1.86,0.48575,-5.83902,1.89625,0.74328,0,-5.16377,1.86,0.612606,-4.99839,1.97408,0.845069,0,-5.28946,1.86,0.665538,-5.09687,1.93186,0.90231,0,-5.71966,1.86,0.736934,-5.49607,1.95211,0.963834,0,-5.94688,1.86,0.747768,-5.70687,1.81546,1.00898,0,-5.87968,1.86,0.603948,-5.64035,1.97615,0.839699,0,-5.97885,1.86,0.460718,-5.74371,1.8105,0.72993,0,-5.40015,1.86,0.102371,-5.1827,1.86694,0.376098,0,-5.5899,1.86,0.086259,-5.37237,1.92535,0.370015,0,-5.09483,1.86,0.50616,-4.85502,1.80118,0.767704,0,-6.07384,1.86,0.788563,-5.82739,1.86279,1.03736,0,-5.45952,1.86,0.505706,-5.25043,1.91282,0.752917,0,-6.16322,1.8751,0.249104,-5.92257,1.82266,0.516635,0,-5.94198,1.86,0.245703,-5.70349,1.74639,0.505927,0,-5.20787,1.86,0.482263,-5.02042,1.93158,0.731454,0,-5.41751,1.86,0.287068,-5.20619,1.89396,0.550599,0,-5.79097,1.86,0.309137,-5.55676,2.02442,0.578,0,-5.23118,1.86,0.282452,-5.03914,1.92171,0.55028,0,-5.58907,1.86,0.750642,-5.37119,1.90837,0.987626,0,
