time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,
0,1.76352,-3.27104,0.254575,2.54228,-3.68814,0.120914,1.63702,-1.86,0.495752,2.28382,-0.805076,0.613689,0,1.88052,-1.86,0.715505,2.76766,-0.970027,1.00881,0,1.91139,-1.86,0.522746,2.83373,-0.906967,0.649479,0,1.9992,-1.86,0.429835,3.0208,-0.823162,0.47676,0,1.91418,-1.86,0.183284,2.84699,-0.834217,-0.0232764,0,1.74218,-1.86,0.739856,2.50045,-0.922322,1.07212,0,1.73871,-1.86,0.45638,2.49219,-0.839455,0.528327,0,2.30738,-1.86,0.264377,3.59585,-0.954662,0.139902,0,1.39502,-1.86,0.748685,1.81265,-0.894243,1.09926,0,2.42315,-1.86,0.637241,3.78494,-1.0299,0.841811,0,2.33442,-1.86,0.70969,3.64853,-0.953896,1.00281,0,1.6941,-1.86,0.215977,2.39951,-0.786238,0.0415349,0,2.19069,-1.86,0.309774,3.37739,-0.929586,0.228827,0,1.53968,-1.86,0.741718,2.09505,-0.868892,1.09422,0,1.3251,-1.86,0.439363,1.67191,-0.886899,0.48776,0,1.37188,-1.86,0.64605,1.77245,-0.914495,0.890423,0,2.18695,-1.86,0.649717,3.35658,-0.974544,0.880815,0,1.50218,-1.86,0.629483,2.01466,-0.839322,0.877832,0,1.4282,-1.86,0.494689,1.85602,-0.800349,0.612321,0,1.53328,-1.86,0.511417,2.0963,-0.95494,0.618417,0,2.33461,-1.86,0.385047,3.65689,-0.934148,0.375561,0,2.07329,-1.86,0.731001,3.13703,-0.97899,1.03563,0,2.18951,-1.86,0.178732,3.35232,-1.00493,-0.0233074,0,
0.033334,1.78902,-3.27041,0.254765,2.55436,-3.68809,0.120665,1.63702,-1.86,0.495752,2.28208,-0.961508,0.587286,0,1.88052,-1.86,0.715505,2.74597,-1.08955,0.969746,0,1.91139,-1.86,0.522746,2.79977,-1.09033,0.61922,0,1.9992,-1.86,0.429835,2.98166,-0.969458,0.459892,0,1.91418,-1.86,0.183284,2.81587,-0.98939,-0.0161087,0,1.74218,-1.86,0.739856,2.48816,-1.073,1.02355,0,1.73871,-1.86,0.45638,2.47994,-1.00935,0.5097,0,2.30738,-1.86,0.264377,3.54811,-1.05061,0.133447,0,1.39502,-1.86,0.748685,1.82987,-1.01323,1.05788,0,2.42315,-1.86,0.637241,3.73037,-1.11803,0.818231,0,2.33442,-1.86,0.70969,3.59458,-1.05017,0.975065,0,1.6941,-1.86,0.215977,2.3938,-0.887633,0.0428784,0,2.19069,-1.86,0.309774,3.31111,-1.09457,0.221693,0,1.53968,-1.86,0.741718,2.1008,-0.988477,1.05471,0,1.3251,-1.86,0.439363,1.71039,-1.06703,0.467829,0,1.37188,-1.86,0.64605,1.79944,-1.07152,0.850117,0,2.18695,-1.86,0.649717,3.30627,-1.09447,0.846611,0,1.50218,-1.86,0.629483,2.0233,-0.966836,0.84327,0,1.4282,-1.86,0.494689,1.86864,-0.909304,0.595069,0,1.53328,-1.86,0.511417,2.10505,-1.08028,0.594593,0,2.33461,-1.86,0.385047,3.59786,-1.04417,0.364745,0,2.07329,-1.86,0.731001,3.095,-1.1054,0.992333,0,2.18951,-1.86,0.178732,3.31051,-1.10757,-0.0176571,0,
0.0666681,1.78902,-3.27041,0.254765,2.56956,-3.68803,0.120351,1.63702,-1.86,0.495752,2.28506,-1.08767,0.564952,0,1.88052,-1.86,0.715505,2.72873,-1.19811,0.935391,0,1.91139,-1.86,0.522746,2.78022,-1.21055,0.596323,0,1.9992,-1.86,0.429835,2.94857,-1.1083,0.441869,0,1.91418,-1.86,0.183284,2.79085,-1.13422,-0.00762791,0,1.74218,-1.86,0.739856,2.4813,-1.19972,0.98002,0,1.73871,-1.86,0.45638,2.47316,-1.15936,0.489066,0,2.30738,-1.86,0.264377,3.48188,-1.18743,0.134472,0,1.39502,-1.86,0.748685,1.85927,-1.17942,1.00014,0,2.42315,-1.86,0.637241,3.68952,-1.18848,0.797467,0,2.33442,-1.86,0.70969,3.53845,-1.15917,0.933829,0,1.6941,-1.86,0.215977,2.38846,-1.0966,0.0464631,0,2.19069,-1.86,0.309774,3.25358,-1.24901,0.214655,0,1.53968,-1.86,0.741718,2.11441,-1.16161,0.994042,0,1.3251,-1.86,0.439363,1.7365,-1.17158,0.455453,0,1.37188,-1.86,0.64605,1.82467,-1.19402,0.818016,0,2.18695,-1.86,0.649717,3.26521,-1.20105,0.815179,0,1.50218,-1.86,0.629483,2.03537,-1.07862,0.814755,0,1.4282,-1.86,0.494689,1.88942,-1.04621,0.571474,0,1.53328,-1.86,0.511417,2.11908,-1.23419,0.563194,0,2.33461,-1.86,0.385047,3.54078,-1.15826,0.352635,0,2.07329,-1.86,0.731001,3.06134,-1.2183,0.95445,0,2.18951,-1.86,0.178732,3.25402,-1.25339,-0.0112065,0,
0.100002,1.81615,-3.27014,0.254508,2.58171,-3.68812,0.120095,1.63702,-1.86,0.495752,2.28569,-1.18423,0.552216,0,1.88052,-1.86,0.715505,2.71734,-1.26201,0.915566,0,1.91139,-1.86,0.522746,2.7643,-1.29408,0.581363,0,1.9992,-1.86,0.429835,2.92446,-1.20567,0.431767,0,1.91418,-1.86,0.183284,2.774,-1.22586,-0.00198566,0,1.74218,-1.86,0.739856,2.47464,-1.30189,0.949449,0,1.73871,-1.86,0.45638,2.46783,-1.253,0.476483,0,2.30738,-1.86,0.264377,3.44878,-1.25768,0.137375,0,1.39502,-1.86,0.748685,1.87065,-1.23497,0.986433,0,2.42315,-1.86,0.637241,3.65594,-1.24397,0.785484,0,2.33442,-1.86,0.70969,3.50137,-1.23266,0.915187,0,1.6941,-1.86,0.215977,2.38702,-1.21484,0.0518136,0,2.19069,-1.86,0.309774,3.22577,-1.32266,0.211033,0,1.53968,-1.86,0.741718,2.12292,-1.26277,0.960989,0,1.3251,-1.86,0.439363,1.75857,-1.2722,0.448125,0,1.37188,-1.86,0.64605,1.83903,-1.27178,0.799023,0,2.18695,-1.86,0.649717,3.23576,-1.27507,0.797456,0,1.50218,-1.86,0.629483,2.04366,-1.17255,0.790856,0,1.4282,-1.86,0.494689,1.90338,-1.13958,0.557553,0,1.53328,-1.86,0.511417,2.12664,-1.3164,0.554046,0,2.33461,-1.86,0.385047,3.50805,-1.22287,0.348693,0,2.07329,-1.86,0.731001,3.04128,-1.28317,0.935452,0,2.18951,-1.86,0.178732,3.22175,-1.33758,-0.00536525,0,
0.133336,1.84161,-3.26989,0.254226,2.59693,-3.68815,0.119778,1.63702,-1.86,0.495752,2.28854,-1.26921,0.53441,0,1.88052,-1.86,0.715505,2.70228,-1.35747,0.881493,0,1.91139,-1.86,0.522746,2.74698,-1.39951,0.557905,0,1.9992,-1.86,0.429835,2.9016,-1.30734,0.416594,0,1.91418,-1.86,0.183284,2.75424,-1.34851,0.000112832,0,1.74218,-1.86,0.739856,2.47027,-1.40464,0.909936,0,1.73871,-1.86,0.45638,2.46402,-1.356,0.459046,0,2.30738,-1.86,0.264377,3.40611,-1.34886,0.132918,0,1.39502,-1.86,0.748685,1.88434,-1.3154,0.956205,0,2.42315,-1.86,0.637241,3.61548,-1.31328,0.761601,0,2.33442,-1.86,0.70969,3.465,-1.30538,0.887448,0,1.6941,-1.86,0.215977,2.3873,-1.32796,0.052573,0,2.19069,-1.86,0.309774,3.19479,-1.40867,0.201003,0,1.53968,-1.86,0.741718,2.13147,-1.34587,0.929739,0,1.3251,-1.86,0.439363,1.77928,-1.35616,0.435197,0,1.37188,-1.86,0.64605,1.8537,-1.33949,0.77395,0,2.18695,-1.86,0.649717,3.20223,-1.3634,0.769451,0,1.50218,-1.86,0.629483,2.05647,-1.27843,0.761064,0,1.4282,-1.86,0.494689,1.91881,-1.22894,0.5406,0,1.53328,-1.86,0.511417,2.1352,-1.39896,0.534462,0,2.33461,-1.86,0.385047,3.46052,-1.31911,0.336576,0,2.07329,-1.86,0.731001,3.0193,-1.35614,0.907448,0,2.18951,-1.86,0.178732,3.19097,-1.42245,-0.00433299,0,
0.16667,1.84161,-3.26989,0.254226,2.60823,-3.68819,0.119541,1.63702,-1.86,0.495752,2.2889,-1.38503,0.514522,0,1.88052,-1.86,0.715505,2.68339,-1.46979,0.842619,0,1.91139,-1.86,0.522746,2.72954,-1.49235,0.540365,0,1.9992,-1.86,0.429835,2.87455,-1.41585,0.403338,0,1.91418,-1.86,0.183284,2.73615,-1.44785,0.00543194,0,1.74218,-1.86,0.739856,2.46406,-1.48784,0.881908,0,1.73871,-1.86,0.45638,2.45791,-1.45099,0.443841,0,2.30738,-1.86,0.264377,3.35994,-1.44343,0.134293,0,1.39502,-1.86,0.748685,1.89625,-1.39547,0.925557,0,2.42315,-1.86,0.637241,3.56279,-1.40105,0.738181,0,2.33442,-1.86,0.70969,3.41118,-1.40928,0.855348,0,1.6941,-1.86,0.215977,2.38508,-1.47756,0.0579072,0,2.19069,-1.86,0.309774,3.16674,-1.47609,0.20021,0,1.53968,-1.86,0.741718,2.13745,-1.44258,0.894925,0,1.3251,-1.86,0.439363,1.79664,-1.44118,0.423143,0,1.37188,-1.86,0.64605,1.86906,-1.43019,0.745663,0,2.18695,-1.86,0.649717,3.17318,-1.4339,0.749483,0,1.50218,-1.86,0.629483,2.06694,-1.38496,0.73131,0,1.4282,-1.86,0.494689,1.93991,-1.3654,0.513295,0,1.53328,-1.86,0.511417,2.14522,-1.5212,0.509829,0,2.33461,-1.86,0.385047,3.41386,-1.41072,0.328465,0,2.07329,-1.86,0.731001,2.9855,-1.46191,0.872021,0,2.18951,-1.86,0.178732,3.15646,-1.50816,0.00241678,0,
0.200004,1.85096,-3.27003,0.253601,2.61867,-3.6883,0.119321,1.63702,-1.86,0.495752,2.28636,-1.41844,0.507409,0,1.88052,-1.86,0.715505,2.67583,-1.49937,0.830281,0,1.91139,-1.86,0.522746,2.71851,-1.53419,0.529368,0,1.9992,-1.86,0.429835,2.86106,-1.45799,0.398593,0,1.91418,-1.86,0.183284,2.72598,-1.48582,0.00517391,0,1.74218,-1.86,0.739856,2.45894,-1.5093,0.87381,0,1.73871,-1.86,0.45638,2.45211,-1.49516,0.434434,0,2.30738,-1.86,0.264377,3.3352,-1.48813,0.1306,0,1.39502,-1.86,0.748685,1.89837,-1.4315,0.911505,0,2.42315,-1.86,0.637241,3.53999,-1.43374,0.727748,0,2.33442,-1.86,0.70969,3.39371,-1.43744,0.842971,0,1.6941,-1.86,0.215977,2.3821,-1.55466,0.0576713,0,2.19069,-1.86,0.309774,3.14005,-1.53372,0.196758,0,1.53968,-1.86,0.741718,2.13605,-1.46731,0.885755,0,1.3251,-1.86,0.439363,1.79819,-1.464,0.417808,0,1.37188,-1.86,0.64605,1.86818,-1.44225,0.742932,0,2.18695,-1.86,0.649717,3.16478,-1.44868,0.737526,0,1.50218,-1.86,0.629483,2.0666,-1.41175,0.723545,0,1.4282,-1.86,0.494689,1.94544,-1.41575,0.503325,0,1.53328,-1.86,0.511417,2.1456,-1.55801,0.504176,0,2.33461,-1.86,0.385047,3.38937,-1.45225,0.3224,0,2.07329,-1.86,0.731001,2.97134,-1.49777,0.857573,0,2.18951,-1.86,0.178732,3.14437,-1.53033,0.00155077,0,
0.233338,1.87666,-3.26961,0.253278,2.64601,-3.68828,0.118753,1.63702,-1.86,0.495752,2.30414,-1.50732,0.493704,0,1.88052,-1.86,0.715505,2.67877,-1.5815,0.805664,0,1.91139,-1.86,0.522746,2.71476,-1.6658,0.507509,0,1.9992,-1.86,0.429835,2.85587,-1.55193,0.388274,0,1.91418,-1.86,0.183284,2.72667,-1.57731,0.0113226,0,1.74218,-1.86,0.739856,2.46969,-1.58793,0.848031,0,1.73871,-1.86,0.45638,2.46442,-1.58093,0.422755,0,2.30738,-1.86,0.264377,3.31963,-1.55654,0.133299,0,1.39502,-1.86,0.748685,1.93314,-1.53351,0.874798,0,2.42315,-1.86,0.637241,3.51174,-1.51264,0.708755,0,2.33442,-1.86,0.70969,3.38234,-1.49046,0.822554,0,1.6941,-1.86,0.215977,2.44348,-2.01717,0.071661,0,2.19069,-1.86,0.309774,3.12831,-1.61215,0.198492,0,1.53968,-1.86,0.741718,2.15843,-1.55167,0.855782,0,1.3251,-1.86,0.439363,1.82559,-1.52007,0.411533,0,1.37188,-1.86,0.64605,1.89657,-1.51572,0.723259,0,2.18695,-1.86,0.649717,3.1534,-1.51446,0.720855,0,1.50218,-1.86,0.629483,2.09059,-1.49168,0.703851,0,1.4282,-1.86,0.494689,2.10232,-1.91706,0.420378,0,1.53328,-1.86,0.511417,2.16849,-1.63194,0.493035,0,2.33461,-1.86,0.385047,3.36637,-1.53317,0.316507,0,2.07329,-1.86,0.731001,2.96831,-1.56066,0.837007,0,2.18951,-1.86,0.178732,3.13201,-1.60347,0.0049434,0,
0.266672,1.901,-3.26907,0.253127,2.66122,-3.68827,0.118437,1.63702,-1.86,0.495752,2.30836,-1.54215,0.485351,0,1.88052,-1.86,0.715505,2.67586,-1.62202,0.792443,0,1.91139,-1.86,0.522746,2.70867,-1.73565,0.492735,0,1.9992,-1.86,0.429835,2.85143,-1.58639,0.3835,0,1.91418,-1.86,0.183284,2.71849,-1.65284,0.0138173,0,1.74218,-1.86,0.739856,2.47033,-1.63853,0.82787,0,1.73871,-1.86,0.45638,2.4656,-1.67706,0.405445,0,2.30738,-1.86,0.264377,3.30252,-1.59974,0.13082,0,1.39502,-1.86,0.748685,1.94779,-1.59044,0.85491,0,2.42315,-1.86,0.637241,3.48618,-1.56418,0.692545,0,2.33442,-1.86,0.70969,3.35315,-1.55515,0.802135,0,1.6941,-1.86,0.215977,2.44523,-2.02055,0.0701526,0,2.19069,-1.86,0.309774,3.11012,-1.67055,0.195617,0,1.53968,-1.86,0.741718,2.16672,-1.6062,0.837057,0,1.3251,-1.86,0.439363,2.05513,-2.13142,0.326798,0,1.37188,-1.86,0.64605,2.09634,-2.09102,0.563868,0,2.18695,-1.86,0.649717,3.12614,-1.59777,0.700072,0,1.50218,-1.86,0.629483,2.10114,-1.55156,0.683752,0,1.4282,-1.86,0.494689,2.09277,-1.89237,0.420813,0,1.53328,-1.86,0.511417,2.17677,-1.68471,0.482053,0,2.33461,-1.86,0.385047,3.34228,-1.59057,0.309064,0,2.07329,-1.86,0.731001,2.95363,-1.62071,0.815329,0,2.18951,-1.86,0.178732,3.10479,-1.68918,0.00763812,0,
0.300007,1.901,-3.26907,0.253127,2.67238,-3.68822,0.118207,1.63702,-1.86,0.495752,2.36815,-1.94485,0.415998,0,1.88052,-1.86,0.715505,2.66507,-2.02567,0.660323,0,1.91139,-1.86,0.522746,2.69338,-2.08913,0.42453,0,1.9992,-1.86,0.429835,2.80218,-2.0376,0.326412,0,1.91418,-1.86,0.183284,2.70135,-2.04927,0.0343193,0,1.74218,-1.86,0.739856,2.50064,-2.04767,0.685823,0,1.73871,-1.86,0.45638,2.49727,-2.08464,0.344752,0,2.30738,-1.86,0.264377,3.15305,-2.06673,0.128763,0,1.39502,-1.86,0.748685,2.09849,-2.05212,0.692382,0,2.42315,-1.86,0.637241,3.28524,-2.06316,0.558398,0,2.33442,-1.86,0.70969,3.17804,-2.07329,0.635585,0,1.6941,-1.86,0.215977,2.44606,-2.05573,0.0708168,0,2.19069,-1.86,0.309774,3.01095,-2.08154,0.181147,0,1.53968,-1.86,0.741718,2.27295,-2.08958,0.67041,0,1.3251,-1.86,0.439363,2.0226,-2.06138,0.33541,0,1.37188,-1.86,0.64605,2.07,-2.03469,0.579579,0,2.18695,-1.86,0.649717,3.02551,-2.02122,0.582126,0,1.50218,-1.86,0.629483,2.21177,-1.99658,0.565316,0,1.4282,-1.86,0.494689,2.12035,-1.99661,0.404581,0,1.53328,-1.86,0.511417,2.26435,-2.07971,0.407112,0,2.33461,-1.86,0.385047,3.18092,-2.0685,0.263451,0,2.07329,-1.86,0.731001,2.88662,-2.04428,0.672694,0,2.18951,-1.86,0.178732,3.01536,-2.07381,0.0306668,0,
