time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,
0,2.90282,-3.27662,0.243426,3.71323,-3.71222,0.0957234,2.68653,-1.86,0.671718,3.29173,-0.951584,0.930357,0,2.8954,-1.86,0.409093,3.69824,-0.84983,0.430466,0,3.35057,-1.86,0.675189,4.5432,-1.08633,0.896052,0,2.80215,-1.86,0.322523,3.52141,-1.01284,0.246444,0,3.60564,-1.86,0.359852,5.04172,-1.03447,0.315796,0,2.6499,-1.86,0.412086,3.22924,-1.00133,0.418478,0,2.91267,-1.86,0.544116,3.73217,-0.988801,0.673794,0,2.57243,-1.86,0.575131,3.07465,-0.974161,0.736847,0,3.07068,-1.86,0.527381,4.03899,-0.963108,0.64677,0,3.12474,-1.86,0.703076,4.13246,-1.03601,0.964071,0,3.68781,-1.86,0.541126,5.15022,-1.119,0.640684,0,2.55132,-1.86,0.69724,3.04675,-1.02615,0.956206,0,3.58223,-1.86,0.708212,4.94262,-1.14885,0.936754,0,3.05392,-1.86,0.143848,4.01017,-0.928255,-0.0999692,0,3.44745,-1.86,0.719568,4.72798,-1.07277,0.982874,0,3.02857,-1.86,0.27618,3.95578,-0.979881,0.158897,0,3.57434,-1.86,0.23853,4.95925,-1.08365,0.0866385,0,3.44625,-1.86,0.186463,4.73377,-1.05186,-0.0112513,0,3.51512,-1.86,0.435395,4.83028,-1.12781,0.445942,0,2.68881,-1.86,0.54589,3.29445,-0.94018,0.687585,0,3.56145,-1.86,0.107662,4.952,-1.04781,-0.159626,0,2.99995,-1.86,0.635088,3.8973,-1.02757,0.837966,0,3.46869,-1.86,0.292842,4.8045,-0.980314,0.19102,0,3.17462,-1.86,0.112203,4.2402,-0.965684,-0.158693,0,2.82121,-1.86,0.64041,3.55861,-1.02836,0.847829,0,2.7023,-1.86,0.240054,3.33187,-1.01795,0.0893087,0,3.67931,-1.86,0.180377,5.15014,-1.09074,-0.0209513,0,2.82006,-1.86,0.521178,3.55504,-1.00449,0.626621,0,3.01647,-1.86,0.735483,3.92513,-1.0709,1.01318,0,
0.0333341,2.90282,-3.27662,0.243426,3.72864,-3.71337,0.0953628,2.68653,-1.86,0.671718,3.30395,-1.10983,0.880643,0,2.8954,-1.86,0.409093,3.68677,-1.03153,0.408011,0,3.35057,-1.86,0.675189,4.48137,-1.2378,0.849898,0,2.80215,-1.86,0.322523,3.52209,-1.18462,0.235265,0,3.60564,-1.86,0.359852,4.9858,-1.12632,0.307452,0,2.6499,-1.86,0.412086,3.24738,-1.17656,0.396,0,2.91267,-1.86,0.544116,3.71965,-1.15083,0.640619,0,2.57243,-1.86,0.575131,3.10547,-1.1748,0.688989,0,3.07068,-1.86,0.527381,3.996,-1.18277,0.602726,0,3.12474,-1.86,0.703076,4.09583,-1.19301,0.913123,0,3.68781,-1.86,0.541126,5.09288,-1.20239,0.623243,0,2.55132,-1.86,0.69724,3.07257,-1.17992,0.90421,0,3.58223,-1.86,0.708212,4.88637,-1.24364,0.905643,0,3.05392,-1.86,0.143848,3.98041,-1.09205,-0.0881071,0,3.44745,-1.86,0.719568,4.66953,-1.19303,0.941604,0,3.02857,-1.86,0.27618,3.91661,-1.23171,0.150289,0,3.57434,-1.86,0.23853,4.90398,-1.17871,0.0850549,0,3.44625,-1.86,0.186463,4.69349,-1.13947,-0.00501505,0,3.51512,-1.86,0.435395,4.76179,-1.25798,0.428461,0,2.68881,-1.86,0.54589,3.30807,-1.1146,0.647638,0,3.56145,-1.86,0.107662,4.86944,-1.19245,-0.145099,0,2.99995,-1.86,0.635088,3.87416,-1.19263,0.792363,0,3.46869,-1.86,0.292842,4.7093,-1.17251,0.184766,0,3.17462,-1.86,0.112203,4.20103,-1.10979,-0.145941,0,2.82121,-1.86,0.64041,3.55591,-1.21042,0.796846,0,2.7023,-1.86,0.240054,3.34338,-1.18588,0.0891043,0,3.67931,-1.86,0.180377,5.10714,-1.15378,-0.017262,0,2.82006,-1.86,0.521178,3.55245,-1.18764,0.590828,0,3.01647,-1.86,0.735483,3.89993,-1.22784,0.959549,0,
0.0666681,2.93002,-3.27824,0.242939,3.74068,-3.71417,0.0950843,2.68653,-1.86,0.671718,3.31202,-1.25108,0.838996,0,2.8954,-1.86,0.409093,3.67091,-1.25804,0.380717,0,3.35057,-1.86,0.675189,4.42198,-1.38015,0.804722,0,2.80215,-1.86,0.322523,3.52075,-1.37129,0.225261,0,3.60564,-1.86,0.359852,4.90385,-1.25528,0.293508,0,2.6499,-1.86,0.412086,3.26228,-1.33498,0.377466,0,2.91267,-1.86,0.544116,3.70771,-1.27067,0.615143,0,2.57243,-1.86,0.575131,3.12675,-1.31847,0.655454,0,3.07068,-1.86,0.527381,3.96555,-1.33957,0.56981,0,3.12474,-1.86,0.703076,4.05763,-1.34623,0.861624,0,3.68781,-1.86,0.541126,5.02243,-1.29973,0.599186,0,2.55132,-1.86,0.69724,3.09346,-1.31974,0.859639,0,3.58223,-1.86,0.708212,4.81899,-1.35124,0.868434,0,3.05392,-1.86,0.143848,3.94656,-1.27011,-0.0760433,0,3.44745,-1.86,0.719568,4.61299,-1.30366,0.902133,0,3.02857,-1.86,0.27618,3.88407,-1.44655,0.144248,0,3.57434,-1.86,0.23853,4.83342,-1.29402,0.0841299,0,3.44625,-1.86,0.186463,4.63564,-1.25072,-0.00115112,0,3.51512,-1.86,0.435395,4.71306,-1.34542,0.412906,0,2.68881,-1.86,0.54589,3.32014,-1.29443,0.609587,0,3.56145,-1.86,0.107662,4.78365,-1.34171,-0.130284,0,2.99995,-1.86,0.635088,3.84931,-1.35314,0.746295,0,3.46869,-1.86,0.292842,4.63263,-1.32861,0.177839,0,3.17462,-1.86,0.112203,4.15091,-1.2883,-0.130605,0,2.82121,-1.86,0.64041,3.55206,-1.35107,0.755771,0,2.7023,-1.86,0.240054,3.35436,-1.36608,0.0899367,0,3.67931,-1.86,0.180377,5.02084,-1.27522,-0.0130278,0,2.82006,-1.86,0.521178,3.54887,-1.33614,0.560737,0,3.01647,-1.86,0.735483,3.87821,-1.35175,0.914076,0,
0.100002,2.93987,-3.27897,0.242378,3.75078,-3.7149,0.0948483,2.68653,-1.86,0.671718,3.32036,-1.39751,0.796461,0,2.8954,-1.86,0.409093,3.65978,-1.43881,0.363334,0,3.35057,-1.86,0.675189,4.37219,-1.49862,0.769552,0,2.80215,-1.86,0.322523,3.52004,-1.52242,0.218721,0,3.60564,-1.86,0.359852,4.8337,-1.36757,0.286487,0,2.6499,-1.86,0.412086,3.27754,-1.49451,0.360569,0,2.91267,-1.86,0.544116,3.6928,-1.41621,0.584829,0,2.57243,-1.86,0.575131,3.15098,-1.48551,0.618323,0,3.07068,-1.86,0.527381,3.93253,-1.50643,0.536881,0,3.12474,-1.86,0.703076,4.02536,-1.47563,0.822215,0,3.68781,-1.86,0.541126,4.9501,-1.40209,0.578833,0,2.55132,-1.86,0.69724,3.11319,-1.45447,0.818237,0,3.58223,-1.86,0.708212,4.75471,-1.4556,0.835989,0,3.05392,-1.86,0.143848,3.91226,-1.46174,-0.0603464,0,3.44745,-1.86,0.719568,4.55553,-1.41643,0.866098,0,3.02857,-1.86,0.27618,3.86183,-1.58709,0.143026,0,3.57434,-1.86,0.23853,4.73872,-1.45587,0.0874433,0,3.44625,-1.86,0.186463,4.56486,-1.39303,0.00574709,0,3.51512,-1.86,0.435395,4.65457,-1.44758,0.401109,0,2.68881,-1.86,0.54589,3.33337,-1.47101,0.577386,0,3.56145,-1.86,0.107662,4.71057,-1.46917,-0.115199,0,2.99995,-1.86,0.635088,3.82734,-1.49528,0.708767,0,3.46869,-1.86,0.292842,4.548,-1.50198,0.173185,0,3.17462,-1.86,0.112203,4.11218,-1.42842,-0.114647,0,2.82121,-1.86,0.64041,3.54737,-1.46656,0.722566,0,2.7023,-1.86,0.240054,3.36524,-1.53034,0.0922288,0,3.67931,-1.86,0.180377,4.93991,-1.39383,-0.00556884,0,2.82006,-1.86,0.521178,3.54589,-1.54471,0.520028,0,3.01647,-1.86,0.735483,3.85513,-1.47935,0.871455,0,
0.133336,2.93987,-3.27897,0.242378,3.76612,-3.71602,0.0944903,2.68653,-1.86,0.671718,3.458,-2.15312,0.568823,0,2.8954,-1.86,0.409093,3.68762,-2.18007,0.27526,0,3.35057,-1.86,0.675189,4.17851,-2.18442,0.562489,0,2.80215,-1.86,0.322523,3.58894,-2.21151,0.179109,0,3.60564,-1.86,0.359852,4.46139,-2.16857,0.222294,0,2.6499,-1.86,0.412086,3.42447,-2.19135,0.278285,0,2.91267,-1.86,0.544116,3.70722,-2.10297,0.43905,0,2.57243,-1.86,0.575131,3.3559,-2.25446,0.438527,0,3.07068,-1.86,0.527381,3.87554,-2.1934,0.400796,0,3.12474,-1.86,0.703076,3.93852,-2.16254,0.599666,0,3.68781,-1.86,0.541126,4.52442,-2.21609,0.409652,0,2.55132,-1.86,0.69724,3.3178,-2.18689,0.58549,0,3.58223,-1.86,0.708212,4.4335,-2.17399,0.601496,0,3.05392,-1.86,0.143848,3.85687,-2.19931,-0.0083838,0,3.44745,-1.86,0.719568,4.29867,-2.14407,0.623117,0,3.02857,-1.86,0.27618,3.82482,-2.25315,0.131797,0,3.57434,-1.86,0.23853,4.42246,-2.17853,0.0921488,0,3.44625,-1.86,0.186463,4.30715,-2.11841,0.0348425,0,3.51512,-1.86,0.435395,4.3746,-2.14129,0.308624,0,2.68881,-1.86,0.54589,3.46972,-2.21628,0.418213,0,3.56145,-1.86,0.107662,4.36916,-2.26193,-0.0404393,0,2.99995,-1.86,0.635088,3.80322,-2.14596,0.530525,0,3.46869,-1.86,0.292842,4.26992,-2.27303,0.149219,0,3.17462,-1.86,0.112203,3.99202,-2.16726,-0.046293,0,2.82121,-1.86,0.64041,3.60573,-2.1465,0.53388,0,2.7023,-1.86,0.240054,3.48324,-2.21067,0.0936263,0,3.67931,-1.86,0.180377,4.52476,-2.19924,0.0304669,0,2.82006,-1.86,0.521178,3.60923,-2.23596,0.386219,0,3.01647,-1.86,0.735483,3.82109,-2.15078,0.639933,0,
0.16667,2.9868,-3.28174,0.24196,3.75078,-3.7149,0.0948483,2.68653,-1.86,0.671718,3.4178,-2.10626,0.583644,0,2.8954,-1.86,0.409093,3.65527,-2.16641,0.276678,0,3.35057,-1.86,0.675189,4.15037,-2.17112,0.563721,0,2.80215,-1.86,0.322523,3.55522,-2.18771,0.181592,0,3.60564,-1.86,0.359852,4.43589,-2.15252,0.221845,0,2.6499,-1.86,0.412086,3.38,-2.13733,0.284675,0,2.91267,-1.86,0.544116,3.6735,-2.09146,0.441174,0,2.57243,-1.86,0.575131,3.30347,-2.17659,0.457031,0,3.07068,-1.86,0.527381,3.84462,-2.19035,0.401122,0,3.12474,-1.86,0.703076,3.90871,-2.16,0.59991,0,3.68781,-1.86,0.541126,4.50275,-2.20152,0.410044,0,2.55132,-1.86,0.69724,3.26362,-2.10806,0.610197,0,3.58223,-1.86,0.708212,4.4089,-2.15806,0.604387,0,3.05392,-1.86,0.143848,3.82484,-2.19622,-0.00931904,0,3.44745,-1.86,0.719568,4.27094,-2.12845,0.626282,0,3.02857,-1.86,0.27618,3.79254,-2.24898,0.129156,0,3.57434,-1.86,0.23853,4.39475,-2.16281,0.0900347,0,3.44625,-1.86,0.186463,4.27976,-2.10337,0.0327383,0,3.51512,-1.86,0.435395,4.34926,-2.12652,0.308497,0,2.68881,-1.86,0.54589,3.42901,-2.1695,0.428268,0,3.56145,-1.86,0.107662,4.3445,-2.24822,-0.0393165,0,2.99995,-1.86,0.635088,3.77226,-2.14015,0.530505,0,3.46869,-1.86,0.292842,4.24306,-2.25863,0.14772,0,3.17462,-1.86,0.112203,3.95955,-2.16361,-0.0467667,0,2.82121,-1.86,0.64041,3.57097,-2.12525,0.540366,0,2.7023,-1.86,0.240054,3.44407,-2.16971,0.0943517,0,3.67931,-1.86,0.180377,4.49918,-2.18355,0.0271238,0,2.82006,-1.86,0.521178,3.57598,-2.21412,0.390255,0,3.01647,-1.86,0.735483,3.79129,-2.14565,0.639923,0,
0.200004,2.9868,-3.28174,0.24196,3.79763,-3.71838,0.0937523,2.68653,-1.86,0.671718,3.47079,-2.23092,0.545717,0,2.8954,-1.86,0.409093,3.68889,-2.23998,0.269492,0,3.35057,-1.86,0.675189,4.1672,-2.22471,0.549662,0,2.80215,-1.86,0.322523,3.59376,-2.25457,0.177212,0,3.60564,-1.86,0.359852,4.42927,-2.23567,0.218455,0,2.6499,-1.86,0.412086,3.43654,-2.24959,0.269671,0,2.91267,-1.86,0.544116,3.70784,-2.16366,0.425056,0,2.57243,-1.86,0.575131,3.367,-2.29147,0.428759,0,3.07068,-1.86,0.527381,3.8763,-2.20729,0.399183,0,3.12474,-1.86,0.703076,3.93331,-2.20414,0.586709,0,3.68781,-1.86,0.541126,4.51594,-2.23651,0.405338,0,2.55132,-1.86,0.69724,3.3367,-2.25725,0.561801,0,3.58223,-1.86,0.708212,4.40848,-2.22908,0.584013,0,3.05392,-1.86,0.143848,3.85301,-2.24543,-0.00320935,0,3.44745,-1.86,0.719568,4.27006,-2.21949,0.5981,0,3.02857,-1.86,0.27618,3.82016,-2.31049,0.128741,0,3.57434,-1.86,0.23853,4.39419,-2.24127,0.0933644,0,3.44625,-1.86,0.186463,4.28635,-2.17606,0.0375806,0,3.51512,-1.86,0.435395,4.35767,-2.18487,0.301973,0,2.68881,-1.86,0.54589,3.48107,-2.28362,0.403417,0,3.56145,-1.86,0.107662,4.35935,-2.28833,-0.0334181,0,2.99995,-1.86,0.635088,3.80106,-2.19478,0.516971,0,3.46869,-1.86,0.292842,4.25823,-2.30705,0.147927,0,3.17462,-1.86,0.112203,3.98206,-2.22266,-0.0412102,0,2.82121,-1.86,0.64041,3.61086,-2.22789,0.511117,0,2.7023,-1.86,0.240054,3.49194,-2.25947,0.09367,0,3.67931,-1.86,0.180377,4.49784,-2.25191,0.0320314,0,2.82006,-1.86,0.521178,3.61305,-2.2596,0.38056,0,3.01647,-1.86,0.735483,3.82226,-2.16613,0.632246,0,
0.233338,3.01436,-3.28348,0.241499,3.81311,-3.71953,0.09339,2.68653,-1.86,0.671718,3.47407,-2.23201,0.543238,0,2.8954,-1.86,0.409093,3.6896,-2.26987,0.263061,0,3.35057,-1.86,0.675189,4.15543,-2.25824,0.537797,0,2.80215,-1.86,0.322523,3.59591,-2.27936,0.174286,0,3.60564,-1.86,0.359852,4.4227,-2.24995,0.213435,0,2.6499,-1.86,0.412086,3.44165,-2.28419,0.266236,0,2.91267,-1.86,0.544116,3.70702,-2.20772,0.41405,0,2.57243,-1.86,0.575131,3.36758,-2.28819,0.428082,0,3.07068,-1.86,0.527381,3.87509,-2.2219,0.3935,0,3.12474,-1.86,0.703076,3.9296,-2.22988,0.57668,0,3.68781,-1.86,0.541126,4.50696,-2.25179,0.399372,0,2.55132,-1.86,0.69724,3.33815,-2.25575,0.561234,0,3.58223,-1.86,0.708212,4.41109,-2.22804,0.580976,0,3.05392,-1.86,0.143848,3.85072,-2.27168,-0.00299899,0,3.44745,-1.86,0.719568,4.26102,-2.24411,0.588062,0,3.02857,-1.86,0.27618,3.82054,-2.3266,0.126824,0,3.57434,-1.86,0.23853,4.3871,-2.25633,0.0901479,0,3.44625,-1.86,0.186463,4.27441,-2.20555,0.0348401,0,3.51512,-1.86,0.435395,4.3373,-2.2264,0.295017,0,2.68881,-1.86,0.54589,3.48429,-2.29137,0.40122,0,3.56145,-1.86,0.107662,4.35977,-2.2905,-0.0361553,0,2.99995,-1.86,0.635088,3.80362,-2.19894,0.5139,0,3.46869,-1.86,0.292842,4.25807,-2.3107,0.144653,0,3.17462,-1.86,0.112203,3.97821,-2.24697,-0.0411094,0,2.82121,-1.86,0.64041,3.61369,-2.25636,0.504168,0,2.7023,-1.86,0.240054,3.49516,-2.27656,0.0931705,0,3.67931,-1.86,0.180377,4.48121,-2.2788,0.0306871,0,2.82006,-1.86,0.521178,3.61424,-2.28701,0.373646,0,3.01647,-1.86,0.735483,3.81654,-2.21203,0.615204,0,
0.266672,3.01436,-3.28348,0.241499,3.82566,-3.72052,0.0930943,2.68653,-1.86,0.671718,3.47343,-2.23856,0.541771,0,2.8954,-1.86,0.409093,3.68867,-2.27212,0.26394,0,3.35057,-1.86,0.675189,4.1468,-2.29396,0.526949,0,2.80215,-1.86,0.322523,3.59956,-2.30982,0.174098,0,3.60564,-1.86,0.359852,4.41868,-2.25587,0.212984,0,2.6499,-1.86,0.412086,3.44237,-2.29312,0.266268,0,2.91267,-1.86,0.544116,3.70871,-2.24776,0.40835,0,2.57243,-1.86,0.575131,3.36853,-2.30024,0.427966,0,3.07068,-1.86,0.527381,3.87119,-2.25636,0.386297,0,3.12474,-1.86,0.703076,3.92559,-2.26405,0.565598,0,3.68781,-1.86,0.541126,4.50326,-2.25635,0.398458,0,2.55132,-1.86,0.69724,3.34101,-2.26936,0.557889,0,3.58223,-1.86,0.708212,4.39225,-2.26792,0.568518,0,3.05392,-1.86,0.143848,3.84906,-2.30165,0.000470102,0,3.44745,-1.86,0.719568,4.25595,-2.24621,0.585718,0,3.02857,-1.86,0.27618,3.82085,-2.34586,0.125578,0,3.57434,-1.86,0.23853,4.36945,-2.29821,0.0902658,0,3.44625,-1.86,0.186463,4.25321,-2.26149,0.037572,0,3.51512,-1.86,0.435395,4.31467,-2.28267,0.287217,0,2.68881,-1.86,0.54589,3.48643,-2.29649,0.39803,0,3.56145,-1.86,0.107662,4.35452,-2.2928,-0.036731,0,2.99995,-1.86,0.635088,3.80086,-2.23204,0.504208,0,3.46869,-1.86,0.292842,4.25591,-2.31385,0.144045,0,3.17462,-1.86,0.112203,3.97584,-2.24852,-0.0403759,0,2.82121,-1.86,0.64041,3.6163,-2.2997,0.491997,0,2.7023,-1.86,0.240054,3.50114,-2.30588,0.094187,0,3.67931,-1.86,0.180377,4.47529,-2.28707,0.0316225,0,2.82006,-1.86,0.521178,3.61757,-2.31773,0.369149,0,3.01647,-1.86,0.735483,3.81649,-2.21273,0.612998,0,
0.300007,3.04126,-3.28506,0.241023,3.85307,-3.7225,0.0924546,2.68653,-1.86,0.671718,3.48006,-2.2375,0.542647,0,2.8954,-1.86,0.409093,3.69721,-2.27057,0.262971,0,3.35057,-1.86,0.675189,4.1581,-2.29187,0.524366,0,2.80215,-1.86,0.322523,3.60924,-2.30721,0.175195,0,3.60564,-1.86,0.359852,4.42494,-2.25428,0.217374,0,2.6499,-1.86,0.412086,3.45098,-2.2911,0.26359,0,2.91267,-1.86,0.544116,3.71519,-2.24587,0.406319,0,2.57243,-1.86,0.575131,3.37719,-2.29784,0.426473,0,3.07068,-1.86,0.527381,3.87801,-2.25571,0.388467,0,3.12474,-1.86,0.703076,3.93536,-2.26327,0.565855,0,3.68781,-1.86,0.541126,4.5105,-2.25591,0.403042,0,2.55132,-1.86,0.69724,3.34621,-2.26725,0.557044,0,3.58223,-1.86,0.708212,4.39961,-2.26469,0.572293,0,3.05392,-1.86,0.143848,3.85932,-2.30075,-0.00140239,0,3.44745,-1.86,0.719568,4.26208,-2.24816,0.591541,0,3.02857,-1.86,0.27618,3.82816,-2.34484,0.128285,0,3.57434,-1.86,0.23853,4.37997,-2.2941,0.0921632,0,3.44625,-1.86,0.186463,4.26372,-2.25955,0.039388,0,3.51512,-1.86,0.435395,4.32609,-2.27986,0.287985,0,2.68881,-1.86,0.54589,3.49398,-2.29438,0.397926,0,3.56145,-1.86,0.107662,4.36523,-2.29435,-0.0306287,0,2.99995,-1.86,0.635088,3.81191,-2.22974,0.500635,0,3.46869,-1.86,0.292842,4.26613,-2.3135,0.147997,0,3.17462,-1.86,0.112203,3.98622,-2.24771,-0.0402248,0,2.82121,-1.86,0.64041,3.62513,-2.2982,0.493899,0,2.7023,-1.86,0.240054,3.50803,-2.30281,0.0930053,0,3.67931,-1.86,0.180377,4.4874,-2.28889,0.0316198,0,2.82006,-1.86,0.521178,3.62869,-2.31474,0.367621,0,3.01647,-1.86,0.735483,3.82416,-2.211,0.611258,0,
