time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,
0,-7.04838,-3.05747,0.309197,-6.85544,-3.03366,0.593383,-5.27333,-1.86,0.584033,-4.29194,-1.30428,0.990298,0,-5.69155,-1.86,0.799843,-4.67813,-1.11207,1.38073,0,-6.16,-1.52552,0.827712,-5.34241,-0.424528,1.47649,0,-5.53633,-1.86,0.44943,-4.4998,-1.1681,0.811853,0,-5.54078,-1.86,0.0959401,-4.49647,-1.15996,0.259696,0,-6.16,-1.49196,0.509485,-5.31921,-0.32648,0.939732,0,-6.16,-1.77391,0.54862,-5.15917,-0.582824,1.05054,0,-5.80909,-1.86,0.5704,-4.70257,-0.953425,1.04714,0,-4.65595,-1.86,0.801205,-4.0804,-1.64468,1.16408,0,-5.98349,-1.86,0.273249,-4.91699,-0.853856,0.527945,0,-6.16,-1.00327,0.815167,-5.61796,-0.172236,1.29818,0,-6.16,-1.13548,0.935869,-5.57409,-0.261471,1.49726,0,-6.06588,-1.86,0.532346,-5.01717,-0.793164,1.0109,0,-6.16,-1.8115,0.76521,-5.16302,-0.65999,1.46212,0,-6.16,-0.99417,0.466354,-5.59457,-0.105222,0.816435,0,-6.16,-0.093791,1.08285,-5.94428,0.00601959,1.38688,0,-6.16,-1.3142,0.396602,-5.43452,-0.245363,0.733184,0,-5.59019,-1.86,0.672433,-4.50959,-1.10724,1.17774,0,-5.00069,-1.86,0.80302,-4.21213,-1.48787,1.23085,0,-4.67984,-1.86,0.36873,-4.05029,-1.61545,0.66389,0,-6.16,-0.980593,0.624091,-5.62923,-0.166977,1.02803,0,-5.95885,-1.86,0.792989,-4.9461,-0.935145,1.44121,0,-6.12755,-1.86,0.410976,-5.023,-0.650702,0.795922,0,-6.16,-1.59339,0.183904,-5.30386,-0.476577,0.374553,0,-4.91667,-1.86,0.65414,-4.08951,-1.47992,1.04095,0,-6.16,-1.16226,0.161865,-5.51347,-0.170792,0.370824,0,-6.16,-1.33344,0.625319,-5.44807,-0.302446,1.09418,0,-5.90962,-1.86,0.126599,-4.80004,-0.872288,0.263803,0,-5.15457,-1.86,0.0352411,-4.22658,-1.37141,0.213094,0,-5.02213,-1.86,0.458293,-4.17923,-1.45207,0.790305,0,-6.16,-0.960947,0.27764,-5.61163,-0.0983322,0.549199,0,-6.16,-1.40872,0.268383,-5.36927,-0.275447,0.525104,0,
0.033334,-7.0284,-3.07071,0.309188,-6.84369,-3.04184,0.592787,-5.27333,-1.86,0.584033,-4.32764,-1.32379,0.977038,0,-5.69155,-1.86,0.799843,-4.73286,-1.1535,1.3629,0,-6.16,-1.52552,0.827712,-5.34756,-0.436968,1.46769,0,-5.53633,-1.86,0.44943,-4.57429,-1.2188,0.799887,0,-5.54078,-1.86,0.0959401,-4.56183,-1.20326,0.26537,0,-6.16,-1.49196,0.509485,-5.34643,-0.36598,0.929465,0,-6.16,-1.77391,0.54862,-5.20833,-0.643336,1.03462,0,-5.80909,-1.86,0.5704,-4.77466,-1.01236,1.03121,0,-4.65595,-1.86,0.801205,-4.09448,-1.65152,1.15313,0,-5.98349,-1.86,0.273249,-5.00536,-0.939016,0.529058,0,-6.16,-1.00327,0.815167,-5.61937,-0.177999,1.29579,0,-6.16,-1.13548,0.935869,-5.5746,-0.267055,1.4915,0,-6.06588,-1.86,0.532346,-5.08919,-0.869199,0.99112,0,-6.16,-1.8115,0.76521,-5.19896,-0.704091,1.4401,0,-6.16,-0.99417,0.466354,-5.60008,-0.117683,0.811078,0,-6.16,-0.093791,1.08285,-5.93497,0.0175149,1.38933,0,-6.16,-1.3142,0.396602,-5.45018,-0.272343,0.728807,0,-5.59019,-1.86,0.672433,-4.56761,-1.14585,1.15973,0,-5.00069,-1.86,0.80302,-4.22898,-1.49604,1.22591,0,-4.67984,-1.86,0.36873,-4.0664,-1.62238,0.656371,0,-6.16,-0.980593,0.624091,-5.62968,-0.17311,1.02455,0,-5.95885,-1.86,0.792989,-5.00996,-0.995658,1.4124,0,-6.12755,-1.86,0.410976,-5.07469,-0.709246,0.78467,0,-6.16,-1.59339,0.183904,-5.32871,-0.513572,0.378942,0,-4.91667,-1.86,0.65414,-4.11938,-1.49209,1.02844,0,-6.16,-1.16226,0.161865,-5.5382,-0.210595,0.366849,0,-6.16,-1.33344,0.625319,-5.46255,-0.328245,1.08615,0,-5.90962,-1.86,0.126599,-4.89178,-0.953891,0.273463,0,-5.15457,-1.86,0.0352411,-4.25363,-1.38495,0.211524,0,-5.02213,-1.86,0.458293,-4.21348,-1.4688,0.78359,0,-6.16,-0.960947,0.27764,-5.61417,-0.107845,0.548111,0,-6.16,-1.40872,0.268383,-5.3891,-0.305542,0.522743,0,
0.0666681,-7.02081,-3.07574,0.308917,-6.83503,-3.04788,0.592347,-5.27333,-1.86,0.584033,-4.37578,-1.35372,0.970441,0,-5.69155,-1.86,0.799843,-4.80141,-1.20774,1.34031,0,-6.16,-1.52552,0.827712,-5.36021,-0.459401,1.45968,0,-5.53633,-1.86,0.44943,-4.64232,-1.26901,0.797245,0,-5.54078,-1.86,0.0959401,-4.62659,-1.25096,0.2772,0,-6.16,-1.49196,0.509485,-5.37307,-0.410766,0.926572,0,-6.16,-1.77391,0.54862,-5.26972,-0.722853,1.02251,0,-5.80909,-1.86,0.5704,-4.87218,-1.09759,1.01725,0,-4.65595,-1.86,0.801205,-4.12726,-1.66807,1.15225,0,-5.98349,-1.86,0.273249,-5.08767,-1.0245,0.534871,0,-6.16,-1.00327,0.815167,-5.6255,-0.195819,1.29324,0,-6.16,-1.13548,0.935869,-5.58336,-0.286566,1.4857,0,-6.06588,-1.86,0.532346,-5.17658,-0.966259,0.980203,0,-6.16,-1.8115,0.76521,-5.2591,-0.777491,1.41413,0,-6.16,-0.99417,0.466354,-5.61371,-0.148466,0.813003,0,-6.16,-0.093791,1.08285,-5.9234,0.0255578,1.39557,0,-6.16,-1.3142,0.396602,-5.48011,-0.324315,0.728863,0,-5.59019,-1.86,0.672433,-4.66091,-1.21412,1.14383,0,-5.00069,-1.86,0.80302,-4.26526,-1.51645,1.2212,0,-4.67984,-1.86,0.36873,-4.09539,-1.6384,0.662293,0,-6.16,-0.980593,0.624091,-5.63874,-0.196676,1.02652,0,-5.95885,-1.86,0.792989,-5.09605,-1.08063,1.38175,0,-6.12755,-1.86,0.410976,-5.17177,-0.820592,0.780899,0,-6.16,-1.59339,0.183904,-5.36517,-0.567851,0.385554,0,-4.91667,-1.86,0.65414,-4.14722,-1.50924,1.02605,0,-6.16,-1.16226,0.161865,-5.56621,-0.265288,0.377382,0,-6.16,-1.33344,0.625319,-5.47899,-0.360904,1.08317,0,-5.90962,-1.86,0.126599,-4.97504,-1.03457,0.289442,0,-5.15457,-1.86,0.0352411,-4.3054,-1.4149,0.225371,0,-5.02213,-1.86,0.458293,-4.25088,-1.49129,0.785238,0,-6.16,-0.960947,0.27764,-5.62387,-0.132302,0.551785,0,-6.16,-1.40872,0.268383,-5.4137,-0.348273,0.525535,0,
0.100002,-7.02081,-3.07574,0.308917,-6.82685,-3.05331,0.591938,-5.27333,-1.86,0.584033,-4.43974,-1.39515,0.956479,0,-5.69155,-1.86,0.799843,-4.87196,-1.26659,1.31423,0,-6.16,-1.52552,0.827712,-5.3894,-0.506536,1.44107,0,-5.53633,-1.86,0.44943,-4.72372,-1.32963,0.788821,0,-5.54078,-1.86,0.0959401,-4.70043,-1.30672,0.28725,0,-6.16,-1.49196,0.509485,-5.40127,-0.460871,0.918251,0,-6.16,-1.77391,0.54862,-5.32508,-0.7995,1.00511,0,-5.80909,-1.86,0.5704,-4.95293,-1.17229,0.998129,0,-4.65595,-1.86,0.801205,-4.1569,-1.68587,1.14372,0,-5.98349,-1.86,0.273249,-5.18968,-1.13143,0.536512,0,-6.16,-1.00327,0.815167,-5.63084,-0.217271,1.28455,0,-6.16,-1.13548,0.935869,-5.58696,-0.304904,1.47765,0,-6.06588,-1.86,0.532346,-5.24539,-1.04674,0.96225,0,-6.16,-1.8115,0.76521,-5.31762,-0.85472,1.38341,0,-6.16,-0.99417,0.466354,-5.6272,-0.184713,0.808996,0,-6.16,-0.093791,1.08285,-5.90936,0.0348165,1.39456,0,-6.16,-1.3142,0.396602,-5.49904,-0.366981,0.728844,0,-5.59019,-1.86,0.672433,-4.74077,-1.27705,1.12373,0,-5.00069,-1.86,0.80302,-4.30843,-1.54203,1.20785,0,-4.67984,-1.86,0.36873,-4.12501,-1.65651,0.660605,0,-6.16,-0.980593,0.624091,-5.6391,-0.211814,1.01906,0,-5.95885,-1.86,0.792989,-5.17253,-1.15985,1.34647,0,-6.12755,-1.86,0.410976,-5.2329,-0.899231,0.774186,0,-6.16,-1.59339,0.183904,-5.40175,-0.626842,0.390577,0,-4.91667,-1.86,0.65414,-4.17816,-1.52952,1.01834,0,-6.16,-1.16226,0.161865,-5.57925,-0.301303,0.376806,0,-6.16,-1.33344,0.625319,-5.51283,-0.421209,1.07005,0,-5.90962,-1.86,0.126599,-5.06559,-1.12427,0.30171,0,-5.15457,-1.86,0.0352411,-4.35501,-1.44692,0.229143,0,-5.02213,-1.86,0.458293,-4.29557,-1.51839,0.779254,0,-6.16,-0.960947,0.27764,-5.63382,-0.162601,0.551506,0,-6.16,-1.40872,0.268383,-5.43875,-0.396194,0.524624,0,
0.133336,-6.99981,-3.0889,0.308933,-6.80544,-3.06742,0.590869,-5.27333,-1.86,0.584033,-4.49048,-1.4057,0.950021,0,-5.69155,-1.86,0.799843,-4.921,-1.2893,1.2936,0,-6.16,-1.52552,0.827712,-5.45413,-0.57084,1.4199,0,-5.53633,-1.86,0.44943,-4.78534,-1.35593,0.783528,0,-5.54078,-1.86,0.0959401,-4.76089,-1.3314,0.295066,0,-6.16,-1.49196,0.509485,-5.44603,-0.498985,0.91041,0,-6.16,-1.77391,0.54862,-5.38458,-0.853811,0.99302,0,-5.80909,-1.86,0.5704,-5.02988,-1.22179,0.97985,0,-4.65595,-1.86,0.801205,-4.17854,-1.67547,1.13904,0,-5.98349,-1.86,0.273249,-5.27416,-1.20213,0.538795,0,-6.16,-1.00327,0.815167,-5.65447,-0.227218,1.28619,0,-6.16,-1.13548,0.935869,-5.62343,-0.33216,1.47009,0,-6.06588,-1.86,0.532346,-5.31845,-1.10894,0.948293,0,-6.16,-1.8115,0.76521,-5.37619,-0.906596,1.36072,0,-6.16,-0.99417,0.466354,-5.65922,-0.208096,0.806477,0,-6.16,-0.093791,1.08285,-5.93199,0.033592,1.39503,0,-6.16,-1.3142,0.396602,-5.53294,-0.391754,0.723856,0,-5.59019,-1.86,0.672433,-4.81063,-1.31016,1.10877,0,-5.00069,-1.86,0.80302,-4.34269,-1.5407,1.20539,0,-4.67984,-1.86,0.36873,-4.15132,-1.64714,0.659763,0,-6.16,-0.980593,0.624091,-5.66037,-0.217526,1.01453,0,-5.95885,-1.86,0.792989,-5.24743,-1.21728,1.31674,0,-6.12755,-1.86,0.410976,-5.3256,-0.985975,0.766954,0,-6.16,-1.59339,0.183904,-5.45382,-0.675144,0.394758,0,-4.91667,-1.86,0.65414,-4.21172,-1.52427,1.01301,0,-6.16,-1.16226,0.161865,-5.60972,-0.321879,0.37944,0,-6.16,-1.33344,0.625319,-5.54028,-0.439637,1.06422,0,-5.90962,-1.86,0.126599,-5.15588,-1.19281,0.31321,0,-5.15457,-1.86,0.0352411,-4.40734,-1.45494,0.234119,0,-5.02213,-1.86,0.458293,-4.35072,-1.52519,0.776949,0,-6.16,-0.960947,0.27764,-5.65647,-0.170814,0.552418,0,-6.16,-1.40872,0.268383,-5.47203,-0.419511,0.523679,0,
0.16667,-6.97913,-3.10148,0.308929,-6.79338,-3.07503,0.590273,-5.27333,-1.86,0.584033,-5.09481,-1.83457,0.857646,0,-5.69155,-1.86,0.799843,-4.99606,-1.34559,1.27096,0,-6.16,-1.52552,0.827712,-5.84262,-1.28356,1.18289,0,-5.53633,-1.86,0.44943,-4.85513,-1.40384,0.779661,0,-5.54078,-1.86,0.0959401,-4.82056,-1.37218,0.304036,0,-6.16,-1.49196,0.509485,-5.76421,-1.0921,0.834403,0,-6.16,-1.77391,0.54862,-5.4498,-0.936662,0.979108,0,-5.80909,-1.86,0.5704,-5.1143,-1.29499,0.966311,0,-4.65595,-1.86,0.801205,-4.72164,-1.95673,1.0252,0,-5.98349,-1.86,0.273249,-5.34795,-1.27881,0.542254,0,-6.16,-1.00327,0.815167,-5.83685,-0.663335,1.17529,0,-6.16,-1.13548,0.935869,-5.82596,-0.79282,1.32228,0,-6.06588,-1.86,0.532346,-5.39658,-1.19539,0.932997,0,-6.16,-1.8115,0.76521,-5.43106,-0.973892,1.33727,0,-6.16,-0.99417,0.466354,-5.84815,-0.673818,0.770441,0,-6.16,-0.093791,1.08285,-5.79799,0.496295,1.51129,0,-6.16,-1.3142,0.396602,-5.56145,-0.435508,0.724014,0,-5.59019,-1.86,0.672433,-4.88923,-1.36676,1.09252,0,-5.00069,-1.86,0.80302,-4.88586,-1.87304,1.07408,0,-4.67984,-1.86,0.36873,-4.65266,-1.91177,0.650137,0,-6.16,-0.980593,0.624091,-5.77623,-0.49197,0.972496,0,-5.95885,-1.86,0.792989,-5.32686,-1.29613,1.28472,0,-6.12755,-1.86,0.410976,-5.38841,-1.06135,0.761016,0,-6.16,-1.59339,0.183904,-5.48866,-0.724656,0.400954,0,-4.91667,-1.86,0.65414,-4.75122,-1.84078,0.926677,0,-6.16,-1.16226,0.161865,-5.63295,-0.359507,0.380969,0,-6.16,-1.33344,0.625319,-5.78572,-0.94249,0.972573,0,-5.90962,-1.86,0.126599,-5.2456,-1.27932,0.328204,0,-5.15457,-1.86,0.0352411,-4.45758,-1.48048,0.242953,0,-5.02213,-1.86,0.458293,-4.93904,-1.8921,0.734059,0,-6.16,-0.960947,0.27764,-5.81968,-0.571052,0.552731,0,-6.16,-1.40872,0.268383,-5.73967,-0.941416,0.534618,0,
0.200004,-6.97158,-3.10613,0.308647,-6.78431,-3.08092,0.589822,-5.27333,-1.86,0.584033,-5.04747,-1.8025,0.86661,0,-5.69155,-1.86,0.799843,-5.02929,-1.37858,1.26003,0,-6.16,-1.52552,0.827712,-5.7966,-1.20569,1.21061,0,-5.53633,-1.86,0.44943,-4.88809,-1.43373,0.778094,0,-5.54078,-1.86,0.0959401,-4.86213,-1.40698,0.310667,0,-6.16,-1.49196,0.509485,-5.7564,-1.08547,0.836663,0,-6.16,-1.77391,0.54862,-5.4813,-0.985784,0.970115,0,-5.80909,-1.86,0.5704,-5.15507,-1.33838,0.960634,0,-4.65595,-1.86,0.801205,-4.56992,-1.88305,1.05842,0,-5.98349,-1.86,0.273249,-5.39566,-1.33465,0.545466,0,-6.16,-1.00327,0.815167,-5.79055,-0.559221,1.20252,0,-6.16,-1.13548,0.935869,-5.7798,-0.695404,1.35466,0,-6.06588,-1.86,0.532346,-5.43706,-1.24768,0.923111,0,-6.16,-1.8115,0.76521,-5.44978,-1.00575,1.32742,0,-6.16,-0.99417,0.466354,-5.80225,-0.569573,0.778161,0,-6.16,-0.093791,1.08285,-5.72021,0.734289,1.57557,0,-6.16,-1.3142,0.396602,-5.57442,-0.466639,0.722794,0,-5.59019,-1.86,0.672433,-4.92572,-1.40037,1.084,0,-5.00069,-1.86,0.80302,-4.80445,-1.82578,1.09283,0,-4.67984,-1.86,0.36873,-4.62957,-1.90641,0.652127,0,-6.16,-0.980593,0.624091,-5.72087,-0.367542,0.994017,0,-5.95885,-1.86,0.792989,-5.36482,-1.34116,1.26887,0,-6.12755,-1.86,0.410976,-5.42715,-1.11454,0.759095,0,-6.16,-1.59339,0.183904,-5.50823,-0.760567,0.403717,0,-4.91667,-1.86,0.65414,-4.65586,-1.78832,0.943823,0,-6.16,-1.16226,0.161865,-5.63982,-0.382723,0.384891,0,-6.16,-1.33344,0.625319,-5.77425,-0.933238,0.97794,0,-5.90962,-1.86,0.126599,-5.31377,-1.35207,0.3413,0,-5.15457,-1.86,0.0352411,-4.49122,-1.50444,0.249522,0,-5.02213,-1.86,0.458293,-4.92027,-1.88644,0.737063,0,-6.16,-0.960947,0.27764,-5.75854,-0.431978,0.556635,0,-6.16,-1.40872,0.268383,-5.72994,-0.93419,0.540429,0,
0.233338,-6.97158,-3.10613,0.308647,-6.77621,-3.08589,0.589425,-5.27333,-1.86,0.584033,-5.07691,-1.83031,0.866958,0,-5.69155,-1.86,0.799843,-5.07321,-1.41815,1.24786,0,-6.16,-1.52552,0.827712,-5.74678,-1.12163,1.23966,0,-5.53633,-1.86,0.44943,-4.92293,-1.46311,0.775779,0,-5.54078,-1.86,0.0959401,-4.9047,-1.44211,0.317371,0,-6.16,-1.49196,0.509485,-5.75939,-1.09685,0.839159,0,-6.16,-1.77391,0.54862,-5.50555,-1.024,0.963978,0,-5.80909,-1.86,0.5704,-5.19366,-1.37685,0.950407,0,-4.65595,-1.86,0.801205,-4.63112,-1.92041,1.04944,0,-5.98349,-1.86,0.273249,-5.44191,-1.38812,0.548534,0,-6.16,-1.00327,0.815167,-5.79671,-0.585671,1.19884,0,-6.16,-1.13548,0.935869,-5.7795,-0.720992,1.35105,0,-6.06588,-1.86,0.532346,-5.47451,-1.29477,0.91415,0,-6.16,-1.8115,0.76521,-5.46829,-1.03429,1.31747,0,-6.16,-0.99417,0.466354,-5.80823,-0.597768,0.775923,0,-6.16,-0.093791,1.08285,-5.61376,1.07127,1.66275,0,-6.16,-1.3142,0.396602,-5.58023,-0.486701,0.721344,0,-5.59019,-1.86,0.672433,-4.96151,-1.43131,1.07382,0,-5.00069,-1.86,0.80302,-4.84382,-1.8564,1.0834,0,-4.67984,-1.86,0.36873,-4.66193,-1.93314,0.647711,0,-6.16,-0.980593,0.624091,-5.72486,-0.387568,0.992916,0,-5.95885,-1.86,0.792989,-5.40668,-1.3878,1.25191,0,-6.12755,-1.86,0.410976,-5.46339,-1.16315,0.75415,0,-6.16,-1.59339,0.183904,-5.53087,-0.800414,0.409963,0,-4.91667,-1.86,0.65414,-4.62557,-1.77505,0.950352,0,-6.16,-1.16226,0.161865,-5.63681,-0.390981,0.387101,0,-6.16,-1.33344,0.625319,-5.77682,-0.948925,0.976022,0,-5.90962,-1.86,0.126599,-5.36177,-1.4052,0.350404,0,-5.15457,-1.86,0.0352411,-4.526,-1.52859,0.254293,0,-5.02213,-1.86,0.458293,-4.94985,-1.90879,0.737104,0,-6.16,-0.960947,0.27764,-5.76499,-0.458031,0.558798,0,-6.16,-1.40872,0.268383,-5.73526,-0.944923,0.546385,0,
0.266672,-6.94968,-3.11855,0.308643,-6.75393,-3.09924,0.588341,-5.27333,-1.86,0.584033,-5.0701,-1.81075,0.873763,0,-5.69155,-1.86,0.799843,-5.12668,-1.45034,1.23246,0,-6.16,-1.52552,0.827712,-5.75706,-1.11361,1.24296,0,-5.53633,-1.86,0.44943,-4.9764,-1.48954,0.774444,0,-5.54078,-1.86,0.0959401,-4.96313,-1.47216,0.328541,0,-6.16,-1.49196,0.509485,-5.76664,-1.08959,0.841853,0,-6.16,-1.77391,0.54862,-5.56486,-1.08771,0.94889,0,-5.80909,-1.86,0.5704,-5.25616,-1.42401,0.945662,0,-4.65595,-1.86,0.801205,-4.59928,-1.88833,1.05564,0,-5.98349,-1.86,0.273249,-5.53027,-1.4752,0.552703,0,-6.16,-1.00327,0.815167,-5.80743,-0.575293,1.20303,0,-6.16,-1.13548,0.935869,-5.79452,-0.710274,1.35527,0,-6.06588,-1.86,0.532346,-5.53026,-1.34932,0.906483,0,-6.16,-1.8115,0.76521,-5.51063,-1.07388,1.30554,0,-6.16,-0.99417,0.466354,-5.81777,-0.587116,0.777967,0,-6.16,-0.093791,1.08285,-5.65086,1.07129,1.66532,0,-6.16,-1.3142,0.396602,-5.61149,-0.515331,0.726478,0,-5.59019,-1.86,0.672433,-5.01553,-1.46076,1.06759,0,-5.00069,-1.86,0.80302,-4.82872,-1.83292,1.09178,0,-4.67984,-1.86,0.36873,-4.64947,-1.91186,0.648907,0,-6.16,-0.980593,0.624091,-5.73632,-0.37576,0.999378,0,-5.95885,-1.86,0.792989,-5.46905,-1.44374,1.23016,0,-6.12755,-1.86,0.410976,-5.5186,-1.21885,0.752181,0,-6.16,-1.59339,0.183904,-5.563,-0.830073,0.414351,0,-4.91667,-1.86,0.65414,-4.62153,-1.75475,0.954865,0,-6.16,-1.16226,0.161865,-5.66343,-0.409785,0.3927,0,-6.16,-1.33344,0.625319,-5.78691,-0.941657,0.97875,0,-5.90962,-1.86,0.126599,-5.45225,-1.48813,0.368273,0,-5.15457,-1.86,0.0352411,-4.57483,-1.54019,0.263703,0,-5.02213,-1.86,0.458293,-4.94589,-1.89119,0.738299,0,-6.16,-0.960947,0.27764,-5.77601,-0.444933,0.561273,0,-6.16,-1.40872,0.268383,-5.74046,-0.938714,0.548247,0,
0.300007,-6.92842,-3.13021,0.308604,-6.74143,-3.1064,0.587739,-5.27333,-1.86,0.584033,-5.07794,-1.81573,0.870734,0,-5.69155,-1.86,0.799843,-5.17016,-1.48663,1.21629,0,-6.16,-1.52552,0.827712,-5.75838,-1.11434,1.24214,0,-5.53633,-1.86,0.44943,-5.01711,-1.5199,0.769137,0,-5.54078,-1.86,0.0959401,-5.01399,-1.51021,0.333781,0,-6.16,-1.49196,0.509485,-5.76965,-1.09138,0.840384,0,-6.16,-1.77391,0.54862,-5.60756,-1.14804,0.936097,0,-5.80909,-1.86,0.5704,-5.30216,-1.46701,0.933363,0,-4.65595,-1.86,0.801205,-4.61212,-1.89393,1.05004,0,-5.98349,-1.86,0.273249,-5.5812,-1.53545,0.549146,0,-6.16,-1.00327,0.815167,-5.80991,-0.579451,1.20287,0,-6.16,-1.13548,0.935869,-5.7962,-0.714005,1.35352,0,-6.06588,-1.86,0.532346,-5.57127,-1.39907,0.896377,0,-6.16,-1.8115,0.76521,-5.54667,-1.1205,1.28638,0,-6.16,-0.99417,0.466354,-5.82119,-0.590939,0.775802,0,-6.16,-0.093791,1.08285,-5.64621,1.09845,1.66869,0,-6.16,-1.3142,0.396602,-5.63326,-0.550745,0.722289,0,-5.59019,-1.86,0.672433,-5.06457,-1.49863,1.0559,0,-5.00069,-1.86,0.80302,-4.838,-1.83777,1.08759,0,-4.67984,-1.86,0.36873,-4.66055,-1.91692,0.647853,0,-6.16,-0.980593,0.624091,-5.74036,-0.37894,0.996973,0,-5.95885,-1.86,0.792989,-5.50492,-1.48338,1.21263,0,-6.12755,-1.86,0.410976,-5.56728,-1.28077,0.745268,0,-6.16,-1.59339,0.183904,-5.59368,-0.875095,0.417254,0,-4.91667,-1.86,0.65414,-4.62341,-1.75082,0.954332,0,-6.16,-1.16226,0.161865,-5.68107,-0.439851,0.394795,0,-6.16,-1.33344,0.625319,-5.79055,-0.943721,0.977394,0,-5.90962,-1.86,0.126599,-5.50814,-1.54902,0.37728,0,-5.15457,-1.86,0.0352411,-4.65737,-1.58683,0.268196,0,-5.02213,-1.86,0.458293,-4.95531,-1.89672,0.735435,0,-6.16,-0.960947,0.27764,-5.78124,-0.448131,0.561491,0,-6.16,-1.40872,0.268383,-5.74405,-0.940439,0.547562,0,
