time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,
0,-2.28658,3.26097,0.303933,-2.1377,3.05912,0.422382,-1.96029,1.86,0.668465,-1.54152,0.499314,1.08844,0,-1.97892,1.86,0.31884,-1.57949,0.517197,0.449429,0,-2.64696,1.86,0.43123,-2.82672,0.380616,0.665762,0,-2.48048,1.86,0.657837,-2.49205,0.498951,1.06912,0,-2.10846,1.86,0.682256,-1.81289,0.504261,1.11231,0,-2.27782,1.86,0.284583,-2.12219,0.578356,0.388118,0,-2.37143,1.86,0.67582,-2.29125,0.52412,1.0953,0,-2.10747,1.86,0.313307,-1.81217,0.512735,0.439421,0,-2.45114,1.86,0.537962,-2.43613,0.518483,0.846792,0,-2.74311,1.86,0.677375,-2.9466,0.576821,1.08407,0,-2.8593,1.86,0.471606,-3.17258,0.527645,0.725358,0,-2.93626,1.86,0.249513,-3.2963,0.560724,0.325334,0,-2.59212,1.86,0.63696,-2.72275,0.376599,1.06005,0,-2.34616,1.86,0.53479,-2.24741,0.479682,0.847433,0,-2.67342,1.86,0.142288,-2.83047,0.550193,0.1329,0,-3.00928,1.86,0.359192,-3.43235,0.549443,0.521372,0,-2.70443,1.86,0.317117,-2.89943,0.505229,0.446416,0,-2.63326,1.86,0.546196,-2.77027,0.502865,0.864425,0,-2.87684,1.86,0.34179,-3.19228,0.556117,0.490019,0,-2.96556,1.86,0.456717,-3.32537,0.608567,0.68963,0,-2.34097,1.86,0.190371,-2.23266,0.613403,0.224132,0,-2.47386,1.86,0.279182,-2.48131,0.488706,0.37697,0,-2.82477,1.86,0.249539,-3.1119,0.523211,0.323923,0,-2.75443,1.86,0.535055,-2.97627,0.5481,0.836634,0,-2.84516,1.86,0.106875,-3.14548,0.531552,0.0668571,0,-2.07119,1.86,0.101081,-1.7456,0.508746,0.0531022,0,-2.34033,1.86,0.361962,-2.23412,0.545907,0.526482,0,
0.033334,-2.31432,3.2628,0.304161,-2.16541,3.06057,0.422991,-1.96029,1.86,0.668465,-1.573,0.629502,1.05461,0,-1.97892,1.86,0.31884,-1.61371,0.666822,0.447868,0,-2.64696,1.86,0.43123,-2.78137,0.549872,0.65164,0,-2.48048,1.86,0.657837,-2.47589,0.631574,1.03621,0,-2.10846,1.86,0.682256,-1.8319,0.645772,1.07296,0,-2.27782,1.86,0.284583,-2.12496,0.742942,0.390428,0,-2.37143,1.86,0.67582,-2.28783,0.645225,1.06291,0,-2.10747,1.86,0.313307,-1.83235,0.655036,0.438536,0,-2.45114,1.86,0.537962,-2.41864,0.671318,0.82042,0,-2.74311,1.86,0.677375,-2.91878,0.67291,1.05944,0,-2.8593,1.86,0.471606,-3.12588,0.644953,0.713108,0,-2.93626,1.86,0.249513,-3.24714,0.669177,0.329746,0,-2.59212,1.86,0.63696,-2.69892,0.496099,1.03256,0,-2.34616,1.86,0.53479,-2.23511,0.705112,0.812665,0,-2.67342,1.86,0.142288,-2.7958,0.682737,0.149095,0,-3.00928,1.86,0.359192,-3.37713,0.657441,0.521309,0,-2.70443,1.86,0.317117,-2.85542,0.653011,0.447662,0,-2.63326,1.86,0.546196,-2.74504,0.618243,0.847218,0,-2.87684,1.86,0.34179,-3.15476,0.653075,0.488358,0,-2.96556,1.86,0.456717,-3.27688,0.710703,0.67852,0,-2.34097,1.86,0.190371,-2.22624,0.794262,0.23703,0,-2.47386,1.86,0.279182,-2.46121,0.647575,0.379801,0,-2.82477,1.86,0.249539,-3.05933,0.660248,0.328363,0,-2.75443,1.86,0.535055,-2.94402,0.652363,0.819512,0,-2.84516,1.86,0.106875,-3.10223,0.641626,0.0823488,0,-2.07119,1.86,0.101081,-1.77003,0.659492,0.0749478,0,-2.34033,1.86,0.361962,-2.23063,0.696301,0.519458,0,
0.0666681,-2.31432,3.2628,0.304161,-2.18085,3.06137,0.423331,-1.96029,1.86,0.668465,-1.58909,0.72611,1.02761,0,-1.97892,1.86,0.31884,-1.63073,0.772258,0.444983,0,-2.64696,1.86,0.43123,-2.75118,0.647166,0.639115,0,-2.48048,1.86,0.657837,-2.45698,0.725439,1.01144,0,-2.10846,1.86,0.682256,-1.83742,0.714948,1.05384,0,-2.27782,1.86,0.284583,-2.11995,0.858957,0.390326,0,-2.37143,1.86,0.67582,-2.27822,0.72531,1.03835,0,-2.10747,1.86,0.313307,-1.84255,0.807091,0.437998,0,-2.45114,1.86,0.537962,-2.40272,0.765605,0.802912,0,-2.74311,1.86,0.677375,-2.88026,0.766314,1.03238,0,-2.8593,1.86,0.471606,-3.08981,0.719801,0.70053,0,-2.93626,1.86,0.249513,-3.20406,0.748569,0.32906,0,-2.59212,1.86,0.63696,-2.67535,0.577717,1.01011,0,-2.34616,1.86,0.53479,-2.2252,0.825318,0.791788,0,-2.67342,1.86,0.142288,-2.7608,0.786204,0.157557,0,-3.00928,1.86,0.359192,-3.34165,0.717564,0.513849,0,-2.70443,1.86,0.317117,-2.82354,0.742945,0.443224,0,-2.63326,1.86,0.546196,-2.70987,0.727582,0.825913,0,-2.87684,1.86,0.34179,-3.11278,0.73585,0.482518,0,-2.96556,1.86,0.456717,-3.22579,0.799198,0.668636,0,-2.34097,1.86,0.190371,-2.21802,0.896796,0.243781,0,-2.47386,1.86,0.279182,-2.43941,0.764612,0.378414,0,-2.82477,1.86,0.249539,-3.02525,0.737212,0.328731,0,-2.75443,1.86,0.535055,-2.91384,0.726372,0.803755,0,-2.84516,1.86,0.106875,-3.05911,0.732467,0.091585,0,-2.07119,1.86,0.101081,-1.7841,0.810352,0.0944945,0,-2.34033,1.86,0.361962,-2.22121,0.801007,0.512595,0,
0.100002,-2.34211,3.26446,0.304523,-2.19285,3.06186,0.423591,-1.96029,1.86,0.668465,-1.60504,0.843292,0.996123,0,-1.97892,1.86,0.31884,-1.65055,0.916105,0.441018,0,-2.64696,1.86,0.43123,-2.69789,0.801248,0.626503,0,-2.48048,1.86,0.657837,-2.4305,0.838546,0.982725,0,-2.10846,1.86,0.682256,-1.84039,0.835146,1.02108,0,-2.27782,1.86,0.284583,-2.11068,0.995906,0.392843,0,-2.37143,1.86,0.67582,-2.2582,0.853802,1.00399,0,-2.10747,1.86,0.313307,-1.85051,0.943359,0.436839,0,-2.45114,1.86,0.537962,-2.36547,0.962309,0.771318,0,-2.74311,1.86,0.677375,-2.81059,0.934011,0.98504,0,-2.8593,1.86,0.471606,-3.04517,0.802349,0.690344,0,-2.93626,1.86,0.249513,-3.12679,0.882239,0.335666,0,-2.59212,1.86,0.63696,-2.62589,0.735548,0.97465,0,-2.34616,1.86,0.53479,-2.20342,1.03629,0.758532,0,-2.67342,1.86,0.142288,-2.71799,0.901652,0.172442,0,-3.00928,1.86,0.359192,-3.28527,0.801456,0.511369,0,-2.70443,1.86,0.317117,-2.77298,0.870958,0.443377,0,-2.63326,1.86,0.546196,-2.64809,0.919489,0.796977,0,-2.87684,1.86,0.34179,-3.05895,0.835001,0.481282,0,-2.96556,1.86,0.456717,-3.14637,0.933489,0.657176,0,-2.34097,1.86,0.190371,-2.20281,1.02863,0.253753,0,-2.47386,1.86,0.279182,-2.40843,0.911598,0.382542,0,-2.82477,1.86,0.249539,-2.96805,0.85206,0.334733,0,-2.75443,1.86,0.535055,-2.84528,0.885256,0.776455,0,-2.84516,1.86,0.106875,-3.00646,0.834743,0.10765,0,-2.07119,1.86,0.101081,-1.79652,0.957671,0.115522,0,-2.34033,1.86,0.361962,-2.2062,0.926015,0.507351,0,
0.133336,-2.34211,3.26446,0.304523,-2.20811,3.06255,0.423924,-1.96029,1.86,0.668465,-1.64754,1.06471,0.937101,0,-1.97892,1.86,0.31884,-1.68068,1.07987,0.439433,0,-2.64696,1.86,0.43123,-2.64474,0.983574,0.61282,0,-2.48048,1.86,0.657837,-2.39879,1.01584,0.941345,0,-2.10846,1.86,0.682256,-1.86282,1.08324,0.954937,0,-2.27782,1.86,0.284583,-2.10685,1.17379,0.396387,0,-2.37143,1.86,0.67582,-2.24044,1.03293,0.957186,0,-2.10747,1.86,0.313307,-1.8661,1.1055,0.434837,0,-2.45114,1.86,0.537962,-2.34127,1.13742,0.744774,0,-2.74311,1.86,0.677375,-2.74606,1.11408,0.940604,0,-2.8593,1.86,0.471606,-2.97439,0.953199,0.677528,0,-2.93626,1.86,0.249513,-3.06104,1.01173,0.347815,0,-2.59212,1.86,0.63696,-2.56042,0.995093,0.912788,0,-2.34616,1.86,0.53479,-2.19283,1.22036,0.73002,0,-2.67342,1.86,0.142288,-2.67657,1.03174,0.191188,0,-3.00928,1.86,0.359192,-3.21617,0.919246,0.512809,0,-2.70443,1.86,0.317117,-2.71913,1.03053,0.445378,0,-2.63326,1.86,0.546196,-2.60705,1.06895,0.769277,0,-2.87684,1.86,0.34179,-2.99353,0.971601,0.481288,0,-2.96556,1.86,0.456717,-3.0614,1.09451,0.644192,0,-2.34097,1.86,0.190371,-2.19044,1.21817,0.272723,0,-2.47386,1.86,0.279182,-2.37847,1.09581,0.388662,0,-2.82477,1.86,0.249539,-2.90484,0.997961,0.344147,0,-2.75443,1.86,0.535055,-2.77413,1.07849,0.749041,0,-2.84516,1.86,0.106875,-2.94318,0.974201,0.132644,0,-2.07119,1.86,0.101081,-1.81169,1.08039,0.134763,0,-2.34033,1.86,0.361962,-2.19501,1.0809,0.502454,0,
0.16667,-2.3705,3.26633,0.304754,-2.22087,3.06331,0.424207,-1.96029,1.86,0.668465,-1.67198,1.18258,0.908359,0,-1.97892,1.86,0.31884,-1.69974,1.1822,0.439762,0,-2.64696,1.86,0.43123,-2.5989,1.14651,0.60191,0,-2.48048,1.86,0.657837,-2.3776,1.14606,0.913636,0,-2.10846,1.86,0.682256,-1.8744,1.18593,0.931032,0,-2.27782,1.86,0.284583,-2.10538,1.2741,0.400269,0,-2.37143,1.86,0.67582,-2.22792,1.17674,0.923731,0,-2.10747,1.86,0.313307,-1.87738,1.21932,0.436003,0,-2.45114,1.86,0.537962,-2.32614,1.24656,0.729623,0,-2.74311,1.86,0.677375,-2.70842,1.22238,0.916371,0,-2.8593,1.86,0.471606,-2.9306,1.0506,0.669333,0,-2.93626,1.86,0.249513,-3.00974,1.11203,0.355532,0,-2.59212,1.86,0.63696,-2.44932,1.62602,0.767144,0,-2.34616,1.86,0.53479,-2.18531,1.34968,0.711007,0,-2.67342,1.86,0.142288,-2.64436,1.1331,0.205454,0,-3.00928,1.86,0.359192,-3.16464,1.01042,0.515659,0,-2.70443,1.86,0.317117,-2.68696,1.12873,0.448411,0,-2.63326,1.86,0.546196,-2.57899,1.16932,0.755118,0,-2.87684,1.86,0.34179,-2.94916,1.06733,0.48361,0,-2.96556,1.86,0.456717,-3.00641,1.20166,0.637496,0,-2.34097,1.86,0.190371,-2.1847,1.3214,0.283579,0,-2.47386,1.86,0.279182,-2.36204,1.20298,0.394468,0,-2.82477,1.86,0.249539,-2.86667,1.0884,0.351824,0,-2.75443,1.86,0.535055,-2.73179,1.19731,0.733448,0,-2.84516,1.86,0.106875,-2.90235,1.06622,0.148969,0,-2.07119,1.86,0.101081,-1.82019,1.15582,0.147759,0,-2.34033,1.86,0.361962,-2.1879,1.18439,0.500186,0,
0.200004,-2.39789,3.26805,0.30486,-2.23644,3.06412,0.42455,-1.96029,1.86,0.668465,-1.69413,1.28197,0.883175,0,-1.97892,1.86,0.31884,-1.71395,1.24766,0.44106,0,-2.64696,1.86,0.43123,-2.5759,1.23934,0.594569,0,-2.48048,1.86,0.657837,-2.36632,1.22782,0.893911,0,-2.10846,1.86,0.682256,-1.88236,1.25029,0.914151,0,-2.27782,1.86,0.284583,-2.10618,1.34394,0.402973,0,-2.37143,1.86,0.67582,-2.22377,1.25433,0.903691,0,-2.10747,1.86,0.313307,-1.88674,1.29045,0.435274,0,-2.45114,1.86,0.537962,-2.31833,1.31621,0.718423,0,-2.74311,1.86,0.677375,-2.68916,1.28231,0.901507,0,-2.8593,1.86,0.471606,-2.90116,1.11936,0.662228,0,-2.93626,1.86,0.249513,-2.98127,1.17195,0.359151,0,-2.59212,1.86,0.63696,-2.44576,1.63877,0.763686,0,-2.34616,1.86,0.53479,-2.18568,1.38826,0.704185,0,-2.67342,1.86,0.142288,-2.61666,1.22915,0.218246,0,-3.00928,1.86,0.359192,-3.13698,1.0617,0.514748,0,-2.70443,1.86,0.317117,-2.66644,1.19626,0.449509,0,-2.63326,1.86,0.546196,-2.56184,1.2397,0.746564,0,-2.87684,1.86,0.34179,-2.92482,1.12343,0.48327,0,-2.96556,1.86,0.456717,-2.97577,1.26444,0.632161,0,-2.34097,1.86,0.190371,-2.18201,1.39896,0.289011,0,-2.47386,1.86,0.279182,-2.35956,1.23377,0.395153,0,-2.82477,1.86,0.249539,-2.84958,1.13578,0.359057,0,-2.75443,1.86,0.535055,-2.71273,1.25661,0.725494,0,-2.84516,1.86,0.106875,-2.86232,1.16077,0.164691,0,-2.07119,1.86,0.101081,-1.82776,1.20278,0.158495,0,-2.34033,1.86,0.361962,-2.18391,1.27587,0.496352,0,
0.233338,-2.40958,3.26868,0.304533,-2.24784,3.06466,0.424799,-1.96029,1.86,0.668465,-1.70198,1.32746,0.868269,0,-1.97892,1.86,0.31884,-1.7187,1.28764,0.439292,0,-2.64696,1.86,0.43123,-2.48795,1.69828,0.550745,0,-2.48048,1.86,0.657837,-2.35439,1.28421,0.877945,0,-2.10846,1.86,0.682256,-1.88172,1.26193,0.907592,0,-2.27782,1.86,0.284583,-2.10299,1.38141,0.401506,0,-2.37143,1.86,0.67582,-2.21561,1.31906,0.884973,0,-2.10747,1.86,0.313307,-1.88731,1.31982,0.434898,0,-2.45114,1.86,0.537962,-2.29896,1.68179,0.655898,0,-2.74311,1.86,0.677375,-2.57422,1.7284,0.782011,0,-2.8593,1.86,0.471606,-2.70425,1.67852,0.592265,0,-2.93626,1.86,0.249513,-2.78101,1.67639,0.374306,0,-2.59212,1.86,0.63696,-2.43533,1.68948,0.750518,0,-2.34616,1.86,0.53479,-2.18135,1.4084,0.697731,0,-2.67342,1.86,0.142288,-2.60138,1.27269,0.222394,0,-3.00928,1.86,0.359192,-2.85267,1.67765,0.485044,0,-2.70443,1.86,0.317117,-2.64622,1.24901,0.450121,0,-2.63326,1.86,0.546196,-2.47356,1.71217,0.661201,0,-2.87684,1.86,0.34179,-2.7282,1.66559,0.465736,0,-2.96556,1.86,0.456717,-2.95411,1.29998,0.627842,0,-2.34097,1.86,0.190371,-2.1778,1.4346,0.289466,0,-2.47386,1.86,0.279182,-2.3507,1.26422,0.394507,0,-2.82477,1.86,0.249539,-2.83986,1.15061,0.356942,0,-2.75443,1.86,0.535055,-2.59056,1.71048,0.648851,0,-2.84516,1.86,0.106875,-2.68911,1.67947,0.235672,0,-2.07119,1.86,0.101081,-1.82798,1.23357,0.1609,0,-2.34033,1.86,0.361962,-2.17803,1.33875,0.492407,0,
0.266672,-2.40958,3.26868,0.304533,-2.25863,3.06514,0.425034,-1.96029,1.86,0.668465,-1.8377,1.77166,0.752809,0,-1.97892,1.86,0.31884,-1.72582,1.33436,0.434465,0,-2.64696,1.86,0.43123,-2.48199,1.71838,0.545652,0,-2.48048,1.86,0.657837,-2.32725,1.70216,0.767145,0,-2.10846,1.86,0.682256,-1.88111,1.28485,0.897494,0,-2.27782,1.86,0.284583,-2.10068,1.44291,0.397646,0,-2.37143,1.86,0.67582,-2.22179,1.7041,0.780407,0,-2.10747,1.86,0.313307,-1.96548,1.71321,0.430636,0,-2.45114,1.86,0.537962,-2.29602,1.70207,0.648559,0,-2.74311,1.86,0.677375,-2.56863,1.74169,0.775551,0,-2.8593,1.86,0.471606,-2.70074,1.6824,0.587741,0,-2.93626,1.86,0.249513,-2.78029,1.67554,0.370787,0,-2.59212,1.86,0.63696,-2.42949,1.71688,0.740123,0,-2.34616,1.86,0.53479,-2.17893,1.42605,0.688607,0,-2.67342,1.86,0.142288,-2.5099,1.71928,0.268844,0,-3.00928,1.86,0.359192,-2.84816,1.68315,0.479702,0,-2.70443,1.86,0.317117,-2.54071,1.71276,0.439153,0,-2.63326,1.86,0.546196,-2.46474,1.74117,0.651394,0,-2.87684,1.86,0.34179,-2.72152,1.67595,0.460297,0,-2.96556,1.86,0.456717,-2.75692,1.78573,0.567233,0,-2.34097,1.86,0.190371,-2.17382,1.47306,0.288545,0,-2.47386,1.86,0.279182,-2.32262,1.68462,0.397962,0,-2.82477,1.86,0.249539,-2.68588,1.63793,0.369609,0,-2.75443,1.86,0.535055,-2.57902,1.73842,0.640693,0,-2.84516,1.86,0.106875,-2.68121,1.69447,0.233623,0,-2.07119,1.86,0.101081,-1.83497,1.30807,0.167904,0,-2.34033,1.86,0.361962,-2.19034,1.70553,0.475545,0,
0.300006,-2.43808,3.27029,0.304671,-2.28672,3.06633,0.425645,-1.96029,1.86,0.668465,-1.82276,1.68433,0.77444,0,-1.97892,1.86,0.31884,-1.82986,1.6364,0.432579,0,-2.64696,1.86,0.43123,-2.4969,1.7053,0.542716,0,-2.48048,1.86,0.657837,-2.34324,1.65843,0.775572,0,-2.10846,1.86,0.682256,-1.95195,1.56094,0.822635,0,-2.27782,1.86,0.284583,-2.13453,1.66894,0.399214,0,-2.37143,1.86,0.67582,-2.23654,1.64348,0.794606,0,-2.10747,1.86,0.313307,-1.9649,1.66038,0.42961,0,-2.45114,1.86,0.537962,-2.30652,1.69121,0.648997,0,-2.74311,1.86,0.677375,-2.58642,1.72848,0.77516,0,-2.8593,1.86,0.471606,-2.70232,1.71928,0.579314,0,-2.93626,1.86,0.249513,-2.78039,1.70203,0.365164,0,-2.59212,1.86,0.63696,-2.44571,1.70449,0.740064,0,-2.34616,1.86,0.53479,-2.20254,1.6156,0.656101,0,-2.67342,1.86,0.142288,-2.5277,1.6884,0.261452,0,-3.00928,1.86,0.359192,-2.84906,1.70829,0.473901,0,-2.70443,1.86,0.317117,-2.55892,1.68169,0.434877,0,-2.63326,1.86,0.546196,-2.48209,1.72345,0.651454,0,-2.87684,1.86,0.34179,-2.72831,1.6936,0.455112,0,-2.96556,1.86,0.456717,-2.79052,1.73244,0.567612,0,-2.34097,1.86,0.190371,-2.19736,1.64863,0.303269,0,-2.47386,1.86,0.279182,-2.33666,1.64829,0.395339,0,-2.82477,1.86,0.249539,-2.7076,1.60088,0.363851,0,-2.75443,1.86,0.535055,-2.59094,1.74027,0.636463,0,-2.84516,1.86,0.106875,-2.68974,1.70764,0.231696,0,-2.07119,1.86,0.101081,-1.92287,1.6321,0.214406,0,-2.34033,1.86,0.361962,-2.20129,1.66126,0.474995,0,
