time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,p33wx,p33wy,p33wz,p33wHatx,p33wHaty,p33wHatz,converged33,
0,3.0515,-3.44388,0.240781,3.61119,-3.87318,0.197838,2.96066,-1.86,0.351455,3.45222,-1.10136,0.39152,0,3.42015,-1.86,0.466941,4.26028,-1.08445,0.596038,0,3.27101,-1.86,0.757923,3.98407,-1.1827,1.07629,0,3.41403,-1.86,0.117649,4.25409,-1.06438,-0.0205202,0,3.40355,-1.86,0.653812,4.22483,-1.11244,0.91776,0,3.68031,-1.86,0.342916,4.69777,-1.13622,0.374328,0,3.80433,-1.86,0.658089,4.84912,-1.26869,0.884048,0,2.96963,-1.86,0.199787,3.46958,-1.13366,0.126933,0,3.10813,-1.86,0.522956,3.71019,-1.10449,0.691092,0,3.76036,-1.86,0.514174,4.82241,-1.16685,0.664978,0,3.38986,-1.86,0.235645,4.18691,-1.17821,0.189099,0,2.84304,-1.86,0.408258,3.23344,-1.003,0.501326,0,3.11032,-1.86,0.122768,3.71356,-1.11623,-0.00757977,0,3.65179,-1.86,0.191758,4.65708,-1.11359,0.112426,0,3.67455,-1.86,0.680077,4.64589,-1.24283,0.927377,0,3.24088,-1.86,0.202463,3.95247,-1.01881,0.128783,0,3.78491,-1.86,0.0736724,4.82558,-1.25057,-0.0788636,0,2.84537,-1.86,0.744359,3.27017,-1.25289,1.03093,0,2.83114,-1.86,0.256179,3.20232,-0.934385,0.226408,0,3.56652,-1.86,0.427391,4.49484,-1.15562,0.518017,0,3.13065,-1.86,0.409923,3.75245,-1.04626,0.499725,0,3.51466,-1.86,0.573888,4.40109,-1.17192,0.765943,0,3.51742,-1.86,0.727187,4.40469,-1.17569,1.02623,0,3.54801,-1.86,0.275655,4.45606,-1.17804,0.257179,0,3.09076,-1.86,0.267379,3.6816,-1.03269,0.245537,0,2.82779,-1.86,0.125736,3.20107,-0.96945,-0.0130756,0,3.53711,-1.86,0.142914,4.43777,-1.17714,0.0312504,0,3.24489,-1.86,0.476413,3.95175,-1.08406,0.612773,0,3.64825,-1.86,0.560227,4.635,-1.15583,0.745889,0,3.87874,-1.86,0.571305,4.94632,-1.31686,0.731291,0,3.44462,-1.86,0.354493,4.29193,-1.13046,0.394747,0,2.88524,-1.86,0.626606,3.3365,-1.25624,0.835311,0,3.64859,-1.86,0.0656374,4.62718,-1.17813,-0.100179,0,3.20074,-1.86,0.313248,3.8837,-0.981042,0.330162,0,
0.033334,3.06141,-3.4436,0.240247,3.62137,-3.87363,0.197461,2.96066,-1.86,0.351455,3.44642,-1.15088,0.385887,0,3.42015,-1.86,0.466941,4.23945,-1.12934,0.587064,0,3.27101,-1.86,0.757923,3.96259,-1.24974,1.05891,0,3.41403,-1.86,0.117649,4.22168,-1.14599,-0.0136128,0,3.40355,-1.86,0.653812,4.19925,-1.17351,0.90397,0,3.68031,-1.86,0.342916,4.66924,-1.18025,0.372829,0,3.80433,-1.86,0.658089,4.80634,-1.32698,0.867566,0,2.96963,-1.86,0.199787,3.46106,-1.22494,0.127896,0,3.10813,-1.86,0.522956,3.69476,-1.18782,0.671865,0,3.76036,-1.86,0.514174,4.78691,-1.21483,0.657044,0,3.38986,-1.86,0.235645,4.15833,-1.25359,0.188855,0,2.84304,-1.86,0.408258,3.23029,-1.06945,0.492688,0,3.11032,-1.86,0.122768,3.69557,-1.22051,-0.000135526,0,3.65179,-1.86,0.191758,4.60109,-1.21518,0.11282,0,3.67455,-1.86,0.680077,4.60997,-1.30213,0.912112,0,3.24088,-1.86,0.202463,3.92493,-1.11796,0.129787,0,3.78491,-1.86,0.0736724,4.78744,-1.30543,-0.0734535,0,2.84537,-1.86,0.744359,3.26655,-1.29225,1.01494,0,2.83114,-1.86,0.256179,3.19714,-1.02416,0.222415,0,3.56652,-1.86,0.427391,4.46237,-1.21576,0.508394,0,3.13065,-1.86,0.409923,3.73433,-1.13582,0.488622,0,3.51466,-1.86,0.573888,4.38401,-1.20445,0.763144,0,3.51742,-1.86,0.727187,4.3757,-1.23073,1.0086,0,3.54801,-1.86,0.275655,4.43075,-1.2298,0.254713,0,3.09076,-1.86,0.267379,3.66233,-1.14771,0.243854,0,2.82779,-1.86,0.125736,3.20333,-1.11544,-0.00554857,0,3.53711,-1.86,0.142914,4.40226,-1.25165,0.0335091,0,3.24489,-1.86,0.476413,3.93179,-1.15127,0.603125,0,3.64825,-1.86,0.560227,4.61897,-1.17849,0.743595,0,3.87874,-1.86,0.571305,4.92056,-1.34524,0.726521,0,3.44462,-1.86,0.354493,4.25904,-1.20828,0.389606,0,2.88524,-1.86,0.626606,3.33078,-1.3061,0.822664,0,3.64859,-1.86,0.0656374,4.5896,-1.24424,-0.0913576,0,3.20074,-1.86,0.313248,3.86177,-1.06666,0.326728,0,
0.0666681,3.08709,-3.44274,0.239835,3.64783,-3.87458,0.196485,2.96066,-1.86,0.351455,3.45463,-1.26101,0.377287,0,3.42015,-1.86,0.466941,4.21468,-1.23947,0.572901,0,3.27101,-1.86,0.757923,3.95004,-1.35775,1.02432,0,3.41403,-1.86,0.117649,4.19111,-1.28263,-0.00207435,0,3.40355,-1.86,0.653812,4.1658,-1.31833,0.866835,0,3.68031,-1.86,0.342916,4.63146,-1.27745,0.36649,0,3.80433,-1.86,0.658089,4.76352,-1.42031,0.842947,0,2.96963,-1.86,0.199787,3.47038,-1.35587,0.133962,0,3.10813,-1.86,0.522956,3.69173,-1.31974,0.648545,0,3.76036,-1.86,0.514174,4.71927,-1.35703,0.631274,0,3.38986,-1.86,0.235645,4.12905,-1.39377,0.188171,0,2.84304,-1.86,0.408258,3.24948,-1.2247,0.477383,0,3.11032,-1.86,0.122768,3.69402,-1.34845,0.010076,0,3.65179,-1.86,0.191758,4.54394,-1.36474,0.121237,0,3.67455,-1.86,0.680077,4.5687,-1.40875,0.881542,0,3.24088,-1.86,0.202463,3.90187,-1.30144,0.133532,0,3.78491,-1.86,0.0736724,4.74103,-1.40703,-0.0636061,0,2.84537,-1.86,0.744359,3.28073,-1.37279,0.98846,0,2.83114,-1.86,0.256179,3.21835,-1.17559,0.220932,0,3.56652,-1.86,0.427391,4.43151,-1.31725,0.497403,0,3.13065,-1.86,0.409923,3.72655,-1.29417,0.471821,0,3.51466,-1.86,0.573888,4.36084,-1.29181,0.747764,0,3.51742,-1.86,0.727187,4.34109,-1.34858,0.971983,0,3.54801,-1.86,0.275655,4.39005,-1.35754,0.252125,0,3.09076,-1.86,0.267379,3.65876,-1.31771,0.240998,0,2.82779,-1.86,0.125736,3.22659,-1.26042,0.00484398,0,3.53711,-1.86,0.142914,4.36513,-1.37588,0.0421974,0,3.24489,-1.86,0.476413,3.91586,-1.28673,0.583891,0,3.64825,-1.86,0.560227,4.58348,-1.2718,0.725645,0,3.87874,-1.86,0.571305,4.87867,-1.42596,0.708699,0,3.44462,-1.86,0.354493,4.22682,-1.34187,0.380901,0,2.88524,-1.86,0.626606,3.34433,-1.41744,0.795537,0,3.64859,-1.86,0.0656374,4.54551,-1.36235,-0.0798849,0,3.20074,-1.86,0.313248,3.85179,-1.19447,0.322167,0,
0.100002,3.09677,-3.44243,0.239318,3.66306,-3.87513,0.195924,2.96066,-1.86,0.351455,3.45339,-1.39993,0.368073,0,3.42015,-1.86,0.466941,4.15345,-1.44363,0.542263,0,3.27101,-1.86,0.757923,3.92881,-1.45932,0.990251,0,3.41403,-1.86,0.117649,4.1498,-1.42461,0.00925708,0,3.40355,-1.86,0.653812,4.11845,-1.48494,0.822131,0,3.68031,-1.86,0.342916,4.57957,-1.38447,0.357135,0,3.80433,-1.86,0.658089,4.69876,-1.53371,0.810555,0,2.96963,-1.86,0.199787,3.46967,-1.4908,0.136843,0,3.10813,-1.86,0.522956,3.67685,-1.47733,0.620353,0,3.76036,-1.86,0.514174,4.6725,-1.44839,0.617404,0,3.38986,-1.86,0.235645,4.0833,-1.56325,0.187628,0,2.84304,-1.86,0.408258,3.25999,-1.3662,0.461838,0,3.11032,-1.86,0.122768,3.67906,-1.5074,0.0215837,0,3.65179,-1.86,0.191758,4.50905,-1.44563,0.122669,0,3.67455,-1.86,0.680077,4.5096,-1.53292,0.845023,0,3.24088,-1.86,0.202463,3.87447,-1.46555,0.13623,0,3.78491,-1.86,0.0736724,4.68239,-1.51354,-0.0519206,0,2.84537,-1.86,0.744359,3.28493,-1.45662,0.962125,0,2.83114,-1.86,0.256179,3.22749,-1.28324,0.220869,0,3.56652,-1.86,0.427391,4.38931,-1.42198,0.485405,0,3.13065,-1.86,0.409923,3.7127,-1.42982,0.457667,0,3.51466,-1.86,0.573888,4.32308,-1.39133,0.726818,0,3.51742,-1.86,0.727187,4.29176,-1.48293,0.930401,0,3.54801,-1.86,0.275655,4.33784,-1.49458,0.249492,0,3.09076,-1.86,0.267379,3.65217,-1.42419,0.244276,0,2.82779,-1.86,0.125736,3.23683,-1.37992,0.0153209,0,3.53711,-1.86,0.142914,4.32298,-1.48894,0.0495539,0,3.24489,-1.86,0.476413,3.89458,-1.40394,0.565731,0,3.64825,-1.86,0.560227,4.53486,-1.37621,0.705493,0,3.87874,-1.86,0.571305,4.82059,-1.51816,0.688004,0,3.44462,-1.86,0.354493,4.20031,-1.43135,0.379067,0,2.88524,-1.86,0.626606,3.3484,-1.51361,0.772309,0,3.64859,-1.86,0.0656374,4.48487,-1.4966,-0.0645831,0,3.20074,-1.86,0.313248,3.83066,-1.3289,0.314658,0,
0.133336,3.10685,-3.44217,0.238793,3.65795,-3.87497,0.196111,2.96066,-1.86,0.351455,3.43458,-1.52183,0.363981,0,3.42015,-1.86,0.466941,4.10399,-1.55644,0.532683,0,3.27101,-1.86,0.757923,3.88271,-1.59247,0.952298,0,3.41403,-1.86,0.117649,4.09952,-1.5334,0.0212079,0,3.40355,-1.86,0.653812,4.07213,-1.58715,0.800794,0,3.68031,-1.86,0.342916,4.52663,-1.45473,0.355531,0,3.80433,-1.86,0.658089,4.63559,-1.6133,0.793794,0,2.96963,-1.86,0.199787,3.45074,-1.63402,0.144324,0,3.10813,-1.86,0.522956,3.64745,-1.60262,0.603301,0,3.76036,-1.86,0.514174,4.60732,-1.53425,0.60687,0,3.38986,-1.86,0.235645,4.04176,-1.65182,0.192963,0,2.84304,-1.86,0.408258,3.25,-1.48575,0.453562,0,3.11032,-1.86,0.122768,3.65195,-1.6057,0.032489,0,3.65179,-1.86,0.191758,4.45839,-1.51218,0.12753,0,3.67455,-1.86,0.680077,4.43721,-1.64808,0.817175,0,3.24088,-1.86,0.202463,3.83427,-1.59346,0.143781,0,3.78491,-1.86,0.0736724,4.61465,-1.60201,-0.0381533,0,2.84537,-1.86,0.744359,3.27024,-1.5438,0.939427,0,2.83114,-1.86,0.256179,3.21787,-1.40879,0.224989,0,3.56652,-1.86,0.427391,4.32928,-1.52437,0.477728,0,3.13065,-1.86,0.409923,3.68108,-1.55173,0.448937,0,3.51466,-1.86,0.573888,4.26589,-1.49432,0.709171,0,3.51742,-1.86,0.727187,4.23339,-1.59334,0.900628,0,3.54801,-1.86,0.275655,4.28313,-1.59053,0.25275,0,3.09076,-1.86,0.267379,3.6232,-1.54177,0.246213,0,2.82779,-1.86,0.125736,3.2299,-1.52448,0.0305023,0,3.53711,-1.86,0.142914,4.26807,-1.58391,0.0589766,0,3.24489,-1.86,0.476413,3.85437,-1.51905,0.552851,0,3.64825,-1.86,0.560227,4.45635,-1.50891,0.686255,0,3.87874,-1.86,0.571305,4.75757,-1.58917,0.6774,0,3.44462,-1.86,0.354493,4.16008,-1.49607,0.377059,0,2.88524,-1.86,0.626606,3.33252,-1.60254,0.754261,0,3.64859,-1.86,0.0656374,4.41272,-1.6161,-0.0469818,0,3.20074,-1.86,0.313248,3.79548,-1.4342,0.313285,0,
0.16667,3.13452,-3.44146,0.23835,3.66759,-3.87541,0.195754,2.96066,-1.86,0.351455,3.42905,-1.5811,0.36179,0,3.42015,-1.86,0.466941,4.08779,-1.5921,0.526427,0,3.27101,-1.86,0.757923,3.86416,-1.66094,0.932506,0,3.41403,-1.86,0.117649,4.07806,-1.58718,0.0273432,0,3.40355,-1.86,0.653812,4.05154,-1.63889,0.789012,0,3.68031,-1.86,0.342916,4.50766,-1.48105,0.356473,0,3.80433,-1.86,0.658089,4.61687,-1.63725,0.789933,0,2.96963,-1.86,0.199787,3.44621,-1.68199,0.14792,0,3.10813,-1.86,0.522956,3.63741,-1.65471,0.595081,0,3.76036,-1.86,0.514174,4.57181,-1.59046,0.6017,0,3.38986,-1.86,0.235645,4.01824,-1.71396,0.193229,0,2.84304,-1.86,0.408258,3.24878,-1.53794,0.452258,0,3.11032,-1.86,0.122768,3.64152,-1.65566,0.038606,0,3.65179,-1.86,0.191758,4.4265,-1.56694,0.134192,0,3.67455,-1.86,0.680077,4.40572,-1.70405,0.803175,0,3.24088,-1.86,0.202463,3.81857,-1.65394,0.147189,0,3.78491,-1.86,0.0736724,4.58572,-1.64342,-0.0317531,0,2.84537,-1.86,0.744359,3.26644,-1.57933,0.93005,0,2.83114,-1.86,0.256179,3.21828,-1.48672,0.226013,0,3.56652,-1.86,0.427391,4.30335,-1.57495,0.473686,0,3.13065,-1.86,0.409923,3.67016,-1.6092,0.446924,0,3.51466,-1.86,0.573888,4.24317,-1.54138,0.701845,0,3.51742,-1.86,0.727187,4.2089,-1.64575,0.886294,0,3.54801,-1.86,0.275655,4.26829,-1.61502,0.252446,0,3.09076,-1.86,0.267379,3.61294,-1.60048,0.246992,0,2.82779,-1.86,0.125736,3.22974,-1.58051,0.0356644,0,3.53711,-1.86,0.142914,4.23917,-1.64432,0.0647273,0,3.24489,-1.86,0.476413,3.83831,-1.5765,0.546161,0,3.64825,-1.86,0.560227,4.4257,-1.56552,0.676492,0,3.87874,-1.86,0.571305,4.73404,-1.61913,0.675994,0,3.44462,-1.86,0.354493,4.12553,-1.5818,0.373409,0,2.88524,-1.86,0.626606,3.32855,-1.64117,0.748296,0,3.64859,-1.86,0.0656374,4.38927,-1.65716,-0.0405199,0,3.20074,-1.86,0.313248,3.78085,-1.48989,0.312736,0,
0.200004,3.13452,-3.44146,0.23835,3.69534,-3.87665,0.194726,2.96066,-1.86,0.351455,3.4444,-1.62887,0.358775,0,3.42015,-1.86,0.466941,4.08954,-1.63623,0.520993,0,3.27101,-1.86,0.757923,3.86666,-1.73156,0.91285,0,3.41403,-1.86,0.117649,4.07859,-1.63838,0.0307023,0,3.40355,-1.86,0.653812,4.0536,-1.68443,0.77382,0,3.68031,-1.86,0.342916,4.49371,-1.53939,0.351889,0,3.80433,-1.86,0.658089,4.62717,-1.64724,0.786972,0,2.96963,-1.86,0.199787,3.46125,-1.71452,0.148336,0,3.10813,-1.86,0.522956,3.65042,-1.68217,0.589756,0,3.76036,-1.86,0.514174,4.56706,-1.62935,0.593493,0,3.38986,-1.86,0.235645,4.01482,-1.78539,0.19373,0,2.84304,-1.86,0.408258,3.26587,-1.56156,0.445625,0,3.11032,-1.86,0.122768,3.65165,-1.70811,0.0415165,0,3.65179,-1.86,0.191758,4.41813,-1.61979,0.134422,0,3.67455,-1.86,0.680077,4.40187,-1.74635,0.79098,0,3.24088,-1.86,0.202463,3.82694,-1.69587,0.14768,0,3.78491,-1.86,0.0736724,4.58178,-1.67928,-0.027805,0,2.84537,-1.86,0.744359,3.28286,-1.61018,0.919806,0,2.83114,-1.86,0.256179,3.2422,-1.58449,0.224422,0,3.56652,-1.86,0.427391,4.30687,-1.6059,0.468782,0,3.13065,-1.86,0.409923,3.6822,-1.64572,0.444789,0,3.51466,-1.86,0.573888,4.2427,-1.58358,0.690488,0,3.51742,-1.86,0.727187,4.20726,-1.69288,0.871567,0,3.54801,-1.86,0.275655,4.26982,-1.64916,0.252997,0,3.09076,-1.86,0.267379,3.62388,-1.65468,0.245423,0,2.82779,-1.86,0.125736,3.25119,-1.65457,0.0421585,0,3.53711,-1.86,0.142914,4.23582,-1.69597,0.0673476,0,3.24489,-1.86,0.476413,3.84291,-1.64246,0.541229,0,3.64825,-1.86,0.560227,4.42958,-1.5963,0.674152,0,3.87874,-1.86,0.571305,4.734,-1.64373,0.670596,0,3.44462,-1.86,0.354493,4.12312,-1.6429,0.368367,0,2.88524,-1.86,0.626606,3.34455,-1.64849,0.744519,0,3.64859,-1.86,0.0656374,4.38278,-1.70537,-0.03503,0,3.20074,-1.86,0.313248,3.78668,-1.55136,0.310257,0,
0.233338,3.16082,-3.44075,0.237993,3.72263,-3.87782,0.193716,2.96066,-1.86,0.351455,3.46005,-1.73678,0.350974,0,3.42015,-1.86,0.466941,4.07982,-1.72153,0.50973,0,3.27101,-1.86,0.757923,3.86798,-1.80642,0.889167,0,3.41403,-1.86,0.117649,4.07423,-1.70628,0.0353779,0,3.40355,-1.86,0.653812,4.04929,-1.75337,0.757441,0,3.68031,-1.86,0.342916,4.47857,-1.6045,0.347432,0,3.80433,-1.86,0.658089,4.61256,-1.69557,0.774071,0,2.96963,-1.86,0.199787,3.4754,-1.7881,0.14964,0,3.10813,-1.86,0.522956,3.65843,-1.75061,0.579842,0,3.76036,-1.86,0.514174,4.5571,-1.67732,0.587322,0,3.38986,-1.86,0.235645,4.01697,-1.83733,0.193903,0,2.84304,-1.86,0.408258,3.28379,-1.62502,0.437722,0,3.11032,-1.86,0.122768,3.65907,-1.79941,0.0483045,0,3.65179,-1.86,0.191758,4.39357,-1.71,0.136661,0,3.67455,-1.86,0.680077,4.40123,-1.78035,0.781585,0,3.24088,-1.86,0.202463,3.83222,-1.75257,0.151414,0,3.78491,-1.86,0.0736724,4.569,-1.72984,-0.0223406,0,2.84537,-1.86,0.744359,3.30091,-1.67873,0.897688,0,2.83114,-1.86,0.256179,3.26556,-1.66485,0.222985,0,3.56652,-1.86,0.427391,4.29358,-1.67636,0.46173,0,3.13065,-1.86,0.409923,3.68843,-1.72323,0.435911,0,3.51466,-1.86,0.573888,4.23036,-1.65859,0.674153,0,3.51742,-1.86,0.727187,4.20396,-1.74351,0.855335,0,3.54801,-1.86,0.275655,4.25702,-1.72155,0.252467,0,3.09076,-1.86,0.267379,3.63129,-1.76639,0.242192,0,2.82779,-1.86,0.125736,3.27489,-1.74325,0.0480255,0,3.53711,-1.86,0.142914,4.22709,-1.7612,0.070855,0,3.24489,-1.86,0.476413,3.84294,-1.73203,0.528718,0,3.64825,-1.86,0.560227,4.41089,-1.66962,0.661083,0,3.87874,-1.86,0.571305,4.70147,-1.71888,0.651012,0,3.44462,-1.86,0.354493,4.11261,-1.72848,0.361526,0,2.88524,-1.86,0.626606,3.35922,-1.69609,0.72953,0,3.64859,-1.86,0.0656374,4.37256,-1.76259,-0.0308089,0,3.20074,-1.86,0.313248,3.78973,-1.6338,0.305132,0,
0.266672,3.18786,-3.44023,0.237636,3.73781,-3.87849,0.193154,2.96066,-1.86,0.351455,3.46418,-1.80843,0.345127,0,3.42015,-1.86,0.466941,4.05218,-1.8335,0.488587,0,3.27101,-1.86,0.757923,3.8592,-1.8639,0.866502,0,3.41403,-1.86,0.117649,4.05586,-1.78042,0.0387639,0,3.40355,-1.86,0.653812,4.0388,-1.79887,0.7449,0,3.68031,-1.86,0.342916,4.44631,-1.67844,0.339057,0,3.80433,-1.86,0.658089,4.58676,-1.7439,0.758216,0,2.96963,-1.86,0.199787,3.47851,-1.86721,0.151,0,3.10813,-1.86,0.522956,3.65539,-1.81002,0.566954,0,3.76036,-1.86,0.514174,4.5271,-1.73713,0.570534,0,3.38986,-1.86,0.235645,4.00807,-1.87722,0.192546,0,2.84304,-1.86,0.408258,3.29057,-1.68958,0.429351,0,3.11032,-1.86,0.122768,3.65615,-1.87424,0.0523113,0,3.65179,-1.86,0.191758,4.36054,-1.79365,0.136094,0,3.67455,-1.86,0.680077,4.38272,-1.82139,0.766749,0,3.24088,-1.86,0.202463,3.8224,-1.82273,0.150822,0,3.78491,-1.86,0.0736724,4.53376,-1.79901,-0.0173328,0,2.84537,-1.86,0.744359,3.30674,-1.735,0.879017,0,2.83114,-1.86,0.256179,3.27023,-1.68603,0.223007,0,3.56652,-1.86,0.427391,4.27106,-1.74043,0.45099,0,3.13065,-1.86,0.409923,3.68264,-1.81531,0.421715,0,3.51466,-1.86,0.573888,4.20716,-1.73098,0.656305,0,3.51742,-1.86,0.727187,4.18291,-1.80697,0.833534,0,3.54801,-1.86,0.275655,4.21844,-1.8365,0.244558,0,3.09076,-1.86,0.267379,3.63026,-1.83353,0.239323,0,2.82779,-1.86,0.125736,3.28511,-1.82053,0.0528087,0,3.53711,-1.86,0.142914,4.18855,-1.87922,0.0754335,0,3.24489,-1.86,0.476413,3.83692,-1.78869,0.524084,0,3.64825,-1.86,0.560227,4.39058,-1.71982,0.643684,0,3.87874,-1.86,0.571305,4.68097,-1.75753,0.638963,0,3.44462,-1.86,0.354493,4.0917,-1.80897,0.35169,0,2.88524,-1.86,0.626606,3.36171,-1.71615,0.726613,0,3.64859,-1.86,0.0656374,4.34029,-1.84247,-0.0257089,0,3.20074,-1.86,0.313248,3.7846,-1.68621,0.302422,0,
0.300007,3.18786,-3.44023,0.237636,3.75048,-3.87922,0.192681,2.96066,-1.86,0.351455,3.46426,-1.83482,0.344029,0,3.42015,-1.86,0.466941,4.03861,-1.88668,0.481092,0,3.27101,-1.86,0.757923,3.85533,-1.8817,0.860629,0,3.41403,-1.86,0.117649,4.04377,-1.82381,0.043645,0,3.40355,-1.86,0.653812,4.0325,-1.81772,0.738471,0,3.68031,-1.86,0.342916,4.43451,-1.7043,0.338341,0,3.80433,-1.86,0.658089,4.57137,-1.77011,0.750752,0,2.96963,-1.86,0.199787,3.47946,-1.92694,0.153538,0,3.10813,-1.86,0.522956,3.65214,-1.84219,0.559358,0,3.76036,-1.86,0.514174,4.49697,-1.79647,0.565487,0,3.38986,-1.86,0.235645,4.00327,-1.89093,0.192747,0,2.84304,-1.86,0.408258,3.292,-1.71338,0.427645,0,3.11032,-1.86,0.122768,3.65421,-1.89744,0.0548626,0,3.65179,-1.86,0.191758,4.35072,-1.81736,0.137902,0,3.67455,-1.86,0.680077,4.3677,-1.852,0.760595,0,3.24088,-1.86,0.202463,3.81647,-1.85748,0.151841,0,3.78491,-1.86,0.0736724,4.52161,-1.82221,-0.0144805,0,2.84537,-1.86,0.744359,3.30813,-1.76602,0.869878,0,2.83114,-1.86,0.256179,3.26948,-1.70254,0.222945,0,3.56652,-1.86,0.427391,4.25759,-1.77448,0.446305,0,3.13065,-1.86,0.409923,3.68059,-1.84123,0.418927,0,3.51466,-1.86,0.573888,4.19972,-1.75277,0.65329,0,3.51742,-1.86,0.727187,4.17263,-1.83534,0.824936,0,3.54801,-1.86,0.275655,4.20876,-1.86688,0.246817,0,3.09076,-1.86,0.267379,3.62808,-1.85978,0.238497,0,2.82779,-1.86,0.125736,3.28768,-1.84759,0.0540986,0,3.53711,-1.86,0.142914,4.17901,-1.91007,0.0787603,0,3.24489,-1.86,0.476413,3.83596,-1.79478,0.524957,0,3.64825,-1.86,0.560227,4.38894,-1.72412,0.645668,0,3.87874,-1.86,0.571305,4.66385,-1.78331,0.633816,0,3.44462,-1.86,0.354493,4.07812,-1.85591,0.351214,0,2.88524,-1.86,0.626606,3.36009,-1.72749,0.723076,0,3.64859,-1.86,0.0656374,4.32938,-1.86822,-0.0206587,0,3.20074,-1.86,0.313248,3.77889,-1.71923,0.30173,0,
