time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,p33wx,p33wy,p33wz,p33wHatx,p33wHaty,p33wHatz,converged33,p34wx,p34wy,p34wz,p34wHatx,p34wHaty,p34wHatz,converged34,
0,2.09501,3.73797,0.266452,2.28588,3.69706,0.40635,2.40393,1.86,0.529915,2.79628,0.594306,0.841638,0,2.44369,1.86,0.73095,2.85478,0.633006,1.16421,0,1.83822,1.86,0.791876,1.88133,0.738437,1.23412,0,1.83999,1.86,0.37519,1.86903,0.627318,0.584093,0,1.48607,1.86,0.713622,1.33911,0.7772,1.10161,0,2.29484,1.86,0.726649,2.6075,0.674656,1.14699,0,2.62155,1.86,0.711968,3.12132,0.717358,1.11323,0,2.35765,1.86,0.0896989,2.71141,0.654389,0.119976,0,1.96657,1.86,0.631152,2.07697,0.642464,0.999547,0,1.65825,1.86,0.415135,1.59647,0.732677,0.641046,0,2.7119,1.86,0.561563,3.26436,0.71835,0.874434,0,2.54683,1.86,0.516189,3.0139,0.671113,0.808746,0,1.52354,1.86,0.542361,1.40451,0.800661,0.831884,0,2.62533,1.86,0.317737,3.10728,0.788338,0.485783,0,2.26284,1.86,0.359288,2.56196,0.607893,0.55906,0,1.653,1.86,0.107998,1.58435,0.716437,0.15486,0,2.43359,1.86,0.317412,2.83119,0.672443,0.488424,0,2.15048,1.86,0.22396,2.37617,0.640296,0.337185,0,1.82081,1.86,0.130048,1.8403,0.645297,0.184688,0,1.47678,1.86,0.242203,1.31482,0.747318,0.368262,0,1.22331,1.86,0.327074,0.955922,0.831807,0.498841,0,2.06059,1.86,0.51025,2.22909,0.598168,0.808647,0,1.95266,1.86,0.215593,2.04919,0.574281,0.321779,0,2.79032,1.86,-0.0175522,3.34924,0.825038,-0.0279842,0,1.37088,1.86,0.542579,1.17096,0.805585,0.831497,0,1.35892,1.86,0.388316,1.16704,0.842594,0.591579,0,2.04062,1.86,0.334939,2.19873,0.687775,0.516094,0,1.45433,1.86,0.10148,1.31395,0.848128,0.156082,0,1.3428,1.86,0.807325,1.16736,0.904537,1.21062,0,1.78814,1.86,-0.0064199,1.77989,0.600538,-0.0435795,0,2.56472,1.86,0.194975,3.04721,0.65319,0.290498,0,1.33152,1.86,0.188523,1.09353,0.764223,0.284647,0,2.75122,1.86,0.737154,3.30473,0.781306,1.13716,0,2.66688,1.86,0.0290726,3.19473,0.712525,0.0290981,0,2.42413,1.86,-0.036202,2.81181,0.696094,-0.0772865,0,
0.0333341,2.09501,3.73797,0.266452,2.27405,3.69754,0.40666,2.40393,1.86,0.529915,2.79796,0.661603,0.828098,0,2.44369,1.86,0.73095,2.85791,0.64768,1.16151,0,1.83822,1.86,0.791876,1.89032,0.761984,1.22828,0,1.83999,1.86,0.37519,1.88341,0.666495,0.58154,0,1.48607,1.86,0.713622,1.34474,0.782995,1.09811,0,2.29484,1.86,0.726649,2.6107,0.69857,1.14201,0,2.62155,1.86,0.711968,3.12121,0.741269,1.10967,0,2.35765,1.86,0.0896989,2.71478,0.708182,0.126932,0,1.96657,1.86,0.631152,2.09477,0.709459,0.983301,0,1.65825,1.86,0.415135,1.60194,0.744121,0.635289,0,2.7119,1.86,0.561563,3.2633,0.742368,0.874635,0,2.54683,1.86,0.516189,3.0152,0.694157,0.807624,0,1.52354,1.86,0.542361,1.42758,0.847369,0.824644,0,2.62533,1.86,0.317737,3.10612,0.813475,0.488836,0,2.26284,1.86,0.359288,2.56683,0.657434,0.558529,0,1.653,1.86,0.107998,1.60616,0.766318,0.15994,0,2.43359,1.86,0.317412,2.83271,0.712666,0.49044,0,2.15048,1.86,0.22396,2.3829,0.691966,0.336552,0,1.82081,1.86,0.130048,1.86249,0.717075,0.192848,0,1.47678,1.86,0.242203,1.32231,0.759617,0.371637,0,1.22331,1.86,0.327074,0.975551,0.856541,0.496733,0,2.06059,1.86,0.51025,2.23887,0.638239,0.805318,0,1.95266,1.86,0.215593,2.067,0.651067,0.326079,0,2.79032,1.86,-0.0175522,3.33335,0.902473,-0.0111341,0,1.37088,1.86,0.542579,1.18608,0.826521,0.828086,0,1.35892,1.86,0.388316,1.18937,0.877652,0.585865,0,2.04062,1.86,0.334939,2.2082,0.72938,0.516577,0,1.45433,1.86,0.10148,1.35149,0.921937,0.161817,0,1.3428,1.86,0.807325,1.17949,0.920113,1.20472,0,1.78814,1.86,-0.0064199,1.8015,0.657136,-0.0366721,0,2.56472,1.86,0.194975,3.0458,0.694242,0.29397,0,1.33152,1.86,0.188523,1.11671,0.798725,0.283729,0,2.75122,1.86,0.737154,3.30497,0.797235,1.1361,0,2.66688,1.86,0.0290726,3.18812,0.765101,0.0361706,0,2.42413,1.86,-0.036202,2.81309,0.750076,-0.0634277,0,
0.0666681,2.06893,3.73933,0.266789,2.24806,3.6986,0.40734,2.40393,1.86,0.529915,2.7863,0.754956,0.817469,0,2.44369,1.86,0.73095,2.84967,0.717145,1.14449,0,1.83822,1.86,0.791876,1.90112,0.824583,1.21455,0,1.83999,1.86,0.37519,1.89569,0.738143,0.5794,0,1.48607,1.86,0.713622,1.37781,0.862816,1.08455,0,2.29484,1.86,0.726649,2.60648,0.76076,1.12894,0,2.62155,1.86,0.711968,3.10593,0.810863,1.0969,0,2.35765,1.86,0.0896989,2.70604,0.786294,0.13621,0,1.96657,1.86,0.631152,2.10784,0.825908,0.964629,0,1.65825,1.86,0.415135,1.61199,0.783184,0.63633,0,2.7119,1.86,0.561563,3.24393,0.817764,0.863919,0,2.54683,1.86,0.516189,3.00188,0.768151,0.797864,0,1.52354,1.86,0.542361,1.42949,0.869592,0.822345,0,2.62533,1.86,0.317737,3.09344,0.860219,0.487615,0,2.26284,1.86,0.359288,2.56206,0.735345,0.558736,0,1.653,1.86,0.107998,1.6184,0.819169,0.166932,0,2.43359,1.86,0.317412,2.82159,0.793479,0.489904,0,2.15048,1.86,0.22396,2.38257,0.76888,0.336981,0,1.82081,1.86,0.130048,1.87983,0.815983,0.205631,0,1.47678,1.86,0.242203,1.34041,0.807838,0.377411,0,1.22331,1.86,0.327074,1.0022,0.906994,0.499009,0,2.06059,1.86,0.51025,2.24484,0.728584,0.795515,0,1.95266,1.86,0.215593,2.07448,0.732656,0.3314,0,2.79032,1.86,-0.0175522,3.31268,0.95652,-0.00426462,0,1.37088,1.86,0.542579,1.20974,0.880364,0.823836,0,1.35892,1.86,0.388316,1.21626,0.938486,0.585711,0,2.04062,1.86,0.334939,2.21353,0.811505,0.514476,0,1.45433,1.86,0.10148,1.37943,0.998766,0.172608,0,1.3428,1.86,0.807325,1.20263,0.970647,1.19356,0,1.78814,1.86,-0.0064199,1.81552,0.730187,-0.0220537,0,2.56472,1.86,0.194975,3.03129,0.762749,0.296473,0,1.33152,1.86,0.188523,1.14231,0.854681,0.284891,0,2.75122,1.86,0.737154,3.28782,0.858766,1.12108,0,2.66688,1.86,0.0290726,3.16578,0.852691,0.0494435,0,2.42413,1.86,-0.036202,2.80155,0.826458,-0.0480198,0,
0.100002,2.05778,3.73992,0.266535,2.2331,3.69915,0.40773,2.40393,1.86,0.529915,2.78025,0.808229,0.816464,0,2.44369,1.86,0.73095,2.845,0.764604,1.13564,0,1.83822,1.86,0.791876,1.91387,0.881733,1.20226,0,1.83999,1.86,0.37519,1.9088,0.797723,0.577851,0,1.48607,1.86,0.713622,1.40048,0.920646,1.07576,0,2.29484,1.86,0.726649,2.60557,0.80809,1.12017,0,2.62155,1.86,0.711968,3.09488,0.871722,1.08591,0,2.35765,1.86,0.0896989,2.70268,0.838168,0.141959,0,1.96657,1.86,0.631152,2.1127,0.874263,0.95717,0,1.65825,1.86,0.415135,1.6261,0.824463,0.636052,0,2.7119,1.86,0.561563,3.23134,0.870366,0.859329,0,2.54683,1.86,0.516189,2.99423,0.816503,0.794294,0,1.52354,1.86,0.542361,1.45182,0.920755,0.820207,0,2.62533,1.86,0.317737,3.08149,0.932027,0.487181,0,2.26284,1.86,0.359288,2.56131,0.792935,0.558296,0,1.653,1.86,0.107998,1.64329,0.892174,0.175944,0,2.43359,1.86,0.317412,2.81654,0.837867,0.489227,0,2.15048,1.86,0.22396,2.38546,0.844464,0.34836,0,1.82081,1.86,0.130048,1.89316,0.882048,0.21526,0,1.47678,1.86,0.242203,1.36237,0.858231,0.381929,0,1.22331,1.86,0.327074,1.01268,0.927991,0.499764,0,2.06059,1.86,0.51025,2.2441,0.75145,0.795314,0,1.95266,1.86,0.215593,2.075,0.752344,0.330163,0,2.79032,1.86,-0.0175522,3.30179,0.996126,0.00447452,0,1.37088,1.86,0.542579,1.23067,0.923675,0.820291,0,1.35892,1.86,0.388316,1.23716,0.982856,0.587351,0,2.04062,1.86,0.334939,2.21815,0.877613,0.522071,0,1.45433,1.86,0.10148,1.4003,1.04904,0.179799,0,1.3428,1.86,0.807325,1.22107,1.00869,1.18631,0,1.78814,1.86,-0.0064199,1.84108,0.83233,-0.00108612,0,2.56472,1.86,0.194975,3.02285,0.816044,0.300388,0,1.33152,1.86,0.188523,1.1667,0.902318,0.292703,0,2.75122,1.86,0.737154,3.27785,0.898571,1.1138,0,2.66688,1.86,0.0290726,3.15363,0.904699,0.0588728,0,2.42413,1.86,-0.036202,2.79617,0.879004,-0.0367386,0,
0.133336,2.05778,3.73992,0.266535,2.23743,3.69897,0.407616,2.40393,1.86,0.529915,2.78548,0.864067,0.807436,0,2.44369,1.86,0.73095,2.8492,0.823639,1.11967,0,1.83822,1.86,0.791876,1.93503,0.932794,1.18559,0,1.83999,1.86,0.37519,1.93226,0.862457,0.572645,0,1.48607,1.86,0.713622,1.43657,0.983458,1.0556,0,2.29484,1.86,0.726649,2.61454,0.862277,1.10478,0,2.62155,1.86,0.711968,3.09437,0.921596,1.07129,0,2.35765,1.86,0.0896989,2.708,0.91911,0.149166,0,1.96657,1.86,0.631152,2.13277,0.939473,0.942382,0,1.65825,1.86,0.415135,1.65631,0.886718,0.628773,0,2.7119,1.86,0.561563,3.22777,0.924667,0.849346,0,2.54683,1.86,0.516189,2.99499,0.87497,0.785396,0,1.52354,1.86,0.542361,1.4885,0.988101,0.806539,0,2.62533,1.86,0.317737,3.0811,0.972998,0.489212,0,2.26284,1.86,0.359288,2.57042,0.890524,0.550067,0,1.653,1.86,0.107998,1.67116,0.952772,0.180265,0,2.43359,1.86,0.317412,2.81941,0.914796,0.486003,0,2.15048,1.86,0.22396,2.40074,0.964099,0.351415,0,1.82081,1.86,0.130048,1.92444,0.977899,0.21562,0,1.47678,1.86,0.242203,1.4045,0.934902,0.378162,0,1.22331,1.86,0.327074,1.06081,0.993542,0.492874,0,2.06059,1.86,0.51025,2.26068,0.803604,0.785782,0,1.95266,1.86,0.215593,2.09673,0.818105,0.32832,0,2.79032,1.86,-0.0175522,3.28794,1.08323,0.0193349,0,1.37088,1.86,0.542579,1.26741,0.979812,0.808036,0,1.35892,1.86,0.388316,1.26733,1.02607,0.582791,0,2.04062,1.86,0.334939,2.23675,0.953969,0.517463,0,1.45433,1.86,0.10148,1.43985,1.11841,0.18238,0,1.3428,1.86,0.807325,1.25011,1.04727,1.16992,0,1.78814,1.86,-0.0064199,1.87073,0.921104,0.00852364,0,2.56472,1.86,0.194975,3.02014,0.891544,0.30273,0,1.33152,1.86,0.188523,1.20828,0.966928,0.297327,0,2.75122,1.86,0.737154,3.27778,0.935445,1.10471,0,2.66688,1.86,0.0290726,3.1499,0.963897,0.0691909,0,2.42413,1.86,-0.036202,2.79958,0.949734,-0.0246742,0,
0.16667,2.03127,3.74115,0.266892,2.2107,3.69993,0.408311,2.40393,1.86,0.529915,2.77286,0.952875,0.792377,0,2.44369,1.86,0.73095,2.74672,1.29303,1.00215,0,1.83822,1.86,0.791876,1.94047,0.982394,1.17247,0,1.83999,1.86,0.37519,1.9404,0.926479,0.568846,0,1.48607,1.86,0.713622,1.57633,1.46946,0.939673,0,2.29484,1.86,0.726649,2.60784,0.921587,1.09039,0,2.62155,1.86,0.711968,3.0803,0.965755,1.0588,0,2.35765,1.86,0.0896989,2.69789,0.974438,0.154272,0,1.96657,1.86,0.631152,2.13538,0.999648,0.931262,0,1.65825,1.86,0.415135,1.66999,0.946387,0.623939,0,2.7119,1.86,0.561563,3.2095,0.979975,0.839,0,2.54683,1.86,0.516189,2.98053,0.934229,0.777697,0,1.52354,1.86,0.542361,1.50267,1.03906,0.797859,0,2.62533,1.86,0.317737,3.05952,1.05996,0.481398,0,2.26284,1.86,0.359288,2.5624,0.965703,0.546364,0,1.653,1.86,0.107998,1.69247,1.03698,0.185279,0,2.43359,1.86,0.317412,2.80638,0.982244,0.485587,0,2.15048,1.86,0.22396,2.39459,1.01805,0.348345,0,1.82081,1.86,0.130048,1.92952,1.03766,0.215503,0,1.47678,1.86,0.242203,1.41674,0.979525,0.376249,0,1.22331,1.86,0.327074,1.09998,1.07021,0.491862,0,2.06059,1.86,0.51025,2.2607,0.85685,0.77891,0,1.95266,1.86,0.215593,2.10137,0.88385,0.330093,0,2.79032,1.86,-0.0175522,3.26399,1.1452,0.0282979,0,1.37088,1.86,0.542579,1.2865,1.02935,0.800408,0,1.35892,1.86,0.388316,1.28699,1.07509,0.580915,0,2.04062,1.86,0.334939,2.23634,1.01588,0.510808,0,1.45433,1.86,0.10148,1.44826,1.15412,0.184899,0,1.3428,1.86,0.807325,1.26339,1.08228,1.15838,0,1.78814,1.86,-0.0064199,1.88847,1.02273,0.0234618,0,2.56472,1.86,0.194975,3.00341,0.956591,0.305136,0,1.33152,1.86,0.188523,1.22708,1.01457,0.296475,0,2.75122,1.86,0.737154,3.26148,0.982772,1.09145,0,2.66688,1.86,0.0290726,3.13229,1.02071,0.0760443,0,2.42413,1.86,-0.036202,2.78737,1.0144,-0.014666,0,
0.200004,2.00446,3.74239,0.267224,2.19556,3.7004,0.408702,2.40393,1.86,0.529915,2.76202,1.05068,0.774753,0,2.44369,1.86,0.73095,2.73705,1.3564,0.983077,0,1.83822,1.86,0.791876,1.95522,1.05002,1.15033,0,1.83999,1.86,0.37519,1.95462,0.9973,0.562594,0,1.48607,1.86,0.713622,1.56978,1.44799,0.939871,0,2.29484,1.86,0.726649,2.60571,0.980441,1.07285,0,2.62155,1.86,0.711968,3.0699,1.02093,1.04342,0,2.35765,1.86,0.0896989,2.69393,1.0316,0.158503,0,1.96657,1.86,0.631152,2.14824,1.09593,0.910518,0,1.65825,1.86,0.415135,1.69275,1.02014,0.616953,0,2.7119,1.86,0.561563,3.1956,1.03685,0.8279,0,2.54683,1.86,0.516189,2.816,1.54975,0.693253,0,1.52354,1.86,0.542361,1.51585,1.07584,0.78836,0,2.62533,1.86,0.317737,3.04299,1.13213,0.475588,0,2.26284,1.86,0.359288,2.5597,1.03698,0.538611,0,1.653,1.86,0.107998,1.71445,1.11396,0.18887,0,2.43359,1.86,0.317412,2.79539,1.07897,0.480027,0,2.15048,1.86,0.22396,2.39651,1.07903,0.346733,0,1.82081,1.86,0.130048,1.93954,1.09249,0.214037,0,1.47678,1.86,0.242203,1.45087,1.0607,0.375628,0,1.22331,1.86,0.327074,1.13481,1.13499,0.489231,0,2.06059,1.86,0.51025,2.26666,0.921874,0.767229,0,1.95266,1.86,0.215593,2.11162,0.956918,0.329958,0,2.79032,1.86,-0.0175522,3.24817,1.19876,0.0329703,0,1.37088,1.86,0.542579,1.31331,1.08611,0.788064,0,1.35892,1.86,0.388316,1.3137,1.13071,0.575184,0,2.04062,1.86,0.334939,2.245,1.11548,0.502772,0,1.45433,1.86,0.10148,1.46851,1.20145,0.187331,0,1.3428,1.86,0.807325,1.28748,1.12914,1.14283,0,1.78814,1.86,-0.0064199,1.94921,1.52849,0.0933781,0,2.56472,1.86,0.194975,2.99145,1.02242,0.30363,0,1.33152,1.86,0.188523,1.25505,1.07088,0.296715,0,2.75122,1.86,0.737154,3.24828,1.03496,1.07622,0,2.66688,1.86,0.0290726,3.12128,1.06649,0.0761465,0,2.42413,1.86,-0.036202,2.77612,1.11309,-0.00608084,0,
0.233338,1.99337,3.74296,0.266973,2.18403,3.70086,0.409004,2.40393,1.86,0.529915,2.7572,1.09854,0.770618,0,2.44369,1.86,0.73095,2.73558,1.37877,0.979748,0,1.83822,1.86,0.791876,1.96482,1.09329,1.14085,0,1.83999,1.86,0.37519,1.9673,1.05554,0.560037,0,1.48607,1.86,0.713622,1.57988,1.47097,0.935291,0,2.29484,1.86,0.726649,2.60553,1.02466,1.06358,0,2.62155,1.86,0.711968,3.06143,1.07185,1.03331,0,2.35765,1.86,0.0896989,2.69168,1.08258,0.164084,0,1.96657,1.86,0.631152,2.15512,1.15003,0.899381,0,1.65825,1.86,0.415135,1.70898,1.07165,0.614709,0,2.7119,1.86,0.561563,3.18741,1.07475,0.823365,0,2.54683,1.86,0.516189,2.83629,1.5007,0.701422,0,1.52354,1.86,0.542361,1.54226,1.13796,0.781897,0,2.62533,1.86,0.317737,3.03662,1.1646,0.476353,0,2.26284,1.86,0.359288,2.55935,1.094,0.538331,0,1.653,1.86,0.107998,1.73382,1.17571,0.195771,0,2.43359,1.86,0.317412,2.79071,1.11525,0.479234,0,2.15048,1.86,0.22396,2.39974,1.1328,0.350577,0,1.82081,1.86,0.130048,1.95382,1.15026,0.220243,0,1.47678,1.86,0.242203,1.46432,1.09506,0.375596,0,1.22331,1.86,0.327074,1.15841,1.17706,0.487803,0,2.06059,1.86,0.51025,2.27433,0.993888,0.759159,0,1.95266,1.86,0.215593,2.12214,1.02402,0.333603,0,2.79032,1.86,-0.0175522,3.24192,1.22231,0.0378028,0,1.37088,1.86,0.542579,1.33374,1.1276,0.783849,0,1.35892,1.86,0.388316,1.34817,1.20185,0.565919,0,2.04062,1.86,0.334939,2.25028,1.17372,0.502328,0,1.45433,1.86,0.10148,1.49061,1.25056,0.19232,0,1.3428,1.86,0.807325,1.30431,1.16137,1.13462,0,1.78814,1.86,-0.0064199,1.95327,1.52722,0.0940971,0,2.56472,1.86,0.194975,2.98473,1.06594,0.307051,0,1.33152,1.86,0.188523,1.2826,1.12436,0.300638,0,2.75122,1.86,0.737154,3.24039,1.07013,1.0687,0,2.66688,1.86,0.0290726,3.11441,1.10499,0.0842549,0,2.42413,1.86,-0.036202,2.77275,1.13328,-0.00235832,0,
0.266672,1.99337,3.74296,0.266973,2.17345,3.7012,0.409277,2.40393,1.86,0.529915,2.7568,1.12824,0.766509,0,2.44369,1.86,0.73095,2.73974,1.38229,0.978606,0,1.83822,1.86,0.791876,1.97294,1.11928,1.13246,0,1.83999,1.86,0.37519,1.97595,1.0882,0.558951,0,1.48607,1.86,0.713622,1.58462,1.46959,0.935531,0,2.29484,1.86,0.726649,2.60719,1.05138,1.05583,0,2.62155,1.86,0.711968,3.05769,1.10221,1.0261,0,2.35765,1.86,0.0896989,2.69184,1.11187,0.167637,0,1.96657,1.86,0.631152,2.16055,1.17572,0.894793,0,1.65825,1.86,0.415135,1.72021,1.10104,0.611328,0,2.7119,1.86,0.561563,3.17567,1.13666,0.812282,0,2.54683,1.86,0.516189,2.82298,1.55547,0.695031,0,1.52354,1.86,0.542361,1.54819,1.15165,0.779748,0,2.62533,1.86,0.317737,3.03323,1.197,0.476288,0,2.26284,1.86,0.359288,2.56063,1.1395,0.535457,0,1.653,1.86,0.107998,1.74838,1.2172,0.199417,0,2.43359,1.86,0.317412,2.7895,1.15406,0.47631,0,2.15048,1.86,0.22396,2.40324,1.16756,0.351826,0,1.82081,1.86,0.130048,1.9655,1.19488,0.224669,0,1.47678,1.86,0.242203,1.47356,1.11165,0.375645,0,1.22331,1.86,0.327074,1.17959,1.21044,0.487497,0,2.06059,1.86,0.51025,2.27977,1.03674,0.753446,0,1.95266,1.86,0.215593,2.12893,1.05951,0.335406,0,2.79032,1.86,-0.0175522,3.2391,1.24382,0.0409613,0,1.37088,1.86,0.542579,1.34764,1.15197,0.779275,0,1.35892,1.86,0.388316,1.36172,1.22829,0.565758,0,2.04062,1.86,0.334939,2.25623,1.21488,0.499705,0,1.45433,1.86,0.10148,1.50648,1.28317,0.195644,0,1.3428,1.86,0.807325,1.31719,1.18171,1.12785,0,1.78814,1.86,-0.0064199,1.959,1.52904,0.093557,0,2.56472,1.86,0.194975,2.98265,1.09159,0.306972,0,1.33152,1.86,0.188523,1.30401,1.16358,0.301191,0,2.75122,1.86,0.737154,3.23749,1.09131,1.06209,0,2.66688,1.86,0.0290726,3.11082,1.1316,0.0833791,0,2.42413,1.86,-0.036202,2.77154,1.18593,0.00481689,0,
0.300007,1.96658,3.74397,0.267337,2.14646,3.70194,0.409971,2.40393,1.86,0.529915,2.74188,1.19729,0.759312,0,2.44369,1.86,0.73095,2.73439,1.38553,0.979543,0,1.83822,1.86,0.791876,1.97964,1.19072,1.11232,0,1.83999,1.86,0.37519,1.98196,1.16062,0.555676,0,1.48607,1.86,0.713622,1.58308,1.46815,0.937229,0,2.29484,1.86,0.726649,2.59687,1.1242,1.04006,0,2.62155,1.86,0.711968,3.03456,1.17893,1.00919,0,2.35765,1.86,0.0896989,2.67999,1.15327,0.166098,0,1.96657,1.86,0.631152,2.16156,1.24954,0.883226,0,1.65825,1.86,0.415135,1.73342,1.17269,0.610211,0,2.7119,1.86,0.561563,3.14607,1.21765,0.800903,0,2.54683,1.86,0.516189,2.82372,1.55204,0.698711,0,1.52354,1.86,0.542361,1.56363,1.21169,0.775287,0,2.62533,1.86,0.317737,3.00872,1.27498,0.473835,0,2.26284,1.86,0.359288,2.54957,1.20769,0.534828,0,1.653,1.86,0.107998,1.75701,1.27694,0.208153,0,2.43359,1.86,0.317412,2.77144,1.23508,0.474474,0,2.15048,1.86,0.22396,2.3968,1.25495,0.35513,0,1.82081,1.86,0.130048,1.97135,1.26913,0.231824,0,1.47678,1.86,0.242203,1.50574,1.21,0.37934,0,1.22331,1.86,0.327074,1.20141,1.26424,0.486051,0,2.06059,1.86,0.51025,2.27892,1.14074,0.741382,0,1.95266,1.86,0.215593,2.13086,1.13466,0.338416,0,2.79032,1.86,-0.0175522,3.21812,1.29216,0.0479932,0,1.37088,1.86,0.542579,1.36751,1.21052,0.773197,0,1.35892,1.86,0.388316,1.37741,1.27999,0.568561,0,2.04062,1.86,0.334939,2.25327,1.2877,0.497997,0,1.45433,1.86,0.10148,1.51258,1.31874,0.200573,0,1.3428,1.86,0.807325,1.33958,1.24281,1.11341,0,1.78814,1.86,-0.0064199,1.9565,1.52782,0.0961847,0,2.56472,1.86,0.194975,2.96634,1.14217,0.309889,0,1.33152,1.86,0.188523,1.34031,1.25796,0.311328,0,2.75122,1.86,0.737154,3.21395,1.15617,1.04725,0,2.66688,1.86,0.0290726,3.09208,1.18157,0.0874959,0,2.42413,1.86,-0.036202,2.75548,1.24762,0.0174276,0,
