time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,
0,-1.67845,3.35425,0.297051,-1.47507,3.30147,0.532126,-1.74334,1.86,0.669495,-1.59743,0.483892,1.23441,0,-1.48165,1.86,0.586443,-1.09252,0.396841,1.09466,0,-1.90789,1.86,0.592336,-1.92488,0.371993,1.11103,0,-1.91594,1.86,0.443716,-1.93289,0.420965,0.814853,0,-1.71828,1.86,0.195684,-1.55432,0.328166,0.330423,0,-1.81019,1.86,0.519347,-1.73525,0.350469,0.971138,0,-1.45613,1.86,0.273144,-1.03641,0.353196,0.484956,0,-1.84536,1.86,0.708266,-1.79061,0.476605,1.30952,0,-2.00306,1.86,0.689184,-2.08399,0.49849,1.2677,0,-1.92156,1.86,0.305677,-1.92097,0.560717,0.547948,0,-1.53615,1.86,0.173078,-1.2066,0.482422,0.29824,0,-1.8136,1.86,0.338919,-1.73757,0.399212,0.613444,0,-1.62451,1.86,0.656789,-1.37292,0.471726,1.21338,0,-2.04026,1.86,0.341073,-2.1812,0.385207,0.61804,0,-1.86588,1.86,0.201086,-1.84726,0.334243,0.341563,0,-1.57713,1.86,0.498544,-1.28056,0.432833,0.918946,0,-2.09643,1.86,0.515483,-2.27765,0.432297,0.951545,0,-2.16331,1.86,0.336812,-2.40924,0.42248,0.608733,0,-1.657,1.86,0.337045,-1.43386,0.43125,0.608947,0,-2.17635,1.86,0.635117,-2.42465,0.451653,1.17688,0,-2.34034,1.86,0.303928,-2.70731,0.519598,0.544927,0,-2.24345,1.86,0.255792,-2.5631,0.423929,0.452671,0,-2.27651,1.86,0.714882,-2.59826,0.495173,1.31683,0,-2.01225,1.86,0.184343,-2.1241,0.396092,0.31298,0,
0.0333341,-1.67845,3.35425,0.297051,-1.46988,3.30128,0.531935,-1.74334,1.86,0.669495,-1.55492,0.612188,1.2008,0,-1.48165,1.86,0.586443,-1.07025,0.49928,1.07351,0,-1.90789,1.86,0.592336,-1.87488,0.460883,1.09178,0,-1.91594,1.86,0.443716,-1.86065,0.608747,0.795371,0,-1.71828,1.86,0.195684,-1.51499,0.453575,0.337887,0,-1.81019,1.86,0.519347,-1.68966,0.456609,0.955854,0,-1.45613,1.86,0.273144,-1.01706,0.465145,0.485447,0,-1.84536,1.86,0.708266,-1.74015,0.595128,1.27512,0,-2.00306,1.86,0.689184,-2.01251,0.640642,1.22951,0,-1.92156,1.86,0.305677,-1.87187,0.662388,0.545136,0,-1.53615,1.86,0.173078,-1.18313,0.604723,0.307133,0,-1.8136,1.86,0.338919,-1.69135,0.514252,0.608867,0,-1.62451,1.86,0.656789,-1.3404,0.595521,1.18206,0,-2.04026,1.86,0.341073,-2.11878,0.48811,0.614578,0,-1.86588,1.86,0.201086,-1.79663,0.441666,0.347446,0,-1.57713,1.86,0.498544,-1.25258,0.570763,0.900966,0,-2.09643,1.86,0.515483,-2.22439,0.501553,0.944348,0,-2.16331,1.86,0.336812,-2.3356,0.527515,0.60592,0,-1.657,1.86,0.337045,-1.40125,0.536411,0.604838,0,-2.17635,1.86,0.635117,-2.35984,0.53406,1.16064,0,-2.34034,1.86,0.303928,-2.64694,0.576322,0.545343,0,-2.24345,1.86,0.255792,-2.49538,0.504947,0.453629,0,-2.27651,1.86,0.714882,-2.53532,0.56006,1.29843,0,-2.01225,1.86,0.184343,-2.06698,0.493703,0.314811,0,
0.0666681,-1.67845,3.35425,0.297051,-1.48533,3.30171,0.532502,-1.74334,1.86,0.669495,-1.54629,0.693488,1.18125,0,-1.48165,1.86,0.586443,-1.07496,0.589253,1.05482,0,-1.90789,1.86,0.592336,-1.85015,0.562965,1.07026,0,-1.91594,1.86,0.443716,-1.83847,0.714769,0.784734,0,-1.71828,1.86,0.195684,-1.50128,0.591069,0.347242,0,-1.81019,1.86,0.519347,-1.67252,0.558934,0.940236,0,-1.45613,1.86,0.273144,-1.02641,0.597214,0.486215,0,-1.84536,1.86,0.708266,-1.72307,0.687871,1.24838,0,-2.00306,1.86,0.689184,-1.98753,0.729605,1.20589,0,-1.92156,1.86,0.305677,-1.83673,0.809093,0.54636,0,-1.53615,1.86,0.173078,-1.18631,0.73678,0.319467,0,-1.8136,1.86,0.338919,-1.67223,0.630085,0.606264,0,-1.62451,1.86,0.656789,-1.33673,0.702193,1.15893,0,-2.04026,1.86,0.341073,-2.08133,0.603005,0.608846,0,-1.86588,1.86,0.201086,-1.76916,0.57576,0.356704,0,-1.57713,1.86,0.498544,-1.25292,0.673043,0.885893,0,-2.09643,1.86,0.515483,-2.19054,0.58931,0.93004,0,-2.16331,1.86,0.336812,-2.29392,0.628752,0.603815,0,-1.657,1.86,0.337045,-1.39338,0.663857,0.600794,0,-2.17635,1.86,0.635117,-2.3107,0.64712,1.13528,0,-2.34034,1.86,0.303928,-2.60851,0.64409,0.542745,0,-2.24345,1.86,0.255792,-2.45933,0.579891,0.456641,0,-2.27651,1.86,0.714882,-2.51579,0.600342,1.28967,0,-2.01225,1.86,0.184343,-2.03196,0.606474,0.323149,0,
0.100002,-1.72553,3.35503,0.297986,-1.51616,3.3024,0.53363,-1.74334,1.86,0.669495,-1.55048,0.800312,1.15227,0,-1.48165,1.86,0.586443,-1.09865,0.709848,1.02996,0,-1.90789,1.86,0.592336,-1.84609,0.656111,1.05197,0,-1.91594,1.86,0.443716,-1.82726,0.840981,0.770886,0,-1.71828,1.86,0.195684,-1.50604,0.734979,0.355422,0,-1.81019,1.86,0.519347,-1.66451,0.719044,0.91336,0,-1.45613,1.86,0.273144,-1.05597,0.743803,0.489811,0,-1.84536,1.86,0.708266,-1.7214,0.78839,1.21936,0,-2.00306,1.86,0.689184,-1.98125,0.809863,1.18093,0,-1.92156,1.86,0.305677,-1.82711,0.932382,0.54617,0,-1.53615,1.86,0.173078,-1.21041,0.91592,0.331415,0,-1.8136,1.86,0.338919,-1.67001,0.755619,0.600287,0,-1.62451,1.86,0.656789,-1.34862,0.899734,1.10975,0,-2.04026,1.86,0.341073,-2.05263,0.750523,0.602971,0,-1.86588,1.86,0.201086,-1.75614,0.737971,0.365447,0,-1.57713,1.86,0.498544,-1.27045,0.783377,0.86676,0,-2.09643,1.86,0.515483,-2.15142,0.747236,0.900195,0,-2.16331,1.86,0.336812,-2.25739,0.76226,0.598555,0,-1.657,1.86,0.337045,-1.4027,0.838221,0.595709,0,-2.17635,1.86,0.635117,-2.26312,0.805453,1.09978,0,-2.34034,1.86,0.303928,-2.55306,0.778582,0.537817,0,-2.24345,1.86,0.255792,-2.42017,0.698913,0.458188,0,-2.27651,1.86,0.714882,-2.48439,0.691365,1.26243,0,-2.01225,1.86,0.184343,-2.00571,0.755007,0.332973,0,
0.133336,-1.75329,3.35571,0.298362,-1.53144,3.30281,0.53419,-1.74334,1.86,0.669495,-1.53595,0.950879,1.11451,0,-1.48165,1.86,0.586443,-1.11826,0.943202,0.985337,0,-1.90789,1.86,0.592336,-1.8096,0.827065,1.01918,0,-1.91594,1.86,0.443716,-1.80402,0.955312,0.760744,0,-1.71828,1.86,0.195684,-1.49399,0.908979,0.366903,0,-1.81019,1.86,0.519347,-1.63456,0.955846,0.877226,0,-1.45613,1.86,0.273144,-1.07031,0.880944,0.490916,0,-1.84536,1.86,0.708266,-1.69533,0.943907,1.17721,0,-2.00306,1.86,0.689184,-1.93568,0.973013,1.14038,0,-1.92156,1.86,0.305677,-1.80889,1.02293,0.543563,0,-1.53615,1.86,0.173078,-1.21895,1.04458,0.339601,0,-1.8136,1.86,0.338919,-1.64875,0.909858,0.596669,0,-1.62451,1.86,0.656789,-1.35026,0.990613,1.089,0,-2.04026,1.86,0.341073,-2.01089,0.89518,0.600361,0,-1.86588,1.86,0.201086,-1.72364,0.936479,0.377185,0,-1.57713,1.86,0.498544,-1.27447,0.985935,0.843395,0,-2.09643,1.86,0.515483,-2.09451,0.920741,0.878893,0,-2.16331,1.86,0.336812,-2.19858,0.918806,0.592115,0,-1.657,1.86,0.337045,-1.39938,1.00137,0.592551,0,-2.17635,1.86,0.635117,-2.22411,0.909215,1.07708,0,-2.34034,1.86,0.303928,-2.4753,0.932243,0.538755,0,-2.24345,1.86,0.255792,-2.36318,0.827689,0.461529,0,-2.27651,1.86,0.714882,-2.42463,0.815585,1.22896,0,-2.01225,1.86,0.184343,-1.97542,0.868037,0.342772,0,
0.16667,-1.75329,3.35571,0.298362,-1.54364,3.30326,0.53464,-1.74334,1.86,0.669495,-1.52935,1.02078,1.09374,0,-1.48165,1.86,0.586443,-1.12809,1.04291,0.963668,0,-1.90789,1.86,0.592336,-1.79144,0.914837,1.002,0,-1.91594,1.86,0.443716,-1.78887,1.02254,0.751521,0,-1.71828,1.86,0.195684,-1.48851,0.987193,0.370088,0,-1.81019,1.86,0.519347,-1.6232,1.05315,0.860309,0,-1.45613,1.86,0.273144,-1.07548,0.939071,0.49089,0,-1.84536,1.86,0.708266,-1.68402,1.01333,1.15476,0,-2.00306,1.86,0.689184,-1.90903,1.07202,1.11044,0,-1.92156,1.86,0.305677,-1.7897,1.10498,0.539906,0,-1.53615,1.86,0.173078,-1.22148,1.11449,0.344597,0,-1.8136,1.86,0.338919,-1.63747,0.991817,0.590098,0,-1.62451,1.86,0.656789,-1.34892,1.02419,1.07766,0,-2.04026,1.86,0.341073,-1.98633,0.977543,0.59444,0,-1.86588,1.86,0.201086,-1.71041,1.01894,0.380386,0,-1.57713,1.86,0.498544,-1.27714,1.07372,0.828993,0,-2.09643,1.86,0.515483,-2.07359,0.984935,0.866904,0,-2.16331,1.86,0.336812,-2.18286,0.962311,0.590212,0,-1.657,1.86,0.337045,-1.39774,1.06571,0.587272,0,-2.17635,1.86,0.635117,-2.20257,0.961518,1.05916,0,-2.34034,1.86,0.303928,-2.43673,1.00893,0.534981,0,-2.24345,1.86,0.255792,-2.32976,0.902268,0.459922,0,-2.27651,1.86,0.714882,-2.40823,0.851399,1.21343,0,-2.01225,1.86,0.184343,-1.94474,0.973934,0.347798,0,
0.200004,-1.78103,3.35627,0.298734,-1.55894,3.30376,0.535203,-1.74334,1.86,0.669495,-1.52464,1.08155,1.07783,0,-1.48165,1.86,0.586443,-1.13585,1.11192,0.949581,0,-1.90789,1.86,0.592336,-1.77807,0.990857,0.980276,0,-1.91594,1.86,0.443716,-1.77867,1.07637,0.746228,0,-1.71828,1.86,0.195684,-1.48551,1.04546,0.373524,0,-1.81019,1.86,0.519347,-1.61905,1.10086,0.85219,0,-1.45613,1.86,0.273144,-1.08224,1.00379,0.490219,0,-1.84536,1.86,0.708266,-1.67294,1.08776,1.13195,0,-2.00306,1.86,0.689184,-1.89961,1.11601,1.09822,0,-1.92156,1.86,0.305677,-1.77862,1.16465,0.539792,0,-1.53615,1.86,0.173078,-1.22496,1.16146,0.349439,0,-1.8136,1.86,0.338919,-1.63064,1.05244,0.586859,0,-1.62451,1.86,0.656789,-1.34732,1.12094,1.05164,0,-2.04026,1.86,0.341073,-1.96241,1.0643,0.590314,0,-1.86588,1.86,0.201086,-1.7063,1.05423,0.382289,0,-1.57713,1.86,0.498544,-1.28052,1.14229,0.817429,0,-2.09643,1.86,0.515483,-2.05162,1.05249,0.855543,0,-2.16331,1.86,0.336812,-2.16162,1.0173,0.587457,0,-1.657,1.86,0.337045,-1.39713,1.11846,0.584564,0,-2.17635,1.86,0.635117,-2.16743,1.0504,1.03984,0,-2.34034,1.86,0.303928,-2.41298,1.05826,0.534808,0,-2.24345,1.86,0.255792,-2.30266,0.965594,0.461667,0,-2.27651,1.86,0.714882,-2.3855,0.897014,1.20051,0,-2.01225,1.86,0.184343,-1.92107,1.06823,0.355107,0,
0.233338,-1.78103,3.35627,0.298734,-1.57113,3.30395,0.535647,-1.74334,1.86,0.669495,-1.51362,1.17471,1.05303,0,-1.48165,1.86,0.586443,-1.14122,1.19867,0.929914,0,-1.90789,1.86,0.592336,-1.75207,1.10951,0.957909,0,-1.91594,1.86,0.443716,-1.75696,1.16876,0.735414,0,-1.71828,1.86,0.195684,-1.47488,1.17004,0.379609,0,-1.81019,1.86,0.519347,-1.60316,1.19997,0.835838,0,-1.45613,1.86,0.273144,-1.08921,1.09968,0.490051,0,-1.84536,1.86,0.708266,-1.65555,1.18456,1.10377,0,-2.00306,1.86,0.689184,-1.87286,1.20365,1.07321,0,-1.92156,1.86,0.305677,-1.75034,1.29697,0.535954,0,-1.53615,1.86,0.173078,-1.22696,1.2567,0.356497,0,-1.8136,1.86,0.338919,-1.61491,1.15017,0.582591,0,-1.62451,1.86,0.656789,-1.34526,1.21105,1.02841,0,-2.04026,1.86,0.341073,-1.93332,1.15917,0.58674,0,-1.86588,1.86,0.201086,-1.68787,1.14052,0.386156,0,-1.57713,1.86,0.498544,-1.28067,1.23405,0.803515,0,-2.09643,1.86,0.515483,-2.02057,1.13846,0.845782,0,-2.16331,1.86,0.336812,-2.12357,1.10937,0.585041,0,-1.657,1.86,0.337045,-1.3917,1.22388,0.580041,0,-2.17635,1.86,0.635117,-2.13368,1.13289,1.01754,0,-2.34034,1.86,0.303928,-2.36327,1.15039,0.531154,0,-2.24345,1.86,0.255792,-2.27451,1.02273,0.461369,0,-2.27651,1.86,0.714882,-2.32722,1.01309,1.16389,0,-2.01225,1.86,0.184343,-1.88871,1.18713,0.360425,0,
0.266672,-1.80754,3.35689,0.299109,-1.59772,3.30471,0.536623,-1.74334,1.86,0.669495,-1.5219,1.25286,1.03163,0,-1.48165,1.86,0.586443,-1.16258,1.27659,0.915513,0,-1.90789,1.86,0.592336,-1.75346,1.18156,0.942007,0,-1.91594,1.86,0.443716,-1.72159,1.6744,0.68728,0,-1.71828,1.86,0.195684,-1.48372,1.2949,0.389555,0,-1.81019,1.86,0.519347,-1.60698,1.29071,0.822785,0,-1.45613,1.86,0.273144,-1.22195,1.66378,0.501472,0,-1.84536,1.86,0.708266,-1.65772,1.26848,1.08007,0,-2.00306,1.86,0.689184,-1.81591,1.67944,0.951101,0,-1.92156,1.86,0.305677,-1.72313,1.71399,0.536762,0,-1.53615,1.86,0.173078,-1.31611,1.72947,0.397718,0,-1.8136,1.86,0.338919,-1.61851,1.23917,0.579366,0,-1.62451,1.86,0.656789,-1.40954,1.72877,0.905855,0,-2.04026,1.86,0.341073,-1.92053,1.25935,0.583034,0,-1.86588,1.86,0.201086,-1.667,1.69347,0.423714,0,-1.57713,1.86,0.498544,-1.35868,1.7072,0.740335,0,-2.09643,1.86,0.515483,-2.00305,1.23875,0.830834,0,-2.16331,1.86,0.336812,-1.99879,1.65084,0.57138,0,-1.657,1.86,0.337045,-1.44468,1.73451,0.568689,0,-2.17635,1.86,0.635117,-2.13222,1.17778,1.00126,0,-2.34034,1.86,0.303928,-2.34107,1.22542,0.529995,0,-2.24345,1.86,0.255792,-2.25491,1.09894,0.462106,0,-2.27651,1.86,0.714882,-2.29645,1.11484,1.1354,0,-2.01225,1.86,0.184343,-1.86785,1.33423,0.374906,0,
0.300007,-1.81799,3.35728,0.298972,-1.61306,3.30516,0.537186,-1.74334,1.86,0.669495,-1.51664,1.38122,1.0016,0,-1.48165,1.86,0.586443,-1.17793,1.39155,0.895685,0,-1.90789,1.86,0.592336,-1.73257,1.31733,0.916792,0,-1.91594,1.86,0.443716,-1.71539,1.67001,0.689192,0,-1.71828,1.86,0.195684,-1.48302,1.41079,0.399148,0,-1.81019,1.86,0.519347,-1.59848,1.40233,0.807284,0,-1.45613,1.86,0.273144,-1.20626,1.62312,0.501574,0,-1.84536,1.86,0.708266,-1.64639,1.37451,1.05348,0,-2.00306,1.86,0.689184,-1.81049,1.67611,0.953738,0,-1.92156,1.86,0.305677,-1.7178,1.70953,0.538406,0,-1.53615,1.86,0.173078,-1.30697,1.70296,0.396951,0,-1.8136,1.86,0.338919,-1.60842,1.36096,0.577915,0,-1.62451,1.86,0.656789,-1.40528,1.71208,0.908203,0,-2.04026,1.86,0.341073,-1.88841,1.39942,0.582237,0,-1.86588,1.86,0.201086,-1.66307,1.6877,0.424919,0,-1.57713,1.86,0.498544,-1.35013,1.68637,0.744504,0,-2.09643,1.86,0.515483,-1.96824,1.36743,0.814216,0,-2.16331,1.86,0.336812,-1.99597,1.64201,0.573791,0,-1.657,1.86,0.337045,-1.43886,1.71924,0.570307,0,-2.17635,1.86,0.635117,-2.0928,1.28817,0.980273,0,-2.34034,1.86,0.303928,-2.30377,1.30823,0.534932,0,-2.24345,1.86,0.255792,-2.18739,1.27505,0.471864,0,-2.27651,1.86,0.714882,-2.23989,1.25376,1.09795,0,-2.01225,1.86,0.184343,-1.84252,1.46302,0.387215,0,
