time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,
0,-6.22972,3.49353,0.337753,-6.02778,2.84462,0.592159,-5.37399,1.86,0.622911,-4.64748,0.209719,1.05212,0,-6.00796,1.86,0.453537,-5.6499,0.0610981,0.789454,0,-5.87897,1.86,0.692978,-5.43345,0.0766878,1.19407,0,-5.50804,1.86,0.344894,-4.82115,0.113388,0.6041,0,-5.18322,1.86,0.613141,-4.41237,0.323061,1.01725,0,-5.69631,1.86,0.497979,-5.10784,0.02737,0.868491,0,-5.463,1.86,0.0689783,-4.78056,0.187386,0.15495,0,-5.30848,1.86,0.129065,-4.55961,0.241303,0.259579,0,-5.97457,1.86,0.131773,-5.60327,0.126818,0.249459,0,-5.65414,1.86,0.722446,-5.07372,0.136936,1.22981,0,-5.36336,1.86,0.48593,-4.62386,0.197498,0.832278,0,-6.01525,1.86,0.600572,-5.65817,0.0294394,1.04509,0,-6.07949,1.86,0.746781,-5.77759,0.124211,1.27333,0,-5.8836,1.86,0.515784,-5.43274,0.0363045,0.898224,0,-5.69735,1.86,0.25,-5.10892,0.0251861,0.440701,0,-5.72024,1.86,0.619206,-5.17425,0.108012,1.06367,0,-6.07926,1.86,0.220041,-5.76631,0.00589967,0.387602,0,-5.86947,1.86,0.220347,-5.40605,0.0254703,0.389541,0,-5.16876,1.86,0.773762,-4.39477,0.330325,1.26325,0,-5.48333,1.86,0.217946,-4.79512,0.146853,0.3943,0,-5.37757,1.86,0.335596,-4.64114,0.186492,0.58865,0,-5.59106,1.86,0.433875,-4.96211,0.11891,0.752548,0,-5.81467,1.86,0.347598,-5.30383,-0.00460887,0.609331,0,-5.50863,1.86,0.68506,-4.83658,0.146118,1.16589,0,-5.16863,1.86,0.448883,-4.44002,0.400297,0.758448,0,-5.7698,1.86,0.761213,-5.25536,0.101179,1.30334,0,-5.80312,1.86,0.0706797,-5.3096,0.0946083,0.142549,0,-5.96673,1.86,0.313691,-5.57768,0.0489385,0.550979,0,-6.10803,1.86,0.0838669,-5.81636,0.0065372,0.151061,0,-6.12193,1.86,0.338467,-5.83225,-0.118491,0.593455,0,
0.033334,-6.27354,3.48688,0.338382,-6.0568,2.83817,0.592668,-5.37399,1.86,0.622911,-4.70903,0.391531,1.00713,0,-6.00796,1.86,0.453537,-5.65011,0.276383,0.761566,0,-5.87897,1.86,0.692978,-5.43858,0.219551,1.15223,0,-5.50804,1.86,0.344894,-4.86448,0.28841,0.589976,0,-5.18322,1.86,0.613141,-4.46431,0.461083,0.985139,0,-5.69631,1.86,0.497979,-5.127,0.19241,0.842884,0,-5.463,1.86,0.0689783,-4.83635,0.378136,0.168494,0,-5.30848,1.86,0.129065,-4.62217,0.414689,0.264137,0,-5.97457,1.86,0.131773,-5.61172,0.35904,0.26397,0,-5.65414,1.86,0.722446,-5.1211,0.355149,1.16318,0,-5.36336,1.86,0.48593,-4.6965,0.393548,0.795771,0,-6.01525,1.86,0.600572,-5.65593,0.24826,0.996243,0,-6.07949,1.86,0.746781,-5.77007,0.258711,1.22619,0,-5.8836,1.86,0.515784,-5.45222,0.27299,0.857544,0,-5.69735,1.86,0.25,-5.14931,0.238518,0.432965,0,-5.72024,1.86,0.619206,-5.20965,0.317256,1.01389,0,-6.07926,1.86,0.220041,-5.75741,0.237787,0.390227,0,-5.86947,1.86,0.220347,-5.42635,0.239358,0.38701,0,-5.16876,1.86,0.773762,-4.462,0.484807,1.20749,0,-5.48333,1.86,0.217946,-4.85818,0.360188,0.392468,0,-5.37757,1.86,0.335596,-4.6953,0.358527,0.57489,0,-5.59106,1.86,0.433875,-5.01038,0.325412,0.726117,0,-5.81467,1.86,0.347598,-5.33279,0.236539,0.591982,0,-5.50863,1.86,0.68506,-4.87395,0.305481,1.12167,0,-5.16863,1.86,0.448883,-4.5082,0.55728,0.73487,0,-5.7698,1.86,0.761213,-5.28469,0.308989,1.23447,0,-5.80312,1.86,0.0706797,-5.34994,0.362081,0.166303,0,-5.96673,1.86,0.313691,-5.58616,0.290108,0.540586,0,-6.10803,1.86,0.0838669,-5.80261,0.240493,0.1741,0,-6.12193,1.86,0.338467,-5.81701,0.0640657,0.577773,0,
0.0666681,-6.27354,3.48688,0.338382,-6.07092,2.83455,0.592898,-5.37399,1.86,0.622911,-4.74343,0.469102,0.993849,0,-6.00796,1.86,0.453537,-5.6571,0.381683,0.762879,0,-5.87897,1.86,0.692978,-5.45055,0.316026,1.13546,0,-5.50804,1.86,0.344894,-4.89323,0.370455,0.597462,0,-5.18322,1.86,0.613141,-4.48117,0.491886,0.984144,0,-5.69631,1.86,0.497979,-5.1465,0.269576,0.839752,0,-5.463,1.86,0.0689783,-4.8668,0.458429,0.187488,0,-5.30848,1.86,0.129065,-4.65097,0.478005,0.278915,0,-5.97457,1.86,0.131773,-5.62226,0.468421,0.282475,0,-5.65414,1.86,0.722446,-5.14107,0.429644,1.15248,0,-5.36336,1.86,0.48593,-4.726,0.463682,0.797249,0,-6.01525,1.86,0.600572,-5.66333,0.362352,0.983882,0,-6.07949,1.86,0.746781,-5.76951,0.330753,1.21047,0,-5.8836,1.86,0.515784,-5.47329,0.416006,0.849629,0,-5.69735,1.86,0.25,-5.17074,0.329617,0.444904,0,-5.72024,1.86,0.619206,-5.23516,0.423371,0.999004,0,-6.07926,1.86,0.220041,-5.76168,0.362794,0.403234,0,-5.86947,1.86,0.220347,-5.44383,0.35794,0.398469,0,-5.16876,1.86,0.773762,-4.48223,0.524618,1.20354,0,-5.48333,1.86,0.217946,-4.88594,0.435084,0.404767,0,-5.37757,1.86,0.335596,-4.72553,0.430888,0.580881,0,-5.59106,1.86,0.433875,-5.0339,0.401926,0.726589,0,-5.81467,1.86,0.347598,-5.35503,0.346848,0.592024,0,-5.50863,1.86,0.68506,-4.89993,0.3815,1.11336,0,-5.16863,1.86,0.448883,-4.53857,0.61679,0.741026,0,-5.7698,1.86,0.761213,-5.30253,0.396504,1.21784,0,-5.80312,1.86,0.0706797,-5.36211,0.420467,0.182887,0,-5.96673,1.86,0.313691,-5.59863,0.40774,0.545456,0,-6.10803,1.86,0.0838669,-5.80448,0.363316,0.19884,0,-6.12193,1.86,0.338467,-5.81675,0.10299,0.5842,0,
0.100002,-6.29903,3.48234,0.338544,-6.0822,2.83183,0.593088,-5.37399,1.86,0.622911,-4.79606,0.577288,0.99078,0,-6.00796,1.86,0.453537,-5.68187,0.572767,0.766874,0,-5.87897,1.86,0.692978,-5.48973,0.506913,1.11565,0,-5.50804,1.86,0.344894,-4.97021,0.551535,0.615346,0,-5.18322,1.86,0.613141,-4.57629,0.650427,0.979995,0,-5.69631,1.86,0.497979,-5.20798,0.469611,0.839938,0,-5.463,1.86,0.0689783,-4.94291,0.625346,0.234824,0,-5.30848,1.86,0.129065,-4.72735,0.61717,0.315835,0,-5.97457,1.86,0.131773,-5.64816,0.640195,0.322556,0,-5.65414,1.86,0.722446,-5.2011,0.60919,1.13138,0,-5.36336,1.86,0.48593,-4.80327,0.617957,0.800875,0,-6.01525,1.86,0.600572,-5.68189,0.499903,0.978857,0,-6.07949,1.86,0.746781,-5.78278,0.50469,1.18866,0,-5.8836,1.86,0.515784,-5.51834,0.632705,0.844819,0,-5.69735,1.86,0.25,-5.23007,0.521671,0.474399,0,-5.72024,1.86,0.619206,-5.2879,0.593972,0.991765,0,-6.07926,1.86,0.220041,-5.77713,0.552413,0.434104,0,-5.86947,1.86,0.220347,-5.48042,0.533514,0.430005,0,-5.16876,1.86,0.773762,-4.55687,0.653113,1.18448,0,-5.48333,1.86,0.217946,-4.954,0.588578,0.434928,0,-5.37757,1.86,0.335596,-4.81565,0.609094,0.602484,0,-5.59106,1.86,0.433875,-5.07411,0.508991,0.734887,0,-5.81467,1.86,0.347598,-5.39778,0.521167,0.612206,0,-5.50863,1.86,0.68506,-4.96813,0.543796,1.09755,0,-5.16863,1.86,0.448883,-4.61715,0.740797,0.750003,0,-5.7698,1.86,0.761213,-5.3537,0.591184,1.18784,0,-5.80312,1.86,0.0706797,-5.40189,0.590033,0.227174,0,-5.96673,1.86,0.313691,-5.62805,0.601519,0.567099,0,-6.10803,1.86,0.0838669,-5.81823,0.559516,0.248781,0,-6.12193,1.86,0.338467,-5.82789,0.263613,0.608719,0,
0.133336,-6.29903,3.48234,0.338544,-6.09626,2.82802,0.59331,-5.37399,1.86,0.622911,-5.20406,1.3105,0.876859,0,-6.00796,1.86,0.453537,-5.79514,1.25687,0.72848,0,-5.87897,1.86,0.692978,-5.66273,1.21392,0.973378,0,-5.50804,1.86,0.344894,-5.1378,0.928642,0.632342,0,-5.18322,1.86,0.613141,-5.03747,1.33362,0.870215,0,-5.69631,1.86,0.497979,-5.3333,0.850524,0.820312,0,-5.463,1.86,0.0689783,-5.31777,1.36733,0.36648,0,-5.30848,1.86,0.129065,-5.18834,1.38617,0.425612,0,-5.97457,1.86,0.131773,-5.69841,0.958709,0.377309,0,-5.65414,1.86,0.722446,-5.48202,1.34473,0.969406,0,-5.36336,1.86,0.48593,-4.95778,0.915761,0.790875,0,-6.01525,1.86,0.600572,-5.71325,0.750319,0.95322,0,-6.07949,1.86,0.746781,-5.86787,1.22729,1.02038,0,-5.8836,1.86,0.515784,-5.58568,0.941171,0.82552,0,-5.69735,1.86,0.25,-5.53434,1.37251,0.532892,0,-5.72024,1.86,0.619206,-5.39113,0.925373,0.951394,0,-6.07926,1.86,0.220041,-5.80872,0.881331,0.473712,0,-5.86947,1.86,0.220347,-5.55328,0.852359,0.472598,0,-5.16876,1.86,0.773762,-5.07356,1.4063,0.995987,0,-5.48333,1.86,0.217946,-5.08602,0.882802,0.471934,0,-5.37757,1.86,0.335596,-5.22776,1.34672,0.609931,0,-5.59106,1.86,0.433875,-5.37628,1.22877,0.704919,0,-5.81467,1.86,0.347598,-5.49967,0.915835,0.628389,0,-5.50863,1.86,0.68506,-5.12106,0.89316,1.04245,0,-5.16863,1.86,0.448883,-5.07756,1.41165,0.712277,0,-5.7698,1.86,0.761213,-5.45148,0.935081,1.11651,0,-5.80312,1.86,0.0706797,-5.51116,1.00692,0.312043,0,-5.96673,1.86,0.313691,-5.68767,0.948984,0.590068,0,-6.10803,1.86,0.0838669,-5.84597,0.903044,0.318597,0,-6.12193,1.86,0.338467,-5.84753,0.585939,0.626737,0,
0.16667,-6.3253,3.47779,0.338716,-6.10826,2.8257,0.593533,-5.37399,1.86,0.622911,-5.18399,1.26777,0.898568,0,-6.00796,1.86,0.453537,-5.79931,1.25739,0.737075,0,-5.87897,1.86,0.692978,-5.66725,1.21427,0.983439,0,-5.50804,1.86,0.344894,-5.20383,1.04972,0.640225,0,-5.18322,1.86,0.613141,-4.9944,1.26481,0.894304,0,-5.69631,1.86,0.497979,-5.38418,0.970864,0.816242,0,-5.463,1.86,0.0689783,-5.30375,1.32914,0.370489,0,-5.30848,1.86,0.129065,-5.15715,1.32771,0.429986,0,-5.97457,1.86,0.131773,-5.7263,1.05613,0.399765,0,-5.65414,1.86,0.722446,-5.48382,1.33457,0.982577,0,-5.36336,1.86,0.48593,-5.03629,1.03941,0.790917,0,-6.01525,1.86,0.600572,-5.74774,0.930271,0.937178,0,-6.07949,1.86,0.746781,-5.87346,1.22891,1.03151,0,-5.8836,1.86,0.515784,-5.62616,1.0749,0.821292,0,-5.69735,1.86,0.25,-5.53437,1.36066,0.541457,0,-5.72024,1.86,0.619206,-5.44852,1.06922,0.937152,0,-6.07926,1.86,0.220041,-5.83136,1.01015,0.492314,0,-5.86947,1.86,0.220347,-5.60148,1.01357,0.496195,0,-5.16876,1.86,0.773762,-5.02682,1.33374,1.02648,0,-5.48333,1.86,0.217946,-5.15072,0.99604,0.491359,0,-5.37757,1.86,0.335596,-5.20502,1.29784,0.621833,0,-5.59106,1.86,0.433875,-5.37276,1.20949,0.719119,0,-5.81467,1.86,0.347598,-5.54989,1.06634,0.636843,0,-5.50863,1.86,0.68506,-5.19513,1.03167,1.02296,0,-5.16863,1.86,0.448883,-5.03317,1.33922,0.727022,0,-5.7698,1.86,0.761213,-5.5015,1.06669,1.09273,0,-5.80312,1.86,0.0706797,-5.55741,1.13663,0.342992,0,-5.96673,1.86,0.313691,-5.71997,1.08125,0.600659,0,-6.10803,1.86,0.0838669,-5.8674,1.04495,0.349932,0,-6.12193,1.86,0.338467,-5.86456,0.6927,0.634378,0,
0.200004,-6.34953,3.47337,0.338867,-6.1227,2.82213,0.593773,-5.37399,1.86,0.622911,-5.21159,1.3176,0.894702,0,-6.00796,1.86,0.453537,-5.80121,1.25739,0.738524,0,-5.87897,1.86,0.692978,-5.66601,1.21586,0.986169,0,-5.50804,1.86,0.344894,-5.23127,1.10953,0.643068,0,-5.18322,1.86,0.613141,-5.04544,1.33794,0.883508,0,-5.69631,1.86,0.497979,-5.40311,1.02873,0.812006,0,-5.463,1.86,0.0689783,-5.32262,1.36477,0.379824,0,-5.30848,1.86,0.129065,-5.19739,1.3855,0.436931,0,-5.97457,1.86,0.131773,-5.73562,1.11235,0.41026,0,-5.65414,1.86,0.722446,-5.48808,1.34702,0.981998,0,-5.36336,1.86,0.48593,-5.06833,1.09819,0.789184,0,-6.01525,1.86,0.600572,-5.7601,1.01356,0.926572,0,-6.07949,1.86,0.746781,-5.87287,1.23294,1.03499,0,-5.8836,1.86,0.515784,-5.64648,1.16101,0.816529,0,-5.69735,1.86,0.25,-5.54052,1.37073,0.543541,0,-5.72024,1.86,0.619206,-5.47596,1.15724,0.924259,0,-6.07926,1.86,0.220041,-5.83857,1.07925,0.499894,0,-5.86947,1.86,0.220347,-5.61351,1.06633,0.500494,0,-5.16876,1.86,0.773762,-5.08301,1.41012,1.00765,0,-5.48333,1.86,0.217946,-5.17912,1.05653,0.4995,0,-5.37757,1.86,0.335596,-5.23411,1.34802,0.624132,0,-5.59106,1.86,0.433875,-5.38114,1.23044,0.721158,0,-5.81467,1.86,0.347598,-5.57406,1.14722,0.64211,0,-5.50863,1.86,0.68506,-5.21974,1.08408,1.01475,0,-5.16863,1.86,0.448883,-5.08423,1.41051,0.724237,0,-5.7698,1.86,0.761213,-5.51939,1.12678,1.08018,0,-5.80312,1.86,0.0706797,-5.56619,1.15555,0.348881,0,-5.96673,1.86,0.313691,-5.73067,1.13875,0.604118,0,-6.10803,1.86,0.0838669,-5.87299,1.10611,0.361321,0,-6.12193,1.86,0.338467,-5.86806,0.734565,0.637351,0,
0.233338,-6.34953,3.47337,0.338867,-6.13273,2.81989,0.593948,-5.37399,1.86,0.622911,-5.20986,1.30698,0.894423,0,-6.00796,1.86,0.453537,-5.80395,1.25686,0.739649,0,-5.87897,1.86,0.692978,-5.66874,1.21521,0.987698,0,-5.50804,1.86,0.344894,-5.23145,1.10455,0.642155,0,-5.18322,1.86,0.613141,-5.03758,1.32022,0.88649,0,-5.69631,1.86,0.497979,-5.40558,1.03003,0.812421,0,-5.463,1.86,0.0689783,-5.3232,1.35801,0.379108,0,-5.30848,1.86,0.129065,-5.19212,1.36932,0.435308,0,-5.97457,1.86,0.131773,-5.73661,1.09845,0.409364,0,-5.65414,1.86,0.722446,-5.49125,1.34341,0.983446,0,-5.36336,1.86,0.48593,-5.06942,1.09344,0.790154,0,-6.01525,1.86,0.600572,-5.76314,1.0164,0.92724,0,-6.07949,1.86,0.746781,-5.87431,1.23345,1.03798,0,-5.8836,1.86,0.515784,-5.64877,1.1582,0.81811,0,-5.69735,1.86,0.25,-5.54279,1.36766,0.543843,0,-5.72024,1.86,0.619206,-5.47737,1.14655,0.927505,0,-6.07926,1.86,0.220041,-5.84117,1.07904,0.50186,0,-5.86947,1.86,0.220347,-5.61672,1.07257,0.503548,0,-5.16876,1.86,0.773762,-5.07471,1.39148,1.01183,0,-5.48333,1.86,0.217946,-5.18211,1.05765,0.500319,0,-5.37757,1.86,0.335596,-5.2325,1.33745,0.625032,0,-5.59106,1.86,0.433875,-5.38338,1.22523,0.721492,0,-5.81467,1.86,0.347598,-5.57831,1.1589,0.64324,0,-5.50863,1.86,0.68506,-5.22057,1.08151,1.01469,0,-5.16863,1.86,0.448883,-5.07674,1.39413,0.725371,0,-5.7698,1.86,0.761213,-5.52043,1.12202,1.08198,0,-5.80312,1.86,0.0706797,-5.56356,1.13285,0.345972,0,-5.96673,1.86,0.313691,-5.73069,1.12313,0.602924,0,-6.10803,1.86,0.0838669,-5.87526,1.10435,0.363022,0,-6.12193,1.86,0.338467,-5.8721,0.730492,0.640667,0,
0.266672,-6.35832,3.47149,0.33861,-6.14195,2.81758,0.594101,-5.37399,1.86,0.622911,-5.20839,1.30581,0.89356,0,-6.00796,1.86,0.453537,-5.8005,1.25768,0.741525,0,-5.87897,1.86,0.692978,-5.66757,1.21506,0.986319,0,-5.50804,1.86,0.344894,-5.23044,1.10543,0.641803,0,-5.18322,1.86,0.613141,-5.0406,1.32514,0.882781,0,-5.69631,1.86,0.497979,-5.4066,1.03883,0.811041,0,-5.463,1.86,0.0689783,-5.32454,1.35706,0.377951,0,-5.30848,1.86,0.129065,-5.19629,1.37335,0.433821,0,-5.97457,1.86,0.131773,-5.7342,1.09742,0.409046,0,-5.65414,1.86,0.722446,-5.48781,1.34387,0.98296,0,-5.36336,1.86,0.48593,-5.06906,1.09589,0.78633,0,-6.01525,1.86,0.600572,-5.76318,1.03951,0.922755,0,-6.07949,1.86,0.746781,-5.87291,1.23362,1.03867,0,-5.8836,1.86,0.515784,-5.6492,1.17363,0.816794,0,-5.69735,1.86,0.25,-5.54255,1.36736,0.544217,0,-5.72024,1.86,0.619206,-5.47746,1.15809,0.924105,0,-6.07926,1.86,0.220041,-5.83964,1.07602,0.50103,0,-5.86947,1.86,0.220347,-5.61486,1.06578,0.502751,0,-5.16876,1.86,0.773762,-5.07888,1.39753,1.00746,0,-5.48333,1.86,0.217946,-5.1826,1.06215,0.498435,0,-5.37757,1.86,0.335596,-5.23302,1.33855,0.62245,0,-5.59106,1.86,0.433875,-5.38246,1.22422,0.720283,0,-5.81467,1.86,0.347598,-5.57681,1.15702,0.642056,0,-5.50863,1.86,0.68506,-5.22056,1.0854,1.01161,0,-5.16863,1.86,0.448883,-5.08243,1.39841,0.721504,0,-5.7698,1.86,0.761213,-5.51962,1.12803,1.07904,0,-5.80312,1.86,0.0706797,-5.55973,1.12899,0.343975,0,-5.96673,1.86,0.313691,-5.72799,1.11606,0.603289,0,-6.10803,1.86,0.0838669,-5.87415,1.09183,0.361335,0,-6.12193,1.86,0.338467,-5.87146,0.721839,0.640303,0,
0.300006,-6.38292,3.4663,0.338868,-6.16694,2.81107,0.594504,-5.37399,1.86,0.622911,-5.22117,1.31187,0.895072,0,-6.00796,1.86,0.453537,-5.81009,1.26269,0.739924,0,-5.87897,1.86,0.692978,-5.67798,1.22078,0.987512,0,-5.50804,1.86,0.344894,-5.2305,1.09577,0.642593,0,-5.18322,1.86,0.613141,-5.05392,1.32962,0.88498,0,-5.69631,1.86,0.497979,-5.40909,1.03323,0.813452,0,-5.463,1.86,0.0689783,-5.33501,1.36368,0.38137,0,-5.30848,1.86,0.129065,-5.20624,1.37997,0.437096,0,-5.97457,1.86,0.131773,-5.73642,1.08209,0.407739,0,-5.65414,1.86,0.722446,-5.50126,1.34867,0.982218,0,-5.36336,1.86,0.48593,-5.06647,1.07969,0.789723,0,-6.01525,1.86,0.600572,-5.76712,1.02714,0.925393,0,-6.07949,1.86,0.746781,-5.88281,1.23763,1.03693,0,-5.8836,1.86,0.515784,-5.65131,1.15527,0.818334,0,-5.69735,1.86,0.25,-5.55324,1.3734,0.544506,0,-5.72024,1.86,0.619206,-5.47826,1.14086,0.927602,0,-6.07926,1.86,0.220041,-5.84247,1.06713,0.500046,0,-5.86947,1.86,0.220347,-5.61834,1.06842,0.505566,0,-5.16876,1.86,0.773762,-5.09471,1.40114,1.0121,0,-5.48333,1.86,0.217946,-5.18637,1.06281,0.502017,0,-5.37757,1.86,0.335596,-5.24396,1.34526,0.625727,0,-5.59106,1.86,0.433875,-5.39296,1.23094,0.720552,0,-5.81467,1.86,0.347598,-5.57755,1.1397,0.64308,0,-5.50863,1.86,0.68506,-5.22006,1.07213,1.0151,0,-5.16863,1.86,0.448883,-5.09387,1.40375,0.725411,0,-5.7698,1.86,0.761213,-5.52048,1.10776,1.08541,0,-5.80312,1.86,0.0706797,-5.56151,1.12052,0.344621,0,-5.96673,1.86,0.313691,-5.73177,1.12124,0.605696,0,-6.10803,1.86,0.0838669,-5.87656,1.0793,0.35928,0,-6.12193,1.86,0.338467,-5.8737,0.705085,0.64031,0,
