time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,
0,7.35754,2.51436,0.197065,7.3718,2.51382,0.210983,6.16,1.85887,0.464132,4.90361,1.16283,0.76142,0,6.16,1.48885,0.618383,5.18689,0.642786,0.979673,0,6.12898,1.86,0.150864,4.91947,1.20766,0.118761,0,6.16,1.75384,0.542704,5.00246,1.00914,0.894831,0,5.51526,1.86,0.216207,4.55217,1.51232,0.24028,0,6.16,1.76409,0.269854,4.94413,0.992873,0.358541,0,5.93146,1.86,0.565142,4.78343,1.32615,0.87905,0,5.51587,1.86,0.497775,4.42313,1.46614,0.692444,0,6.06372,1.86,0.283497,4.92741,1.27756,0.374276,0,5.88878,1.86,0.710208,4.85615,1.39306,1.08988,0,6.16,1.50219,0.0383426,5.18846,0.668448,-0.0783977,0,6.16,1.72309,0.160983,5.0137,0.955721,0.139932,0,5.4407,1.86,0.686862,4.4824,1.52746,0.949288,0,6.16,1.68855,0.348934,5.07725,0.931535,0.50197,0,4.89015,1.86,0.737824,4.41122,1.72867,0.859829,0,6.16,1.63732,0.636252,5.07341,0.830564,1.05389,0,5.41149,1.86,0.360181,4.51675,1.55381,0.450289,0,6.16,1.59364,0.20104,5.05836,0.735158,0.218661,0,5.3643,1.86,0.860789,4.6413,1.61743,1.1202,0,6.16,1.38683,0.533863,5.19852,0.467602,0.822198,0,5.65215,1.86,0.0507264,4.67506,1.47909,-0.0204226,0,5.00529,1.86,0.271037,4.39664,1.68618,0.304543,0,5.99201,1.86,0.0531505,4.89027,1.32468,-0.0505485,0,
0.033334,7.35754,2.51436,0.197065,7.36581,2.52666,0.211502,6.16,1.85887,0.464132,5.08933,1.2473,0.723873,0,6.16,1.48885,0.618383,5.31404,0.733959,0.942602,0,6.12898,1.86,0.150864,5.14499,1.31025,0.129066,0,6.16,1.75384,0.542704,5.14139,1.08326,0.860742,0,5.51526,1.86,0.216207,4.68129,1.54673,0.243741,0,6.16,1.76409,0.269854,5.14632,1.10023,0.348803,0,5.93146,1.86,0.565142,4.9666,1.39447,0.838167,0,5.51587,1.86,0.497775,4.5516,1.49633,0.677064,0,6.06372,1.86,0.283497,5.15334,1.37546,0.362533,0,5.88878,1.86,0.710208,5.00821,1.44749,1.03953,0,6.16,1.50219,0.0383426,5.33266,0.771309,-0.0573047,0,6.16,1.72309,0.160983,5.1997,1.06137,0.148114,0,5.4407,1.86,0.686862,4.54633,1.53987,0.936879,0,6.16,1.68855,0.348934,5.25265,1.03671,0.47789,0,4.89015,1.86,0.737824,4.50352,1.7416,0.841391,0,6.16,1.63732,0.636252,5.21101,0.913305,1.00869,0,5.41149,1.86,0.360181,4.64535,1.58557,0.444606,0,6.16,1.59364,0.20104,5.218,0.840103,0.221097,0,5.3643,1.86,0.860789,4.72871,1.63892,1.09516,0,6.16,1.38683,0.533863,5.30622,0.550995,0.796442,0,5.65215,1.86,0.0507264,4.89556,1.54703,-0.00205298,0,5.00529,1.86,0.271037,4.5081,1.70763,0.306659,0,5.99201,1.86,0.0531505,5.10232,1.41074,-0.0264666,0,
0.0666681,7.3393,2.55361,0.197625,7.35405,2.55323,0.212564,6.16,1.85887,0.464132,5.23675,1.29529,0.692532,0,6.16,1.48885,0.618383,5.39932,0.769684,0.915991,0,6.12898,1.86,0.150864,5.2897,1.35819,0.130033,0,6.16,1.75384,0.542704,5.27276,1.13078,0.825042,0,5.51526,1.86,0.216207,4.76676,1.54545,0.242749,0,6.16,1.76409,0.269854,5.27575,1.149,0.33988,0,5.93146,1.86,0.565142,5.05079,1.40567,0.819403,0,5.51587,1.86,0.497775,4.63238,1.49134,0.662803,0,6.06372,1.86,0.283497,5.28937,1.4165,0.352275,0,5.88878,1.86,0.710208,5.10883,1.46321,1.00806,0,6.16,1.50219,0.0383426,5.43771,0.822432,-0.0481385,0,6.16,1.72309,0.160983,5.33826,1.11919,0.149195,0,5.4407,1.86,0.686862,4.61402,1.52765,0.918714,0,6.16,1.68855,0.348934,5.37873,1.09061,0.462018,0,4.89015,1.86,0.737824,4.52153,1.72089,0.837686,0,6.16,1.63732,0.636252,5.31005,0.950393,0.977361,0,5.41149,1.86,0.360181,4.72121,1.57999,0.437845,0,6.16,1.59364,0.20104,5.33239,0.89101,0.216836,0,5.3643,1.86,0.860789,4.76252,1.62446,1.08781,0,6.16,1.38683,0.533863,5.39501,0.591301,0.776635,0,5.65215,1.86,0.0507264,4.97634,1.55284,0.00382154,0,5.00529,1.86,0.271037,4.55824,1.69181,0.30528,0,5.99201,1.86,0.0531505,5.23644,1.44681,-0.0155031,0,
0.100002,7.32771,2.57726,0.198436,7.34759,2.56601,0.213093,6.16,1.85887,0.464132,5.33556,1.34483,0.669846,0,6.16,1.48885,0.618383,5.44876,0.806921,0.900944,0,6.12898,1.86,0.150864,5.40146,1.41281,0.136211,0,6.16,1.75384,0.542704,5.36063,1.18132,0.800021,0,5.51526,1.86,0.216207,4.88329,1.57813,0.239385,0,6.16,1.76409,0.269854,5.37202,1.2039,0.334952,0,5.93146,1.86,0.565142,5.13141,1.43647,0.797773,0,5.51587,1.86,0.497775,4.74333,1.52182,0.648921,0,6.06372,1.86,0.283497,5.40056,1.46788,0.34305,0,5.88878,1.86,0.710208,5.16531,1.48531,0.986715,0,6.16,1.50219,0.0383426,5.51318,0.87972,-0.0391171,0,6.16,1.72309,0.160983,5.41938,1.16887,0.150823,0,5.4407,1.86,0.686862,4.63425,1.53469,0.915581,0,6.16,1.68855,0.348934,5.43291,1.12595,0.454879,0,4.89015,1.86,0.737824,4.52824,1.72243,0.836946,0,6.16,1.63732,0.636252,5.3954,1.00533,0.946446,0,5.41149,1.86,0.360181,4.78388,1.59631,0.429478,0,6.16,1.59364,0.20104,5.3878,0.930208,0.216793,0,5.3643,1.86,0.860789,4.8095,1.63365,1.06881,0,6.16,1.38683,0.533863,5.47904,0.659937,0.754231,0,5.65215,1.86,0.0507264,5.0381,1.57264,0.00687458,0,5.00529,1.86,0.271037,4.59091,1.69822,0.301057,0,5.99201,1.86,0.0531505,5.35637,1.4987,-0.00410847,0,
0.133336,7.32771,2.57726,0.198436,7.34256,2.57608,0.213508,6.16,1.85887,0.464132,5.42871,1.39583,0.648123,0,6.16,1.48885,0.618383,5.51907,0.86456,0.8755,0,6.12898,1.86,0.150864,5.49024,1.46135,0.136242,0,6.16,1.75384,0.542704,5.43826,1.2307,0.776772,0,5.51526,1.86,0.216207,4.95635,1.6064,0.235789,0,6.16,1.76409,0.269854,5.48132,1.27138,0.328133,0,5.93146,1.86,0.565142,5.20922,1.47213,0.775694,0,5.51587,1.86,0.497775,4.79217,1.54331,0.638002,0,6.06372,1.86,0.283497,5.48615,1.51241,0.335746,0,5.88878,1.86,0.710208,5.2142,1.50814,0.968622,0,6.16,1.50219,0.0383426,5.56261,0.92363,-0.0338229,0,6.16,1.72309,0.160983,5.50084,1.22288,0.150245,0,5.4407,1.86,0.686862,4.7004,1.55454,0.89764,0,6.16,1.68855,0.348934,5.50558,1.17488,0.445507,0,4.89015,1.86,0.737824,4.54467,1.72975,0.83231,0,6.16,1.63732,0.636252,5.43151,1.03681,0.927331,0,5.41149,1.86,0.360181,4.82699,1.6135,0.42491,0,6.16,1.59364,0.20104,5.45232,0.97925,0.215681,0,5.3643,1.86,0.860789,4.84567,1.64775,1.0558,0,6.16,1.38683,0.533863,5.52259,0.704297,0.740129,0,5.65215,1.86,0.0507264,5.09483,1.59559,0.00997996,0,5.00529,1.86,0.271037,4.62559,1.71027,0.298044,0,5.99201,1.86,0.0531505,5.48127,1.5585,0.00619143,0,
0.16667,7.31484,2.59943,0.198338,7.33583,2.58865,0.214038,6.16,1.85887,0.464132,5.50502,1.4353,0.633371,0,6.16,1.48885,0.618383,5.58591,0.91667,0.85273,0,6.12898,1.86,0.150864,5.56831,1.50078,0.14113,0,6.16,1.75384,0.542704,5.49514,1.26451,0.760418,0,5.51526,1.86,0.216207,5.01222,1.62364,0.235102,0,6.16,1.76409,0.269854,5.5368,1.30577,0.324426,0,5.93146,1.86,0.565142,5.26944,1.49714,0.761015,0,5.51587,1.86,0.497775,5.28595,1.73704,0.559041,0,6.06372,1.86,0.283497,5.56031,1.54804,0.330061,0,5.88878,1.86,0.710208,5.27013,1.5292,0.9494,0,6.16,1.50219,0.0383426,5.62052,0.967809,-0.0264442,0,6.16,1.72309,0.160983,5.55568,1.25745,0.156047,0,5.4407,1.86,0.686862,4.87608,1.61844,0.851402,0,6.16,1.68855,0.348934,5.57527,1.21942,0.437857,0,4.89015,1.86,0.737824,4.54354,1.73135,0.832394,0,6.16,1.63732,0.636252,5.49548,1.07708,0.906986,0,5.41149,1.86,0.360181,4.87376,1.62561,0.420955,0,6.16,1.59364,0.20104,5.50781,1.0184,0.215395,0,5.3643,1.86,0.860789,4.87615,1.65526,1.04584,0,6.16,1.38683,0.533863,5.57045,0.744111,0.727484,0,5.65215,1.86,0.0507264,5.16329,1.61767,0.0173422,0,5.00529,1.86,0.271037,4.66404,1.71739,0.299756,0,5.99201,1.86,0.0531505,5.57277,1.6011,0.0173128,0,
0.200004,7.31484,2.59943,0.198338,7.33035,2.5987,0.214464,6.16,1.85887,0.464132,5.61265,1.49457,0.607913,0,6.16,1.48885,0.618383,5.63828,0.962839,0.835427,0,6.12898,1.86,0.150864,5.68626,1.56443,0.146549,0,6.16,1.75384,0.542704,5.60218,1.331,0.731369,0,5.51526,1.86,0.216207,5.10509,1.65554,0.234928,0,6.16,1.76409,0.269854,5.63463,1.36666,0.319034,0,5.93146,1.86,0.565142,5.37843,1.54567,0.732711,0,5.51587,1.86,0.497775,5.29694,1.7395,0.556638,0,6.06372,1.86,0.283497,5.66324,1.60083,0.325342,0,5.88878,1.86,0.710208,5.36011,1.5679,0.91969,0,6.16,1.50219,0.0383426,5.68676,1.0242,-0.0135321,0,6.16,1.72309,0.160983,5.66741,1.33019,0.158845,0,5.4407,1.86,0.686862,4.96703,1.64915,0.831021,0,6.16,1.68855,0.348934,5.659,1.27744,0.427373,0,4.89015,1.86,0.737824,4.58012,1.73978,0.825037,0,6.16,1.63732,0.636252,5.5995,1.15123,0.872178,0,5.41149,1.86,0.360181,4.95617,1.65193,0.414049,0,6.16,1.59364,0.20104,5.60591,1.09212,0.215804,0,5.3643,1.86,0.860789,4.94758,1.67635,1.02429,0,6.16,1.38683,0.533863,5.64121,0.80883,0.709497,0,5.65215,1.86,0.0507264,5.288,1.66412,0.0274386,0,5.00529,1.86,0.271037,4.73738,1.7363,0.298286,0,5.99201,1.86,0.0531505,5.68907,1.65834,0.0297435,0,
0.233338,7.30245,2.62036,0.198246,7.3184,2.62039,0.215385,6.16,1.85887,0.464132,5.69699,1.52999,0.591833,0,6.16,1.48885,0.618383,5.68737,0.985232,0.82042,0,6.12898,1.86,0.150864,5.75813,1.59418,0.149567,0,6.16,1.75384,0.542704,5.68694,1.37166,0.709034,0,5.51526,1.86,0.216207,5.6869,1.89518,0.230013,0,6.16,1.76409,0.269854,5.70228,1.39705,0.316165,0,5.93146,1.86,0.565142,5.92626,1.8328,0.589528,0,5.51587,1.86,0.497775,5.50202,1.81351,0.52503,0,6.06372,1.86,0.283497,5.73086,1.62599,0.321463,0,5.88878,1.86,0.710208,5.43232,1.58569,0.897473,0,6.16,1.50219,0.0383426,5.73428,1.04733,-0.00756522,0,6.16,1.72309,0.160983,5.74436,1.36931,0.162921,0,5.4407,1.86,0.686862,5.25394,1.74908,0.757965,0,6.16,1.68855,0.348934,5.74093,1.3199,0.419873,0,4.89015,1.86,0.737824,4.99933,1.85333,0.733923,0,6.16,1.63732,0.636252,6.08034,1.5445,0.692164,0,5.41149,1.86,0.360181,5.52247,1.86763,0.369118,0,6.16,1.59364,0.20104,5.66432,1.12176,0.220076,0,5.3643,1.86,0.860789,5.47322,1.87076,0.846862,0,6.16,1.38683,0.533863,6.17978,1.36675,0.554188,0,5.65215,1.86,0.0507264,5.78513,1.88429,0.0736755,0,5.00529,1.86,0.271037,5.32704,1.92028,0.280419,0,5.99201,1.86,0.0531505,5.74833,1.67916,0.0373172,0,
0.266672,7.29766,2.62892,0.198553,7.31123,2.63274,0.215919,6.16,1.85887,0.464132,6.10918,1.80723,0.495904,0,6.16,1.48885,0.618383,6.1306,1.43059,0.656686,0,6.12898,1.86,0.150864,6.11945,1.83201,0.16503,0,6.16,1.75384,0.542704,6.12371,1.70594,0.576686,0,5.51526,1.86,0.216207,5.69806,1.90237,0.229342,0,6.16,1.76409,0.269854,6.12246,1.71469,0.289284,0,5.93146,1.86,0.565142,5.94877,1.84585,0.582328,0,5.51587,1.86,0.497775,5.58745,1.85191,0.509768,0,6.06372,1.86,0.283497,6.08194,1.84661,0.297475,0,5.88878,1.86,0.710208,5.8995,1.84143,0.727911,0,6.16,1.50219,0.0383426,6.14094,1.45166,0.0497349,0,6.16,1.72309,0.160983,6.1311,1.67686,0.175355,0,5.4407,1.86,0.686862,5.37292,1.79908,0.725311,0,6.16,1.68855,0.348934,6.12298,1.63536,0.369788,0,4.89015,1.86,0.737824,4.98289,1.85317,0.735693,0,6.16,1.63732,0.636252,6.08258,1.54622,0.691766,0,5.41149,1.86,0.360181,5.55754,1.88264,0.366117,0,6.16,1.59364,0.20104,6.0901,1.50802,0.217551,0,5.3643,1.86,0.860789,5.4762,1.87527,0.845244,0,6.16,1.38683,0.533863,6.1391,1.32278,0.566257,0,5.65215,1.86,0.0507264,5.79827,1.89242,0.0759815,0,5.00529,1.86,0.271037,5.35432,1.93103,0.277815,0,5.99201,1.86,0.0531505,6.11484,1.89925,0.0799405,0,
0.300006,7.29766,2.62892,0.198553,7.31367,2.62865,0.215741,6.16,1.85887,0.464132,6.1113,1.81539,0.494321,0,6.16,1.48885,0.618383,6.08316,1.39811,0.670799,0,6.12898,1.86,0.150864,6.12392,1.84081,0.165276,0,6.16,1.75384,0.542704,6.10593,1.70031,0.579205,0,5.51526,1.86,0.216207,5.69591,1.91396,0.227824,0,6.16,1.76409,0.269854,6.11485,1.71727,0.290122,0,5.93146,1.86,0.565142,5.94527,1.85305,0.580923,0,5.51587,1.86,0.497775,5.58324,1.86606,0.510109,0,6.06372,1.86,0.283497,6.09103,1.85815,0.296335,0,5.88878,1.86,0.710208,5.902,1.85346,0.72483,0,6.16,1.50219,0.0383426,6.0926,1.41689,0.043512,0,6.16,1.72309,0.160983,6.12223,1.67841,0.174785,0,5.4407,1.86,0.686862,5.3692,1.81552,0.726301,0,6.16,1.68855,0.348934,6.1084,1.6336,0.37027,0,4.89015,1.86,0.737824,4.98761,1.87979,0.734844,0,6.16,1.63732,0.636252,6.09431,1.56851,0.68279,0,5.41149,1.86,0.360181,5.5569,1.8959,0.365696,0,6.16,1.59364,0.20104,6.05215,1.48625,0.220675,0,5.3643,1.86,0.860789,5.47568,1.89307,0.844036,0,6.16,1.38683,0.533863,6.18091,1.38591,0.551323,0,5.65215,1.86,0.0507264,5.80796,1.90797,0.0776003,0,5.00529,1.86,0.271037,5.35848,1.95482,0.277372,0,5.99201,1.86,0.0531505,6.12119,1.90832,0.0801193,0,
