time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,
0,2.32133,3.3497,0.261762,2.41812,3.29684,0.351094,1.9079,1.86,0.393441,1.70016,0.709803,0.579769,0,2.03203,1.86,0.652441,1.92711,0.768489,1.01416,0,2.32157,1.86,0.634792,2.41853,0.77606,0.982312,0,2.41578,1.86,0.116094,2.58173,0.716306,0.0987604,0,1.89323,1.86,0.604591,1.67083,0.696399,0.949539,0,2.00356,1.86,0.496161,1.85983,0.679575,0.76291,0,2.30118,1.86,0.184776,2.3842,0.789338,0.221509,0,1.83139,1.86,0.278519,1.56296,0.696648,0.380341,0,2.12902,1.86,0.532346,2.10086,0.839261,0.797479,0,2.17055,1.86,0.42375,2.15268,0.674267,0.636268,0,1.88927,1.86,0.152734,1.66885,0.713451,0.162022,0,2.01355,1.86,0.383281,1.8857,0.719867,0.561304,0,2.17492,1.86,0.311391,2.16013,0.671739,0.438547,0,1.99692,1.86,0.0622528,1.85471,0.709659,0.00460392,0,2.3191,1.86,0.382795,2.4142,0.681085,0.563614,0,1.92955,1.86,0.271353,1.69913,0.56293,0.368694,0,1.73817,1.86,0.546298,1.40944,0.720137,0.843249,0,2.15682,1.86,0.665584,2.14744,0.845721,1.01553,0,2.29044,1.86,0.533273,2.36545,0.756262,0.814136,0,2.08867,1.86,0.231937,2.0243,0.775221,0.300609,0,1.77612,1.86,0.161341,1.48634,0.750899,0.179472,0,1.75477,1.86,0.350408,1.45013,0.751643,0.502547,0,1.80976,1.86,0.66887,1.5394,0.737978,1.05038,0,1.85189,1.86,0.50299,1.62263,0.772449,0.75987,0,2.79329,1.86,0.0492016,3.18836,0.865639,0.00419396,0,2.17236,1.86,0.144085,2.14545,0.570001,0.135691,0,1.85534,1.86,0.0510527,1.64068,0.811437,-0.000451624,0,1.99348,1.86,0.176654,1.84142,0.676393,0.201385,0,2.55096,1.86,0.355176,2.81113,0.747238,0.510971,0,2.11463,1.86,0.056139,2.06699,0.766155,0.00178403,0,
0.033334,2.32133,3.3497,0.261762,2.40248,3.29664,0.351458,1.9079,1.86,0.393441,1.76039,0.881542,0.567761,0,2.03203,1.86,0.652441,1.98182,0.971905,0.960918,0,2.32157,1.86,0.634792,2.43395,1.01133,0.925741,0,2.41578,1.86,0.116094,2.58142,0.917934,0.118157,0,1.89323,1.86,0.604591,1.73854,0.88003,0.909593,0,2.00356,1.86,0.496161,1.92118,0.894051,0.730584,0,2.30118,1.86,0.184776,2.40373,1.06827,0.235503,0,1.83139,1.86,0.278519,1.62699,0.852513,0.380039,0,2.12902,1.86,0.532346,2.12931,0.986921,0.771408,0,2.17055,1.86,0.42375,2.18657,0.877661,0.61303,0,1.88927,1.86,0.152734,1.75139,0.939567,0.181805,0,2.01355,1.86,0.383281,1.95459,0.973808,0.540923,0,2.17492,1.86,0.311391,2.19394,0.881677,0.43147,0,1.99692,1.86,0.0622528,1.90442,0.879951,0.0270705,0,2.3191,1.86,0.382795,2.42912,0.890312,0.54644,0,1.92955,1.86,0.271353,1.77377,0.778667,0.369421,0,1.73817,1.86,0.546298,1.4876,0.881193,0.815554,0,2.15682,1.86,0.665584,2.17943,1.03069,0.965222,0,2.29044,1.86,0.533273,2.38194,0.948481,0.779881,0,2.08867,1.86,0.231937,2.0705,0.994334,0.304143,0,1.77612,1.86,0.161341,1.56723,0.930222,0.192259,0,1.75477,1.86,0.350408,1.50077,0.858166,0.495731,0,1.80976,1.86,0.66887,1.63284,0.954403,0.993408,0,1.85189,1.86,0.50299,1.6809,0.920712,0.738167,0,2.79329,1.86,0.0492016,3.13031,1.09154,0.0338804,0,2.17236,1.86,0.144085,2.19039,0.843248,0.158622,0,1.85534,1.86,0.0510527,1.72743,1.03582,0.0318993,0,1.99348,1.86,0.176654,1.9054,0.899926,0.21637,0,2.55096,1.86,0.355176,2.79327,0.948338,0.497242,0,2.11463,1.86,0.056139,2.09003,0.881774,0.0207219,0,
0.0666681,2.27188,3.35017,0.263025,2.36981,3.29664,0.352229,1.9079,1.86,0.393441,1.76519,0.987611,0.559269,0,2.03203,1.86,0.652441,1.97826,1.08031,0.933664,0,2.32157,1.86,0.634792,2.40732,1.09874,0.903476,0,2.41578,1.86,0.116094,2.54957,1.01333,0.127343,0,1.89323,1.86,0.604591,1.74437,0.986683,0.886585,0,2.00356,1.86,0.496161,1.91993,1.00606,0.714839,0,2.30118,1.86,0.184776,2.37905,1.17437,0.241534,0,1.83139,1.86,0.278519,1.62245,0.924181,0.380164,0,2.12902,1.86,0.532346,2.10599,1.0319,0.763941,0,2.17055,1.86,0.42375,2.17829,1.01897,0.600066,0,1.88927,1.86,0.152734,1.75228,1.03578,0.189954,0,2.01355,1.86,0.383281,1.95712,1.10449,0.531993,0,2.17492,1.86,0.311391,2.18048,0.996097,0.428112,0,1.99692,1.86,0.0622528,1.89914,0.973569,0.0398824,0,2.3191,1.86,0.382795,2.41068,1.10429,0.530471,0,1.92955,1.86,0.271353,1.76908,0.867551,0.369541,0,1.73817,1.86,0.546298,1.509,0.997106,0.797349,0,2.15682,1.86,0.665584,2.15957,1.09872,0.9494,0,2.29044,1.86,0.533273,2.36103,1.06871,0.75785,0,2.08867,1.86,0.231937,2.05619,1.07684,0.307266,0,1.77612,1.86,0.161341,1.57831,1.03075,0.201781,0,1.75477,1.86,0.350408,1.51012,0.94719,0.492311,0,1.80976,1.86,0.66887,1.63153,1.03419,0.975195,0,1.85189,1.86,0.50299,1.67414,0.987815,0.729397,0,2.79329,1.86,0.0492016,3.07582,1.17953,0.0484053,0,2.17236,1.86,0.144085,2.17999,0.98414,0.17183,0,1.85534,1.86,0.0510527,1.72706,1.12257,0.0458614,0,1.99348,1.86,0.176654,1.90042,0.998231,0.221587,0,2.55096,1.86,0.355176,2.75187,1.05744,0.491603,0,2.11463,1.86,0.056139,2.08048,0.980386,0.0344862,0,
0.100002,2.24297,3.35082,0.263455,2.35385,3.2968,0.352611,1.9079,1.86,0.393441,1.78777,1.05462,0.552342,0,2.03203,1.86,0.652441,1.99778,1.15814,0.91265,0,2.32157,1.86,0.634792,2.41101,1.16547,0.88738,0,2.41578,1.86,0.116094,2.54897,1.08553,0.135135,0,1.89323,1.86,0.604591,1.7621,1.03922,0.871948,0,2.00356,1.86,0.496161,1.94072,1.08314,0.70093,0,2.30118,1.86,0.184776,2.38464,1.26724,0.244072,0,1.83139,1.86,0.278519,1.65046,0.991439,0.378387,0,2.12902,1.86,0.532346,2.11368,1.06895,0.756761,0,2.17055,1.86,0.42375,2.18502,1.07463,0.595728,0,1.88927,1.86,0.152734,1.77679,1.10559,0.192411,0,2.01355,1.86,0.383281,1.96371,1.13928,0.528422,0,2.17492,1.86,0.311391,2.20076,1.12753,0.421891,0,1.99692,1.86,0.0622528,1.91802,1.04174,0.0464812,0,2.3191,1.86,0.382795,2.4116,1.18063,0.523112,0,1.92955,1.86,0.271353,1.80037,0.959888,0.367847,0,1.73817,1.86,0.546298,1.52231,1.03072,0.786531,0,2.15682,1.86,0.665584,2.17643,1.19096,0.919821,0,2.29044,1.86,0.533273,2.36594,1.14397,0.745286,0,2.08867,1.86,0.231937,2.07996,1.184,0.308064,0,1.77612,1.86,0.161341,1.61267,1.10968,0.204049,0,1.75477,1.86,0.350408,1.53367,0.999488,0.487449,0,1.80976,1.86,0.66887,1.65811,1.09645,0.955653,0,1.85189,1.86,0.50299,1.70247,1.05767,0.716623,0,2.79329,1.86,0.0492016,3.05961,1.24155,0.0553255,0,2.17236,1.86,0.144085,2.20022,1.11912,0.181353,0,1.85534,1.86,0.0510527,1.74125,1.16278,0.0499392,0,1.99348,1.86,0.176654,1.91719,1.05917,0.224949,0,2.55096,1.86,0.355176,2.7461,1.09811,0.487745,0,2.11463,1.86,0.056139,2.09283,1.04411,0.0422504,0,
0.133336,2.24297,3.35082,0.263455,2.34153,3.29682,0.352903,1.9079,1.86,0.393441,1.82748,1.15359,0.548429,0,2.03203,1.86,0.652441,2.02032,1.22689,0.897326,0,2.32157,1.86,0.634792,2.42126,1.24756,0.868496,0,2.41578,1.86,0.116094,2.55393,1.15344,0.144653,0,1.89323,1.86,0.604591,1.80063,1.12936,0.855983,0,2.00356,1.86,0.496161,1.97,1.17011,0.690587,0,2.30118,1.86,0.184776,2.3932,1.33214,0.250868,0,1.83139,1.86,0.278519,1.69423,1.08489,0.381513,0,2.12902,1.86,0.532346,2.13363,1.13702,0.747735,0,2.17055,1.86,0.42375,2.20729,1.17877,0.589245,0,1.88927,1.86,0.152734,1.8115,1.1865,0.201934,0,2.01355,1.86,0.383281,1.98518,1.19571,0.528286,0,2.17492,1.86,0.311391,2.22184,1.24186,0.421616,0,1.99692,1.86,0.0622528,1.9474,1.12406,0.0621852,0,2.3191,1.86,0.382795,2.42078,1.25588,0.519075,0,1.92955,1.86,0.271353,1.84389,1.07677,0.371463,0,1.73817,1.86,0.546298,1.55591,1.08613,0.780014,0,2.15682,1.86,0.665584,2.19504,1.27274,0.900259,0,2.29044,1.86,0.533273,2.37608,1.2078,0.734126,0,2.08867,1.86,0.231937,2.10409,1.27843,0.314777,0,1.77612,1.86,0.161341,1.66164,1.20917,0.216161,0,1.75477,1.86,0.350408,1.57349,1.07172,0.488334,0,1.80976,1.86,0.66887,1.69243,1.16547,0.940906,0,1.85189,1.86,0.50299,1.73018,1.11633,0.712044,0,2.79329,1.86,0.0492016,3.05356,1.28677,0.0630124,0,2.17236,1.86,0.144085,2.21922,1.21936,0.191974,0,1.85534,1.86,0.0510527,1.77013,1.22043,0.0617269,0,1.99348,1.86,0.176654,1.94284,1.12936,0.234162,0,2.55096,1.86,0.355176,2.74527,1.18014,0.483945,0,2.11463,1.86,0.056139,2.11867,1.14207,0.0593609,0,
0.16667,2.21342,3.35138,0.263862,2.32577,3.29704,0.353282,1.9079,1.86,0.393441,1.82772,1.1648,0.545167,0,2.03203,1.86,0.652441,2.02025,1.23692,0.89091,0,2.32157,1.86,0.634792,2.41649,1.24067,0.871038,0,2.41578,1.86,0.116094,2.55141,1.16285,0.145612,0,1.89323,1.86,0.604591,1.79149,1.1201,0.85642,0,2.00356,1.86,0.496161,1.96927,1.17945,0.688387,0,2.30118,1.86,0.184776,2.3909,1.33646,0.249023,0,1.83139,1.86,0.278519,1.69276,1.09169,0.380074,0,2.12902,1.86,0.532346,2.12967,1.1346,0.746855,0,2.17055,1.86,0.42375,2.20868,1.20426,0.584899,0,1.88927,1.86,0.152734,1.80588,1.1834,0.201534,0,2.01355,1.86,0.383281,1.99318,1.22895,0.523298,0,2.17492,1.86,0.311391,2.21376,1.22791,0.421828,0,1.99692,1.86,0.0622528,1.94564,1.13035,0.0633391,0,2.3191,1.86,0.382795,2.41974,1.27603,0.516912,0,1.92955,1.86,0.271353,1.85022,1.10628,0.369647,0,1.73817,1.86,0.546298,1.54789,1.08265,0.785037,0,2.15682,1.86,0.665584,2.18858,1.26265,0.90164,0,2.29044,1.86,0.533273,2.37272,1.20613,0.735351,0,2.08867,1.86,0.231937,2.10174,1.28382,0.314279,0,1.77612,1.86,0.161341,1.67028,1.23615,0.215488,0,1.75477,1.86,0.350408,1.57747,1.08658,0.487535,0,1.80976,1.86,0.66887,1.68258,1.15537,0.943053,0,1.85189,1.86,0.50299,1.72118,1.10619,0.713834,0,2.79329,1.86,0.0492016,3.05129,1.28416,0.0641505,0,2.17236,1.86,0.144085,2.22245,1.2604,0.189605,0,1.85534,1.86,0.0510527,1.77109,1.23042,0.0594411,0,1.99348,1.86,0.176654,1.94445,1.14336,0.232624,0,2.55096,1.86,0.355176,2.74139,1.18845,0.484232,0,2.11463,1.86,0.056139,2.12171,1.17057,0.0621004,0,
0.200004,2.21342,3.35138,0.263862,2.31295,3.29689,0.35358,1.9079,1.86,0.393441,1.83608,1.17297,0.541083,0,2.03203,1.86,0.652441,2.02225,1.23238,0.886211,0,2.32157,1.86,0.634792,2.39496,1.73911,0.744388,0,2.41578,1.86,0.116094,2.55731,1.18017,0.145564,0,1.89323,1.86,0.604591,1.79238,1.10764,0.859668,0,2.00356,1.86,0.496161,1.97827,1.19137,0.682389,0,2.30118,1.86,0.184776,2.37575,1.8192,0.274142,0,1.83139,1.86,0.278519,1.7074,1.11161,0.375643,0,2.12902,1.86,0.532346,2.17259,1.62428,0.655238,0,2.17055,1.86,0.42375,2.21576,1.22024,0.578508,0,1.88927,1.86,0.152734,1.81429,1.19033,0.197195,0,2.01355,1.86,0.383281,2.00263,1.24626,0.520703,0,2.17492,1.86,0.311391,2.21539,1.20831,0.421018,0,1.99692,1.86,0.0622528,1.96124,1.1628,0.0628839,0,2.3191,1.86,0.382795,2.42385,1.27309,0.517236,0,1.92955,1.86,0.271353,1.86336,1.1303,0.366126,0,1.73817,1.86,0.546298,1.56139,1.0924,0.77847,0,2.15682,1.86,0.665584,2.21947,1.7357,0.771503,0,2.29044,1.86,0.533273,2.37736,1.20335,0.730908,0,2.08867,1.86,0.231937,2.10491,1.27668,0.312017,0,1.77612,1.86,0.161341,1.69281,1.27458,0.215725,0,1.75477,1.86,0.350408,1.58863,1.09755,0.483442,0,1.80976,1.86,0.66887,1.68735,1.15156,0.938136,0,1.85189,1.86,0.50299,1.73043,1.11291,0.704992,0,2.79329,1.86,0.0492016,2.85705,1.82694,0.143597,0,2.17236,1.86,0.144085,2.23439,1.31264,0.189332,0,1.85534,1.86,0.0510527,1.92669,1.80379,0.139436,0,1.99348,1.86,0.176654,1.954,1.15704,0.230941,0,2.55096,1.86,0.355176,2.74628,1.19607,0.48367,0,2.11463,1.86,0.056139,2.12922,1.1839,0.0623259,0,
0.233338,2.18646,3.35168,0.264174,2.28651,3.29669,0.354199,1.9079,1.86,0.393441,1.83637,1.21482,0.539099,0,2.03203,1.86,0.652441,2.02042,1.27441,0.876989,0,2.32157,1.86,0.634792,2.38218,1.73969,0.744509,0,2.41578,1.86,0.116094,2.54237,1.236,0.150513,0,1.89323,1.86,0.604591,1.79443,1.14781,0.852103,0,2.00356,1.86,0.496161,1.97466,1.23042,0.678732,0,2.30118,1.86,0.184776,2.36143,1.82007,0.273996,0,1.83139,1.86,0.278519,1.71812,1.1753,0.377451,0,2.12902,1.86,0.532346,2.16356,1.62857,0.656524,0,2.17055,1.86,0.42375,2.20846,1.26682,0.572452,0,1.88927,1.86,0.152734,1.82466,1.25867,0.203707,0,2.01355,1.86,0.383281,2.00843,1.3255,0.513534,0,2.17492,1.86,0.311391,2.20915,1.24672,0.421257,0,1.99692,1.86,0.0622528,1.9607,1.2151,0.0717313,0,2.3191,1.86,0.382795,2.41364,1.3409,0.510413,0,1.92955,1.86,0.271353,1.86661,1.18639,0.368275,0,1.73817,1.86,0.546298,1.58038,1.16296,0.765816,0,2.15682,1.86,0.665584,2.20696,1.74008,0.771712,0,2.29044,1.86,0.533273,2.36754,1.24744,0.722416,0,2.08867,1.86,0.231937,2.09967,1.3143,0.315189,0,1.77612,1.86,0.161341,1.6973,1.32176,0.221309,0,1.75477,1.86,0.350408,1.60371,1.162,0.482848,0,1.80976,1.86,0.66887,1.69164,1.19242,0.928701,0,1.85189,1.86,0.50299,1.72467,1.13431,0.704556,0,2.79329,1.86,0.0492016,2.86692,1.76055,0.133791,0,2.17236,1.86,0.144085,2.22237,1.33832,0.194382,0,1.85534,1.86,0.0510527,1.9093,1.79342,0.139859,0,1.99348,1.86,0.176654,1.95425,1.21063,0.240224,0,2.55096,1.86,0.355176,2.72515,1.26873,0.478098,0,2.11463,1.86,0.056139,2.12417,1.23074,0.0704985,0,
0.266672,2.17538,3.35186,0.263915,2.2713,3.29659,0.354555,1.9079,1.86,0.393441,1.84895,1.25684,0.53961,0,2.03203,1.86,0.652441,2.03602,1.34598,0.864169,0,2.32157,1.86,0.634792,2.38069,1.73782,0.74667,0,2.41578,1.86,0.116094,2.54027,1.25955,0.152031,0,1.89323,1.86,0.604591,1.80806,1.19186,0.847041,0,2.00356,1.86,0.496161,1.98291,1.26711,0.677247,0,2.30118,1.86,0.184776,2.35847,1.81731,0.276058,0,1.83139,1.86,0.278519,1.72371,1.19698,0.381424,0,2.12902,1.86,0.532346,2.16428,1.63018,0.659095,0,2.17055,1.86,0.42375,2.21246,1.30191,0.571472,0,1.88927,1.86,0.152734,1.83202,1.28653,0.207854,0,2.01355,1.86,0.383281,2.0112,1.34697,0.513301,0,2.17492,1.86,0.311391,2.21232,1.27717,0.42384,0,1.99692,1.86,0.0622528,1.97058,1.25653,0.0794868,0,2.3191,1.86,0.382795,2.4119,1.36717,0.514129,0,1.92955,1.86,0.271353,1.87908,1.23176,0.371601,0,1.73817,1.86,0.546298,1.59499,1.1998,0.760324,0,2.15682,1.86,0.665584,2.20647,1.73991,0.774522,0,2.29044,1.86,0.533273,2.36851,1.28167,0.721058,0,2.08867,1.86,0.231937,2.10421,1.34251,0.318592,0,1.77612,1.86,0.161341,1.70796,1.35102,0.226739,0,1.75477,1.86,0.350408,1.62201,1.20699,0.480167,0,1.80976,1.86,0.66887,1.7043,1.22734,0.923494,0,1.85189,1.86,0.50299,1.73251,1.15691,0.705227,0,2.79329,1.86,0.0492016,2.84185,1.81847,0.143794,0,2.17236,1.86,0.144085,2.22416,1.35571,0.195476,0,1.85534,1.86,0.0510527,1.91362,1.82421,0.147534,0,1.99348,1.86,0.176654,1.96449,1.25375,0.24471,0,2.55096,1.86,0.355176,2.71999,1.29683,0.477532,0,2.11463,1.86,0.056139,2.133,1.28601,0.0829225,0,
0.300007,2.17538,3.35186,0.263915,2.27641,3.29655,0.354433,1.9079,1.86,0.393441,1.8876,1.32029,0.530611,0,2.03203,1.86,0.652441,2.06805,1.40946,0.845514,0,2.32157,1.86,0.634792,2.39833,1.74596,0.743141,0,2.41578,1.86,0.116094,2.55806,1.30489,0.153795,0,1.89323,1.86,0.604591,1.83581,1.21944,0.83717,0,2.00356,1.86,0.496161,2.00991,1.30028,0.667923,0,2.30118,1.86,0.184776,2.37676,1.82637,0.275559,0,1.83139,1.86,0.278519,1.75722,1.23413,0.378172,0,2.12902,1.86,0.532346,2.18199,1.64187,0.654487,0,2.17055,1.86,0.42375,2.2358,1.33909,0.563431,0,1.88927,1.86,0.152734,1.8664,1.33332,0.209648,0,2.01355,1.86,0.383281,2.03603,1.37162,0.51196,0,2.17492,1.86,0.311391,2.2373,1.32238,0.419617,0,1.99692,1.86,0.0622528,1.99788,1.29189,0.0828637,0,2.3191,1.86,0.382795,2.43199,1.39786,0.510407,0,1.92955,1.86,0.271353,1.91026,1.27496,0.367803,0,1.73817,1.86,0.546298,1.62908,1.23478,0.750347,0,2.15682,1.86,0.665584,2.22562,1.75028,0.770193,0,2.29044,1.86,0.533273,2.38913,1.31381,0.712815,0,2.08867,1.86,0.231937,2.12929,1.37572,0.315758,0,1.77612,1.86,0.161341,1.73295,1.36843,0.223216,0,1.75477,1.86,0.350408,1.66277,1.25984,0.473514,0,1.80976,1.86,0.66887,1.7327,1.25198,0.913361,0,1.85189,1.86,0.50299,1.76835,1.20082,0.693305,0,2.79329,1.86,0.0492016,2.86253,1.81239,0.142592,0,2.17236,1.86,0.144085,2.24704,1.38522,0.195717,0,1.85534,1.86,0.0510527,1.93681,1.83681,0.146791,0,1.99348,1.86,0.176654,1.99295,1.29319,0.247013,0,2.55096,1.86,0.355176,2.73355,1.34349,0.475337,0,2.11463,1.86,0.056139,2.16131,1.34596,0.0875989,0,
