time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,
0,-5.09965,3.34655,0.325946,-4.96915,3.17139,0.667316,-4.75885,1.86,0.726553,-4.37174,0.565554,1.36956,0,-5.23705,1.86,0.689491,-5.2176,0.48336,1.32469,0,-5.09246,1.86,0.450622,-4.95625,0.505673,0.890888,0,-4.90747,1.86,0.679551,-4.62624,0.518978,1.29824,0,-4.69958,1.86,0.625998,-4.25543,0.519392,1.20261,0,-5.37499,1.86,0.588059,-5.4689,0.473224,1.14306,0,-4.88016,1.86,0.228516,-4.58073,0.540765,0.494904,0,-4.94099,1.86,0.520716,-4.69333,0.587208,1.0059,0,-5.47055,1.86,0.500504,-5.65551,0.420488,0.99034,0,-4.83179,1.86,0.565007,-4.47507,0.429421,1.10827,0,-5.61027,1.86,0.622206,-5.88221,0.513226,1.19707,0,-5.01668,1.86,0.665179,-4.82252,0.544178,1.26685,0,-4.87733,1.86,0.389183,-4.57828,0.557882,0.778493,0,-4.65665,1.86,0.451353,-4.20193,0.596897,0.884503,0,-5.10736,1.86,0.61065,-4.98322,0.458836,1.18682,0,-4.70871,1.86,0.287705,-4.29496,0.607794,0.601369,0,-5.52577,1.86,0.161788,-5.69843,0.627198,0.386365,0,-4.92297,1.86,0.116326,-4.65795,0.553077,0.298106,0,-5.4791,1.86,0.305956,-5.64013,0.542679,0.631968,0,-5.23992,1.86,0.542256,-5.23161,0.389898,1.07205,0,-4.76592,1.86,0.130287,-4.38726,0.579489,0.326173,0,-4.60195,1.86,0.181875,-4.0806,0.517471,0.410109,0,-4.59605,1.86,0.572879,-4.0496,0.457056,1.1182,0,-5.0234,1.86,0.299197,-4.83631,0.581664,0.620718,0,-5.06041,1.86,0.159713,-4.89888,0.509415,0.369644,0,-5.15371,1.86,0.27646,-5.06792,0.455408,0.576905,0,-5.3808,1.86,0.307688,-5.49357,0.398525,0.633261,0,-4.78783,1.86,0.452248,-4.40141,0.464744,0.897281,0,-4.54887,1.86,0.463861,-4.01513,0.596525,0.9062,0,
0.033334,-5.12674,3.34501,0.326447,-4.99647,3.16933,0.6683,-4.75885,1.86,0.726553,-4.39879,0.658314,1.35175,0,-5.23705,1.86,0.689491,-5.20983,0.602985,1.30005,0,-5.09246,1.86,0.450622,-4.9587,0.646695,0.88183,0,-4.90747,1.86,0.679551,-4.64472,0.652046,1.26918,0,-4.69958,1.86,0.625998,-4.29708,0.680099,1.17824,0,-5.37499,1.86,0.588059,-5.45232,0.580296,1.12702,0,-4.88016,1.86,0.228516,-4.60449,0.683563,0.507997,0,-4.94099,1.86,0.520716,-4.70854,0.683792,0.995758,0,-5.47055,1.86,0.500504,-5.63005,0.531316,0.981115,0,-4.83179,1.86,0.565007,-4.49919,0.55209,1.09237,0,-5.61027,1.86,0.622206,-5.86934,0.571354,1.18681,0,-5.01668,1.86,0.665179,-4.8343,0.63715,1.24808,0,-4.87733,1.86,0.389183,-4.6046,0.723925,0.774313,0,-4.65665,1.86,0.451353,-4.24326,0.724813,0.876452,0,-5.10736,1.86,0.61065,-4.9879,0.558469,1.17159,0,-4.70871,1.86,0.287705,-4.32562,0.699966,0.602192,0,-5.52577,1.86,0.161788,-5.65603,0.775047,0.404774,0,-4.92297,1.86,0.116326,-4.67797,0.688114,0.317176,0,-5.4791,1.86,0.305956,-5.6009,0.690785,0.635992,0,-5.23992,1.86,0.542256,-5.21354,0.563531,1.04602,0,-4.76592,1.86,0.130287,-4.42499,0.740606,0.349051,0,-4.60195,1.86,0.181875,-4.12986,0.664482,0.427878,0,-4.59605,1.86,0.572879,-4.0896,0.569161,1.1015,0,-5.0234,1.86,0.299197,-4.84727,0.693098,0.627389,0,-5.06041,1.86,0.159713,-4.90526,0.62624,0.385611,0,-5.15371,1.86,0.27646,-5.06389,0.61018,0.586711,0,-5.3808,1.86,0.307688,-5.47732,0.501688,0.638847,0,-4.78783,1.86,0.452248,-4.43253,0.60552,0.884116,0,-4.54887,1.86,0.463861,-4.06024,0.708777,0.898583,0,
0.0666681,-5.1544,3.34344,0.32693,-5.01165,3.1682,0.668847,-4.75885,1.86,0.726553,-4.41173,0.749632,1.32443,0,-5.23705,1.86,0.689491,-5.18706,0.739971,1.26779,0,-5.09246,1.86,0.450622,-4.95007,0.79328,0.868576,0,-4.90747,1.86,0.679551,-4.65354,0.796978,1.23531,0,-4.69958,1.86,0.625998,-4.32199,0.802102,1.15437,0,-5.37499,1.86,0.588059,-5.42013,0.701633,1.10087,0,-4.88016,1.86,0.228516,-4.61621,0.822221,0.513337,0,-4.94099,1.86,0.520716,-4.71139,0.767109,0.985605,0,-5.47055,1.86,0.500504,-5.59499,0.636635,0.968358,0,-4.83179,1.86,0.565007,-4.51287,0.682027,1.07016,0,-5.61027,1.86,0.622206,-5.83647,0.642545,1.17329,0,-5.01668,1.86,0.665179,-4.8316,0.746792,1.22279,0,-4.87733,1.86,0.389183,-4.6167,0.853762,0.76681,0,-4.65665,1.86,0.451353,-4.26463,0.817598,0.865759,0,-5.10736,1.86,0.61065,-4.97758,0.679718,1.1471,0,-4.70871,1.86,0.287705,-4.34642,0.813543,0.60282,0,-5.52577,1.86,0.161788,-5.62795,0.856681,0.414181,0,-4.92297,1.86,0.116326,-4.68468,0.813608,0.334923,0,-5.4791,1.86,0.305956,-5.56897,0.791103,0.636714,0,-5.23992,1.86,0.542256,-5.19158,0.705799,1.02491,0,-4.76592,1.86,0.130287,-4.4402,0.828604,0.361273,0,-4.60195,1.86,0.181875,-4.16017,0.778714,0.439338,0,-4.59605,1.86,0.572879,-4.12643,0.713784,1.07785,0,-5.0234,1.86,0.299197,-4.84479,0.826013,0.627222,0,-5.06041,1.86,0.159713,-4.89886,0.777332,0.399739,0,-5.15371,1.86,0.27646,-5.05191,0.733582,0.589435,0,-5.3808,1.86,0.307688,-5.44771,0.61053,0.639675,0,-4.78783,1.86,0.452248,-4.4507,0.733425,0.873059,0,-4.54887,1.86,0.463861,-4.0916,0.817328,0.888145,0,
0.100002,-5.1544,3.34344,0.32693,-5.02409,3.16728,0.669295,-4.75885,1.86,0.726553,-4.42456,0.850924,1.29537,0,-5.23705,1.86,0.689491,-5.16262,0.884129,1.23092,0,-5.09246,1.86,0.450622,-4.94404,0.879291,0.860231,0,-4.90747,1.86,0.679551,-4.66097,0.931571,1.20257,0,-4.69958,1.86,0.625998,-4.3425,0.914868,1.12933,0,-5.37499,1.86,0.588059,-5.38443,0.834047,1.08042,0,-4.88016,1.86,0.228516,-4.62483,0.939197,0.518333,0,-4.94099,1.86,0.520716,-4.71238,0.872111,0.970367,0,-5.47055,1.86,0.500504,-5.54589,0.780667,0.949532,0,-4.83179,1.86,0.565007,-4.52472,0.803648,1.04852,0,-5.61027,1.86,0.622206,-5.79328,0.733571,1.15363,0,-5.01668,1.86,0.665179,-4.82804,0.919922,1.18004,0,-4.87733,1.86,0.389183,-4.62606,0.980164,0.76198,0,-4.65665,1.86,0.451353,-4.27562,0.876122,0.859922,0,-5.10736,1.86,0.61065,-4.96689,0.798171,1.12407,0,-4.70871,1.86,0.287705,-4.36307,0.910412,0.603477,0,-5.52577,1.86,0.161788,-5.60736,0.908195,0.416964,0,-4.92297,1.86,0.116326,-4.68866,0.917498,0.346706,0,-5.4791,1.86,0.305956,-5.52868,0.907036,0.638571,0,-5.23992,1.86,0.542256,-5.16878,0.840878,1.00676,0,-4.76592,1.86,0.130287,-4.45872,0.965024,0.377183,0,-4.60195,1.86,0.181875,-4.17534,0.843568,0.444216,0,-4.59605,1.86,0.572879,-4.15932,0.843282,1.05494,0,-5.0234,1.86,0.299197,-4.84196,0.992155,0.630327,0,-5.06041,1.86,0.159713,-4.89297,0.908961,0.415337,0,-5.15371,1.86,0.27646,-5.03345,0.90488,0.595033,0,-5.3808,1.86,0.307688,-5.40391,0.771113,0.638895,0,-4.78783,1.86,0.452248,-4.46781,0.864551,0.859162,0,-4.54887,1.86,0.463861,-4.12343,0.930861,0.871747,0,
0.133336,-5.18175,3.34188,0.327405,-5.03946,3.16614,0.66985,-4.75885,1.86,0.726553,-4.43434,0.900809,1.28206,0,-5.23705,1.86,0.689491,-5.15484,0.952829,1.21194,0,-5.09246,1.86,0.450622,-4.9407,0.959236,0.851763,0,-4.90747,1.86,0.679551,-4.66835,1.00139,1.18478,0,-4.69958,1.86,0.625998,-4.35415,0.960557,1.12075,0,-5.37499,1.86,0.588059,-5.36667,0.914193,1.06581,0,-4.88016,1.86,0.228516,-4.63334,1.01477,0.525862,0,-4.94099,1.86,0.520716,-4.71711,0.934877,0.959314,0,-5.47055,1.86,0.500504,-5.52118,0.867062,0.937565,0,-4.83179,1.86,0.565007,-4.53411,0.866241,1.03922,0,-5.61027,1.86,0.622206,-5.76143,0.810723,1.13511,0,-5.01668,1.86,0.665179,-4.83136,0.987795,1.16301,0,-4.87733,1.86,0.389183,-4.63501,1.05304,0.758275,0,-4.65665,1.86,0.451353,-4.29186,0.94825,0.853491,0,-5.10736,1.86,0.61065,-4.96473,0.860145,1.11127,0,-4.70871,1.86,0.287705,-4.37599,0.967137,0.603034,0,-5.52577,1.86,0.161788,-5.58517,0.969636,0.422216,0,-4.92297,1.86,0.116326,-4.69517,1.00252,0.357428,0,-5.4791,1.86,0.305956,-5.51095,0.969216,0.638123,0,-5.23992,1.86,0.542256,-5.16009,0.913042,0.99458,0,-4.76592,1.86,0.130287,-4.46982,1.01581,0.383776,0,-4.60195,1.86,0.181875,-4.18908,0.894356,0.448933,0,-4.59605,1.86,0.572879,-4.17526,0.891379,1.0453,0,-5.0234,1.86,0.299197,-4.84499,1.1049,0.630419,0,-5.06041,1.86,0.159713,-4.89309,0.985132,0.421453,0,-5.15371,1.86,0.27646,-5.02818,0.997296,0.597003,0,-5.3808,1.86,0.307688,-5.3818,0.870321,0.640136,0,-4.78783,1.86,0.452248,-4.47963,0.928867,0.854566,0,-4.54887,1.86,0.463861,-4.14209,0.987069,0.868925,0,
0.16667,-5.18175,3.34188,0.327405,-5.05149,3.16523,0.670283,-4.75885,1.86,0.726553,-4.44723,0.998801,1.25207,0,-5.23705,1.86,0.689491,-5.14551,1.00014,1.19831,0,-5.09246,1.86,0.450622,-4.93455,1.0415,0.843924,0,-4.90747,1.86,0.679551,-4.6691,1.03528,1.17457,0,-4.69958,1.86,0.625998,-4.36285,1.01951,1.10696,0,-5.37499,1.86,0.588059,-5.34423,0.996833,1.05187,0,-4.88016,1.86,0.228516,-4.63793,1.08846,0.531479,0,-4.94099,1.86,0.520716,-4.71755,1.00381,0.950398,0,-5.47055,1.86,0.500504,-5.49738,0.936968,0.927587,0,-4.83179,1.86,0.565007,-4.53879,0.928154,1.02664,0,-5.61027,1.86,0.622206,-5.7283,0.883792,1.11883,0,-5.01668,1.86,0.665179,-4.829,1.03854,1.15004,0,-4.87733,1.86,0.389183,-4.63816,1.10556,0.753135,0,-4.65665,1.86,0.451353,-4.30555,1.0173,0.845324,0,-5.10736,1.86,0.61065,-4.95746,0.928205,1.09643,0,-4.70871,1.86,0.287705,-4.38599,1.03195,0.603075,0,-5.52577,1.86,0.161788,-5.55901,1.03698,0.42696,0,-4.92297,1.86,0.116326,-4.69814,1.07865,0.366468,0,-5.4791,1.86,0.305956,-5.4916,1.02371,0.635019,0,-5.23992,1.86,0.542256,-5.147,0.984168,0.982855,0,-4.76592,1.86,0.130287,-4.4718,1.0424,0.386896,0,-4.60195,1.86,0.181875,-4.20161,0.954467,0.452712,0,-4.59605,1.86,0.572879,-4.19344,0.972975,1.03294,0,-5.0234,1.86,0.299197,-4.8445,1.14179,0.629831,0,-5.06041,1.86,0.159713,-4.88898,1.05934,0.427974,0,-5.15371,1.86,0.27646,-5.02035,1.06959,0.596852,0,-5.3808,1.86,0.307688,-5.3617,0.944881,0.640735,0,-4.78783,1.86,0.452248,-4.48834,1.00587,0.849018,0,-4.54887,1.86,0.463861,-4.16148,1.06121,0.859254,0,
0.200004,-5.20886,3.34028,0.327874,-5.07871,3.16315,0.671263,-4.75885,1.86,0.726553,-4.4726,1.06132,1.23541,0,-5.23705,1.86,0.689491,-5.15058,1.05188,1.18637,0,-5.09246,1.86,0.450622,-4.94598,1.10244,0.839453,0,-4.90747,1.86,0.679551,-4.68549,1.08882,1.16177,0,-4.69958,1.86,0.625998,-4.38848,1.07701,1.09465,0,-5.37499,1.86,0.588059,-5.34764,1.04135,1.04272,0,-4.88016,1.86,0.228516,-4.65869,1.15704,0.535883,0,-4.94099,1.86,0.520716,-4.73491,1.07071,0.940579,0,-5.47055,1.86,0.500504,-5.4924,0.996573,0.920125,0,-4.83179,1.86,0.565007,-4.56141,1.00309,1.01562,0,-5.61027,1.86,0.622206,-5.72119,0.933548,1.1109,0,-5.01668,1.86,0.665179,-4.84247,1.12553,1.13011,0,-4.87733,1.86,0.389183,-4.65745,1.16689,0.752265,0,-4.65665,1.86,0.451353,-4.33738,1.09301,0.839386,0,-5.10736,1.86,0.61065,-4.9667,0.999166,1.08305,0,-4.70871,1.86,0.287705,-4.41059,1.0856,0.607117,0,-5.52577,1.86,0.161788,-5.55144,1.09643,0.436608,0,-4.92297,1.86,0.116326,-4.71587,1.13334,0.375521,0,-5.4791,1.86,0.305956,-5.48758,1.07789,0.635443,0,-5.23992,1.86,0.542256,-5.14834,1.073,0.96649,0,-4.76592,1.86,0.130287,-4.49625,1.11634,0.396389,0,-4.60195,1.86,0.181875,-4.23685,1.03401,0.457893,0,-4.59605,1.86,0.572879,-4.2175,1.0063,1.02666,0,-5.0234,1.86,0.299197,-4.85764,1.22171,0.633028,0,-5.06041,1.86,0.159713,-4.90136,1.12532,0.43663,0,-5.15371,1.86,0.27646,-5.02885,1.13271,0.602947,0,-5.3808,1.86,0.307688,-5.35811,1.01744,0.638456,0,-4.78783,1.86,0.452248,-4.51831,1.10545,0.841724,0,-4.54887,1.86,0.463861,-4.18899,1.10431,0.856183,0,
0.233338,-5.20886,3.34028,0.327874,-5.09383,3.16199,0.671807,-4.75885,1.86,0.726553,-4.48177,1.10607,1.2254,0,-5.23705,1.86,0.689491,-5.14196,1.12016,1.16972,0,-5.09246,1.86,0.450622,-4.94489,1.17072,0.833078,0,-4.90747,1.86,0.679551,-4.69123,1.14624,1.14793,0,-4.69958,1.86,0.625998,-4.40285,1.13723,1.08084,0,-5.37499,1.86,0.588059,-5.33315,1.10578,1.03121,0,-4.88016,1.86,0.228516,-4.66394,1.18632,0.535313,0,-4.94099,1.86,0.520716,-4.74039,1.13666,0.932244,0,-5.47055,1.86,0.500504,-5.47558,1.05619,0.914612,0,-4.83179,1.86,0.565007,-4.57312,1.07848,1.00269,0,-5.61027,1.86,0.622206,-5.70237,0.981823,1.10355,0,-5.01668,1.86,0.665179,-4.84557,1.1958,1.11561,0,-4.87733,1.86,0.389183,-4.66179,1.19065,0.75079,0,-4.65665,1.86,0.451353,-4.34735,1.12519,0.83853,0,-5.10736,1.86,0.61065,-4.96507,1.06035,1.07055,0,-4.70871,1.86,0.287705,-4.42138,1.13189,0.608226,0,-5.52577,1.86,0.161788,-5.53258,1.15557,0.44467,0,-4.92297,1.86,0.116326,-4.71927,1.15931,0.379291,0,-5.4791,1.86,0.305956,-5.46967,1.14017,0.640068,0,-5.23992,1.86,0.542256,-5.13774,1.1699,0.953734,0,-4.76592,1.86,0.130287,-4.50882,1.17749,0.403437,0,-4.60195,1.86,0.181875,-4.25525,1.09347,0.463029,0,-4.59605,1.86,0.572879,-4.22727,1.03862,1.01838,0,-5.0234,1.86,0.299197,-4.86043,1.27251,0.633231,0,-5.06041,1.86,0.159713,-4.90211,1.17877,0.442611,0,-5.15371,1.86,0.27646,-5.02458,1.21069,0.604028,0,-5.3808,1.86,0.307688,-5.34419,1.08366,0.644294,0,-4.78783,1.86,0.452248,-4.5325,1.17518,0.834802,0,-4.54887,1.86,0.463861,-4.2041,1.15048,0.850503,0,
0.266672,-5.23539,3.33857,0.328312,-5.10532,3.16095,0.672218,-4.75885,1.86,0.726553,-4.4867,1.15164,1.21379,0,-5.23705,1.86,0.689491,-5.13061,1.19084,1.15319,0,-5.09246,1.86,0.450622,-4.9409,1.2348,0.828734,0,-4.90747,1.86,0.679551,-4.69509,1.21728,1.1318,0,-4.69958,1.86,0.625998,-4.41191,1.1891,1.06952,0,-5.37499,1.86,0.588059,-5.31686,1.16779,1.0196,0,-4.88016,1.86,0.228516,-4.66421,1.22297,0.537527,0,-4.94099,1.86,0.520716,-4.74446,1.22408,0.922946,0,-5.47055,1.86,0.500504,-5.453,1.12467,0.906389,0,-4.83179,1.86,0.565007,-4.57907,1.13661,0.995501,0,-5.61027,1.86,0.622206,-5.67983,1.02987,1.09374,0,-5.01668,1.86,0.665179,-4.84483,1.26098,1.10176,0,-4.87733,1.86,0.389183,-4.66548,1.2579,0.748451,0,-4.65665,1.86,0.451353,-4.34856,1.14331,0.836966,0,-5.10736,1.86,0.61065,-4.95976,1.1208,1.05887,0,-4.70871,1.86,0.287705,-4.43141,1.19243,0.611926,0,-5.52577,1.86,0.161788,-5.51715,1.19478,0.448631,0,-4.92297,1.86,0.116326,-4.72174,1.23595,0.391171,0,-5.4791,1.86,0.305956,-5.45121,1.19436,0.640955,0,-5.23992,1.86,0.542256,-5.12604,1.25777,0.938318,0,-4.76592,1.86,0.130287,-4.51722,1.23715,0.412998,0,-4.60195,1.86,0.181875,-4.2741,1.16857,0.473623,0,-4.59605,1.86,0.572879,-4.23019,1.06203,1.01583,0,-5.0234,1.86,0.299197,-4.85855,1.31551,0.634524,0,-5.06041,1.86,0.159713,-4.8993,1.26911,0.453245,0,-5.15371,1.86,0.27646,-5.01842,1.27634,0.606218,0,-5.3808,1.86,0.307688,-5.32529,1.15683,0.644886,0,-4.78783,1.86,0.452248,-4.53876,1.22465,0.831958,0,-4.54887,1.86,0.463861,-4.221,1.21396,0.845812,0,
0.300007,-5.24608,3.33797,0.328205,-5.11572,3.16008,0.67259,-4.75885,1.86,0.726553,-4.49338,1.20475,1.19931,0,-5.23705,1.86,0.689491,-5.12096,1.25301,1.13925,0,-5.09246,1.86,0.450622,-4.93733,1.29595,0.824496,0,-4.90747,1.86,0.679551,-4.69803,1.26991,1.11943,0,-4.69958,1.86,0.625998,-4.4223,1.24713,1.06026,0,-5.37499,1.86,0.588059,-5.3016,1.22765,1.01127,0,-4.88016,1.86,0.228516,-4.66922,1.29352,0.542575,0,-4.94099,1.86,0.520716,-4.7474,1.28375,0.915233,0,-5.47055,1.86,0.500504,-5.42793,1.20723,0.899005,0,-4.83179,1.86,0.565007,-4.58509,1.19671,0.98567,0,-5.61027,1.86,0.622206,-5.64898,1.10071,1.07904,0,-5.01668,1.86,0.665179,-4.84489,1.33054,1.08924,0,-4.87733,1.86,0.389183,-4.67021,1.31542,0.745194,0,-4.65665,1.86,0.451353,-4.3539,1.18271,0.833739,0,-5.10736,1.86,0.61065,-4.95483,1.18354,1.04679,0,-4.70871,1.86,0.287705,-4.44451,1.26164,0.612793,0,-5.52577,1.86,0.161788,-5.49985,1.23775,0.453921,0,-4.92297,1.86,0.116326,-4.72554,1.2997,0.400971,0,-5.4791,1.86,0.305956,-5.43041,1.25797,0.643627,0,-5.23992,1.86,0.542256,-5.1177,1.31479,0.931482,0,-4.76592,1.86,0.130287,-4.52995,1.31554,0.422965,0,-4.60195,1.86,0.181875,-4.28771,1.22204,0.47557,0,-4.59605,1.86,0.572879,-4.23966,1.11087,1.00832,0,-5.0234,1.86,0.299197,-4.85686,1.36528,0.636225,0,-5.06041,1.86,0.159713,-4.89777,1.3145,0.458731,0,-5.15371,1.86,0.27646,-5.01272,1.33601,0.609907,0,-5.3808,1.86,0.307688,-5.30472,1.24463,0.648357,0,-4.78783,1.86,0.452248,-4.54466,1.27311,0.824859,0,-4.54887,1.86,0.463861,-4.2311,1.25243,0.841511,0,
