time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,
0,7.35673,2.82413,0.192166,7.42264,2.82146,0.250869,6.15424,1.86,0.447973,5.30057,1.12002,0.7023,0,6.16,1.48911,0.607573,5.51212,0.690162,0.914047,0,6.16,1.8295,0.584265,5.36235,1.10909,0.925909,0,6.16,1.85404,0.293845,5.38047,1.16604,0.424381,0,5.80435,1.86,0.73706,4.99483,1.31363,1.10305,0,5.94803,1.86,0.502565,5.10321,1.23401,0.761944,0,6.16,1.43413,-0.0217298,5.58129,0.68272,-0.0782438,0,5.58881,1.86,0.261693,4.90708,1.4496,0.349798,0,6.13541,1.86,0.133623,5.34333,1.18002,0.151199,0,6.16,1.66614,0.597729,5.45686,0.919315,0.917059,0,4.41055,1.86,1.05694,4.50808,1.86768,1.10636,0,5.47768,1.86,0.660307,4.88985,1.5219,0.881879,0,6.16,1.49452,0.451783,5.50429,0.690091,0.667035,0,5.57883,1.86,0.435389,4.93212,1.47088,0.591582,0,5.39172,1.86,0.826403,4.80705,1.53812,1.09509,0,6.16,1.41938,0.237012,5.60331,0.685885,0.319047,0,6.16,1.63032,0.327187,5.43157,0.835233,0.475512,0,6.16,1.7238,0.144829,5.40467,0.966046,0.171047,0,5.85332,1.86,0.199187,5.09026,1.32571,0.261761,0,4.9801,1.86,0.702515,4.60596,1.67881,0.855714,0,4.14866,1.86,-0.0887572,4.40086,1.91331,-0.0137414,0,5.84467,1.86,0.0683487,5.07563,1.32494,0.0586798,0,5.8975,1.86,0.366505,5.11815,1.29886,0.526195,0,5.50879,1.86,0.0401895,4.86227,1.48563,0.0403003,0,6.16,1.59927,0.210315,5.49719,0.850734,0.280069,0,6.16,1.64846,0.0432157,5.57586,1.00717,0.0210097,0,5.2271,1.86,0.288249,4.76458,1.6181,0.370793,0,4.71482,1.86,0.495631,4.4702,1.744,0.590003,0,4.83147,1.86,-0.0446392,4.55018,1.72477,-0.0184958,0,6.16,1.50782,0.120024,5.54139,0.752227,0.137461,0,4.94163,1.86,1.02143,4.61254,1.69964,1.21576,0,6.039,1.86,0.686254,5.27931,1.25327,1.05452,0,
0.0333341,7.35113,2.83258,0.191985,7.41766,2.83099,0.251289,6.15424,1.86,0.447973,5.36965,1.17434,0.689553,0,6.16,1.48911,0.607573,5.54013,0.727282,0.904156,0,6.16,1.8295,0.584265,5.42291,1.15989,0.907099,0,6.16,1.85404,0.293845,5.44691,1.22045,0.420134,0,5.80435,1.86,0.73706,5.03624,1.34334,1.09254,0,5.94803,1.86,0.502565,5.18619,1.28789,0.744666,0,6.16,1.43413,-0.0217298,5.62909,0.740398,-0.066295,0,5.58881,1.86,0.261693,4.9439,1.47451,0.348314,0,6.13541,1.86,0.133623,5.4193,1.23929,0.157513,0,6.16,1.66614,0.597729,5.4865,0.955719,0.910707,0,4.41055,1.86,1.05694,4.49617,1.87762,1.11046,0,5.47768,1.86,0.660307,4.90303,1.53744,0.878816,0,6.16,1.49452,0.451783,5.54035,0.733292,0.660244,0,5.57883,1.86,0.435389,4.95522,1.49112,0.588751,0,5.39172,1.86,0.826403,4.82639,1.55405,1.09257,0,6.16,1.41938,0.237012,5.63707,0.731397,0.319506,0,6.16,1.63032,0.327187,5.47319,0.880867,0.472923,0,6.16,1.7238,0.144829,5.46272,1.02044,0.175979,0,5.85332,1.86,0.199187,5.15583,1.36881,0.263407,0,4.9801,1.86,0.702515,4.61093,1.69028,0.853853,0,4.14866,1.86,-0.0887572,4.39466,1.92342,-0.0147676,0,5.84467,1.86,0.0683487,5.14624,1.36987,0.0650468,0,5.8975,1.86,0.366505,5.16912,1.33493,0.52166,0,5.50879,1.86,0.0401895,4.90315,1.51129,0.0470145,0,6.16,1.59927,0.210315,5.54376,0.900635,0.281678,0,6.16,1.64846,0.0432157,5.62036,1.05379,0.0295976,0,5.2271,1.86,0.288249,4.76764,1.63277,0.377341,0,4.71482,1.86,0.495631,4.46726,1.75373,0.592681,0,4.83147,1.86,-0.0446392,4.55474,1.73589,-0.0164176,0,6.16,1.50782,0.120024,5.58264,0.799884,0.140515,0,4.94163,1.86,1.02143,4.61669,1.71,1.21479,0,6.039,1.86,0.686254,5.34173,1.29892,1.03156,0,
0.0666681,7.33739,2.85469,0.192339,7.41269,2.83975,0.251684,6.15424,1.86,0.447973,5.42183,1.2138,0.679364,0,6.16,1.48911,0.607573,5.56209,0.75287,0.898293,0,6.16,1.8295,0.584265,5.46666,1.19461,0.8939,0,6.16,1.85404,0.293845,5.49146,1.25536,0.417496,0,5.80435,1.86,0.73706,5.06376,1.36147,1.08253,0,5.94803,1.86,0.502565,5.23155,1.31902,0.736783,0,6.16,1.43413,-0.0217298,5.65948,0.775901,-0.0605214,0,5.58881,1.86,0.261693,4.96746,1.48946,0.349912,0,6.13541,1.86,0.133623,5.47047,1.27793,0.160661,0,6.16,1.66614,0.597729,5.51124,0.979942,0.902983,0,4.41055,1.86,1.05694,4.4832,1.88269,1.11505,0,5.47768,1.86,0.660307,4.91088,1.54548,0.878089,0,6.16,1.49452,0.451783,5.56524,0.762039,0.657027,0,5.57883,1.86,0.435389,4.97265,1.50299,0.587362,0,5.39172,1.86,0.826403,4.84204,1.56414,1.08739,0,6.16,1.41938,0.237012,5.65967,0.759274,0.317632,0,6.16,1.63032,0.327187,5.50369,0.911452,0.471079,0,6.16,1.7238,0.144829,5.50053,1.05477,0.178125,0,5.85332,1.86,0.199187,5.19787,1.39565,0.264112,0,4.9801,1.86,0.702515,4.60623,1.69601,0.856493,0,4.14866,1.86,-0.0887572,4.37684,1.93056,-0.0149387,0,5.84467,1.86,0.0683487,5.2002,1.40247,0.07032,0,5.8975,1.86,0.366505,5.20682,1.35961,0.518091,0,5.50879,1.86,0.0401895,4.93064,1.52753,0.0525771,0,6.16,1.59927,0.210315,5.57369,0.931724,0.282459,0,6.16,1.64846,0.0432157,5.65345,1.08546,0.0338072,0,5.2271,1.86,0.288249,4.77002,1.63828,0.377162,0,4.71482,1.86,0.495631,4.45944,1.75934,0.595885,0,4.83147,1.86,-0.0446392,4.5645,1.74343,-0.0184383,0,6.16,1.50782,0.120024,5.60017,0.822654,0.142199,0,4.94163,1.86,1.02143,4.61141,1.716,1.21862,0,6.039,1.86,0.686254,5.37917,1.3261,1.01806,0,
0.100002,7.33739,2.85469,0.192339,7.39954,2.86214,0.252701,6.15424,1.86,0.447973,5.52485,1.27062,0.659369,0,6.16,1.48911,0.607573,5.62652,0.792814,0.878889,0,6.16,1.8295,0.584265,5.55955,1.24608,0.867373,0,6.16,1.85404,0.293845,5.59005,1.31069,0.409409,0,5.80435,1.86,0.73706,5.12312,1.37543,1.06518,0,5.94803,1.86,0.502565,5.30568,1.34737,0.723846,0,6.16,1.43413,-0.0217298,5.71293,0.809966,-0.0557548,0,5.58881,1.86,0.261693,5.03151,1.50162,0.348632,0,6.13541,1.86,0.133623,5.56415,1.32863,0.16323,0,6.16,1.66614,0.597729,5.58274,1.02064,0.88396,0,4.41055,1.86,1.05694,4.49667,1.86658,1.11372,0,5.47768,1.86,0.660307,4.96504,1.55005,0.864319,0,6.16,1.49452,0.451783,5.63965,0.811483,0.642698,0,5.57883,1.86,0.435389,5.02884,1.51124,0.579808,0,5.39172,1.86,0.826403,4.88916,1.56659,1.08069,0,6.16,1.41938,0.237012,5.71768,0.797287,0.313577,0,6.16,1.63032,0.327187,5.58251,0.960227,0.46106,0,6.16,1.7238,0.144829,5.58989,1.10919,0.179729,0,5.85332,1.86,0.199187,5.28909,1.43041,0.264674,0,4.9801,1.86,0.702515,4.64118,1.68733,0.852619,0,4.14866,1.86,-0.0887572,4.38355,1.91238,-0.0119862,0,5.84467,1.86,0.0683487,5.27128,1.42729,0.0770358,0,5.8975,1.86,0.366505,5.29776,1.39511,0.508887,0,5.50879,1.86,0.0401895,4.99624,1.53899,0.057281,0,6.16,1.59927,0.210315,5.63851,0.971059,0.280072,0,6.16,1.64846,0.0432157,5.71582,1.12341,0.0392755,0,5.2271,1.86,0.288249,4.80684,1.63363,0.375737,0,4.71482,1.86,0.495631,4.51655,1.75193,0.590168,0,4.83147,1.86,-0.0446392,4.58264,1.7327,-0.0106529,0,6.16,1.50782,0.120024,5.66336,0.862107,0.147599,0,4.94163,1.86,1.02143,4.63255,1.70371,1.21354,0,6.039,1.86,0.686254,5.45923,1.36154,0.993165,0,
0.133336,7.3233,2.87669,0.19273,7.39195,2.87445,0.253268,6.15424,1.86,0.447973,5.60674,1.32958,0.642031,0,6.16,1.48911,0.607573,5.67555,0.838985,0.865035,0,6.16,1.8295,0.584265,5.629,1.29743,0.845533,0,6.16,1.85404,0.293845,5.67332,1.37144,0.402862,0,5.80435,1.86,0.73706,5.1798,1.40387,1.04585,0,5.94803,1.86,0.502565,5.39252,1.39817,0.703838,0,6.16,1.43413,-0.0217298,5.7757,0.87113,-0.0447156,0,5.58881,1.86,0.261693,5.09326,1.52897,0.345535,0,6.13541,1.86,0.133623,5.65673,1.39407,0.16835,0,6.16,1.66614,0.597729,5.64452,1.07195,0.863729,0,4.41055,1.86,1.05694,4.21472,1.76865,1.19268,0,5.47768,1.86,0.660307,5.01775,1.57121,0.854806,0,6.16,1.49452,0.451783,5.6968,0.866201,0.632305,0,5.57883,1.86,0.435389,5.08224,1.53436,0.573505,0,5.39172,1.86,0.826403,4.92367,1.57904,1.06883,0,6.16,1.41938,0.237012,5.76767,0.846876,0.311585,0,6.16,1.63032,0.327187,5.64476,1.01434,0.456684,0,6.16,1.7238,0.144829,5.6594,1.166,0.182936,0,5.85332,1.86,0.199187,5.36385,1.47231,0.2631,0,4.9801,1.86,0.702515,4.66285,1.6937,0.849014,0,4.14866,1.86,-0.0887572,4.07875,1.81117,-0.040379,0,5.84467,1.86,0.0683487,5.33482,1.46189,0.0811406,0,5.8975,1.86,0.366505,5.3887,1.44735,0.498876,0,5.50879,1.86,0.0401895,5.10358,1.58442,0.0636536,0,6.16,1.59927,0.210315,5.70281,1.02765,0.280222,0,6.16,1.64846,0.0432157,5.78353,1.18116,0.0469916,0,5.2271,1.86,0.288249,4.84861,1.64705,0.373805,0,4.71482,1.86,0.495631,4.72927,1.83346,0.563947,0,4.83147,1.86,-0.0446392,4.61523,1.73942,-0.010283,0,6.16,1.50782,0.120024,5.7179,0.913212,0.150355,0,4.94163,1.86,1.02143,4.72158,1.7358,1.18522,0,6.039,1.86,0.686254,5.56244,1.42717,0.959106,0,
0.16667,7.3233,2.87669,0.19273,7.386,2.88446,0.253724,6.15424,1.86,0.447973,5.67697,1.38466,0.626602,0,6.16,1.48911,0.607573,5.72099,0.887783,0.847643,0,6.16,1.8295,0.584265,5.69685,1.35175,0.822458,0,6.16,1.85404,0.293845,5.73871,1.42381,0.396559,0,5.80435,1.86,0.73706,5.2326,1.43555,1.02627,0,5.94803,1.86,0.502565,5.46557,1.44707,0.685989,0,6.16,1.43413,-0.0217298,5.82784,0.929855,-0.0369594,0,5.58881,1.86,0.261693,5.14333,1.55631,0.34427,0,6.13541,1.86,0.133623,5.72297,1.44619,0.170618,0,6.16,1.66614,0.597729,5.69312,1.11794,0.84694,0,4.41055,1.86,1.05694,4.28459,1.79377,1.17249,0,5.47768,1.86,0.660307,5.04848,1.58885,0.845439,0,6.16,1.49452,0.451783,5.74532,0.918555,0.622123,0,5.57883,1.86,0.435389,5.13038,1.56016,0.566234,0,5.39172,1.86,0.826403,4.96586,1.59886,1.05528,0,6.16,1.41938,0.237012,5.7789,0.866206,0.314159,0,6.16,1.63032,0.327187,5.69814,1.06622,0.449405,0,6.16,1.7238,0.144829,5.71768,1.21852,0.1842,0,5.85332,1.86,0.199187,5.46784,1.53571,0.257779,0,4.9801,1.86,0.702515,4.87898,1.78519,0.798776,0,4.14866,1.86,-0.0887572,4.08629,1.81677,-0.0372129,0,5.84467,1.86,0.0683487,5.38936,1.4963,0.0843613,0,5.8975,1.86,0.366505,5.47304,1.50119,0.489739,0,5.50879,1.86,0.0401895,5.17016,1.61955,0.0699117,0,6.16,1.59927,0.210315,5.74403,1.07038,0.279072,0,6.16,1.64846,0.0432157,5.83351,1.22977,0.0532655,0,5.2271,1.86,0.288249,4.89852,1.66875,0.369062,0,4.71482,1.86,0.495631,4.70746,1.82772,0.565914,0,4.83147,1.86,-0.0446392,4.69803,1.7764,5.56707e-05,0,6.16,1.50782,0.120024,5.75868,0.957744,0.153077,0,4.94163,1.86,1.02143,4.65221,1.71136,1.20709,0,6.039,1.86,0.686254,5.62307,1.4718,0.935439,0,
0.200004,7.30896,2.8985,0.193148,7.3782,2.89676,0.254295,6.15424,1.86,0.447973,5.76033,1.44642,0.610104,0,6.16,1.48911,0.607573,5.78643,0.951333,0.827168,0,6.16,1.8295,0.584265,5.77536,1.41157,0.798022,0,6.16,1.85404,0.293845,5.81015,1.47756,0.391005,0,5.80435,1.86,0.73706,5.31019,1.47645,1.00238,0,5.94803,1.86,0.502565,5.56615,1.50993,0.661589,0,6.16,1.43413,-0.0217298,5.87678,0.980857,-0.0279651,0,5.58881,1.86,0.261693,5.20963,1.5868,0.343034,0,6.13541,1.86,0.133623,5.79811,1.50131,0.174298,0,6.16,1.66614,0.597729,5.77044,1.18414,0.821808,0,4.41055,1.86,1.05694,4.28656,1.787,1.17731,0,5.47768,1.86,0.660307,5.11609,1.616,0.831219,0,6.16,1.49452,0.451783,5.81331,0.985447,0.606709,0,5.57883,1.86,0.435389,5.19721,1.59036,0.559049,0,5.39172,1.86,0.826403,5.02921,1.62314,1.03624,0,6.16,1.41938,0.237012,5.81432,0.900088,0.310164,0,6.16,1.63032,0.327187,5.77045,1.13078,0.441783,0,6.16,1.7238,0.144829,5.78757,1.27704,0.186889,0,5.85332,1.86,0.199187,5.54118,1.58001,0.256787,0,4.9801,1.86,0.702515,4.89007,1.78267,0.797783,0,4.14866,1.86,-0.0887572,4.0863,1.81033,-0.0340267,0,5.84467,1.86,0.0683487,5.47671,1.54547,0.092496,0,5.8975,1.86,0.366505,5.54912,1.54753,0.481152,0,5.50879,1.86,0.0401895,5.23423,1.64873,0.0760378,0,6.16,1.59927,0.210315,5.80734,1.12772,0.277822,0,6.16,1.64846,0.0432157,5.88473,1.27561,0.0599964,0,5.2271,1.86,0.288249,4.95751,1.68986,0.367284,0,4.71482,1.86,0.495631,4.72253,1.8282,0.567316,0,4.83147,1.86,-0.0446392,4.71092,1.77506,0.00282812,0,6.16,1.50782,0.120024,5.81249,1.00974,0.154813,0,4.94163,1.86,1.02143,4.66508,1.70887,1.20482,0,6.039,1.86,0.686254,5.71454,1.53246,0.903024,0,
0.233338,7.30896,2.8985,0.193148,7.37213,2.90666,0.25475,6.15424,1.86,0.447973,5.7799,1.46717,0.609438,0,6.16,1.48911,0.607573,5.78608,0.961078,0.829149,0,6.16,1.8295,0.584265,5.79001,1.429,0.794795,0,6.16,1.85404,0.293845,5.81764,1.48942,0.392559,0,5.80435,1.86,0.73706,5.34075,1.49893,0.99533,0,5.94803,1.86,0.502565,5.5782,1.52513,0.664289,0,6.16,1.43413,-0.0217298,5.89112,1.00267,-0.0207206,0,5.58881,1.86,0.261693,5.21556,1.59621,0.342371,0,6.13541,1.86,0.133623,5.81646,1.52046,0.17927,0,6.16,1.66614,0.597729,5.79881,1.21491,0.811296,0,4.41055,1.86,1.05694,4.31821,1.81261,1.16928,0,5.47768,1.86,0.660307,5.11451,1.62317,0.831048,0,6.16,1.49452,0.451783,5.82541,1.00555,0.607468,0,5.57883,1.86,0.435389,5.20981,1.60226,0.557494,0,5.39172,1.86,0.826403,5.01904,1.63023,1.04305,0,6.16,1.41938,0.237012,5.81807,0.910851,0.312984,0,6.16,1.63032,0.327187,5.78952,1.15523,0.444181,0,6.16,1.7238,0.144829,5.79975,1.29456,0.192679,0,5.85332,1.86,0.199187,5.5487,1.59053,0.259651,0,4.9801,1.86,0.702515,4.90509,1.80261,0.797013,0,4.14866,1.86,-0.0887572,4.1212,1.83913,-0.0297915,0,5.84467,1.86,0.0683487,5.5008,1.56505,0.0964653,0,5.8975,1.86,0.366505,5.54369,1.5525,0.483699,0,5.50879,1.86,0.0401895,5.25974,1.66537,0.0815663,0,6.16,1.59927,0.210315,5.81639,1.14353,0.281227,0,6.16,1.64846,0.0432157,5.8944,1.29011,0.0639204,0,5.2271,1.86,0.288249,4.9623,1.69868,0.370097,0,4.71482,1.86,0.495631,4.74355,1.84579,0.567059,0,4.83147,1.86,-0.0446392,4.73047,1.79074,0.00321954,0,6.16,1.50782,0.120024,5.83018,1.03322,0.156569,0,4.94163,1.86,1.02143,4.68194,1.72559,1.20173,0,6.039,1.86,0.686254,5.73187,1.55044,0.898428,0,
0.266672,7.29425,2.91946,0.19359,7.35787,2.92807,0.255758,6.15424,1.86,0.447973,5.82516,1.49327,0.603671,0,6.16,1.48911,0.607573,5.83713,0.995632,0.81796,0,6.16,1.8295,0.584265,5.84348,1.46163,0.783119,0,6.16,1.85404,0.293845,5.8604,1.5138,0.392579,0,5.80435,1.86,0.73706,5.41035,1.52775,0.97858,0,5.94803,1.86,0.502565,5.63885,1.55355,0.653584,0,6.16,1.43413,-0.0217298,5.92738,1.02788,-0.0145614,0,5.58881,1.86,0.261693,5.24851,1.60118,0.346175,0,6.13541,1.86,0.133623,5.85776,1.54405,0.183045,0,6.16,1.66614,0.597729,5.84488,1.24619,0.803473,0,4.41055,1.86,1.05694,4.32186,1.79613,1.16866,0,5.47768,1.86,0.660307,5.15059,1.62807,0.831282,0,6.16,1.49452,0.451783,5.86344,1.03055,0.604317,0,5.57883,1.86,0.435389,5.25685,1.61464,0.559114,0,5.39172,1.86,0.826403,5.05184,1.62986,1.03899,0,6.16,1.41938,0.237012,5.85557,0.934106,0.312379,0,6.16,1.63032,0.327187,5.83481,1.18495,0.438164,0,6.16,1.7238,0.144829,5.84157,1.32007,0.195909,0,5.85332,1.86,0.199187,5.59849,1.61175,0.265884,0,4.9801,1.86,0.702515,4.90631,1.78953,0.803801,0,4.14866,1.86,-0.0887572,4.12565,1.8194,-0.0249628,0,5.84467,1.86,0.0683487,5.5374,1.5786,0.103378,0,5.8975,1.86,0.366505,5.59435,1.57264,0.482201,0,5.50879,1.86,0.0401895,5.29251,1.67225,0.0890663,0,6.16,1.59927,0.210315,5.86012,1.17249,0.283593,0,6.16,1.64846,0.0432157,5.9262,1.30948,0.0686744,0,5.2271,1.86,0.288249,4.99386,1.69914,0.375016,0,4.71482,1.86,0.495631,4.74565,1.83306,0.572708,0,4.83147,1.86,-0.0446392,4.73182,1.77477,0.00683969,0,6.16,1.50782,0.120024,5.86271,1.05364,0.160726,0,4.94163,1.86,1.02143,4.68618,1.7086,1.2067,0,6.039,1.86,0.686254,5.77592,1.57283,0.887194,0,
0.300007,7.29425,2.91946,0.19359,7.34967,2.93985,0.25632,6.15424,1.86,0.447973,5.83766,1.5045,0.598355,0,6.16,1.48911,0.607573,5.83082,0.995047,0.817429,0,6.16,1.8295,0.584265,5.8497,1.46949,0.7772,0,6.16,1.85404,0.293845,5.87045,1.52334,0.388811,0,5.80435,1.86,0.73706,5.41989,1.53595,0.970593,0,5.94803,1.86,0.502565,5.63767,1.55665,0.652285,0,6.16,1.43413,-0.0217298,5.93385,1.03663,-0.0144053,0,5.58881,1.86,0.261693,5.25401,1.60538,0.341663,0,6.13541,1.86,0.133623,5.86976,1.55466,0.181146,0,6.16,1.66614,0.597729,5.86227,1.26409,0.791278,0,4.41055,1.86,1.05694,4.29398,1.79322,1.17084,0,5.47768,1.86,0.660307,5.15069,1.63015,0.823991,0,6.16,1.49452,0.451783,5.8649,1.03501,0.600595,0,5.57883,1.86,0.435389,5.2444,1.61318,0.557055,0,5.39172,1.86,0.826403,5.05041,1.6323,1.03027,0,6.16,1.41938,0.237012,5.86531,0.945925,0.31117,0,6.16,1.63032,0.327187,5.84434,1.19652,0.434094,0,6.16,1.7238,0.144829,5.84844,1.32803,0.194242,0,5.85332,1.86,0.199187,5.61234,1.62148,0.261881,0,4.9801,1.86,0.702515,4.8918,1.78612,0.801945,0,4.14866,1.86,-0.0887572,4.09667,1.81334,-0.0332369,0,5.84467,1.86,0.0683487,5.5317,1.57826,0.100441,0,5.8975,1.86,0.366505,5.59121,1.57437,0.477991,0,5.50879,1.86,0.0401895,5.29491,1.67486,0.086731,0,6.16,1.59927,0.210315,5.85683,1.17325,0.281782,0,6.16,1.64846,0.0432157,5.93572,1.31942,0.0676481,0,5.2271,1.86,0.288249,4.99137,1.70016,0.371333,0,4.71482,1.86,0.495631,4.72622,1.82934,0.5709,0,4.83147,1.86,-0.0446392,4.71668,1.76971,0.00450271,0,6.16,1.50782,0.120024,5.86869,1.06127,0.159503,0,4.94163,1.86,1.02143,4.66938,1.70616,1.20703,0,6.039,1.86,0.686254,5.77098,1.57298,0.885467,0,
