time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,
0,-7.55919,1.43473,0.346377,-7.30252,1.12738,0.502722,-6.16,1.20108,0.66894,-4.49068,0.657846,1.15095,0,-6.16,1.31017,0.581811,-4.66801,0.892846,0.946016,0,-6.16,1.24235,0.454158,-4.609,0.757047,0.710206,0,-6.16,1.30984,0.684569,-4.71458,0.896392,1.12824,0,-6.16,1.06502,0.56814,-4.65129,0.426842,0.922926,0,-6.16,0.721072,0.621868,-4.73489,-0.182239,1.00827,0,-6.16,1.16895,0.347603,-4.67193,0.627696,0.505026,0,-6.16,0.923516,0.487573,-4.74161,0.19172,0.76115,0,-6.16,0.922153,0.738075,-4.7953,0.208895,1.20461,0,-6.16,1.33544,0.231809,-4.57521,0.933854,0.279404,0,-6.16,0.876639,0.374795,-4.68076,0.0816497,0.555971,0,-6.16,1.53002,0.677556,-4.75918,1.30059,1.10471,0,-6.16,0.654579,0.714233,-4.80961,-0.262594,1.15812,0,-6.16,0.766926,0.221133,-4.76698,-0.0827731,0.27576,0,-6.16,0.959646,0.232388,-4.65506,0.228462,0.287039,0,-6.16,1.63227,0.722812,-4.64469,1.50262,1.21778,0,-6.16,1.7313,0.339447,-4.5071,1.71991,0.488876,0,-6.16,1.09841,0.474255,-4.59943,0.477657,0.749769,0,-6.16,1.03496,0.147335,-4.69691,0.382928,0.13206,0,-6.16,0.724429,0.327347,-4.71884,-0.184223,0.467581,0,-6.16,1.05573,0.366663,-4.52337,0.37459,0.543015,0,-6.16,0.954574,0.64285,-4.66389,0.221894,1.06182,0,-6.16,0.844049,0.661388,-4.68959,0.0243114,1.09099,0,-6.16,0.737983,0.448485,-4.75114,-0.143111,0.688912,0,-6.16,1.1665,0.575938,-4.59455,0.608265,0.94701,0,
0.033334,-7.55919,1.43473,0.346377,-7.30408,1.08135,0.501229,-6.16,1.20108,0.66894,-4.6116,0.681727,1.12244,0,-6.16,1.31017,0.581811,-4.84256,0.910121,0.916498,0,-6.16,1.24235,0.454158,-4.76633,0.780985,0.69702,0,-6.16,1.30984,0.684569,-4.82691,0.904206,1.10168,0,-6.16,1.06502,0.56814,-4.77922,0.463008,0.90148,0,-6.16,0.721072,0.621868,-4.80773,-0.140767,0.989908,0,-6.16,1.16895,0.347603,-4.81211,0.655567,0.504851,0,-6.16,0.923516,0.487573,-4.85995,0.239078,0.750576,0,-6.16,0.922153,0.738075,-4.87804,0.238214,1.18232,0,-6.16,1.33544,0.231809,-4.76456,0.952009,0.295124,0,-6.16,0.876639,0.374795,-4.78114,0.124912,0.549877,0,-6.16,1.53002,0.677556,-4.91873,1.28893,1.06918,0,-6.16,0.654579,0.714233,-4.90775,-0.199795,1.12979,0,-6.16,0.766926,0.221133,-4.9049,-0.00713456,0.288698,0,-6.16,0.959646,0.232388,-4.80084,0.283967,0.299088,0,-6.16,1.63227,0.722812,-4.77152,1.4839,1.19167,0,-6.16,1.7313,0.339447,-4.65903,1.6914,0.490932,0,-6.16,1.09841,0.474255,-4.71999,0.509194,0.733047,0,-6.16,1.03496,0.147335,-4.83544,0.425472,0.149758,0,-6.16,0.724429,0.327347,-4.82301,-0.123552,0.467182,0,-6.16,1.05573,0.366663,-4.63233,0.406642,0.538888,0,-6.16,0.954574,0.64285,-4.76987,0.260827,1.03877,0,-6.16,0.844049,0.661388,-4.75682,0.0534495,1.06778,0,-6.16,0.737983,0.448485,-4.84957,-0.0879431,0.679957,0,-6.16,1.1665,0.575938,-4.72298,0.634374,0.924421,0,
0.0666681,-7.56161,1.40848,0.345711,-7.30475,1.05465,0.500358,-6.16,1.20108,0.66894,-4.8652,0.73515,1.06678,0,-6.16,1.31017,0.581811,-5.00686,0.928384,0.888893,0,-6.16,1.24235,0.454158,-4.96375,0.814277,0.679445,0,-6.16,1.30984,0.684569,-4.99732,0.92569,1.06133,0,-6.16,1.06502,0.56814,-4.95644,0.516784,0.876349,0,-6.16,0.721072,0.621868,-4.92007,-0.0742863,0.969205,0,-6.16,1.16895,0.347603,-4.95834,0.687642,0.504892,0,-6.16,0.923516,0.487573,-4.97563,0.286047,0.736204,0,-6.16,0.922153,0.738075,-5.00677,0.292501,1.14738,0,-6.16,1.33544,0.231809,-4.9612,0.970856,0.311412,0,-6.16,0.876639,0.374795,-4.9205,0.188381,0.550874,0,-6.16,1.53002,0.677556,-5.09082,1.28144,1.02855,0,-6.16,0.654579,0.714233,-5.06723,-0.100087,1.09093,0,-6.16,0.766926,0.221133,-5.036,0.0615955,0.301619,0,-6.16,0.959646,0.232388,-4.97745,0.350843,0.318075,0,-6.16,1.63227,0.722812,-4.93682,1.46755,1.14634,0,-6.16,1.7313,0.339447,-4.85341,1.6584,0.49154,0,-6.16,1.09841,0.474255,-4.873,0.55247,0.720305,0,-6.16,1.03496,0.147335,-4.99724,0.477739,0.175019,0,-6.16,0.724429,0.327347,-4.94988,-0.0507983,0.472669,0,-6.16,1.05573,0.366663,-4.79226,0.458215,0.538739,0,-6.16,0.954574,0.64285,-4.91529,0.318191,1.0094,0,-6.16,0.844049,0.661388,-4.86471,0.107225,1.0452,0,-6.16,0.737983,0.448485,-4.97625,-0.0168425,0.674123,0,-6.16,1.1665,0.575938,-4.92747,0.681309,0.895496,0,
0.100002,-7.56161,1.40848,0.345711,-7.30503,1.03976,0.49987,-6.16,1.20108,0.66894,-5.0504,0.770788,1.02062,0,-6.16,1.31017,0.581811,-5.15487,0.946295,0.864119,0,-6.16,1.24235,0.454158,-5.1588,0.846356,0.666354,0,-6.16,1.30984,0.684569,-5.18039,0.948189,1.0145,0,-6.16,1.06502,0.56814,-5.11367,0.563981,0.849284,0,-6.16,0.721072,0.621868,-5.06398,0.00906122,0.937232,0,-6.16,1.16895,0.347603,-5.12144,0.724717,0.504947,0,-6.16,0.923516,0.487573,-5.12582,0.348559,0.721524,0,-6.16,0.922153,0.738075,-5.11988,0.339568,1.11652,0,-6.16,1.33544,0.231809,-5.13315,0.987555,0.326434,0,-6.16,0.876639,0.374795,-5.04699,0.24516,0.546884,0,-6.16,1.53002,0.677556,-5.22519,1.27627,0.997429,0,-6.16,0.654579,0.714233,-5.18524,-0.0282522,1.05925,0,-6.16,0.766926,0.221133,-5.12034,0.105575,0.308972,0,-6.16,0.959646,0.232388,-5.07565,0.386927,0.322119,0,-6.16,1.63227,0.722812,-5.08491,1.45242,1.10696,0,-6.16,1.7313,0.339447,-5.03161,1.62674,0.494312,0,-6.16,1.09841,0.474255,-5.05977,0.604644,0.70486,0,-6.16,1.03496,0.147335,-5.14702,0.525985,0.19733,0,-6.16,0.724429,0.327347,-5.06172,0.012627,0.472692,0,-6.16,1.05573,0.366663,-4.96837,0.513398,0.535107,0,-6.16,0.954574,0.64285,-5.0535,0.372209,0.979414,0,-6.16,0.844049,0.661388,-5.0525,0.197268,1.00671,0,-6.16,0.737983,0.448485,-5.08748,0.0450928,0.664514,0,-6.16,1.1665,0.575938,-5.08951,0.717413,0.864419,0,
0.133336,-7.56411,1.38173,0.344984,-7.30547,1.02706,0.499458,-6.16,1.20108,0.66894,-5.12181,0.78285,1.00588,0,-6.16,1.31017,0.581811,-5.22487,0.953585,0.853151,0,-6.16,1.24235,0.454158,-5.2371,0.857234,0.661826,0,-6.16,1.30984,0.684569,-5.25863,0.95589,0.994632,0,-6.16,1.06502,0.56814,-5.19958,0.587537,0.84102,0,-6.16,0.721072,0.621868,-5.1354,0.0473197,0.924555,0,-6.16,1.16895,0.347603,-5.21165,0.743254,0.507863,0,-6.16,0.923516,0.487573,-5.19869,0.376286,0.716432,0,-6.16,0.922153,0.738075,-5.18726,0.365576,1.10236,0,-6.16,1.33544,0.231809,-5.22497,0.995361,0.334707,0,-6.16,0.876639,0.374795,-5.12058,0.276679,0.547976,0,-6.16,1.53002,0.677556,-5.31618,1.27261,0.973947,0,-6.16,0.654579,0.714233,-5.2402,0.00311267,1.04753,0,-6.16,0.766926,0.221133,-5.16224,0.126856,0.314494,0,-6.16,0.959646,0.232388,-5.1096,0.398422,0.326862,0,-6.16,1.63227,0.722812,-5.15753,1.44379,1.08857,0,-6.16,1.7313,0.339447,-5.12018,1.60932,0.497035,0,-6.16,1.09841,0.474255,-5.13409,0.622699,0.700018,0,-6.16,1.03496,0.147335,-5.20878,0.544123,0.207558,0,-6.16,0.724429,0.327347,-5.12011,0.0440745,0.475188,0,-6.16,1.05573,0.366663,-5.05942,0.539758,0.534768,0,-6.16,0.954574,0.64285,-5.14249,0.404087,0.967155,0,-6.16,0.844049,0.661388,-5.12362,0.228024,0.989136,0,-6.16,0.737983,0.448485,-5.14543,0.07583,0.660508,0,-6.16,1.1665,0.575938,-5.16972,0.734044,0.852979,0,
0.16667,-7.56608,1.3556,0.34433,-7.30579,1.01175,0.498957,-6.16,1.20108,0.66894,-5.18139,0.792875,0.998518,0,-6.16,1.31017,0.581811,-5.27837,0.95868,0.848252,0,-6.16,1.24235,0.454158,-5.2971,0.864958,0.663367,0,-6.16,1.30984,0.684569,-5.31741,0.961597,0.984758,0,-6.16,1.06502,0.56814,-5.24254,0.598906,0.834965,0,-6.16,0.721072,0.621868,-5.21171,0.0892287,0.91442,0,-6.16,1.16895,0.347603,-5.29154,0.759157,0.512074,0,-6.16,0.923516,0.487573,-5.29813,0.41279,0.716531,0,-6.16,0.922153,0.738075,-5.28092,0.401609,1.08333,0,-6.16,1.33544,0.231809,-5.29971,1.00081,0.345849,0,-6.16,0.876639,0.374795,-5.19251,0.306861,0.552701,0,-6.16,1.53002,0.677556,-5.38879,1.26835,0.960822,0,-6.16,0.654579,0.714233,-5.28894,0.0304239,1.04124,0,-6.16,0.766926,0.221133,-5.21285,0.153399,0.324695,0,-6.16,0.959646,0.232388,-5.15582,0.415838,0.336912,0,-6.16,1.63227,0.722812,-5.22009,1.43614,1.07667,0,-6.16,1.7313,0.339447,-5.18317,1.5964,0.501771,0,-6.16,1.09841,0.474255,-5.22201,0.645,0.698834,0,-6.16,1.03496,0.147335,-5.25746,0.558535,0.219685,0,-6.16,0.724429,0.327347,-5.17823,0.0741746,0.484878,0,-6.16,1.05573,0.366663,-5.14145,0.563067,0.539926,0,-6.16,0.954574,0.64285,-5.23021,0.43472,0.955385,0,-6.16,0.844049,0.661388,-5.20481,0.264652,0.97715,0,-6.16,0.737983,0.448485,-5.20623,0.108157,0.662256,0,-6.16,1.1665,0.575938,-5.24024,0.748232,0.846619,0,
0.200004,-7.56608,1.3556,0.34433,-7.30581,1.00052,0.498586,-6.16,1.20108,0.66894,-5.25907,0.810866,0.9816,0,-6.16,1.31017,0.581811,-5.33501,0.967604,0.840814,0,-6.16,1.24235,0.454158,-5.36086,0.87769,0.659788,0,-6.16,1.30984,0.684569,-5.36739,0.969607,0.974103,0,-6.16,1.06502,0.56814,-5.30747,0.621264,0.825053,0,-6.16,0.721072,0.621868,-5.26006,0.117685,0.905037,0,-6.16,1.16895,0.347603,-5.38507,0.781182,0.507282,0,-6.16,0.923516,0.487573,-5.36531,0.441498,0.70803,0,-6.16,0.922153,0.738075,-5.32722,0.421358,1.07104,0,-6.16,1.33544,0.231809,-5.36976,1.00918,0.352871,0,-6.16,0.876639,0.374795,-5.25333,0.33569,0.551417,0,-6.16,1.53002,0.677556,-5.43659,1.26789,0.951464,0,-6.16,0.654579,0.714233,-5.32029,0.0526868,1.0309,0,-6.16,0.766926,0.221133,-5.30128,0.202718,0.33242,0,-6.16,0.959646,0.232388,-5.20779,0.437828,0.344627,0,-6.16,1.63227,0.722812,-5.28466,1.43184,1.05934,0,-6.16,1.7313,0.339447,-5.30492,1.57652,0.503584,0,-6.16,1.09841,0.474255,-5.28938,0.665319,0.689197,0,-6.16,1.03496,0.147335,-5.32011,0.581407,0.229284,0,-6.16,0.724429,0.327347,-5.23887,0.111065,0.485603,0,-6.16,1.05573,0.366663,-5.23631,0.593457,0.540034,0,-6.16,0.954574,0.64285,-5.29867,0.462813,0.939824,0,-6.16,0.844049,0.661388,-5.25576,0.289876,0.965706,0,-6.16,0.737983,0.448485,-5.25408,0.136702,0.65801,0,-6.16,1.1665,0.575938,-5.29965,0.763388,0.837542,0,
0.233338,-7.5674,1.3465,0.343346,-7.30583,0.990815,0.498264,-6.16,1.20108,0.66894,-5.425,0.840397,0.943789,0,-6.16,1.31017,0.581811,-5.43695,0.979545,0.822742,0,-6.16,1.24235,0.454158,-5.47592,0.895788,0.648666,0,-6.16,1.30984,0.684569,-5.46764,0.981608,0.949395,0,-6.16,1.06502,0.56814,-5.4129,0.65148,0.810255,0,-6.16,0.721072,0.621868,-5.36202,0.173215,0.890022,0,-6.16,1.16895,0.347603,-5.47893,0.800086,0.507132,0,-6.16,0.923516,0.487573,-5.45248,0.475396,0.700997,0,-6.16,0.922153,0.738075,-5.42072,0.459596,1.04586,0,-6.16,1.33544,0.231809,-5.44907,1.01656,0.358435,0,-6.16,0.876639,0.374795,-5.35083,0.37765,0.551416,0,-6.16,1.53002,0.677556,-5.49868,1.26624,0.936387,0,-6.16,0.654579,0.714233,-5.39116,0.0966702,1.01462,0,-6.16,0.766926,0.221133,-5.3944,0.249241,0.341721,0,-6.16,0.959646,0.232388,-5.29466,0.471177,0.351313,0,-6.16,1.63227,0.722812,-5.4041,1.41838,1.02585,0,-6.16,1.7313,0.339447,-5.43761,1.54943,0.502768,0,-6.16,1.09841,0.474255,-5.44745,0.705265,0.676687,0,-6.16,1.03496,0.147335,-5.40729,0.608849,0.242059,0,-6.16,0.724429,0.327347,-5.33318,0.162688,0.488026,0,-6.16,1.05573,0.366663,-5.32872,0.620045,0.538899,0,-6.16,0.954574,0.64285,-5.40574,0.502541,0.916706,0,-6.16,0.844049,0.661388,-5.33592,0.327097,0.94981,0,-6.16,0.737983,0.448485,-5.33679,0.181936,0.652745,0,-6.16,1.1665,0.575938,-5.43309,0.791533,0.8167,0,
0.266672,-7.56927,1.32074,0.342549,-7.30599,0.964301,0.497389,-6.16,1.20108,0.66894,-5.47749,0.840046,0.931944,0,-6.16,1.31017,0.581811,-5.49592,0.977203,0.814363,0,-6.16,1.24235,0.454158,-5.57935,0.901272,0.642351,0,-6.16,1.30984,0.684569,-5.53268,0.97977,0.93513,0,-6.16,1.06502,0.56814,-5.47532,0.66078,0.801081,0,-6.16,0.721072,0.621868,-5.40746,0.190348,0.882327,0,-6.16,1.16895,0.347603,-5.53827,0.803726,0.509533,0,-6.16,0.923516,0.487573,-5.51811,0.493112,0.694205,0,-6.16,0.922153,0.738075,-5.48069,0.475397,1.02916,0,-6.16,1.33544,0.231809,-5.49071,1.01241,0.359505,0,-6.16,0.876639,0.374795,-5.41305,0.396787,0.550309,0,-6.16,1.53002,0.677556,-5.52071,1.2576,0.931962,0,-6.16,0.654579,0.714233,-5.43979,0.11941,1.00285,0,-6.16,0.766926,0.221133,-5.47217,0.280898,0.351748,0,-6.16,0.959646,0.232388,-5.35765,0.487246,0.358087,0,-6.16,1.63227,0.722812,-5.47642,1.40109,1.0065,0,-6.16,1.7313,0.339447,-5.50682,1.52701,0.503849,0,-6.16,1.09841,0.474255,-5.49076,0.706819,0.671801,0,-6.16,1.03496,0.147335,-5.46419,0.618719,0.251126,0,-6.16,0.724429,0.327347,-5.36665,0.173935,0.48894,0,-6.16,1.05573,0.366663,-5.39825,0.632691,0.538795,0,-6.16,0.954574,0.64285,-5.45176,0.511198,0.907489,0,-6.16,0.844049,0.661388,-5.39575,0.347576,0.936442,0,-6.16,0.737983,0.448485,-5.38451,0.201102,0.648763,0,-6.16,1.1665,0.575938,-5.5073,0.797222,0.806503,0,
0.300006,-7.57061,1.31049,0.341541,-7.30599,0.949053,0.496883,-6.16,1.20108,0.66894,-5.52327,0.846578,0.921168,0,-6.16,1.31017,0.581811,-5.5341,0.979089,0.809012,0,-6.16,1.24235,0.454158,-5.62609,0.904658,0.63919,0,-6.16,1.30984,0.684569,-5.57431,0.981805,0.925765,0,-6.16,1.06502,0.56814,-5.52853,0.673323,0.793449,0,-6.16,0.721072,0.621868,-5.43921,0.206386,0.875312,0,-6.16,1.16895,0.347603,-5.57989,0.809958,0.510319,0,-6.16,0.923516,0.487573,-5.54928,0.502792,0.687513,0,-6.16,0.922153,0.738075,-5.52464,0.490669,1.01568,0,-6.16,1.33544,0.231809,-5.538,1.01486,0.362043,0,-6.16,0.876639,0.374795,-5.47074,0.418888,0.548851,0,-6.16,1.53002,0.677556,-5.55196,1.25561,0.923327,0,-6.16,0.654579,0.714233,-5.46284,0.131664,0.994681,0,-6.16,0.766926,0.221133,-5.52501,0.304646,0.354347,0,-6.16,0.959646,0.232388,-5.447,0.516817,0.364004,0,-6.16,1.63227,0.722812,-5.53606,1.39131,0.989192,0,-6.16,1.7313,0.339447,-5.56137,1.51376,0.505651,0,-6.16,1.09841,0.474255,-5.56403,0.723198,0.6666,0,-6.16,1.03496,0.147335,-5.51706,0.63268,0.258985,0,-6.16,0.724429,0.327347,-5.39491,0.188396,0.489291,0,-6.16,1.05573,0.366663,-5.45008,0.645268,0.537786,0,-6.16,0.954574,0.64285,-5.49313,0.524846,0.898444,0,-6.16,0.844049,0.661388,-5.44367,0.367375,0.922824,0,-6.16,0.737983,0.448485,-5.4066,0.21043,0.649845,0,-6.16,1.1665,0.575938,-5.54963,0.803254,0.800553,0,
