time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,
0,1.58983,-3.28956,0.26167,2.40459,-3.23543,0.304257,1.66987,-1.86,0.550978,2.55994,-0.460805,0.865775,0,1.8081,-1.86,0.489341,2.81819,-0.526578,0.735669,0,1.86378,-1.86,0.146678,2.93785,-0.452749,0.0804223,0,2.19225,-1.86,0.435113,3.52641,-0.57333,0.627239,0,1.82331,-1.86,0.716981,2.85211,-0.495322,1.17698,0,1.95297,-1.86,0.389677,3.10371,-0.48324,0.550697,0,2.44347,-1.86,0.318078,3.93565,-0.671438,0.405429,0,1.69421,-1.86,0.422387,2.60766,-0.454156,0.616941,0,2.41641,-1.86,0.0827874,3.87985,-0.683979,-0.0150097,0,1.09543,-1.66098,0.11446,1.4638,-0.136463,0.0241357,0,2.40628,-1.86,0.424128,3.86331,-0.681287,0.594515,0,2.0217,-1.86,0.199638,3.20507,-0.585691,0.189278,0,2.14798,-1.86,0.694535,3.43553,-0.594954,1.10379,0,1.83222,-1.86,0.333376,2.87841,-0.440952,0.444426,0,2.026,-1.86,0.47716,3.23855,-0.502097,0.716277,0,2.25349,-1.86,0.217631,3.65912,-0.533109,0.22101,0,2.27268,-1.86,0.659031,3.61345,-0.704672,1.00771,0,1.39581,-1.86,0.713981,2.03127,-0.484745,1.17457,0,1.60526,-1.86,0.722423,2.43557,-0.364627,1.22953,0,1.47423,-1.86,0.352983,2.17762,-0.428524,0.483549,0,2.02102,-1.86,0.714479,3.18563,-0.645995,1.12446,0,
0.0333341,1.58983,-3.28956,0.26167,2.41972,-3.23693,0.303668,1.66987,-1.86,0.550978,2.54165,-0.598411,0.838126,0,1.8081,-1.86,0.489341,2.78474,-0.671167,0.711965,0,1.86378,-1.86,0.146678,2.89258,-0.618439,0.0934183,0,2.19225,-1.86,0.435113,3.459,-0.698087,0.612486,0,1.82331,-1.86,0.716981,2.82154,-0.615437,1.13972,0,1.95297,-1.86,0.389677,3.04985,-0.642028,0.537829,0,2.44347,-1.86,0.318078,3.88142,-0.743319,0.404861,0,1.69421,-1.86,0.422387,2.58578,-0.596282,0.602235,0,2.41641,-1.86,0.0827874,3.81767,-0.771247,0.00218558,0,1.09543,-1.66098,0.11446,1.47244,-0.210418,0.0294046,0,2.40628,-1.86,0.424128,3.80969,-0.757115,0.588222,0,2.0217,-1.86,0.199638,3.15978,-0.700134,0.194695,0,2.14798,-1.86,0.694535,3.38378,-0.696451,1.0703,0,1.83222,-1.86,0.333376,2.83634,-0.609412,0.43547,0,2.026,-1.86,0.47716,3.20342,-0.591378,0.701259,0,2.25349,-1.86,0.217631,3.58692,-0.656453,0.225465,0,2.27268,-1.86,0.659031,3.551,-0.811458,0.980894,0,1.39581,-1.86,0.713981,2.03774,-0.626158,1.13085,0,1.60526,-1.86,0.722423,2.42122,-0.486898,1.19021,0,1.47423,-1.86,0.352983,2.17966,-0.60008,0.472801,0,2.02102,-1.86,0.714479,3.13417,-0.773527,1.0869,0,
0.0666681,1.61702,-3.29314,0.261939,2.43185,-3.23813,0.303196,1.66987,-1.86,0.550978,2.52013,-0.745635,0.80678,0,1.8081,-1.86,0.489341,2.75137,-0.809455,0.6872,0,1.86378,-1.86,0.146678,2.85735,-0.744984,0.103242,0,2.19225,-1.86,0.435113,3.4058,-0.797365,0.601373,0,1.82331,-1.86,0.716981,2.79242,-0.722997,1.10275,0,1.95297,-1.86,0.389677,3.00759,-0.764398,0.524427,0,2.44347,-1.86,0.318078,3.83488,-0.803004,0.400049,0,1.69421,-1.86,0.422387,2.55971,-0.763183,0.578202,0,2.41641,-1.86,0.0827874,3.76865,-0.837819,0.00638798,0,1.09543,-1.66098,0.11446,1.48894,-0.311563,0.0362804,0,2.40628,-1.86,0.424128,3.7516,-0.83564,0.57776,0,2.0217,-1.86,0.199638,3.10551,-0.834268,0.199812,0,2.14798,-1.86,0.694535,3.33247,-0.795433,1.03873,0,1.83222,-1.86,0.333376,2.8036,-0.737841,0.428531,0,2.026,-1.86,0.47716,3.17096,-0.665513,0.687495,0,2.25349,-1.86,0.217631,3.51398,-0.782389,0.232238,0,2.27268,-1.86,0.659031,3.50514,-0.88623,0.959587,0,1.39581,-1.86,0.713981,2.04228,-0.743433,1.09379,0,1.60526,-1.86,0.722423,2.40504,-0.635353,1.13782,0,1.47423,-1.86,0.352983,2.17941,-0.737032,0.463949,0,2.02102,-1.86,0.714479,3.08488,-0.894519,1.04251,0,
0.100002,1.64306,-3.29634,0.262206,2.44702,-3.23964,0.302604,1.66987,-1.86,0.550978,2.51379,-0.81555,0.793601,0,1.8081,-1.86,0.489341,2.74189,-0.864312,0.680958,0,1.86378,-1.86,0.146678,2.84615,-0.79662,0.106604,0,2.19225,-1.86,0.435113,3.4043,-0.809623,0.600177,0,1.82331,-1.86,0.716981,2.7799,-0.782389,1.08659,0,1.95297,-1.86,0.389677,2.99371,-0.813968,0.520953,0,2.44347,-1.86,0.318078,3.81901,-0.827568,0.399128,0,1.69421,-1.86,0.422387,2.55091,-0.845018,0.570964,0,2.41641,-1.86,0.0827874,3.76185,-0.852948,0.0061976,0,1.09543,-1.66098,0.11446,1.49821,-0.342602,0.0421571,0,2.40628,-1.86,0.424128,3.74537,-0.850645,0.575368,0,2.0217,-1.86,0.199638,3.10274,-0.854413,0.203387,0,2.14798,-1.86,0.694535,3.30574,-0.855191,1.02409,0,1.83222,-1.86,0.333376,2.79345,-0.790061,0.425101,0,2.026,-1.86,0.47716,3.16285,-0.691298,0.68488,0,2.25349,-1.86,0.217631,3.49682,-0.819922,0.234252,0,2.27268,-1.86,0.659031,3.48747,-0.919518,0.94945,0,1.39581,-1.86,0.713981,2.04779,-0.808454,1.07322,0,1.60526,-1.86,0.722423,2.39876,-0.733907,1.10792,0,1.47423,-1.86,0.352983,2.18233,-0.80428,0.458889,0,2.02102,-1.86,0.714479,3.07826,-0.921749,1.03468,0,
0.133336,1.64306,-3.29634,0.262206,2.4581,-3.24049,0.302176,1.66987,-1.86,0.550978,2.50193,-0.879581,0.781695,0,1.8081,-1.86,0.489341,2.71978,-0.943438,0.669789,0,1.86378,-1.86,0.146678,2.8301,-0.841521,0.113244,0,2.19225,-1.86,0.435113,3.37801,-0.849636,0.601292,0,1.82331,-1.86,0.716981,2.75982,-0.848005,1.06745,0,1.95297,-1.86,0.389677,2.97059,-0.869927,0.517066,0,2.44347,-1.86,0.318078,3.79219,-0.857653,0.402703,0,1.69421,-1.86,0.422387,2.54398,-0.881892,0.572193,0,2.41641,-1.86,0.0827874,3.73715,-0.87871,0.0142959,0,1.09543,-1.66098,0.11446,1.50228,-0.389784,0.0478196,0,2.40628,-1.86,0.424128,3.72473,-0.874273,0.579387,0,2.0217,-1.86,0.199638,3.08524,-0.885412,0.205939,0,2.14798,-1.86,0.694535,3.25401,-0.955857,0.997976,0,1.83222,-1.86,0.333376,2.77178,-0.860275,0.421941,0,2.026,-1.86,0.47716,3.14091,-0.7335,0.682417,0,2.25349,-1.86,0.217631,3.47436,-0.852303,0.239091,0,2.27268,-1.86,0.659031,3.46183,-0.956487,0.943313,0,1.39581,-1.86,0.713981,2.04792,-0.879778,1.05004,0,1.60526,-1.86,0.722423,2.38586,-0.857897,1.07035,0,1.47423,-1.86,0.352983,2.17953,-0.90394,0.452846,0,2.02102,-1.86,0.714479,3.0558,-0.966255,1.0231,0,
0.16667,1.65317,-3.29742,0.262353,2.46822,-3.24127,0.301785,1.66987,-1.86,0.550978,2.49627,-0.92993,0.772381,0,1.8081,-1.86,0.489341,2.71124,-0.988047,0.662858,0,1.86378,-1.86,0.146678,2.81467,-0.89905,0.117202,0,2.19225,-1.86,0.435113,3.37066,-0.866237,0.596726,0,1.82331,-1.86,0.716981,2.75192,-0.885072,1.0548,0,1.95297,-1.86,0.389677,2.95535,-0.918272,0.513705,0,2.44347,-1.86,0.318078,3.7758,-0.881807,0.399109,0,1.69421,-1.86,0.422387,2.53706,-0.925102,0.562947,0,2.41641,-1.86,0.0827874,3.72472,-0.898392,0.0152393,0,1.09543,-1.66098,0.11446,1.51781,-0.457948,0.0447297,0,2.40628,-1.86,0.424128,3.71156,-0.893538,0.57365,0,2.0217,-1.86,0.199638,3.0686,-0.928033,0.209324,0,2.14798,-1.86,0.694535,3.24898,-0.97426,0.990379,0,1.83222,-1.86,0.333376,2.76162,-0.907145,0.419724,0,2.026,-1.86,0.47716,3.1224,-0.780392,0.674474,0,2.25349,-1.86,0.217631,3.45413,-0.888316,0.237587,0,2.27268,-1.86,0.659031,3.45227,-0.974988,0.937495,0,1.39581,-1.86,0.713981,2.05179,-0.928151,1.03543,0,1.60526,-1.86,0.722423,2.38726,-0.884787,1.05724,0,1.47423,-1.86,0.352983,2.18219,-0.970404,0.447069,0,2.02102,-1.86,0.714479,3.03974,-1.00826,1.00973,0,
0.200004,1.6796,-3.30002,0.262616,2.49505,-3.24297,0.300751,1.66987,-1.86,0.550978,2.49328,-1.50187,0.657775,0,1.8081,-1.86,0.489341,2.65771,-1.52315,0.580109,0,1.86378,-1.86,0.146678,2.73219,-1.47725,0.163969,0,2.19225,-1.86,0.435113,3.16231,-1.41613,0.529682,0,1.82331,-1.86,0.716981,2.68171,-1.48997,0.861964,0,1.95297,-1.86,0.389677,2.84223,-1.47722,0.463795,0,2.44347,-1.86,0.318078,3.43232,-1.506,0.373784,0,1.69421,-1.86,0.422387,2.52319,-1.48776,0.500176,0,2.41641,-1.86,0.0827874,3.41782,-1.4731,0.0872926,0,1.09543,-1.66098,0.11446,1.8057,-1.29843,0.12297,0,2.40628,-1.86,0.424128,3.39571,-1.49204,0.505543,0,2.0217,-1.86,0.199638,2.92339,-1.49525,0.232663,0,2.14798,-1.86,0.694535,3.04851,-1.5694,0.811371,0,1.83222,-1.86,0.333376,2.69352,-1.47493,0.391719,0,2.026,-1.86,0.47716,2.94351,-1.45431,0.573272,0,2.25349,-1.86,0.217631,3.20253,-1.49948,0.256081,0,2.27268,-1.86,0.659031,3.2216,-1.51109,0.787739,0,1.39581,-1.86,0.713981,2.15938,-1.51143,0.851449,0,1.60526,-1.86,0.722423,2.41343,-1.54134,0.848963,0,1.47423,-1.86,0.352983,2.25854,-1.55305,0.412408,0,2.02102,-1.86,0.714479,2.90499,-1.5473,0.843509,0,
0.233338,1.6796,-3.30002,0.262616,2.50994,-3.2438,0.300179,1.66987,-1.86,0.550978,2.49019,-1.5005,0.658759,0,1.8081,-1.86,0.489341,2.65412,-1.52469,0.579007,0,1.86378,-1.86,0.146678,2.72898,-1.47802,0.166084,0,2.19225,-1.86,0.435113,3.15811,-1.41582,0.531416,0,1.82331,-1.86,0.716981,2.67679,-1.50212,0.859402,0,1.95297,-1.86,0.389677,2.83454,-1.49449,0.462974,0,2.44347,-1.86,0.318078,3.43671,-1.49149,0.37517,0,1.69421,-1.86,0.422387,2.51999,-1.48735,0.498487,0,2.41641,-1.86,0.0827874,3.41861,-1.46392,0.0880547,0,1.09543,-1.66098,0.11446,1.76294,-1.19374,0.112947,0,2.40628,-1.86,0.424128,3.40111,-1.47563,0.508954,0,2.0217,-1.86,0.199638,2.92408,-1.48431,0.232961,0,2.14798,-1.86,0.694535,3.03646,-1.58836,0.807726,0,1.83222,-1.86,0.333376,2.69019,-1.47654,0.392386,0,2.026,-1.86,0.47716,2.93557,-1.46745,0.572338,0,2.25349,-1.86,0.217631,3.20376,-1.48819,0.256575,0,2.27268,-1.86,0.659031,3.22586,-1.49292,0.794873,0,1.39581,-1.86,0.713981,2.15094,-1.48164,0.862226,0,1.60526,-1.86,0.722423,2.40932,-1.54997,0.847844,0,1.47423,-1.86,0.352983,2.2513,-1.53509,0.416693,0,2.02102,-1.86,0.714479,2.90271,-1.54403,0.846486,0,
0.266672,1.70594,-3.30249,0.262854,2.52191,-3.24456,0.299718,1.66987,-1.86,0.550978,2.48748,-1.49854,0.659851,0,1.8081,-1.86,0.489341,2.65222,-1.52075,0.579201,0,1.86378,-1.86,0.146678,2.72579,-1.47675,0.16611,0,2.19225,-1.86,0.435113,3.14547,-1.44887,0.526694,0,1.82331,-1.86,0.716981,2.6762,-1.49922,0.861451,0,1.95297,-1.86,0.389677,2.83168,-1.49912,0.462642,0,2.44347,-1.86,0.318078,3.41127,-1.53466,0.372184,0,1.69421,-1.86,0.422387,2.51613,-1.48431,0.501588,0,2.41641,-1.86,0.0827874,3.39399,-1.50753,0.0945823,0,1.09543,-1.66098,0.11446,1.79935,-1.30371,0.11517,0,2.40628,-1.86,0.424128,3.37797,-1.51852,0.502829,0,2.0217,-1.86,0.199638,2.92115,-1.49749,0.236765,0,2.14798,-1.86,0.694535,3.02971,-1.61379,0.797763,0,1.83222,-1.86,0.333376,2.68906,-1.47366,0.393237,0,2.026,-1.86,0.47716,2.93091,-1.48242,0.569935,0,2.25349,-1.86,0.217631,3.18744,-1.52403,0.258168,0,2.27268,-1.86,0.659031,3.21016,-1.52914,0.784251,0,1.39581,-1.86,0.713981,2.15863,-1.50796,0.852786,0,1.60526,-1.86,0.722423,2.40945,-1.55359,0.847087,0,1.47423,-1.86,0.352983,2.2518,-1.55093,0.415662,0,2.02102,-1.86,0.714479,2.89938,-1.55251,0.843308,0,
0.300007,1.70594,-3.30249,0.262854,2.53687,-3.24533,0.299144,1.66987,-1.86,0.550978,2.48372,-1.49755,0.66015,0,1.8081,-1.86,0.489341,2.64848,-1.51933,0.581019,0,1.86378,-1.86,0.146678,2.72278,-1.47481,0.165461,0,2.19225,-1.86,0.435113,3.14254,-1.44336,0.528102,0,1.82331,-1.86,0.716981,2.6735,-1.49856,0.864638,0,1.95297,-1.86,0.389677,2.82637,-1.49618,0.461846,0,2.44347,-1.86,0.318078,3.41309,-1.52997,0.373047,0,1.69421,-1.86,0.422387,2.51504,-1.48286,0.499325,0,2.41641,-1.86,0.0827874,3.39449,-1.50243,0.0936256,0,1.09543,-1.66098,0.11446,1.78699,-1.29048,0.113559,0,2.40628,-1.86,0.424128,3.37851,-1.51149,0.506713,0,2.0217,-1.86,0.199638,2.91779,-1.49351,0.237187,0,2.14798,-1.86,0.694535,3.02736,-1.60926,0.799748,0,1.83222,-1.86,0.333376,2.68605,-1.47186,0.394086,0,2.026,-1.86,0.47716,2.92867,-1.47934,0.571453,0,2.25349,-1.86,0.217631,3.1872,-1.51984,0.260052,0,2.27268,-1.86,0.659031,3.20935,-1.52321,0.787915,0,1.39581,-1.86,0.713981,2.15464,-1.50469,0.854347,0,1.60526,-1.86,0.722423,2.40506,-1.55315,0.848144,0,1.47423,-1.86,0.352983,2.249,-1.54853,0.415038,0,2.02102,-1.86,0.714479,2.89829,-1.549,0.841543,0,
