time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,
0,2.04188,-3.42979,0.263226,2.98944,-3.374,0.135749,1.58427,-1.86,0.60408,2.16389,-0.542007,0.750669,0,1.75193,-1.86,0.540987,2.44984,-0.452616,0.652662,0,1.82743,-1.86,0.191825,2.59584,-0.492818,0.00470035,0,2.39845,-1.86,0.339959,3.64973,-0.46711,0.27784,0,1.63855,-1.86,0.786116,2.27738,-0.602627,1.05888,0,2.39752,-1.86,0.620268,3.63043,-0.544639,0.779273,0,2.40702,-1.86,0.736205,3.66029,-0.489923,1.00472,0,2.39579,-1.86,0.139922,3.65142,-0.437754,-0.0948874,0,2.1454,-1.86,0.494028,3.1878,-0.365935,0.578016,0,1.63387,-1.86,0.470032,2.24624,-0.514631,0.512444,0,2.40101,-1.86,0.492842,3.64847,-0.493263,0.557119,0,1.32238,-1.86,0.757419,1.76531,-0.703208,0.976552,0,2.55675,-1.86,0.431281,3.93411,-0.493766,0.444093,0,1.97302,-1.86,0.531834,2.86006,-0.424601,0.640423,0,1.47947,-1.86,0.44838,1.96919,-0.526303,0.471629,0,2.51859,-1.86,0.615065,3.84255,-0.564706,0.765399,0,1.97564,-1.86,0.252942,2.86453,-0.413659,0.116355,0,1.78099,-1.86,0.381672,2.50021,-0.430296,0.357861,0,2.0899,-1.86,0.751859,3.07596,-0.545679,1.01613,0,1.25698,-1.86,0.321179,1.6569,-0.708925,0.234137,0,2.46355,-1.86,0.241733,3.75612,-0.51979,0.0966697,0,2.26178,-1.86,0.230956,3.41112,-0.363776,0.073867,0,1.58879,-1.86,0.226882,2.1604,-0.501699,0.0692482,0,1.96979,-1.86,0.74964,2.85288,-0.400576,1.05709,0,1.40127,-1.86,0.572794,1.86533,-0.619408,0.678963,0,2.24152,-1.86,0.719154,3.35818,-0.474596,0.977846,0,2.56216,-1.86,0.745223,3.91933,-0.568328,0.997216,0,1.28172,-1.86,0.641617,1.68815,-0.686732,0.783502,0,
0.033334,2.06937,-3.42798,0.263734,3.01609,-3.3708,0.135233,1.58427,-1.86,0.60408,2.19864,-0.661846,0.727014,0,1.75193,-1.86,0.540987,2.47537,-0.608124,0.627368,0,1.82743,-1.86,0.191825,2.61519,-0.627945,0.0118277,0,2.39845,-1.86,0.339959,3.62867,-0.563687,0.270729,0,1.63855,-1.86,0.786116,2.30758,-0.720596,1.0211,0,2.39752,-1.86,0.620268,3.6057,-0.650807,0.756099,0,2.40702,-1.86,0.736205,3.63295,-0.599554,0.973736,0,2.39579,-1.86,0.139922,3.62413,-0.550467,-0.0840494,0,2.1454,-1.86,0.494028,3.17659,-0.497496,0.55861,0,1.63387,-1.86,0.470032,2.28055,-0.651894,0.494782,0,2.40101,-1.86,0.492842,3.62189,-0.605855,0.54164,0,1.32238,-1.86,0.757419,1.81084,-0.805004,0.94558,0,2.55675,-1.86,0.431281,3.90757,-0.57969,0.437438,0,1.97302,-1.86,0.531834,2.86419,-0.570509,0.617582,0,1.47947,-1.86,0.44838,2.01891,-0.677149,0.455061,0,2.51859,-1.86,0.615065,3.80025,-0.698048,0.742801,0,1.97564,-1.86,0.252942,2.86951,-0.576917,0.118694,0,1.78099,-1.86,0.381672,2.51884,-0.528644,0.352447,0,2.0899,-1.86,0.751859,3.07103,-0.686475,0.97526,0,1.25698,-1.86,0.321179,1.70856,-0.814232,0.233184,0,2.46355,-1.86,0.241733,3.71884,-0.646765,0.10295,0,2.26178,-1.86,0.230956,3.39819,-0.461203,0.079929,0,1.58879,-1.86,0.226882,2.19296,-0.614853,0.0737499,0,1.96979,-1.86,0.74964,2.85535,-0.515228,1.02382,0,1.40127,-1.86,0.572794,1.90773,-0.721687,0.6618,0,2.24152,-1.86,0.719154,3.34319,-0.58322,0.947344,0,2.56216,-1.86,0.745223,3.88756,-0.661089,0.970473,0,1.28172,-1.86,0.641617,1.73642,-0.788937,0.761921,0,
0.0666681,2.07704,-3.42723,0.262897,3.03148,-3.36895,0.134936,1.58427,-1.86,0.60408,2.22563,-0.788225,0.704937,0,1.75193,-1.86,0.540987,2.48715,-0.704293,0.608356,0,1.82743,-1.86,0.191825,2.62238,-0.732152,0.0175829,0,2.39845,-1.86,0.339959,3.61109,-0.621812,0.26931,0,1.63855,-1.86,0.786116,2.3256,-0.823117,0.987421,0,2.39752,-1.86,0.620268,3.57294,-0.755245,0.731822,0,2.40702,-1.86,0.736205,3.61225,-0.665372,0.949689,0,2.39579,-1.86,0.139922,3.58634,-0.673143,-0.078295,0,2.1454,-1.86,0.494028,3.16277,-0.597812,0.543139,0,1.63387,-1.86,0.470032,2.29994,-0.753432,0.478029,0,2.40101,-1.86,0.492842,3.59725,-0.686072,0.530091,0,1.32238,-1.86,0.757419,1.83731,-0.877328,0.923145,0,2.55675,-1.86,0.431281,3.86206,-0.684893,0.420895,0,1.97302,-1.86,0.531834,2.8618,-0.677324,0.596565,0,1.47947,-1.86,0.44838,2.04677,-0.772874,0.446732,0,2.51859,-1.86,0.615065,3.76724,-0.784412,0.723141,0,1.97564,-1.86,0.252942,2.86589,-0.741652,0.117733,0,1.78099,-1.86,0.381672,2.52495,-0.595304,0.348045,0,2.0899,-1.86,0.751859,3.0633,-0.768257,0.947163,0,1.25698,-1.86,0.321179,1.75003,-0.917033,0.228387,0,2.46355,-1.86,0.241733,3.68644,-0.740468,0.102392,0,2.26178,-1.86,0.230956,3.36885,-0.589785,0.0793628,0,1.58879,-1.86,0.226882,2.21458,-0.719363,0.0753603,0,1.96979,-1.86,0.74964,2.85213,-0.608967,0.994108,0,1.40127,-1.86,0.572794,1.92525,-0.773287,0.653188,0,2.24152,-1.86,0.719154,3.32683,-0.661988,0.922837,0,2.56216,-1.86,0.745223,3.85382,-0.740091,0.94772,0,1.28172,-1.86,0.641617,1.76242,-0.854793,0.745271,0,
0.100002,2.07704,-3.42723,0.262897,3.02673,-3.36955,0.135027,1.58427,-1.86,0.60408,2.23213,-0.911879,0.679962,0,1.75193,-1.86,0.540987,2.48287,-0.846821,0.589957,0,1.82743,-1.86,0.191825,2.60838,-0.822777,0.0247763,0,2.39845,-1.86,0.339959,3.55054,-0.749125,0.267073,0,1.63855,-1.86,0.786116,2.31977,-0.903478,0.965427,0,2.39752,-1.86,0.620268,3.5332,-0.826487,0.721256,0,2.40702,-1.86,0.736205,3.55775,-0.775536,0.925664,0,2.39579,-1.86,0.139922,3.5422,-0.758498,-0.0649414,0,2.1454,-1.86,0.494028,3.1234,-0.739924,0.527615,0,1.63387,-1.86,0.470032,2.2981,-0.85595,0.466771,0,2.40101,-1.86,0.492842,3.54803,-0.782568,0.522175,0,1.32238,-1.86,0.757419,1.84903,-0.97035,0.898261,0,2.55675,-1.86,0.431281,3.80636,-0.775127,0.418525,0,1.97302,-1.86,0.531834,2.83866,-0.805646,0.580473,0,1.47947,-1.86,0.44838,2.05055,-0.861805,0.438903,0,2.51859,-1.86,0.615065,3.71014,-0.885657,0.708469,0,1.97564,-1.86,0.252942,2.84627,-0.827007,0.124249,0,1.78099,-1.86,0.381672,2.51152,-0.684271,0.345984,0,2.0899,-1.86,0.751859,3.02888,-0.909406,0.911227,0,1.25698,-1.86,0.321179,1.76273,-0.998862,0.225946,0,2.46355,-1.86,0.241733,3.63791,-0.826905,0.111012,0,2.26178,-1.86,0.230956,3.3294,-0.687739,0.0872751,0,1.58879,-1.86,0.226882,2.21409,-0.813182,0.0812485,0,1.96979,-1.86,0.74964,2.828,-0.73919,0.959282,0,1.40127,-1.86,0.572794,1.92894,-0.857552,0.637681,0,2.24152,-1.86,0.719154,3.28383,-0.776321,0.897797,0,2.56216,-1.86,0.745223,3.80607,-0.811181,0.933334,0,1.28172,-1.86,0.641617,1.77253,-0.938689,0.726363,0,
0.133336,2.10133,-3.42536,0.262475,3.05373,-3.3663,0.134505,1.58427,-1.86,0.60408,2.25791,-0.959721,0.670107,0,1.75193,-1.86,0.540987,2.50791,-0.934943,0.572925,0,1.82743,-1.86,0.191825,2.62726,-0.906553,0.0283311,0,2.39845,-1.86,0.339959,3.53655,-0.84098,0.259079,0,1.63855,-1.86,0.786116,2.34657,-0.980604,0.93876,0,2.39752,-1.86,0.620268,3.51877,-0.913413,0.702429,0,2.40702,-1.86,0.736205,3.54688,-0.852607,0.901859,0,2.39579,-1.86,0.139922,3.52939,-0.841962,-0.0588602,0,2.1454,-1.86,0.494028,3.12299,-0.853914,0.512764,0,1.63387,-1.86,0.470032,2.32528,-0.926403,0.457945,0,2.40101,-1.86,0.492842,3.53055,-0.881655,0.507554,0,1.32238,-1.86,0.757419,1.88462,-1.02862,0.879374,0,2.55675,-1.86,0.431281,3.78781,-0.850666,0.410993,0,1.97302,-1.86,0.531834,2.85072,-0.900074,0.56386,0,1.47947,-1.86,0.44838,2.08417,-0.933761,0.429187,0,2.51859,-1.86,0.615065,3.69392,-0.960663,0.690062,0,1.97564,-1.86,0.252942,2.85751,-0.901241,0.125342,0,1.78099,-1.86,0.381672,2.53059,-0.744787,0.342556,0,2.0899,-1.86,0.751859,3.03422,-1.00167,0.881794,0,1.25698,-1.86,0.321179,1.79965,-1.05481,0.223639,0,2.46355,-1.86,0.241733,3.62629,-0.89637,0.111578,0,2.26178,-1.86,0.230956,3.32323,-0.777011,0.0878886,0,1.58879,-1.86,0.226882,2.2383,-0.860259,0.0791386,0,1.96979,-1.86,0.74964,2.83997,-0.824929,0.93118,0,1.40127,-1.86,0.572794,1.96169,-0.917097,0.625504,0,2.24152,-1.86,0.719154,3.27906,-0.865886,0.8703,0,2.56216,-1.86,0.745223,3.79017,-0.876892,0.913421,0,1.28172,-1.86,0.641617,1.80843,-0.994909,0.712396,0,
0.16667,2.12953,-3.42331,0.262985,3.0688,-3.36448,0.134214,1.58427,-1.86,0.60408,2.26932,-1.00989,0.653838,0,1.75193,-1.86,0.540987,2.52059,-1.01882,0.549519,0,1.82743,-1.86,0.191825,2.63595,-1.0046,0.0276695,0,2.39845,-1.86,0.339959,3.51555,-0.917928,0.250296,0,1.63855,-1.86,0.786116,2.36264,-1.05837,0.906222,0,2.39752,-1.86,0.620268,3.50121,-0.976978,0.680331,0,2.40702,-1.86,0.736205,3.52353,-0.930192,0.871278,0,2.39579,-1.86,0.139922,3.50338,-0.935982,-0.0575353,0,2.1454,-1.86,0.494028,3.11689,-0.919297,0.49675,0,1.63387,-1.86,0.470032,2.34094,-1.00086,0.441831,0,2.40101,-1.86,0.492842,3.50957,-0.958353,0.489043,0,1.32238,-1.86,0.757419,1.90189,-1.07186,0.861394,0,2.55675,-1.86,0.431281,3.76133,-0.917546,0.398634,0,1.97302,-1.86,0.531834,2.85134,-0.96713,0.54712,0,1.47947,-1.86,0.44838,2.10007,-0.984593,0.418676,0,2.51859,-1.86,0.615065,3.67159,-1.02175,0.669642,0,1.97564,-1.86,0.252942,2.85715,-0.984245,0.119583,0,1.78099,-1.86,0.381672,2.54375,-0.871875,0.324857,0,2.0899,-1.86,0.751859,3.03078,-1.057,0.858613,0,1.25698,-1.86,0.321179,1.81289,-1.08366,0.220942,0,2.46355,-1.86,0.241733,3.60436,-0.964315,0.105652,0,2.26178,-1.86,0.230956,3.30835,-0.856855,0.0841341,0,1.58879,-1.86,0.226882,2.25522,-0.936616,0.0746523,0,1.96979,-1.86,0.74964,2.83932,-0.917141,0.89725,0,1.40127,-1.86,0.572794,1.98016,-0.970598,0.609516,0,2.24152,-1.86,0.719154,3.27011,-0.919759,0.848484,0,2.56216,-1.86,0.745223,3.76592,-0.934871,0.888668,0,1.28172,-1.86,0.641617,1.82792,-1.04218,0.697531,0,
0.200004,2.12953,-3.42331,0.262985,3.08107,-3.36285,0.133982,1.58427,-1.86,0.60408,2.51252,-1.7474,0.490812,0,1.75193,-1.86,0.540987,2.67449,-1.69459,0.428607,0,1.82743,-1.86,0.191825,2.76171,-1.72528,0.0602945,0,2.39845,-1.86,0.339959,3.36257,-1.72275,0.215239,0,1.63855,-1.86,0.786116,2.58837,-1.82442,0.650036,0,2.39752,-1.86,0.620268,3.36197,-1.71573,0.515281,0,2.40702,-1.86,0.736205,3.36317,-1.75118,0.624728,0,2.39579,-1.86,0.139922,3.36454,-1.69431,0.00568937,0,2.1454,-1.86,0.494028,3.0934,-1.74224,0.37557,0,1.63387,-1.86,0.470032,2.5698,-1.77298,0.342868,0,2.40101,-1.86,0.492842,3.36305,-1.72732,0.378132,0,1.32238,-1.86,0.757419,2.28812,-1.85022,0.616564,0,2.55675,-1.86,0.431281,3.52268,-1.7442,0.311115,0,1.97302,-1.86,0.531834,2.91286,-1.72041,0.418238,0,1.47947,-1.86,0.44838,2.39954,-1.74136,0.326671,0,2.51859,-1.86,0.615065,3.47266,-1.7697,0.501175,0,1.97564,-1.86,0.252942,2.91527,-1.70923,0.125355,0,1.78099,-1.86,0.381672,2.71188,-1.71035,0.260566,0,2.0899,-1.86,0.751859,3.03492,-1.77174,0.636375,0,1.25698,-1.86,0.321179,2.18019,-1.76093,0.192687,0,2.46355,-1.86,0.241733,3.43203,-1.70839,0.118667,0,2.26178,-1.86,0.230956,3.22176,-1.70389,0.104289,0,1.58879,-1.86,0.226882,2.49839,-1.6821,0.0952107,0,1.96979,-1.86,0.74964,2.91189,-1.76816,0.634071,0,1.40127,-1.86,0.572794,2.33293,-1.76954,0.452222,0,2.24152,-1.86,0.719154,3.20753,-1.63283,0.643231,0,2.56216,-1.86,0.745223,3.52616,-1.74641,0.639799,0,1.28172,-1.86,0.641617,2.21759,-1.78521,0.517077,0,
0.233338,2.15468,-3.42132,0.262504,3.09623,-3.36091,0.133693,1.58427,-1.86,0.60408,2.4987,-1.71632,0.497806,0,1.75193,-1.86,0.540987,2.66629,-1.68514,0.4327,0,1.82743,-1.86,0.191825,2.75833,-1.72064,0.060118,0,2.39845,-1.86,0.339959,3.36204,-1.70553,0.216183,0,1.63855,-1.86,0.786116,2.58011,-1.80188,0.659545,0,2.39752,-1.86,0.620268,3.36187,-1.69888,0.518737,0,2.40702,-1.86,0.736205,3.36293,-1.73481,0.631044,0,2.39579,-1.86,0.139922,3.36182,-1.67671,0.00437228,0,2.1454,-1.86,0.494028,3.09111,-1.73636,0.376537,0,1.63387,-1.86,0.470032,2.55989,-1.74851,0.346467,0,2.40101,-1.86,0.492842,3.36187,-1.7106,0.38185,0,1.32238,-1.86,0.757419,2.24269,-1.77019,0.64229,0,2.55675,-1.86,0.431281,3.52365,-1.72705,0.314979,0,1.97302,-1.86,0.531834,2.9127,-1.72001,0.418131,0,1.47947,-1.86,0.44838,2.37488,-1.69172,0.333326,0,2.51859,-1.86,0.615065,3.47382,-1.75354,0.504473,0,1.97564,-1.86,0.252942,2.91139,-1.70937,0.125212,0,1.78099,-1.86,0.381672,2.70682,-1.70227,0.26105,0,2.0899,-1.86,0.751859,3.03592,-1.77097,0.639204,0,1.25698,-1.86,0.321179,2.12104,-1.66937,0.195338,0,2.46355,-1.86,0.241733,3.43169,-1.69091,0.117999,0,2.26178,-1.86,0.230956,3.21698,-1.68869,0.103584,0,1.58879,-1.86,0.226882,2.48336,-1.65211,0.0945076,0,1.96979,-1.86,0.74964,2.90676,-1.76787,0.632914,0,1.40127,-1.86,0.572794,2.29887,-1.70412,0.465431,0,2.24152,-1.86,0.719154,3.20338,-1.62067,0.648575,0,2.56216,-1.86,0.745223,3.5253,-1.72783,0.646236,0,1.28172,-1.86,0.641617,2.16691,-1.69376,0.537456,0,
0.266672,2.15468,-3.42132,0.262504,3.10865,-3.35947,0.133451,1.58427,-1.86,0.60408,2.50741,-1.74931,0.489999,0,1.75193,-1.86,0.540987,2.66551,-1.69625,0.432603,0,1.82743,-1.86,0.191825,2.75463,-1.7252,0.060286,0,2.39845,-1.86,0.339959,3.35303,-1.73993,0.213427,0,1.63855,-1.86,0.786116,2.58633,-1.82522,0.650326,0,2.39752,-1.86,0.620268,3.35475,-1.73156,0.511536,0,2.40702,-1.86,0.736205,3.35297,-1.76595,0.622077,0,2.39579,-1.86,0.139922,3.35266,-1.7127,0.00597371,0,2.1454,-1.86,0.494028,3.09011,-1.74582,0.374771,0,1.63387,-1.86,0.470032,2.56566,-1.77448,0.343673,0,2.40101,-1.86,0.492842,3.35161,-1.74465,0.375409,0,1.32238,-1.86,0.757419,2.28553,-1.85391,0.614362,0,2.55675,-1.86,0.431281,3.50991,-1.77011,0.31078,0,1.97302,-1.86,0.531834,2.91037,-1.71999,0.417638,0,1.47947,-1.86,0.44838,2.3933,-1.74504,0.324004,0,2.51859,-1.86,0.615065,3.46228,-1.79323,0.49553,0,1.97564,-1.86,0.252942,2.91028,-1.70937,0.12574,0,1.78099,-1.86,0.381672,2.7059,-1.71074,0.25926,0,2.0899,-1.86,0.751859,3.03337,-1.77328,0.635916,0,1.25698,-1.86,0.321179,2.17435,-1.76745,0.191841,0,2.46355,-1.86,0.241733,3.41899,-1.73082,0.115043,0,2.26178,-1.86,0.230956,3.21199,-1.71418,0.102333,0,1.58879,-1.86,0.226882,2.49125,-1.6851,0.0953404,0,1.96979,-1.86,0.74964,2.90322,-1.76752,0.63119,0,1.40127,-1.86,0.572794,2.3293,-1.77339,0.449803,0,2.24152,-1.86,0.719154,3.19832,-1.64058,0.641738,0,2.56216,-1.86,0.745223,3.51161,-1.77099,0.630349,0,1.28172,-1.86,0.641617,2.21577,-1.78614,0.515731,0,
0.300007,2.18031,-3.41927,0.26199,3.13616,-3.35603,0.132924,1.58427,-1.86,0.60408,2.516,-1.74364,0.488356,0,1.75193,-1.86,0.540987,2.67463,-1.69138,0.428759,0,1.82743,-1.86,0.191825,2.76149,-1.7219,0.0569896,0,2.39845,-1.86,0.339959,3.36555,-1.73349,0.215097,0,1.63855,-1.86,0.786116,2.59637,-1.82017,0.650224,0,2.39752,-1.86,0.620268,3.36661,-1.7241,0.511614,0,2.40702,-1.86,0.736205,3.36459,-1.76027,0.621426,0,2.39579,-1.86,0.139922,3.36303,-1.70523,0.00504953,0,2.1454,-1.86,0.494028,3.10161,-1.74051,0.373952,0,1.63387,-1.86,0.470032,2.57649,-1.76858,0.339823,0,2.40101,-1.86,0.492842,3.36292,-1.73872,0.375278,0,1.32238,-1.86,0.757419,2.28886,-1.83904,0.616769,0,2.55675,-1.86,0.431281,3.52388,-1.76125,0.308291,0,1.97302,-1.86,0.531834,2.92138,-1.71535,0.415825,0,1.47947,-1.86,0.44838,2.40151,-1.73735,0.324122,0,2.51859,-1.86,0.615065,3.47482,-1.78496,0.496319,0,1.97564,-1.86,0.252942,2.92053,-1.70504,0.122498,0,1.78099,-1.86,0.381672,2.71498,-1.70673,0.258444,0,2.0899,-1.86,0.751859,3.04532,-1.76837,0.634998,0,1.25698,-1.86,0.321179,2.17463,-1.74745,0.189835,0,2.46355,-1.86,0.241733,3.43031,-1.72466,0.113658,0,2.26178,-1.86,0.230956,3.22327,-1.70785,0.101451,0,1.58879,-1.86,0.226882,2.49976,-1.67968,0.0929887,0,1.96979,-1.86,0.74964,2.91376,-1.76298,0.630203,0,1.40127,-1.86,0.572794,2.33469,-1.76245,0.450347,0,2.24152,-1.86,0.719154,3.20761,-1.63491,0.641627,0,2.56216,-1.86,0.745223,3.52317,-1.75957,0.632781,0,1.28172,-1.86,0.641617,2.21825,-1.7704,0.51723,0,
