time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,
0,7.58685,-1.85416,0.153265,8.35885,-1.96748,0.0533114,6.16,-1.49339,0.0368645,6.2492,-1.43405,-0.118791,0,6.16,-1.17484,0.566232,6.2457,-0.961398,0.664914,0,6.16,-1.40649,0.420018,6.03941,-1.23976,0.486939,0,6.16,-1.78469,0.595591,6.02976,-1.85407,0.775335,0,6.16,-1.27354,0.678243,6.19403,-1.08655,0.84981,0,6.16,-1.6859,0.636138,6.10391,-1.70156,0.816427,0,6.16,-1.54276,0.548682,6.09592,-1.47361,0.680427,0,6.16,-1.29142,0.530821,6.16215,-1.10111,0.634577,0,6.16,-1.40147,0.23831,6.1411,-1.26385,0.185497,0,6.16,-0.892469,0.562804,6.34304,-0.608821,0.631897,0,6.16,-1.5555,0.137488,6.15291,-1.50574,0.0289208,0,6.16,-1.59842,0.244763,6.09563,-1.56183,0.198443,0,6.16,-1.73501,0.28466,5.94675,-1.76605,0.275436,0,6.16,-1.30835,0.202948,6.16407,-1.12791,0.129734,0,6.16,-1.31452,0.346226,6.14032,-1.12841,0.353337,0,6.16,-1.73238,0.46423,6.08699,-1.77358,0.548436,0,6.16,-0.848388,0.403996,6.27146,-0.496091,0.420115,0,6.16,-1.6141,0.380461,6.17448,-1.59997,0.401127,0,6.16,-1.73788,0.115091,5.96661,-1.77252,-0.0106909,0,6.16,-1.51125,0.308366,6.11261,-1.42764,0.297482,0,6.16,-1.42856,0.537466,6.18344,-1.31859,0.639074,0,6.16,-1.09472,0.695144,6.23845,-0.838892,0.858583,0,6.16,-1.16976,0.41864,6.28534,-0.972895,0.438958,0,6.16,-1.38533,0.113452,6.12189,-1.23246,-0.00910553,0,6.16,-1.04156,0.557282,6.26281,-0.773766,0.646814,0,6.16,-1.60105,0.0291524,6.07281,-1.56195,-0.145537,0,6.16,-0.74418,0.548635,6.3814,-0.429162,0.601251,0,
0.0333341,7.58845,-1.82761,0.153262,8.36062,-1.95279,0.0537129,6.16,-1.49339,0.0368645,6.31917,-1.45687,-0.114017,0,6.16,-1.17484,0.566232,6.28568,-0.9843,0.649003,0,6.16,-1.40649,0.420018,6.0887,-1.25984,0.476137,0,6.16,-1.78469,0.595591,6.08301,-1.85989,0.757563,0,6.16,-1.27354,0.678243,6.22785,-1.10257,0.834685,0,6.16,-1.6859,0.636138,6.15898,-1.71184,0.796284,0,6.16,-1.54276,0.548682,6.14157,-1.48591,0.665141,0,6.16,-1.29142,0.530821,6.2005,-1.11848,0.621776,0,6.16,-1.40147,0.23831,6.19876,-1.28648,0.179148,0,6.16,-0.892469,0.562804,6.3671,-0.626536,0.62327,0,6.16,-1.5555,0.137488,6.19724,-1.51655,0.0286278,0,6.16,-1.59842,0.244763,6.16468,-1.57855,0.192246,0,6.16,-1.73501,0.28466,6.01723,-1.77661,0.268149,0,6.16,-1.30835,0.202948,6.21099,-1.14939,0.126891,0,6.16,-1.31452,0.346226,6.19326,-1.15307,0.345053,0,6.16,-1.73238,0.46423,6.14307,-1.78227,0.535901,0,6.16,-0.848388,0.403996,6.30454,-0.525187,0.41139,0,6.16,-1.6141,0.380461,6.20148,-1.60429,0.396773,0,6.16,-1.73788,0.115091,6.03741,-1.78271,-0.00931412,0,6.16,-1.51125,0.308366,6.17936,-1.44812,0.288408,0,6.16,-1.42856,0.537466,6.21553,-1.32852,0.627142,0,6.16,-1.09472,0.695144,6.26121,-0.852,0.849158,0,6.16,-1.16976,0.41864,6.32662,-0.995468,0.430561,0,6.16,-1.38533,0.113452,6.17715,-1.25539,-0.0084261,0,6.16,-1.04156,0.557282,6.28594,-0.787981,0.638697,0,6.16,-1.60105,0.0291524,6.14196,-1.57962,-0.141486,0,6.16,-0.74418,0.548635,6.39408,-0.439718,0.59365,0,
0.0666681,7.58845,-1.82761,0.153262,8.36188,-1.9412,0.0540325,6.16,-1.49339,0.0368645,6.40329,-1.48317,-0.108095,0,6.16,-1.17484,0.566232,6.34025,-1.01482,0.633523,0,6.16,-1.40649,0.420018,6.1882,-1.29913,0.458231,0,6.16,-1.78469,0.595591,6.17807,-1.8717,0.729748,0,6.16,-1.27354,0.678243,6.30081,-1.1393,0.810028,0,6.16,-1.6859,0.636138,6.24583,-1.72851,0.767412,0,6.16,-1.54276,0.548682,6.22421,-1.51053,0.64225,0,6.16,-1.29142,0.530821,6.28342,-1.15889,0.59961,0,6.16,-1.40147,0.23831,6.28006,-1.31798,0.177055,0,6.16,-0.892469,0.562804,6.42977,-0.677184,0.602189,0,6.16,-1.5555,0.137488,6.29466,-1.5443,0.0289653,0,6.16,-1.59842,0.244763,6.25529,-1.60017,0.183423,0,6.16,-1.73501,0.28466,6.12421,-1.7924,0.256061,0,6.16,-1.30835,0.202948,6.28783,-1.18481,0.12648,0,6.16,-1.31452,0.346226,6.28439,-1.19469,0.334298,0,6.16,-1.73238,0.46423,6.24096,-1.79751,0.515943,0,6.16,-0.848388,0.403996,6.33795,-0.550543,0.404525,0,6.16,-1.6141,0.380461,6.26082,-1.61913,0.388149,0,6.16,-1.73788,0.115091,6.1309,-1.79616,-0.006938,0,6.16,-1.51125,0.308366,6.27639,-1.47791,0.278454,0,6.16,-1.42856,0.537466,6.29205,-1.35829,0.607067,0,6.16,-1.09472,0.695144,6.32542,-0.894107,0.824561,0,6.16,-1.16976,0.41864,6.39545,-1.03446,0.419141,0,6.16,-1.38533,0.113452,6.26868,-1.29203,-0.00837611,0,6.16,-1.04156,0.557282,6.33746,-0.823135,0.624842,0,6.16,-1.60105,0.0291524,6.22788,-1.60019,-0.13271,0,6.16,-0.74418,0.548635,6.45169,-0.494149,0.579041,0,
0.100002,7.58953,-1.80188,0.153267,8.36438,-1.91574,0.0547405,6.16,-1.49339,0.0368645,6.48892,-1.51597,-0.0993984,0,6.16,-1.17484,0.566232,6.4016,-1.0602,0.614704,0,6.16,-1.40649,0.420018,6.28272,-1.34385,0.440469,0,6.16,-1.78469,0.595591,6.28032,-1.89048,0.697058,0,6.16,-1.27354,0.678243,6.38547,-1.19015,0.777685,0,6.16,-1.6859,0.636138,6.34053,-1.75283,0.735053,0,6.16,-1.54276,0.548682,6.31992,-1.54573,0.615961,0,6.16,-1.29142,0.530821,6.36788,-1.2078,0.576196,0,6.16,-1.40147,0.23831,6.35667,-1.35541,0.17421,0,6.16,-0.892469,0.562804,6.47509,-0.725806,0.587908,0,6.16,-1.5555,0.137488,6.36748,-1.57038,0.0314703,0,6.16,-1.59842,0.244763,6.35612,-1.63131,0.177419,0,6.16,-1.73501,0.28466,6.23208,-1.81529,0.247317,0,6.16,-1.30835,0.202948,6.36511,-1.22891,0.124626,0,6.16,-1.31452,0.346226,6.35198,-1.23355,0.324283,0,6.16,-1.73238,0.46423,6.33886,-1.8183,0.494547,0,6.16,-0.848388,0.403996,6.37927,-0.601982,0.397158,0,6.16,-1.6141,0.380461,6.34368,-1.64632,0.375054,0,6.16,-1.73788,0.115091,6.24329,-1.8197,-0.00364116,0,6.16,-1.51125,0.308366,6.3861,-1.51788,0.267331,0,6.16,-1.42856,0.537466,6.36506,-1.39336,0.585882,0,6.16,-1.09472,0.695144,6.38827,-0.944887,0.800307,0,6.16,-1.16976,0.41864,6.43233,-1.06419,0.407755,0,6.16,-1.38533,0.113452,6.34787,-1.33142,-0.00540254,0,6.16,-1.04156,0.557282,6.39157,-0.871509,0.610647,0,6.16,-1.60105,0.0291524,6.3186,-1.62908,-0.124352,0,6.16,-0.74418,0.548635,6.49998,-0.554017,0.561903,0,
0.133336,7.58939,-1.79205,0.15303,8.36553,-1.90104,0.0551553,6.16,-1.49339,0.0368645,6.58589,-1.54367,-0.0898285,0,6.16,-1.17484,0.566232,6.4576,-1.08979,0.600904,0,6.16,-1.40649,0.420018,6.37288,-1.37582,0.424717,0,6.16,-1.78469,0.595591,6.37168,-1.89842,0.669504,0,6.16,-1.27354,0.678243,6.45835,-1.22305,0.752765,0,6.16,-1.6859,0.636138,6.43151,-1.76711,0.705147,0,6.16,-1.54276,0.548682,6.40916,-1.56877,0.590892,0,6.16,-1.29142,0.530821,6.45359,-1.24571,0.554063,0,6.16,-1.40147,0.23831,6.4438,-1.38696,0.169931,0,6.16,-0.892469,0.562804,6.52711,-0.765793,0.57132,0,6.16,-1.5555,0.137488,6.47146,-1.59662,0.03261,0,6.16,-1.59842,0.244763,6.45479,-1.65222,0.171844,0,6.16,-1.73501,0.28466,6.33952,-1.82798,0.239199,0,6.16,-1.30835,0.202948,6.44674,-1.264,0.121953,0,6.16,-1.31452,0.346226,6.44605,-1.27408,0.312524,0,6.16,-1.73238,0.46423,6.43242,-1.82954,0.475171,0,6.16,-0.848388,0.403996,6.4484,-0.657745,0.387258,0,6.16,-1.6141,0.380461,6.43223,-1.66488,0.361827,0,6.16,-1.73788,0.115091,6.35522,-1.83257,0.00019145,0,6.16,-1.51125,0.308366,6.47942,-1.54296,0.258429,0,6.16,-1.42856,0.537466,6.42798,-1.41494,0.569937,0,6.16,-1.09472,0.695144,6.44946,-0.98167,0.777607,0,6.16,-1.16976,0.41864,6.49156,-1.09727,0.398012,0,6.16,-1.38533,0.113452,6.44305,-1.36686,-0.00399509,0,6.16,-1.04156,0.557282,6.45169,-0.91064,0.593236,0,6.16,-1.60105,0.0291524,6.41949,-1.65077,-0.115004,0,6.16,-0.74418,0.548635,6.54679,-0.594837,0.549173,0,
0.16667,7.59015,-1.76654,0.153047,8.36522,-1.90583,0.0550187,6.16,-1.49339,0.0368645,6.67585,-1.56246,-0.0834345,0,6.16,-1.17484,0.566232,6.54291,-1.12391,0.577412,0,6.16,-1.40649,0.420018,6.47985,-1.4034,0.403263,0,6.16,-1.78469,0.595591,6.46588,-1.89804,0.636772,0,6.16,-1.27354,0.678243,6.58131,-1.26916,0.708197,0,6.16,-1.6859,0.636138,6.54317,-1.7767,0.665029,0,6.16,-1.54276,0.548682,6.52195,-1.58918,0.560051,0,6.16,-1.29142,0.530821,6.55436,-1.27951,0.527938,0,6.16,-1.40147,0.23831,6.56187,-1.41932,0.157721,0,6.16,-0.892469,0.562804,6.61207,-0.813292,0.552812,0,6.16,-1.5555,0.137488,6.57054,-1.61265,0.0326733,0,6.16,-1.59842,0.244763,6.55075,-1.66461,0.164702,0,6.16,-1.73501,0.28466,6.44808,-1.83171,0.227936,0,6.16,-1.30835,0.202948,6.54621,-1.2961,0.117611,0,6.16,-1.31452,0.346226,6.53784,-1.30198,0.299796,0,6.16,-1.73238,0.46423,6.52474,-1.83282,0.452772,0,6.16,-0.848388,0.403996,6.50943,-0.685354,0.37631,0,6.16,-1.6141,0.380461,6.53107,-1.67729,0.345577,0,6.16,-1.73788,0.115091,6.46142,-1.83588,0.00235925,0,6.16,-1.51125,0.308366,6.58037,-1.56262,0.245764,0,6.16,-1.42856,0.537466,6.54753,-1.44739,0.539346,0,6.16,-1.09472,0.695144,6.5397,-1.02231,0.746492,0,6.16,-1.16976,0.41864,6.58124,-1.13403,0.382951,0,6.16,-1.38533,0.113452,6.54178,-1.3934,-0.00178283,0,6.16,-1.04156,0.557282,6.5414,-0.95358,0.568873,0,6.16,-1.60105,0.0291524,6.52964,-1.66567,-0.107464,0,6.16,-0.74418,0.548635,6.61462,-0.63396,0.535724,0,
0.200004,7.59015,-1.76654,0.153047,8.36736,-1.88036,0.0557346,6.16,-1.49339,0.0368645,6.78712,-1.59374,-0.075725,0,6.16,-1.17484,0.566232,6.63784,-1.17839,0.547728,0,6.16,-1.40649,0.420018,6.5946,-1.44594,0.38174,0,6.16,-1.78469,0.595591,6.59454,-1.91021,0.595964,0,6.16,-1.27354,0.678243,6.67571,-1.31365,0.670885,0,6.16,-1.6859,0.636138,6.66172,-1.79509,0.624027,0,6.16,-1.54276,0.548682,6.64464,-1.62101,0.522553,0,6.16,-1.29142,0.530821,6.6635,-1.32954,0.496125,0,6.16,-1.40147,0.23831,6.67957,-1.46179,0.151016,0,6.16,-0.892469,0.562804,6.6824,-0.87279,0.527337,0,6.16,-1.5555,0.137488,6.68703,-1.64129,0.0324231,0,6.16,-1.59842,0.244763,6.67704,-1.69176,0.156082,0,6.16,-1.73501,0.28466,6.5761,-1.84757,0.215079,0,6.16,-1.30835,0.202948,6.65408,-1.34396,0.113634,0,6.16,-1.31452,0.346226,6.67802,-1.36235,0.279813,0,6.16,-1.73238,0.46423,6.63624,-1.84708,0.428469,0,6.16,-0.848388,0.403996,6.6038,-0.76937,0.357508,0,6.16,-1.6141,0.380461,6.68087,-1.70767,0.31902,0,6.16,-1.73788,0.115091,6.57139,-1.84967,0.0064858,0,6.16,-1.51125,0.308366,6.68108,-1.59097,0.234552,0,6.16,-1.42856,0.537466,6.67356,-1.49067,0.503577,0,6.16,-1.09472,0.695144,6.62684,-1.07919,0.708049,0,6.16,-1.16976,0.41864,6.67172,-1.18545,0.361587,0,6.16,-1.38533,0.113452,6.65752,-1.43721,0.000542775,0,6.16,-1.04156,0.557282,6.634,-1.0176,0.538162,0,6.16,-1.60105,0.0291524,6.66966,-1.69485,-0.096416,0,6.16,-0.74418,0.548635,6.68315,-0.703551,0.510875,0,
0.233338,7.59,-1.7561,0.152796,8.36814,-1.87001,0.0560274,6.16,-1.49339,0.0368645,6.84478,-1.60824,-0.0707091,0,6.16,-1.17484,0.566232,6.72749,-1.22267,0.522093,0,6.16,-1.40649,0.420018,6.68565,-1.47505,0.364304,0,6.16,-1.78469,0.595591,6.68433,-1.9151,0.570645,0,6.16,-1.27354,0.678243,6.75525,-1.34711,0.642994,0,6.16,-1.6859,0.636138,6.73527,-1.80403,0.601997,0,6.16,-1.54276,0.548682,6.73331,-1.64055,0.502466,0,6.16,-1.29142,0.530821,6.74224,-1.36115,0.476266,0,6.16,-1.40147,0.23831,6.75877,-1.48708,0.147889,0,6.16,-0.892469,0.562804,6.75345,-0.922641,0.509883,0,6.16,-1.5555,0.137488,6.77964,-1.66102,0.0357339,0,6.16,-1.59842,0.244763,6.76553,-1.70764,0.15121,0,6.16,-1.73501,0.28466,6.70285,-1.85845,0.205589,0,6.16,-1.30835,0.202948,6.74905,-1.38095,0.112013,0,6.16,-1.31452,0.346226,6.76044,-1.39303,0.270596,0,6.16,-1.73238,0.46423,6.72873,-1.85562,0.408092,0,6.16,-0.848388,0.403996,6.66788,-0.815386,0.346663,0,6.16,-1.6141,0.380461,6.79811,-1.7272,0.301429,0,6.16,-1.73788,0.115091,6.68537,-1.85973,0.00818904,0,6.16,-1.51125,0.308366,6.76205,-1.61099,0.226343,0,6.16,-1.42856,0.537466,6.76273,-1.51751,0.481731,0,6.16,-1.09472,0.695144,6.71082,-1.1258,0.677832,0,6.16,-1.16976,0.41864,6.755,-1.22685,0.348249,0,6.16,-1.38533,0.113452,6.74835,-1.46744,0.00447138,0,6.16,-1.04156,0.557282,6.73691,-1.07797,0.513487,0,6.16,-1.60105,0.0291524,6.74682,-1.70815,-0.0865013,0,6.16,-0.74418,0.548635,6.74818,-0.756086,0.495618,0,
0.266672,7.59094,-1.7299,0.152814,8.37044,-1.84399,0.0567563,6.16,-1.49339,0.0368645,6.85906,-1.60832,-0.06753,0,6.16,-1.17484,0.566232,6.7477,-1.2296,0.518348,0,6.16,-1.40649,0.420018,6.707,-1.47868,0.362138,0,6.16,-1.78469,0.595591,6.70608,-1.91285,0.564485,0,6.16,-1.27354,0.678243,6.77984,-1.35446,0.635199,0,6.16,-1.6859,0.636138,6.75051,-1.80223,0.598924,0,6.16,-1.54276,0.548682,6.76204,-1.64355,0.495633,0,6.16,-1.29142,0.530821,6.75916,-1.36498,0.472834,0,6.16,-1.40147,0.23831,6.77099,-1.48754,0.147419,0,6.16,-0.892469,0.562804,6.7618,-0.926382,0.509302,0,6.16,-1.5555,0.137488,6.7937,-1.65962,0.0382916,0,6.16,-1.59842,0.244763,6.7736,-1.70478,0.152588,0,6.16,-1.73501,0.28466,6.72223,-1.85555,0.205285,0,6.16,-1.30835,0.202948,6.75858,-1.38084,0.112444,0,6.16,-1.31452,0.346226,6.77006,-1.39312,0.270474,0,6.16,-1.73238,0.46423,6.74497,-1.85311,0.405988,0,6.16,-0.848388,0.403996,6.67875,-0.82245,0.348891,0,6.16,-1.6141,0.380461,6.81064,-1.72438,0.300779,0,6.16,-1.73788,0.115091,6.69816,-1.85642,0.010459,0,6.16,-1.51125,0.308366,6.77212,-1.60954,0.226525,0,6.16,-1.42856,0.537466,6.77156,-1.51609,0.48008,0,6.16,-1.09472,0.695144,6.73478,-1.13654,0.671134,0,6.16,-1.16976,0.41864,6.78842,-1.23978,0.347639,0,6.16,-1.38533,0.113452,6.76056,-1.4676,0.00735272,0,6.16,-1.04156,0.557282,6.76277,-1.08985,0.509318,0,6.16,-1.60105,0.0291524,6.74822,-1.70421,-0.086382,0,6.16,-0.74418,0.548635,6.7589,-0.764169,0.49469,0,
0.300007,7.59079,-1.71961,0.152558,8.37121,-1.83391,0.0570416,6.16,-1.49339,0.0368645,6.92891,-1.62692,-0.0633913,0,6.16,-1.17484,0.566232,6.78229,-1.24777,0.504957,0,6.16,-1.40649,0.420018,6.74763,-1.49286,0.354733,0,6.16,-1.78469,0.595591,6.74848,-1.9166,0.55174,0,6.16,-1.27354,0.678243,6.81034,-1.36828,0.621501,0,6.16,-1.6859,0.636138,6.77771,-1.80726,0.587779,0,6.16,-1.54276,0.548682,6.80612,-1.65443,0.482785,0,6.16,-1.29142,0.530821,6.79739,-1.38171,0.459909,0,6.16,-1.40147,0.23831,6.83216,-1.50852,0.142261,0,6.16,-0.892469,0.562804,6.78036,-0.940667,0.500412,0,6.16,-1.5555,0.137488,6.84499,-1.67201,0.0381673,0,6.16,-1.59842,0.244763,6.8171,-1.71449,0.148657,0,6.16,-1.73501,0.28466,6.76474,-1.86061,0.200335,0,6.16,-1.30835,0.202948,6.80149,-1.39917,0.109318,0,6.16,-1.31452,0.346226,6.80164,-1.40687,0.263805,0,6.16,-1.73238,0.46423,6.78422,-1.85818,0.397265,0,6.16,-0.848388,0.403996,6.71667,-0.852194,0.33846,0,6.16,-1.6141,0.380461,6.84338,-1.73167,0.294595,0,6.16,-1.73788,0.115091,6.74366,-1.86196,0.012003,0,6.16,-1.51125,0.308366,6.81073,-1.62065,0.221669,0,6.16,-1.42856,0.537466,6.80385,-1.52782,0.469699,0,6.16,-1.09472,0.695144,6.75701,-1.1496,0.658622,0,6.16,-1.16976,0.41864,6.83616,-1.26418,0.33393,0,6.16,-1.38533,0.113452,6.81499,-1.48711,0.00621928,0,6.16,-1.04156,0.557282,6.78137,-1.10132,0.499119,0,6.16,-1.60105,0.0291524,6.80032,-1.7157,-0.0819175,0,6.16,-0.74418,0.548635,6.79762,-0.797183,0.477461,0,
