time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,
0,3.25972,3.57282,0.249155,3.43793,3.47453,0.373703,3.64553,1.86,0.65838,4.00295,0.96611,0.97301,0,3.03672,1.86,0.39723,3.10068,0.884318,0.597627,0,3.09117,1.86,0.517256,3.19122,0.967481,0.76612,0,3.64324,1.86,0.524846,3.99877,0.969744,0.776865,0,3.58925,1.86,0.0801328,3.92713,0.931774,0.122782,0,3.06103,1.86,0.19858,3.14398,0.940654,0.298885,0,3.35084,1.86,0.291729,3.57296,0.936225,0.436794,0,3.62676,1.86,0.262939,3.98316,0.930121,0.394179,0,3.40837,1.86,-0.0153077,3.66108,0.903169,-0.0233199,0,3.33964,1.86,0.526874,3.55682,0.926343,0.786868,0,3.17962,1.86,0.226581,3.31665,0.881322,0.339525,0,3.68731,1.86,0.38116,4.08704,0.874293,0.574099,0,2.66909,1.86,0.350259,2.5927,1.02339,0.518388,0,2.45865,1.86,0.286737,2.33154,1.10888,0.425608,0,2.63928,1.86,0.219837,2.55267,1.03064,0.331871,0,3.46719,1.86,0.616459,3.74313,0.954803,0.914041,0,3.0613,1.86,-0.0147982,3.14423,0.939334,-0.0169817,0,2.88627,1.86,0.183204,2.89276,0.974106,0.277425,0,3.19935,1.86,0.424248,3.34559,0.854833,0.6415,0,3.49995,1.86,0.446059,3.7947,0.930716,0.666136,0,2.72796,1.86,0.0687394,2.66185,0.974744,0.110394,0,3.32572,1.86,0.129936,3.54052,0.811925,0.188375,0,2.789,1.86,0.4267,2.77162,1.05003,0.625017,0,3.18587,1.86,0.0140503,3.33235,1.02581,0.0375877,0,3.32509,1.86,0.694617,3.53298,0.983967,1.02144,0,3.70444,1.86,-0.019307,4.0792,1.00468,-0.0134131,0,3.46319,1.86,0.237474,3.74097,0.923409,0.356305,0,2.9167,1.86,0.474467,2.93694,0.972954,0.70277,0,2.93088,1.86,0.0351696,2.96958,1.03511,0.0689424,0,3.70346,1.86,0.133413,4.10671,0.893042,0.199261,0,3.4566,1.86,0.0994181,3.7277,0.953526,0.153313,0,
0.033334,3.25972,3.57282,0.249155,3.41105,3.47518,0.374419,3.64553,1.86,0.65838,3.9853,1.00473,0.967379,0,3.03672,1.86,0.39723,3.09623,0.924705,0.597189,0,3.09117,1.86,0.517256,3.18008,0.991715,0.769038,0,3.64324,1.86,0.524846,3.97894,1.0104,0.772962,0,3.58925,1.86,0.0801328,3.90909,0.974874,0.131817,0,3.06103,1.86,0.19858,3.13851,0.985211,0.304074,0,3.35084,1.86,0.291729,3.56067,0.983988,0.438541,0,3.62676,1.86,0.262939,3.96482,0.970057,0.396781,0,3.40837,1.86,-0.0153077,3.64744,0.948483,-0.0133134,0,3.33964,1.86,0.526874,3.54501,0.971054,0.782549,0,3.17962,1.86,0.226581,3.30784,0.918119,0.343973,0,3.68731,1.86,0.38116,4.06879,0.908345,0.574408,0,2.66909,1.86,0.350259,2.58727,1.04409,0.521089,0,2.45865,1.86,0.286737,2.34039,1.14948,0.428586,0,2.63928,1.86,0.219837,2.5521,1.05913,0.336154,0,3.46719,1.86,0.616459,3.72926,0.973301,0.912626,0,3.0613,1.86,-0.0147982,3.13968,0.984258,-0.00713885,0,2.88627,1.86,0.183204,2.88573,1.00039,0.280309,0,3.19935,1.86,0.424248,3.33693,0.897219,0.642045,0,3.49995,1.86,0.446059,3.77787,0.996688,0.66482,0,2.72796,1.86,0.0687394,2.65909,1.00048,0.116916,0,3.32572,1.86,0.129936,3.52627,0.828645,0.194938,0,2.789,1.86,0.4267,2.78293,1.11509,0.622297,0,3.18587,1.86,0.0140503,3.32351,1.06723,0.0470195,0,3.32509,1.86,0.694617,3.52279,1.04657,1.00889,0,3.70444,1.86,-0.019307,4.05477,1.06663,0.00290096,0,3.46319,1.86,0.237474,3.72508,0.975152,0.361392,0,2.9167,1.86,0.474467,2.93176,1.00457,0.703442,0,2.93088,1.86,0.0351696,2.96024,1.05749,0.0749997,0,3.70346,1.86,0.133413,4.08758,0.925783,0.205428,0,3.4566,1.86,0.0994181,3.71062,1.05699,0.16882,0,
0.0666681,3.24905,3.5733,0.24912,3.40045,3.47542,0.3747,3.64553,1.86,0.65838,3.98522,1.04211,0.954749,0,3.03672,1.86,0.39723,3.11146,0.969779,0.592073,0,3.09117,1.86,0.517256,3.18875,1.01083,0.765218,0,3.64324,1.86,0.524846,3.9789,1.04728,0.765439,0,3.58925,1.86,0.0801328,3.91026,1.00851,0.13221,0,3.06103,1.86,0.19858,3.1516,1.02532,0.303212,0,3.35084,1.86,0.291729,3.56622,1.02137,0.434729,0,3.62676,1.86,0.262939,3.96549,0.993087,0.400751,0,3.40837,1.86,-0.0153077,3.65254,0.996628,-0.00705776,0,3.33964,1.86,0.526874,3.55148,1.01205,0.773866,0,3.17962,1.86,0.226581,3.31932,0.962268,0.343338,0,3.68731,1.86,0.38116,4.06881,0.939403,0.569075,0,2.66909,1.86,0.350259,2.60491,1.07027,0.517515,0,2.45865,1.86,0.286737,2.3602,1.1756,0.425257,0,2.63928,1.86,0.219837,2.57134,1.08868,0.334662,0,3.46719,1.86,0.616459,3.73421,1.00973,0.903641,0,3.0613,1.86,-0.0147982,3.15138,1.01918,-0.00286171,0,2.88627,1.86,0.183204,2.90259,1.0367,0.279705,0,3.19935,1.86,0.424248,3.34795,0.943511,0.636055,0,3.49995,1.86,0.446059,3.77969,1.03678,0.65731,0,2.72796,1.86,0.0687394,2.67845,1.03564,0.114533,0,3.32572,1.86,0.129936,3.53395,0.859055,0.194498,0,2.789,1.86,0.4267,2.80513,1.16409,0.613793,0,3.18587,1.86,0.0140503,3.33353,1.10772,0.0506016,0,3.32509,1.86,0.694617,3.52923,1.09112,0.995302,0,3.70444,1.86,-0.019307,4.05314,1.09932,0.00434557,0,3.46319,1.86,0.237474,3.72738,1.05658,0.356103,0,2.9167,1.86,0.474467,2.94688,1.03756,0.697031,0,2.93088,1.86,0.0351696,2.96483,1.06143,0.0737387,0,3.70346,1.86,0.133413,4.08695,0.961469,0.205758,0,3.4566,1.86,0.0994181,3.71212,1.10848,0.17085,0,
0.100002,3.22205,3.57438,0.249778,3.37289,3.47594,0.375429,3.64553,1.86,0.65838,3.96515,1.08638,0.939428,0,3.03672,1.86,0.39723,3.11242,1.03903,0.580153,0,3.09117,1.86,0.517256,3.19345,1.10378,0.743533,0,3.64324,1.86,0.524846,3.95733,1.10832,0.751417,0,3.58925,1.86,0.0801328,3.89046,1.07493,0.135427,0,3.06103,1.86,0.19858,3.15698,1.1182,0.302798,0,3.35084,1.86,0.291729,3.55426,1.08224,0.4283,0,3.62676,1.86,0.262939,3.94952,1.01535,0.397348,0,3.40837,1.86,-0.0153077,3.63833,1.08314,0.000317365,0,3.33964,1.86,0.526874,3.53941,1.06724,0.759187,0,3.17962,1.86,0.226581,3.31474,1.03638,0.337266,0,3.68731,1.86,0.38116,4.04766,0.991063,0.561782,0,2.66909,1.86,0.350259,2.61023,1.11311,0.509256,0,2.45865,1.86,0.286737,2.36355,1.20605,0.419703,0,2.63928,1.86,0.219837,2.57151,1.12074,0.329744,0,3.46719,1.86,0.616459,3.71794,1.05522,0.886565,0,3.0613,1.86,-0.0147982,3.14943,1.07741,0.00102785,0,2.88627,1.86,0.183204,2.90401,1.08631,0.277533,0,3.19935,1.86,0.424248,3.34601,1.04506,0.618871,0,3.49995,1.86,0.446059,3.76259,1.09618,0.645568,0,2.72796,1.86,0.0687394,2.69917,1.12175,0.11711,0,3.32572,1.86,0.129936,3.52524,0.943122,0.195485,0,2.789,1.86,0.4267,2.80634,1.20732,0.605566,0,3.18587,1.86,0.0140503,3.33114,1.19994,0.0577395,0,3.32509,1.86,0.694617,3.51807,1.14924,0.975498,0,3.70444,1.86,-0.019307,4.02867,1.16821,0.011361,0,3.46319,1.86,0.237474,3.70906,1.13274,0.351853,0,2.9167,1.86,0.474467,2.9488,1.09049,0.685149,0,2.93088,1.86,0.0351696,2.96755,1.11273,0.0755735,0,3.70346,1.86,0.133413,4.06552,1.00915,0.204743,0,3.4566,1.86,0.0994181,3.69575,1.17689,0.172111,0,
0.133336,3.22205,3.57438,0.249778,3.35757,3.47623,0.375834,3.64553,1.86,0.65838,3.95896,1.12688,0.92727,0,3.03672,1.86,0.39723,3.12331,1.09767,0.571688,0,3.09117,1.86,0.517256,3.20924,1.20974,0.721277,0,3.64324,1.86,0.524846,3.94999,1.15315,0.742386,0,3.58925,1.86,0.0801328,3.88297,1.13107,0.137541,0,3.06103,1.86,0.19858,3.1727,1.21515,0.300224,0,3.35084,1.86,0.291729,3.55449,1.13941,0.423563,0,3.62676,1.86,0.262939,3.94038,1.0945,0.392429,0,3.40837,1.86,-0.0153077,3.63572,1.16133,0.00907147,0,3.33964,1.86,0.526874,3.54072,1.1265,0.747085,0,3.17962,1.86,0.226581,3.32027,1.09163,0.335844,0,3.68731,1.86,0.38116,4.0386,1.04214,0.554352,0,2.66909,1.86,0.350259,2.63499,1.17104,0.500823,0,2.45865,1.86,0.286737,2.39583,1.26237,0.413198,0,2.63928,1.86,0.219837,2.61122,1.20732,0.326276,0,3.46719,1.86,0.616459,3.71457,1.12577,0.866834,0,3.0613,1.86,-0.0147982,3.15922,1.13298,0.00617892,0,2.88627,1.86,0.183204,2.91698,1.13562,0.273344,0,3.19935,1.86,0.424248,3.35505,1.14881,0.605055,0,3.49995,1.86,0.446059,3.75862,1.14357,0.637591,0,2.72796,1.86,0.0687394,2.7259,1.1959,0.120226,0,3.32572,1.86,0.129936,3.52658,1.02189,0.19666,0,2.789,1.86,0.4267,2.82586,1.26405,0.594677,0,3.18587,1.86,0.0140503,3.33573,1.26132,0.0621999,0,3.32509,1.86,0.694617,3.51888,1.19509,0.961145,0,3.70444,1.86,-0.019307,4.01727,1.22399,0.0159689,0,3.46319,1.86,0.237474,3.70415,1.2027,0.348342,0,2.9167,1.86,0.474467,2.96288,1.14445,0.67301,0,2.93088,1.86,0.0351696,2.97581,1.14748,0.0768616,0,3.70346,1.86,0.133413,4.05474,1.07039,0.205359,0,3.4566,1.86,0.0994181,3.69264,1.22659,0.175305,0,
0.16667,3.19471,3.57561,0.250476,3.34525,3.47655,0.376162,3.64553,1.86,0.65838,3.95545,1.17358,0.917616,0,3.03672,1.86,0.39723,3.13759,1.15548,0.568361,0,3.09117,1.86,0.517256,3.21539,1.24348,0.718171,0,3.64324,1.86,0.524846,3.9452,1.19936,0.731069,0,3.58925,1.86,0.0801328,3.87896,1.18653,0.142978,0,3.06103,1.86,0.19858,3.18654,1.28426,0.303907,0,3.35084,1.86,0.291729,3.55825,1.20407,0.424436,0,3.62676,1.86,0.262939,3.93644,1.13323,0.393571,0,3.40837,1.86,-0.0153077,3.63645,1.22479,0.0205741,0,3.33964,1.86,0.526874,3.54463,1.1847,0.739257,0,3.17962,1.86,0.226581,3.33065,1.15729,0.337536,0,3.68731,1.86,0.38116,4.03129,1.10176,0.548848,0,2.66909,1.86,0.350259,2.66167,1.22664,0.50001,0,2.45865,1.86,0.286737,2.42046,1.3019,0.413135,0,2.63928,1.86,0.219837,2.63881,1.26597,0.328947,0,3.46719,1.86,0.616459,3.71386,1.18553,0.854071,0,3.0613,1.86,-0.0147982,3.16555,1.1564,0.0138049,0,2.88627,1.86,0.183204,2.93295,1.17873,0.277526,0,3.19935,1.86,0.424248,3.3618,1.20679,0.599928,0,3.49995,1.86,0.446059,3.75778,1.19722,0.631312,0,2.72796,1.86,0.0687394,2.74598,1.24207,0.12708,0,3.32572,1.86,0.129936,3.53167,1.1165,0.205331,0,2.789,1.86,0.4267,2.8461,1.31476,0.5907,0,3.18587,1.86,0.0140503,3.34291,1.30568,0.069897,0,3.32509,1.86,0.694617,3.52322,1.2453,0.947052,0,3.70444,1.86,-0.019307,4.00495,1.30568,0.0307549,0,3.46319,1.86,0.237474,3.70306,1.26364,0.34886,0,2.9167,1.86,0.474467,2.97114,1.1675,0.671174,0,2.93088,1.86,0.0351696,2.99209,1.19428,0.0843141,0,3.70346,1.86,0.133413,4.04748,1.12499,0.210707,0,3.4566,1.86,0.0994181,3.69228,1.28666,0.179229,0,
0.200004,3.16722,3.57707,0.25119,3.32988,3.4769,0.376571,3.64553,1.86,0.65838,3.94753,1.22313,0.905009,0,3.03672,1.86,0.39723,3.14525,1.20184,0.568801,0,3.09117,1.86,0.517256,3.22571,1.30629,0.707902,0,3.64324,1.86,0.524846,3.93771,1.2481,0.726235,0,3.58925,1.86,0.0801328,3.86987,1.25424,0.15051,0,3.06103,1.86,0.19858,3.19357,1.33272,0.306187,0,3.35084,1.86,0.291729,3.55772,1.27187,0.422838,0,3.62676,1.86,0.262939,3.92643,1.20435,0.39307,0,3.40837,1.86,-0.0153077,3.63351,1.29808,0.0327846,0,3.33964,1.86,0.526874,3.54462,1.23576,0.731035,0,3.17962,1.86,0.226581,3.33685,1.22679,0.336051,0,3.68731,1.86,0.38116,4.02363,1.13942,0.546869,0,2.66909,1.86,0.350259,2.68497,1.28409,0.495105,0,2.45865,1.86,0.286737,2.43119,1.32295,0.414453,0,2.63928,1.86,0.219837,2.66046,1.31794,0.329144,0,3.46719,1.86,0.616459,3.71076,1.22299,0.848583,0,3.0613,1.86,-0.0147982,3.17602,1.20928,0.0219377,0,2.88627,1.86,0.183204,2.94559,1.2238,0.279345,0,3.19935,1.86,0.424248,3.36581,1.25848,0.594706,0,3.49995,1.86,0.446059,3.75134,1.27418,0.624946,0,2.72796,1.86,0.0687394,2.76803,1.30079,0.133171,0,3.32572,1.86,0.129936,3.5312,1.18208,0.210099,0,2.789,1.86,0.4267,2.85658,1.3487,0.585789,0,3.18587,1.86,0.0140503,3.34862,1.36557,0.0782135,0,3.32509,1.86,0.694617,3.52287,1.27264,0.941432,0,3.70444,1.86,-0.019307,3.99493,1.34667,0.0350724,0,3.46319,1.86,0.237474,3.69872,1.32131,0.350214,0,2.9167,1.86,0.474467,2.98274,1.20799,0.664768,0,2.93088,1.86,0.0351696,2.9989,1.22368,0.0900957,0,3.70346,1.86,0.133413,4.03595,1.18415,0.214715,0,3.4566,1.86,0.0994181,3.6881,1.34438,0.184191,0,
0.233338,3.16722,3.57707,0.25119,3.31741,3.47738,0.37691,3.64553,1.86,0.65838,3.94405,1.25725,0.899827,0,3.03672,1.86,0.39723,3.15322,1.23466,0.56828,0,3.09117,1.86,0.517256,3.2345,1.35469,0.703367,0,3.64324,1.86,0.524846,3.9333,1.28861,0.721982,0,3.58925,1.86,0.0801328,3.86689,1.28439,0.155073,0,3.06103,1.86,0.19858,3.19509,1.33789,0.308439,0,3.35084,1.86,0.291729,3.55908,1.31525,0.42331,0,3.62676,1.86,0.262939,3.9213,1.24598,0.394821,0,3.40837,1.86,-0.0153077,3.63332,1.33077,0.0394234,0,3.33964,1.86,0.526874,3.54669,1.26848,0.728027,0,3.17962,1.86,0.226581,3.34307,1.27491,0.340335,0,3.68731,1.86,0.38116,4.02049,1.17016,0.546045,0,2.66909,1.86,0.350259,2.7,1.31766,0.497081,0,2.45865,1.86,0.286737,2.44657,1.34617,0.417796,0,2.63928,1.86,0.219837,2.67274,1.34341,0.33269,0,3.46719,1.86,0.616459,3.71101,1.25519,0.845118,0,3.0613,1.86,-0.0147982,3.18233,1.23656,0.0282583,0,2.88627,1.86,0.183204,2.95454,1.24969,0.283571,0,3.19935,1.86,0.424248,3.37158,1.30258,0.592747,0,3.49995,1.86,0.446059,3.74889,1.31345,0.622634,0,2.72796,1.86,0.0687394,2.77537,1.31822,0.13747,0,3.32572,1.86,0.129936,3.53348,1.22894,0.215676,0,2.789,1.86,0.4267,2.86653,1.37216,0.586566,0,3.18587,1.86,0.0140503,3.34903,1.36813,0.0803189,0,3.32509,1.86,0.694617,3.52594,1.29725,0.937229,0,3.70444,1.86,-0.019307,3.99117,1.37498,0.0434395,0,3.46319,1.86,0.237474,3.69808,1.3546,0.351241,0,2.9167,1.86,0.474467,2.99299,1.23937,0.664349,0,2.93088,1.86,0.0351696,3.008,1.24935,0.095646,0,3.70346,1.86,0.133413,4.02786,1.23572,0.219091,0,3.4566,1.86,0.0994181,3.68776,1.36924,0.189008,0,
0.266672,3.14007,3.57861,0.251855,3.30193,3.47789,0.377327,3.64553,1.86,0.65838,3.93443,1.31391,0.883147,0,3.03672,1.86,0.39723,3.15959,1.27101,0.565859,0,3.09117,1.86,0.517256,3.2356,1.3722,0.699181,0,3.64324,1.86,0.524846,3.92741,1.31986,0.715957,0,3.58925,1.86,0.0801328,3.86442,1.28991,0.15244,0,3.06103,1.86,0.19858,3.19792,1.35431,0.304688,0,3.35084,1.86,0.291729,3.55795,1.34385,0.421875,0,3.62676,1.86,0.262939,3.91565,1.27703,0.393033,0,3.40837,1.86,-0.0153077,3.63176,1.3556,0.042513,0,3.33964,1.86,0.526874,3.54645,1.29858,0.723151,0,3.17962,1.86,0.226581,3.34463,1.30432,0.338351,0,3.68731,1.86,0.38116,4.01505,1.19803,0.543912,0,2.66909,1.86,0.350259,2.7107,1.34509,0.495474,0,2.45865,1.86,0.286737,2.44737,1.34991,0.416269,0,2.63928,1.86,0.219837,2.67648,1.35448,0.334569,0,3.46719,1.86,0.616459,3.70891,1.28254,0.837578,0,3.0613,1.86,-0.0147982,3.18589,1.25947,0.0314398,0,2.88627,1.86,0.183204,2.95877,1.26668,0.284246,0,3.19935,1.86,0.424248,3.37055,1.31123,0.59037,0,3.49995,1.86,0.446059,3.74533,1.33282,0.624835,0,2.72796,1.86,0.0687394,2.78284,1.3382,0.141139,0,3.32572,1.86,0.129936,3.53329,1.27994,0.219802,0,2.789,1.86,0.4267,2.86596,1.37416,0.585933,0,3.18587,1.86,0.0140503,3.34974,1.37392,0.0802157,0,3.32509,1.86,0.694617,3.5259,1.31603,0.930968,0,3.70444,1.86,-0.019307,3.98824,1.38402,0.0448764,0,3.46319,1.86,0.237474,3.69562,1.37989,0.352243,0,2.9167,1.86,0.474467,3.00412,1.28262,0.658216,0,2.93088,1.86,0.0351696,3.01476,1.27662,0.09902,0,3.70346,1.86,0.133413,4.02193,1.25751,0.219285,0,3.4566,1.86,0.0994181,3.68404,1.42539,0.193558,0,
0.300006,3.14007,3.57861,0.251855,3.28983,3.47831,0.377654,3.64553,1.86,0.65838,3.93174,1.34283,0.87697,0,3.03672,1.86,0.39723,3.16856,1.30371,0.56308,0,3.09117,1.86,0.517256,3.24116,1.3868,0.698271,0,3.64324,1.86,0.524846,3.92491,1.35491,0.711986,0,3.58925,1.86,0.0801328,3.86789,1.29029,0.153958,0,3.06103,1.86,0.19858,3.20458,1.37173,0.30757,0,3.35084,1.86,0.291729,3.56088,1.3678,0.423482,0,3.62676,1.86,0.262939,3.91493,1.30163,0.394557,0,3.40837,1.86,-0.0153077,3.6341,1.37797,0.0481881,0,3.33964,1.86,0.526874,3.54979,1.33365,0.719642,0,3.17962,1.86,0.226581,3.34995,1.32694,0.339923,0,3.68731,1.86,0.38116,4.01361,1.22422,0.543415,0,2.66909,1.86,0.350259,2.73189,1.38891,0.49012,0,2.45865,1.86,0.286737,2.46088,1.36607,0.418924,0,2.63928,1.86,0.219837,2.68472,1.36477,0.335568,0,3.46719,1.86,0.616459,3.71012,1.31651,0.83268,0,3.0613,1.86,-0.0147982,3.19553,1.29422,0.0380743,0,2.88627,1.86,0.183204,2.97068,1.2953,0.286052,0,3.19935,1.86,0.424248,3.37707,1.33972,0.590368,0,3.49995,1.86,0.446059,3.74697,1.35313,0.624585,0,2.72796,1.86,0.0687394,2.79543,1.36242,0.145987,0,3.32572,1.86,0.129936,3.53605,1.31478,0.222489,0,2.789,1.86,0.4267,2.86938,1.37404,0.588235,0,3.18587,1.86,0.0140503,3.35762,1.41073,0.0857651,0,3.32509,1.86,0.694617,3.53015,1.34569,0.924605,0,3.70444,1.86,-0.019307,3.98713,1.41125,0.0498593,0,3.46319,1.86,0.237474,3.69745,1.39714,0.353807,0,2.9167,1.86,0.474467,3.01379,1.31072,0.656422,0,2.93088,1.86,0.0351696,3.0299,1.3231,0.104019,0,3.70346,1.86,0.133413,4.02055,1.28351,0.221631,0,3.4566,1.86,0.0994181,3.68383,1.45595,0.198258,0,
