time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,
0,-6.61787,-3.44261,0.308138,-6.09541,-3.87634,0.350951,-5.79591,-1.86,0.851313,-4.95914,-1.68854,1.10184,0,-5.63791,-1.86,0.200968,-4.70844,-1.63643,0.199272,0,-5.99466,-1.86,0.441136,-5.15977,-1.50032,0.550626,0,-5.64896,-1.86,0.512858,-4.74992,-1.67861,0.635241,0,-4.85091,-1.86,0.455603,-4.08184,-2.07285,0.518998,0,-5.45526,-1.86,0.497985,-4.53859,-1.75709,0.605173,0,-6.04205,-1.86,0.72568,-5.23933,-1.52345,0.971717,0,-5.04897,-1.86,0.392179,-4.16934,-1.93344,0.454125,0,-5.82495,-1.86,0.437888,-4.93128,-1.55282,0.541445,0,-5.26426,-1.86,0.535644,-4.37375,-1.86342,0.640316,0,-5.87314,-1.86,0.679621,-5.01293,-1.57597,0.890913,0,-5.46505,-1.86,0.270773,-4.54569,-1.74886,0.300723,0,-5.98759,-1.86,0.267545,-5.15643,-1.51858,0.290477,0,-5.57619,-1.86,0.369492,-4.66498,-1.7031,0.435203,0,-4.70378,-1.86,0.117375,-4.02898,-2.16777,0.145006,0,-5.81192,-1.86,0.284098,-4.91941,-1.56708,0.315874,0,-5.87799,-1.86,0.154119,-4.98808,-1.50776,0.120443,0,-5.76369,-1.86,0.603263,-4.8779,-1.62056,0.771608,0,-5.47544,-1.86,0.111513,-4.54622,-1.73024,0.0843178,0,-5.9207,-1.86,0.552663,-5.06542,-1.5382,0.712212,0,-5.57536,-1.86,0.66699,-4.67247,-1.71621,0.840754,0,
0.0333341,-6.59494,-3.45174,0.30794,-6.07169,-3.88572,0.350012,-5.79591,-1.86,0.851313,-4.98706,-1.72661,1.08601,0,-5.63791,-1.86,0.200968,-4.7418,-1.67347,0.200488,0,-5.99466,-1.86,0.441136,-5.19655,-1.56813,0.543466,0,-5.64896,-1.86,0.512858,-4.78011,-1.71279,0.629349,0,-4.85091,-1.86,0.455603,-4.08973,-2.07154,0.518732,0,-5.45526,-1.86,0.497985,-4.56589,-1.78115,0.60005,0,-6.04205,-1.86,0.72568,-5.27912,-1.60165,0.951079,0,-5.04897,-1.86,0.392179,-4.18131,-1.93532,0.451213,0,-5.82495,-1.86,0.437888,-4.96573,-1.60179,0.536507,0,-5.26426,-1.86,0.535644,-4.40802,-1.88865,0.630401,0,-5.87314,-1.86,0.679621,-5.03045,-1.60041,0.882489,0,-5.46505,-1.86,0.270773,-4.57444,-1.77489,0.300899,0,-5.98759,-1.86,0.267545,-5.18462,-1.5697,0.288588,0,-5.57619,-1.86,0.369492,-4.69704,-1.73689,0.430574,0,-4.70378,-1.86,0.117375,-4.02917,-2.16223,0.144026,0,-5.81192,-1.86,0.284098,-4.93542,-1.58935,0.318922,0,-5.87799,-1.86,0.154119,-5.0188,-1.55341,0.124311,0,-5.76369,-1.86,0.603263,-4.9157,-1.67057,0.759931,0,-5.47544,-1.86,0.111513,-4.57093,-1.75137,0.0845019,0,-5.9207,-1.86,0.552663,-5.10362,-1.60202,0.700392,0,-5.57536,-1.86,0.66699,-4.69595,-1.73667,0.833394,0,
0.0666681,-6.58641,-3.45508,0.307488,-6.05797,-3.89094,0.349477,-5.79591,-1.86,0.851313,-5.01203,-1.76561,1.07225,0,-5.63791,-1.86,0.200968,-4.76769,-1.70824,0.202764,0,-5.99466,-1.86,0.441136,-5.23107,-1.63954,0.535694,0,-5.64896,-1.86,0.512858,-4.81082,-1.7538,0.623043,0,-4.85091,-1.86,0.455603,-4.1017,-2.07943,0.518882,0,-5.45526,-1.86,0.497985,-4.59023,-1.80835,0.59755,0,-6.04205,-1.86,0.72568,-5.3019,-1.65357,0.935624,0,-5.04897,-1.86,0.392179,-4.19475,-1.94576,0.448376,0,-5.82495,-1.86,0.437888,-5.00101,-1.65935,0.531842,0,-5.26426,-1.86,0.535644,-4.43478,-1.91459,0.626103,0,-5.87314,-1.86,0.679621,-5.05372,-1.63824,0.87247,0,-5.46505,-1.86,0.270773,-4.59665,-1.80056,0.297876,0,-5.98759,-1.86,0.267545,-5.20759,-1.61624,0.288537,0,-5.57619,-1.86,0.369492,-4.72184,-1.76861,0.432611,0,-4.70378,-1.86,0.117375,-4.03018,-2.16296,0.143569,0,-5.81192,-1.86,0.284098,-4.95523,-1.61937,0.316405,0,-5.87799,-1.86,0.154119,-5.05075,-1.60839,0.128846,0,-5.76369,-1.86,0.603263,-4.97194,-1.75733,0.74693,0,-5.47544,-1.86,0.111513,-4.59574,-1.77909,0.0875149,0,-5.9207,-1.86,0.552663,-5.13127,-1.6542,0.692129,0,-5.57536,-1.86,0.66699,-4.71847,-1.76402,0.826123,0,
0.100002,-6.56297,-3.46398,0.307231,-6.06255,-3.88919,0.349656,-5.79591,-1.86,0.851313,-5.04059,-1.81709,1.05501,0,-5.63791,-1.86,0.200968,-4.79542,-1.75428,0.20479,0,-5.99466,-1.86,0.441136,-5.25238,-1.69382,0.531828,0,-5.64896,-1.86,0.512858,-4.83758,-1.79883,0.616975,0,-4.85091,-1.86,0.455603,-4.12065,-2.10517,0.521948,0,-5.45526,-1.86,0.497985,-4.61466,-1.845,0.592986,0,-6.04205,-1.86,0.72568,-5.32343,-1.7087,0.920631,0,-5.04897,-1.86,0.392179,-4.21106,-1.97022,0.445362,0,-5.82495,-1.86,0.437888,-5.03057,-1.71761,0.52631,0,-5.26426,-1.86,0.535644,-4.46037,-1.949,0.622969,0,-5.87314,-1.86,0.679621,-5.08116,-1.69352,0.85777,0,-5.46505,-1.86,0.270773,-4.62884,-1.84552,0.29842,0,-5.98759,-1.86,0.267545,-5.23056,-1.6711,0.28969,0,-5.57619,-1.86,0.369492,-4.75015,-1.81258,0.429336,0,-4.70378,-1.86,0.117375,-4.04335,-2.18199,0.145065,0,-5.81192,-1.86,0.284098,-4.97966,-1.66685,0.317636,0,-5.87799,-1.86,0.154119,-5.07596,-1.66264,0.132617,0,-5.76369,-1.86,0.603263,-5.0039,-1.81717,0.736061,0,-5.47544,-1.86,0.111513,-4.61995,-1.81619,0.0916546,0,-5.9207,-1.86,0.552663,-5.16597,-1.72656,0.679149,0,-5.57536,-1.86,0.66699,-4.74374,-1.80408,0.817928,0,
0.133336,-6.56297,-3.46398,0.307231,-6.03863,-3.89819,0.348726,-5.79591,-1.86,0.851313,-5.06015,-1.84653,1.04347,0,-5.63791,-1.86,0.200968,-4.81765,-1.78058,0.207786,0,-5.99466,-1.86,0.441136,-5.27517,-1.73844,0.52752,0,-5.64896,-1.86,0.512858,-4.85487,-1.81978,0.615074,0,-4.85091,-1.86,0.455603,-4.12914,-2.10523,0.52005,0,-5.45526,-1.86,0.497985,-4.63219,-1.8609,0.591596,0,-6.04205,-1.86,0.72568,-5.33956,-1.74346,0.907188,0,-5.04897,-1.86,0.392179,-4.22488,-1.97563,0.448693,0,-5.82495,-1.86,0.437888,-5.05438,-1.7548,0.524127,0,-5.26426,-1.86,0.535644,-4.4778,-1.96216,0.623216,0,-5.87314,-1.86,0.679621,-5.10093,-1.72556,0.851001,0,-5.46505,-1.86,0.270773,-4.63956,-1.85536,0.299652,0,-5.98759,-1.86,0.267545,-5.25191,-1.71212,0.291975,0,-5.57619,-1.86,0.369492,-4.77501,-1.84049,0.428261,0,-4.70378,-1.86,0.117375,-4.04294,-2.17668,0.143159,0,-5.81192,-1.86,0.284098,-5.01322,-1.71676,0.31983,0,-5.87799,-1.86,0.154119,-5.10155,-1.70449,0.139613,0,-5.76369,-1.86,0.603263,-5.02802,-1.85314,0.728188,0,-5.47544,-1.86,0.111513,-4.63754,-1.83225,0.0952964,0,-5.9207,-1.86,0.552663,-5.18391,-1.76001,0.674695,0,-5.57536,-1.86,0.66699,-4.77189,-1.83561,0.811834,0,
0.16667,-6.55418,-3.46726,0.306805,-6.02903,-3.90168,0.348357,-5.79591,-1.86,0.851313,-5.06972,-1.86357,1.03626,0,-5.63791,-1.86,0.200968,-4.8304,-1.80005,0.206643,0,-5.99466,-1.86,0.441136,-5.28662,-1.7651,0.523077,0,-5.64896,-1.86,0.512858,-4.86954,-1.84094,0.609457,0,-4.85091,-1.86,0.455603,-4.13011,-2.10897,0.516567,0,-5.45526,-1.86,0.497985,-4.64172,-1.87367,0.587271,0,-6.04205,-1.86,0.72568,-5.3491,-1.76611,0.900958,0,-5.04897,-1.86,0.392179,-4.23263,-1.98431,0.44448,0,-5.82495,-1.86,0.437888,-5.06469,-1.7746,0.520846,0,-5.26426,-1.86,0.535644,-4.48147,-1.96831,0.620811,0,-5.87314,-1.86,0.679621,-5.11051,-1.74447,0.84437,0,-5.46505,-1.86,0.270773,-4.65196,-1.87084,0.29638,0,-5.98759,-1.86,0.267545,-5.27099,-1.75276,0.291591,0,-5.57619,-1.86,0.369492,-4.78833,-1.86002,0.42434,0,-4.70378,-1.86,0.117375,-4.03851,-2.17695,0.142669,0,-5.81192,-1.86,0.284098,-5.0342,-1.75385,0.319338,0,-5.87799,-1.86,0.154119,-5.11423,-1.72989,0.139125,0,-5.76369,-1.86,0.603263,-5.03883,-1.87233,0.723024,0,-5.47544,-1.86,0.111513,-4.65114,-1.85032,0.0928456,0,-5.9207,-1.86,0.552663,-5.1953,-1.78306,0.669047,0,-5.57536,-1.86,0.66699,-4.78719,-1.85718,0.804499,0,
0.200004,-6.53072,-3.47559,0.30656,-6.00493,-3.91018,0.34744,-5.79591,-1.86,0.851313,-5.09471,-1.90096,1.02293,0,-5.63791,-1.86,0.200968,-4.86468,-1.84269,0.210173,0,-5.99466,-1.86,0.441136,-5.30851,-1.8093,0.519442,0,-5.64896,-1.86,0.512858,-4.89609,-1.87432,0.604713,0,-4.85091,-1.86,0.455603,-4.13976,-2.10939,0.518722,0,-5.45526,-1.86,0.497985,-4.67014,-1.90108,0.583477,0,-6.04205,-1.86,0.72568,-5.37793,-1.82881,0.886246,0,-5.04897,-1.86,0.392179,-4.24497,-1.98866,0.441901,0,-5.82495,-1.86,0.437888,-5.08926,-1.81252,0.517773,0,-5.26426,-1.86,0.535644,-4.49389,-1.97518,0.617794,0,-5.87314,-1.86,0.679621,-5.14429,-1.80033,0.831325,0,-5.46505,-1.86,0.270773,-4.67588,-1.89379,0.297721,0,-5.98759,-1.86,0.267545,-5.29407,-1.8005,0.292391,0,-5.57619,-1.86,0.369492,-4.81305,-1.8881,0.423366,0,-4.70378,-1.86,0.117375,-4.04512,-2.1741,0.141101,0,-5.81192,-1.86,0.284098,-5.06064,-1.79581,0.318354,0,-5.87799,-1.86,0.154119,-5.14617,-1.78401,0.145136,0,-5.76369,-1.86,0.603263,-5.06672,-1.91377,0.714191,0,-5.47544,-1.86,0.111513,-4.67448,-1.8727,0.0981877,0,-5.9207,-1.86,0.552663,-5.21445,-1.81709,0.664485,0,-5.57536,-1.86,0.66699,-4.81978,-1.89548,0.796005,0,
0.233338,-6.52214,-3.47857,0.306124,-5.99567,-3.9133,0.347093,-5.79591,-1.86,0.851313,-5.13023,-1.96365,1.00298,0,-5.63791,-1.86,0.200968,-4.90252,-1.90019,0.214963,0,-5.99466,-1.86,0.441136,-5.33709,-1.876,0.515045,0,-5.64896,-1.86,0.512858,-4.94144,-1.94247,0.596712,0,-4.85091,-1.86,0.455603,-4.16671,-2.13145,0.517668,0,-5.45526,-1.86,0.497985,-4.71173,-1.95342,0.578368,0,-6.04205,-1.86,0.72568,-5.40964,-1.90958,0.865266,0,-5.04897,-1.86,0.392179,-4.29023,-2.02912,0.444024,0,-5.82495,-1.86,0.437888,-5.14806,-1.92102,0.51172,0,-5.26426,-1.86,0.535644,-4.53295,-2.01575,0.612569,0,-5.87314,-1.86,0.679621,-5.17237,-1.85678,0.817748,0,-5.46505,-1.86,0.270773,-4.70981,-1.93684,0.299159,0,-5.98759,-1.86,0.267545,-5.32227,-1.8658,0.294618,0,-5.57619,-1.86,0.369492,-4.85306,-1.94413,0.422836,0,-4.70378,-1.86,0.117375,-4.06874,-2.19189,0.146197,0,-5.81192,-1.86,0.284098,-5.09617,-1.86034,0.321104,0,-5.87799,-1.86,0.154119,-5.17983,-1.8516,0.152553,0,-5.76369,-1.86,0.603263,-5.10861,-1.98606,0.701542,0,-5.47544,-1.86,0.111513,-4.71559,-1.92459,0.105225,0,-5.9207,-1.86,0.552663,-5.25256,-1.89526,0.652509,0,-5.57536,-1.86,0.66699,-4.87306,-1.97065,0.780725,0,
0.266672,-6.49753,-3.48719,0.30589,-5.98165,-3.91795,0.34657,-5.79591,-1.86,0.851313,-5.15198,-2.00409,0.985975,0,-5.63791,-1.86,0.200968,-4.94022,-1.95728,0.217012,0,-5.99466,-1.86,0.441136,-5.36357,-1.94,0.509158,0,-5.64896,-1.86,0.512858,-4.96523,-1.98084,0.590643,0,-4.85091,-1.86,0.455603,-4.20011,-2.1566,0.512305,0,-5.45526,-1.86,0.497985,-4.74725,-1.99847,0.569861,0,-6.04205,-1.86,0.72568,-5.42981,-1.96416,0.850117,0,-5.04897,-1.86,0.392179,-4.32948,-2.06458,0.438108,0,-5.82495,-1.86,0.437888,-5.18952,-2.00282,0.502757,0,-5.26426,-1.86,0.535644,-4.57109,-2.0566,0.601905,0,-5.87314,-1.86,0.679621,-5.21014,-1.93084,0.799196,0,-5.46505,-1.86,0.270773,-4.75998,-1.99948,0.300607,0,-5.98759,-1.86,0.267545,-5.35537,-1.94413,0.29576,0,-5.57619,-1.86,0.369492,-4.88796,-1.99407,0.418282,0,-4.70378,-1.86,0.117375,-4.10761,-2.21898,0.143879,0,-5.81192,-1.86,0.284098,-5.13139,-1.92557,0.319302,0,-5.87799,-1.86,0.154119,-5.20516,-1.90365,0.157617,0,-5.76369,-1.86,0.603263,-5.13294,-2.03088,0.692453,0,-5.47544,-1.86,0.111513,-4.75654,-1.97697,0.111282,0,-5.9207,-1.86,0.552663,-5.27984,-1.95545,0.64256,0,-5.57536,-1.86,0.66699,-4.92666,-2.04855,0.764513,0,
0.300007,-6.49753,-3.48719,0.30589,-5.97048,-3.92203,0.34614,-5.79591,-1.86,0.851313,-5.16545,-2.03215,0.978934,0,-5.63791,-1.86,0.200968,-4.95678,-1.98763,0.222559,0,-5.99466,-1.86,0.441136,-5.37456,-1.97247,0.507482,0,-5.64896,-1.86,0.512858,-4.98066,-2.00814,0.589454,0,-4.85091,-1.86,0.455603,-4.20771,-2.16883,0.516621,0,-5.45526,-1.86,0.497985,-4.76953,-2.03152,0.571426,0,-6.04205,-1.86,0.72568,-5.43756,-1.99002,0.843861,0,-5.04897,-1.86,0.392179,-4.33736,-2.07831,0.442922,0,-5.82495,-1.86,0.437888,-5.20836,-2.04474,0.497422,0,-5.26426,-1.86,0.535644,-4.58098,-2.07209,0.60092,0,-5.87314,-1.86,0.679621,-5.22425,-1.96566,0.793406,0,-5.46505,-1.86,0.270773,-4.7767,-2.02885,0.308254,0,-5.98759,-1.86,0.267545,-5.35771,-1.95924,0.297755,0,-5.57619,-1.86,0.369492,-4.89908,-2.01548,0.421233,0,-4.70378,-1.86,0.117375,-4.10843,-2.22723,0.152138,0,-5.81192,-1.86,0.284098,-5.14052,-1.9488,0.321106,0,-5.87799,-1.86,0.154119,-5.21467,-1.92828,0.161632,0,-5.76369,-1.86,0.603263,-5.14665,-2.05951,0.690245,0,-5.47544,-1.86,0.111513,-4.76543,-1.99438,0.115575,0,-5.9207,-1.86,0.552663,-5.28307,-1.97022,0.642537,0,-5.57536,-1.86,0.66699,-4.93732,-2.07161,0.762455,0,
