time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,
0,-3.91987,-3.41335,0.291166,-3.33729,-3.66535,0.259823,-3.26753,-1.86,0.340497,-2.30743,-1.21303,0.337703,0,-3.29521,-1.86,0.621409,-2.3467,-1.20201,0.783532,0,-4.28756,-1.86,0.725663,-3.94185,-1.11137,0.974215,0,-3.31491,-1.86,0.788635,-2.40282,-1.26589,1.02827,0,-4.13305,-1.86,0.584146,-3.69989,-1.02339,0.75813,0,-3.78216,-1.86,0.441094,-3.10208,-1.01204,0.51592,0,-3.56674,-1.86,0.454706,-2.73867,-1.03209,0.53706,0,-3.34221,-1.86,0.421868,-2.39448,-1.13007,0.473148,0,-3.69498,-1.86,0.61036,-2.96673,-1.10575,0.785791,0,-3.44936,-1.86,0.677752,-2.57682,-1.15472,0.884651,0,-4.28514,-1.86,0.175842,-3.94911,-1.06358,0.0666622,0,-4.24235,-1.86,0.579845,-3.87404,-1.07992,0.740309,0,-3.68158,-1.86,0.303108,-2.9318,-1.02204,0.280145,0,-4.00991,-1.86,0.8057,-3.48492,-1.11859,1.10342,0,-4.00603,-1.86,0.690327,-3.48014,-1.09026,0.921541,0,-3.66755,-1.86,0.158683,-2.91558,-1.06912,0.0383934,0,-3.5856,-1.86,0.718781,-2.79224,-1.13245,0.957096,0,-3.45559,-1.86,0.374701,-2.57071,-1.10057,0.397751,0,-3.79782,-1.86,0.760504,-3.13811,-1.13016,1.02582,0,-4.06929,-1.86,0.360865,-3.59016,-1.03669,0.377772,0,-3.3876,-1.86,0.563638,-2.47777,-1.15695,0.699822,0,-3.87384,-1.86,0.647825,-3.26086,-1.08535,0.85221,0,-3.55922,-1.86,0.195347,-2.72889,-1.04485,0.0981757,0,-3.49021,-1.86,0.80119,-2.66888,-1.24881,1.05327,0,-3.80872,-1.86,0.168283,-3.14796,-1.0192,0.0504906,0,-4.11856,-1.86,0.220893,-3.67147,-1.05279,0.141631,0,-4.12908,-1.86,0.469899,-3.68977,-1.04836,0.560942,0,-3.96315,-1.86,0.177991,-3.4119,-0.987748,0.064737,0,-3.32659,-1.86,0.158503,-2.3702,-1.13327,0.0435727,0,-3.66882,-1.86,0.414652,-2.91269,-1.03814,0.468678,0,-4.13129,-1.86,0.832229,-3.6753,-1.18202,1.12482,0,-4.36734,-1.86,0.835485,-4.0357,-1.24093,1.10938,0,
0.0333341,-3.89404,-3.41318,0.291104,-3.32207,-3.66503,0.259487,-3.26753,-1.86,0.340497,-2.33017,-1.25239,0.336526,0,-3.29521,-1.86,0.621409,-2.3529,-1.21341,0.781151,0,-4.28756,-1.86,0.725663,-3.93792,-1.14282,0.965518,0,-3.31491,-1.86,0.788635,-2.40899,-1.27995,1.02465,0,-4.13305,-1.86,0.584146,-3.69948,-1.05931,0.754635,0,-3.78216,-1.86,0.441094,-3.10453,-1.03649,0.511908,0,-3.56674,-1.86,0.454706,-2.74768,-1.05591,0.532763,0,-3.34221,-1.86,0.421868,-2.40657,-1.15357,0.471252,0,-3.69498,-1.86,0.61036,-2.97734,-1.15013,0.777698,0,-3.44936,-1.86,0.677752,-2.58241,-1.17075,0.881583,0,-4.28514,-1.86,0.175842,-3.94388,-1.10071,0.0694898,0,-4.24235,-1.86,0.579845,-3.87029,-1.10631,0.735449,0,-3.68158,-1.86,0.303108,-2.94145,-1.06126,0.282347,0,-4.00991,-1.86,0.8057,-3.48808,-1.1622,1.08979,0,-4.00603,-1.86,0.690327,-3.47987,-1.12282,0.911699,0,-3.66755,-1.86,0.158683,-2.93105,-1.12827,0.0433559,0,-3.5856,-1.86,0.718781,-2.79856,-1.15419,0.951156,0,-3.45559,-1.86,0.374701,-2.57645,-1.1171,0.395968,0,-3.79782,-1.86,0.760504,-3.14284,-1.15855,1.01824,0,-4.06929,-1.86,0.360865,-3.58797,-1.09748,0.379789,0,-3.3876,-1.86,0.563638,-2.50424,-1.21172,0.684822,0,-3.87384,-1.86,0.647825,-3.26584,-1.13778,0.84535,0,-3.55922,-1.86,0.195347,-2.73419,-1.06473,0.103044,0,-3.49021,-1.86,0.80119,-2.67312,-1.26457,1.04808,0,-3.80872,-1.86,0.168283,-3.15327,-1.05943,0.0541415,0,-4.11856,-1.86,0.220893,-3.66848,-1.10749,0.144822,0,-4.12908,-1.86,0.469899,-3.68742,-1.08519,0.555831,0,-3.96315,-1.86,0.177991,-3.41105,-1.00271,0.0641614,0,-3.32659,-1.86,0.158503,-2.38605,-1.16182,0.0444118,0,-3.66882,-1.86,0.414652,-2.93106,-1.10986,0.467114,0,-4.13129,-1.86,0.832229,-3.67265,-1.19357,1.12174,0,-4.36734,-1.86,0.835485,-4.03016,-1.26277,1.10264,0,
0.0666681,-3.8838,-3.41295,0.290677,-3.31065,-3.6646,0.259241,-3.26753,-1.86,0.340497,-2.35496,-1.28816,0.335311,0,-3.29521,-1.86,0.621409,-2.38063,-1.25158,0.774022,0,-4.28756,-1.86,0.725663,-3.93636,-1.20178,0.946788,0,-3.31491,-1.86,0.788635,-2.43556,-1.3168,1.01202,0,-4.13305,-1.86,0.584146,-3.70301,-1.11828,0.738181,0,-3.78216,-1.86,0.441094,-3.11577,-1.0651,0.508724,0,-3.56674,-1.86,0.454706,-2.77125,-1.10618,0.527255,0,-3.34221,-1.86,0.421868,-2.43884,-1.20494,0.46718,0,-3.69498,-1.86,0.61036,-2.98899,-1.18147,0.775118,0,-3.44936,-1.86,0.677752,-2.61043,-1.21985,0.869512,0,-4.28514,-1.86,0.175842,-3.94226,-1.15688,0.0720257,0,-4.24235,-1.86,0.579845,-3.87051,-1.16548,0.722106,0,-3.68158,-1.86,0.303108,-2.9636,-1.12477,0.280366,0,-4.00991,-1.86,0.8057,-3.49653,-1.23739,1.05998,0,-4.00603,-1.86,0.690327,-3.49027,-1.2246,0.887603,0,-3.66755,-1.86,0.158683,-2.9541,-1.19776,0.0504643,0,-3.5856,-1.86,0.718781,-2.82365,-1.21032,0.935913,0,-3.45559,-1.86,0.374701,-2.60022,-1.15753,0.394054,0,-3.79782,-1.86,0.760504,-3.15932,-1.2142,1.00078,0,-4.06929,-1.86,0.360865,-3.5929,-1.16586,0.377135,0,-3.3876,-1.86,0.563638,-2.52991,-1.25739,0.677498,0,-3.87384,-1.86,0.647825,-3.27615,-1.17957,0.83617,0,-3.55922,-1.86,0.195347,-2.76896,-1.14442,0.104817,0,-3.49021,-1.86,0.80119,-2.69724,-1.30845,1.03465,0,-3.80872,-1.86,0.168283,-3.16597,-1.10317,0.054088,0,-4.11856,-1.86,0.220893,-3.67168,-1.15851,0.148167,0,-4.12908,-1.86,0.469899,-3.69132,-1.13585,0.549385,0,-3.96315,-1.86,0.177991,-3.42282,-1.06605,0.0672288,0,-3.32659,-1.86,0.158503,-2.42371,-1.2233,0.0512384,0,-3.66882,-1.86,0.414652,-2.94638,-1.15223,0.461495,0,-4.13129,-1.86,0.832229,-3.67829,-1.24842,1.10131,0,-4.36734,-1.86,0.835485,-4.0286,-1.30788,1.08562,0,
0.100002,-3.8838,-3.41295,0.290677,-3.30021,-3.66427,0.259013,-3.26753,-1.86,0.340497,-2.37978,-1.32807,0.330586,0,-3.29521,-1.86,0.621409,-2.42155,-1.32244,0.75494,0,-4.28756,-1.86,0.725663,-3.92666,-1.29464,0.922062,0,-3.31491,-1.86,0.788635,-2.47014,-1.37681,0.991523,0,-4.13305,-1.86,0.584146,-3.70061,-1.23549,0.715972,0,-3.78216,-1.86,0.441094,-3.14131,-1.18165,0.495379,0,-3.56674,-1.86,0.454706,-2.80117,-1.18718,0.517313,0,-3.34221,-1.86,0.421868,-2.47367,-1.27033,0.461086,0,-3.69498,-1.86,0.61036,-3.01753,-1.28214,0.755117,0,-3.44936,-1.86,0.677752,-2.64101,-1.28565,0.850862,0,-4.28514,-1.86,0.175842,-3.93355,-1.24257,0.0769287,0,-4.24235,-1.86,0.579845,-3.86378,-1.25298,0.704481,0,-3.68158,-1.86,0.303108,-2.99141,-1.22782,0.276224,0,-4.00991,-1.86,0.8057,-3.50199,-1.3293,1.02833,0,-4.00603,-1.86,0.690327,-3.49424,-1.30385,0.861734,0,-3.66755,-1.86,0.158683,-2.97221,-1.25971,0.0525213,0,-3.5856,-1.86,0.718781,-2.84979,-1.28298,0.91538,0,-3.45559,-1.86,0.374701,-2.6334,-1.2299,0.388721,0,-3.79782,-1.86,0.760504,-3.1758,-1.29041,0.977214,0,-4.06929,-1.86,0.360865,-3.59523,-1.23663,0.371398,0,-3.3876,-1.86,0.563638,-2.56204,-1.32087,0.665949,0,-3.87384,-1.86,0.647825,-3.28919,-1.25317,0.815034,0,-3.55922,-1.86,0.195347,-2.79897,-1.23004,0.106915,0,-3.49021,-1.86,0.80119,-2.72965,-1.38294,1.00807,0,-3.80872,-1.86,0.168283,-3.17998,-1.16644,0.0566782,0,-4.11856,-1.86,0.220893,-3.66973,-1.28335,0.150525,0,-4.12908,-1.86,0.469899,-3.69109,-1.22322,0.537908,0,-3.96315,-1.86,0.177991,-3.43025,-1.13756,0.0700003,0,-3.32659,-1.86,0.158503,-2.45439,-1.28033,0.0554395,0,-3.66882,-1.86,0.414652,-2.97077,-1.23272,0.453576,0,-4.13129,-1.86,0.832229,-3.676,-1.37227,1.05912,0,-4.36734,-1.86,0.835485,-4.01869,-1.38056,1.05722,0,
0.133336,-3.85668,-3.41276,0.290638,-3.27253,-3.66341,0.25841,-3.26753,-1.86,0.340497,-2.38905,-1.36786,0.328004,0,-3.29521,-1.86,0.621409,-2.42873,-1.36297,0.743617,0,-4.28756,-1.86,0.725663,-3.90764,-1.32318,0.91167,0,-3.31491,-1.86,0.788635,-2.47262,-1.40809,0.979554,0,-4.13305,-1.86,0.584146,-3.68256,-1.29498,0.703415,0,-3.78216,-1.86,0.441094,-3.14327,-1.27934,0.486376,0,-3.56674,-1.86,0.454706,-2.80764,-1.24982,0.509558,0,-3.34221,-1.86,0.421868,-2.48204,-1.31541,0.455415,0,-3.69498,-1.86,0.61036,-3.01735,-1.34318,0.742187,0,-3.44936,-1.86,0.677752,-2.63941,-1.31523,0.840668,0,-4.28514,-1.86,0.175842,-3.91229,-1.29277,0.081395,0,-4.24235,-1.86,0.579845,-3.84381,-1.30364,0.695771,0,-3.68158,-1.86,0.303108,-2.99393,-1.29846,0.277472,0,-4.00991,-1.86,0.8057,-3.4897,-1.4032,1.00722,0,-4.00603,-1.86,0.690327,-3.48233,-1.36058,0.847634,0,-3.66755,-1.86,0.158683,-2.97736,-1.33237,0.0573076,0,-3.5856,-1.86,0.718781,-2.85204,-1.33325,0.89959,0,-3.45559,-1.86,0.374701,-2.64741,-1.29945,0.380804,0,-3.79782,-1.86,0.760504,-3.17015,-1.33778,0.961771,0,-4.06929,-1.86,0.360865,-3.58129,-1.28468,0.369848,0,-3.3876,-1.86,0.563638,-2.57861,-1.38762,0.65112,0,-3.87384,-1.86,0.647825,-3.28461,-1.32929,0.797473,0,-3.55922,-1.86,0.195347,-2.81277,-1.31677,0.109594,0,-3.49021,-1.86,0.80119,-2.73219,-1.42587,0.991243,0,-3.80872,-1.86,0.168283,-3.17888,-1.24041,0.0616859,0,-4.11856,-1.86,0.220893,-3.65088,-1.36262,0.153301,0,-4.12908,-1.86,0.469899,-3.67432,-1.2825,0.530954,0,-3.96315,-1.86,0.177991,-3.42163,-1.21473,0.0765607,0,-3.32659,-1.86,0.158503,-2.46389,-1.32624,0.0570251,0,-3.66882,-1.86,0.414652,-2.97584,-1.30804,0.446813,0,-4.13129,-1.86,0.832229,-3.65831,-1.4159,1.04016,0,-4.36734,-1.86,0.835485,-3.99833,-1.41399,1.04441,0,
0.16667,-3.83074,-3.4126,0.29058,-3.25716,-3.66293,0.258075,-3.26753,-1.86,0.340497,-2.41535,-1.41892,0.32707,0,-3.29521,-1.86,0.621409,-2.45171,-1.40926,0.734027,0,-4.28756,-1.86,0.725663,-3.89939,-1.38052,0.896445,0,-3.31491,-1.86,0.788635,-2.49136,-1.44638,0.968282,0,-4.13305,-1.86,0.584146,-3.67782,-1.35534,0.693384,0,-3.78216,-1.86,0.441094,-3.1534,-1.3571,0.479279,0,-3.56674,-1.86,0.454706,-2.83028,-1.32728,0.50199,0,-3.34221,-1.86,0.421868,-2.5052,-1.36612,0.451311,0,-3.69498,-1.86,0.61036,-3.03042,-1.40741,0.728965,0,-3.44936,-1.86,0.677752,-2.66032,-1.36689,0.827233,0,-4.28514,-1.86,0.175842,-3.90229,-1.35326,0.0860334,0,-4.24235,-1.86,0.579845,-3.83546,-1.36428,0.684706,0,-3.68158,-1.86,0.303108,-3.00849,-1.36908,0.276797,0,-4.00991,-1.86,0.8057,-3.48899,-1.46443,0.987968,0,-4.00603,-1.86,0.690327,-3.48262,-1.42877,0.831446,0,-3.66755,-1.86,0.158683,-2.99258,-1.40342,0.0639134,0,-3.5856,-1.86,0.718781,-2.86848,-1.39067,0.883976,0,-3.45559,-1.86,0.374701,-2.66993,-1.36169,0.377724,0,-3.79782,-1.86,0.760504,-3.17888,-1.39688,0.944089,0,-4.06929,-1.86,0.360865,-3.57914,-1.33594,0.371325,0,-3.3876,-1.86,0.563638,-2.59945,-1.43979,0.642755,0,-3.87384,-1.86,0.647825,-3.28912,-1.38871,0.783186,0,-3.55922,-1.86,0.195347,-2.82836,-1.37383,0.113269,0,-3.49021,-1.86,0.80119,-2.74839,-1.47185,0.977148,0,-3.80872,-1.86,0.168283,-3.19157,-1.33986,0.0715666,0,-4.11856,-1.86,0.220893,-3.64533,-1.4284,0.156585,0,-4.12908,-1.86,0.469899,-3.66982,-1.34191,0.523447,0,-3.96315,-1.86,0.177991,-3.42376,-1.29674,0.081941,0,-3.32659,-1.86,0.158503,-2.48971,-1.38134,0.062614,0,-3.66882,-1.86,0.414652,-2.99172,-1.38316,0.442824,0,-4.13129,-1.86,0.832229,-3.65529,-1.45994,1.02499,0,-4.36734,-1.86,0.835485,-3.98875,-1.46281,1.02755,0,
0.200004,-3.83074,-3.4126,0.29058,-3.24597,-3.66259,0.257831,-3.26753,-1.86,0.340497,-2.44147,-1.46482,0.323514,0,-3.29521,-1.86,0.621409,-2.47605,-1.45232,0.724411,0,-4.28756,-1.86,0.725663,-3.88725,-1.47169,0.87346,0,-3.31491,-1.86,0.788635,-2.51369,-1.48503,0.953841,0,-4.13305,-1.86,0.584146,-3.67276,-1.45797,0.676309,0,-3.78216,-1.86,0.441094,-3.16726,-1.43439,0.470864,0,-3.56674,-1.86,0.454706,-2.85409,-1.40058,0.49252,0,-3.34221,-1.86,0.421868,-2.53216,-1.4186,0.445535,0,-3.69498,-1.86,0.61036,-3.04517,-1.46472,0.716464,0,-3.44936,-1.86,0.677752,-2.68039,-1.41127,0.815463,0,-4.28514,-1.86,0.175842,-3.89489,-1.41567,0.08926,0,-4.24235,-1.86,0.579845,-3.82965,-1.42728,0.671642,0,-3.68158,-1.86,0.303108,-3.02316,-1.4257,0.275493,0,-4.00991,-1.86,0.8057,-3.4921,-1.52647,0.964394,0,-4.00603,-1.86,0.690327,-3.48507,-1.46025,0.821772,0,-3.66755,-1.86,0.158683,-3.00953,-1.46839,0.0681953,0,-3.5856,-1.86,0.718781,-2.89358,-1.4695,0.864781,0,-3.45559,-1.86,0.374701,-2.6996,-1.4348,0.370633,0,-3.79782,-1.86,0.760504,-3.18987,-1.45227,0.926801,0,-4.06929,-1.86,0.360865,-3.58092,-1.3892,0.367967,0,-3.3876,-1.86,0.563638,-2.62476,-1.49286,0.632284,0,-3.87384,-1.86,0.647825,-3.29806,-1.45309,0.766992,0,-3.55922,-1.86,0.195347,-2.84956,-1.43499,0.115739,0,-3.49021,-1.86,0.80119,-2.76693,-1.51613,0.964836,0,-3.80872,-1.86,0.168283,-3.20456,-1.4267,0.0778285,0,-4.11856,-1.86,0.220893,-3.64367,-1.49178,0.157972,0,-4.12908,-1.86,0.469899,-3.66824,-1.40726,0.514584,0,-3.96315,-1.86,0.177991,-3.42851,-1.37127,0.0860388,0,-3.32659,-1.86,0.158503,-2.5174,-1.43499,0.0660514,0,-3.66882,-1.86,0.414652,-3.01385,-1.47265,0.433478,0,-4.13129,-1.86,0.832229,-3.65596,-1.49402,1.00981,0,-4.36734,-1.86,0.835485,-3.98207,-1.51041,1.01038,0,
0.233338,-3.8209,-3.41245,0.290191,-3.23586,-3.66229,0.25761,-3.26753,-1.86,0.340497,-2.46571,-1.50482,0.319461,0,-3.29521,-1.86,0.621409,-2.507,-1.50638,0.710605,0,-4.28756,-1.86,0.725663,-3.87939,-1.534,0.853073,0,-3.31491,-1.86,0.788635,-2.53497,-1.51963,0.939966,0,-4.13305,-1.86,0.584146,-3.67018,-1.51861,0.659874,0,-3.78216,-1.86,0.441094,-3.18005,-1.50075,0.46143,0,-3.56674,-1.86,0.454706,-2.87758,-1.47011,0.483229,0,-3.34221,-1.86,0.421868,-2.55503,-1.46218,0.436046,0,-3.69498,-1.86,0.61036,-3.0593,-1.51387,0.703353,0,-3.44936,-1.86,0.677752,-2.70035,-1.45175,0.802512,0,-4.28514,-1.86,0.175842,-3.88989,-1.46374,0.0872771,0,-4.24235,-1.86,0.579845,-3.82796,-1.46574,0.66314,0,-3.68158,-1.86,0.303108,-3.03774,-1.47508,0.273747,0,-4.00991,-1.86,0.8057,-3.49527,-1.54073,0.960552,0,-4.00603,-1.86,0.690327,-3.49032,-1.50228,0.808131,0,-3.66755,-1.86,0.158683,-3.02497,-1.52247,0.0703513,0,-3.5856,-1.86,0.718781,-2.91282,-1.52601,0.847094,0,-3.45559,-1.86,0.374701,-2.72155,-1.4854,0.366939,0,-3.79782,-1.86,0.760504,-3.20082,-1.50054,0.909324,0,-4.06929,-1.86,0.360865,-3.5835,-1.43305,0.362452,0,-3.3876,-1.86,0.563638,-2.63627,-1.51208,0.62876,0,-3.87384,-1.86,0.647825,-3.30808,-1.53458,0.742248,0,-3.55922,-1.86,0.195347,-2.86688,-1.48228,0.115048,0,-3.49021,-1.86,0.80119,-2.78495,-1.55389,0.949622,0,-3.80872,-1.86,0.168283,-3.21603,-1.49277,0.0817684,0,-4.11856,-1.86,0.220893,-3.6456,-1.5127,0.160983,0,-4.12908,-1.86,0.469899,-3.66859,-1.45399,0.507604,0,-3.96315,-1.86,0.177991,-3.43351,-1.42219,0.087621,0,-3.32659,-1.86,0.158503,-2.54091,-1.47844,0.0662846,0,-3.66882,-1.86,0.414652,-3.02247,-1.50006,0.430677,0,-4.13129,-1.86,0.832229,-3.65865,-1.5276,0.997674,0,-4.36734,-1.86,0.835485,-3.98124,-1.53283,1.00118,0,
0.266672,-3.79441,-3.41237,0.290211,-3.20851,-3.66149,0.257012,-3.26753,-1.86,0.340497,-2.47685,-1.5536,0.319398,0,-3.29521,-1.86,0.621409,-2.51271,-1.54744,0.701767,0,-4.28756,-1.86,0.725663,-3.85715,-1.57785,0.838209,0,-3.31491,-1.86,0.788635,-2.54022,-1.55839,0.928183,0,-4.13305,-1.86,0.584146,-3.65197,-1.56773,0.650425,0,-3.78216,-1.86,0.441094,-3.16946,-1.5276,0.458809,0,-3.56674,-1.86,0.454706,-2.87651,-1.5171,0.476831,0,-3.34221,-1.86,0.421868,-2.55652,-1.4953,0.432376,0,-3.69498,-1.86,0.61036,-3.05494,-1.56014,0.692001,0,-3.44936,-1.86,0.677752,-2.70176,-1.49068,0.792697,0,-4.28514,-1.86,0.175842,-3.86915,-1.50619,0.0904166,0,-4.24235,-1.86,0.579845,-3.804,-1.5332,0.645507,0,-3.68158,-1.86,0.303108,-3.03733,-1.53961,0.272776,0,-4.00991,-1.86,0.8057,-3.48323,-1.57282,0.949657,0,-4.00603,-1.86,0.690327,-3.47697,-1.55951,0.79279,0,-3.66755,-1.86,0.158683,-3.0202,-1.56441,0.0733602,0,-3.5856,-1.86,0.718781,-2.91127,-1.57169,0.835685,0,-3.45559,-1.86,0.374701,-2.72777,-1.54031,0.364025,0,-3.79782,-1.86,0.760504,-3.19188,-1.53774,0.901942,0,-4.06929,-1.86,0.360865,-3.56839,-1.47833,0.360136,0,-3.3876,-1.86,0.563638,-2.6435,-1.55893,0.617489,0,-3.87384,-1.86,0.647825,-3.2958,-1.56412,0.737226,0,-3.55922,-1.86,0.195347,-2.86711,-1.52891,0.118801,0,-3.49021,-1.86,0.80119,-2.77947,-1.5767,0.94004,0,-3.80872,-1.86,0.168283,-3.21008,-1.56222,0.0882721,0,-4.11856,-1.86,0.220893,-3.62719,-1.58416,0.158902,0,-4.12908,-1.86,0.469899,-3.65028,-1.51363,0.499118,0,-3.96315,-1.86,0.177991,-3.42123,-1.48087,0.0896911,0,-3.32659,-1.86,0.158503,-2.5423,-1.5108,0.0687829,0,-3.66882,-1.86,0.414652,-3.01546,-1.5294,0.423338,0,-4.13129,-1.86,0.832229,-3.64062,-1.59285,0.973225,0,-4.36734,-1.86,0.835485,-3.96081,-1.56483,0.984451,0,
0.300007,-3.79441,-3.41237,0.290211,-3.19327,-3.66105,0.256679,-3.26753,-1.86,0.340497,-2.48472,-1.57374,0.318383,0,-3.29521,-1.86,0.621409,-2.52232,-1.57218,0.699744,0,-4.28756,-1.86,0.725663,-3.85214,-1.59681,0.835995,0,-3.31491,-1.86,0.788635,-2.54423,-1.57157,0.925489,0,-4.13305,-1.86,0.584146,-3.64891,-1.58008,0.648407,0,-3.78216,-1.86,0.441094,-3.17211,-1.55188,0.455164,0,-3.56674,-1.86,0.454706,-2.88648,-1.55854,0.475054,0,-3.34221,-1.86,0.421868,-2.56319,-1.51309,0.432507,0,-3.69498,-1.86,0.61036,-3.05793,-1.58377,0.688656,0,-3.44936,-1.86,0.677752,-2.71468,-1.52866,0.783172,0,-4.28514,-1.86,0.175842,-3.86596,-1.5127,0.0921853,0,-4.24235,-1.86,0.579845,-3.79695,-1.56579,0.640382,0,-3.68158,-1.86,0.303108,-3.04121,-1.56983,0.272425,0,-4.00991,-1.86,0.8057,-3.48179,-1.58844,0.946788,0,-4.00603,-1.86,0.690327,-3.47474,-1.57642,0.788254,0,-3.66755,-1.86,0.158683,-3.02855,-1.61056,0.079524,0,-3.5856,-1.86,0.718781,-2.92468,-1.6286,0.822092,0,-3.45559,-1.86,0.374701,-2.73669,-1.5713,0.364754,0,-3.79782,-1.86,0.760504,-3.19122,-1.55345,0.902049,0,-4.06929,-1.86,0.360865,-3.56582,-1.50232,0.3606,0,-3.3876,-1.86,0.563638,-2.65596,-1.59436,0.614325,0,-3.87384,-1.86,0.647825,-3.29577,-1.5792,0.736072,0,-3.55922,-1.86,0.195347,-2.87212,-1.55229,0.121847,0,-3.49021,-1.86,0.80119,-2.77691,-1.57468,0.941491,0,-3.80872,-1.86,0.168283,-3.21113,-1.59149,0.08914,0,-4.11856,-1.86,0.220893,-3.62215,-1.61879,0.162788,0,-4.12908,-1.86,0.469899,-3.64602,-1.54082,0.497632,0,-3.96315,-1.86,0.177991,-3.42036,-1.52543,0.0954797,0,-3.32659,-1.86,0.158503,-2.5529,-1.53633,0.0717704,0,-3.66882,-1.86,0.414652,-3.01832,-1.54625,0.423582,0,-4.13129,-1.86,0.832229,-3.6357,-1.62584,0.964125,0,-4.36734,-1.86,0.835485,-3.95768,-1.57342,0.983018,0,
