time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,
0,7.34872,-2.54125,0.15712,8.27468,-2.3181,0.0383872,6.16,-1.25705,0.570626,6.59956,-0.50844,0.621089,0,6.16,-1.85263,0.563048,6.45293,-1.26277,0.660481,0,6.16,-1.49173,0.471186,6.4881,-0.74074,0.510407,0,6.16,-1.50936,0.0549905,6.50587,-0.782655,-0.113582,0,6.16,-1.72847,0.208158,6.32208,-0.983019,0.122222,0,6.16,-1.68389,0.511767,6.35779,-0.935548,0.610278,0,6.16,-1.5498,0.334231,6.41037,-0.763186,0.316153,0,6.16,-1.38775,0.206588,6.46589,-0.562904,0.113659,0,6.16,-1.72607,0.659089,6.36806,-1.01061,0.843504,0,6.16,-1.79195,0.439866,6.31719,-1.08422,0.503988,0,6.16,-0.641624,0.616281,6.8928,-0.109806,0.572156,0,6.16,-1.8491,0.317058,6.30857,-1.1733,0.302917,0,6.16,-1.01698,0.321785,6.69851,-0.297019,0.256722,0,6.16,-1.72276,0.331021,6.43819,-1.05359,0.307049,0,6.16,-0.821214,0.115989,6.75478,-0.11887,-0.0142033,0,6.16,-1.81903,0.132649,6.25702,-1.09225,-0.00314885,0,6.16,-1.03889,0.525045,6.68245,-0.305774,0.531202,0,6.16,-1.55602,0.68119,6.48396,-0.833916,0.827858,0,6.16,-1.59598,0.220366,6.33209,-0.773346,0.141743,0,6.16,-1.25697,0.114972,6.52797,-0.430981,-0.0235453,0,5.78939,-1.86,0.133183,6.0368,-1.3404,0.00403261,0,6.16,-1.04751,0.190576,6.71133,-0.353597,0.0823863,0,5.91605,-1.86,0.661397,6.17894,-1.32155,0.776052,0,6.16,-1.6416,0.422401,6.39356,-0.894421,0.458186,0,
0.033334,7.35359,-2.53224,0.156732,8.28068,-2.30872,0.0385012,6.16,-1.25705,0.570626,6.62724,-0.538966,0.61112,0,6.16,-1.85263,0.563048,6.53004,-1.31244,0.633216,0,6.16,-1.49173,0.471186,6.54591,-0.796734,0.493873,0,6.16,-1.50936,0.0549905,6.57408,-0.847717,-0.109244,0,6.16,-1.72847,0.208158,6.40991,-1.05009,0.118666,0,6.16,-1.68389,0.511767,6.42335,-0.987703,0.590424,0,6.16,-1.5498,0.334231,6.46623,-0.813321,0.308715,0,6.16,-1.38775,0.206588,6.51132,-0.610096,0.112598,0,6.16,-1.72607,0.659089,6.42855,-1.05628,0.816904,0,6.16,-1.79195,0.439866,6.39241,-1.13618,0.485681,0,6.16,-0.641624,0.616281,6.90207,-0.118441,0.566593,0,6.16,-1.8491,0.317058,6.39415,-1.22831,0.290762,0,6.16,-1.01698,0.321785,6.72128,-0.326138,0.252818,0,6.16,-1.72276,0.331021,6.50474,-1.10331,0.29679,0,6.16,-0.821214,0.115989,6.77022,-0.140545,-0.014755,0,6.16,-1.81903,0.132649,6.34748,-1.15316,-0.002525,0,6.16,-1.03889,0.525045,6.70311,-0.331843,0.52432,0,6.16,-1.55602,0.68119,6.52921,-0.874925,0.806776,0,6.16,-1.59598,0.220366,6.40447,-0.836668,0.137259,0,6.16,-1.25697,0.114972,6.56368,-0.471671,-0.0236614,0,5.78939,-1.86,0.133183,6.09402,-1.36767,0.00580126,0,6.16,-1.04751,0.190576,6.7334,-0.382178,0.0798855,0,5.91605,-1.86,0.661397,6.23999,-1.3538,0.752095,0,6.16,-1.6416,0.422401,6.46391,-0.953401,0.441939,0,
0.0666681,7.35359,-2.53224,0.156732,8.28605,-2.29991,0.0386151,6.16,-1.25705,0.570626,6.6476,-0.561064,0.603641,0,6.16,-1.85263,0.563048,6.58313,-1.34624,0.612338,0,6.16,-1.49173,0.471186,6.5964,-0.845053,0.484756,0,6.16,-1.50936,0.0549905,6.62337,-0.89385,-0.105725,0,6.16,-1.72847,0.208158,6.46993,-1.09437,0.114924,0,6.16,-1.68389,0.511767,6.47164,-1.02551,0.573534,0,6.16,-1.5498,0.334231,6.5111,-0.853847,0.299399,0,6.16,-1.38775,0.206588,6.54637,-0.646044,0.10849,0,6.16,-1.72607,0.659089,6.4705,-1.08749,0.797476,0,6.16,-1.79195,0.439866,6.45069,-1.17667,0.470565,0,6.16,-0.641624,0.616281,6.9082,-0.121979,0.566125,0,6.16,-1.8491,0.317058,6.4598,-1.27044,0.280316,0,6.16,-1.01698,0.321785,6.73854,-0.347446,0.250749,0,6.16,-1.72276,0.331021,6.55116,-1.13789,0.289122,0,6.16,-0.821214,0.115989,6.78142,-0.153013,-0.0145726,0,6.16,-1.81903,0.132649,6.41534,-1.1984,-0.000899862,0,6.16,-1.03889,0.525045,6.71822,-0.349406,0.519337,0,6.16,-1.55602,0.68119,6.57307,-0.915561,0.787828,0,6.16,-1.59598,0.220366,6.45919,-0.883766,0.133321,0,6.16,-1.25697,0.114972,6.59255,-0.504407,-0.0232783,0,5.78939,-1.86,0.133183,6.12823,-1.38299,0.00637044,0,6.16,-1.04751,0.190576,6.74457,-0.392302,0.0799233,0,5.91605,-1.86,0.661397,6.27913,-1.37376,0.737052,0,6.16,-1.6416,0.422401,6.54182,-1.01947,0.421011,0,
0.100002,7.36678,-2.50942,0.156364,8.29959,-2.2772,0.0389173,6.16,-1.25705,0.570626,6.67013,-0.603835,0.593956,0,6.16,-1.85263,0.563048,6.62554,-1.37822,0.598244,0,6.16,-1.49173,0.471186,6.65057,-0.907976,0.470719,0,6.16,-1.50936,0.0549905,6.68077,-0.958112,-0.100028,0,6.16,-1.72847,0.208158,6.53082,-1.14816,0.112728,0,6.16,-1.68389,0.511767,6.53185,-1.08329,0.554492,0,6.16,-1.5498,0.334231,6.56935,-0.918893,0.291385,0,6.16,-1.38775,0.206588,6.58155,-0.697612,0.108261,0,6.16,-1.72607,0.659089,6.52405,-1.13783,0.772881,0,6.16,-1.79195,0.439866,6.52048,-1.23335,0.453151,0,6.16,-0.641624,0.616281,6.90515,-0.140882,0.565521,0,6.16,-1.8491,0.317058,6.53058,-1.32266,0.271407,0,6.16,-1.01698,0.321785,6.74914,-0.381215,0.24934,0,6.16,-1.72276,0.331021,6.60699,-1.18777,0.280857,0,6.16,-0.821214,0.115989,6.7811,-0.174298,-0.0113194,0,6.16,-1.81903,0.132649,6.48767,-1.25435,0.00115493,0,6.16,-1.03889,0.525045,6.72611,-0.374263,0.522428,0,6.16,-1.55602,0.68119,6.62227,-0.970951,0.764285,0,6.16,-1.59598,0.220366,6.50201,-0.931022,0.132336,0,6.16,-1.25697,0.114972,6.61671,-0.548924,-0.0196479,0,5.78939,-1.86,0.133183,6.17587,-1.41626,0.00611052,0,6.16,-1.04751,0.190576,6.75221,-0.42126,0.0803871,0,5.91605,-1.86,0.661397,6.33599,-1.41342,0.716167,0,6.16,-1.6416,0.422401,6.61293,-1.08612,0.406496,0,
0.133336,7.37923,-2.48706,0.15604,8.3069,-2.26439,0.039096,6.16,-1.25705,0.570626,6.69908,-0.640036,0.583785,0,6.16,-1.85263,0.563048,6.66621,-1.40448,0.581901,0,6.16,-1.49173,0.471186,6.69198,-0.94787,0.458492,0,6.16,-1.50936,0.0549905,6.74137,-1.01491,-0.0981787,0,6.16,-1.72847,0.208158,6.59407,-1.19557,0.10837,0,6.16,-1.68389,0.511767,6.58897,-1.12874,0.537142,0,6.16,-1.5498,0.334231,6.60798,-0.953204,0.282009,0,6.16,-1.38775,0.206588,6.61958,-0.739271,0.106522,0,6.16,-1.72607,0.659089,6.59154,-1.18999,0.742002,0,6.16,-1.79195,0.439866,6.58283,-1.27626,0.436019,0,6.16,-0.641624,0.616281,6.917,-0.167168,0.558336,0,6.16,-1.8491,0.317058,6.59381,-1.36269,0.260792,0,6.16,-1.01698,0.321785,6.7644,-0.4041,0.246085,0,6.16,-1.72276,0.331021,6.65554,-1.22417,0.27201,0,6.16,-0.821214,0.115989,6.7885,-0.187117,-0.0110607,0,6.16,-1.81903,0.132649,6.55463,-1.29863,0.000511054,0,6.16,-1.03889,0.525045,6.74448,-0.404986,0.513363,0,6.16,-1.55602,0.68119,6.66086,-1.00628,0.744287,0,6.16,-1.59598,0.220366,6.56406,-0.986603,0.12664,0,6.16,-1.25697,0.114972,6.65159,-0.592706,-0.0191643,0,5.78939,-1.86,0.133183,6.21995,-1.43876,0.00520647,0,6.16,-1.04751,0.190576,6.77471,-0.455049,0.0757467,0,5.91605,-1.86,0.661397,6.38062,-1.43748,0.69844,0,6.16,-1.6416,0.422401,6.66691,-1.12999,0.392703,0,
0.16667,7.37923,-2.48706,0.15604,8.31248,-2.25466,0.0392311,6.16,-1.25705,0.570626,6.72232,-0.664199,0.572926,0,6.16,-1.85263,0.563048,6.69843,-1.4233,0.570104,0,6.16,-1.49173,0.471186,6.72017,-0.971749,0.447965,0,6.16,-1.50936,0.0549905,6.79099,-1.05821,-0.0958785,0,6.16,-1.72847,0.208158,6.63998,-1.22671,0.104709,0,6.16,-1.68389,0.511767,6.62758,-1.15589,0.521921,0,6.16,-1.5498,0.334231,6.64633,-0.985975,0.275537,0,6.16,-1.38775,0.206588,6.6579,-0.776466,0.100132,0,6.16,-1.72607,0.659089,6.6206,-1.20777,0.728026,0,6.16,-1.79195,0.439866,6.62672,-1.30374,0.424235,0,6.16,-0.641624,0.616281,6.92256,-0.164541,0.554296,0,6.16,-1.8491,0.317058,6.6421,-1.39087,0.252762,0,6.16,-1.01698,0.321785,6.78394,-0.427752,0.239011,0,6.16,-1.72276,0.331021,6.69353,-1.25026,0.264598,0,6.16,-0.821214,0.115989,6.80194,-0.203724,-0.0150707,0,6.16,-1.81903,0.132649,6.61487,-1.33596,0.000249546,0,6.16,-1.03889,0.525045,6.75327,-0.409868,0.509115,0,6.16,-1.55602,0.68119,6.67836,-1.01792,0.733533,0,6.16,-1.59598,0.220366,6.61373,-1.02619,0.121729,0,6.16,-1.25697,0.114972,6.68044,-0.622492,-0.0219092,0,5.78939,-1.86,0.133183,6.26191,-1.45772,0.00592433,0,6.16,-1.04751,0.190576,6.8032,-0.491252,0.0717697,0,5.91605,-1.86,0.661397,6.41601,-1.45442,0.685112,0,6.16,-1.6416,0.422401,6.69717,-1.15062,0.381048,0,
0.200004,7.38333,-2.47847,0.155683,8.31708,-2.24627,0.0393534,6.16,-1.25705,0.570626,6.75697,-0.702893,0.562712,0,6.16,-1.85263,0.563048,6.74585,-1.45215,0.554652,0,6.16,-1.49173,0.471186,6.75156,-0.999518,0.439798,0,6.16,-1.50936,0.0549905,6.84813,-1.10892,-0.0894136,0,6.16,-1.72847,0.208158,6.69765,-1.26715,0.10364,0,6.16,-1.68389,0.511767,6.67742,-1.19308,0.508657,0,6.16,-1.5498,0.334231,6.71007,-1.04121,0.27003,0,6.16,-1.38775,0.206588,6.70011,-0.81822,0.100263,0,6.16,-1.72607,0.659089,6.66581,-1.24047,0.710369,0,6.16,-1.79195,0.439866,6.68167,-1.33942,0.412013,0,6.16,-0.641624,0.616281,6.93336,-0.179623,0.553153,0,6.16,-1.8491,0.317058,6.70243,-1.42695,0.24634,0,6.16,-1.01698,0.321785,6.80969,-0.460972,0.237212,0,6.16,-1.72276,0.331021,6.74345,-1.28573,0.258489,0,6.16,-0.821214,0.115989,6.81657,-0.221599,-0.0130913,0,6.16,-1.81903,0.132649,6.67767,-1.37461,0.00312648,0,6.16,-1.03889,0.525045,6.77234,-0.433618,0.506496,0,6.16,-1.55602,0.68119,6.71211,-1.04769,0.72007,0,6.16,-1.59598,0.220366,6.66078,-1.06367,0.121431,0,6.16,-1.25697,0.114972,6.71497,-0.660421,-0.0197346,0,5.78939,-1.86,0.133183,6.3143,-1.48142,0.00833794,0,6.16,-1.04751,0.190576,6.83317,-0.528942,0.0733625,0,5.91605,-1.86,0.661397,6.46743,-1.48039,0.667321,0,6.16,-1.6416,0.422401,6.7381,-1.18279,0.373418,0,
0.233338,7.39578,-2.45508,0.155399,8.32402,-2.23339,0.039544,6.16,-1.25705,0.570626,6.79741,-0.751575,0.548718,0,6.16,-1.85263,0.563048,6.80614,-1.48884,0.535228,0,6.16,-1.49173,0.471186,6.80928,-1.0548,0.426832,0,6.16,-1.50936,0.0549905,6.91806,-1.17157,-0.0830427,0,6.16,-1.72847,0.208158,6.75836,-1.31018,0.10207,0,6.16,-1.68389,0.511767,6.74293,-1.24324,0.489675,0,6.16,-1.5498,0.334231,6.76557,-1.08954,0.261753,0,6.16,-1.38775,0.206588,6.75929,-0.880655,0.0990004,0,6.16,-1.72607,0.659089,6.70238,-1.26705,0.694528,0,6.16,-1.79195,0.439866,6.7529,-1.38636,0.396748,0,6.16,-0.641624,0.616281,6.95182,-0.219167,0.543633,0,6.16,-1.8491,0.317058,6.77657,-1.47147,0.237707,0,6.16,-1.01698,0.321785,6.83997,-0.505913,0.233332,0,6.16,-1.72276,0.331021,6.81212,-1.33518,0.249569,0,6.16,-0.821214,0.115989,6.84522,-0.273766,-0.0111989,0,6.16,-1.81903,0.132649,6.75808,-1.42497,0.00685189,0,6.16,-1.03889,0.525045,6.80477,-0.482751,0.496378,0,6.16,-1.55602,0.68119,6.76738,-1.09789,0.69681,0,6.16,-1.59598,0.220366,6.72499,-1.11811,0.118942,0,6.16,-1.25697,0.114972,6.76618,-0.722065,-0.0163271,0,5.78939,-1.86,0.133183,6.38272,-1.51464,0.0108376,0,6.16,-1.04751,0.190576,6.85431,-0.557107,0.0773794,0,5.91605,-1.86,0.661397,6.54226,-1.5195,0.641863,0,6.16,-1.6416,0.422401,6.79958,-1.23217,0.360266,0,
0.266672,7.39578,-2.45508,0.155399,8.32984,-2.223,0.0396921,6.16,-1.25705,0.570626,6.82779,-0.783199,0.536149,0,6.16,-1.85263,0.563048,6.85075,-1.51353,0.52043,0,6.16,-1.49173,0.471186,6.85237,-1.09146,0.415833,0,6.16,-1.50936,0.0549905,6.96993,-1.21452,-0.0779015,0,6.16,-1.72847,0.208158,6.80743,-1.34239,0.0999338,0,6.16,-1.68389,0.511767,6.79425,-1.27899,0.475009,0,6.16,-1.5498,0.334231,6.80159,-1.11783,0.255912,0,6.16,-1.38775,0.206588,6.8028,-0.92141,0.0973626,0,6.16,-1.72607,0.659089,6.76668,-1.31238,0.668647,0,6.16,-1.79195,0.439866,6.80923,-1.42048,0.383018,0,6.16,-0.641624,0.616281,6.97087,-0.248382,0.535797,0,6.16,-1.8491,0.317058,6.83071,-1.5013,0.229353,0,6.16,-1.01698,0.321785,6.8659,-0.537895,0.230353,0,6.16,-1.72276,0.331021,6.85242,-1.36094,0.244063,0,6.16,-0.821214,0.115989,6.86751,-0.303666,-0.0106093,0,6.16,-1.81903,0.132649,6.81195,-1.45573,0.00749314,0,6.16,-1.03889,0.525045,6.8344,-0.519643,0.487853,0,6.16,-1.55602,0.68119,6.8024,-1.12543,0.680848,0,6.16,-1.59598,0.220366,6.78622,-1.16592,0.115557,0,6.16,-1.25697,0.114972,6.80595,-0.763846,-0.015044,0,5.78939,-1.86,0.133183,6.43443,-1.53649,0.0116278,0,6.16,-1.04751,0.190576,6.87813,-0.58729,0.074991,0,5.91605,-1.86,0.661397,6.59856,-1.54545,0.621432,0,6.16,-1.6416,0.422401,6.85931,-1.27589,0.350643,0,
0.300007,7.40746,-2.43269,0.155158,8.34199,-2.20044,0.0400264,6.16,-1.25705,0.570626,6.83305,-0.792705,0.531644,0,6.16,-1.85263,0.563048,6.86526,-1.52044,0.514305,0,6.16,-1.49173,0.471186,6.86581,-1.10406,0.412817,0,6.16,-1.50936,0.0549905,6.99032,-1.23092,-0.0771517,0,6.16,-1.72847,0.208158,6.83056,-1.35779,0.0980567,0,6.16,-1.68389,0.511767,6.81162,-1.29137,0.469233,0,6.16,-1.5498,0.334231,6.81415,-1.12934,0.251223,0,6.16,-1.38775,0.206588,6.81181,-0.932067,0.0965115,0,6.16,-1.72607,0.659089,6.79001,-1.32811,0.657334,0,6.16,-1.79195,0.439866,6.82701,-1.43044,0.378201,0,6.16,-0.641624,0.616281,6.9648,-0.246249,0.536102,0,6.16,-1.8491,0.317058,6.84633,-1.50865,0.227213,0,6.16,-1.01698,0.321785,6.86635,-0.544366,0.22855,0,6.16,-1.72276,0.331021,6.86922,-1.37191,0.240437,0,6.16,-0.821214,0.115989,6.86785,-0.314304,-0.0109997,0,6.16,-1.81903,0.132649,6.83134,-1.4661,0.00666956,0,6.16,-1.03889,0.525045,6.83783,-0.531042,0.483522,0,6.16,-1.55602,0.68119,6.81397,-1.13647,0.673741,0,6.16,-1.59598,0.220366,6.80751,-1.18293,0.113005,0,6.16,-1.25697,0.114972,6.81194,-0.773398,-0.0156773,0,5.78939,-1.86,0.133183,6.44988,-1.54441,0.010344,0,6.16,-1.04751,0.190576,6.87497,-0.587186,0.0755457,0,5.91605,-1.86,0.661397,6.62701,-1.55937,0.608624,0,6.16,-1.6416,0.422401,6.8714,-1.28374,0.346943,0,
