time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,
0,6.15371,-3.51577,0.190447,6.88496,-4.4765,-0.00236339,5.65615,-1.86,0.321702,5.97571,-1.45075,0.237492,0,5.7201,-1.86,0.421614,6.09847,-1.4733,0.416924,0,5.60204,-1.86,0.190628,5.88263,-1.46814,-0.00203386,0,6.29226,-1.82522,0.601254,7.13327,-1.44663,0.733903,0,5.66844,-1.86,0.704671,6.03339,-1.57094,0.900004,0,5.53708,-1.86,0.67899,5.79748,-1.55641,0.859224,0,5.82553,-1.86,0.290427,6.27194,-1.38369,0.18439,0,5.87936,-1.86,0.415978,6.37101,-1.37472,0.420129,0,6.18388,-1.90298,0.705907,6.94029,-1.51845,0.943051,0,5.55785,-1.86,0.565057,5.8256,-1.53281,0.663635,0,5.6935,-1.86,0.576712,6.06646,-1.53167,0.684621,0,5.72618,-1.86,0.0991174,6.08933,-1.39521,-0.172323,0,6.11467,-1.86,0.115921,6.81185,-1.37663,-0.141889,0,5.81154,-1.86,0.636587,6.28485,-1.57256,0.780093,0,5.5461,-1.86,0.395731,5.8004,-1.52105,0.364057,0,6.10867,-1.86,0.37531,6.79988,-1.34879,0.346839,0,6.01977,-1.86,0.239611,6.63769,-1.41986,0.0883967,0,6.19698,-1.85456,0.21166,6.96571,-1.37658,0.0372221,0,5.98517,-1.86,0.466379,6.57324,-1.41425,0.507957,0,6.06012,-1.86,0.623654,6.71838,-1.52956,0.768662,0,5.97044,-1.86,0.739692,6.54965,-1.44713,1.00253,0,5.81272,-1.86,0.765286,6.2872,-1.57393,1.00533,0,
0.033334,6.19835,-3.50971,0.19009,6.91432,-4.4747,-0.00304911,5.65615,-1.86,0.321702,5.95735,-1.49263,0.233036,0,5.7201,-1.86,0.421614,6.08033,-1.53848,0.407772,0,5.60204,-1.86,0.190628,5.86985,-1.54247,-0.00381752,0,6.29226,-1.82522,0.601254,7.09234,-1.5221,0.714563,0,5.66844,-1.86,0.704671,6.01875,-1.63754,0.876946,0,5.53708,-1.86,0.67899,5.78085,-1.6084,0.845196,0,5.82553,-1.86,0.290427,6.25287,-1.46327,0.177462,0,5.87936,-1.86,0.415978,6.349,-1.45867,0.40708,0,6.18388,-1.90298,0.705907,6.90646,-1.58674,0.919648,0,5.55785,-1.86,0.565057,5.81209,-1.59488,0.651141,0,5.6935,-1.86,0.576712,6.04992,-1.59239,0.670323,0,5.72618,-1.86,0.0991174,6.0697,-1.45832,-0.170999,0,6.11467,-1.86,0.115921,6.77852,-1.47147,-0.137202,0,5.81154,-1.86,0.636587,6.26468,-1.61965,0.773585,0,5.5461,-1.86,0.395731,5.78944,-1.58881,0.354975,0,6.10867,-1.86,0.37531,6.76666,-1.4388,0.334458,0,6.01977,-1.86,0.239611,6.61084,-1.50174,0.086152,0,6.19698,-1.85456,0.21166,6.92851,-1.46193,0.0320084,0,5.98517,-1.86,0.466379,6.54795,-1.49738,0.496306,0,6.06012,-1.86,0.623654,6.69071,-1.59839,0.75118,0,5.97044,-1.86,0.739692,6.52421,-1.51257,0.978164,0,5.81272,-1.86,0.765286,6.26862,-1.64156,0.984239,0,
0.0666681,6.22427,-3.50526,0.18964,6.92898,-4.47363,-0.00338497,5.65615,-1.86,0.321702,5.97615,-1.59696,0.222617,0,5.7201,-1.86,0.421614,6.10601,-1.68866,0.381636,0,5.60204,-1.86,0.190628,5.88925,-1.62748,-0.00455049,0,6.29226,-1.82522,0.601254,7.0762,-1.61761,0.691377,0,5.66844,-1.86,0.704671,6.03231,-1.71173,0.854815,0,5.53708,-1.86,0.67899,5.80073,-1.68933,0.818614,0,5.82553,-1.86,0.290427,6.26305,-1.55901,0.170653,0,5.87936,-1.86,0.415978,6.35715,-1.56416,0.392328,0,6.18388,-1.90298,0.705907,6.89335,-1.70745,0.879426,0,5.55785,-1.86,0.565057,5.83117,-1.67308,0.630587,0,5.6935,-1.86,0.576712,6.06493,-1.68092,0.648112,0,5.72618,-1.86,0.0991174,6.08189,-1.53935,-0.168271,0,6.11467,-1.86,0.115921,6.77377,-1.56322,-0.1352,0,5.81154,-1.86,0.636587,6.27333,-1.71306,0.745483,0,5.5461,-1.86,0.395731,5.80362,-1.64439,0.348751,0,6.10867,-1.86,0.37531,6.76314,-1.51468,0.329539,0,6.01977,-1.86,0.239611,6.61091,-1.62266,0.0783022,0,6.19698,-1.85456,0.21166,6.92016,-1.54509,0.0272886,0,5.98517,-1.86,0.466379,6.55006,-1.6179,0.473516,0,6.06012,-1.86,0.623654,6.68716,-1.70395,0.722843,0,5.97044,-1.86,0.739692,6.52547,-1.62049,0.941732,0,5.81272,-1.86,0.765286,6.27844,-1.73515,0.949931,0,
0.100002,6.22427,-3.50526,0.18964,6.94047,-4.47252,-0.00363851,5.65615,-1.86,0.321702,6.00559,-1.71793,0.216076,0,5.7201,-1.86,0.421614,6.13524,-1.82123,0.367564,0,5.60204,-1.86,0.190628,5.9275,-1.76947,-0.00216814,0,6.29226,-1.82522,0.601254,7.05293,-1.79263,0.654186,0,5.66844,-1.86,0.704671,6.06103,-1.84076,0.815189,0,5.53708,-1.86,0.67899,5.8419,-1.82688,0.78142,0,5.82553,-1.86,0.290427,6.28517,-1.71508,0.163197,0,5.87936,-1.86,0.415978,6.37492,-1.72192,0.372522,0,6.18388,-1.90298,0.705907,6.88161,-1.88305,0.824819,0,5.55785,-1.86,0.565057,5.87155,-1.81301,0.602155,0,5.6935,-1.86,0.576712,6.09565,-1.82347,0.618769,0,5.72618,-1.86,0.0991174,6.11233,-1.69543,-0.157152,0,6.11467,-1.86,0.115921,6.76923,-1.71347,-0.12645,0,5.81154,-1.86,0.636587,6.29614,-1.8672,0.703912,0,5.5461,-1.86,0.395731,5.84028,-1.77195,0.33488,0,6.10867,-1.86,0.37531,6.7577,-1.68434,0.311872,0,6.01977,-1.86,0.239611,6.61716,-1.80182,0.0766095,0,6.19698,-1.85456,0.21166,6.90396,-1.7518,0.0319911,0,5.98517,-1.86,0.466379,6.55962,-1.79059,0.44943,0,6.06012,-1.86,0.623654,6.68801,-1.8668,0.681217,0,5.97044,-1.86,0.739692,6.53404,-1.7717,0.896442,0,5.81272,-1.86,0.765286,6.29819,-1.87059,0.905968,0,
0.133336,6.24996,-3.5005,0.189196,6.95501,-4.471,-0.00395547,5.65615,-1.86,0.321702,6.03018,-1.81763,0.204486,0,5.7201,-1.86,0.421614,6.16512,-1.95878,0.343499,0,5.60204,-1.86,0.190628,5.95701,-1.87225,-0.00578959,0,6.29226,-1.82522,0.601254,7.04015,-1.90466,0.619811,0,5.66844,-1.86,0.704671,6.08074,-1.92031,0.789902,0,5.53708,-1.86,0.67899,5.86746,-1.90429,0.755365,0,5.82553,-1.86,0.290427,6.3036,-1.83145,0.15341,0,5.87936,-1.86,0.415978,6.39103,-1.84974,0.352754,0,6.18388,-1.90298,0.705907,6.8759,-1.99859,0.786311,0,5.55785,-1.86,0.565057,5.89363,-1.87387,0.578786,0,5.6935,-1.86,0.576712,6.11613,-1.90921,0.595286,0,5.72618,-1.86,0.0991174,6.13378,-1.79359,-0.154091,0,6.11467,-1.86,0.115921,6.76687,-1.86466,-0.123019,0,5.81154,-1.86,0.636587,6.31662,-1.98749,0.666262,0,5.5461,-1.86,0.395731,5.86737,-1.85814,0.322439,0,6.10867,-1.86,0.37531,6.75621,-1.82969,0.292414,0,6.01977,-1.86,0.239611,6.6229,-1.90542,0.0737533,0,6.19698,-1.85456,0.21166,6.89413,-1.92826,0.0266745,0,5.98517,-1.86,0.466379,6.5689,-1.9291,0.422617,0,6.06012,-1.86,0.623654,6.69091,-1.98176,0.646258,0,5.97044,-1.86,0.739692,6.54116,-1.87406,0.858887,0,5.81272,-1.86,0.765286,6.31374,-1.96534,0.868457,0,
0.16667,6.24996,-3.5005,0.189196,6.96653,-4.46996,-0.00421237,5.65615,-1.86,0.321702,6.04263,-1.84129,0.205257,0,5.7201,-1.86,0.421614,6.17927,-1.99334,0.342117,0,5.60204,-1.86,0.190628,5.97205,-1.9041,-0.00292327,0,6.29226,-1.82522,0.601254,7.04116,-1.94195,0.612712,0,5.66844,-1.86,0.704671,6.08915,-1.92085,0.790263,0,5.53708,-1.86,0.67899,5.87768,-1.91374,0.753287,0,5.82553,-1.86,0.290427,6.31913,-1.90335,0.151752,0,5.87936,-1.86,0.415978,6.40093,-1.86669,0.352844,0,6.18388,-1.90298,0.705907,6.87766,-2.04987,0.770923,0,5.55785,-1.86,0.565057,5.90834,-1.91148,0.572822,0,5.6935,-1.86,0.576712,6.12809,-1.93807,0.590934,0,5.72618,-1.86,0.0991174,6.14727,-1.83243,-0.14976,0,6.11467,-1.86,0.115921,6.77307,-1.90287,-0.117672,0,5.81154,-1.86,0.636587,6.32661,-2.00264,0.666387,0,5.5461,-1.86,0.395731,5.88963,-1.91672,0.315221,0,6.10867,-1.86,0.37531,6.76285,-1.86854,0.293016,0,6.01977,-1.86,0.239611,6.62957,-1.94543,0.0736144,0,6.19698,-1.85456,0.21166,6.89979,-1.96104,0.0289114,0,5.98517,-1.86,0.466379,6.5778,-1.94407,0.421804,0,6.06012,-1.86,0.623654,6.69749,-2.01144,0.642661,0,5.97044,-1.86,0.739692,6.54915,-1.91622,0.848459,0,5.81272,-1.86,0.765286,6.32368,-1.99208,0.862352,0,
0.200004,6.27441,-3.49523,0.188744,6.99148,-4.46679,-0.00473552,5.65615,-1.86,0.321702,6.04205,-1.89106,0.202722,0,5.7201,-1.86,0.421614,6.18833,-2.08584,0.332036,0,5.60204,-1.86,0.190628,5.98447,-1.99347,-0.000926988,0,6.29226,-1.82522,0.601254,7.01793,-2.05066,0.591773,0,5.66844,-1.86,0.704671,6.09242,-1.99684,0.771794,0,5.53708,-1.86,0.67899,5.88906,-1.99942,0.732567,0,5.82553,-1.86,0.290427,6.32198,-1.98206,0.149845,0,5.87936,-1.86,0.415978,6.40366,-1.99122,0.338248,0,6.18388,-1.90298,0.705907,6.86345,-2.15342,0.742556,0,5.55785,-1.86,0.565057,5.92305,-2.00368,0.555473,0,5.6935,-1.86,0.576712,6.14282,-2.05649,0.565914,0,5.72618,-1.86,0.0991174,6.15369,-1.92078,-0.142654,0,6.11467,-1.86,0.115921,6.76134,-1.99916,-0.110352,0,5.81154,-1.86,0.636587,6.33043,-2.10175,0.641014,0,5.5461,-1.86,0.395731,5.90189,-1.99388,0.306332,0,6.10867,-1.86,0.37531,6.75049,-1.99876,0.279832,0,6.01977,-1.86,0.239611,6.62319,-2.0262,0.0744894,0,6.19698,-1.85456,0.21166,6.8848,-2.03933,0.030943,0,5.98517,-1.86,0.466379,6.57177,-2.03483,0.410038,0,6.06012,-1.86,0.623654,6.68904,-2.1056,0.621943,0,5.97044,-1.86,0.739692,6.54783,-2.0517,0.807747,0,5.81272,-1.86,0.765286,6.3304,-2.1056,0.828305,0,
0.233338,6.28344,-3.49317,0.188223,7.00582,-4.46467,-0.00502535,5.65615,-1.86,0.321702,6.05403,-1.94103,0.198045,0,5.7201,-1.86,0.421614,6.20001,-2.13014,0.324139,0,5.60204,-1.86,0.190628,6.00134,-2.04758,-0.000893469,0,6.29226,-1.82522,0.601254,7.01351,-2.10614,0.576439,0,5.66844,-1.86,0.704671,6.10187,-2.02999,0.758728,0,5.53708,-1.86,0.67899,5.90552,-2.04732,0.717575,0,5.82553,-1.86,0.290427,6.33138,-2.03474,0.144931,0,5.87936,-1.86,0.415978,6.41484,-2.05863,0.327484,0,6.18388,-1.90298,0.705907,6.86264,-2.20747,0.722769,0,5.55785,-1.86,0.565057,5.93336,-2.02822,0.547578,0,5.6935,-1.86,0.576712,6.15405,-2.09116,0.557111,0,5.72618,-1.86,0.0991174,6.16869,-1.98573,-0.140817,0,6.11467,-1.86,0.115921,6.76212,-2.08614,-0.10728,0,5.81154,-1.86,0.636587,6.34043,-2.14941,0.628804,0,5.5461,-1.86,0.395731,5.91357,-2.02576,0.301322,0,6.10867,-1.86,0.37531,6.75289,-2.06154,0.27195,0,6.01977,-1.86,0.239611,6.62747,-2.09333,0.0729482,0,6.19698,-1.85456,0.21166,6.88391,-2.08647,0.0240121,0,5.98517,-1.86,0.466379,6.57854,-2.1162,0.395696,0,6.06012,-1.86,0.623654,6.69188,-2.16331,0.605322,0,5.97044,-1.86,0.739692,6.55437,-2.09722,0.788876,0,5.81272,-1.86,0.765286,6.33922,-2.14264,0.813561,0,
0.266672,6.28344,-3.49317,0.188223,7.00079,-4.46539,-0.00492297,5.65615,-1.86,0.321702,6.09443,-2.01115,0.192238,0,5.7201,-1.86,0.421614,6.23629,-2.2064,0.313982,0,5.60204,-1.86,0.190628,6.04528,-2.12329,0.000903061,0,6.29226,-1.82522,0.601254,7.02093,-2.20044,0.553514,0,5.66844,-1.86,0.704671,6.14179,-2.10997,0.732444,0,5.53708,-1.86,0.67899,5.94831,-2.10959,0.695651,0,5.82553,-1.86,0.290427,6.36359,-2.11069,0.14202,0,5.87936,-1.86,0.415978,6.44706,-2.15267,0.31544,0,6.18388,-1.90298,0.705907,6.87417,-2.31484,0.689993,0,5.55785,-1.86,0.565057,5.96877,-2.07252,0.536789,0,5.6935,-1.86,0.576712,6.19018,-2.16193,0.539512,0,5.72618,-1.86,0.0991174,6.20871,-2.06948,-0.13425,0,6.11467,-1.86,0.115921,6.78111,-2.22355,-0.0986575,0,5.81154,-1.86,0.636587,6.37004,-2.21645,0.609754,0,5.5461,-1.86,0.395731,5.95369,-2.08175,0.297044,0,6.10867,-1.86,0.37531,6.77129,-2.16883,0.260085,0,6.01977,-1.86,0.239611,6.65075,-2.18928,0.0682209,0,6.19698,-1.85456,0.21166,6.8961,-2.17938,0.0242892,0,5.98517,-1.86,0.466379,6.60496,-2.21908,0.379222,0,6.06012,-1.86,0.623654,6.71242,-2.26627,0.582598,0,5.97044,-1.86,0.739692,6.57856,-2.18062,0.761392,0,5.81272,-1.86,0.765286,6.37612,-2.25461,0.768143,0,
0.300007,6.28344,-3.49317,0.188223,7.0149,-4.46315,-0.00520277,5.65615,-1.86,0.321702,6.12002,-2.10732,0.182458,0,5.7201,-1.86,0.421614,6.26048,-2.305,0.297147,0,5.60204,-1.86,0.190628,6.07701,-2.22659,-0.00160882,0,6.29226,-1.82522,0.601254,7.01137,-2.30306,0.528531,0,5.66844,-1.86,0.704671,6.178,-2.24632,0.687699,0,5.53708,-1.86,0.67899,5.98169,-2.20982,0.66458,0,5.82553,-1.86,0.290427,6.37952,-2.20013,0.134121,0,5.87936,-1.86,0.415978,6.46372,-2.26044,0.298063,0,6.18388,-1.90298,0.705907,6.87226,-2.41155,0.656828,0,5.55785,-1.86,0.565057,5.99715,-2.16437,0.515181,0,5.6935,-1.86,0.576712,6.21162,-2.24646,0.516579,0,5.72618,-1.86,0.0991174,6.23292,-2.17176,-0.131363,0,6.11467,-1.86,0.115921,6.78409,-2.31374,-0.0975519,0,5.81154,-1.86,0.636587,6.38708,-2.30978,0.583024,0,5.5461,-1.86,0.395731,5.98268,-2.17098,0.282267,0,6.10867,-1.86,0.37531,6.77376,-2.28183,0.24573,0,6.01977,-1.86,0.239611,6.65934,-2.30552,0.0628459,0,6.19698,-1.85456,0.21166,6.8914,-2.33258,0.0177214,0,5.98517,-1.86,0.466379,6.6131,-2.29867,0.361795,0,6.06012,-1.86,0.623654,6.71726,-2.36392,0.55274,0,5.97044,-1.86,0.739692,6.58801,-2.28154,0.724881,0,5.81272,-1.86,0.765286,6.39752,-2.3602,0.72808,0,
