time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,p33wx,p33wy,p33wz,p33wHatx,p33wHaty,p33wHatz,converged33,
0,7.5716,-1.5111,0.154201,8.53189,-2.1853,0.0382567,6.16,-1.55554,0.0240154,6.36198,-2.25361,-0.161863,0,6.16,-1.22838,0.548961,6.28824,-1.73593,0.665703,0,6.16,-1.34216,0.527946,6.33811,-1.92275,0.619096,0,6.16,-1.33618,0.627502,6.27957,-1.9062,0.793443,0,6.16,-1.44489,0.444341,6.22352,-2.07703,0.512716,0,6.16,-0.925208,0.628978,6.32487,-1.26927,0.780561,0,6.16,-1.04089,0.385286,6.28375,-1.43644,0.406287,0,6.16,-0.948691,0.523807,6.28039,-1.28826,0.627776,0,6.16,-1.05593,0.589701,6.32106,-1.47241,0.720328,0,6.16,-1.26245,0.333763,6.22094,-1.77822,0.33222,0,6.16,-1.68987,0.619096,6.34851,-2.4618,0.757326,0,6.16,-1.4401,0.225369,6.24222,-2.07013,0.153695,0,6.16,-0.860898,0.232357,6.29284,-1.15396,0.162227,0,6.16,-1.56266,0.505709,6.19144,-2.27078,0.62106,0,6.16,-0.885239,0.393977,6.3172,-1.20337,0.414445,0,6.16,-1.49265,0.637013,6.26726,-2.15569,0.81283,0,6.16,-1.35714,0.389356,6.27119,-1.93873,0.41486,0,6.16,-1.2644,0.201645,6.21919,-1.78112,0.115986,0,6.16,-1.16631,0.634197,6.34358,-1.65079,0.782359,0,6.16,-0.953502,0.310374,6.29873,-1.30318,0.285324,0,6.16,-1.7901,0.16692,6.26184,-2.63396,0.0587105,0,6.16,-0.883334,0.12871,6.30949,-1.19695,-0.00187489,0,6.16,-1.73442,0.27183,6.24762,-2.54668,0.228605,0,6.16,-1.083,0.227683,6.22787,-1.48655,0.158195,0,6.16,-1.57114,0.156849,6.23079,-2.28316,0.0425734,0,6.16,-1.65786,0.364339,6.21191,-2.4265,0.38362,0,6.16,-1.21851,0.0897061,6.1926,-1.70042,-0.0686224,0,6.16,-1.72011,0.508684,6.2482,-2.52343,0.611738,0,6.16,-1.50965,0.351447,6.15644,-2.18286,0.370182,0,6.16,-0.850337,0.514307,6.33861,-1.15863,0.597773,0,6.16,-1.42628,0.11978,6.20023,-2.0452,-0.0185981,0,6.16,-1.14215,0.453152,6.29203,-1.59986,0.512618,0,6.16,-1.05579,0.112335,6.25832,-1.45197,-0.0291733,0,6.16,-1.14372,0.317909,6.31084,-1.60725,0.295839,0,
0.0333341,7.57103,-1.4853,0.154781,8.53168,-2.17002,0.0388139,6.16,-1.55554,0.0240154,6.46378,-2.25605,-0.156942,0,6.16,-1.22838,0.548961,6.36503,-1.75691,0.640868,0,6.16,-1.34216,0.527946,6.40903,-1.9359,0.594736,0,6.16,-1.33618,0.627502,6.33578,-1.91735,0.769631,0,6.16,-1.44489,0.444341,6.28844,-2.08436,0.495958,0,6.16,-0.925208,0.628978,6.37037,-1.29306,0.758151,0,6.16,-1.04089,0.385286,6.37998,-1.47673,0.382637,0,6.16,-0.948691,0.523807,6.33316,-1.31428,0.608173,0,6.16,-1.05593,0.589701,6.36629,-1.4912,0.701483,0,6.16,-1.26245,0.333763,6.29553,-1.79681,0.319795,0,6.16,-1.68987,0.619096,6.36602,-2.45707,0.745449,0,6.16,-1.4401,0.225369,6.32712,-2.08002,0.146029,0,6.16,-0.860898,0.232357,6.34585,-1.18115,0.151046,0,6.16,-1.56266,0.505709,6.26901,-2.27383,0.598237,0,6.16,-0.885239,0.393977,6.36897,-1.23274,0.403473,0,6.16,-1.49265,0.637013,6.30812,-2.15803,0.79231,0,6.16,-1.35714,0.389356,6.34162,-1.95192,0.401084,0,6.16,-1.2644,0.201645,6.29898,-1.80075,0.108269,0,6.16,-1.16631,0.634197,6.40237,-1.67078,0.75802,0,6.16,-0.953502,0.310374,6.35378,-1.32986,0.275117,0,6.16,-1.7901,0.16692,6.37308,-2.62109,0.0570865,0,6.16,-0.883334,0.12871,6.41338,-1.25213,-0.00913133,0,6.16,-1.73442,0.27183,6.31169,-2.54077,0.219902,0,6.16,-1.083,0.227683,6.29938,-1.51398,0.149434,0,6.16,-1.57114,0.156849,6.31487,-2.28525,0.0390164,0,6.16,-1.65786,0.364339,6.30637,-2.42233,0.366127,0,6.16,-1.21851,0.0897061,6.27194,-1.72224,-0.0668834,0,6.16,-1.72011,0.508684,6.2936,-2.51773,0.594497,0,6.16,-1.50965,0.351447,6.23095,-2.18794,0.354813,0,6.16,-0.850337,0.514307,6.35802,-1.16937,0.592524,0,6.16,-1.42628,0.11978,6.26242,-2.05207,-0.0204428,0,6.16,-1.14215,0.453152,6.36297,-1.62399,0.492663,0,6.16,-1.05579,0.112335,6.29649,-1.46682,-0.0294843,0,6.16,-1.14372,0.317909,6.37097,-1.62555,0.28228,0,
0.0666681,7.5706,-1.4756,0.154883,8.53149,-2.15874,0.039226,6.16,-1.55554,0.0240154,6.57309,-2.26212,-0.14734,0,6.16,-1.22838,0.548961,6.44094,-1.78081,0.617969,0,6.16,-1.34216,0.527946,6.48105,-1.953,0.576342,0,6.16,-1.33618,0.627502,6.40238,-1.93446,0.747976,0,6.16,-1.44489,0.444341,6.36284,-2.09671,0.48127,0,6.16,-0.925208,0.628978,6.41967,-1.32234,0.742632,0,6.16,-1.04089,0.385286,6.43434,-1.50095,0.372894,0,6.16,-0.948691,0.523807,6.39437,-1.34834,0.592198,0,6.16,-1.05593,0.589701,6.4114,-1.5132,0.686737,0,6.16,-1.26245,0.333763,6.38058,-1.82108,0.30688,0,6.16,-1.68987,0.619096,6.41062,-2.45998,0.730575,0,6.16,-1.4401,0.225369,6.38596,-2.08949,0.146032,0,6.16,-0.860898,0.232357,6.42081,-1.2263,0.142617,0,6.16,-1.56266,0.505709,6.35537,-2.28011,0.576532,0,6.16,-0.885239,0.393977,6.41124,-1.25807,0.393336,0,6.16,-1.49265,0.637013,6.36378,-2.16719,0.773171,0,6.16,-1.35714,0.389356,6.4054,-1.96616,0.388325,0,6.16,-1.2644,0.201645,6.36912,-1.821,0.105775,0,6.16,-1.16631,0.634197,6.46715,-1.69526,0.734552,0,6.16,-0.953502,0.310374,6.40634,-1.35866,0.269141,0,6.16,-1.7901,0.16692,6.4538,-2.61264,0.0561004,0,6.16,-0.883334,0.12871,6.49262,-1.29644,-0.00854553,0,6.16,-1.73442,0.27183,6.38668,-2.53763,0.212667,0,6.16,-1.083,0.227683,6.37442,-1.5461,0.145357,0,6.16,-1.57114,0.156849,6.39709,-2.29033,0.0394387,0,6.16,-1.65786,0.364339,6.37067,-2.42205,0.354282,0,6.16,-1.21851,0.0897061,6.36877,-1.75237,-0.0649145,0,6.16,-1.72011,0.508684,6.365,-2.51695,0.57639,0,6.16,-1.50965,0.351447,6.30387,-2.1965,0.345413,0,6.16,-0.850337,0.514307,6.39278,-1.19394,0.581929,0,6.16,-1.42628,0.11978,6.36379,-2.06915,-0.018622,0,6.16,-1.14215,0.453152,6.41634,-1.64441,0.478431,0,6.16,-1.05579,0.112335,6.35352,-1.49391,-0.0304011,0,6.16,-1.14372,0.317909,6.4223,-1.64635,0.277004,0,
0.100002,7.5706,-1.4756,0.154883,8.53128,-2.14862,0.039597,6.16,-1.55554,0.0240154,6.69466,-2.26676,-0.135342,0,6.16,-1.22838,0.548961,6.54814,-1.81224,0.589326,0,6.16,-1.34216,0.527946,6.58646,-1.97524,0.549098,0,6.16,-1.33618,0.627502,6.49753,-1.95589,0.71749,0,6.16,-1.44489,0.444341,6.48317,-2.11288,0.456323,0,6.16,-0.925208,0.628978,6.49736,-1.365,0.717326,0,6.16,-1.04089,0.385286,6.51001,-1.53527,0.36177,0,6.16,-0.948691,0.523807,6.47744,-1.39135,0.572473,0,6.16,-1.05593,0.589701,6.5015,-1.5533,0.660436,0,6.16,-1.26245,0.333763,6.49543,-1.85125,0.29306,0,6.16,-1.68987,0.619096,6.47061,-2.46039,0.7109,0,6.16,-1.4401,0.225369,6.50687,-2.10637,0.139015,0,6.16,-0.860898,0.232357,6.47626,-1.25896,0.144421,0,6.16,-1.56266,0.505709,6.47937,-2.28594,0.545471,0,6.16,-0.885239,0.393977,6.48872,-1.30328,0.380691,0,6.16,-1.49265,0.637013,6.44966,-2.17774,0.741704,0,6.16,-1.35714,0.389356,6.51193,-1.98783,0.371713,0,6.16,-1.2644,0.201645,6.46914,-1.84801,0.103771,0,6.16,-1.16631,0.634197,6.56093,-1.72803,0.702827,0,6.16,-0.953502,0.310374,6.49717,-1.40539,0.260389,0,6.16,-1.7901,0.16692,6.56421,-2.60016,0.0540757,0,6.16,-0.883334,0.12871,6.58092,-1.34517,-0.00624397,0,6.16,-1.73442,0.27183,6.48946,-2.5308,0.203936,0,6.16,-1.083,0.227683,6.4757,-1.58679,0.140693,0,6.16,-1.57114,0.156849,6.50577,-2.29486,0.0390212,0,6.16,-1.65786,0.364339,6.47026,-2.42136,0.339341,0,6.16,-1.21851,0.0897061,6.48179,-1.78526,-0.059777,0,6.16,-1.72011,0.508684,6.53236,-2.50585,0.536984,0,6.16,-1.50965,0.351447,6.41832,-2.20683,0.328488,0,6.16,-0.850337,0.514307,6.45158,-1.23106,0.567591,0,6.16,-1.42628,0.11978,6.49007,-2.08644,-0.0152616,0,6.16,-1.14215,0.453152,6.50091,-1.67625,0.460567,0,6.16,-1.05579,0.112335,6.44929,-1.5355,-0.0279395,0,6.16,-1.14372,0.317909,6.5157,-1.68092,0.266821,0,
0.133336,7.57002,-1.45,0.155495,8.53087,-2.12221,0.0405614,6.16,-1.55554,0.0240154,6.78556,-2.25797,-0.126691,0,6.16,-1.22838,0.548961,6.64129,-1.82699,0.56564,0,6.16,-1.34216,0.527946,6.66849,-1.98026,0.528299,0,6.16,-1.33618,0.627502,6.59156,-1.9643,0.688197,0,6.16,-1.44489,0.444341,6.58145,-2.11336,0.437763,0,6.16,-0.925208,0.628978,6.58788,-1.40026,0.69401,0,6.16,-1.04089,0.385286,6.54755,-1.54175,0.357713,0,6.16,-0.948691,0.523807,6.5585,-1.42108,0.556046,0,6.16,-1.05593,0.589701,6.54897,-1.56334,0.645639,0,6.16,-1.26245,0.333763,6.59481,-1.86493,0.282642,0,6.16,-1.68987,0.619096,6.55257,-2.44788,0.686455,0,6.16,-1.4401,0.225369,6.60425,-2.10678,0.135755,0,6.16,-0.860898,0.232357,6.52696,-1.27906,0.146914,0,6.16,-1.56266,0.505709,6.57798,-2.27815,0.522638,0,6.16,-0.885239,0.393977,6.53278,-1.31824,0.375225,0,6.16,-1.49265,0.637013,6.56079,-2.17754,0.706257,0,6.16,-1.35714,0.389356,6.60761,-1.99424,0.358265,0,6.16,-1.2644,0.201645,6.54479,-1.85674,0.102931,0,6.16,-1.16631,0.634197,6.65877,-1.74905,0.67189,0,6.16,-0.953502,0.310374,6.56552,-1.42898,0.255085,0,6.16,-1.7901,0.16692,6.64877,-2.5786,0.0542063,0,6.16,-0.883334,0.12871,6.63847,-1.36656,-0.002032,0,6.16,-1.73442,0.27183,6.54286,-2.51588,0.197709,0,6.16,-1.083,0.227683,6.56017,-1.609,0.1394,0,6.16,-1.57114,0.156849,6.58701,-2.28642,0.0405369,0,6.16,-1.65786,0.364339,6.56232,-2.40814,0.327444,0,6.16,-1.21851,0.0897061,6.57845,-1.80161,-0.0522436,0,6.16,-1.72011,0.508684,6.63959,-2.48514,0.511805,0,6.16,-1.50965,0.351447,6.54588,-2.20442,0.314487,0,6.16,-0.850337,0.514307,6.51761,-1.26075,0.55423,0,6.16,-1.42628,0.11978,6.57574,-2.08648,-0.0114515,0,6.16,-1.14215,0.453152,6.60485,-1.70101,0.444389,0,6.16,-1.05579,0.112335,6.54265,-1.56355,-0.0224385,0,6.16,-1.14372,0.317909,6.58681,-1.69507,0.261652,0,
0.16667,7.56963,-1.44049,0.155567,8.53071,-2.11229,0.0409241,6.16,-1.55554,0.0240154,6.84465,-2.26108,-0.122325,0,6.16,-1.22838,0.548961,6.72271,-1.84996,0.543671,0,6.16,-1.34216,0.527946,6.76569,-1.9989,0.506269,0,6.16,-1.33618,0.627502,6.67984,-1.98245,0.659069,0,6.16,-1.44489,0.444341,6.66051,-2.12344,0.420649,0,6.16,-0.925208,0.628978,6.66345,-1.4391,0.670425,0,6.16,-1.04089,0.385286,6.62005,-1.57485,0.348507,0,6.16,-0.948691,0.523807,6.6447,-1.46408,0.533751,0,6.16,-1.05593,0.589701,6.62425,-1.59645,0.625117,0,6.16,-1.26245,0.333763,6.66701,-1.88358,0.274637,0,6.16,-1.68987,0.619096,6.65817,-2.44342,0.650145,0,6.16,-1.4401,0.225369,6.67044,-2.11575,0.131512,0,6.16,-0.860898,0.232357,6.58265,-1.31245,0.147108,0,6.16,-1.56266,0.505709,6.67074,-2.28169,0.498685,0,6.16,-0.885239,0.393977,6.62692,-1.37031,0.363643,0,6.16,-1.49265,0.637013,6.70292,-2.1878,0.661341,0,6.16,-1.35714,0.389356,6.70452,-2.01183,0.34244,0,6.16,-1.2644,0.201645,6.62456,-1.8779,0.10142,0,6.16,-1.16631,0.634197,6.74144,-1.77583,0.645575,0,6.16,-0.953502,0.310374,6.63045,-1.46171,0.251103,0,6.16,-1.7901,0.16692,6.73874,-2.56778,0.0515621,0,6.16,-0.883334,0.12871,6.71463,-1.40848,0.00385948,0,6.16,-1.73442,0.27183,6.61453,-2.51227,0.190271,0,6.16,-1.083,0.227683,6.63198,-1.6375,0.137501,0,6.16,-1.57114,0.156849,6.65555,-2.28974,0.0388554,0,6.16,-1.65786,0.364339,6.63205,-2.40716,0.316519,0,6.16,-1.21851,0.0897061,6.64164,-1.82036,-0.0481997,0,6.16,-1.72011,0.508684,6.74351,-2.47666,0.482819,0,6.16,-1.50965,0.351447,6.6589,-2.21133,0.297336,0,6.16,-0.850337,0.514307,6.58237,-1.29904,0.54027,0,6.16,-1.42628,0.11978,6.64569,-2.09691,-0.0099291,0,6.16,-1.14215,0.453152,6.68399,-1.72778,0.430656,0,6.16,-1.05579,0.112335,6.62151,-1.59612,-0.0189727,0,6.16,-1.14372,0.317909,6.68218,-1.7281,0.252768,0,
0.200004,7.5689,-1.41404,0.156186,8.53017,-2.08535,0.0419111,6.16,-1.55554,0.0240154,6.87939,-2.25019,-0.119042,0,6.16,-1.22838,0.548961,6.76156,-1.84807,0.533657,0,6.16,-1.34216,0.527946,6.80867,-1.99393,0.495768,0,6.16,-1.33618,0.627502,6.72584,-1.97877,0.643845,0,6.16,-1.44489,0.444341,6.70611,-2.11629,0.411611,0,6.16,-0.925208,0.628978,6.70564,-1.44852,0.656161,0,6.16,-1.04089,0.385286,6.65558,-1.57774,0.343617,0,6.16,-0.948691,0.523807,6.69213,-1.47451,0.522017,0,6.16,-1.05593,0.589701,6.65869,-1.59782,0.617871,0,6.16,-1.26245,0.333763,6.71689,-1.88347,0.270154,0,6.16,-1.68987,0.619096,6.73133,-2.42567,0.625962,0,6.16,-1.4401,0.225369,6.71297,-2.10878,0.129686,0,6.16,-0.860898,0.232357,6.62459,-1.32485,0.146349,0,6.16,-1.56266,0.505709,6.71977,-2.2703,0.486874,0,6.16,-0.885239,0.393977,6.67781,-1.3844,0.35709,0,6.16,-1.49265,0.637013,6.76319,-2.17829,0.638553,0,6.16,-1.35714,0.389356,6.76583,-2.00919,0.332675,0,6.16,-1.2644,0.201645,6.67622,-1.87812,0.10067,0,6.16,-1.16631,0.634197,6.78519,-1.77692,0.632798,0,6.16,-0.953502,0.310374,6.70264,-1.48411,0.24279,0,6.16,-1.7901,0.16692,6.77409,-2.55056,0.0528156,0,6.16,-0.883334,0.12871,6.7502,-1.41508,0.00681884,0,6.16,-1.73442,0.27183,6.68484,-2.49351,0.184986,0,6.16,-1.083,0.227683,6.67751,-1.64286,0.134724,0,6.16,-1.57114,0.156849,6.7053,-2.27875,0.0384778,0,6.16,-1.65786,0.364339,6.69595,-2.39238,0.306206,0,6.16,-1.21851,0.0897061,6.66818,-1.81616,-0.0452898,0,6.16,-1.72011,0.508684,6.76931,-2.46165,0.477452,0,6.16,-1.50965,0.351447,6.72577,-2.20179,0.287303,0,6.16,-0.850337,0.514307,6.62148,-1.30993,0.53088,0,6.16,-1.42628,0.11978,6.68715,-2.09018,-0.00861599,0,6.16,-1.14215,0.453152,6.73848,-1.73347,0.420577,0,6.16,-1.05579,0.112335,6.66775,-1.60212,-0.0135769,0,6.16,-1.14372,0.317909,6.74627,-1.73622,0.2444,0,
0.233338,7.5684,-1.40389,0.156252,8.52981,-2.06984,0.0424802,6.16,-1.55554,0.0240154,6.91061,-2.2492,-0.113834,0,6.16,-1.22838,0.548961,6.78901,-1.8536,0.526893,0,6.16,-1.34216,0.527946,6.82792,-1.99544,0.492542,0,6.16,-1.33618,0.627502,6.7514,-1.98142,0.637891,0,6.16,-1.44489,0.444341,6.72036,-2.11597,0.410046,0,6.16,-0.925208,0.628978,6.72725,-1.45716,0.650172,0,6.16,-1.04089,0.385286,6.69023,-1.59014,0.339933,0,6.16,-0.948691,0.523807,6.70792,-1.47908,0.521157,0,6.16,-1.05593,0.589701,6.67827,-1.60409,0.613161,0,6.16,-1.26245,0.333763,6.74168,-1.8874,0.265735,0,6.16,-1.68987,0.619096,6.78116,-2.41946,0.612845,0,6.16,-1.4401,0.225369,6.74196,-2.11015,0.13016,0,6.16,-0.860898,0.232357,6.65322,-1.33869,0.146041,0,6.16,-1.56266,0.505709,6.73608,-2.26861,0.48549,0,6.16,-0.885239,0.393977,6.70947,-1.39869,0.352941,0,6.16,-1.49265,0.637013,6.82273,-2.17938,0.621927,0,6.16,-1.35714,0.389356,6.79136,-2.01108,0.328497,0,6.16,-1.2644,0.201645,6.71245,-1.88448,0.100746,0,6.16,-1.16631,0.634197,6.82627,-1.78742,0.620261,0,6.16,-0.953502,0.310374,6.74146,-1.49909,0.239734,0,6.16,-1.7901,0.16692,6.82528,-2.54099,0.0571159,0,6.16,-0.883334,0.12871,6.78633,-1.43242,0.00673326,0,6.16,-1.73442,0.27183,6.70937,-2.48858,0.183728,0,6.16,-1.083,0.227683,6.70996,-1.65294,0.134325,0,6.16,-1.57114,0.156849,6.74444,-2.27713,0.0372859,0,6.16,-1.65786,0.364339,6.71685,-2.38885,0.307232,0,6.16,-1.21851,0.0897061,6.69144,-1.82134,-0.0422918,0,6.16,-1.72011,0.508684,6.80775,-2.45704,0.470722,0,6.16,-1.50965,0.351447,6.76045,-2.20119,0.283174,0,6.16,-0.850337,0.514307,6.67422,-1.33712,0.519569,0,6.16,-1.42628,0.11978,6.7207,-2.09244,-0.006482,0,6.16,-1.14215,0.453152,6.76107,-1.73837,0.417716,0,6.16,-1.05579,0.112335,6.69977,-1.61276,-0.0113994,0,6.16,-1.14372,0.317909,6.78313,-1.74521,0.243169,0,
0.266672,7.56736,-1.37727,0.156864,8.52989,-2.07471,0.0423024,6.16,-1.55554,0.0240154,6.9258,-2.26403,-0.114835,0,6.16,-1.22838,0.548961,6.81135,-1.8736,0.518585,0,6.16,-1.34216,0.527946,6.83681,-2.01184,0.487313,0,6.16,-1.33618,0.627502,6.77046,-1.99938,0.628556,0,6.16,-1.44489,0.444341,6.74734,-2.13359,0.402686,0,6.16,-0.925208,0.628978,6.7274,-1.47013,0.649554,0,6.16,-1.04089,0.385286,6.71722,-1.61433,0.333193,0,6.16,-0.948691,0.523807,6.7265,-1.50216,0.515442,0,6.16,-1.05593,0.589701,6.70802,-1.63004,0.603117,0,6.16,-1.26245,0.333763,6.76901,-1.90794,0.261283,0,6.16,-1.68987,0.619096,6.79806,-2.43195,0.605403,0,6.16,-1.4401,0.225369,6.76871,-2.12715,0.126914,0,6.16,-0.860898,0.232357,6.70157,-1.37737,0.138696,0,6.16,-1.56266,0.505709,6.74428,-2.28353,0.4803,0,6.16,-0.885239,0.393977,6.73447,-1.42477,0.345452,0,6.16,-1.49265,0.637013,6.83796,-2.19376,0.613188,0,6.16,-1.35714,0.389356,6.79721,-2.02632,0.325154,0,6.16,-1.2644,0.201645,6.74264,-1.90506,0.0972179,0,6.16,-1.16631,0.634197,6.82632,-1.80077,0.616795,0,6.16,-0.953502,0.310374,6.76164,-1.52137,0.23516,0,6.16,-1.7901,0.16692,6.82943,-2.55366,0.0517322,0,6.16,-0.883334,0.12871,6.79705,-1.45035,0.0038498,0,6.16,-1.73442,0.27183,6.71767,-2.50205,0.181789,0,6.16,-1.083,0.227683,6.72905,-1.67336,0.130862,0,6.16,-1.57114,0.156849,6.76214,-2.2909,0.0342154,0,6.16,-1.65786,0.364339,6.73503,-2.40264,0.301325,0,6.16,-1.21851,0.0897061,6.73896,-1.8473,-0.0451787,0,6.16,-1.72011,0.508684,6.82071,-2.46963,0.463305,0,6.16,-1.50965,0.351447,6.77353,-2.21589,0.279057,0,6.16,-0.850337,0.514307,6.70418,-1.36559,0.509769,0,6.16,-1.42628,0.11978,6.74164,-2.10854,-0.00974575,0,6.16,-1.14215,0.453152,6.80095,-1.76537,0.407824,0,6.16,-1.05579,0.112335,6.72483,-1.63565,-0.0149199,0,6.16,-1.14372,0.317909,6.80261,-1.76507,0.237329,0,
0.300007,7.56736,-1.37727,0.156864,8.52906,-2.04772,0.0432988,6.16,-1.55554,0.0240154,6.97285,-2.25346,-0.108419,0,6.16,-1.22838,0.548961,6.84682,-1.87231,0.509599,0,6.16,-1.34216,0.527946,6.857,-2.00579,0.482759,0,6.16,-1.33618,0.627502,6.79393,-1.99378,0.621465,0,6.16,-1.44489,0.444341,6.78069,-2.12646,0.397403,0,6.16,-0.925208,0.628978,6.73718,-1.46741,0.646043,0,6.16,-1.04089,0.385286,6.7308,-1.60998,0.332966,0,6.16,-0.948691,0.523807,6.75605,-1.50671,0.509465,0,6.16,-1.05593,0.589701,6.73804,-1.63179,0.595049,0,6.16,-1.26245,0.333763,6.80562,-1.90579,0.25734,0,6.16,-1.68987,0.619096,6.84687,-2.41808,0.590435,0,6.16,-1.4401,0.225369,6.80785,-2.12038,0.125854,0,6.16,-0.860898,0.232357,6.75273,-1.39395,0.137204,0,6.16,-1.56266,0.505709,6.76082,-2.27456,0.477814,0,6.16,-0.885239,0.393977,6.76899,-1.4332,0.340098,0,6.16,-1.49265,0.637013,6.83707,-2.18355,0.611987,0,6.16,-1.35714,0.389356,6.84193,-2.02347,0.319906,0,6.16,-1.2644,0.201645,6.77701,-1.90236,0.0988996,0,6.16,-1.16631,0.634197,6.83762,-1.79556,0.6142,0,6.16,-0.953502,0.310374,6.786,-1.52336,0.232605,0,6.16,-1.7901,0.16692,6.86261,-2.5394,0.0543238,0,6.16,-0.883334,0.12871,6.81551,-1.45136,0.00515797,0,6.16,-1.73442,0.27183,6.73948,-2.49062,0.181022,0,6.16,-1.083,0.227683,6.7555,-1.67351,0.129752,0,6.16,-1.57114,0.156849,6.79175,-2.28126,0.0358178,0,6.16,-1.65786,0.364339,6.79849,-2.38841,0.293244,0,6.16,-1.21851,0.0897061,6.7815,-1.84717,-0.042304,0,6.16,-1.72011,0.508684,6.83677,-2.45853,0.461077,0,6.16,-1.50965,0.351447,6.81059,-2.20751,0.27826,0,6.16,-0.850337,0.514307,6.7496,-1.38064,0.49924,0,6.16,-1.42628,0.11978,6.80508,-2.10434,-0.00536731,0,6.16,-1.14215,0.453152,6.83669,-1.76575,0.401155,0,6.16,-1.05579,0.112335,6.76437,-1.64084,-0.0138694,0,6.16,-1.14372,0.317909,6.83009,-1.76396,0.235597,0,
