time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,
0,6.16179,3.24343,0.212296,6.20475,3.25631,0.259984,5.77971,1.86,0.323596,5.46851,0.590536,0.474452,0,5.60998,1.86,0.247478,5.16128,0.64026,0.326515,0,5.60197,1.86,0.45513,5.14887,0.646981,0.718001,0,5.55466,1.86,0.353571,5.08517,0.70518,0.520505,0,5.50927,1.86,0.633565,5.01196,0.727439,1.03005,0,5.48947,1.86,0.236443,4.98274,0.74177,0.303876,0,6.10013,1.86,0.547557,6.0913,0.710908,0.87684,0,5.65539,1.86,0.577915,5.22872,0.58986,0.964685,0,5.2728,1.86,0.540622,4.62521,0.798256,0.84335,0,5.37791,1.86,0.622807,4.82138,0.814848,0.98445,0,6.05111,1.86,0.405571,5.99036,0.576629,0.634356,0,5.49467,1.86,0.498342,4.9819,0.720427,0.784319,0,5.60135,1.86,0.136393,5.16297,0.684702,0.118892,0,5.92222,1.86,0.602862,5.7502,0.631407,1.00104,0,5.74705,1.86,0.464042,5.41388,0.618227,0.740044,0,5.48275,1.86,0.0647984,4.97289,0.746589,-0.00759459,0,5.91948,1.86,0.376498,5.78099,0.836846,0.547156,0,5.94116,1.86,0.501084,5.78402,0.618173,0.810691,0,5.39895,1.86,0.133549,4.87578,0.846185,0.122797,0,5.78317,1.86,0.0628977,5.48951,0.642907,-0.0222394,0,6.06298,1.86,0.127275,6.0148,0.596797,0.0965397,0,5.8236,1.86,0.211534,5.55098,0.581868,0.258512,0,6.05323,1.86,0.293445,5.99498,0.582874,0.416803,0,6.08467,1.86,0.00915077,6.05418,0.555064,-0.136671,0,5.9488,1.86,0.129366,5.80208,0.640835,0.1032,0,5.70709,1.86,0.191851,5.34468,0.63951,0.221313,0,5.9359,1.86,0.255637,5.7966,0.756542,0.3383,0,5.59415,1.86,0.0196169,5.17115,0.737239,-0.090862,0,
0.0333341,6.13539,3.24559,0.212269,6.18992,3.25743,0.260378,5.77971,1.86,0.323596,5.52499,0.75141,0.459778,0,5.60998,1.86,0.247478,5.22802,0.777179,0.322838,0,5.60197,1.86,0.45513,5.21496,0.780153,0.693565,0,5.55466,1.86,0.353571,5.15706,0.840831,0.50617,0,5.50927,1.86,0.633565,5.07854,0.841021,0.992694,0,5.48947,1.86,0.236443,5.05562,0.865993,0.302925,0,6.10013,1.86,0.547557,6.10653,0.853097,0.842279,0,5.65539,1.86,0.577915,5.29016,0.723348,0.928607,0,5.2728,1.86,0.540622,4.6829,0.871774,0.824721,0,5.37791,1.86,0.622807,4.87557,0.894736,0.96082,0,6.05111,1.86,0.405571,6.01683,0.756954,0.608647,0,5.49467,1.86,0.498342,5.04768,0.833044,0.760316,0,5.60135,1.86,0.136393,5.22984,0.819337,0.126406,0,5.92222,1.86,0.602862,5.79292,0.806229,0.95354,0,5.74705,1.86,0.464042,5.47086,0.769962,0.711686,0,5.48275,1.86,0.0647984,5.05959,0.893398,0.0131011,0,5.91948,1.86,0.376498,5.81151,0.969507,0.530692,0,5.94116,1.86,0.501084,5.8244,0.793709,0.776439,0,5.39895,1.86,0.133549,4.93443,0.935493,0.128767,0,5.78317,1.86,0.0628977,5.54961,0.813916,-0.00392303,0,6.06298,1.86,0.127275,6.03234,0.735027,0.101176,0,5.8236,1.86,0.211534,5.60486,0.749738,0.258733,0,6.05323,1.86,0.293445,6.02193,0.771967,0.406413,0,6.08467,1.86,0.00915077,6.07817,0.746862,-0.108629,0,5.9488,1.86,0.129366,5.83874,0.807307,0.114952,0,5.70709,1.86,0.191851,5.41664,0.816219,0.225465,0,5.9359,1.86,0.255637,5.83142,0.91408,0.333277,0,5.59415,1.86,0.0196169,5.24083,0.880283,-0.0711519,0,
0.0666681,6.13539,3.24559,0.212269,6.17796,3.25845,0.260699,5.77971,1.86,0.323596,5.56199,0.864925,0.449341,0,5.60998,1.86,0.247478,5.27322,0.876477,0.319417,0,5.60197,1.86,0.45513,5.25503,0.867567,0.677789,0,5.55466,1.86,0.353571,5.20465,0.936731,0.4955,0,5.50927,1.86,0.633565,5.11483,0.910386,0.972659,0,5.48947,1.86,0.236443,5.10243,0.952024,0.301515,0,6.10013,1.86,0.547557,6.11747,0.96527,0.812921,0,5.65539,1.86,0.577915,5.33014,0.817485,0.903012,0,5.2728,1.86,0.540622,4.72316,0.927778,0.81186,0,5.37791,1.86,0.622807,4.91576,0.957318,0.943281,0,6.05111,1.86,0.405571,6.03261,0.882467,0.59125,0,5.49467,1.86,0.498342,5.0891,0.909443,0.744224,0,5.60135,1.86,0.136393,5.27268,0.912644,0.130958,0,5.92222,1.86,0.602862,5.81815,0.920605,0.921784,0,5.74705,1.86,0.464042,5.50278,0.862211,0.695114,0,5.48275,1.86,0.0647984,5.10048,0.970532,0.0223878,0,5.91948,1.86,0.376498,5.83202,1.06126,0.520039,0,5.94116,1.86,0.501084,5.84873,0.911669,0.751103,0,5.39895,1.86,0.133549,4.97511,1.00136,0.132305,0,5.78317,1.86,0.0628977,5.5911,0.942015,0.0102919,0,6.06298,1.86,0.127275,6.04842,0.860623,0.10915,0,5.8236,1.86,0.211534,5.62941,0.837793,0.259784,0,6.05323,1.86,0.293445,6.03706,0.898116,0.395709,0,6.08467,1.86,0.00915077,6.09272,0.890035,-0.0885127,0,5.9488,1.86,0.129366,5.86721,0.94678,0.122354,0,5.70709,1.86,0.191851,5.45077,0.909738,0.226058,0,5.9359,1.86,0.255637,5.855,1.0263,0.329385,0,5.59415,1.86,0.0196169,5.2769,0.959859,-0.0593495,0,
0.100002,6.10837,3.24756,0.213082,6.15165,3.25998,0.261383,5.77971,1.86,0.323596,5.60788,0.988951,0.442373,0,5.60998,1.86,0.247478,5.33022,0.98572,0.318971,0,5.60197,1.86,0.45513,5.31358,0.977068,0.660026,0,5.55466,1.86,0.353571,5.26465,1.04287,0.48688,0,5.50927,1.86,0.633565,5.17478,1.00461,0.942915,0,5.48947,1.86,0.236443,5.16165,1.04523,0.301634,0,6.10013,1.86,0.547557,6.13277,1.09526,0.783128,0,5.65539,1.86,0.577915,5.38495,0.928748,0.873871,0,5.2728,1.86,0.540622,4.78329,0.993909,0.79761,0,5.37791,1.86,0.622807,4.97273,1.03035,0.921634,0,6.05111,1.86,0.405571,6.05334,1.01721,0.573302,0,5.49467,1.86,0.498342,5.14723,0.999659,0.726715,0,5.60135,1.86,0.136393,5.32855,1.018,0.139407,0,5.92222,1.86,0.602862,5.85383,1.06221,0.882149,0,5.74705,1.86,0.464042,5.55344,0.987246,0.673405,0,5.48275,1.86,0.0647984,5.15774,1.05878,0.0345984,0,5.91948,1.86,0.376498,5.85804,1.16329,0.508949,0,5.94116,1.86,0.501084,5.88012,1.04428,0.725383,0,5.39895,1.86,0.133549,5.02336,1.06448,0.137934,0,5.78317,1.86,0.0628977,5.63216,1.05631,0.0246596,0,6.06298,1.86,0.127275,6.0672,0.985949,0.117113,0,5.8236,1.86,0.211534,5.67781,0.980201,0.260752,0,6.05323,1.86,0.293445,6.05671,1.02798,0.391445,0,6.08467,1.86,0.00915077,6.10929,1.02272,-0.0662318,0,5.9488,1.86,0.129366,5.89068,1.05037,0.131031,0,5.70709,1.86,0.191851,5.50056,1.02414,0.230565,0,5.9359,1.86,0.255637,5.88269,1.14396,0.327199,0,5.59415,1.86,0.0196169,5.34031,1.07889,-0.0417223,0,
0.133336,6.10837,3.24756,0.213082,6.13697,3.2606,0.261758,5.77971,1.86,0.323596,5.63718,1.08238,0.435345,0,5.60998,1.86,0.247478,5.36741,1.06919,0.317387,0,5.60197,1.86,0.45513,5.34935,1.05618,0.646471,0,5.55466,1.86,0.353571,5.29743,1.11152,0.482095,0,5.50927,1.86,0.633565,5.20681,1.06618,0.925804,0,5.48947,1.86,0.236443,5.19729,1.11147,0.300804,0,6.10013,1.86,0.547557,6.14007,1.19099,0.75988,0,5.65539,1.86,0.577915,5.42035,1.01379,0.851269,0,5.2728,1.86,0.540622,4.82124,1.04555,0.784841,0,5.37791,1.86,0.622807,5.00739,1.08511,0.907365,0,6.05111,1.86,0.405571,6.06377,1.11224,0.56065,0,5.49467,1.86,0.498342,5.1855,1.07023,0.712836,0,5.60135,1.86,0.136393,5.36375,1.09602,0.143954,0,5.92222,1.86,0.602862,5.87113,1.14906,0.858833,0,5.74705,1.86,0.464042,5.58391,1.07718,0.657088,0,5.48275,1.86,0.0647984,5.19495,1.1267,0.0411728,0,5.91948,1.86,0.376498,5.88018,1.26675,0.496468,0,5.94116,1.86,0.501084,5.89703,1.13327,0.705483,0,5.39895,1.86,0.133549,5.05779,1.11926,0.140884,0,5.78317,1.86,0.0628977,5.65914,1.14334,0.0343542,0,6.06298,1.86,0.127275,6.07823,1.08912,0.125463,0,5.8236,1.86,0.211534,5.70201,1.06883,0.260969,0,6.05323,1.86,0.293445,6.06842,1.13492,0.387455,0,6.08467,1.86,0.00915077,6.11705,1.11431,-0.0522478,0,5.9488,1.86,0.129366,5.90726,1.13686,0.13677,0,5.70709,1.86,0.191851,5.53513,1.11751,0.231892,0,5.9359,1.86,0.255637,5.89997,1.23305,0.324861,0,5.59415,1.86,0.0196169,5.3761,1.15846,-0.0301528,0,
0.16667,6.08099,3.24865,0.212934,6.12508,3.26093,0.262056,5.77971,1.86,0.323596,5.67159,1.19426,0.427342,0,5.60998,1.86,0.247478,5.41403,1.17536,0.314037,0,5.60197,1.86,0.45513,5.39436,1.15632,0.628428,0,5.55466,1.86,0.353571,5.34048,1.19979,0.472079,0,5.50927,1.86,0.633565,5.2544,1.15518,0.897614,0,5.48947,1.86,0.236443,5.24413,1.19868,0.298677,0,6.10013,1.86,0.547557,6.14757,1.29484,0.733646,0,5.65539,1.86,0.577915,5.46483,1.12229,0.822229,0,5.2728,1.86,0.540622,4.87925,1.12557,0.76655,0,5.37791,1.86,0.622807,5.05339,1.15671,0.88514,0,6.05111,1.86,0.405571,6.07659,1.23095,0.543732,0,5.49467,1.86,0.498342,5.23272,1.15842,0.694881,0,5.60135,1.86,0.136393,5.409,1.19726,0.149579,0,5.92222,1.86,0.602862,5.89362,1.25788,0.826263,0,5.74705,1.86,0.464042,5.62003,1.1849,0.637909,0,5.48275,1.86,0.0647984,5.24332,1.21609,0.0503466,0,5.91948,1.86,0.376498,5.89858,1.36016,0.485227,0,5.94116,1.86,0.501084,5.91725,1.23964,0.683332,0,5.39895,1.86,0.133549,5.11317,1.20909,0.144937,0,5.78317,1.86,0.0628977,5.6914,1.24924,0.0454208,0,6.06298,1.86,0.127275,6.09159,1.2265,0.136741,0,5.8236,1.86,0.211534,5.73908,1.20273,0.260677,0,6.05323,1.86,0.293445,6.08002,1.24847,0.379482,0,6.08467,1.86,0.00915077,6.12713,1.23461,-0.0350391,0,5.9488,1.86,0.129366,5.92887,1.25447,0.143522,0,5.70709,1.86,0.191851,5.57232,1.22093,0.232159,0,5.9359,1.86,0.255637,5.91986,1.33788,0.320392,0,5.59415,1.86,0.0196169,5.40864,1.23148,-0.0190468,0,
0.200004,6.05454,3.24927,0.21279,6.11031,3.2612,0.262422,5.77971,1.86,0.323596,5.69685,1.28181,0.416739,0,5.60998,1.86,0.247478,5.44681,1.25357,0.310766,0,5.60197,1.86,0.45513,5.42731,1.23271,0.613796,0,5.55466,1.86,0.353571,5.37641,1.27643,0.461126,0,5.50927,1.86,0.633565,5.28937,1.22354,0.87475,0,5.48947,1.86,0.236443,5.28047,1.2688,0.295294,0,6.10013,1.86,0.547557,6.15068,1.35911,0.717551,0,5.65539,1.86,0.577915,5.49434,1.19816,0.801897,0,5.2728,1.86,0.540622,4.91442,1.17586,0.752505,0,5.37791,1.86,0.622807,5.09534,1.2231,0.862543,0,6.05111,1.86,0.405571,6.08382,1.31602,0.529649,0,5.49467,1.86,0.498342,5.26753,1.22532,0.678365,0,5.60135,1.86,0.136393,5.44316,1.27734,0.151946,0,5.92222,1.86,0.602862,5.90858,1.33951,0.800954,0,5.74705,1.86,0.464042,5.64676,1.26899,0.620318,0,5.48275,1.86,0.0647984,5.28513,1.29644,0.0554136,0,5.91948,1.86,0.376498,5.90689,1.40911,0.478053,0,5.94116,1.86,0.501084,5.93097,1.32051,0.664164,0,5.39895,1.86,0.133549,5.15246,1.27612,0.146404,0,5.78317,1.86,0.0628977,5.71558,1.33422,0.0525194,0,6.06298,1.86,0.127275,6.09841,1.31859,0.139433,0,5.8236,1.86,0.211534,5.76303,1.29822,0.259373,0,6.05323,1.86,0.293445,6.08645,1.32647,0.373459,0,6.08467,1.86,0.00915077,6.13257,1.32584,-0.0246216,0,5.9488,1.86,0.129366,5.9412,1.3331,0.146159,0,5.70709,1.86,0.191851,5.5994,1.2997,0.231986,0,5.9359,1.86,0.255637,5.93139,1.40738,0.317497,0,5.59415,1.86,0.0196169,5.43513,1.29154,-0.0122968,0,
0.233338,6.05454,3.24927,0.21279,6.09941,3.26137,0.262691,5.77971,1.86,0.323596,5.71917,1.36427,0.410515,0,5.60998,1.86,0.247478,5.4783,1.33283,0.308287,0,5.60197,1.86,0.45513,5.46018,1.31338,0.598871,0,5.55466,1.86,0.353571,5.4125,1.35831,0.452243,0,5.50927,1.86,0.633565,5.32372,1.29503,0.852936,0,5.48947,1.86,0.236443,5.31389,1.33764,0.293787,0,6.10013,1.86,0.547557,6.15359,1.42421,0.700744,0,5.65539,1.86,0.577915,5.52627,1.28377,0.778454,0,5.2728,1.86,0.540622,4.95993,1.24363,0.736301,0,5.37791,1.86,0.622807,5.13108,1.28544,0.844063,0,6.05111,1.86,0.405571,6.09004,1.39972,0.516977,0,5.49467,1.86,0.498342,5.30523,1.30187,0.662003,0,5.60135,1.86,0.136393,5.47768,1.36263,0.156166,0,5.92222,1.86,0.602862,5.92123,1.41507,0.777751,0,5.74705,1.86,0.464042,5.67156,1.35232,0.604697,0,5.48275,1.86,0.0647984,5.31805,1.36446,0.0627261,0,5.91948,1.86,0.376498,5.91653,1.46357,0.470839,0,5.94116,1.86,0.501084,5.94236,1.39454,0.648384,0,5.39895,1.86,0.133549,5.20124,1.36206,0.152949,0,5.78317,1.86,0.0628977,5.73696,1.41438,0.0614723,0,6.06298,1.86,0.127275,6.10397,1.4046,0.144506,0,5.8236,1.86,0.211534,5.78363,1.38602,0.257874,0,6.05323,1.86,0.293445,6.09248,1.40817,0.367446,0,6.08467,1.86,0.00915077,6.13635,1.40851,-0.0139932,0,5.9488,1.86,0.129366,5.95786,1.44247,0.150676,0,5.70709,1.86,0.191851,5.62644,1.38257,0.233367,0,5.9359,1.86,0.255637,5.94026,1.46542,0.315562,0,5.59415,1.86,0.0196169,5.47437,1.38455,-0.000695527,0,
0.266672,6.04421,3.24942,0.213087,6.08935,3.26135,0.262934,5.77971,1.86,0.323596,5.73979,1.44606,0.401441,0,5.60998,1.86,0.247478,5.50753,1.41062,0.304611,0,5.60197,1.86,0.45513,5.48914,1.389,0.584269,0,5.55466,1.86,0.353571,5.44731,1.4412,0.44324,0,5.50927,1.86,0.633565,5.35227,1.3584,0.832856,0,5.48947,1.86,0.236443,5.34873,1.41203,0.291088,0,6.10013,1.86,0.547557,6.15545,1.49259,0.682678,0,5.65539,1.86,0.577915,5.55337,1.36234,0.755331,0,5.2728,1.86,0.540622,4.99707,1.30358,0.721117,0,5.37791,1.86,0.622807,5.15915,1.33762,0.827587,0,6.05111,1.86,0.405571,6.09405,1.47397,0.505281,0,5.49467,1.86,0.498342,5.33825,1.37328,0.646311,0,5.60135,1.86,0.136393,5.50739,1.441,0.158963,0,5.92222,1.86,0.602862,5.93354,1.49421,0.754365,0,5.74705,1.86,0.464042,5.69071,1.42254,0.590587,0,5.48275,1.86,0.0647984,5.34949,1.43149,0.0695332,0,5.91948,1.86,0.376498,5.93273,1.56015,0.458029,0,5.94116,1.86,0.501084,5.95286,1.46956,0.631696,0,5.39895,1.86,0.133549,5.23053,1.41992,0.155971,0,5.78317,1.86,0.0628977,5.75447,1.48632,0.066933,0,6.06298,1.86,0.127275,6.10795,1.48604,0.149163,0,5.8236,1.86,0.211534,5.798,1.45405,0.257062,0,6.05323,1.86,0.293445,6.09636,1.48315,0.361024,0,6.08467,1.86,0.00915077,6.13885,1.48555,-0.00253165,0,5.9488,1.86,0.129366,5.96626,1.51429,0.154917,0,5.70709,1.86,0.191851,5.64911,1.45984,0.229461,0,5.9359,1.86,0.255637,5.95352,1.55417,0.310093,0,5.59415,1.86,0.0196169,5.49476,1.44109,0.00644207,0,
0.300007,6.01687,3.24976,0.213871,6.0628,3.26124,0.263574,5.77971,1.86,0.323596,5.75811,1.50655,0.394535,0,5.60998,1.86,0.247478,5.5333,1.46684,0.300174,0,5.60197,1.86,0.45513,5.51409,1.44156,0.570032,0,5.55466,1.86,0.353571,5.47281,1.49157,0.434911,0,5.50927,1.86,0.633565,5.3726,1.38982,0.819304,0,5.48947,1.86,0.236443,5.37826,1.46371,0.285756,0,6.10013,1.86,0.547557,6.1576,1.52961,0.672009,0,5.65539,1.86,0.577915,5.57141,1.40177,0.743617,0,5.2728,1.86,0.540622,5.02811,1.33641,0.707658,0,5.37791,1.86,0.622807,5.19175,1.38005,0.807234,0,6.05111,1.86,0.405571,6.09941,1.53447,0.494547,0,5.49467,1.86,0.498342,5.36549,1.41858,0.63211,0,5.60135,1.86,0.136393,5.5457,1.52804,0.161573,0,5.92222,1.86,0.602862,5.94095,1.53418,0.740949,0,5.74705,1.86,0.464042,5.70345,1.45735,0.582024,0,5.48275,1.86,0.0647984,5.38769,1.50021,0.072208,0,5.91948,1.86,0.376498,5.94658,1.64536,0.445132,0,5.94116,1.86,0.501084,5.9621,1.5223,0.618032,0,5.39895,1.86,0.133549,5.26743,1.47526,0.154494,0,5.78317,1.86,0.0628977,5.77552,1.55789,0.0738247,0,6.06298,1.86,0.127275,6.11363,1.56104,0.152585,0,5.8236,1.86,0.211534,5.80751,1.48859,0.25343,0,6.05323,1.86,0.293445,6.1013,1.53698,0.357985,0,6.08467,1.86,0.00915077,6.14138,1.5265,0.000751525,0,5.9488,1.86,0.129366,5.98351,1.63717,0.156779,0,5.70709,1.86,0.191851,5.66795,1.51033,0.229254,0,5.9359,1.86,0.255637,5.96435,1.62651,0.304315,0,5.59415,1.86,0.0196169,5.53378,1.5267,0.0151858,0,
