time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,
0,5.767,3.67619,0.213708,5.82561,3.68895,0.275678,5.15089,1.86,0.726843,4.99292,1.23433,0.96919,0,4.91005,1.86,0.593875,4.71392,1.33286,0.768856,0,5.75805,1.86,0.288762,5.81285,1.10103,0.382623,0,5.58001,1.86,0.228294,5.55762,1.08597,0.296583,0,5.43619,1.86,0.697882,5.36755,1.17417,0.946087,0,5.57595,1.86,0.423417,5.55417,1.10853,0.573629,0,5.79016,1.86,0.712435,5.85679,1.24443,0.946942,0,4.94742,1.86,0.0143319,4.75224,1.31036,0.0145636,0,5.88911,1.86,0.592323,5.99785,1.12715,0.809726,0,5.62925,1.86,0.551213,5.63081,1.12051,0.752973,0,5.32491,1.86,0.45905,5.20331,1.13244,0.621027,0,5.09994,1.86,0.53732,4.89924,1.16674,0.725089,0,6.0296,1.86,0.374008,6.19628,1.1253,0.501948,0,5.43623,1.86,0.210521,5.36271,1.14724,0.271218,0,4.88482,1.86,0.298596,4.66303,1.29548,0.387547,0,4.85129,1.86,0.451996,4.63706,1.3316,0.584966,0,5.03358,1.86,0.658117,4.8543,1.28366,0.864233,0,6.04165,1.86,0.0908344,6.21712,1.09999,0.100523,0,5.68534,1.86,0.156783,5.70982,1.11378,0.194965,0,5.98511,1.86,0.669971,6.1306,1.14925,0.913699,0,5.72393,1.86,0.460881,5.76397,1.09,0.62938,0,5.41348,1.86,-0.0193102,5.32836,1.13437,-0.0520761,0,5.22184,1.86,0.215993,5.07584,1.19107,0.27882,0,5.60119,1.86,0.0440986,5.58895,1.09666,0.0335912,0,5.97919,1.86,0.259062,6.12851,1.09634,0.34042,0,5.85826,1.86,0.435901,5.9598,1.01847,0.602383,0,5.66688,1.86,0.737434,5.68857,1.20296,0.992549,0,5.47591,1.86,0.549454,5.4136,1.11837,0.750882,0,5.97228,1.86,-0.0389999,6.11737,1.10765,-0.0834884,0,5.76873,1.86,0.0413381,5.82806,1.11399,0.0312959,0,5.00968,1.86,0.165286,4.80721,1.24662,0.210562,0,4.82215,1.86,-0.0329386,4.64057,1.41106,-0.033669,0,4.7882,1.86,0.124098,4.564,1.34799,0.160176,0,
0.0333341,5.767,3.67619,0.213708,5.81504,3.68937,0.275959,5.15089,1.86,0.726843,5.0032,1.24915,0.967579,0,4.91005,1.86,0.593875,4.72244,1.34226,0.76694,0,5.75805,1.86,0.288762,5.8201,1.14206,0.38012,0,5.58001,1.86,0.228294,5.56856,1.1221,0.296077,0,5.43619,1.86,0.697882,5.38362,1.21324,0.937726,0,5.57595,1.86,0.423417,5.56454,1.14305,0.569322,0,5.79016,1.86,0.712435,5.86151,1.26642,0.942659,0,4.94742,1.86,0.0143319,4.77633,1.34656,0.0161905,0,5.88911,1.86,0.592323,6.00271,1.17041,0.798107,0,5.62925,1.86,0.551213,5.63234,1.123,0.752076,0,5.32491,1.86,0.45905,5.21745,1.16208,0.61595,0,5.09994,1.86,0.53732,4.91454,1.18561,0.719582,0,6.0296,1.86,0.374008,6.19645,1.18607,0.496292,0,5.43623,1.86,0.210521,5.37089,1.17027,0.270181,0,4.88482,1.86,0.298596,4.67282,1.30749,0.385175,0,4.85129,1.86,0.451996,4.64733,1.34265,0.58255,0,5.03358,1.86,0.658117,4.86027,1.29018,0.863587,0,6.04165,1.86,0.0908344,6.21845,1.1454,0.105286,0,5.68534,1.86,0.156783,5.71856,1.15648,0.199578,0,5.98511,1.86,0.669971,6.13287,1.17515,0.90255,0,5.72393,1.86,0.460881,5.76975,1.1167,0.624653,0,5.41348,1.86,-0.0193102,5.35205,1.20213,-0.0409686,0,5.22184,1.86,0.215993,5.10389,1.25006,0.280996,0,5.60119,1.86,0.0440986,5.60146,1.14853,0.038255,0,5.97919,1.86,0.259062,6.13016,1.12506,0.34147,0,5.85826,1.86,0.435901,5.96537,1.04741,0.599522,0,5.66688,1.86,0.737434,5.69593,1.23663,0.981905,0,5.47591,1.86,0.549454,5.42248,1.14121,0.747449,0,5.97228,1.86,-0.0389999,6.12083,1.15857,-0.0751831,0,5.76873,1.86,0.0413381,5.83511,1.15249,0.0348715,0,5.00968,1.86,0.165286,4.82484,1.27412,0.212759,0,4.82215,1.86,-0.0329386,4.6618,1.44092,-0.0307747,0,4.7882,1.86,0.124098,4.56241,1.34616,0.160731,0,
0.0666681,5.74009,3.67732,0.214039,5.78831,3.69027,0.276666,5.15089,1.86,0.726843,5.01169,1.27737,0.959871,0,4.91005,1.86,0.593875,4.72701,1.35694,0.764214,0,5.75805,1.86,0.288762,5.81863,1.19482,0.383556,0,5.58001,1.86,0.228294,5.57173,1.16641,0.297513,0,5.43619,1.86,0.697882,5.37807,1.22123,0.93299,0,5.57595,1.86,0.423417,5.56777,1.18808,0.567088,0,5.79016,1.86,0.712435,5.85893,1.30384,0.93398,0,4.94742,1.86,0.0143319,4.78448,1.37042,0.0199706,0,5.88911,1.86,0.592323,5.998,1.22086,0.790029,0,5.62925,1.86,0.551213,5.63457,1.15786,0.744407,0,5.32491,1.86,0.45905,5.2279,1.20655,0.609761,0,5.09994,1.86,0.53732,4.9233,1.21384,0.71747,0,6.0296,1.86,0.374008,6.18686,1.22071,0.497968,0,5.43623,1.86,0.210521,5.38047,1.22098,0.271702,0,4.88482,1.86,0.298596,4.68341,1.33023,0.384841,0,4.85129,1.86,0.451996,4.65106,1.3553,0.582047,0,5.03358,1.86,0.658117,4.85906,1.30002,0.866182,0,6.04165,1.86,0.0908344,6.20894,1.20519,0.113133,0,5.68534,1.86,0.156783,5.7229,1.23022,0.203879,0,5.98511,1.86,0.669971,6.1267,1.20925,0.896318,0,5.72393,1.86,0.460881,5.76949,1.1597,0.621581,0,5.41348,1.86,-0.0193102,5.36028,1.2551,-0.0305994,0,5.22184,1.86,0.215993,5.11934,1.30529,0.28477,0,5.60119,1.86,0.0440986,5.60455,1.19934,0.0439599,0,5.97919,1.86,0.259062,6.1232,1.20216,0.343963,0,5.85826,1.86,0.435901,5.96265,1.09761,0.595303,0,5.66688,1.86,0.737434,5.69612,1.27852,0.97227,0,5.47591,1.86,0.549454,5.42732,1.17909,0.741204,0,5.97228,1.86,-0.0389999,6.11331,1.22099,-0.0635488,0,5.76873,1.86,0.0413381,5.83596,1.22247,0.0435537,0,5.00968,1.86,0.165286,4.83446,1.30149,0.212946,0,4.82215,1.86,-0.0329386,4.67299,1.46577,-0.023721,0,4.7882,1.86,0.124098,4.57481,1.36656,0.164398,0,
0.100002,5.74009,3.67732,0.214039,5.77343,3.69069,0.277057,5.15089,1.86,0.726843,5.01993,1.29629,0.951649,0,4.91005,1.86,0.593875,4.73146,1.36524,0.759926,0,5.75805,1.86,0.288762,5.82328,1.24723,0.376826,0,5.58001,1.86,0.228294,5.57869,1.20532,0.293927,0,5.43619,1.86,0.697882,5.38332,1.23691,0.927308,0,5.57595,1.86,0.423417,5.57607,1.23124,0.559307,0,5.79016,1.86,0.712435,5.86079,1.33146,0.92417,0,4.94742,1.86,0.0143319,4.79589,1.39148,0.0197015,0,5.88911,1.86,0.592323,5.99587,1.22765,0.788426,0,5.62925,1.86,0.551213,5.63828,1.18205,0.739019,0,5.32491,1.86,0.45905,5.23679,1.23533,0.60317,0,5.09994,1.86,0.53732,4.93887,1.24546,0.706874,0,6.0296,1.86,0.374008,6.18546,1.24007,0.495294,0,5.43623,1.86,0.210521,5.39077,1.26106,0.269573,0,4.88482,1.86,0.298596,4.69761,1.35381,0.380243,0,4.85129,1.86,0.451996,4.66753,1.37948,0.575876,0,5.03358,1.86,0.658117,4.86323,1.30674,0.861025,0,6.04165,1.86,0.0908344,6.20545,1.25089,0.113049,0,5.68534,1.86,0.156783,5.72819,1.28043,0.203461,0,5.98511,1.86,0.669971,6.12571,1.22893,0.891128,0,5.72393,1.86,0.460881,5.77305,1.19344,0.615095,0,5.41348,1.86,-0.0193102,5.3759,1.31242,-0.028443,0,5.22184,1.86,0.215993,5.13296,1.34243,0.280136,0,5.60119,1.86,0.0440986,5.61186,1.24263,0.0470228,0,5.97919,1.86,0.259062,6.12064,1.24017,0.342674,0,5.85826,1.86,0.435901,5.96517,1.15892,0.586884,0,5.66688,1.86,0.737434,5.70152,1.31596,0.95875,0,5.47591,1.86,0.549454,5.43355,1.20511,0.735418,0,5.97228,1.86,-0.0389999,6.11138,1.26267,-0.0599009,0,5.76873,1.86,0.0413381,5.83535,1.24145,0.0445805,0,5.00968,1.86,0.165286,4.84801,1.32789,0.210187,0,4.82215,1.86,-0.0329386,4.6849,1.4851,-0.0236128,0,4.7882,1.86,0.124098,4.58924,1.38818,0.161963,0,
0.133336,5.71378,3.67827,0.21438,5.76218,3.69101,0.277352,5.15089,1.86,0.726843,5.03067,1.31688,0.941615,0,4.91005,1.86,0.593875,4.74093,1.37754,0.756592,0,5.75805,1.86,0.288762,5.82858,1.29557,0.373491,0,5.58001,1.86,0.228294,5.58798,1.24693,0.291591,0,5.43619,1.86,0.697882,5.39311,1.26326,0.918181,0,5.57595,1.86,0.423417,5.58643,1.27812,0.55199,0,5.79016,1.86,0.712435,5.86576,1.37041,0.911068,0,4.94742,1.86,0.0143319,4.8126,1.41763,0.0215949,0,5.88911,1.86,0.592323,5.99762,1.23232,0.785546,0,5.62925,1.86,0.551213,5.64676,1.21911,0.730611,0,5.32491,1.86,0.45905,5.25201,1.27452,0.596081,0,5.09994,1.86,0.53732,4.95438,1.27532,0.699725,0,6.0296,1.86,0.374008,6.1859,1.27885,0.490322,0,5.43623,1.86,0.210521,5.40574,1.31038,0.268839,0,4.88482,1.86,0.298596,4.71005,1.37237,0.378519,0,4.85129,1.86,0.451996,4.68492,1.40465,0.571494,0,5.03358,1.86,0.658117,4.87208,1.31933,0.857143,0,6.04165,1.86,0.0908344,6.2039,1.29349,0.114258,0,5.68534,1.86,0.156783,5.73363,1.31656,0.202928,0,5.98511,1.86,0.669971,6.12722,1.26668,0.884535,0,5.72393,1.86,0.460881,5.77889,1.2318,0.607086,0,5.41348,1.86,-0.0193102,5.38897,1.356,-0.0230258,0,5.22184,1.86,0.215993,5.15041,1.38268,0.279853,0,5.60119,1.86,0.0440986,5.61919,1.27803,0.0484774,0,5.97919,1.86,0.259062,6.12036,1.26594,0.336804,0,5.85826,1.86,0.435901,5.96707,1.19932,0.579989,0,5.66688,1.86,0.737434,5.70822,1.35166,0.947272,0,5.47591,1.86,0.549454,5.44559,1.24395,0.726336,0,5.97228,1.86,-0.0389999,6.11159,1.30968,-0.0550295,0,5.76873,1.86,0.0413381,5.84228,1.2914,0.0474423,0,5.00968,1.86,0.165286,4.86755,1.36112,0.210786,0,4.82215,1.86,-0.0329386,4.69453,1.4996,-0.0249644,0,4.7882,1.86,0.124098,4.60149,1.40558,0.160128,0,
0.16667,5.70318,3.6786,0.214267,5.75217,3.69125,0.277614,5.15089,1.86,0.726843,5.04427,1.33986,0.935741,0,4.91005,1.86,0.593875,4.76122,1.40597,0.75476,0,5.75805,1.86,0.288762,5.83289,1.32237,0.372764,0,5.58001,1.86,0.228294,5.59883,1.2904,0.292254,0,5.43619,1.86,0.697882,5.40679,1.30051,0.90794,0,5.57595,1.86,0.423417,5.59305,1.30317,0.548297,0,5.79016,1.86,0.712435,5.869,1.38703,0.906039,0,4.94742,1.86,0.0143319,4.82555,1.43728,0.0211226,0,5.88911,1.86,0.592323,6.00321,1.27138,0.776173,0,5.62925,1.86,0.551213,5.65586,1.25802,0.721789,0,5.32491,1.86,0.45905,5.25812,1.291,0.588822,0,5.09994,1.86,0.53732,4.96989,1.30236,0.694586,0,6.0296,1.86,0.374008,6.18662,1.30659,0.486727,0,5.43623,1.86,0.210521,5.4135,1.33304,0.26896,0,4.88482,1.86,0.298596,4.71893,1.38318,0.378001,0,4.85129,1.86,0.451996,4.69122,1.41259,0.569916,0,5.03358,1.86,0.658117,4.88316,1.33453,0.854781,0,6.04165,1.86,0.0908344,6.20417,1.32487,0.117794,0,5.68534,1.86,0.156783,5.73989,1.34584,0.20312,0,5.98511,1.86,0.669971,6.12892,1.28862,0.877907,0,5.72393,1.86,0.460881,5.78544,1.26689,0.603025,0,5.41348,1.86,-0.0193102,5.39898,1.38464,-0.0207103,0,5.22184,1.86,0.215993,5.16679,1.41835,0.280959,0,5.60119,1.86,0.0440986,5.62568,1.30164,0.0497262,0,5.97919,1.86,0.259062,6.12241,1.31216,0.334976,0,5.85826,1.86,0.435901,5.97008,1.22422,0.575895,0,5.66688,1.86,0.737434,5.71215,1.36552,0.942046,0,5.47591,1.86,0.549454,5.4523,1.26287,0.722788,0,5.97228,1.86,-0.0389999,6.11283,1.34073,-0.0499422,0,5.76873,1.86,0.0413381,5.84596,1.31506,0.0492539,0,5.00968,1.86,0.165286,4.87981,1.38105,0.209651,0,4.82215,1.86,-0.0329386,4.70155,1.50719,-0.0253663,0,4.7882,1.86,0.124098,4.61379,1.42075,0.158243,0,
0.200004,5.67726,3.67932,0.214652,5.72611,3.69175,0.278292,5.15089,1.86,0.726843,5.04319,1.35102,0.929597,0,4.91005,1.86,0.593875,4.7582,1.41126,0.750816,0,5.75805,1.86,0.288762,5.82799,1.35098,0.366045,0,5.58001,1.86,0.228294,5.59741,1.32104,0.289628,0,5.43619,1.86,0.697882,5.40399,1.316,0.901764,0,5.57595,1.86,0.423417,5.59171,1.32862,0.543979,0,5.79016,1.86,0.712435,5.86416,1.40628,0.898887,0,4.94742,1.86,0.0143319,4.82576,1.44701,0.0238508,0,5.88911,1.86,0.592323,5.99747,1.31357,0.766274,0,5.62925,1.86,0.551213,5.65233,1.27883,0.720803,0,5.32491,1.86,0.45905,5.25492,1.29935,0.585994,0,5.09994,1.86,0.53732,4.96578,1.30754,0.693055,0,6.0296,1.86,0.374008,6.17838,1.34088,0.481839,0,5.43623,1.86,0.210521,5.41529,1.36297,0.265669,0,4.88482,1.86,0.298596,4.7228,1.39633,0.377869,0,4.85129,1.86,0.451996,4.69438,1.42412,0.565663,0,5.03358,1.86,0.658117,4.8849,1.34708,0.849564,0,6.04165,1.86,0.0908344,6.19576,1.35334,0.117339,0,5.68534,1.86,0.156783,5.73632,1.37162,0.201423,0,5.98511,1.86,0.669971,6.12113,1.31616,0.865332,0,5.72393,1.86,0.460881,5.78304,1.30426,0.596392,0,5.41348,1.86,-0.0193102,5.3972,1.40205,-0.0191168,0,5.22184,1.86,0.215993,5.16596,1.43466,0.277972,0,5.60119,1.86,0.0440986,5.62336,1.32412,0.0502481,0,5.97919,1.86,0.259062,6.11423,1.33216,0.332876,0,5.85826,1.86,0.435901,5.965,1.25397,0.569869,0,5.66688,1.86,0.737434,5.70699,1.37426,0.93809,0,5.47591,1.86,0.549454,5.45127,1.28165,0.717592,0,5.97228,1.86,-0.0389999,6.10538,1.3725,-0.0476104,0,5.76873,1.86,0.0413381,5.84079,1.33081,0.0500154,0,5.00968,1.86,0.165286,4.88505,1.4013,0.207995,0,4.82215,1.86,-0.0329386,4.70735,1.52313,-0.0252491,0,4.7882,1.86,0.124098,4.61857,1.4355,0.155864,0,
0.233338,5.66679,3.67951,0.214553,5.71629,3.69185,0.278545,5.15089,1.86,0.726843,5.06497,1.39791,0.922241,0,4.91005,1.86,0.593875,4.77859,1.44385,0.748997,0,5.75805,1.86,0.288762,5.8334,1.39959,0.364829,0,5.58001,1.86,0.228294,5.60899,1.38032,0.292142,0,5.43619,1.86,0.697882,5.4159,1.35333,0.893523,0,5.57595,1.86,0.423417,5.60251,1.38067,0.540136,0,5.79016,1.86,0.712435,5.86843,1.44406,0.891895,0,4.94742,1.86,0.0143319,4.84479,1.47811,0.0303735,0,5.88911,1.86,0.592323,5.9981,1.34045,0.764011,0,5.62925,1.86,0.551213,5.66354,1.33972,0.709185,0,5.32491,1.86,0.45905,5.2764,1.35696,0.580217,0,5.09994,1.86,0.53732,4.99094,1.35657,0.687058,0,6.0296,1.86,0.374008,6.1765,1.38443,0.481489,0,5.43623,1.86,0.210521,5.42951,1.41308,0.267307,0,4.88482,1.86,0.298596,4.7462,1.43323,0.378615,0,4.85129,1.86,0.451996,4.71686,1.45806,0.564571,0,5.03358,1.86,0.658117,4.90718,1.38738,0.841762,0,6.04165,1.86,0.0908344,6.19416,1.39312,0.121482,0,5.68534,1.86,0.156783,5.74508,1.43586,0.207507,0,5.98511,1.86,0.669971,6.12096,1.36767,0.853492,0,5.72393,1.86,0.460881,5.78929,1.35855,0.589751,0,5.41348,1.86,-0.0193102,5.41333,1.45494,-0.0112596,0,5.22184,1.86,0.215993,5.17761,1.46141,0.27676,0,5.60119,1.86,0.0440986,5.63322,1.37423,0.059083,0,5.97919,1.86,0.259062,6.11389,1.38673,0.333115,0,5.85826,1.86,0.435901,5.96779,1.33604,0.565294,0,5.66688,1.86,0.737434,5.71621,1.42394,0.926497,0,5.47591,1.86,0.549454,5.46459,1.33064,0.712711,0,5.97228,1.86,-0.0389999,6.10435,1.42816,-0.037093,0,5.76873,1.86,0.0413381,5.8457,1.37008,0.0553384,0,5.00968,1.86,0.165286,4.91095,1.4493,0.214222,0,4.82215,1.86,-0.0329386,4.72475,1.54829,-0.0186859,0,4.7882,1.86,0.124098,4.64355,1.47096,0.163081,0,
0.266672,5.64066,3.68014,0.21498,5.70143,3.69197,0.278927,5.15089,1.86,0.726843,5.0827,1.44143,0.907535,0,4.91005,1.86,0.593875,4.79858,1.47896,0.740683,0,5.75805,1.86,0.288762,5.83579,1.45459,0.361816,0,5.58001,1.86,0.228294,5.61578,1.43139,0.290471,0,5.43619,1.86,0.697882,5.42825,1.40372,0.879591,0,5.57595,1.86,0.423417,5.60943,1.42941,0.533502,0,5.79016,1.86,0.712435,5.8702,1.48891,0.877333,0,4.94742,1.86,0.0143319,4.85988,1.50692,0.0327149,0,5.88911,1.86,0.592323,5.99801,1.41489,0.746789,0,5.62925,1.86,0.551213,5.66874,1.38768,0.699164,0,5.32491,1.86,0.45905,5.29435,1.41926,0.572734,0,5.09994,1.86,0.53732,5.0164,1.41622,0.671702,0,6.0296,1.86,0.374008,6.17061,1.4468,0.473383,0,5.43623,1.86,0.210521,5.44079,1.46407,0.268541,0,4.88482,1.86,0.298596,4.7652,1.46721,0.378301,0,4.85129,1.86,0.451996,4.73571,1.49002,0.558295,0,5.03358,1.86,0.658117,4.92449,1.42355,0.831146,0,6.04165,1.86,0.0908344,6.1892,1.4419,0.123974,0,5.68534,1.86,0.156783,5.74806,1.48279,0.206317,0,5.98511,1.86,0.669971,6.11661,1.42341,0.836717,0,5.72393,1.86,0.460881,5.7917,1.40215,0.58301,0,5.41348,1.86,-0.0193102,5.42317,1.49889,-0.00590953,0,5.22184,1.86,0.215993,5.18705,1.48832,0.275108,0,5.60119,1.86,0.0440986,5.64046,1.42941,0.0617258,0,5.97919,1.86,0.259062,6.10902,1.44982,0.329924,0,5.85826,1.86,0.435901,5.96622,1.39481,0.556797,0,5.66688,1.86,0.737434,5.71998,1.46443,0.913243,0,5.47591,1.86,0.549454,5.47546,1.38212,0.700605,0,5.97228,1.86,-0.0389999,6.1003,1.47886,-0.0307617,0,5.76873,1.86,0.0413381,5.84902,1.43749,0.0610391,0,5.00968,1.86,0.165286,4.92542,1.48122,0.211966,0,4.82215,1.86,-0.0329386,4.73489,1.56578,-0.0174707,0,4.7882,1.86,0.124098,4.66213,1.50086,0.163065,0,
0.300007,5.6301,3.68032,0.214875,5.69009,3.69224,0.279223,5.15089,1.86,0.726843,5.08609,1.45228,0.902436,0,4.91005,1.86,0.593875,4.79827,1.48179,0.738117,0,5.75805,1.86,0.288762,5.83244,1.44789,0.35842,0,5.58001,1.86,0.228294,5.61387,1.43213,0.287085,0,5.43619,1.86,0.697882,5.43085,1.41807,0.873102,0,5.57595,1.86,0.423417,5.61272,1.45152,0.53019,0,5.79016,1.86,0.712435,5.86908,1.4889,0.877227,0,4.94742,1.86,0.0143319,4.86952,1.52561,0.0323906,0,5.88911,1.86,0.592323,5.99656,1.45812,0.735521,0,5.62925,1.86,0.551213,5.66859,1.39699,0.693505,0,5.32491,1.86,0.45905,5.30809,1.4664,0.566544,0,5.09994,1.86,0.53732,5.01499,1.42072,0.667701,0,6.0296,1.86,0.374008,6.16856,1.45269,0.472096,0,5.43623,1.86,0.210521,5.4447,1.48444,0.264634,0,4.88482,1.86,0.298596,4.77146,1.47965,0.375752,0,4.85129,1.86,0.451996,4.73527,1.49391,0.553573,0,5.03358,1.86,0.658117,4.93319,1.44405,0.819965,0,6.04165,1.86,0.0908344,6.18693,1.46354,0.126953,0,5.68534,1.86,0.156783,5.75113,1.51351,0.207038,0,5.98511,1.86,0.669971,6.11484,1.42423,0.836093,0,5.72393,1.86,0.460881,5.79193,1.41338,0.579055,0,5.41348,1.86,-0.0193102,5.42666,1.51471,-0.00553024,0,5.22184,1.86,0.215993,5.18915,1.49471,0.274327,0,5.60119,1.86,0.0440986,5.64335,1.45274,0.0630887,0,5.97919,1.86,0.259062,6.1072,1.45419,0.329756,0,5.85826,1.86,0.435901,5.96556,1.41314,0.554488,0,5.66688,1.86,0.737434,5.71841,1.46194,0.913054,0,5.47591,1.86,0.549454,5.47857,1.39961,0.695833,0,5.97228,1.86,-0.0389999,6.09876,1.49262,-0.0310685,0,5.76873,1.86,0.0413381,5.85082,1.48479,0.0641972,0,5.00968,1.86,0.165286,4.9298,1.49314,0.208301,0,4.82215,1.86,-0.0329386,4.74414,1.58088,-0.0180233,0,4.7882,1.86,0.124098,4.66633,1.50992,0.161084,0,
