time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,
0,-7.45572,-2.76173,0.308988,-7.12672,-3.14363,0.404263,-6.16,-1.43,0.876252,-5.29102,-1.2569,1.20793,0,-5.18278,-1.86,0.950449,-4.66761,-2.16803,1.09826,0,-5.19168,-1.86,0.598225,-4.58674,-2.13199,0.728751,0,-6.16,-1.39536,0.471787,-5.24867,-1.16318,0.640228,0,-5.49315,-1.86,0.410545,-4.66786,-2.01386,0.531502,0,-5.89162,-1.86,0.434255,-4.82245,-1.81517,0.588808,0,-6.03623,-1.86,0.737569,-4.97095,-1.77416,1.05515,0,-5.61882,-1.86,0.826575,-4.7791,-1.99118,1.06576,0,-5.53512,-1.86,0.697791,-4.74442,-2.02512,0.886532,0,-6.16,-1.77232,0.673223,-5.11269,-1.6057,0.97042,0,-6.16,-1.64826,0.467178,-5.07104,-1.37708,0.655234,0,-5.49727,-1.86,0.0962579,-4.69396,-2.02351,0.140013,0,-6.16,-1.6046,0.778305,-5.19676,-1.42009,1.10331,0,-6.16,-1.41657,0.722532,-5.2833,-1.22987,0.992611,0,-6.16,-1.20787,0.424368,-5.36835,-1.03493,0.56084,0,-6.16,-1.43842,0.333702,-5.22533,-1.20173,0.440528,0,-5.95923,-1.86,0.274833,-4.88889,-1.79519,0.353188,0,-6.16,-1.66592,0.599919,-5.13343,-1.45786,0.851821,0,-5.9765,-1.86,0.0965816,-4.9253,-1.80164,0.0881532,0,-6.16,-1.7391,0.802593,-5.14827,-1.58215,1.15795,0,-6.16,-1.22284,0.198897,-5.36755,-1.0543,0.254794,0,-5.90206,-1.86,0.653352,-4.90008,-1.8513,0.89779,0,-6.16,-1.4627,0.188965,-5.24276,-1.25485,0.22975,0,-6.16,-1.84174,0.418902,-4.97314,-1.61453,0.586948,0,-6.16,-1.49033,0.572351,-5.22524,-1.27782,0.790751,0,-6.16,-1.24549,0.820614,-5.37679,-1.09586,1.09524,0,-6.16,-1.03988,0.141454,-5.46501,-0.935414,0.189407,0,-5.20621,-1.86,0.275071,-4.60325,-2.13207,0.366215,0,-5.62306,-1.86,0.261478,-4.72232,-1.96057,0.34193,0,-6.16,-1.64271,0.215114,-5.1793,-1.46177,0.263174,0,
0.033334,-7.44147,-2.78182,0.309057,-7.1185,-3.15557,0.403621,-6.16,-1.43,0.876252,-5.28374,-1.25336,1.21226,0,-5.18278,-1.86,0.950449,-4.65371,-2.16735,1.09766,0,-5.19168,-1.86,0.598225,-4.57908,-2.13105,0.731458,0,-6.16,-1.39536,0.471787,-5.2462,-1.16234,0.643447,0,-5.49315,-1.86,0.410545,-4.67212,-2.01589,0.53163,0,-5.89162,-1.86,0.434255,-4.83762,-1.82247,0.588231,0,-6.03623,-1.86,0.737569,-5.03279,-1.80509,1.04294,0,-5.61882,-1.86,0.826575,-4.78489,-1.99469,1.06826,0,-5.53512,-1.86,0.697791,-4.75311,-2.02936,0.886633,0,-6.16,-1.77232,0.673223,-5.12678,-1.61551,0.967512,0,-6.16,-1.64826,0.467178,-5.0846,-1.38643,0.656374,0,-5.49727,-1.86,0.0962579,-4.69781,-2.02532,0.140429,0,-6.16,-1.6046,0.778305,-5.19905,-1.42261,1.10263,0,-6.16,-1.41657,0.722532,-5.2815,-1.23004,0.995978,0,-6.16,-1.20787,0.424368,-5.35778,-1.02693,0.5596,0,-6.16,-1.43842,0.333702,-5.22553,-1.20283,0.444438,0,-5.95923,-1.86,0.274833,-4.91636,-1.80872,0.356848,0,-6.16,-1.66592,0.599919,-5.15813,-1.47519,0.848732,0,-5.9765,-1.86,0.0965816,-4.95165,-1.81468,0.0928318,0,-6.16,-1.7391,0.802593,-5.1645,-1.5937,1.15625,0,-6.16,-1.22284,0.198897,-5.36768,-1.05501,0.25785,0,-5.90206,-1.86,0.653352,-4.92843,-1.86486,0.892827,0,-6.16,-1.4627,0.188965,-5.25706,-1.26757,0.232757,0,-6.16,-1.84174,0.418902,-5.00138,-1.63035,0.586736,0,-6.16,-1.49033,0.572351,-5.23019,-1.28283,0.791596,0,-6.16,-1.24549,0.820614,-5.36679,-1.08812,1.09944,0,-6.16,-1.03988,0.141454,-5.45241,-0.925344,0.18936,0,-5.20621,-1.86,0.275071,-4.5932,-2.13112,0.366928,0,-5.62306,-1.86,0.261478,-4.73899,-1.96689,0.344325,0,-6.16,-1.64271,0.215114,-5.20402,-1.48004,0.271027,0,
0.0666681,-7.43658,-2.78908,0.308873,-7.11209,-3.16429,0.403142,-6.16,-1.43,0.876252,-5.30327,-1.26667,1.20334,0,-5.18278,-1.86,0.950449,-4.6722,-2.1701,1.09274,0,-5.19168,-1.86,0.598225,-4.6024,-2.13631,0.723691,0,-6.16,-1.39536,0.471787,-5.28177,-1.18984,0.638188,0,-5.49315,-1.86,0.410545,-4.70925,-2.02752,0.527353,0,-5.89162,-1.86,0.434255,-4.91132,-1.85457,0.580942,0,-6.03623,-1.86,0.737569,-5.09241,-1.83656,1.02252,0,-5.61882,-1.86,0.826575,-4.82575,-2.00797,1.05376,0,-5.53512,-1.86,0.697791,-4.79191,-2.04188,0.87591,0,-6.16,-1.77232,0.673223,-5.17531,-1.64424,0.954293,0,-6.16,-1.64826,0.467178,-5.13224,-1.41836,0.648611,0,-5.49727,-1.86,0.0962579,-4.73586,-2.03721,0.142574,0,-6.16,-1.6046,0.778305,-5.23554,-1.44677,1.08949,0,-6.16,-1.41657,0.722532,-5.30283,-1.24602,0.988425,0,-6.16,-1.20787,0.424368,-5.37379,-1.03961,0.555753,0,-6.16,-1.43842,0.333702,-5.25866,-1.22807,0.440847,0,-5.95923,-1.86,0.274833,-4.99084,-1.84403,0.355113,0,-6.16,-1.66592,0.599919,-5.1934,-1.49986,0.837172,0,-5.9765,-1.86,0.0965816,-5.04012,-1.85732,0.101641,0,-6.16,-1.7391,0.802593,-5.19957,-1.6153,1.13838,0,-6.16,-1.22284,0.198897,-5.39512,-1.07902,0.258532,0,-5.90206,-1.86,0.653352,-5.01314,-1.9032,0.875122,0,-6.16,-1.4627,0.188965,-5.29042,-1.29441,0.234373,0,-6.16,-1.84174,0.418902,-5.06268,-1.66601,0.575481,0,-6.16,-1.49033,0.572351,-5.24643,-1.29542,0.785902,0,-6.16,-1.24549,0.820614,-5.3882,-1.10433,1.09224,0,-6.16,-1.03988,0.141454,-5.46469,-0.934926,0.190301,0,-5.20621,-1.86,0.275071,-4.64461,-2.14281,0.368125,0,-5.62306,-1.86,0.261478,-4.79655,-1.98765,0.342246,0,-6.16,-1.64271,0.215114,-5.24844,-1.51099,0.273271,0,
0.100002,-7.42217,-2.80843,0.308989,-7.10644,-3.17197,0.402721,-6.16,-1.43,0.876252,-5.33208,-1.2944,1.18981,0,-5.18278,-1.86,0.950449,-4.70934,-2.18364,1.08477,0,-5.19168,-1.86,0.598225,-4.63968,-2.15041,0.720264,0,-6.16,-1.39536,0.471787,-5.31231,-1.2218,0.63344,0,-5.49315,-1.86,0.410545,-4.76848,-2.05175,0.525161,0,-5.89162,-1.86,0.434255,-4.99565,-1.89882,0.575042,0,-6.03623,-1.86,0.737569,-5.16119,-1.8764,1.00212,0,-5.61882,-1.86,0.826575,-4.88395,-2.03335,1.03776,0,-5.53512,-1.86,0.697791,-4.82399,-2.05898,0.875699,0,-6.16,-1.77232,0.673223,-5.22295,-1.67842,0.93971,0,-6.16,-1.64826,0.467178,-5.17525,-1.45403,0.642643,0,-5.49727,-1.86,0.0962579,-4.77765,-2.05583,0.147009,0,-6.16,-1.6046,0.778305,-5.26654,-1.47407,1.07889,0,-6.16,-1.41657,0.722532,-5.32525,-1.26952,0.980172,0,-6.16,-1.20787,0.424368,-5.4042,-1.07353,0.55659,0,-6.16,-1.43842,0.333702,-5.29671,-1.26489,0.439313,0,-5.95923,-1.86,0.274833,-5.08547,-1.89556,0.35745,0,-6.16,-1.66592,0.599919,-5.24077,-1.53677,0.826228,0,-5.9765,-1.86,0.0965816,-5.10835,-1.8968,0.110973,0,-6.16,-1.7391,0.802593,-5.24655,-1.64903,1.12101,0,-6.16,-1.22284,0.198897,-5.42194,-1.11057,0.261716,0,-5.90206,-1.86,0.653352,-5.10932,-1.95378,0.854596,0,-6.16,-1.4627,0.188965,-5.32937,-1.33128,0.238006,0,-6.16,-1.84174,0.418902,-5.13783,-1.71533,0.564979,0,-6.16,-1.49033,0.572351,-5.27741,-1.32383,0.778685,0,-6.16,-1.24549,0.820614,-5.42486,-1.14314,1.07933,0,-6.16,-1.03988,0.141454,-5.48566,-0.961898,0.192806,0,-5.20621,-1.86,0.275071,-4.68805,-2.16049,0.370304,0,-5.62306,-1.86,0.261478,-4.86487,-2.01821,0.34504,0,-6.16,-1.64271,0.215114,-5.30819,-1.55821,0.277792,0,
0.133336,-7.42217,-2.80843,0.308989,-7.09154,-3.19206,0.401614,-6.16,-1.43,0.876252,-5.35995,-1.30776,1.17956,0,-5.18278,-1.86,0.950449,-4.73048,-2.18088,1.07624,0,-5.19168,-1.86,0.598225,-4.66905,-2.14932,0.714213,0,-6.16,-1.39536,0.471787,-5.35273,-1.24555,0.629025,0,-5.49315,-1.86,0.410545,-4.8086,-2.05778,0.521231,0,-5.89162,-1.86,0.434255,-5.06461,-1.92507,0.569987,0,-6.03623,-1.86,0.737569,-5.21949,-1.90128,0.984437,0,-5.61882,-1.86,0.826575,-4.92619,-2.04212,1.02339,0,-5.53512,-1.86,0.697791,-4.85586,-2.06111,0.86462,0,-6.16,-1.77232,0.673223,-5.27397,-1.70338,0.926422,0,-6.16,-1.64826,0.467178,-5.23727,-1.48876,0.63475,0,-5.49727,-1.86,0.0962579,-4.82181,-2.06261,0.148289,0,-6.16,-1.6046,0.778305,-5.31194,-1.49808,1.0624,0,-6.16,-1.41657,0.722532,-5.36033,-1.28792,0.972056,0,-6.16,-1.20787,0.424368,-5.42833,-1.08605,0.557866,0,-6.16,-1.43842,0.333702,-5.3372,-1.28861,0.438209,0,-5.95923,-1.86,0.274833,-5.15044,-1.92284,0.359949,0,-6.16,-1.66592,0.599919,-5.29019,-1.56328,0.816907,0,-5.9765,-1.86,0.0965816,-5.17657,-1.92522,0.118227,0,-6.16,-1.7391,0.802593,-5.28804,-1.66886,1.10556,0,-6.16,-1.22284,0.198897,-5.44892,-1.12532,0.260822,0,-5.90206,-1.86,0.653352,-5.19439,-1.99027,0.832548,0,-6.16,-1.4627,0.188965,-5.36661,-1.35277,0.239048,0,-6.16,-1.84174,0.418902,-5.20498,-1.74903,0.557218,0,-6.16,-1.49033,0.572351,-5.33578,-1.36007,0.76975,0,-6.16,-1.24549,0.820614,-5.45194,-1.15862,1.07014,0,-6.16,-1.03988,0.141454,-5.51411,-0.97861,0.194286,0,-5.20621,-1.86,0.275071,-4.71352,-2.15936,0.367464,0,-5.62306,-1.86,0.261478,-4.91512,-2.03037,0.34497,0,-6.16,-1.64271,0.215114,-5.36553,-1.59286,0.28006,0,
0.16667,-7.41703,-2.81572,0.308852,-7.08554,-3.19992,0.401176,-6.16,-1.43,0.876252,-5.39415,-1.33886,1.16419,0,-5.18278,-1.86,0.950449,-4.77151,-2.19443,1.06264,0,-5.19168,-1.86,0.598225,-4.70971,-2.16369,0.707641,0,-6.16,-1.39536,0.471787,-5.38879,-1.2808,0.623802,0,-5.49315,-1.86,0.410545,-4.85916,-2.07856,0.518644,0,-5.89162,-1.86,0.434255,-5.14863,-1.96969,0.559571,0,-6.03623,-1.86,0.737569,-5.27902,-1.93617,0.966347,0,-5.61882,-1.86,0.826575,-4.97914,-2.0651,1.00807,0,-5.53512,-1.86,0.697791,-4.90777,-2.08205,0.854609,0,-6.16,-1.77232,0.673223,-5.33133,-1.74334,0.911048,0,-6.16,-1.64826,0.467178,-5.30628,-1.5433,0.627714,0,-5.49727,-1.86,0.0962579,-4.88583,-2.0883,0.155222,0,-6.16,-1.6046,0.778305,-5.37568,-1.54887,1.04009,0,-6.16,-1.41657,0.722532,-5.39392,-1.31972,0.960802,0,-6.16,-1.20787,0.424368,-5.45417,-1.11406,0.555439,0,-6.16,-1.43842,0.333702,-5.38008,-1.3287,0.438854,0,-5.95923,-1.86,0.274833,-5.22531,-1.96464,0.358444,0,-6.16,-1.66592,0.599919,-5.33301,-1.59722,0.805359,0,-5.9765,-1.86,0.0965816,-5.2527,-1.96813,0.12842,0,-6.16,-1.7391,0.802593,-5.33675,-1.70345,1.08757,0,-6.16,-1.22284,0.198897,-5.47377,-1.15257,0.262905,0,-5.90206,-1.86,0.653352,-5.27653,-2.03501,0.812686,0,-6.16,-1.4627,0.188965,-5.40794,-1.39052,0.241998,0,-6.16,-1.84174,0.418902,-5.26958,-1.79178,0.55154,0,-6.16,-1.49033,0.572351,-5.38328,-1.40358,0.758835,0,-6.16,-1.24549,0.820614,-5.47464,-1.18336,1.0627,0,-6.16,-1.03988,0.141454,-5.55452,-1.02622,0.203728,0,-5.20621,-1.86,0.275071,-4.7519,-2.17297,0.368144,0,-5.62306,-1.86,0.261478,-4.9687,-2.05455,0.346464,0,-6.16,-1.64271,0.215114,-5.41824,-1.63551,0.284653,0,
0.200004,-7.40219,-2.8353,0.309014,-7.07025,-3.22018,0.400053,-6.16,-1.43,0.876252,-5.41001,-1.34716,1.1578,0,-5.18278,-1.86,0.950449,-4.77789,-2.19157,1.06171,0,-5.19168,-1.86,0.598225,-4.71745,-2.16058,0.706738,0,-6.16,-1.39536,0.471787,-5.40893,-1.29259,0.620718,0,-5.49315,-1.86,0.410545,-4.87294,-2.07907,0.517678,0,-5.89162,-1.86,0.434255,-5.17745,-1.98176,0.558123,0,-6.03623,-1.86,0.737569,-5.31542,-1.95362,0.954144,0,-5.61882,-1.86,0.826575,-5.00232,-2.0702,1.00128,0,-5.53512,-1.86,0.697791,-4.92613,-2.08463,0.852083,0,-6.16,-1.77232,0.673223,-5.35253,-1.75492,0.902606,0,-6.16,-1.64826,0.467178,-5.31925,-1.55053,0.624264,0,-5.49727,-1.86,0.0962579,-4.90084,-2.09019,0.155263,0,-6.16,-1.6046,0.778305,-5.38315,-1.55306,1.03645,0,-6.16,-1.41657,0.722532,-5.413,-1.33162,0.950926,0,-6.16,-1.20787,0.424368,-5.46881,-1.12099,0.554097,0,-6.16,-1.43842,0.333702,-5.39456,-1.33652,0.43556,0,-5.95923,-1.86,0.274833,-5.2639,-1.98314,0.355558,0,-6.16,-1.66592,0.599919,-5.35527,-1.60915,0.801223,0,-5.9765,-1.86,0.0965816,-5.28478,-1.98326,0.13226,0,-6.16,-1.7391,0.802593,-5.35862,-1.71505,1.07847,0,-6.16,-1.22284,0.198897,-5.48889,-1.16043,0.261218,0,-5.90206,-1.86,0.653352,-5.31988,-2.05551,0.803037,0,-6.16,-1.4627,0.188965,-5.42238,-1.39837,0.241616,0,-6.16,-1.84174,0.418902,-5.30547,-1.81102,0.547594,0,-6.16,-1.49033,0.572351,-5.40295,-1.41557,0.754562,0,-6.16,-1.24549,0.820614,-5.4883,-1.18948,1.05924,0,-6.16,-1.03988,0.141454,-5.56628,-1.0328,0.201918,0,-5.20621,-1.86,0.275071,-4.75661,-2.1694,0.367478,0,-5.62306,-1.86,0.261478,-4.99653,-2.06158,0.344867,0,-6.16,-1.64271,0.215114,-5.4412,-1.64979,0.28458,0,
0.233338,-7.39704,-2.84256,0.308878,-7.0613,-3.23172,0.399407,-6.16,-1.43,0.876252,-5.41504,-1.35247,1.15314,0,-5.18278,-1.86,0.950449,-4.77676,-2.19191,1.05921,0,-5.19168,-1.86,0.598225,-4.72279,-2.16236,0.704571,0,-6.16,-1.39536,0.471787,-5.41367,-1.2983,0.617484,0,-5.49315,-1.86,0.410545,-4.8852,-2.08393,0.514127,0,-5.89162,-1.86,0.434255,-5.20403,-1.99587,0.552658,0,-6.03623,-1.86,0.737569,-5.3337,-1.96527,0.94594,0,-5.61882,-1.86,0.826575,-5.01561,-2.07644,0.993821,0,-5.53512,-1.86,0.697791,-4.94017,-2.09035,0.845453,0,-6.16,-1.77232,0.673223,-5.3655,-1.76431,0.896897,0,-6.16,-1.64826,0.467178,-5.33725,-1.56374,0.619472,0,-5.49727,-1.86,0.0962579,-4.91005,-2.09407,0.155413,0,-6.16,-1.6046,0.778305,-5.39099,-1.55907,1.03103,0,-6.16,-1.41657,0.722532,-5.41427,-1.33409,0.950302,0,-6.16,-1.20787,0.424368,-5.46926,-1.12309,0.550485,0,-6.16,-1.43842,0.333702,-5.40357,-1.34494,0.43245,0,-5.95923,-1.86,0.274833,-5.28461,-1.99523,0.356566,0,-6.16,-1.66592,0.599919,-5.36847,-1.61977,0.79498,0,-5.9765,-1.86,0.0965816,-5.30868,-1.99712,0.133429,0,-6.16,-1.7391,0.802593,-5.37327,-1.72596,1.06944,0,-6.16,-1.22284,0.198897,-5.48842,-1.16141,0.259836,0,-5.90206,-1.86,0.653352,-5.341,-2.06791,0.796926,0,-6.16,-1.4627,0.188965,-5.42701,-1.40305,0.240509,0,-6.16,-1.84174,0.418902,-5.32771,-1.82601,0.546693,0,-6.16,-1.49033,0.572351,-5.41917,-1.42937,0.750293,0,-6.16,-1.24549,0.820614,-5.49106,-1.19291,1.05635,0,-6.16,-1.03988,0.141454,-5.56217,-1.03074,0.198526,0,-5.20621,-1.86,0.275071,-4.75616,-2.17047,0.363524,0,-5.62306,-1.86,0.261478,-5.01862,-2.0712,0.344681,0,-6.16,-1.64271,0.215114,-5.44416,-1.65398,0.281859,0,
0.266672,-7.38127,-2.86229,0.309082,-7.06441,-3.22768,0.399633,-6.16,-1.43,0.876252,-5.42173,-1.3662,1.14543,0,-5.18278,-1.86,0.950449,-4.79541,-2.20453,1.05632,0,-5.19168,-1.86,0.598225,-4.73512,-2.17464,0.70283,0,-6.16,-1.39536,0.471787,-5.41677,-1.30997,0.615164,0,-5.49315,-1.86,0.410545,-4.90984,-2.10006,0.512367,0,-5.89162,-1.86,0.434255,-5.23406,-2.01592,0.551389,0,-6.03623,-1.86,0.737569,-5.36628,-1.98676,0.936497,0,-5.61882,-1.86,0.826575,-5.04122,-2.0924,0.987925,0,-5.53512,-1.86,0.697791,-4.97032,-2.10818,0.83753,0,-6.16,-1.77232,0.673223,-5.38703,-1.78298,0.889403,0,-6.16,-1.64826,0.467178,-5.35234,-1.58201,0.616408,0,-5.49727,-1.86,0.0962579,-4.9326,-2.1091,0.157614,0,-6.16,-1.6046,0.778305,-5.40378,-1.57457,1.02449,0,-6.16,-1.41657,0.722532,-5.42309,-1.34961,0.942458,0,-6.16,-1.20787,0.424368,-5.47322,-1.13825,0.544427,0,-6.16,-1.43842,0.333702,-5.41066,-1.35955,0.431762,0,-5.95923,-1.86,0.274833,-5.31341,-2.01451,0.357354,0,-6.16,-1.66592,0.599919,-5.38565,-1.63812,0.789743,0,-5.9765,-1.86,0.0965816,-5.33411,-2.01476,0.137138,0,-6.16,-1.7391,0.802593,-5.39225,-1.7436,1.0613,0,-6.16,-1.22284,0.198897,-5.48677,-1.16966,0.259401,0,-5.90206,-1.86,0.653352,-5.3813,-2.0915,0.787659,0,-6.16,-1.4627,0.188965,-5.43412,-1.4164,0.240934,0,-6.16,-1.84174,0.418902,-5.35214,-1.84622,0.543244,0,-6.16,-1.49033,0.572351,-5.41762,-1.43737,0.746751,0,-6.16,-1.24549,0.820614,-5.4964,-1.20737,1.04915,0,-6.16,-1.03988,0.141454,-5.54853,-1.02876,0.196964,0,-5.20621,-1.86,0.275071,-4.77767,-2.18418,0.366591,0,-5.62306,-1.86,0.261478,-5.05132,-2.09089,0.344635,0,-6.16,-1.64271,0.215114,-5.45669,-1.66759,0.282925,0,
0.300006,-7.38127,-2.86229,0.309082,-7.04812,-3.24828,0.398472,-6.16,-1.43,0.876252,-5.43937,-1.37621,1.14164,0,-5.18278,-1.86,0.950449,-4.80632,-2.20292,1.0517,0,-5.19168,-1.86,0.598225,-4.75656,-2.17515,0.701118,0,-6.16,-1.39536,0.471787,-5.43634,-1.32137,0.613874,0,-5.49315,-1.86,0.410545,-4.93263,-2.10443,0.51177,0,-5.89162,-1.86,0.434255,-5.27057,-2.03249,0.54872,0,-6.03623,-1.86,0.737569,-5.39498,-2.002,0.928025,0,-5.61882,-1.86,0.826575,-5.06787,-2.0999,0.980296,0,-5.53512,-1.86,0.697791,-4.98952,-2.1127,0.837464,0,-6.16,-1.77232,0.673223,-5.40818,-1.79505,0.884856,0,-6.16,-1.64826,0.467178,-5.384,-1.60176,0.61382,0,-5.49727,-1.86,0.0962579,-4.96612,-2.11736,0.16064,0,-6.16,-1.6046,0.778305,-5.42576,-1.58773,1.01836,0,-6.16,-1.41657,0.722532,-5.44161,-1.36071,0.941201,0,-6.16,-1.20787,0.424368,-5.4858,-1.1445,0.54913,0,-6.16,-1.43842,0.333702,-5.4351,-1.37542,0.429916,0,-5.95923,-1.86,0.274833,-5.35011,-2.03275,0.35715,0,-6.16,-1.66592,0.599919,-5.4104,-1.65316,0.785431,0,-5.9765,-1.86,0.0965816,-5.37255,-2.0341,0.142766,0,-6.16,-1.7391,0.802593,-5.41285,-1.75532,1.0543,0,-6.16,-1.22284,0.198897,-5.50974,-1.1848,0.261051,0,-5.90206,-1.86,0.653352,-5.41325,-2.10801,0.78092,0,-6.16,-1.4627,0.188965,-5.45447,-1.42896,0.24299,0,-6.16,-1.84174,0.418902,-5.38668,-1.86598,0.54019,0,-6.16,-1.49033,0.572351,-5.44473,-1.45412,0.74344,0,-6.16,-1.24549,0.820614,-5.51103,-1.21577,1.04705,0,-6.16,-1.03988,0.141454,-5.56989,-1.0415,0.200591,0,-5.20621,-1.86,0.275071,-4.78692,-2.1824,0.365908,0,-5.62306,-1.86,0.261478,-5.0828,-2.1011,0.345721,0,-6.16,-1.64271,0.215114,-5.48565,-1.68672,0.2869,0,
