time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,
0,3.93978,-3.29443,0.22293,4.61755,-3.01293,0.11665,4.43425,-1.86,0.511698,5.54139,-0.332958,0.656163,0,3.7851,-1.86,0.622326,4.33101,-0.355679,0.856524,0,4.43601,-1.86,0.334303,5.54272,-0.338598,0.324294,0,4.4336,-1.86,0.149022,5.5619,-0.269807,-0.0246859,0,3.56831,-1.86,0.581317,3.92928,-0.355157,0.780687,0,4.46337,-1.86,0.615986,5.58782,-0.354766,0.845031,0,3.77957,-1.86,0.17002,4.30445,-0.209552,0.0132455,0,3.76511,-1.86,0.445594,4.28486,-0.280786,0.540757,0,4.27954,-1.86,0.695128,5.25592,-0.317824,1.00385,0,4.53093,-1.86,0.205806,5.77872,-0.195398,0.083016,0,3.68746,-1.86,0.279723,4.12227,-0.197281,0.22813,0,4.29109,-1.86,0.219926,5.30738,-0.196301,0.110753,0,3.8344,-1.86,0.370486,4.41637,-0.274314,0.398365,0,3.60992,-1.86,0.683912,4.00971,-0.369686,0.966109,0,4.55929,-1.86,0.698537,5.76794,-0.349327,0.99981,0,4.52174,-1.86,0.394092,5.71936,-0.297177,0.440707,0,4.28803,-1.86,0.349618,5.29138,-0.237481,0.361778,0,3.58597,-1.86,0.19726,3.94448,-0.284104,0.0678171,0,4.25732,-1.86,0.562917,5.22733,-0.258378,0.769533,0,3.58629,-1.86,0.424203,3.93843,-0.257114,0.503336,0,4.57766,-1.86,0.510714,5.81568,-0.318666,0.657191,0,3.89502,-1.86,0.595433,4.53135,-0.25054,0.834008,0,3.66956,-1.86,0.526922,4.09349,-0.230973,0.706219,0,4.22686,-1.86,0.439385,5.17264,-0.239361,0.535183,0,3.83365,-1.86,0.719366,4.41871,-0.325469,1.04674,0,4.39045,-1.86,0.703813,5.45886,-0.335191,1.01435,0,3.69314,-1.86,0.108861,4.13663,-0.215864,-0.105778,0,4.37151,-1.86,0.433039,5.44217,-0.27316,0.517961,0,4.24785,-1.86,0.122187,5.2306,-0.158495,-0.0838223,0,4.57937,-1.86,0.312863,5.82974,-0.294325,0.287097,0,4.36903,-1.86,0.59769,5.45745,-0.206275,0.84992,0,4.34583,-1.86,0.0965306,5.40831,-0.219454,-0.129505,0,
0.0333341,3.96664,-3.29479,0.222767,4.62994,-3.01282,0.11635,4.43425,-1.86,0.511698,5.50369,-0.4148,0.639971,0,3.7851,-1.86,0.622326,4.33286,-0.482869,0.824025,0,4.43601,-1.86,0.334303,5.4987,-0.432656,0.321232,0,4.4336,-1.86,0.149022,5.50034,-0.403661,-0.0206533,0,3.56831,-1.86,0.581317,3.94914,-0.474914,0.752919,0,4.46337,-1.86,0.615986,5.54362,-0.446046,0.815754,0,3.77957,-1.86,0.17002,4.30725,-0.345917,0.0176106,0,3.76511,-1.86,0.445594,4.28871,-0.419672,0.521426,0,4.27954,-1.86,0.695128,5.22595,-0.403844,0.975842,0,4.53093,-1.86,0.205806,5.72072,-0.298834,0.084614,0,3.68746,-1.86,0.279723,4.13525,-0.357893,0.222599,0,4.29109,-1.86,0.219926,5.25614,-0.342488,0.112865,0,3.8344,-1.86,0.370486,4.41488,-0.418489,0.384783,0,3.60992,-1.86,0.683912,4.0202,-0.461432,0.937927,0,4.55929,-1.86,0.698537,5.72352,-0.42388,0.976449,0,4.52174,-1.86,0.394092,5.6816,-0.366487,0.432704,0,4.28803,-1.86,0.349618,5.24862,-0.358511,0.351733,0,3.58597,-1.86,0.19726,3.95876,-0.38651,0.0740472,0,4.25732,-1.86,0.562917,5.18116,-0.39995,0.742531,0,3.58629,-1.86,0.424203,3.95069,-0.352921,0.491835,0,4.57766,-1.86,0.510714,5.77286,-0.390099,0.639496,0,3.89502,-1.86,0.595433,4.5196,-0.446412,0.78627,0,3.66956,-1.86,0.526922,4.10328,-0.354468,0.682347,0,4.22686,-1.86,0.439385,5.12,-0.417125,0.511428,0,3.83365,-1.86,0.719366,4.41617,-0.415837,1.01786,0,4.39045,-1.86,0.703813,5.41921,-0.422416,0.986451,0,3.69314,-1.86,0.108861,4.15184,-0.403408,-0.0928592,0,4.37151,-1.86,0.433039,5.38766,-0.404979,0.49906,0,4.24785,-1.86,0.122187,5.18846,-0.287295,-0.0754254,0,4.57937,-1.86,0.312863,5.78097,-0.376192,0.283228,0,4.36903,-1.86,0.59769,5.43226,-0.264593,0.833472,0,4.34583,-1.86,0.0965306,5.36499,-0.325184,-0.119897,0,
0.0666681,3.99209,-3.29511,0.222624,4.64537,-3.01266,0.115976,4.43425,-1.86,0.511698,5.47751,-0.474447,0.623507,0,3.7851,-1.86,0.622326,4.33706,-0.592256,0.790586,0,4.43601,-1.86,0.334303,5.45723,-0.527884,0.306019,0,4.4336,-1.86,0.149022,5.45866,-0.503489,-0.0187987,0,3.56831,-1.86,0.581317,3.95939,-0.521617,0.739008,0,4.46337,-1.86,0.615986,5.51559,-0.507886,0.794505,0,3.77957,-1.86,0.17002,4.31226,-0.458019,0.0201255,0,3.76511,-1.86,0.445594,4.29453,-0.52097,0.504892,0,4.27954,-1.86,0.695128,5.20549,-0.466458,0.950725,0,4.53093,-1.86,0.205806,5.67499,-0.388515,0.0850101,0,3.68746,-1.86,0.279723,4.14787,-0.467665,0.219037,0,4.29109,-1.86,0.219926,5.22643,-0.438513,0.108978,0,3.8344,-1.86,0.370486,4.4168,-0.508538,0.369617,0,3.60992,-1.86,0.683912,4.02925,-0.520619,0.919012,0,4.55929,-1.86,0.698537,5.69637,-0.473481,0.955505,0,4.52174,-1.86,0.394092,5.64317,-0.440648,0.418979,0,4.28803,-1.86,0.349618,5.2173,-0.457152,0.338068,0,3.58597,-1.86,0.19726,3.97681,-0.497277,0.0742609,0,4.25732,-1.86,0.562917,5.15641,-0.484848,0.718687,0,3.58629,-1.86,0.424203,3.9663,-0.449562,0.475433,0,4.57766,-1.86,0.510714,5.75781,-0.420118,0.629353,0,3.89502,-1.86,0.595433,4.51808,-0.543846,0.758282,0,3.66956,-1.86,0.526922,4.1135,-0.441332,0.66216,0,4.22686,-1.86,0.439385,5.08674,-0.545286,0.485768,0,3.83365,-1.86,0.719366,4.41488,-0.52339,0.977157,0,4.39045,-1.86,0.703813,5.4003,-0.470051,0.96592,0,3.69314,-1.86,0.108861,4.16407,-0.503371,-0.0864358,0,4.37151,-1.86,0.433039,5.35036,-0.505367,0.477283,0,4.24785,-1.86,0.122187,5.15669,-0.399461,-0.0729308,0,4.57937,-1.86,0.312863,5.74225,-0.446626,0.272516,0,4.36903,-1.86,0.59769,5.40541,-0.32887,0.811523,0,4.34583,-1.86,0.0965306,5.34039,-0.395732,-0.119171,0,
0.100002,3.99209,-3.29511,0.222624,4.65637,-3.01248,0.115711,4.43425,-1.86,0.511698,5.43275,-0.564503,0.609391,0,3.7851,-1.86,0.622326,4.33696,-0.693114,0.762497,0,4.43601,-1.86,0.334303,5.41233,-0.62245,0.303422,0,4.4336,-1.86,0.149022,5.41679,-0.591606,-0.0102616,0,3.56831,-1.86,0.581317,3.96729,-0.600835,0.718134,0,4.46337,-1.86,0.615986,5.4764,-0.581702,0.778324,0,3.77957,-1.86,0.17002,4.31288,-0.566167,0.0244949,0,3.76511,-1.86,0.445594,4.29476,-0.600442,0.495059,0,4.27954,-1.86,0.695128,5.16206,-0.583396,0.911568,0,4.53093,-1.86,0.205806,5.63929,-0.451181,0.0886805,0,3.68746,-1.86,0.279723,4.1541,-0.564357,0.215828,0,4.29109,-1.86,0.219926,5.18733,-0.546574,0.11336,0,3.8344,-1.86,0.370486,4.41271,-0.634229,0.361121,0,3.60992,-1.86,0.683912,4.03779,-0.617058,0.886669,0,4.55929,-1.86,0.698537,5.64816,-0.552663,0.933209,0,4.52174,-1.86,0.394092,5.6034,-0.510174,0.414183,0,4.28803,-1.86,0.349618,5.17789,-0.568075,0.333798,0,3.58597,-1.86,0.19726,3.99053,-0.599447,0.074238,0,4.25732,-1.86,0.562917,5.1218,-0.585691,0.697629,0,3.58629,-1.86,0.424203,3.98651,-0.59331,0.454673,0,4.57766,-1.86,0.510714,5.71271,-0.488465,0.619807,0,3.89502,-1.86,0.595433,4.51001,-0.644156,0.732553,0,3.66956,-1.86,0.526922,4.1205,-0.545934,0.639465,0,4.22686,-1.86,0.439385,5.05246,-0.65966,0.469813,0,3.83365,-1.86,0.719366,4.41084,-0.632793,0.938857,0,4.39045,-1.86,0.703813,5.36004,-0.553679,0.940092,0,3.69314,-1.86,0.108861,4.1713,-0.616269,-0.0772935,0,4.37151,-1.86,0.433039,5.30565,-0.611251,0.464111,0,4.24785,-1.86,0.122187,5.12095,-0.508037,-0.0638223,0,4.57937,-1.86,0.312863,5.69059,-0.531419,0.271275,0,4.36903,-1.86,0.59769,5.37541,-0.392198,0.791091,0,4.34583,-1.86,0.0965306,5.30243,-0.484245,-0.10469,0,
0.133336,4.00123,-3.29539,0.222344,4.66649,-3.01232,0.115468,4.43425,-1.86,0.511698,5.40105,-0.630616,0.592034,0,3.7851,-1.86,0.622326,4.33826,-0.790925,0.73113,0,4.43601,-1.86,0.334303,5.37105,-0.712399,0.29234,0,4.4336,-1.86,0.149022,5.38434,-0.661231,-0.0105924,0,3.56831,-1.86,0.581317,3.97401,-0.658032,0.703833,0,4.46337,-1.86,0.615986,5.43503,-0.663636,0.752925,0,3.77957,-1.86,0.17002,4.3138,-0.648201,0.0252525,0,3.76511,-1.86,0.445594,4.29631,-0.699042,0.475934,0,4.27954,-1.86,0.695128,5.13453,-0.665996,0.875961,0,4.53093,-1.86,0.205806,5.58133,-0.558392,0.0837769,0,3.68746,-1.86,0.279723,4.16079,-0.655325,0.208503,0,4.29109,-1.86,0.219926,5.16349,-0.613469,0.111374,0,3.8344,-1.86,0.370486,4.41128,-0.719483,0.348111,0,3.60992,-1.86,0.683912,4.04374,-0.675122,0.867374,0,4.55929,-1.86,0.698537,5.62302,-0.594701,0.918997,0,4.52174,-1.86,0.394092,5.55948,-0.590302,0.399733,0,4.28803,-1.86,0.349618,5.14848,-0.652594,0.323142,0,3.58597,-1.86,0.19726,4.00293,-0.687269,0.0741325,0,4.25732,-1.86,0.562917,5.10397,-0.637003,0.681548,0,3.58629,-1.86,0.424203,3.99631,-0.658321,0.447434,0,4.57766,-1.86,0.510714,5.68753,-0.5284,0.607974,0,3.89502,-1.86,0.595433,4.50347,-0.756033,0.699145,0,3.66956,-1.86,0.526922,4.12533,-0.610193,0.623429,0,4.22686,-1.86,0.439385,5.02634,-0.748456,0.45791,0,3.83365,-1.86,0.719366,4.40852,-0.697194,0.914281,0,4.39045,-1.86,0.703813,5.33129,-0.617335,0.919563,0,3.69314,-1.86,0.108861,4.17747,-0.700303,-0.0691582,0,4.37151,-1.86,0.433039,5.27471,-0.686763,0.449227,0,4.24785,-1.86,0.122187,5.08836,-0.613394,-0.0593998,0,4.57937,-1.86,0.312863,5.64706,-0.606098,0.262583,0,4.36903,-1.86,0.59769,5.34399,-0.462508,0.767739,0,4.34583,-1.86,0.0965306,5.26935,-0.567239,-0.103256,0,
0.16667,4.00123,-3.29539,0.222344,4.68184,-3.01208,0.115098,4.43425,-1.86,0.511698,5.36433,-0.719297,0.577079,0,3.7851,-1.86,0.622326,4.34627,-0.906105,0.69638,0,4.43601,-1.86,0.334303,5.34464,-0.779642,0.288925,0,4.4336,-1.86,0.149022,5.36004,-0.721141,-0.00560284,0,3.56831,-1.86,0.581317,3.98885,-0.737605,0.685507,0,4.46337,-1.86,0.615986,5.40244,-0.740206,0.734013,0,3.77957,-1.86,0.17002,4.3191,-0.729756,0.0277047,0,3.76511,-1.86,0.445594,4.30378,-0.791956,0.461651,0,4.27954,-1.86,0.695128,5.1072,-0.757634,0.848174,0,4.53093,-1.86,0.205806,5.54316,-0.639891,0.0867141,0,3.68746,-1.86,0.279723,4.17754,-0.78374,0.202171,0,4.29109,-1.86,0.219926,5.13946,-0.692474,0.113358,0,3.8344,-1.86,0.370486,4.41392,-0.808838,0.34083,0,3.60992,-1.86,0.683912,4.05936,-0.772419,0.835721,0,4.55929,-1.86,0.698537,5.58947,-0.657262,0.899322,0,4.52174,-1.86,0.394092,5.53139,-0.650316,0.394939,0,4.28803,-1.86,0.349618,5.12,-0.749662,0.315721,0,3.58597,-1.86,0.19726,4.01851,-0.765577,0.0766969,0,4.25732,-1.86,0.562917,5.07217,-0.748739,0.658988,0,3.58629,-1.86,0.424203,4.01544,-0.760976,0.430712,0,4.57766,-1.86,0.510714,5.6497,-0.596617,0.596466,0,3.89502,-1.86,0.595433,4.50312,-0.857881,0.673511,0,3.66956,-1.86,0.526922,4.13284,-0.668272,0.612156,0,4.22686,-1.86,0.439385,5.01217,-0.811668,0.452354,0,3.83365,-1.86,0.719366,4.40982,-0.79012,0.882482,0,4.39045,-1.86,0.703813,5.29051,-0.724871,0.88792,0,3.69314,-1.86,0.108861,4.18934,-0.794545,-0.0630458,0,4.37151,-1.86,0.433039,5.2412,-0.780899,0.439501,0,4.24785,-1.86,0.122187,5.06467,-0.705256,-0.0508812,0,4.57937,-1.86,0.312863,5.6142,-0.669581,0.25972,0,4.36903,-1.86,0.59769,5.31318,-0.543954,0.74806,0,4.34583,-1.86,0.0965306,5.24897,-0.62771,-0.096871,0,
0.200004,4.04715,-3.29573,0.2224,4.66649,-3.01232,0.115468,4.43425,-1.86,0.511698,5.30051,-0.805946,0.559887,0,3.7851,-1.86,0.622326,4.32415,-0.994685,0.670714,0,4.43601,-1.86,0.334303,5.27385,-0.883167,0.278548,0,4.4336,-1.86,0.149022,5.30418,-0.786222,-0.00212753,0,3.56831,-1.86,0.581317,3.97539,-0.816452,0.664376,0,4.46337,-1.86,0.615986,5.34089,-0.815528,0.711734,0,3.77957,-1.86,0.17002,4.29516,-0.810591,0.0308755,0,3.76511,-1.86,0.445594,4.28276,-0.891779,0.444745,0,4.27954,-1.86,0.695128,5.05814,-0.827592,0.824903,0,4.53093,-1.86,0.205806,5.48692,-0.697842,0.0867443,0,3.68746,-1.86,0.279723,4.1622,-0.877503,0.197381,0,4.29109,-1.86,0.219926,5.08542,-0.776655,0.112717,0,3.8344,-1.86,0.370486,4.38781,-0.900901,0.331346,0,3.60992,-1.86,0.683912,4.04539,-0.857135,0.809506,0,4.55929,-1.86,0.698537,5.51943,-0.736178,0.872488,0,4.52174,-1.86,0.394092,5.45267,-0.753615,0.38253,0,4.28803,-1.86,0.349618,5.05637,-0.872821,0.300692,0,3.58597,-1.86,0.19726,4.01316,-0.886171,0.077346,0,4.25732,-1.86,0.562917,5.01912,-0.840449,0.636423,0,3.58629,-1.86,0.424203,4.00458,-0.85097,0.417482,0,4.57766,-1.86,0.510714,5.57786,-0.67744,0.579534,0,3.89502,-1.86,0.595433,4.47387,-0.943741,0.649992,0,3.66956,-1.86,0.526922,4.11497,-0.760364,0.59203,0,4.22686,-1.86,0.439385,4.96178,-0.895349,0.439774,0,3.83365,-1.86,0.719366,4.38309,-0.871423,0.853093,0,4.39045,-1.86,0.703813,5.2337,-0.800608,0.861023,0,3.69314,-1.86,0.108861,4.17053,-0.872939,-0.0574324,0,4.37151,-1.86,0.433039,5.18054,-0.872222,0.426462,0,4.24785,-1.86,0.122187,5.0124,-0.795216,-0.0451436,0,4.57937,-1.86,0.312863,5.54999,-0.736731,0.254891,0,4.36903,-1.86,0.59769,5.25196,-0.631767,0.725799,0,4.34583,-1.86,0.0965306,5.19308,-0.704229,-0.0911151,0,
0.233338,4.04715,-3.29573,0.2224,4.7129,-3.01162,0.11435,4.43425,-1.86,0.511698,5.31409,-0.853572,0.550326,0,3.7851,-1.86,0.622326,4.35982,-1.0348,0.661467,0,4.43601,-1.86,0.334303,5.28191,-0.946461,0.273779,0,4.4336,-1.86,0.149022,5.31559,-0.83697,0.000956237,0,3.56831,-1.86,0.581317,4.02096,-0.880232,0.652599,0,4.46337,-1.86,0.615986,5.35255,-0.866543,0.7025,0,3.77957,-1.86,0.17002,4.33184,-0.873749,0.0334584,0,3.76511,-1.86,0.445594,4.3201,-0.944963,0.436803,0,4.27954,-1.86,0.695128,5.07388,-0.884407,0.80803,0,4.53093,-1.86,0.205806,5.49011,-0.756409,0.0877051,0,3.68746,-1.86,0.279723,4.20336,-0.938141,0.197868,0,4.29109,-1.86,0.219926,5.09569,-0.852258,0.112996,0,3.8344,-1.86,0.370486,4.42233,-0.950177,0.32532,0,3.60992,-1.86,0.683912,4.09293,-0.941011,0.781589,0,4.55929,-1.86,0.698537,5.5319,-0.776786,0.860159,0,4.52174,-1.86,0.394092,5.45403,-0.821431,0.373856,0,4.28803,-1.86,0.349618,5.06894,-0.946908,0.291977,0,3.58597,-1.86,0.19726,4.0654,-0.976949,0.0798623,0,4.25732,-1.86,0.562917,5.03477,-0.904242,0.621162,0,3.58629,-1.86,0.424203,4.05047,-0.915984,0.411834,0,4.57766,-1.86,0.510714,5.57781,-0.739468,0.56631,0,3.89502,-1.86,0.595433,4.50615,-1.01484,0.633814,0,3.66956,-1.86,0.526922,4.15648,-0.824271,0.578612,0,4.22686,-1.86,0.439385,4.98074,-0.952028,0.431871,0,3.83365,-1.86,0.719366,4.41736,-0.933176,0.834508,0,4.39045,-1.86,0.703813,5.2478,-0.849782,0.845099,0,3.69314,-1.86,0.108861,4.21314,-0.948998,-0.0478874,0,4.37151,-1.86,0.433039,5.18941,-0.94115,0.41727,0,4.24785,-1.86,0.122187,5.03141,-0.848105,-0.0392836,0,4.57937,-1.86,0.312863,5.55637,-0.786082,0.252022,0,4.36903,-1.86,0.59769,5.25494,-0.713663,0.705818,0,4.34583,-1.86,0.0965306,5.20112,-0.775049,-0.0829299,0,
0.266672,4.07354,-3.29597,0.222275,4.74034,-3.01115,0.113691,4.43425,-1.86,0.511698,5.30126,-0.918523,0.539306,0,3.7851,-1.86,0.622326,4.37546,-1.07076,0.654468,0,4.43601,-1.86,0.334303,5.27545,-0.998511,0.272865,0,4.4336,-1.86,0.149022,5.3027,-0.902498,0.00652593,0,3.56831,-1.86,0.581317,4.04807,-0.946944,0.633198,0,4.46337,-1.86,0.615986,5.33271,-0.945391,0.682967,0,3.77957,-1.86,0.17002,4.34983,-0.936556,0.0364164,0,3.76511,-1.86,0.445594,4.3386,-1.00947,0.426585,0,4.27954,-1.86,0.695128,5.07971,-0.911804,0.799742,0,4.53093,-1.86,0.205806,5.47526,-0.81585,0.0898526,0,3.68746,-1.86,0.279723,4.22663,-1.00773,0.197218,0,4.29109,-1.86,0.219926,5.09298,-0.910377,0.114807,0,3.8344,-1.86,0.370486,4.43931,-1.04207,0.318032,0,3.60992,-1.86,0.683912,4.11715,-0.99597,0.764303,0,4.55929,-1.86,0.698537,5.50628,-0.851493,0.833115,0,4.52174,-1.86,0.394092,5.44143,-0.877936,0.367738,0,4.28803,-1.86,0.349618,5.06335,-1.0164,0.287269,0,3.58597,-1.86,0.19726,4.0876,-1.01337,0.0813771,0,4.25732,-1.86,0.562917,5.03563,-0.952202,0.610126,0,3.58629,-1.86,0.424203,4.07525,-0.972275,0.40159,0,4.57766,-1.86,0.510714,5.56671,-0.78681,0.556655,0,3.89502,-1.86,0.595433,4.52016,-1.09376,0.614776,0,3.66956,-1.86,0.526922,4.17929,-0.891011,0.564312,0,4.22686,-1.86,0.439385,4.97946,-1.01291,0.421696,0,3.83365,-1.86,0.719366,4.43426,-1.02875,0.802157,0,4.39045,-1.86,0.703813,5.23756,-0.912481,0.824896,0,3.69314,-1.86,0.108861,4.2356,-1.0132,-0.0450943,0,4.37151,-1.86,0.433039,5.18251,-1.00135,0.408988,0,4.24785,-1.86,0.122187,5.03281,-0.89316,-0.0370145,0,4.57937,-1.86,0.312863,5.53872,-0.845598,0.248984,0,4.36903,-1.86,0.59769,5.24655,-0.775867,0.685856,0,4.34583,-1.86,0.0965306,5.19618,-0.830685,-0.078167,0,
0.300007,4.07354,-3.29597,0.222275,4.75563,-3.01087,0.113324,4.43425,-1.86,0.511698,5.28251,-0.970918,0.528038,0,3.7851,-1.86,0.622326,4.37923,-1.11232,0.643427,0,4.43601,-1.86,0.334303,5.26628,-1.02587,0.268392,0,4.4336,-1.86,0.149022,5.29547,-0.926805,0.00604495,0,3.56831,-1.86,0.581317,4.0601,-0.994749,0.62135,0,4.46337,-1.86,0.615986,5.31354,-0.997818,0.668959,0,3.77957,-1.86,0.17002,4.35552,-0.988036,0.038427,0,3.76511,-1.86,0.445594,4.34498,-1.06046,0.418717,0,4.27954,-1.86,0.695128,5.06975,-0.947665,0.788147,0,4.53093,-1.86,0.205806,5.45353,-0.865937,0.0897477,0,3.68746,-1.86,0.279723,4.23468,-1.05075,0.193701,0,4.29109,-1.86,0.219926,5.07739,-0.971446,0.114903,0,3.8344,-1.86,0.370486,4.44402,-1.08816,0.311112,0,3.60992,-1.86,0.683912,4.12599,-1.03535,0.75096,0,4.55929,-1.86,0.698537,5.49499,-0.880567,0.824858,0,4.52174,-1.86,0.394092,5.42058,-0.92669,0.361306,0,4.28803,-1.86,0.349618,5.05437,-1.05667,0.283828,0,3.58597,-1.86,0.19726,4.09751,-1.05754,0.0815469,0,4.25732,-1.86,0.562917,5.02673,-0.99078,0.599538,0,3.58629,-1.86,0.424203,4.08626,-1.01836,0.395189,0,4.57766,-1.86,0.510714,5.53911,-0.843533,0.54733,0,3.89502,-1.86,0.595433,4.52314,-1.15691,0.600211,0,3.66956,-1.86,0.526922,4.18552,-0.916397,0.555197,0,4.22686,-1.86,0.439385,4.96932,-1.06434,0.413076,0,3.83365,-1.86,0.719366,4.43894,-1.07504,0.786156,0,4.39045,-1.86,0.703813,5.22911,-0.941116,0.814701,0,3.69314,-1.86,0.108861,4.24509,-1.06663,-0.0384032,0,4.37151,-1.86,0.433039,5.17196,-1.03785,0.403691,0,4.24785,-1.86,0.122187,5.02253,-0.938086,-0.0337247,0,4.57937,-1.86,0.312863,5.51844,-0.889319,0.246358,0,4.36903,-1.86,0.59769,5.2272,-0.835735,0.670696,0,4.34583,-1.86,0.0965306,5.18217,-0.877705,-0.0739353,0,
