time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,
0,7.55416,-0.517861,0.168165,8.31504,-0.222403,0.114663,6.16,0.0580645,0.51668,5.68721,0.863156,0.771578,0,6.16,-0.592961,0.337685,5.51153,-0.373423,0.455552,0,6.16,-0.590335,0.198447,5.46324,-0.370653,0.176607,0,6.16,-0.4835,0.323927,5.44128,-0.151576,0.435734,0,6.16,-0.57052,0.0771734,5.4349,-0.33119,-0.0733136,0,6.16,0.0263647,0.390465,5.54683,0.858204,0.556061,0,6.16,-0.613388,0.640883,5.55438,-0.411564,1.05072,0,6.16,-0.283535,0.529343,5.56513,0.239795,0.827073,0,6.16,-0.291225,0.14158,5.42457,0.247476,0.0595455,0,6.16,-0.698199,0.574692,5.46917,-0.590526,0.944503,0,6.16,-0.306771,0.632833,5.4504,0.211335,1.06944,0,6.16,-0.0987533,0.438307,5.4592,0.636112,0.668032,0,6.16,-0.145896,0.563264,5.62748,0.494645,0.876309,0,6.16,-0.601847,0.459161,5.5289,-0.390245,0.696203,0,6.16,-0.132478,0.0944193,5.48771,0.55915,-0.0348923,0,6.16,-0.284645,0.354445,5.43795,0.25888,0.499086,0,6.16,0.0338673,0.616247,5.64187,0.835488,0.973822,0,6.16,-0.207228,0.649788,5.7323,0.353059,1.00689,0,6.16,-0.0330878,0.547441,5.52867,0.746469,0.872688,0,6.16,-0.341542,0.454139,5.39915,0.14637,0.712782,0,6.16,-0.244309,0.232145,5.4586,0.33807,0.245751,0,6.16,0.0347655,0.229303,5.52842,0.88218,0.236865,0,6.16,-0.480843,0.508315,5.52392,-0.148294,0.795649,0,6.16,-0.657134,0.12553,5.49119,-0.504501,0.0283058,0,6.16,-0.100771,0.203162,5.57737,0.596626,0.183387,0,6.16,-0.121592,0.333994,5.66235,0.531586,0.43019,0,6.16,-0.378452,0.327172,5.47487,0.0616002,0.438594,0,6.16,-0.431233,0.164276,5.34098,-0.0376064,0.106367,0,6.16,-0.694726,0.307038,5.4086,-0.591122,0.404178,0,6.16,-0.21733,0.454252,5.55362,0.372863,0.681319,0,6.16,-0.0293216,0.306871,5.62414,0.720541,0.382384,0,
0.033334,7.55234,-0.49149,0.168489,8.31446,-0.20699,0.115168,6.16,0.0580645,0.51668,5.8203,0.795014,0.747286,0,6.16,-0.592961,0.337685,5.7204,-0.375941,0.436778,0,6.16,-0.590335,0.198447,5.62233,-0.374427,0.176776,0,6.16,-0.4835,0.323927,5.58474,-0.165554,0.41766,0,6.16,-0.57052,0.0771734,5.59467,-0.337039,-0.0603684,0,6.16,0.0263647,0.390465,5.62454,0.819428,0.544612,0,6.16,-0.613388,0.640883,5.72687,-0.413885,0.995741,0,6.16,-0.283535,0.529343,5.71762,0.201964,0.792922,0,6.16,-0.291225,0.14158,5.55397,0.215341,0.0655888,0,6.16,-0.698199,0.574692,5.64124,-0.582997,0.897923,0,6.16,-0.306771,0.632833,5.58118,0.17928,1.02933,0,6.16,-0.0987533,0.438307,5.60659,0.578332,0.645397,0,6.16,-0.145896,0.563264,5.78164,0.439976,0.837802,0,6.16,-0.601847,0.459161,5.69137,-0.391945,0.664869,0,6.16,-0.132478,0.0944193,5.62566,0.508519,-0.0242075,0,6.16,-0.284645,0.354445,5.5881,0.2209,0.484553,0,6.16,0.0338673,0.616247,5.75344,0.779329,0.943238,0,6.16,-0.207228,0.649788,5.92852,0.29422,0.943273,0,6.16,-0.0330878,0.547441,5.63743,0.69637,0.849005,0,6.16,-0.341542,0.454139,5.53963,0.115421,0.687644,0,6.16,-0.244309,0.232145,5.55789,0.310954,0.244927,0,6.16,0.0347655,0.229303,5.64097,0.825117,0.235338,0,6.16,-0.480843,0.508315,5.68032,-0.16492,0.761024,0,6.16,-0.657134,0.12553,5.68577,-0.498498,0.0379556,0,6.16,-0.100771,0.203162,5.73302,0.538173,0.18462,0,6.16,-0.121592,0.333994,5.79751,0.481467,0.419188,0,6.16,-0.378452,0.327172,5.64573,0.0320497,0.422597,0,6.16,-0.431233,0.164276,5.49631,-0.0605994,0.110411,0,6.16,-0.694726,0.307038,5.56695,-0.58416,0.39002,0,6.16,-0.21733,0.454252,5.68268,0.334514,0.658363,0,6.16,-0.0293216,0.306871,5.73891,0.669999,0.370937,0,
0.0666681,7.55118,-0.480742,0.168275,8.31388,-0.195739,0.115541,6.16,0.0580645,0.51668,5.91797,0.741648,0.717182,0,6.16,-0.592961,0.337685,5.87353,-0.38006,0.413142,0,6.16,-0.590335,0.198447,5.75136,-0.379812,0.170867,0,6.16,-0.4835,0.323927,5.70702,-0.180849,0.404768,0,6.16,-0.57052,0.0771734,5.74887,-0.345166,-0.0509585,0,6.16,0.0263647,0.390465,5.72619,0.765084,0.520491,0,6.16,-0.613388,0.640883,5.83576,-0.416984,0.956631,0,6.16,-0.283535,0.529343,5.79972,0.179458,0.772151,0,6.16,-0.291225,0.14158,5.64129,0.191081,0.0660383,0,6.16,-0.698199,0.574692,5.77051,-0.578637,0.857924,0,6.16,-0.306771,0.632833,5.69726,0.148357,0.986016,0,6.16,-0.0987533,0.438307,5.72598,0.528816,0.619048,0,6.16,-0.145896,0.563264,5.88132,0.40218,0.804592,0,6.16,-0.601847,0.459161,5.84343,-0.396231,0.629026,0,6.16,-0.132478,0.0944193,5.76798,0.454622,-0.0218815,0,6.16,-0.284645,0.354445,5.76875,0.174204,0.455274,0,6.16,0.0338673,0.616247,5.83228,0.736296,0.912852,0,6.16,-0.207228,0.649788,6.02244,0.264485,0.907876,0,6.16,-0.0330878,0.547441,5.74592,0.643872,0.811864,0,6.16,-0.341542,0.454139,5.67071,0.085265,0.657313,0,6.16,-0.244309,0.232145,5.67563,0.273911,0.233729,0,6.16,0.0347655,0.229303,5.75382,0.76618,0.224317,0,6.16,-0.480843,0.508315,5.80639,-0.180403,0.726119,0,6.16,-0.657134,0.12553,5.83741,-0.495903,0.0410337,0,6.16,-0.100771,0.203162,5.85573,0.488741,0.178243,0,6.16,-0.121592,0.333994,5.91309,0.436086,0.400498,0,6.16,-0.378452,0.327172,5.79825,0.00331345,0.40095,0,6.16,-0.431233,0.164276,5.63871,-0.0830549,0.109199,0,6.16,-0.694726,0.307038,5.70977,-0.579495,0.374361,0,6.16,-0.21733,0.454252,5.76088,0.308718,0.644488,0,6.16,-0.0293216,0.306871,5.84717,0.619029,0.355337,0,
0.100002,7.55118,-0.480742,0.168275,8.3134,-0.185076,0.115892,6.16,0.0580645,0.51668,6.00155,0.696879,0.698488,0,6.16,-0.592961,0.337685,6.02283,-0.383262,0.395287,0,6.16,-0.590335,0.198447,5.86805,-0.384312,0.16882,0,6.16,-0.4835,0.323927,5.88143,-0.19944,0.384182,0,6.16,-0.57052,0.0771734,5.88243,-0.350927,-0.042766,0,6.16,0.0263647,0.390465,5.83938,0.707143,0.503281,0,6.16,-0.613388,0.640883,5.92188,-0.420329,0.925457,0,6.16,-0.283535,0.529343,5.91701,0.146876,0.742959,0,6.16,-0.291225,0.14158,5.77613,0.155094,0.0688788,0,6.16,-0.698199,0.574692,5.89929,-0.573816,0.820892,0,6.16,-0.306771,0.632833,5.84556,0.111796,0.938194,0,6.16,-0.0987533,0.438307,5.8124,0.49333,0.59827,0,6.16,-0.145896,0.563264,6.01114,0.354312,0.768224,0,6.16,-0.601847,0.459161,5.96274,-0.39902,0.603707,0,6.16,-0.132478,0.0944193,5.89193,0.408911,-0.0148499,0,6.16,-0.284645,0.354445,5.91396,0.139017,0.438114,0,6.16,0.0338673,0.616247,5.92826,0.685464,0.883546,0,6.16,-0.207228,0.649788,6.07992,0.244507,0.887765,0,6.16,-0.0330878,0.547441,5.84285,0.598696,0.785368,0,6.16,-0.341542,0.454139,5.86299,0.0457282,0.621048,0,6.16,-0.244309,0.232145,5.77611,0.243923,0.226463,0,6.16,0.0347655,0.229303,5.84868,0.717516,0.224706,0,6.16,-0.480843,0.508315,5.92706,-0.194627,0.698175,0,6.16,-0.657134,0.12553,6.0002,-0.491534,0.0424892,0,6.16,-0.100771,0.203162,5.93105,0.45832,0.17393,0,6.16,-0.121592,0.333994,5.98996,0.405926,0.390758,0,6.16,-0.378452,0.327172,5.93721,-0.0217247,0.385654,0,6.16,-0.431233,0.164276,5.80072,-0.106173,0.108141,0,6.16,-0.694726,0.307038,5.82985,-0.574825,0.361142,0,6.16,-0.21733,0.454252,5.87519,0.27092,0.622228,0,6.16,-0.0293216,0.306871,5.97555,0.560774,0.340458,0,
0.133336,7.54929,-0.453811,0.168606,8.31213,-0.157894,0.116788,6.16,0.0580645,0.51668,6.11043,0.65373,0.674737,0,6.16,-0.592961,0.337685,6.17444,-0.370272,0.376634,0,6.16,-0.590335,0.198447,6.07794,-0.372364,0.163136,0,6.16,-0.4835,0.323927,6.05301,-0.199839,0.367653,0,6.16,-0.57052,0.0771734,6.04128,-0.341643,-0.0300026,0,6.16,0.0263647,0.390465,5.97956,0.653558,0.489052,0,6.16,-0.613388,0.640883,6.07739,-0.408619,0.876363,0,6.16,-0.283535,0.529343,6.08862,0.119521,0.701083,0,6.16,-0.291225,0.14158,5.95148,0.127914,0.0745601,0,6.16,-0.698199,0.574692,6.04168,-0.55225,0.779328,0,6.16,-0.306771,0.632833,6.01969,0.0874953,0.884135,0,6.16,-0.0987533,0.438307,5.93597,0.45687,0.575943,0,6.16,-0.145896,0.563264,6.14016,0.323429,0.732936,0,6.16,-0.601847,0.459161,6.11117,-0.386752,0.572773,0,6.16,-0.132478,0.0944193,6.02076,0.376265,-0.00461043,0,6.16,-0.284645,0.354445,6.07986,0.114557,0.418945,0,6.16,0.0338673,0.616247,6.06356,0.631963,0.84286,0,6.16,-0.207228,0.649788,6.19629,0.220522,0.850407,0,6.16,-0.0330878,0.547441,5.96456,0.557624,0.756332,0,6.16,-0.341542,0.454139,6.05595,0.0246757,0.583581,0,6.16,-0.244309,0.232145,5.96012,0.207057,0.222153,0,6.16,0.0347655,0.229303,5.98445,0.664951,0.227301,0,6.16,-0.480843,0.508315,6.08465,-0.196092,0.661263,0,6.16,-0.657134,0.12553,6.15915,-0.470915,0.0479273,0,6.16,-0.100771,0.203162,6.05043,0.42418,0.176273,0,6.16,-0.121592,0.333994,6.11637,0.371561,0.377511,0,6.16,-0.378452,0.327172,6.08259,-0.0322374,0.370716,0,6.16,-0.431233,0.164276,5.9697,-0.113419,0.111131,0,6.16,-0.694726,0.307038,5.99219,-0.552123,0.345049,0,6.16,-0.21733,0.454252,6.03311,0.238135,0.591712,0,6.16,-0.0293216,0.306871,6.09681,0.521374,0.331898,0,
0.16667,7.54929,-0.453811,0.168606,8.31139,-0.142747,0.117289,6.16,0.0580645,0.51668,6.19142,0.616388,0.651765,0,6.16,-0.592961,0.337685,6.24759,-0.366559,0.369306,0,6.16,-0.590335,0.198447,6.24883,-0.365715,0.159152,0,6.16,-0.4835,0.323927,6.1844,-0.205491,0.35288,0,6.16,-0.57052,0.0771734,6.16237,-0.339496,-0.0232214,0,6.16,0.0263647,0.390465,6.05993,0.619273,0.47517,0,6.16,-0.613388,0.640883,6.2,-0.403289,0.836086,0,6.16,-0.283535,0.529343,6.18392,0.101873,0.673196,0,6.16,-0.291225,0.14158,6.08424,0.103307,0.0750527,0,6.16,-0.698199,0.574692,6.15281,-0.540897,0.747531,0,6.16,-0.306771,0.632833,6.19014,0.0574998,0.82763,0,6.16,-0.0987533,0.438307,6.07697,0.40917,0.552966,0,6.16,-0.145896,0.563264,6.2145,0.302129,0.712841,0,6.16,-0.601847,0.459161,6.25987,-0.381153,0.544754,0,6.16,-0.132478,0.0944193,6.13134,0.342087,0.000949807,0,6.16,-0.284645,0.354445,6.19569,0.0931365,0.400357,0,6.16,0.0338673,0.616247,6.16213,0.589014,0.81087,0,6.16,-0.207228,0.649788,6.30965,0.191396,0.810879,0,6.16,-0.0330878,0.547441,6.08033,0.512096,0.72489,0,6.16,-0.341542,0.454139,6.15795,0.0108001,0.560947,0,6.16,-0.244309,0.232145,6.09326,0.177952,0.217522,0,6.16,0.0347655,0.229303,6.08521,0.620674,0.215948,0,6.16,-0.480843,0.508315,6.1858,-0.200569,0.637174,0,6.16,-0.657134,0.12553,6.29581,-0.459577,0.0527369,0,6.16,-0.100771,0.203162,6.1639,0.385974,0.173765,0,6.16,-0.121592,0.333994,6.24842,0.329769,0.362291,0,6.16,-0.378452,0.327172,6.2246,-0.0496788,0.354277,0,6.16,-0.431233,0.164276,6.10422,-0.124539,0.111173,0,6.16,-0.694726,0.307038,6.12284,-0.538603,0.331947,0,6.16,-0.21733,0.454252,6.14657,0.210745,0.568664,0,6.16,-0.0293216,0.306871,6.19091,0.485068,0.321786,0,
0.200004,7.5474,-0.427138,0.168915,8.31091,-0.131052,0.117673,6.16,0.0580645,0.51668,6.26857,0.578662,0.63369,0,6.16,-0.592961,0.337685,6.38007,-0.365447,0.353402,0,6.16,-0.590335,0.198447,6.33829,-0.363497,0.157412,0,6.16,-0.4835,0.323927,6.26047,-0.210486,0.345986,0,6.16,-0.57052,0.0771734,6.25555,-0.340065,-0.0174523,0,6.16,0.0263647,0.390465,6.12839,0.586925,0.465685,0,6.16,-0.613388,0.640883,6.303,-0.40099,0.800821,0,6.16,-0.283535,0.529343,6.28381,0.0795982,0.646403,0,6.16,-0.291225,0.14158,6.18717,0.0820927,0.077418,0,6.16,-0.698199,0.574692,6.25362,-0.532958,0.717851,0,6.16,-0.306771,0.632833,6.2853,0.0403004,0.79791,0,6.16,-0.0987533,0.438307,6.17301,0.37578,0.534842,0,6.16,-0.145896,0.563264,6.29627,0.27457,0.69009,0,6.16,-0.601847,0.459161,6.35499,-0.378714,0.524496,0,6.16,-0.132478,0.0944193,6.20108,0.318925,0.00586252,0,6.16,-0.284645,0.354445,6.26289,0.0787086,0.390489,0,6.16,0.0338673,0.616247,6.23408,0.555659,0.789156,0,6.16,-0.207228,0.649788,6.37731,0.172839,0.788124,0,6.16,-0.0330878,0.547441,6.17358,0.474174,0.699807,0,6.16,-0.341542,0.454139,6.23897,-0.00354689,0.547031,0,6.16,-0.244309,0.232145,6.19716,0.152932,0.211565,0,6.16,0.0347655,0.229303,6.17251,0.580245,0.214659,0,6.16,-0.480843,0.508315,6.27845,-0.207829,0.615058,0,6.16,-0.657134,0.12553,6.41856,-0.450986,0.0557977,0,6.16,-0.100771,0.203162,6.24701,0.356643,0.172764,0,6.16,-0.121592,0.333994,6.34681,0.297739,0.351633,0,6.16,-0.378452,0.327172,6.33799,-0.0647449,0.341135,0,6.16,-0.431233,0.164276,6.20201,-0.134515,0.111137,0,6.16,-0.694726,0.307038,6.21007,-0.531449,0.323902,0,6.16,-0.21733,0.454252,6.24769,0.183881,0.548886,0,6.16,-0.0293216,0.306871,6.27524,0.450306,0.315508,0,
0.233338,7.5462,-0.416827,0.168666,8.31044,-0.120975,0.118005,6.16,0.0580645,0.51668,6.33481,0.54504,0.617057,0,6.16,-0.592961,0.337685,6.4264,-0.365575,0.34546,0,6.16,-0.590335,0.198447,6.39915,-0.364755,0.155691,0,6.16,-0.4835,0.323927,6.3234,-0.217221,0.338002,0,6.16,-0.57052,0.0771734,6.32426,-0.342279,-0.0125453,0,6.16,0.0263647,0.390465,6.19855,0.552475,0.455735,0,6.16,-0.613388,0.640883,6.37707,-0.400801,0.775436,0,6.16,-0.283535,0.529343,6.35344,0.0632067,0.630266,0,6.16,-0.291225,0.14158,6.28874,0.0600048,0.0789358,0,6.16,-0.698199,0.574692,6.32767,-0.528437,0.696032,0,6.16,-0.306771,0.632833,6.3835,0.0197018,0.762483,0,6.16,-0.0987533,0.438307,6.25694,0.344687,0.519691,0,6.16,-0.145896,0.563264,6.36958,0.249553,0.671189,0,6.16,-0.601847,0.459161,6.40917,-0.379567,0.512346,0,6.16,-0.132478,0.0944193,6.27682,0.291639,0.00946803,0,6.16,-0.284645,0.354445,6.32783,0.0622895,0.381582,0,6.16,0.0338673,0.616247,6.30274,0.521914,0.768254,0,6.16,-0.207228,0.649788,6.44256,0.152581,0.766088,0,6.16,-0.0330878,0.547441,6.24958,0.441886,0.680679,0,6.16,-0.341542,0.454139,6.30736,-0.0175572,0.531185,0,6.16,-0.244309,0.232145,6.29759,0.127579,0.207512,0,6.16,0.0347655,0.229303,6.23057,0.551803,0.212481,0,6.16,-0.480843,0.508315,6.33842,-0.214046,0.600198,0,6.16,-0.657134,0.12553,6.46955,-0.448956,0.0573839,0,6.16,-0.100771,0.203162,6.31897,0.329359,0.169802,0,6.16,-0.121592,0.333994,6.45202,0.262407,0.339342,0,6.16,-0.378452,0.327172,6.42527,-0.0777118,0.330292,0,6.16,-0.431233,0.164276,6.27971,-0.144275,0.11105,0,6.16,-0.694726,0.307038,6.28313,-0.52758,0.316439,0,6.16,-0.21733,0.454252,6.3207,0.163043,0.533415,0,6.16,-0.0293216,0.306871,6.32474,0.42831,0.311573,0,
0.266672,7.54405,-0.388796,0.168994,8.30971,-0.105712,0.118509,6.16,0.0580645,0.51668,6.35839,0.536347,0.61033,0,6.16,-0.592961,0.337685,6.44585,-0.363727,0.344326,0,6.16,-0.590335,0.198447,6.45663,-0.361679,0.155094,0,6.16,-0.4835,0.323927,6.38206,-0.218801,0.332084,0,6.16,-0.57052,0.0771734,6.38455,-0.339929,-0.00943251,0,6.16,0.0263647,0.390465,6.25858,0.52802,0.440611,0,6.16,-0.613388,0.640883,6.39405,-0.397682,0.770126,0,6.16,-0.283535,0.529343,6.40591,0.0543713,0.615489,0,6.16,-0.291225,0.14158,6.36249,0.0487115,0.0794558,0,6.16,-0.698199,0.574692,6.37528,-0.521915,0.684225,0,6.16,-0.306771,0.632833,6.43638,0.0129029,0.745427,0,6.16,-0.0987533,0.438307,6.30782,0.329535,0.507515,0,6.16,-0.145896,0.563264,6.4121,0.238495,0.656953,0,6.16,-0.601847,0.459161,6.45207,-0.376837,0.505413,0,6.16,-0.132478,0.0944193,6.34889,0.271453,0.0110231,0,6.16,-0.284645,0.354445,6.38495,0.0526976,0.373177,0,6.16,0.0338673,0.616247,6.3417,0.506339,0.754868,0,6.16,-0.207228,0.649788,6.47833,0.145089,0.752308,0,6.16,-0.0330878,0.547441,6.29546,0.425783,0.667306,0,6.16,-0.341542,0.454139,6.35345,-0.0230462,0.520897,0,6.16,-0.244309,0.232145,6.33784,0.121177,0.204984,0,6.16,0.0347655,0.229303,6.28495,0.529083,0.206971,0,6.16,-0.480843,0.508315,6.38813,-0.21547,0.58796,0,6.16,-0.657134,0.12553,6.4941,-0.445634,0.0597876,0,6.16,-0.100771,0.203162,6.37511,0.312394,0.167515,0,6.16,-0.121592,0.333994,6.51078,0.247033,0.330964,0,6.16,-0.378452,0.327172,6.47094,-0.0810092,0.325087,0,6.16,-0.431233,0.164276,6.3502,-0.148534,0.111124,0,6.16,-0.694726,0.307038,6.33145,-0.521163,0.312338,0,6.16,-0.21733,0.454252,6.34914,0.158103,0.524933,0,6.16,-0.0293216,0.306871,6.37674,0.408929,0.304493,0,
0.300007,7.54405,-0.388796,0.168994,8.30899,-0.0931607,0.118926,6.16,0.0580645,0.51668,6.46086,0.488186,0.585133,0,6.16,-0.592961,0.337685,6.54872,-0.361658,0.33022,0,6.16,-0.590335,0.198447,6.61431,-0.353819,0.152152,0,6.16,-0.4835,0.323927,6.57231,-0.223427,0.310562,0,6.16,-0.57052,0.0771734,6.50148,-0.337493,-0.00208548,0,6.16,0.0263647,0.390465,6.46826,0.443466,0.410812,0,6.16,-0.613388,0.640883,6.60562,-0.384971,0.696492,0,6.16,-0.283535,0.529343,6.61414,0.0196517,0.557708,0,6.16,-0.291225,0.14158,6.54747,0.0187894,0.0845473,0,6.16,-0.698199,0.574692,6.58193,-0.495867,0.623452,0,6.16,-0.306771,0.632833,6.62397,-0.0154695,0.683256,0,6.16,-0.0987533,0.438307,6.41664,0.293202,0.483297,0,6.16,-0.145896,0.563264,6.55828,0.196802,0.613423,0,6.16,-0.601847,0.459161,6.62458,-0.367263,0.469124,0,6.16,-0.132478,0.0944193,6.54934,0.216112,0.0214291,0,6.16,-0.284645,0.354445,6.56573,0.0222467,0.348278,0,6.16,0.0338673,0.616247,6.48828,0.443622,0.707724,0,6.16,-0.207228,0.649788,6.64401,0.106277,0.695567,0,6.16,-0.0330878,0.547441,6.54335,0.338916,0.602002,0,6.16,-0.341542,0.454139,6.51248,-0.0449248,0.487809,0,6.16,-0.244309,0.232145,6.47059,0.0921175,0.197447,0,6.16,0.0347655,0.229303,6.45438,0.458538,0.202769,0,6.16,-0.480843,0.508315,6.58693,-0.220993,0.539018,0,6.16,-0.657134,0.12553,6.62133,-0.435169,0.06152,0,6.16,-0.100771,0.203162,6.58397,0.249587,0.164121,0,6.16,-0.121592,0.333994,6.69101,0.196382,0.310186,0,6.16,-0.378452,0.327172,6.63988,-0.0979364,0.306296,0,6.16,-0.431233,0.164276,6.5701,-0.16048,0.1114,0,6.16,-0.694726,0.307038,6.50287,-0.50132,0.295752,0,6.16,-0.21733,0.454252,6.50473,0.121076,0.49137,0,6.16,-0.0293216,0.306871,6.56365,0.341794,0.287861,0,
