time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,p33wx,p33wy,p33wz,p33wHatx,p33wHaty,p33wHatz,converged33,p34wx,p34wy,p34wz,p34wHatx,p34wHaty,p34wHatz,converged34,
0,4.91508,3.33278,0.228394,5.02887,3.34412,0.296648,4.21425,1.86,0.53504,3.71494,0.58295,0.871548,0,4.60975,1.86,0.662188,4.42134,0.4137,1.15978,0,4.78117,1.86,0.589263,4.76311,0.421294,1.01281,0,4.31739,1.86,0.0740367,3.86569,0.477954,-0.00374532,0,4.33294,1.86,0.615054,3.92934,0.562409,1.02695,0,5.07297,1.86,0.592515,5.3433,0.410963,1.02182,0,4.25173,1.86,0.427708,3.76879,0.54648,0.675258,0,4.43999,1.86,0.638038,4.11871,0.522669,1.08142,0,5.21734,1.86,0.605614,5.62272,0.450447,1.0378,0,4.18261,1.86,0.0946009,3.66264,0.597059,0.0470945,0,4.39949,1.86,0.446488,4.03794,0.513584,0.715802,0,4.23123,1.86,0.248063,3.74083,0.570161,0.333694,0,5.32983,1.86,0.519934,5.83797,0.470976,0.865393,0,5.05396,1.86,0.472767,5.30603,0.404791,0.784359,0,4.64179,1.86,0.338785,4.48957,0.437865,0.514483,0,5.09069,1.86,0.0238997,5.37779,0.41771,-0.109681,0,5.05865,1.86,0.274003,5.31143,0.445413,0.386415,0,4.5502,1.86,0.425573,4.31905,0.47913,0.680219,0,4.40528,1.86,0.150005,4.04444,0.500171,0.145278,0,4.99237,1.86,0.173876,5.18159,0.43387,0.18892,0,4.86901,1.86,0.644468,4.93771,0.430327,1.11982,0,5.22051,1.86,0.182865,5.63373,0.427412,0.206482,0,4.12438,1.86,0.34906,3.55615,0.601024,0.521392,0,5.32497,1.86,0.238184,5.83821,0.436051,0.31598,0,5.34643,1.86,0.0812592,5.84741,0.549284,0.0174364,0,5.16967,1.86,0.347394,5.53823,0.397439,0.534738,0,4.56311,1.86,0.266695,4.34342,0.475958,0.371237,0,4.12074,1.86,0.473552,3.56435,0.628773,0.748642,0,4.39271,1.86,0.315576,4.01148,0.475699,0.466445,0,5.23118,1.86,0.472761,5.65737,0.415727,0.782532,0,5.19453,1.86,0.0517658,5.58275,0.424917,-0.0534471,0,4.23751,1.86,0.691507,3.77719,0.623466,1.15215,0,5.10084,1.86,0.168836,5.39649,0.429343,0.178776,0,4.09248,1.86,0.173763,3.53683,0.672792,0.197559,0,4.97741,1.86,0.651281,5.15309,0.408799,1.13948,0,
0.0333341,4.91508,3.33278,0.228394,5.01871,3.3448,0.29704,4.21425,1.86,0.53504,3.78054,0.682383,0.849943,0,4.60975,1.86,0.662188,4.46646,0.537881,1.12108,0,4.78117,1.86,0.589263,4.7927,0.559525,0.979008,0,4.31739,1.86,0.0740367,3.92171,0.574769,0.00587535,0,4.33294,1.86,0.615054,3.99026,0.673593,0.995184,0,5.07297,1.86,0.592515,5.34541,0.554839,0.985245,0,4.25173,1.86,0.427708,3.83552,0.653849,0.659896,0,4.43999,1.86,0.638038,4.16942,0.62956,1.0508,0,5.21734,1.86,0.605614,5.61279,0.578216,1.00313,0,4.18261,1.86,0.0946009,3.73462,0.705125,0.0563253,0,4.39949,1.86,0.446488,4.09811,0.63625,0.697827,0,4.23123,1.86,0.248063,3.8124,0.685066,0.331464,0,5.32983,1.86,0.519934,5.82138,0.579701,0.841006,0,5.05396,1.86,0.472767,5.30924,0.5477,0.760784,0,4.64179,1.86,0.338785,4.54891,0.637434,0.4999,0,5.09069,1.86,0.0238997,5.37487,0.592698,-0.0835896,0,5.05865,1.86,0.274003,5.31043,0.649597,0.377032,0,4.5502,1.86,0.425573,4.36534,0.604461,0.659504,0,4.40528,1.86,0.150005,4.10483,0.624636,0.152309,0,4.99237,1.86,0.173876,5.18924,0.600298,0.193505,0,4.86901,1.86,0.644468,4.96,0.576282,1.07755,0,5.22051,1.86,0.182865,5.61416,0.619585,0.214406,0,4.12438,1.86,0.34906,3.61909,0.685626,0.514718,0,5.32497,1.86,0.238184,5.80788,0.618176,0.314208,0,5.34643,1.86,0.0812592,5.82023,0.696991,0.0342274,0,5.16967,1.86,0.347394,5.52968,0.542212,0.521299,0,4.56311,1.86,0.266695,4.40521,0.656541,0.366784,0,4.12074,1.86,0.473552,3.62103,0.703422,0.735456,0,4.39271,1.86,0.315576,4.07165,0.596088,0.45961,0,5.23118,1.86,0.472761,5.64602,0.545469,0.761125,0,5.19453,1.86,0.0517658,5.56927,0.591121,-0.0350364,0,4.23751,1.86,0.691507,3.82212,0.689844,1.13049,0,5.10084,1.86,0.168836,5.39277,0.588718,0.185613,0,4.09248,1.86,0.173763,3.58685,0.738664,0.199655,0,4.97741,1.86,0.651281,5.16258,0.498819,1.10859,0,
0.0666681,4.88842,3.33467,0.229047,4.99172,3.34668,0.298083,4.21425,1.86,0.53504,3.80897,0.751688,0.832856,0,4.60975,1.86,0.662188,4.47932,0.623061,1.09539,0,4.78117,1.86,0.589263,4.79994,0.673332,0.948375,0,4.31739,1.86,0.0740367,3.96451,0.682195,0.0142058,0,4.33294,1.86,0.615054,4.01082,0.740338,0.977111,0,5.07297,1.86,0.592515,5.33017,0.668031,0.956499,0,4.25173,1.86,0.427708,3.87238,0.742032,0.645199,0,4.43999,1.86,0.638038,4.20328,0.738148,1.01969,0,5.21734,1.86,0.605614,5.58734,0.690957,0.972585,0,4.18261,1.86,0.0946009,3.77525,0.792923,0.0615496,0,4.39949,1.86,0.446488,4.11466,0.702893,0.68583,0,4.23123,1.86,0.248063,3.85138,0.775348,0.329416,0,5.32983,1.86,0.519934,5.79019,0.683048,0.818894,0,5.05396,1.86,0.472767,5.29512,0.66404,0.738751,0,4.64179,1.86,0.338785,4.55977,0.734318,0.488936,0,5.09069,1.86,0.0238997,5.3558,0.733121,-0.0673602,0,5.05865,1.86,0.274003,5.29376,0.77218,0.372684,0,4.5502,1.86,0.425573,4.39539,0.732261,0.637532,0,4.40528,1.86,0.150005,4.13778,0.728603,0.155018,0,4.99237,1.86,0.173876,5.17824,0.696335,0.194748,0,4.86901,1.86,0.644468,4.96033,0.691867,1.04225,0,5.22051,1.86,0.182865,5.58551,0.736493,0.215133,0,4.12438,1.86,0.34906,3.66748,0.776476,0.505844,0,5.32497,1.86,0.238184,5.77195,0.734374,0.312652,0,5.34643,1.86,0.0812592,5.78949,0.784846,0.0411897,0,5.16967,1.86,0.347394,5.50967,0.621223,0.514091,0,4.56311,1.86,0.266695,4.43125,0.781146,0.360837,0,4.12074,1.86,0.473552,3.65206,0.767292,0.723058,0,4.39271,1.86,0.315576,4.11212,0.713689,0.44975,0,5.23118,1.86,0.472761,5.61998,0.652786,0.740606,0,5.19453,1.86,0.0517658,5.54359,0.708785,-0.0217244,0,4.23751,1.86,0.691507,3.83563,0.734482,1.10956,0,5.10084,1.86,0.168836,5.37413,0.709675,0.187765,0,4.09248,1.86,0.173763,3.62591,0.811598,0.200525,0,4.97741,1.86,0.651281,5.15782,0.632667,1.07062,0,
0.100002,4.88842,3.33467,0.229047,4.9767,3.34772,0.298664,4.21425,1.86,0.53504,3.83583,0.800595,0.815464,0,4.60975,1.86,0.662188,4.51844,0.760026,1.04763,0,4.78117,1.86,0.589263,4.81428,0.76627,0.922568,0,4.31739,1.86,0.0740367,4.0347,0.828161,0.0237337,0,4.33294,1.86,0.615054,4.03079,0.783805,0.958222,0,5.07297,1.86,0.592515,5.32497,0.78736,0.921894,0,4.25173,1.86,0.427708,3.91231,0.816586,0.63023,0,4.43999,1.86,0.638038,4.22246,0.79053,0.999507,0,5.21734,1.86,0.605614,5.57561,0.776468,0.949539,0,4.18261,1.86,0.0946009,3.81756,0.868142,0.0608288,0,4.39949,1.86,0.446488,4.14488,0.770938,0.671805,0,4.23123,1.86,0.248063,3.89434,0.854908,0.321689,0,5.32983,1.86,0.519934,5.77201,0.771156,0.799427,0,5.05396,1.86,0.472767,5.29163,0.768294,0.717548,0,4.64179,1.86,0.338785,4.59433,0.870675,0.475655,0,5.09069,1.86,0.0238997,5.34729,0.871057,-0.0508071,0,5.05865,1.86,0.274003,5.28923,0.885179,0.366423,0,4.5502,1.86,0.425573,4.41527,0.799196,0.627542,0,4.40528,1.86,0.150005,4.17357,0.814301,0.156636,0,4.99237,1.86,0.173876,5.17982,0.840185,0.194429,0,4.86901,1.86,0.644468,4.96898,0.784577,1.01309,0,5.22051,1.86,0.182865,5.56803,0.858454,0.215743,0,4.12438,1.86,0.34906,3.71647,0.854599,0.493599,0,5.32497,1.86,0.238184,5.75237,0.826823,0.310044,0,5.34643,1.86,0.0812592,5.76771,0.886384,0.0469196,0,5.16967,1.86,0.347394,5.50214,0.691703,0.502778,0,4.56311,1.86,0.266695,4.4649,0.89358,0.355042,0,4.12074,1.86,0.473552,3.69785,0.83619,0.711333,0,4.39271,1.86,0.315576,4.15041,0.805087,0.439495,0,5.23118,1.86,0.472761,5.59873,0.801486,0.713514,0,5.19453,1.86,0.0517658,5.53196,0.801066,-0.0125426,0,4.23751,1.86,0.691507,3.87134,0.794933,1.08464,0,5.10084,1.86,0.168836,5.3661,0.83207,0.188953,0,4.09248,1.86,0.173763,3.6645,0.871053,0.197521,0,4.97741,1.86,0.651281,5.16012,0.747221,1.0347,0,
0.133336,4.86139,3.33666,0.229715,4.96458,3.34863,0.299133,4.21425,1.86,0.53504,3.87003,0.852746,0.805329,0,4.60975,1.86,0.662188,4.55448,0.886445,1.01373,0,4.78117,1.86,0.589263,4.83302,0.869285,0.896998,0,4.31739,1.86,0.0740367,4.08024,0.921309,0.0335484,0,4.33294,1.86,0.615054,4.07431,0.862856,0.938644,0,5.07297,1.86,0.592515,5.32258,0.886273,0.898028,0,4.25173,1.86,0.427708,3.94852,0.878707,0.620752,0,4.43999,1.86,0.638038,4.25508,0.861028,0.978667,0,5.21734,1.86,0.605614,5.56605,0.868289,0.925559,0,4.18261,1.86,0.0946009,3.85893,0.932174,0.0690908,0,4.39949,1.86,0.446488,4.18204,0.849229,0.659803,0,4.23123,1.86,0.248063,3.93499,0.923474,0.320644,0,5.32983,1.86,0.519934,5.7563,0.860073,0.781457,0,5.05396,1.86,0.472767,5.29077,0.866389,0.700155,0,4.64179,1.86,0.338785,4.61965,0.969146,0.468822,0,5.09069,1.86,0.0238997,5.34322,0.956489,-0.0393997,0,5.05865,1.86,0.274003,5.2871,0.986046,0.362364,0,4.5502,1.86,0.425573,4.45148,0.901625,0.614876,0,4.40528,1.86,0.150005,4.20936,0.892979,0.160668,0,4.99237,1.86,0.173876,5.18167,0.938238,0.198768,0,4.86901,1.86,0.644468,4.98139,0.886058,0.984089,0,5.22051,1.86,0.182865,5.55579,0.952198,0.216421,0,4.12438,1.86,0.34906,3.75982,0.918512,0.489962,0,5.32497,1.86,0.238184,5.74398,0.873694,0.308433,0,5.34643,1.86,0.0812592,5.74467,0.999859,0.0577843,0,5.16967,1.86,0.347394,5.49683,0.779756,0.496798,0,4.56311,1.86,0.266695,4.49435,0.985258,0.35253,0,4.12074,1.86,0.473552,3.74651,0.907228,0.699001,0,4.39271,1.86,0.315576,4.18412,0.878158,0.43414,0,5.23118,1.86,0.472761,5.58496,0.899286,0.697096,0,5.19453,1.86,0.0517658,5.52724,0.853263,-0.00301254,0,4.23751,1.86,0.691507,3.89996,0.84051,1.07064,0,5.10084,1.86,0.168836,5.35914,0.962576,0.199704,0,4.09248,1.86,0.173763,3.70868,0.931911,0.200481,0,4.97741,1.86,0.651281,5.16456,0.855488,1.00332,0,
0.16667,4.83519,3.3386,0.230358,4.94947,3.34972,0.299719,4.21425,1.86,0.53504,3.90027,0.906181,0.798079,0,4.60975,1.86,0.662188,4.5778,0.982772,0.989613,0,4.78117,1.86,0.589263,4.8462,0.966243,0.876582,0,4.31739,1.86,0.0740367,4.11228,0.990726,0.0444297,0,4.33294,1.86,0.615054,4.10813,0.935701,0.922121,0,5.07297,1.86,0.592515,5.31722,0.976861,0.878901,0,4.25173,1.86,0.427708,3.97983,0.937804,0.616284,0,4.43999,1.86,0.638038,4.28396,0.935252,0.96234,0,5.21734,1.86,0.605614,5.55535,0.9384,0.910865,0,4.18261,1.86,0.0946009,3.87089,0.955968,0.0738786,0,4.39949,1.86,0.446488,4.21045,0.918126,0.652809,0,4.23123,1.86,0.248063,3.9674,0.983599,0.32335,0,5.32983,1.86,0.519934,5.73611,0.952645,0.76469,0,5.05396,1.86,0.472767,5.28657,0.958032,0.686645,0,4.64179,1.86,0.338785,4.64359,1.07537,0.465244,0,5.09069,1.86,0.0238997,5.33689,1.04564,-0.0264728,0,5.05865,1.86,0.274003,5.28134,1.08845,0.360097,0,4.5502,1.86,0.425573,4.48534,1.01614,0.602152,0,4.40528,1.86,0.150005,4.23425,0.954632,0.166586,0,4.99237,1.86,0.173876,5.18076,1.02502,0.204624,0,4.86901,1.86,0.644468,4.98866,0.980609,0.960699,0,5.22051,1.86,0.182865,5.5459,1.01008,0.217993,0,4.12438,1.86,0.34906,3.79497,0.975307,0.488727,0,5.32497,1.86,0.238184,5.73099,0.939914,0.309562,0,5.34643,1.86,0.0812592,5.72604,1.07309,0.0686374,0,5.16967,1.86,0.347394,5.48601,0.874825,0.489958,0,4.56311,1.86,0.266695,4.5116,1.04802,0.354275,0,4.12074,1.86,0.473552,3.78618,0.971064,0.690808,0,4.39271,1.86,0.315576,4.21203,0.944816,0.433739,0,5.23118,1.86,0.472761,5.56765,1.00575,0.682241,0,5.19453,1.86,0.0517658,5.51945,0.919676,0.00567108,0,4.23751,1.86,0.691507,3.95352,0.935754,1.04432,0,5.10084,1.86,0.168836,5.34962,1.06468,0.205316,0,4.09248,1.86,0.173763,3.74334,0.985111,0.205939,0,4.97741,1.86,0.651281,5.1641,0.919943,0.986871,0,
0.200004,4.82511,3.33935,0.2303,4.93821,3.35055,0.300155,4.21425,1.86,0.53504,3.91745,0.931187,0.790343,0,4.60975,1.86,0.662188,4.59054,1.02692,0.967577,0,4.78117,1.86,0.589263,4.85516,1.01424,0.861239,0,4.31739,1.86,0.0740367,4.14096,1.04556,0.0463526,0,4.33294,1.86,0.615054,4.12844,0.97356,0.906746,0,5.07297,1.86,0.592515,5.3168,1.01803,0.864406,0,4.25173,1.86,0.427708,4.00106,0.972768,0.606103,0,4.43999,1.86,0.638038,4.30397,0.978883,0.945911,0,5.21734,1.86,0.605614,5.55226,0.977848,0.897156,0,4.18261,1.86,0.0946009,3.90448,1.00405,0.0746269,0,4.39949,1.86,0.446488,4.23928,0.979089,0.639296,0,4.23123,1.86,0.248063,4.00021,1.03765,0.32008,0,5.32983,1.86,0.519934,5.72921,0.991899,0.754292,0,5.05396,1.86,0.472767,5.28676,0.999588,0.677122,0,4.64179,1.86,0.338785,4.65511,1.11743,0.460087,0,5.09069,1.86,0.0238997,5.33529,1.10085,-0.0219164,0,5.05865,1.86,0.274003,5.2776,1.17995,0.350496,0,4.5502,1.86,0.425573,4.50427,1.07587,0.58742,0,4.40528,1.86,0.150005,4.26089,1.01185,0.165145,0,4.99237,1.86,0.173876,5.18302,1.07781,0.204079,0,4.86901,1.86,0.644468,4.99738,1.05343,0.93826,0,5.22051,1.86,0.182865,5.54153,1.05946,0.21618,0,4.12438,1.86,0.34906,3.81795,1.00778,0.480617,0,5.32497,1.86,0.238184,5.72747,0.96767,0.307978,0,5.34643,1.86,0.0812592,5.71844,1.11674,0.0689065,0,5.16967,1.86,0.347394,5.47962,0.952265,0.481266,0,4.56311,1.86,0.266695,4.52129,1.07248,0.351745,0,4.12074,1.86,0.473552,3.82693,1.03016,0.676935,0,4.39271,1.86,0.315576,4.23105,0.983497,0.427813,0,5.23118,1.86,0.472761,5.5607,1.0602,0.67057,0,5.19453,1.86,0.0517658,5.51273,0.99903,0.0127781,0,4.23751,1.86,0.691507,3.98039,0.981446,1.02541,0,5.10084,1.86,0.168836,5.34709,1.12082,0.203412,0,4.09248,1.86,0.173763,3.76165,1.01027,0.201513,0,4.97741,1.86,0.651281,5.165,0.933484,0.976963,0,
0.233338,4.82511,3.33935,0.2303,4.92831,3.35124,0.300537,4.21425,1.86,0.53504,3.95652,0.990918,0.77382,0,4.60975,1.86,0.662188,4.61075,1.08741,0.947922,0,4.78117,1.86,0.589263,4.86851,1.07967,0.843287,0,4.31739,1.86,0.0740367,4.16841,1.09666,0.0500179,0,4.33294,1.86,0.615054,4.15547,1.02112,0.893163,0,5.07297,1.86,0.592515,5.31778,1.07878,0.847494,0,4.25173,1.86,0.427708,4.02737,1.01402,0.598611,0,4.43999,1.86,0.638038,4.33348,1.04332,0.926835,0,5.21734,1.86,0.605614,5.5498,1.0236,0.883469,0,4.18261,1.86,0.0946009,3.93147,1.04556,0.0749679,0,4.39949,1.86,0.446488,4.2651,1.03322,0.629322,0,4.23123,1.86,0.248063,4.02712,1.08183,0.31684,0,5.32983,1.86,0.519934,5.7229,1.03822,0.741649,0,5.05396,1.86,0.472767,5.28839,1.06208,0.664928,0,4.64179,1.86,0.338785,4.67921,1.20478,0.450831,0,5.09069,1.86,0.0238997,5.33439,1.16765,-0.0122426,0,5.05865,1.86,0.274003,5.278,1.22121,0.35138,0,4.5502,1.86,0.425573,4.52472,1.13117,0.581732,0,4.40528,1.86,0.150005,4.28913,1.07305,0.16581,0,4.99237,1.86,0.173876,5.1864,1.13232,0.204467,0,4.86901,1.86,0.644468,5.00567,1.12004,0.91679,0,5.22051,1.86,0.182865,5.5352,1.12819,0.220806,0,4.12438,1.86,0.34906,3.84609,1.04557,0.475569,0,5.32497,1.86,0.238184,5.71973,1.02722,0.305558,0,5.34643,1.86,0.0812592,5.70856,1.17668,0.0729004,0,5.16967,1.86,0.347394,5.47383,1.026,0.473571,0,4.56311,1.86,0.266695,4.54079,1.12252,0.347769,0,4.12074,1.86,0.473552,3.85042,1.0633,0.67104,0,4.39271,1.86,0.315576,4.2548,1.02988,0.4232,0,5.23118,1.86,0.472761,5.55757,1.10011,0.662139,0,5.19453,1.86,0.0517658,5.50686,1.06413,0.0196198,0,4.23751,1.86,0.691507,4.01051,1.02925,1.00759,0,5.10084,1.86,0.168836,5.34642,1.17671,0.206229,0,4.09248,1.86,0.173763,3.78906,1.04464,0.200892,0,4.97741,1.86,0.651281,5.17163,0.982779,0.960819,0,
0.266672,4.82511,3.33935,0.2303,4.91331,3.3523,0.301117,4.21425,1.86,0.53504,3.98187,1.03939,0.761831,0,4.60975,1.86,0.662188,4.61898,1.12553,0.935251,0,4.78117,1.86,0.589263,4.87241,1.12235,0.829751,0,4.31739,1.86,0.0740367,4.18312,1.13147,0.0521562,0,4.33294,1.86,0.615054,4.16911,1.05287,0.88324,0,5.07297,1.86,0.592515,5.31244,1.13473,0.829429,0,4.25173,1.86,0.427708,4.04455,1.04816,0.593224,0,4.43999,1.86,0.638038,4.35065,1.09224,0.91166,0,5.21734,1.86,0.605614,5.5419,1.06926,0.868597,0,4.18261,1.86,0.0946009,3.95505,1.08751,0.0779369,0,4.39949,1.86,0.446488,4.28333,1.08051,0.620575,0,4.23123,1.86,0.248063,4.04252,1.11293,0.314845,0,5.32983,1.86,0.519934,5.71694,1.05078,0.735111,0,5.05396,1.86,0.472767,5.28411,1.11607,0.652962,0,4.64179,1.86,0.338785,4.68558,1.24504,0.446039,0,5.09069,1.86,0.0238997,5.32934,1.20946,-0.00909784,0,5.05865,1.86,0.274003,5.27511,1.25025,0.347738,0,4.5502,1.86,0.425573,4.53402,1.16826,0.573507,0,4.40528,1.86,0.150005,4.30301,1.11195,0.166365,0,4.99237,1.86,0.173876,5.18379,1.21236,0.203403,0,4.86901,1.86,0.644468,5.00688,1.16272,0.901734,0,5.22051,1.86,0.182865,5.52696,1.16679,0.218356,0,4.12438,1.86,0.34906,3.8647,1.07662,0.472197,0,5.32497,1.86,0.238184,5.71093,1.0592,0.302996,0,5.34643,1.86,0.0812592,5.70043,1.20234,0.0733358,0,5.16967,1.86,0.347394,5.46612,1.07065,0.46691,0,4.56311,1.86,0.266695,4.55101,1.16139,0.348726,0,4.12074,1.86,0.473552,3.86654,1.08998,0.664698,0,4.39271,1.86,0.315576,4.2699,1.06842,0.420165,0,5.23118,1.86,0.472761,5.54823,1.146,0.648757,0,5.19453,1.86,0.0517658,5.50038,1.08789,0.017116,0,4.23751,1.86,0.691507,4.02557,1.05944,0.996542,0,5.10084,1.86,0.168836,5.34099,1.222,0.204297,0,4.09248,1.86,0.173763,3.80859,1.07615,0.199573,0,4.97741,1.86,0.651281,5.1712,1.07172,0.931793,0,
0.300007,4.77982,3.34214,0.231812,4.88278,3.35399,0.30229,4.21425,1.86,0.53504,4.00548,1.10281,0.748222,0,4.60975,1.86,0.662188,4.6281,1.20851,0.913074,0,4.78117,1.86,0.589263,4.86794,1.17651,0.816451,0,4.31739,1.86,0.0740367,4.20523,1.20403,0.0597586,0,4.33294,1.86,0.615054,4.18398,1.10776,0.86818,0,5.07297,1.86,0.592515,5.2948,1.22069,0.810234,0,4.25173,1.86,0.427708,4.06294,1.10388,0.58516,0,4.43999,1.86,0.638038,4.35866,1.1444,0.896646,0,5.21734,1.86,0.605614,5.5221,1.12731,0.854964,0,4.18261,1.86,0.0946009,3.97499,1.14176,0.0831816,0,4.39949,1.86,0.446488,4.29311,1.13318,0.61235,0,4.23123,1.86,0.248063,4.05763,1.16111,0.314666,0,5.32983,1.86,0.519934,5.70016,1.08775,0.729722,0,5.05396,1.86,0.472767,5.26943,1.17366,0.645167,0,4.64179,1.86,0.338785,4.68521,1.29889,0.440571,0,5.09069,1.86,0.0238997,5.31377,1.26035,-0.00190151,0,5.05865,1.86,0.274003,5.25958,1.31989,0.346942,0,4.5502,1.86,0.425573,4.54166,1.23479,0.564183,0,4.40528,1.86,0.150005,4.31404,1.16777,0.169942,0,4.99237,1.86,0.173876,5.16933,1.28593,0.206923,0,4.86901,1.86,0.644468,4.99908,1.21542,0.888492,0,5.22051,1.86,0.182865,5.50179,1.25202,0.224689,0,4.12438,1.86,0.34906,3.87953,1.11709,0.468279,0,5.32497,1.86,0.238184,5.67649,1.16468,0.302114,0,5.34643,1.86,0.0812592,5.68018,1.24481,0.0783736,0,5.16967,1.86,0.347394,5.4445,1.15426,0.463604,0,4.56311,1.86,0.266695,4.55054,1.2011,0.347063,0,4.12074,1.86,0.473552,3.87733,1.12323,0.659122,0,4.39271,1.86,0.315576,4.28174,1.12438,0.417314,0,5.23118,1.86,0.472761,5.52869,1.19843,0.64281,0,5.19453,1.86,0.0517658,5.48289,1.14457,0.0269985,0,4.23751,1.86,0.691507,4.02719,1.08214,0.989711,0,5.10084,1.86,0.168836,5.32392,1.28401,0.208483,0,4.09248,1.86,0.173763,3.82387,1.11499,0.202389,0,4.97741,1.86,0.651281,5.1582,1.11227,0.921768,0,
