time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,
0,1.98878,-3.43381,0.262792,2.42263,-3.91601,0.152838,2.53942,-1.86,0.108752,3.39094,-1.14844,-0.118043,0,1.76697,-1.86,0.579841,2.03208,-1.14499,0.71107,0,2.00359,-1.86,0.78718,2.44824,-1.19436,1.05968,0,2.56867,-1.86,0.607174,3.38679,-1.29927,0.725435,0,1.90537,-1.86,0.524821,2.27829,-1.19283,0.606232,0,1.96389,-1.86,0.181005,2.37752,-1.06434,0.00464313,0,2.52251,-1.86,0.47286,3.33626,-1.22196,0.512433,0,2.5701,-1.86,0.778183,3.39363,-1.28721,1.01372,0,2.56333,-1.86,0.319655,3.41054,-1.20988,0.250614,0,2.03095,-1.86,0.409288,2.49464,-1.22807,0.403042,0,2.19649,-1.86,0.769923,2.77881,-1.21718,1.02249,0,1.81078,-1.86,0.447395,2.10262,-1.08664,0.484715,0,2.32144,-1.86,0.499459,2.99704,-1.19846,0.5615,0,1.81342,-1.86,0.767193,2.13328,-1.31917,0.985118,0,2.12639,-1.86,0.257407,2.66937,-1.09411,0.143183,0,2.41698,-1.86,0.214896,3.17861,-1.13743,0.0682778,0,1.74752,-1.86,0.21725,1.98796,-1.08055,0.0707864,0,1.64136,-1.86,0.431875,1.79784,-1.08575,0.456909,0,2.24558,-1.86,0.404912,2.8732,-1.15468,0.402195,0,2.05875,-1.86,0.677456,2.54647,-1.13038,0.886791,0,2.13081,-1.86,0.544103,2.67835,-1.08225,0.659361,0,2.66953,-1.86,0.470803,3.59408,-1.20774,0.510792,0,
0.033334,1.98878,-3.43381,0.262792,2.43799,-3.91554,0.152459,2.53942,-1.86,0.108752,3.34039,-1.26031,-0.105896,0,1.76697,-1.86,0.579841,2.04049,-1.28698,0.681856,0,2.00359,-1.86,0.78718,2.43344,-1.34558,1.00658,0,2.56867,-1.86,0.607174,3.3396,-1.40013,0.703677,0,1.90537,-1.86,0.524821,2.27449,-1.34926,0.578673,0,1.96389,-1.86,0.181005,2.36816,-1.21736,0.00996456,0,2.52251,-1.86,0.47286,3.27866,-1.35544,0.497878,0,2.5701,-1.86,0.778183,3.33093,-1.41942,0.972738,0,2.56333,-1.86,0.319655,3.35645,-1.32804,0.251254,0,2.03095,-1.86,0.409288,2.47925,-1.36627,0.389319,0,2.19649,-1.86,0.769923,2.74919,-1.35207,0.976007,0,1.81078,-1.86,0.447395,2.10774,-1.23682,0.463816,0,2.32144,-1.86,0.499459,2.96591,-1.30337,0.543522,0,1.81342,-1.86,0.767193,2.13755,-1.45427,0.943082,0,2.12639,-1.86,0.257407,2.64451,-1.24721,0.144949,0,2.41698,-1.86,0.214896,3.13479,-1.25909,0.0719224,0,1.74752,-1.86,0.21725,1.99747,-1.20193,0.0707354,0,1.64136,-1.86,0.431875,1.81858,-1.23775,0.438981,0,2.24558,-1.86,0.404912,2.83606,-1.30808,0.388674,0,2.05875,-1.86,0.677456,2.52183,-1.31993,0.837447,0,2.13081,-1.86,0.544103,2.65635,-1.21355,0.631971,0,2.66953,-1.86,0.470803,3.52343,-1.33736,0.495002,0,
0.0666681,2.01365,-3.43173,0.262714,2.45035,-3.91526,0.152151,2.53942,-1.86,0.108752,3.3012,-1.34883,-0.105791,0,1.76697,-1.86,0.579841,2.0462,-1.39264,0.657177,0,2.00359,-1.86,0.78718,2.42279,-1.4578,0.96697,0,2.56867,-1.86,0.607174,3.29673,-1.48805,0.681369,0,1.90537,-1.86,0.524821,2.2723,-1.44087,0.559199,0,1.96389,-1.86,0.181005,2.36135,-1.32006,0.012809,0,2.52251,-1.86,0.47286,3.24176,-1.43988,0.480035,0,2.5701,-1.86,0.778183,3.27729,-1.53209,0.929583,0,2.56333,-1.86,0.319655,3.31674,-1.41195,0.24295,0,2.03095,-1.86,0.409288,2.46994,-1.45232,0.377317,0,2.19649,-1.86,0.769923,2.72381,-1.46537,0.93649,0,1.81078,-1.86,0.447395,2.11415,-1.42389,0.442217,0,2.32144,-1.86,0.499459,2.92852,-1.42262,0.525875,0,1.81342,-1.86,0.767193,2.14111,-1.57708,0.896076,0,2.12639,-1.86,0.257407,2.62739,-1.3477,0.142691,0,2.41698,-1.86,0.214896,3.08625,-1.39047,0.0738977,0,1.74752,-1.86,0.21725,2.00494,-1.32784,0.0731563,0,1.64136,-1.86,0.431875,1.8332,-1.34586,0.42394,0,2.24558,-1.86,0.404912,2.81212,-1.40496,0.377454,0,2.05875,-1.86,0.677456,2.50809,-1.43558,0.803656,0,2.13081,-1.86,0.544103,2.63337,-1.3413,0.605708,0,2.66953,-1.86,0.470803,3.47713,-1.423,0.484124,0,
0.100002,2.0419,-3.4298,0.263235,2.46577,-3.91483,0.151769,2.53942,-1.86,0.108752,3.28411,-1.39382,-0.10607,0,1.76697,-1.86,0.579841,2.05184,-1.45867,0.644107,0,2.00359,-1.86,0.78718,2.41947,-1.51894,0.944198,0,2.56867,-1.86,0.607174,3.27062,-1.54706,0.666108,0,1.90537,-1.86,0.524821,2.27156,-1.51367,0.548293,0,1.96389,-1.86,0.181005,2.35753,-1.40458,0.0157007,0,2.52251,-1.86,0.47286,3.2167,-1.5006,0.469548,0,2.5701,-1.86,0.778183,3.24957,-1.59646,0.90624,0,2.56333,-1.86,0.319655,3.29012,-1.47241,0.238286,0,2.03095,-1.86,0.409288,2.46128,-1.54491,0.368246,0,2.19649,-1.86,0.769923,2.71476,-1.51831,0.917897,0,1.81078,-1.86,0.447395,2.12108,-1.50401,0.432121,0,2.32144,-1.86,0.499459,2.90359,-1.51438,0.510303,0,1.81342,-1.86,0.767193,2.14555,-1.61793,0.881319,0,2.12639,-1.86,0.257407,2.61361,-1.43953,0.140546,0,2.41698,-1.86,0.214896,3.05847,-1.47539,0.074942,0,1.74752,-1.86,0.21725,2.01484,-1.4336,0.0760768,0,1.64136,-1.86,0.431875,1.844,-1.41192,0.417091,0,2.24558,-1.86,0.404912,2.79606,-1.47687,0.368518,0,2.05875,-1.86,0.677456,2.49972,-1.51985,0.779971,0,2.13081,-1.86,0.544103,2.62041,-1.43052,0.588378,0,2.66953,-1.86,0.470803,3.4467,-1.4825,0.477942,0,
0.133336,2.0419,-3.4298,0.263235,2.47794,-3.91443,0.151469,2.53942,-1.86,0.108752,3.25646,-1.44735,-0.101346,0,1.76697,-1.86,0.579841,2.05502,-1.54749,0.624937,0,2.00359,-1.86,0.78718,2.40957,-1.60269,0.915186,0,2.56867,-1.86,0.607174,3.23807,-1.6118,0.653164,0,1.90537,-1.86,0.524821,2.26776,-1.59355,0.533965,0,1.96389,-1.86,0.181005,2.35007,-1.50407,0.0196351,0,2.52251,-1.86,0.47286,3.18664,-1.5644,0.462641,0,2.5701,-1.86,0.778183,3.22002,-1.65524,0.887381,0,2.56333,-1.86,0.319655,3.25402,-1.54513,0.236006,0,2.03095,-1.86,0.409288,2.45046,-1.64244,0.359167,0,2.19649,-1.86,0.769923,2.69656,-1.58978,0.892837,0,1.81078,-1.86,0.447395,2.12191,-1.56871,0.423129,0,2.32144,-1.86,0.499459,2.87698,-1.60155,0.496285,0,1.81342,-1.86,0.767193,2.14455,-1.69261,0.857863,0,2.12639,-1.86,0.257407,2.59739,-1.53076,0.140371,0,2.41698,-1.86,0.214896,3.03069,-1.54906,0.0775081,0,1.74752,-1.86,0.21725,2.02338,-1.54946,0.0763745,0,1.64136,-1.86,0.431875,1.85067,-1.47738,0.409324,0,2.24558,-1.86,0.404912,2.7762,-1.55019,0.362265,0,2.05875,-1.86,0.677456,2.48701,-1.61382,0.753998,0,2.13081,-1.86,0.544103,2.60267,-1.52831,0.569797,0,2.66953,-1.86,0.470803,3.4183,-1.53236,0.474566,0,
0.16667,2.06938,-3.42798,0.263742,2.50477,-3.91367,0.150805,2.53942,-1.86,0.108752,3.23513,-1.51937,-0.0922831,0,1.76697,-1.86,0.579841,2.07264,-1.62295,0.610563,0,2.00359,-1.86,0.78718,2.41552,-1.68239,0.890371,0,2.56867,-1.86,0.607174,3.2256,-1.66477,0.643071,0,1.90537,-1.86,0.524821,2.27878,-1.68217,0.520936,0,1.96389,-1.86,0.181005,2.35852,-1.58564,0.0248374,0,2.52251,-1.86,0.47286,3.16191,-1.6504,0.452615,0,2.5701,-1.86,0.778183,3.20651,-1.70959,0.8703,0,2.56333,-1.86,0.319655,3.22366,-1.63998,0.236446,0,2.03095,-1.86,0.409288,2.45601,-1.7226,0.352507,0,2.19649,-1.86,0.769923,2.69309,-1.66405,0.870669,0,1.81078,-1.86,0.447395,2.13624,-1.63056,0.417492,0,2.32144,-1.86,0.499459,2.86691,-1.68096,0.484335,0,1.81342,-1.86,0.767193,2.16077,-1.78697,0.829698,0,2.12639,-1.86,0.257407,2.59655,-1.61693,0.142338,0,2.41698,-1.86,0.214896,3.02934,-1.58745,0.0795713,0,1.74752,-1.86,0.21725,2.04309,-1.62595,0.0802072,0,1.64136,-1.86,0.431875,1.87639,-1.57451,0.399941,0,2.24558,-1.86,0.404912,2.76981,-1.62826,0.356855,0,2.05875,-1.86,0.677456,2.4919,-1.68364,0.737174,0,2.13081,-1.86,0.544103,2.60269,-1.60836,0.558144,0,2.66953,-1.86,0.470803,3.38048,-1.62395,0.461242,0,
0.200004,2.07705,-3.42723,0.262904,2.52027,-3.91323,0.150422,2.53942,-1.86,0.108752,3.20965,-1.58272,-0.0873701,0,1.76697,-1.86,0.579841,2.07753,-1.66051,0.603914,0,2.00359,-1.86,0.78718,2.4149,-1.72032,0.877069,0,2.56867,-1.86,0.607174,3.2054,-1.71167,0.63058,0,1.90537,-1.86,0.524821,2.2808,-1.72787,0.511691,0,1.96389,-1.86,0.181005,2.35783,-1.64583,0.0281981,0,2.52251,-1.86,0.47286,3.15376,-1.67708,0.447469,0,2.5701,-1.86,0.778183,3.18546,-1.759,0.854074,0,2.56333,-1.86,0.319655,3.20783,-1.68259,0.23556,0,2.03095,-1.86,0.409288,2.45486,-1.76193,0.347689,0,2.19649,-1.86,0.769923,2.68547,-1.71164,0.854759,0,1.81078,-1.86,0.447395,2.1418,-1.71,0.407931,0,2.32144,-1.86,0.499459,2.8585,-1.71967,0.476236,0,1.81342,-1.86,0.767193,2.16568,-1.83396,0.814789,0,2.12639,-1.86,0.257407,2.58766,-1.69286,0.141166,0,2.41698,-1.86,0.214896,3.00603,-1.65651,0.0792102,0,1.74752,-1.86,0.21725,2.05053,-1.68718,0.0814943,0,1.64136,-1.86,0.431875,1.88791,-1.63203,0.3963,0,2.24558,-1.86,0.404912,2.75882,-1.68543,0.35182,0,2.05875,-1.86,0.677456,2.486,-1.75675,0.717782,0,2.13081,-1.86,0.544103,2.59109,-1.701,0.543329,0,2.66953,-1.86,0.470803,3.33982,-1.70857,0.446823,0,
0.233338,2.10135,-3.42536,0.262483,2.51548,-3.9134,0.150539,2.53942,-1.86,0.108752,3.17224,-1.62743,-0.0774074,0,1.76697,-1.86,0.579841,2.06271,-1.72569,0.593222,0,2.00359,-1.86,0.78718,2.39082,-1.78594,0.859369,0,2.56867,-1.86,0.607174,3.16059,-1.77198,0.623665,0,1.90537,-1.86,0.524821,2.2618,-1.80847,0.503766,0,1.96389,-1.86,0.181005,2.33703,-1.69651,0.0346871,0,2.52251,-1.86,0.47286,3.10392,-1.75127,0.44354,0,2.5701,-1.86,0.778183,3.149,-1.8004,0.845277,0,2.56333,-1.86,0.319655,3.15477,-1.76074,0.236327,0,2.03095,-1.86,0.409288,2.43236,-1.79999,0.347869,0,2.19649,-1.86,0.769923,2.65306,-1.78361,0.837319,0,1.81078,-1.86,0.447395,2.12716,-1.77091,0.403848,0,2.32144,-1.86,0.499459,2.82289,-1.78404,0.475071,0,1.81342,-1.86,0.767193,2.14901,-1.88431,0.801568,0,2.12639,-1.86,0.257407,2.56363,-1.7345,0.145035,0,2.41698,-1.86,0.214896,2.9712,-1.70616,0.085936,0,1.74752,-1.86,0.21725,2.0365,-1.73749,0.0863859,0,1.64136,-1.86,0.431875,1.87664,-1.68346,0.39227,0,2.24558,-1.86,0.404912,2.72505,-1.75517,0.350129,0,2.05875,-1.86,0.677456,2.46099,-1.83099,0.702892,0,2.13081,-1.86,0.544103,2.56408,-1.76702,0.534683,0,2.66953,-1.86,0.470803,3.29451,-1.76614,0.44675,0,
0.266672,2.10135,-3.42536,0.262483,2.54266,-3.91263,0.149866,2.53942,-1.86,0.108752,3.16637,-1.67291,-0.0730195,0,1.76697,-1.86,0.579841,2.08138,-1.77624,0.581971,0,2.00359,-1.86,0.78718,2.40275,-1.82365,0.845708,0,2.56867,-1.86,0.607174,3.1554,-1.8166,0.614285,0,1.90537,-1.86,0.524821,2.2768,-1.84565,0.497222,0,1.96389,-1.86,0.181005,2.3496,-1.7327,0.0371365,0,2.52251,-1.86,0.47286,3.09845,-1.80178,0.437206,0,2.5701,-1.86,0.778183,3.14503,-1.8416,0.834197,0,2.56333,-1.86,0.319655,3.14683,-1.81393,0.231241,0,2.03095,-1.86,0.409288,2.44255,-1.84021,0.342794,0,2.19649,-1.86,0.769923,2.66028,-1.82211,0.823802,0,1.81078,-1.86,0.447395,2.14643,-1.84431,0.392077,0,2.32144,-1.86,0.499459,2.8272,-1.82166,0.469803,0,1.81342,-1.86,0.767193,2.16632,-1.94136,0.781759,0,2.12639,-1.86,0.257407,2.57171,-1.77302,0.144912,0,2.41698,-1.86,0.214896,2.96833,-1.75606,0.0872211,0,1.74752,-1.86,0.21725,2.05251,-1.75596,0.0841677,0,1.64136,-1.86,0.431875,1.89779,-1.72879,0.387219,0,2.24558,-1.86,0.404912,2.73089,-1.79484,0.345427,0,2.05875,-1.86,0.677456,2.47245,-1.86467,0.692293,0,2.13081,-1.86,0.544103,2.57637,-1.78421,0.530978,0,2.66953,-1.86,0.470803,3.28755,-1.80795,0.441487,0,
0.300006,2.12955,-3.42331,0.262993,2.55783,-3.9122,0.149491,2.53942,-1.86,0.108752,3.14529,-1.73001,-0.0742007,0,1.76697,-1.86,0.579841,2.08595,-1.80731,0.573442,0,2.00359,-1.86,0.78718,2.40216,-1.85726,0.830081,0,2.56867,-1.86,0.607174,3.13933,-1.85706,0.599508,0,1.90537,-1.86,0.524821,2.27962,-1.89705,0.480782,0,1.96389,-1.86,0.181005,2.35012,-1.76371,0.0333821,0,2.52251,-1.86,0.47286,3.08169,-1.85031,0.422501,0,2.5701,-1.86,0.778183,3.13464,-1.86739,0.819823,0,2.56333,-1.86,0.319655,3.13058,-1.85844,0.224459,0,2.03095,-1.86,0.409288,2.44027,-1.897,0.333911,0,2.19649,-1.86,0.769923,2.65563,-1.85424,0.809025,0,1.81078,-1.86,0.447395,2.15211,-1.88903,0.385931,0,2.32144,-1.86,0.499459,2.81537,-1.87205,0.456293,0,1.81342,-1.86,0.767193,2.17028,-1.96183,0.770891,0,2.12639,-1.86,0.257407,2.56916,-1.80266,0.141239,0,2.41698,-1.86,0.214896,2.95591,-1.80095,0.0833278,0,1.74752,-1.86,0.21725,2.05642,-1.78625,0.0805503,0,1.64136,-1.86,0.431875,1.91225,-1.79871,0.372349,0,2.24558,-1.86,0.404912,2.7262,-1.82379,0.339044,0,2.05875,-1.86,0.677456,2.47229,-1.88025,0.686391,0,2.13081,-1.86,0.544103,2.57077,-1.83015,0.516678,0,2.66953,-1.86,0.470803,3.27503,-1.83971,0.42646,0,
