time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,
0,7.48602,-2.15736,0.155026,8.09571,-2.9315,0.0345565,6.16,-1.18266,0.714521,5.80361,-1.24667,1.00168,0,6.16,-1.47426,0.0372081,5.65145,-1.67233,-0.182619,0,6.16,-1.7939,0.590212,5.43339,-2.20176,0.908303,0,6.16,-1.30885,0.193564,5.56129,-1.30975,0.108215,0,6.16,-0.879639,0.324824,5.86458,-0.781631,0.320255,0,6.16,-1.61413,0.503994,5.49762,-1.86713,0.718296,0,6.16,-1.35228,0.623271,5.66876,-1.458,0.891563,0,6.16,-1.65103,0.650275,5.45236,-1.92215,1.02181,0,6.16,-1.15856,0.279714,5.75315,-1.16701,0.254832,0,6.16,-1.2836,0.47686,5.65787,-1.32511,0.626237,0,6.16,-1.6068,0.399493,5.48419,-1.84721,0.51602,0,6.16,-1.51686,0.230147,5.58353,-1.71805,0.176875,0,6.16,-1.789,0.472113,5.38341,-2.17804,0.68314,0,6.16,-1.74932,0.285335,5.37551,-2.09443,0.301874,0,6.16,-1.77611,0.166165,5.34503,-2.14064,0.0576617,0,6.16,-1.53672,0.633466,5.64183,-1.78296,0.91994,0,6.16,-1.66615,0.171238,5.60221,-2.00781,0.0650424,0,6.16,-1.17755,0.0968337,5.69735,-1.15931,-0.0706961,0,6.16,-1.773,0.0531259,5.35364,-2.13669,-0.176163,0,6.16,-1.71794,0.392442,5.3312,-2.01538,0.529525,0,6.16,-1.55902,0.11613,5.59044,-1.80105,-0.0389303,0,6.16,-1.65728,0.0428167,5.4323,-1.92705,-0.190825,0,6.16,-1.29259,0.331796,5.72561,-1.38583,0.350511,0,
0.0333341,7.49521,-2.13328,0.155012,8.10162,-2.91789,0.0347716,6.16,-1.18266,0.714521,5.86777,-1.30219,0.978433,0,6.16,-1.47426,0.0372081,5.77913,-1.7487,-0.168239,0,6.16,-1.7939,0.590212,5.56394,-2.24923,0.864706,0,6.16,-1.30885,0.193564,5.64632,-1.37493,0.108169,0,6.16,-0.879639,0.324824,5.90266,-0.825725,0.319766,0,6.16,-1.61413,0.503994,5.60822,-1.92222,0.687762,0,6.16,-1.35228,0.623271,5.76945,-1.53095,0.859275,0,6.16,-1.65103,0.650275,5.56696,-1.97743,0.978416,0,6.16,-1.15856,0.279714,5.81587,-1.22148,0.253021,0,6.16,-1.2836,0.47686,5.74166,-1.39163,0.606801,0,6.16,-1.6068,0.399493,5.61674,-1.91502,0.493354,0,6.16,-1.51686,0.230147,5.70712,-1.78702,0.170963,0,6.16,-1.789,0.472113,5.52286,-2.22851,0.651782,0,6.16,-1.74932,0.285335,5.51798,-2.14931,0.287845,0,6.16,-1.77611,0.166165,5.4602,-2.18298,0.0565436,0,6.16,-1.53672,0.633466,5.75779,-1.84892,0.878234,0,6.16,-1.66615,0.171238,5.68124,-2.04143,0.0636139,0,6.16,-1.17755,0.0968337,5.76537,-1.21897,-0.0656227,0,6.16,-1.773,0.0531259,5.48218,-2.18366,-0.161848,0,6.16,-1.71794,0.392442,5.48089,-2.0791,0.505318,0,6.16,-1.55902,0.11613,5.6947,-1.85583,-0.0349329,0,6.16,-1.65728,0.0428167,5.54812,-1.98032,-0.178871,0,6.16,-1.29259,0.331796,5.82407,-1.4588,0.339807,0,
0.0666681,7.49824,-2.12429,0.154734,8.10607,-2.90726,0.034944,6.16,-1.18266,0.714521,5.92694,-1.35467,0.949444,0,6.16,-1.47426,0.0372081,5.9145,-1.82971,-0.160514,0,6.16,-1.7939,0.590212,5.68617,-2.29204,0.819199,0,6.16,-1.30885,0.193564,5.7453,-1.44957,0.0997358,0,6.16,-0.879639,0.324824,5.96557,-0.90028,0.30853,0,6.16,-1.61413,0.503994,5.72192,-1.97874,0.653329,0,6.16,-1.35228,0.623271,5.85334,-1.59088,0.82255,0,6.16,-1.65103,0.650275,5.67988,-2.03061,0.931079,0,6.16,-1.15856,0.279714,5.88848,-1.28665,0.242875,0,6.16,-1.2836,0.47686,5.83008,-1.46047,0.582331,0,6.16,-1.6068,0.399493,5.75145,-1.9817,0.465013,0,6.16,-1.51686,0.230147,5.81387,-1.84749,0.163328,0,6.16,-1.789,0.472113,5.65354,-2.27428,0.614404,0,6.16,-1.74932,0.285335,5.6564,-2.20189,0.272284,0,6.16,-1.77611,0.166165,5.58917,-2.2303,0.0534544,0,6.16,-1.53672,0.633466,5.85324,-1.90207,0.839847,0,6.16,-1.66615,0.171238,5.79396,-2.09376,0.0598333,0,6.16,-1.17755,0.0968337,5.84066,-1.2847,-0.0653356,0,6.16,-1.773,0.0531259,5.62499,-2.2361,-0.153617,0,6.16,-1.71794,0.392442,5.62175,-2.13612,0.475824,0,6.16,-1.55902,0.11613,5.82329,-1.92517,-0.0349068,0,6.16,-1.65728,0.0428167,5.68627,-2.04373,-0.171602,0,6.16,-1.29259,0.331796,5.92604,-1.5364,0.322646,0,
0.100002,7.50683,-2.10039,0.154703,8.10956,-2.89866,0.035086,6.16,-1.18266,0.714521,6.02887,-1.43927,0.905528,0,6.16,-1.47426,0.0372081,6.05513,-1.90857,-0.149431,0,6.16,-1.7939,0.590212,5.84921,-2.34477,0.763025,0,6.16,-1.30885,0.193564,5.87455,-1.54056,0.09551,0,6.16,-0.879639,0.324824,6.03949,-0.977136,0.295518,0,6.16,-1.61413,0.503994,5.87952,-2.05195,0.611574,0,6.16,-1.35228,0.623271,5.98005,-1.67703,0.775966,0,6.16,-1.65103,0.650275,5.83811,-2.09999,0.869516,0,6.16,-1.15856,0.279714,6.00344,-1.38268,0.23071,0,6.16,-1.2836,0.47686,5.95661,-1.55277,0.551867,0,6.16,-1.6068,0.399493,5.91125,-2.05547,0.434021,0,6.16,-1.51686,0.230147,5.95735,-1.92467,0.153892,0,6.16,-1.789,0.472113,5.82445,-2.32981,0.572815,0,6.16,-1.74932,0.285335,5.8349,-2.26462,0.251797,0,6.16,-1.77611,0.166165,5.75442,-2.28535,0.0503729,0,6.16,-1.53672,0.633466,5.99045,-1.97472,0.787409,0,6.16,-1.66615,0.171238,5.95015,-2.15949,0.0563458,0,6.16,-1.17755,0.0968337,5.94405,-1.36885,-0.0617824,0,6.16,-1.773,0.0531259,5.78717,-2.29007,-0.141253,0,6.16,-1.71794,0.392442,5.80249,-2.20407,0.440944,0,6.16,-1.55902,0.11613,5.94136,-1.98342,-0.0318631,0,6.16,-1.65728,0.0428167,5.85353,-2.11446,-0.158726,0,6.16,-1.29259,0.331796,6.04429,-1.62061,0.304837,0,
0.133336,7.50683,-2.10039,0.154703,8.11919,-2.87473,0.0354839,6.16,-1.18266,0.714521,6.10853,-1.51177,0.868022,0,6.16,-1.47426,0.0372081,6.18881,-1.98669,-0.136305,0,6.16,-1.7939,0.590212,5.98082,-2.3896,0.719246,0,6.16,-1.30885,0.193564,5.98278,-1.62338,0.0915483,0,6.16,-0.879639,0.324824,6.11463,-1.07134,0.287577,0,6.16,-1.61413,0.503994,5.99375,-2.10751,0.578069,0,6.16,-1.35228,0.623271,6.07827,-1.74814,0.739298,0,6.16,-1.65103,0.650275,5.95934,-2.15602,0.82253,0,6.16,-1.15856,0.279714,6.08402,-1.45661,0.22227,0,6.16,-1.2836,0.47686,6.06223,-1.63557,0.523628,0,6.16,-1.6068,0.399493,6.03163,-2.11392,0.410722,0,6.16,-1.51686,0.230147,6.07364,-1.99002,0.145431,0,6.16,-1.789,0.472113,5.96377,-2.37732,0.537978,0,6.16,-1.74932,0.285335,5.97059,-2.31477,0.239124,0,6.16,-1.77611,0.166165,5.88841,-2.33324,0.0484278,0,6.16,-1.53672,0.633466,6.09859,-2.03436,0.747175,0,6.16,-1.66615,0.171238,6.07798,-2.21499,0.0556322,0,6.16,-1.17755,0.0968337,6.04763,-1.46156,-0.0586091,0,6.16,-1.773,0.0531259,5.93101,-2.34109,-0.132962,0,6.16,-1.71794,0.392442,5.94418,-2.26011,0.414799,0,6.16,-1.55902,0.11613,6.06551,-2.04969,-0.0286983,0,6.16,-1.65728,0.0428167,5.99424,-2.17686,-0.146465,0,6.16,-1.29259,0.331796,6.14782,-1.69991,0.290158,0,
0.16667,7.50988,-2.09107,0.15442,8.12274,-2.86563,0.0356379,6.16,-1.18266,0.714521,6.17805,-1.56724,0.839367,0,6.16,-1.47426,0.0372081,6.29122,-2.04221,-0.125615,0,6.16,-1.7939,0.590212,6.0918,-2.42365,0.683685,0,6.16,-1.30885,0.193564,6.07591,-1.68704,0.0912515,0,6.16,-0.879639,0.324824,6.17682,-1.13498,0.282049,0,6.16,-1.61413,0.503994,6.10925,-2.15932,0.550867,0,6.16,-1.35228,0.623271,6.15128,-1.79555,0.71531,0,6.16,-1.65103,0.650275,6.07053,-2.20283,0.78195,0,6.16,-1.15856,0.279714,6.15684,-1.51569,0.217251,0,6.16,-1.2836,0.47686,6.14739,-1.6954,0.503594,0,6.16,-1.6068,0.399493,6.14613,-2.1653,0.390889,0,6.16,-1.51686,0.230147,6.17041,-2.0402,0.141765,0,6.16,-1.789,0.472113,6.07674,-2.41199,0.512482,0,6.16,-1.74932,0.285335,6.08856,-2.35446,0.228144,0,6.16,-1.77611,0.166165,6.01954,-2.37509,0.0498138,0,6.16,-1.53672,0.633466,6.18787,-2.07967,0.716769,0,6.16,-1.66615,0.171238,6.18874,-2.25948,0.0551208,0,6.16,-1.17755,0.0968337,6.12437,-1.52173,-0.0534906,0,6.16,-1.773,0.0531259,6.05418,-2.38032,-0.121744,0,6.16,-1.71794,0.392442,6.06054,-2.30188,0.39451,0,6.16,-1.55902,0.11613,6.15614,-2.09338,-0.0239056,0,6.16,-1.65728,0.0428167,6.10181,-2.22037,-0.135542,0,6.16,-1.29259,0.331796,6.23227,-1.75857,0.279624,0,
0.200004,7.51828,-2.06676,0.154372,8.13213,-2.84147,0.0360479,6.16,-1.18266,0.714521,6.21843,-1.60157,0.822803,0,6.16,-1.47426,0.0372081,6.35807,-2.07688,-0.118213,0,6.16,-1.7939,0.590212,6.15932,-2.44321,0.662233,0,6.16,-1.30885,0.193564,6.13046,-1.72593,0.0896906,0,6.16,-0.879639,0.324824,6.21024,-1.17581,0.278592,0,6.16,-1.61413,0.503994,6.17748,-2.1886,0.533704,0,6.16,-1.35228,0.623271,6.17403,-1.80952,0.710543,0,6.16,-1.65103,0.650275,6.14193,-2.23209,0.756072,0,6.16,-1.15856,0.279714,6.19659,-1.55024,0.214815,0,6.16,-1.2836,0.47686,6.22699,-1.75344,0.482652,0,6.16,-1.6068,0.399493,6.20121,-2.18838,0.380517,0,6.16,-1.51686,0.230147,6.21788,-2.06376,0.140137,0,6.16,-1.789,0.472113,6.15192,-2.43413,0.494085,0,6.16,-1.74932,0.285335,6.17705,-2.38302,0.219533,0,6.16,-1.77611,0.166165,6.11253,-2.40353,0.049031,0,6.16,-1.53672,0.633466,6.24883,-2.11005,0.694014,0,6.16,-1.66615,0.171238,6.24788,-2.28135,0.0544473,0,6.16,-1.17755,0.0968337,6.1825,-1.57091,-0.051505,0,6.16,-1.773,0.0531259,6.12038,-2.40011,-0.115987,0,6.16,-1.71794,0.392442,6.13493,-2.32781,0.382312,0,6.16,-1.55902,0.11613,6.20325,-2.11541,-0.022999,0,6.16,-1.65728,0.0428167,6.17291,-2.24844,-0.129513,0,6.16,-1.29259,0.331796,6.2569,-1.77469,0.277998,0,
0.233338,7.52122,-2.05713,0.154086,8.13737,-2.82749,0.0362905,6.16,-1.18266,0.714521,6.2683,-1.64108,0.803789,0,6.16,-1.47426,0.0372081,6.42076,-2.10913,-0.11001,0,6.16,-1.7939,0.590212,6.23744,-2.46595,0.637012,0,6.16,-1.30885,0.193564,6.19235,-1.76768,0.0902129,0,6.16,-0.879639,0.324824,6.25334,-1.22106,0.276311,0,6.16,-1.61413,0.503994,6.24373,-2.21675,0.516764,0,6.16,-1.35228,0.623271,6.22661,-1.84509,0.694618,0,6.16,-1.65103,0.650275,6.21527,-2.26139,0.730117,0,6.16,-1.15856,0.279714,6.24973,-1.59335,0.211684,0,6.16,-1.2836,0.47686,6.29559,-1.79948,0.468228,0,6.16,-1.6068,0.399493,6.27598,-2.22082,0.368643,0,6.16,-1.51686,0.230147,6.28176,-2.09624,0.138466,0,6.16,-1.789,0.472113,6.22949,-2.45653,0.476748,0,6.16,-1.74932,0.285335,6.2554,-2.40724,0.213145,0,6.16,-1.77611,0.166165,6.21517,-2.43318,0.0529789,0,6.16,-1.53672,0.633466,6.30493,-2.13713,0.675715,0,6.16,-1.66615,0.171238,6.32079,-2.30938,0.0549704,0,6.16,-1.17755,0.0968337,6.23806,-1.61406,-0.0474003,0,6.16,-1.773,0.0531259,6.18568,-2.41991,-0.109925,0,6.16,-1.71794,0.392442,6.22904,-2.36003,0.36689,0,6.16,-1.55902,0.11613,6.27063,-2.14764,-0.0194641,0,6.16,-1.65728,0.0428167,6.21749,-2.26498,-0.123685,0,6.16,-1.29259,0.331796,6.31396,-1.81514,0.273337,0,
0.266672,7.52939,-2.03206,0.154038,8.1357,-2.83186,0.0362153,6.16,-1.18266,0.714521,6.31337,-1.67243,0.785839,0,6.16,-1.47426,0.0372081,6.49678,-2.14999,-0.105896,0,6.16,-1.7939,0.590212,6.28691,-2.47979,0.620407,0,6.16,-1.30885,0.193564,6.25074,-1.80352,0.0887909,0,6.16,-0.879639,0.324824,6.29982,-1.26045,0.271162,0,6.16,-1.61413,0.503994,6.29232,-2.23686,0.503291,0,6.16,-1.35228,0.623271,6.27543,-1.87415,0.677805,0,6.16,-1.65103,0.650275,6.26189,-2.279,0.712447,0,6.16,-1.15856,0.279714,6.29753,-1.62688,0.206689,0,6.16,-1.2836,0.47686,6.35346,-1.83653,0.453121,0,6.16,-1.6068,0.399493,6.32243,-2.24004,0.360156,0,6.16,-1.51686,0.230147,6.33186,-2.12073,0.134973,0,6.16,-1.789,0.472113,6.28143,-2.47121,0.46329,0,6.16,-1.74932,0.285335,6.29434,-2.41908,0.209806,0,6.16,-1.77611,0.166165,6.29453,-2.45559,0.0554575,0,6.16,-1.53672,0.633466,6.34591,-2.15676,0.661857,0,6.16,-1.66615,0.171238,6.37478,-2.33039,0.0543401,0,6.16,-1.17755,0.0968337,6.29993,-1.65815,-0.0465317,0,6.16,-1.773,0.0531259,6.25008,-2.43937,-0.103815,0,6.16,-1.71794,0.392442,6.27364,-2.374,0.358153,0,6.16,-1.55902,0.11613,6.3191,-2.16972,-0.0175669,0,6.16,-1.65728,0.0428167,6.27436,-2.28791,-0.118699,0,6.16,-1.29259,0.331796,6.35557,-1.84119,0.267045,0,
0.300007,7.52939,-2.03206,0.154038,8.1449,-2.80702,0.0366488,6.16,-1.18266,0.714521,6.33684,-1.69097,0.778362,0,6.16,-1.47426,0.0372081,6.52466,-2.1604,-0.0997191,0,6.16,-1.7939,0.590212,6.32231,-2.48807,0.612684,0,6.16,-1.30885,0.193564,6.27457,-1.81779,0.0936398,0,6.16,-0.879639,0.324824,6.30117,-1.26181,0.274643,0,6.16,-1.61413,0.503994,6.33389,-2.25257,0.497881,0,6.16,-1.35228,0.623271,6.30856,-1.89434,0.670532,0,6.16,-1.65103,0.650275,6.30717,-2.29583,0.699772,0,6.16,-1.15856,0.279714,6.31457,-1.6397,0.210297,0,6.16,-1.2836,0.47686,6.38281,-1.85497,0.450384,0,6.16,-1.6068,0.399493,6.34102,-2.24575,0.359167,0,6.16,-1.51686,0.230147,6.35694,-2.13107,0.137215,0,6.16,-1.789,0.472113,6.31729,-2.47936,0.45972,0,6.16,-1.74932,0.285335,6.31744,-2.42454,0.21011,0,6.16,-1.77611,0.166165,6.31992,-2.46002,0.0558288,0,6.16,-1.53672,0.633466,6.3757,-2.16954,0.65467,0,6.16,-1.66615,0.171238,6.40423,-2.33874,0.0572373,0,6.16,-1.17755,0.0968337,6.31298,-1.66685,-0.0411831,0,6.16,-1.773,0.0531259,6.27378,-2.44395,-0.100642,0,6.16,-1.71794,0.392442,6.30055,-2.38144,0.356421,0,6.16,-1.55902,0.11613,6.34036,-2.17725,-0.0132642,0,6.16,-1.65728,0.0428167,6.29888,-2.2951,-0.114033,0,6.16,-1.29259,0.331796,6.37563,-1.85326,0.269306,0,
