time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,
0,7.27674,2.49303,0.19646,7.30285,2.48696,0.238483,6.16,1.83257,0.46298,4.91525,1.0749,0.808303,0,6.16,1.67184,0.437002,5.00891,0.800123,0.732589,0,5.6418,1.86,0.27566,4.47763,1.39307,0.375341,0,6.16,1.73671,0.266843,4.96041,0.900538,0.386115,0,6.16,1.46746,0.0311799,5.17605,0.533804,-0.0762871,0,6.16,1.48196,0.330123,5.11189,0.503324,0.50072,0,6.16,1.4628,0.458685,5.17109,0.520356,0.739045,0,6.16,1.69477,0.156175,4.99566,0.837762,0.155254,0,5.64386,1.86,0.441315,4.54146,1.41644,0.652558,0,6.16,1.59841,0.3387,5.0981,0.720732,0.519303,0,5.85808,1.86,0.656363,4.68789,1.32012,1.0862,0,6.16,1.5674,0.221162,5.07417,0.639689,0.28778,0,5.08066,1.86,0.693324,4.26114,1.61017,0.92667,0,6.16,1.41098,0.237775,5.16935,0.41975,0.317413,0,5.46915,1.86,0.784817,4.55778,1.52562,1.13198,0,5.89288,1.86,0.190923,4.68712,1.29043,0.228017,0,6.09174,1.86,0.572091,4.86679,1.18562,1.01068,0,5.16544,1.86,0.26438,4.3129,1.59049,0.334668,0,4.64547,1.86,0.500015,4.22092,1.74551,0.594028,0,5.64736,1.86,0.593312,4.62795,1.44774,0.889981,0,4.92936,1.86,0.0105031,4.23656,1.66006,-0.0044253,0,
0.0333341,7.2656,2.51659,0.19662,7.2968,2.49986,0.239103,6.16,1.83257,0.46298,5.09974,1.16634,0.767533,0,6.16,1.67184,0.437002,5.17898,0.907025,0.698249,0,5.6418,1.86,0.27566,4.61081,1.4314,0.370209,0,6.16,1.73671,0.266843,5.15902,1.01644,0.375994,0,6.16,1.46746,0.0311799,5.32378,0.650003,-0.0551801,0,6.16,1.48196,0.330123,5.23864,0.601635,0.488363,0,6.16,1.4628,0.458685,5.2782,0.604414,0.717081,0,6.16,1.69477,0.156175,5.17446,0.948258,0.163732,0,5.64386,1.86,0.441315,4.68791,1.45905,0.633387,0,6.16,1.59841,0.3387,5.2617,0.833582,0.500977,0,5.85808,1.86,0.656363,4.80646,1.3608,1.05047,0,6.16,1.5674,0.221162,5.2399,0.757583,0.285411,0,5.08066,1.86,0.693324,4.3342,1.61882,0.914598,0,6.16,1.41098,0.237775,5.29245,0.521314,0.314282,0,5.46915,1.86,0.784817,4.63709,1.54534,1.1096,0,5.89288,1.86,0.190923,4.86215,1.35573,0.229091,0,6.09174,1.86,0.572091,5.00288,1.24573,0.972452,0,5.16544,1.86,0.26438,4.40496,1.60769,0.334645,0,4.64547,1.86,0.500015,4.24934,1.74902,0.591854,0,5.64736,1.86,0.593312,4.72162,1.47571,0.864393,0,4.92936,1.86,0.0105031,4.30685,1.66936,0.00335354,0,
0.0666682,7.2656,2.51659,0.19662,7.29203,2.51039,0.239606,6.16,1.83257,0.46298,5.26602,1.25709,0.728573,0,6.16,1.67184,0.437002,5.32944,1.00973,0.666971,0,5.6418,1.86,0.27566,4.70917,1.46717,0.366616,0,6.16,1.73671,0.266843,5.31092,1.11301,0.366992,0,6.16,1.46746,0.0311799,5.42888,0.741264,-0.0389902,0,6.16,1.48196,0.330123,5.35301,0.697703,0.475154,0,6.16,1.4628,0.458685,5.39416,0.702307,0.690498,0,6.16,1.69477,0.156175,5.32547,1.04896,0.169044,0,5.64386,1.86,0.441315,4.766,1.4896,0.623181,0,6.16,1.59841,0.3387,5.38246,0.924811,0.488272,0,5.85808,1.86,0.656363,4.87972,1.39277,1.02835,0,6.16,1.5674,0.221162,5.36187,0.852938,0.283899,0,5.08066,1.86,0.693324,4.39655,1.63619,0.900657,0,6.16,1.41098,0.237775,5.4026,0.620463,0.310687,0,5.46915,1.86,0.784817,4.72194,1.57138,1.08259,0,5.89288,1.86,0.190923,4.99538,1.41227,0.230313,0,6.09174,1.86,0.572091,5.13292,1.30867,0.932775,0,5.16544,1.86,0.26438,4.48401,1.62981,0.332812,0,4.64547,1.86,0.500015,4.28152,1.75903,0.59163,0,5.64736,1.86,0.593312,4.78286,1.49959,0.850085,0,4.92936,1.86,0.0105031,4.34303,1.68256,0.00595355,0,
0.100002,7.25427,2.53927,0.196731,7.28567,2.5233,0.240235,6.16,1.83257,0.46298,5.42054,1.33919,0.694858,0,6.16,1.67184,0.437002,5.47345,1.10498,0.639659,0,5.6418,1.86,0.27566,4.81373,1.49887,0.363869,0,6.16,1.73671,0.266843,5.45064,1.19835,0.36095,0,6.16,1.46746,0.0311799,5.52252,0.817708,-0.0214169,0,6.16,1.48196,0.330123,5.46707,0.788821,0.464972,0,6.16,1.4628,0.458685,5.504,0.791726,0.66897,0,6.16,1.69477,0.156175,5.46482,1.13885,0.176861,0,5.64386,1.86,0.441315,4.85184,1.51521,0.613567,0,6.16,1.59841,0.3387,5.4913,1.0027,0.478073,0,5.85808,1.86,0.656363,4.94389,1.41545,1.01099,0,6.16,1.5674,0.221162,5.47583,0.937117,0.28351,0,5.08066,1.86,0.693324,4.45499,1.64734,0.891822,0,6.16,1.41098,0.237775,5.50872,0.711289,0.310519,0,5.46915,1.86,0.784817,4.77583,1.58643,1.06958,0,5.89288,1.86,0.190923,5.12073,1.46148,0.235507,0,6.09174,1.86,0.572091,5.23921,1.3583,0.9053,0,5.16544,1.86,0.26438,4.56364,1.64648,0.33404,0,4.64547,1.86,0.500015,4.3237,1.76325,0.586471,0,5.64736,1.86,0.593312,4.8666,1.52354,0.833896,0,4.92936,1.86,0.0105031,4.39676,1.69031,0.013948,0,
0.133336,7.24924,2.54798,0.196358,7.28105,2.53304,0.240705,6.16,1.83257,0.46298,5.5171,1.39688,0.669757,0,6.16,1.67184,0.437002,5.55728,1.16762,0.619537,0,5.6418,1.86,0.27566,4.88074,1.52662,0.35838,0,6.16,1.73671,0.266843,5.54081,1.25993,0.353548,0,6.16,1.46746,0.0311799,5.58655,0.876845,-0.0126492,0,6.16,1.48196,0.330123,5.53417,0.850766,0.455286,0,6.16,1.4628,0.458685,5.56017,0.845779,0.654638,0,6.16,1.69477,0.156175,5.55621,1.20445,0.17877,0,5.64386,1.86,0.441315,4.90364,1.53772,0.603202,0,6.16,1.59841,0.3387,5.57242,1.06741,0.463818,0,5.85808,1.86,0.656363,4.98685,1.43672,0.994135,0,6.16,1.5674,0.221162,5.54797,0.997729,0.280481,0,5.08066,1.86,0.693324,4.47224,1.65936,0.883646,0,6.16,1.41098,0.237775,5.5713,0.773198,0.307058,0,5.46915,1.86,0.784817,4.79653,1.59877,1.05987,0,5.89288,1.86,0.190923,5.19857,1.49841,0.231452,0,6.09174,1.86,0.572091,5.31724,1.39964,0.877877,0,5.16544,1.86,0.26438,4.58758,1.66025,0.331234,0,4.64547,1.86,0.500015,4.33381,1.77378,0.584399,0,5.64736,1.86,0.593312,4.92976,1.54885,0.816326,0,4.92936,1.86,0.0105031,4.4385,1.70453,0.015867,0,
0.16667,7.24924,2.54798,0.196358,7.27653,2.54186,0.241139,6.16,1.83257,0.46298,5.61792,1.45577,0.64479,0,6.16,1.67184,0.437002,5.62638,1.21903,0.604172,0,5.6418,1.86,0.27566,4.95353,1.55493,0.353782,0,6.16,1.73671,0.266843,5.6306,1.32032,0.346844,0,6.16,1.46746,0.0311799,5.63977,0.926671,-0.00438273,0,6.16,1.48196,0.330123,5.60348,0.913012,0.445376,0,6.16,1.4628,0.458685,5.62325,0.903295,0.638052,0,6.16,1.69477,0.156175,5.64014,1.26432,0.181676,0,5.64386,1.86,0.441315,4.95866,1.55996,0.594907,0,6.16,1.59841,0.3387,5.64238,1.12369,0.4545,0,5.85808,1.86,0.656363,5.04707,1.46293,0.974439,0,6.16,1.5674,0.221162,5.6207,1.05764,0.277798,0,5.08066,1.86,0.693324,4.47729,1.66853,0.885029,0,6.16,1.41098,0.237775,5.62493,0.826116,0.304795,0,5.46915,1.86,0.784817,4.84293,1.61488,1.04301,0,5.89288,1.86,0.190923,5.28618,1.53765,0.232474,0,6.09174,1.86,0.572091,5.39558,1.44082,0.85334,0,5.16544,1.86,0.26438,4.62582,1.67367,0.329132,0,4.64547,1.86,0.500015,4.35011,1.78266,0.581605,0,5.64736,1.86,0.593312,5.02752,1.58403,0.794448,0,4.92936,1.86,0.0105031,4.476,1.71793,0.0187042,0,
0.200004,7.23715,2.57066,0.196437,7.26475,2.56455,0.242259,6.16,1.83257,0.46298,5.69685,1.49192,0.625798,0,6.16,1.67184,0.437002,5.68163,1.24627,0.592003,0,5.6418,1.86,0.27566,5.01042,1.55966,0.352549,0,6.16,1.73671,0.266843,5.7104,1.36191,0.34056,0,6.16,1.46746,0.0311799,5.69693,0.959662,0.000819892,0,6.16,1.48196,0.330123,5.67014,0.953927,0.435674,0,6.16,1.4628,0.458685,5.67962,0.935855,0.628092,0,6.16,1.69477,0.156175,5.71482,1.30486,0.18006,0,5.64386,1.86,0.441315,5.01627,1.56433,0.583405,0,6.16,1.59841,0.3387,5.70047,1.15512,0.447634,0,5.85808,1.86,0.656363,5.10151,1.46948,0.957251,0,6.16,1.5674,0.221162,5.67767,1.0889,0.27559,0,5.08066,1.86,0.693324,4.48838,1.6517,0.879993,0,6.16,1.41098,0.237775,5.66691,0.847631,0.305864,0,5.46915,1.86,0.784817,4.85723,1.60545,1.03928,0,5.89288,1.86,0.190923,5.38975,1.56958,0.23237,0,6.09174,1.86,0.572091,5.4644,1.46343,0.831966,0,5.16544,1.86,0.26438,4.69325,1.67052,0.325794,0,4.64547,1.86,0.500015,4.36291,1.76524,0.579666,0,5.64736,1.86,0.593312,5.07991,1.58929,0.779615,0,4.92936,1.86,0.0105031,4.50751,1.70595,0.0173964,0,
0.233338,7.22507,2.59218,0.19651,7.25791,2.57704,0.242886,6.16,1.83257,0.46298,5.76148,1.52965,0.611045,0,6.16,1.67184,0.437002,5.73893,1.28594,0.580149,0,5.6418,1.86,0.27566,5.06257,1.577,0.350984,0,6.16,1.73671,0.266843,5.76296,1.39714,0.338873,0,6.16,1.46746,0.0311799,5.75991,1.01311,0.00783995,0,6.16,1.48196,0.330123,5.7154,0.992345,0.431868,0,6.16,1.4628,0.458685,5.72567,0.975138,0.615922,0,6.16,1.69477,0.156175,5.76904,1.34261,0.18403,0,5.64386,1.86,0.441315,5.07426,1.58333,0.577598,0,6.16,1.59841,0.3387,5.76019,1.2003,0.438471,0,5.85808,1.86,0.656363,5.15823,1.49094,0.940804,0,6.16,1.5674,0.221162,5.73402,1.1325,0.274928,0,5.08066,1.86,0.693324,4.51734,1.65578,0.87785,0,6.16,1.41098,0.237775,5.71929,0.892736,0.302846,0,5.46915,1.86,0.784817,4.87438,1.60963,1.03718,0,5.89288,1.86,0.190923,5.44847,1.59623,0.232765,0,6.09174,1.86,0.572091,5.51677,1.4898,0.816712,0,5.16544,1.86,0.26438,4.7725,1.68938,0.328219,0,4.64547,1.86,0.500015,4.37101,1.7664,0.579794,0,5.64736,1.86,0.593312,5.09757,1.59675,0.778654,0,4.92936,1.86,0.0105031,4.52899,1.70983,0.0212351,0,
0.266672,7.22507,2.59218,0.19651,7.25281,2.58636,0.243353,6.16,1.83257,0.46298,5.82143,1.5676,0.597802,0,6.16,1.67184,0.437002,5.81375,1.34248,0.564777,0,5.6418,1.86,0.27566,5.1214,1.6011,0.346475,0,6.16,1.73671,0.266843,5.82967,1.44419,0.334737,0,6.16,1.46746,0.0311799,5.80906,1.06075,0.0168908,0,6.16,1.48196,0.330123,5.75982,1.03436,0.427699,0,6.16,1.4628,0.458685,5.7783,1.02467,0.6051,0,6.16,1.69477,0.156175,5.82279,1.38323,0.187151,0,5.64386,1.86,0.441315,5.12229,1.60411,0.571559,0,6.16,1.59841,0.3387,5.81327,1.24503,0.43368,0,5.85808,1.86,0.656363,5.25269,1.53212,0.911625,0,6.16,1.5674,0.221162,5.78723,1.17872,0.275364,0,5.08066,1.86,0.693324,4.52492,1.66413,0.875893,0,6.16,1.41098,0.237775,5.76895,0.942592,0.302202,0,5.46915,1.86,0.784817,4.93568,1.62895,1.01757,0,5.89288,1.86,0.190923,5.51523,1.62842,0.234767,0,6.09174,1.86,0.572091,5.581,1.52511,0.797266,0,5.16544,1.86,0.26438,4.82339,1.70765,0.327425,0,4.64547,1.86,0.500015,4.38763,1.77382,0.579087,0,5.64736,1.86,0.593312,5.13187,1.611,0.772128,0,4.92936,1.86,0.0105031,4.54547,1.71847,0.0229184,0,
0.300007,7.21988,2.60029,0.196127,7.24808,2.59461,0.243771,6.16,1.83257,0.46298,5.87004,1.59953,0.585684,0,6.16,1.67184,0.437002,5.84899,1.37298,0.557944,0,5.6418,1.86,0.27566,5.16568,1.62174,0.347327,0,6.16,1.73671,0.266843,5.86969,1.47518,0.332884,0,6.16,1.46746,0.0311799,5.84439,1.0972,0.024388,0,6.16,1.48196,0.330123,5.8075,1.08032,0.423003,0,6.16,1.4628,0.458685,5.81206,1.06007,0.59577,0,6.16,1.69477,0.156175,5.86823,1.41895,0.189351,0,5.64386,1.86,0.441315,5.15842,1.6215,0.566297,0,6.16,1.59841,0.3387,5.84604,1.27525,0.431057,0,5.85808,1.86,0.656363,5.31097,1.56173,0.89183,0,6.16,1.5674,0.221162,5.83031,1.21796,0.27457,0,5.08066,1.86,0.693324,4.55442,1.67508,0.871184,0,6.16,1.41098,0.237775,5.79299,0.971423,0.303796,0,5.46915,1.86,0.784817,4.95354,1.64133,1.01138,0,5.89288,1.86,0.190923,5.56937,1.65629,0.234753,0,6.09174,1.86,0.572091,5.63838,1.55843,0.778944,0,5.16544,1.86,0.26438,4.85611,1.72179,0.326383,0,4.64547,1.86,0.500015,4.39156,1.78383,0.584127,0,5.64736,1.86,0.593312,5.1681,1.62746,0.763223,0,4.92936,1.86,0.0105031,4.5729,1.72929,0.0241388,0,
