time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,
0,6.66984,2.97144,0.201785,6.69621,2.97313,0.227556,6.16,1.13712,0.503792,5.86294,-0.024848,0.721151,0,5.75984,1.86,0.358654,4.85692,0.726688,0.544621,0,5.554,1.86,0.340083,4.57751,0.862788,0.490148,0,5.58185,1.86,0.487588,4.61207,0.844069,0.775038,0,6.09078,1.86,0.579897,5.49191,0.661622,1.01393,0,6.16,1.33645,0.650948,5.78835,0.0617223,1.02737,0,5.93975,1.86,0.522843,5.16296,0.639027,0.9018,0,5.58291,1.86,0.228954,4.59187,0.821345,0.280156,0,5.49246,1.86,0.667113,4.59293,0.987657,1.05882,0,5.28555,1.86,0.672791,4.35905,1.09664,1.02277,0,5.72926,1.86,0.498065,4.83473,0.77352,0.813912,0,5.81525,1.86,0.600458,4.97914,0.739984,1.02859,0,5.45919,1.86,0.0908549,4.45321,0.913939,0.0220329,0,6.05052,1.86,0.453433,5.4297,0.700218,0.742181,0,5.42814,1.86,0.270917,4.41011,0.926865,0.354834,0,5.86107,1.86,0.220264,4.98906,0.627111,0.266561,0,5.95681,1.86,0.627411,5.21985,0.671836,1.10884,0,5.6441,1.86,0.616793,4.75705,0.871963,1.01212,0,6.16,1.83887,0.0866437,5.50182,0.319869,-0.0421841,0,5.36468,1.86,0.552126,4.40097,1.01857,0.843661,0,5.34013,1.86,0.409,4.32642,0.992333,0.596853,0,5.75496,1.86,0.0892038,4.81527,0.688068,-0.00390545,0,6.16,1.01275,0.0273156,5.901,-0.0818777,-0.044568,0,5.9103,1.86,0.131783,5.10166,0.639822,0.0805964,0,6.01048,1.86,0.347999,5.25269,0.539896,0.547657,0,5.05623,1.86,0.49758,4.14068,1.21291,0.696016,0,5.60949,1.86,0.0882767,4.6375,0.815219,0.00717422,0,5.73838,1.86,0.203398,4.92106,0.854994,0.23063,0,
0.0333341,6.66984,2.97144,0.201785,6.68576,2.97811,0.228038,6.16,1.13712,0.503792,5.86887,-0.00377154,0.717886,0,5.75984,1.86,0.358654,4.96862,0.844665,0.527674,0,5.554,1.86,0.340083,4.675,0.944795,0.478861,0,5.58185,1.86,0.487588,4.6999,0.919644,0.75584,0,6.09078,1.86,0.579897,5.60451,0.850153,0.946856,0,6.16,1.33645,0.650948,5.82054,0.134824,1.00651,0,5.93975,1.86,0.522843,5.28681,0.800472,0.854128,0,5.58291,1.86,0.228954,4.69626,0.91239,0.279593,0,5.49246,1.86,0.667113,4.67658,1.05238,1.02888,0,5.28555,1.86,0.672791,4.42182,1.1374,1.00476,0,5.72926,1.86,0.498065,4.93335,0.873144,0.785933,0,5.81525,1.86,0.600458,5.06437,0.83542,0.992676,0,5.45919,1.86,0.0908549,4.54268,0.982838,0.0299196,0,6.05052,1.86,0.453433,5.53659,0.866756,0.703969,0,5.42814,1.86,0.270917,4.50017,0.993789,0.352733,0,5.86107,1.86,0.220264,5.09817,0.756939,0.264792,0,5.95681,1.86,0.627411,5.32012,0.80552,1.05488,0,5.6441,1.86,0.616793,4.84929,0.956241,0.980297,0,6.16,1.83887,0.0866437,5.60095,0.505079,-0.0232037,0,5.36468,1.86,0.552126,4.47715,1.07222,0.825163,0,5.34013,1.86,0.409,4.37004,1.02444,0.594402,0,5.75496,1.86,0.0892038,4.9945,0.876594,0.0196251,0,6.16,1.01275,0.0273156,5.9234,-0.0222354,-0.0381054,0,5.9103,1.86,0.131783,5.22561,0.797308,0.0929936,0,6.01048,1.86,0.347999,5.37424,0.717029,0.524736,0,5.05623,1.86,0.49758,4.18813,1.23897,0.689227,0,5.60949,1.86,0.0882767,4.74196,0.909036,0.0187855,0,5.73838,1.86,0.203398,5.01548,0.954392,0.233044,0,
0.0666681,6.6461,2.98212,0.20218,6.67271,2.98417,0.228636,6.16,1.13712,0.503792,5.88591,0.0336428,0.711779,0,5.75984,1.86,0.358654,5.06683,0.949086,0.51269,0,5.554,1.86,0.340083,4.75244,1.01065,0.471725,0,5.58185,1.86,0.487588,4.78875,0.996094,0.735136,0,6.09078,1.86,0.579897,5.69183,0.997825,0.896662,0,6.16,1.33645,0.650948,5.84926,0.202239,0.986877,0,5.93975,1.86,0.522843,5.36819,0.910177,0.822408,0,5.58291,1.86,0.228954,4.78227,0.987862,0.278974,0,5.49246,1.86,0.667113,4.7381,1.10202,1.01052,0,5.28555,1.86,0.672791,4.48642,1.17895,0.986845,0,5.72926,1.86,0.498065,5.02446,0.965905,0.762058,0,5.81525,1.86,0.600458,5.15377,0.934535,0.956806,0,5.45919,1.86,0.0908549,4.61806,1.04097,0.0377096,0,6.05052,1.86,0.453433,5.6234,1.0042,0.67252,0,5.42814,1.86,0.270917,4.57516,1.05048,0.353049,0,5.86107,1.86,0.220264,5.20823,0.888947,0.26472,0,5.95681,1.86,0.627411,5.4204,0.940985,1.00211,0,5.6441,1.86,0.616793,4.9292,1.0303,0.953345,0,6.16,1.83887,0.0866437,5.66712,0.632496,-0.00516912,0,5.36468,1.86,0.552126,4.55745,1.12811,0.806049,0,5.34013,1.86,0.409,4.45121,1.07702,0.581073,0,5.75496,1.86,0.0892038,5.09822,0.990569,0.0329446,0,6.16,1.01275,0.0273156,5.94713,0.0399523,-0.0346743,0,5.9103,1.86,0.131783,5.32953,0.931747,0.10006,0,6.01048,1.86,0.347999,5.47695,0.86995,0.506006,0,5.05623,1.86,0.49758,4.23253,1.26263,0.684723,0,5.60949,1.86,0.0882767,4.84219,0.999225,0.0308461,0,5.73838,1.86,0.203398,5.08224,1.02396,0.234402,0,
0.100002,6.6461,2.98212,0.20218,6.66254,2.98874,0.229099,6.16,1.13712,0.503792,5.91734,0.119667,0.698114,0,5.75984,1.86,0.358654,5.17961,1.07588,0.489175,0,5.554,1.86,0.340083,4.83212,1.08317,0.464248,0,5.58185,1.86,0.487588,4.88045,1.08145,0.713667,0,6.09078,1.86,0.579897,5.77037,1.13679,0.849531,0,6.16,1.33645,0.650948,5.88506,0.296008,0.960708,0,5.93975,1.86,0.522843,5.46462,1.04406,0.783199,0,5.58291,1.86,0.228954,4.87748,1.0766,0.278935,0,5.49246,1.86,0.667113,4.79998,1.15535,0.989817,0,5.28555,1.86,0.672791,4.55416,1.22779,0.965505,0,5.72926,1.86,0.498065,5.13199,1.08146,0.729905,0,5.81525,1.86,0.600458,5.28627,1.09063,0.900515,0,5.45919,1.86,0.0908549,4.75922,1.15674,0.0449898,0,6.05052,1.86,0.453433,5.70438,1.13863,0.641428,0,5.42814,1.86,0.270917,4.66617,1.12371,0.349344,0,5.86107,1.86,0.220264,5.31813,1.02874,0.260965,0,5.95681,1.86,0.627411,5.50853,1.0676,0.952327,0,5.6441,1.86,0.616793,5.04887,1.14645,0.907419,0,6.16,1.83887,0.0866437,5.74429,0.786723,0.0136185,0,5.36468,1.86,0.552126,4.63769,1.19,0.784986,0,5.34013,1.86,0.409,4.53671,1.14148,0.565791,0,5.75496,1.86,0.0892038,5.19854,1.10378,0.0454499,0,6.16,1.01275,0.0273156,5.96905,0.109802,-0.0264915,0,5.9103,1.86,0.131783,5.43052,1.06896,0.111189,0,6.01048,1.86,0.347999,5.58526,1.03897,0.481903,0,5.05623,1.86,0.49758,4.29352,1.29948,0.674414,0,5.60949,1.86,0.0882767,4.94359,1.09669,0.0413861,0,5.73838,1.86,0.203398,5.1557,1.1038,0.234275,0,
0.133336,6.62195,2.99234,0.202558,6.6392,2.99876,0.230154,6.16,1.13712,0.503792,5.96779,0.205376,0.679413,0,5.75984,1.86,0.358654,5.28365,1.17409,0.472021,0,5.554,1.86,0.340083,4.95011,1.16623,0.449543,0,5.58185,1.86,0.487588,4.98441,1.15534,0.687265,0,6.09078,1.86,0.579897,5.84724,1.25685,0.802894,0,6.16,1.33645,0.650948,5.93733,0.38601,0.928703,0,5.93975,1.86,0.522843,5.56756,1.17029,0.740541,0,5.58291,1.86,0.228954,4.98103,1.15083,0.273492,0,5.49246,1.86,0.667113,4.89034,1.20764,0.956694,0,5.28555,1.86,0.672791,4.64036,1.26451,0.9393,0,5.72926,1.86,0.498065,5.23629,1.17494,0.698469,0,5.81525,1.86,0.600458,5.40253,1.21306,0.84987,0,5.45919,1.86,0.0908549,4.86718,1.22689,0.0526667,0,6.05052,1.86,0.453433,5.78519,1.25673,0.611672,0,5.42814,1.86,0.270917,4.77188,1.18534,0.342562,0,5.86107,1.86,0.220264,5.43447,1.15831,0.256136,0,5.95681,1.86,0.627411,5.60499,1.18752,0.900453,0,5.6441,1.86,0.616793,5.14254,1.22048,0.873088,0,6.16,1.83887,0.0866437,5.82247,0.918993,0.021328,0,5.36468,1.86,0.552126,4.72497,1.23313,0.764493,0,5.34013,1.86,0.409,4.64127,1.19468,0.549231,0,5.75496,1.86,0.0892038,5.30944,1.20971,0.0553249,0,6.16,1.01275,0.0273156,6.0163,0.189268,-0.0219789,0,5.9103,1.86,0.131783,5.52966,1.18573,0.117766,0,6.01048,1.86,0.347999,5.68346,1.17621,0.459756,0,5.05623,1.86,0.49758,4.37091,1.31972,0.65996,0,5.60949,1.86,0.0882767,5.05192,1.17948,0.0503088,0,5.73838,1.86,0.203398,5.29385,1.23456,0.232793,0,
0.16667,6.62195,2.99234,0.202558,6.62609,3.00403,0.23074,6.16,1.13712,0.503792,5.99532,0.285291,0.664799,0,5.75984,1.86,0.358654,5.37463,1.28021,0.456008,0,5.554,1.86,0.340083,5.06112,1.26968,0.436549,0,5.58185,1.86,0.487588,5.0737,1.24004,0.665499,0,6.09078,1.86,0.579897,5.90609,1.36713,0.765821,0,6.16,1.33645,0.650948,5.96769,0.467325,0.90926,0,5.93975,1.86,0.522843,5.65714,1.30271,0.702582,0,5.58291,1.86,0.228954,5.0768,1.24203,0.270177,0,5.49246,1.86,0.667113,4.96428,1.27098,0.929963,0,5.28555,1.86,0.672791,4.7147,1.31719,0.915564,0,5.72926,1.86,0.498065,5.32299,1.2721,0.671881,0,5.81525,1.86,0.600458,5.49942,1.33484,0.805529,0,5.45919,1.86,0.0908549,4.96855,1.31324,0.0617217,0,6.05052,1.86,0.453433,5.85404,1.37783,0.582406,0,5.42814,1.86,0.270917,4.85852,1.2567,0.334686,0,5.86107,1.86,0.220264,5.52855,1.28406,0.254618,0,5.95681,1.86,0.627411,5.68757,1.31204,0.850883,0,5.6441,1.86,0.616793,5.22277,1.3017,0.842578,0,6.16,1.83887,0.0866437,5.88504,1.05128,0.0356043,0,5.36468,1.86,0.552126,4.80399,1.29337,0.744732,0,5.34013,1.86,0.409,4.74152,1.27073,0.540063,0,5.75496,1.86,0.0892038,5.398,1.31365,0.0651356,0,6.16,1.01275,0.0273156,6.04639,0.281386,-0.016868,0,5.9103,1.86,0.131783,5.61292,1.30429,0.123576,0,6.01048,1.86,0.347999,5.79269,1.35786,0.435916,0,5.05623,1.86,0.49758,4.44834,1.36497,0.645783,0,5.60949,1.86,0.0882767,5.15306,1.27927,0.0594179,0,5.73838,1.86,0.203398,5.39148,1.34762,0.232234,0,
0.200004,6.59853,3.00182,0.202915,6.61625,3.00818,0.231184,6.16,1.13712,0.503792,6.00054,0.323077,0.657876,0,5.75984,1.86,0.358654,5.42506,1.3475,0.445345,0,5.554,1.86,0.340083,5.09448,1.31102,0.429761,0,5.58185,1.86,0.487588,5.11621,1.28905,0.653271,0,6.09078,1.86,0.579897,5.93491,1.42945,0.744301,0,6.16,1.33645,0.650948,5.97841,0.514511,0.894375,0,5.93975,1.86,0.522843,5.69004,1.36092,0.685136,0,5.58291,1.86,0.228954,5.13469,1.30609,0.266164,0,5.49246,1.86,0.667113,5.02053,1.32677,0.902549,0,5.28555,1.86,0.672791,4.75153,1.35185,0.902215,0,5.72926,1.86,0.498065,5.36445,1.32694,0.656929,0,5.81525,1.86,0.600458,5.54721,1.4031,0.781505,0,5.45919,1.86,0.0908549,5.02967,1.37391,0.0659418,0,6.05052,1.86,0.453433,5.88513,1.44105,0.568874,0,5.42814,1.86,0.270917,4.90722,1.30535,0.329594,0,5.86107,1.86,0.220264,5.58183,1.3637,0.252029,0,5.95681,1.86,0.627411,5.72878,1.38282,0.825559,0,5.6441,1.86,0.616793,5.26004,1.34753,0.824616,0,6.16,1.83887,0.0866437,5.9235,1.14446,0.0442369,0,5.36468,1.86,0.552126,4.83206,1.32408,0.735514,0,5.34013,1.86,0.409,4.76782,1.30093,0.534207,0,5.75496,1.86,0.0892038,5.44845,1.3811,0.0686703,0,6.16,1.01275,0.0273156,6.0576,0.338188,-0.0105703,0,5.9103,1.86,0.131783,5.67015,1.39461,0.125635,0,6.01048,1.86,0.347999,5.84124,1.44954,0.422448,0,5.05623,1.86,0.49758,4.4817,1.3941,0.638017,0,5.60949,1.86,0.0882767,5.2132,1.34727,0.0644303,0,5.73838,1.86,0.203398,5.44822,1.42059,0.230676,0,
0.233338,6.589,3.00527,0.202731,6.60721,3.01165,0.231585,6.16,1.13712,0.503792,6.00872,0.362355,0.651833,0,5.75984,1.86,0.358654,5.47998,1.41756,0.437382,0,5.554,1.86,0.340083,5.15929,1.3759,0.422222,0,5.58185,1.86,0.487588,5.17771,1.35301,0.636817,0,6.09078,1.86,0.579897,5.96724,1.49528,0.722942,0,6.16,1.33645,0.650948,5.98975,0.558923,0.882419,0,5.93975,1.86,0.522843,5.7311,1.42643,0.666799,0,5.58291,1.86,0.228954,5.18918,1.36476,0.266245,0,5.49246,1.86,0.667113,5.0647,1.37186,0.887696,0,5.28555,1.86,0.672791,4.79936,1.39187,0.886643,0,5.72926,1.86,0.498065,5.42018,1.39467,0.640074,0,5.81525,1.86,0.600458,5.59419,1.46762,0.760445,0,5.45919,1.86,0.0908549,5.07642,1.42066,0.070573,0,6.05052,1.86,0.453433,5.92142,1.51008,0.553448,0,5.42814,1.86,0.270917,4.96718,1.36063,0.328771,0,5.86107,1.86,0.220264,5.6399,1.44758,0.250759,0,5.95681,1.86,0.627411,5.77281,1.45499,0.799225,0,5.6441,1.86,0.616793,5.31125,1.40446,0.803945,0,6.16,1.83887,0.0866437,5.961,1.23388,0.052544,0,5.36468,1.86,0.552126,4.85683,1.35034,0.733025,0,5.34013,1.86,0.409,4.82515,1.34908,0.527267,0,5.75496,1.86,0.0892038,5.50433,1.45207,0.0769302,0,6.16,1.01275,0.0273156,6.07623,0.412888,-0.00363968,0,5.9103,1.86,0.131783,5.7192,1.47128,0.131,0,6.01048,1.86,0.347999,5.87733,1.51651,0.413758,0,5.05623,1.86,0.49758,4.57139,1.45336,0.620927,0,5.60949,1.86,0.0882767,5.27949,1.41933,0.0714751,0,5.73838,1.86,0.203398,5.49087,1.47569,0.230154,0,
0.266672,6.56452,3.01455,0.203133,6.59399,3.01661,0.23217,6.16,1.13712,0.503792,6.03184,0.426559,0.64203,0,5.75984,1.86,0.358654,5.55512,1.50882,0.425541,0,5.554,1.86,0.340083,5.2568,1.4698,0.412323,0,5.58185,1.86,0.487588,5.26467,1.43844,0.615496,0,6.09078,1.86,0.579897,6.01706,1.59376,0.688341,0,6.16,1.33645,0.650948,6.03138,0.67115,0.851793,0,5.93975,1.86,0.522843,5.80235,1.53592,0.636474,0,5.58291,1.86,0.228954,5.2767,1.4508,0.264721,0,5.49246,1.86,0.667113,5.15602,1.45181,0.853281,0,5.28555,1.86,0.672791,4.88306,1.45241,0.861197,0,5.72926,1.86,0.498065,5.5008,1.48848,0.616128,0,5.81525,1.86,0.600458,5.66215,1.556,0.730451,0,5.45919,1.86,0.0908549,5.15038,1.48456,0.0799373,0,6.05052,1.86,0.453433,5.97611,1.61161,0.530555,0,5.42814,1.86,0.270917,5.05675,1.43614,0.32596,0,5.86107,1.86,0.220264,5.72213,1.5631,0.250734,0,5.95681,1.86,0.627411,5.82792,1.542,0.766027,0,5.6441,1.86,0.616793,5.38728,1.48393,0.775331,0,6.16,1.83887,0.0866437,6.0126,1.35045,0.0656115,0,5.36468,1.86,0.552126,4.94219,1.41517,0.715182,0,5.34013,1.86,0.409,4.92973,1.42996,0.514424,0,5.75496,1.86,0.0892038,5.57435,1.53738,0.0865083,0,6.16,1.01275,0.0273156,6.09919,0.487846,0.00624062,0,5.9103,1.86,0.131783,5.78205,1.56551,0.140973,0,6.01048,1.86,0.347999,5.94313,1.63189,0.401229,0,5.05623,1.86,0.49758,4.68283,1.52378,0.604472,0,5.60949,1.86,0.0882767,5.36894,1.51149,0.0834701,0,5.73838,1.86,0.203398,5.56273,1.56008,0.231774,0,
0.300007,6.56452,3.01455,0.203133,6.58322,3.02082,0.232649,6.16,1.13712,0.503792,6.09131,0.629232,0.605835,0,5.75984,1.86,0.358654,5.6623,1.64858,0.404524,0,5.554,1.86,0.340083,5.39334,1.61198,0.392389,0,5.58185,1.86,0.487588,5.40608,1.58895,0.572306,0,6.09078,1.86,0.579897,6.06536,1.69819,0.651931,0,6.16,1.33645,0.650948,6.07185,0.80517,0.81202,0,5.93975,1.86,0.522843,5.88303,1.67061,0.596481,0,5.58291,1.86,0.228954,5.41872,1.60268,0.25781,0,5.49246,1.86,0.667113,5.24526,1.5388,0.814199,0,5.28555,1.86,0.672791,5.01056,1.55464,0.812758,0,5.72926,1.86,0.498065,5.6037,1.61749,0.579669,0,5.81525,1.86,0.600458,5.74691,1.67437,0.685532,0,5.45919,1.86,0.0908549,5.28161,1.60865,0.0894424,0,6.05052,1.86,0.453433,6.04379,1.74807,0.497742,0,5.42814,1.86,0.270917,5.2035,1.5711,0.31247,0,5.86107,1.86,0.220264,5.80906,1.6941,0.248571,0,5.95681,1.86,0.627411,5.9011,1.66616,0.716528,0,5.6441,1.86,0.616793,5.48356,1.59286,0.731791,0,6.16,1.83887,0.0866437,6.08813,1.53723,0.08317,0,5.36468,1.86,0.552126,5.08081,1.53361,0.670705,0,5.34013,1.86,0.409,5.06514,1.54521,0.48801,0,5.75496,1.86,0.0892038,5.68646,1.6838,0.0979546,0,6.16,1.01275,0.0273156,6.14581,0.660994,0.0200771,0,5.9103,1.86,0.131783,5.85224,1.67804,0.145314,0,6.01048,1.86,0.347999,5.99559,1.73254,0.386099,0,5.05623,1.86,0.49758,4.85757,1.64436,0.566472,0,5.60949,1.86,0.0882767,5.49412,1.65018,0.0951857,0,5.73838,1.86,0.203398,5.68154,1.71145,0.22802,0,
