time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,
0,-5.86834,-3.36634,0.297273,-5.94306,-3.0411,0.590658,-5.54729,-1.86,0.483644,-5.35457,-0.279967,0.932276,0,-5.28031,-1.86,0.598664,-4.89707,-0.361596,1.12678,0,-5.68665,-1.86,0.448013,-5.63518,-0.488513,0.846095,0,-5.23085,-1.86,0.366459,-4.82129,-0.390438,0.712402,0,-5.43929,-1.86,0.774382,-5.16169,-0.29784,1.45954,0,-5.04057,-1.86,0.758117,-4.52032,-0.452054,1.38274,0,-5.60386,-1.86,0.748084,-5.47161,-0.355953,1.39426,0,-5.3275,-1.86,0.455221,-4.93754,-0.240578,0.884308,0,-5.01362,-1.86,0.128643,-4.53691,-0.562957,0.313236,0,-5.30702,-1.86,0.778622,-4.96135,-0.406609,1.43251,0,-4.91125,-1.86,0.33967,-4.40385,-0.618581,0.658841,0,-4.82579,-1.86,0.754955,-4.25907,-0.607978,1.32993,0,-5.86683,-1.86,0.409812,-5.94025,-0.252165,0.799019,0,-5.45161,-1.86,0.595915,-5.20085,-0.358264,1.12255,0,-5.11647,-1.86,0.552484,-4.63944,-0.429384,1.03315,0,-5.40041,-1.86,0.241315,-5.11803,-0.385196,0.491994,0,-5.09137,-1.86,0.380495,-4.61815,-0.472461,0.732568,0,-4.88071,-1.86,0.505443,-4.32934,-0.579859,0.930791,0,-5.42927,-1.86,0.371764,-5.16703,-0.378749,0.722316,0,-5.11946,-1.86,0.236868,-4.71181,-0.564503,0.491344,0,-5.17034,-1.86,0.712409,-4.70131,-0.361328,1.32918,0,-5.23747,-1.86,0.121954,-4.84888,-0.428524,0.286586,0,-5.60422,-1.86,0.351349,-5.4687,-0.335737,0.687777,0,-4.83264,-1.86,0.170482,-4.2531,-0.583203,0.383772,0,-4.83498,-1.86,0.625213,-4.28563,-0.625055,1.11665,0,-5.87527,-1.86,0.152716,-5.95572,-0.289351,0.326584,0,-5.38798,-1.86,0.113879,-5.10821,-0.42314,0.271925,0,-5.86509,-1.86,0.550425,-5.93699,-0.226813,1.06362,0,-5.5017,-1.86,0.275632,-5.29104,-0.362286,0.552171,0,
0.033334,-5.86834,-3.36634,0.297273,-5.9329,-3.04266,0.59025,-5.54729,-1.86,0.483644,-5.37718,-0.352266,0.913563,0,-5.28031,-1.86,0.598664,-4.92694,-0.416621,1.10987,0,-5.68665,-1.86,0.448013,-5.6414,-0.53166,0.834773,0,-5.23085,-1.86,0.366459,-4.84584,-0.43822,0.701438,0,-5.43929,-1.86,0.774382,-5.18932,-0.359485,1.43251,0,-5.04057,-1.86,0.758117,-4.54131,-0.479988,1.3623,0,-5.60386,-1.86,0.748084,-5.48553,-0.404837,1.36795,0,-5.3275,-1.86,0.455221,-4.96853,-0.304737,0.866131,0,-5.01362,-1.86,0.128643,-4.57522,-0.620982,0.308702,0,-5.30702,-1.86,0.778622,-4.98659,-0.457084,1.4056,0,-4.91125,-1.86,0.33967,-4.43401,-0.660618,0.646561,0,-4.82579,-1.86,0.754955,-4.28845,-0.642433,1.30813,0,-5.86683,-1.86,0.409812,-5.9453,-0.306373,0.787308,0,-5.45161,-1.86,0.595915,-5.23158,-0.44306,1.09225,0,-5.11647,-1.86,0.552484,-4.67398,-0.481046,1.01809,0,-5.40041,-1.86,0.241315,-5.15012,-0.471159,0.481217,0,-5.09137,-1.86,0.380495,-4.64711,-0.520053,0.719382,0,-4.88071,-1.86,0.505443,-4.36364,-0.623821,0.913427,0,-5.42927,-1.86,0.371764,-5.18921,-0.436659,0.70991,0,-5.11946,-1.86,0.236868,-4.74132,-0.616947,0.482398,0,-5.17034,-1.86,0.712409,-4.71718,-0.388184,1.30998,0,-5.23747,-1.86,0.121954,-4.88295,-0.492422,0.284726,0,-5.60422,-1.86,0.351349,-5.48907,-0.411753,0.675663,0,-4.83264,-1.86,0.170482,-4.29214,-0.632087,0.37668,0,-4.83498,-1.86,0.625213,-4.31838,-0.664806,1.09682,0,-5.87527,-1.86,0.152716,-5.96049,-0.345456,0.322719,0,-5.38798,-1.86,0.113879,-5.13116,-0.478496,0.269374,0,-5.86509,-1.86,0.550425,-5.94438,-0.321048,1.03233,0,-5.5017,-1.86,0.275632,-5.31916,-0.448558,0.542203,0,
0.0666681,-5.84329,-3.36823,0.297517,-5.90686,-3.04622,0.589211,-5.54729,-1.86,0.483644,-5.39386,-0.428098,0.901691,0,-5.28031,-1.86,0.598664,-4.97165,-0.522184,1.07817,0,-5.68665,-1.86,0.448013,-5.64406,-0.578128,0.826239,0,-5.23085,-1.86,0.366459,-4.89665,-0.544961,0.689415,0,-5.43929,-1.86,0.774382,-5.22222,-0.46548,1.38822,0,-5.04057,-1.86,0.758117,-4.58573,-0.5516,1.3302,0,-5.60386,-1.86,0.748084,-5.5125,-0.525811,1.32678,0,-5.3275,-1.86,0.455221,-5.01794,-0.426204,0.846018,0,-5.01362,-1.86,0.128643,-4.63333,-0.71276,0.315614,0,-5.30702,-1.86,0.778622,-5.01319,-0.531703,1.36932,0,-4.91125,-1.86,0.33967,-4.48849,-0.739586,0.635751,0,-4.82579,-1.86,0.754955,-4.37242,-0.749493,1.26088,0,-5.86683,-1.86,0.409812,-5.94833,-0.410558,0.774342,0,-5.45161,-1.86,0.595915,-5.26514,-0.554983,1.06309,0,-5.11647,-1.86,0.552484,-4.71214,-0.557325,0.993437,0,-5.40041,-1.86,0.241315,-5.19199,-0.600112,0.476031,0,-5.09137,-1.86,0.380495,-4.72356,-0.648955,0.706402,0,-4.88071,-1.86,0.505443,-4.4208,-0.702322,0.894317,0,-5.42927,-1.86,0.371764,-5.22699,-0.553697,0.696296,0,-5.11946,-1.86,0.236868,-4.78748,-0.703201,0.479332,0,-5.17034,-1.86,0.712409,-4.75567,-0.460436,1.28186,0,-5.23747,-1.86,0.121954,-4.93634,-0.608388,0.291805,0,-5.60422,-1.86,0.351349,-5.51084,-0.522458,0.666642,0,-4.83264,-1.86,0.170482,-4.354,-0.713532,0.376242,0,-4.83498,-1.86,0.625213,-4.35704,-0.717236,1.07783,0,-5.87527,-1.86,0.152716,-5.96413,-0.463756,0.329115,0,-5.38798,-1.86,0.113879,-5.16015,-0.561065,0.277808,0,-5.86509,-1.86,0.550425,-5.94797,-0.443284,1.00806,0,-5.5017,-1.86,0.275632,-5.3402,-0.53264,0.540734,0,
0.100002,-5.84329,-3.36823,0.297517,-5.89205,-3.04814,0.588622,-5.54729,-1.86,0.483644,-5.44664,-0.611108,0.885428,0,-5.28031,-1.86,0.598664,-5.04613,-0.680053,1.05495,0,-5.68665,-1.86,0.448013,-5.6661,-0.679965,0.820172,0,-5.23085,-1.86,0.366459,-4.95496,-0.659399,0.692444,0,-5.43929,-1.86,0.774382,-5.29008,-0.653257,1.33538,0,-5.04057,-1.86,0.758117,-4.6608,-0.664209,1.30498,0,-5.60386,-1.86,0.748084,-5.53907,-0.634302,1.29826,0,-5.3275,-1.86,0.455221,-5.07755,-0.562977,0.841317,0,-5.01362,-1.86,0.128643,-4.67835,-0.780442,0.331186,0,-5.30702,-1.86,0.778622,-5.07926,-0.671913,1.33665,0,-4.91125,-1.86,0.33967,-4.54171,-0.80943,0.64341,0,-4.82579,-1.86,0.754955,-4.45165,-0.847408,1.24088,0,-5.86683,-1.86,0.409812,-5.95975,-0.569552,0.766171,0,-5.45161,-1.86,0.595915,-5.31063,-0.683456,1.04317,0,-5.11647,-1.86,0.552484,-4.76877,-0.6486,0.984945,0,-5.40041,-1.86,0.241315,-5.2388,-0.720343,0.490878,0,-5.09137,-1.86,0.380495,-4.76978,-0.727193,0.707775,0,-4.88071,-1.86,0.505443,-4.48575,-0.787141,0.894992,0,-5.42927,-1.86,0.371764,-5.26523,-0.659348,0.701356,0,-5.11946,-1.86,0.236868,-4.83231,-0.777923,0.491031,0,-5.17034,-1.86,0.712409,-4.83116,-0.593027,1.25384,0,-5.23747,-1.86,0.121954,-4.97745,-0.690632,0.3094,0,-5.60422,-1.86,0.351349,-5.53572,-0.623945,0.668257,0,-4.83264,-1.86,0.170482,-4.41224,-0.784738,0.394828,0,-4.83498,-1.86,0.625213,-4.44389,-0.822974,1.06568,0,-5.87527,-1.86,0.152716,-5.97122,-0.575348,0.342633,0,-5.38798,-1.86,0.113879,-5.19821,-0.655885,0.296601,0,-5.86509,-1.86,0.550425,-5.95893,-0.603786,0.983316,0,-5.5017,-1.86,0.275632,-5.3798,-0.655205,0.548234,0,
0.133336,-5.84329,-3.36823,0.297517,-5.90686,-3.04622,0.589211,-5.54729,-1.86,0.483644,-5.50165,-0.783421,0.869207,0,-5.28031,-1.86,0.598664,-5.12704,-0.842629,1.03171,0,-5.68665,-1.86,0.448013,-5.70157,-0.813324,0.812517,0,-5.23085,-1.86,0.366459,-5.02643,-0.787018,0.693739,0,-5.43929,-1.86,0.774382,-5.34944,-0.80389,1.29643,0,-5.04057,-1.86,0.758117,-4.75219,-0.800212,1.2746,0,-5.60386,-1.86,0.748084,-5.58331,-0.775867,1.26245,0,-5.3275,-1.86,0.455221,-5.153,-0.722509,0.832082,0,-5.01362,-1.86,0.128643,-4.75889,-0.892119,0.354654,0,-5.30702,-1.86,0.778622,-5.16168,-0.842428,1.2922,0,-4.91125,-1.86,0.33967,-4.64785,-0.946926,0.651673,0,-4.82579,-1.86,0.754955,-4.56195,-0.98218,1.21248,0,-5.86683,-1.86,0.409812,-5.97988,-0.771342,0.756669,0,-5.45161,-1.86,0.595915,-5.3691,-0.828346,1.02252,0,-5.11647,-1.86,0.552484,-4.86058,-0.79489,0.970671,0,-5.40041,-1.86,0.241315,-5.28486,-0.818569,0.502153,0,-5.09137,-1.86,0.380495,-4.86283,-0.872823,0.713405,0,-4.88071,-1.86,0.505443,-4.58232,-0.908098,0.887597,0,-5.42927,-1.86,0.371764,-5.32875,-0.81214,0.702355,0,-5.11946,-1.86,0.236868,-4.90774,-0.8921,0.503241,0,-5.17034,-1.86,0.712409,-4.92664,-0.759814,1.21873,0,-5.23747,-1.86,0.121954,-5.04692,-0.811981,0.331181,0,-5.60422,-1.86,0.351349,-5.58047,-0.767845,0.668502,0,-4.83264,-1.86,0.170482,-4.49413,-0.880838,0.410959,0,-4.83498,-1.86,0.625213,-4.56637,-0.976366,1.04526,0,-5.87527,-1.86,0.152716,-5.98776,-0.68933,0.360401,0,-5.38798,-1.86,0.113879,-5.25561,-0.778237,0.31827,0,-5.86509,-1.86,0.550425,-5.97677,-0.747865,0.964918,0,-5.5017,-1.86,0.275632,-5.42623,-0.776071,0.557315,0,
0.16667,-5.79881,-3.37142,0.298058,-5.86194,-3.05237,0.587419,-5.54729,-1.86,0.483644,-5.49697,-0.839957,0.861842,0,-5.28031,-1.86,0.598664,-5.1219,-0.87535,1.02379,0,-5.68665,-1.86,0.448013,-5.68866,-0.853779,0.810729,0,-5.23085,-1.86,0.366459,-5.03175,-0.834332,0.691844,0,-5.43929,-1.86,0.774382,-5.35228,-0.868407,1.27741,0,-5.04057,-1.86,0.758117,-4.76262,-0.844148,1.26078,0,-5.60386,-1.86,0.748084,-5.57459,-0.822257,1.25007,0,-5.3275,-1.86,0.455221,-5.16,-0.782447,0.824904,0,-5.01362,-1.86,0.128643,-4.77709,-0.945266,0.361551,0,-5.30702,-1.86,0.778622,-5.15426,-0.870596,1.27809,0,-4.91125,-1.86,0.33967,-4.65542,-0.98184,0.650024,0,-4.82579,-1.86,0.754955,-4.56556,-1.00951,1.2021,0,-5.86683,-1.86,0.409812,-5.96418,-0.884635,0.755282,0,-5.45161,-1.86,0.595915,-5.36098,-0.870283,1.02011,0,-5.11647,-1.86,0.552484,-4.86419,-0.833299,0.964161,0,-5.40041,-1.86,0.241315,-5.28303,-0.861785,0.504124,0,-5.09137,-1.86,0.380495,-4.88329,-0.936354,0.707491,0,-4.88071,-1.86,0.505443,-4.58903,-0.939446,0.882226,0,-5.42927,-1.86,0.371764,-5.33459,-0.884977,0.701094,0,-5.11946,-1.86,0.236868,-4.90677,-0.922055,0.503143,0,-5.17034,-1.86,0.712409,-4.93745,-0.812176,1.19918,0,-5.23747,-1.86,0.121954,-5.05064,-0.856094,0.335098,0,-5.60422,-1.86,0.351349,-5.56474,-0.788211,0.665647,0,-4.83264,-1.86,0.170482,-4.498,-0.905056,0.41283,0,-4.83498,-1.86,0.625213,-4.5727,-1.00758,1.03627,0,-5.87527,-1.86,0.152716,-5.97231,-0.738494,0.365797,0,-5.38798,-1.86,0.113879,-5.25985,-0.839465,0.329919,0,-5.86509,-1.86,0.550425,-5.96089,-0.802877,0.957618,0,-5.5017,-1.86,0.275632,-5.42343,-0.826968,0.552284,0,
0.200004,-5.79881,-3.37142,0.298058,-5.84707,-3.05428,0.586829,-5.54729,-1.86,0.483644,-5.51149,-0.897393,0.857196,0,-5.28031,-1.86,0.598664,-5.14057,-0.917074,1.01869,0,-5.68665,-1.86,0.448013,-5.69634,-0.896047,0.806547,0,-5.23085,-1.86,0.366459,-5.05386,-0.881192,0.693052,0,-5.43929,-1.86,0.774382,-5.38425,-0.964852,1.24829,0,-5.04057,-1.86,0.758117,-4.79968,-0.90422,1.24657,0,-5.60386,-1.86,0.748084,-5.5955,-0.911915,1.22471,0,-5.3275,-1.86,0.455221,-5.18318,-0.839907,0.821502,0,-5.01362,-1.86,0.128643,-4.78363,-0.959513,0.364156,0,-5.30702,-1.86,0.778622,-5.16866,-0.902956,1.26958,0,-4.91125,-1.86,0.33967,-4.66894,-1.00473,0.655017,0,-4.82579,-1.86,0.754955,-4.60469,-1.06046,1.19222,0,-5.86683,-1.86,0.409812,-5.96668,-0.982724,0.748954,0,-5.45161,-1.86,0.595915,-5.37001,-0.897924,1.01558,0,-5.11647,-1.86,0.552484,-4.88691,-0.873637,0.960211,0,-5.40041,-1.86,0.241315,-5.29599,-0.897622,0.506144,0,-5.09137,-1.86,0.380495,-4.90082,-0.971062,0.709994,0,-4.88071,-1.86,0.505443,-4.61239,-0.975351,0.885143,0,-5.42927,-1.86,0.371764,-5.3407,-0.908477,0.700316,0,-5.11946,-1.86,0.236868,-4.92231,-0.950119,0.507571,0,-5.17034,-1.86,0.712409,-4.96775,-0.870342,1.18662,0,-5.23747,-1.86,0.121954,-5.06595,-0.889555,0.342341,0,-5.60422,-1.86,0.351349,-5.57937,-0.846942,0.666918,0,-4.83264,-1.86,0.170482,-4.51969,-0.932951,0.419406,0,-4.83498,-1.86,0.625213,-4.61278,-1.06041,1.03018,0,-5.87527,-1.86,0.152716,-5.97365,-0.772005,0.369164,0,-5.38798,-1.86,0.113879,-5.27227,-0.875095,0.335312,0,-5.86509,-1.86,0.550425,-5.96469,-0.874126,0.946425,0,-5.5017,-1.86,0.275632,-5.43519,-0.86777,0.553882,0,
0.233338,-5.77356,-3.37276,0.29827,-5.83559,-3.05548,0.586378,-5.54729,-1.86,0.483644,-5.53739,-0.991177,0.844177,0,-5.28031,-1.86,0.598664,-5.19801,-1.04255,0.993678,0,-5.68665,-1.86,0.448013,-5.7137,-0.985126,0.796274,0,-5.23085,-1.86,0.366459,-5.09923,-0.970324,0.688305,0,-5.43929,-1.86,0.774382,-5.40789,-1.03565,1.22647,0,-5.04057,-1.86,0.758117,-4.85298,-0.986391,1.22042,0,-5.60386,-1.86,0.748084,-5.61723,-1.00745,1.19352,0,-5.3275,-1.86,0.455221,-5.23277,-0.957142,0.808025,0,-5.01362,-1.86,0.128643,-4.82963,-1.02422,0.374434,0,-5.30702,-1.86,0.778622,-5.1987,-0.964436,1.24765,0,-4.91125,-1.86,0.33967,-4.7099,-1.05559,0.654463,0,-4.82579,-1.86,0.754955,-4.65568,-1.12234,1.17175,0,-5.86683,-1.86,0.409812,-5.97089,-1.08866,0.738191,0,-5.45161,-1.86,0.595915,-5.39418,-0.960689,1.00166,0,-5.11647,-1.86,0.552484,-4.93554,-0.953953,0.945804,0,-5.40041,-1.86,0.241315,-5.32192,-0.961408,0.505901,0,-5.09137,-1.86,0.380495,-4.94704,-1.04513,0.705898,0,-4.88071,-1.86,0.505443,-4.65679,-1.03009,0.878224,0,-5.42927,-1.86,0.371764,-5.38422,-1.02832,0.694491,0,-5.11946,-1.86,0.236868,-4.95513,-1.00232,0.510746,0,-5.17034,-1.86,0.712409,-5.0129,-0.951599,1.16105,0,-5.23747,-1.86,0.121954,-5.10784,-0.970553,0.351292,0,-5.60422,-1.86,0.351349,-5.60226,-0.942714,0.663524,0,-4.83264,-1.86,0.170482,-4.56503,-0.985904,0.424996,0,-4.83498,-1.86,0.625213,-4.65125,-1.10753,1.01967,0,-5.87527,-1.86,0.152716,-5.97993,-0.845124,0.375255,0,-5.38798,-1.86,0.113879,-5.31025,-0.969581,0.346195,0,-5.86509,-1.86,0.550425,-5.96974,-0.958502,0.929724,0,-5.5017,-1.86,0.275632,-5.4621,-0.952182,0.557601,0,
0.266672,-5.74874,-3.37414,0.298483,-5.82093,-3.0571,0.5858,-5.54729,-1.86,0.483644,-5.54754,-1.04151,0.836779,0,-5.28031,-1.86,0.598664,-5.21978,-1.10116,0.97709,0,-5.68665,-1.86,0.448013,-5.72326,-1.05867,0.787515,0,-5.23085,-1.86,0.366459,-5.12962,-1.0399,0.682069,0,-5.43929,-1.86,0.774382,-5.41816,-1.07251,1.21157,0,-5.04057,-1.86,0.758117,-4.88068,-1.03491,1.2009,0,-5.60386,-1.86,0.748084,-5.63156,-1.08659,1.16898,0,-5.3275,-1.86,0.455221,-5.26142,-1.0372,0.796707,0,-5.01362,-1.86,0.128643,-4.86977,-1.09024,0.378709,0,-5.30702,-1.86,0.778622,-5.23082,-1.04317,1.22074,0,-4.91125,-1.86,0.33967,-4.7645,-1.13398,0.649514,0,-4.82579,-1.86,0.754955,-4.68703,-1.16497,1.15368,0,-5.86683,-1.86,0.409812,-5.96955,-1.13443,0.733183,0,-5.45161,-1.86,0.595915,-5.40681,-1.00426,0.99118,0,-5.11647,-1.86,0.552484,-4.96841,-1.01652,0.932108,0,-5.40041,-1.86,0.241315,-5.35629,-1.06538,0.505317,0,-5.09137,-1.86,0.380495,-4.98698,-1.11903,0.69716,0,-4.88071,-1.86,0.505443,-4.69206,-1.0796,0.871155,0,-5.42927,-1.86,0.371764,-5.40743,-1.109,0.688922,0,-5.11946,-1.86,0.236868,-4.99363,-1.07322,0.511456,0,-5.17034,-1.86,0.712409,-5.03788,-1.00388,1.14368,0,-5.23747,-1.86,0.121954,-5.14602,-1.05737,0.35926,0,-5.60422,-1.86,0.351349,-5.61747,-1.02568,0.659967,0,-4.83264,-1.86,0.170482,-4.62189,-1.06091,0.429658,0,-4.83498,-1.86,0.625213,-4.68353,-1.15045,1.00426,0,-5.87527,-1.86,0.152716,-5.98145,-0.928216,0.384637,0,-5.38798,-1.86,0.113879,-5.33271,-1.03841,0.353974,0,-5.86509,-1.86,0.550425,-5.96995,-1.01594,0.918944,0,-5.5017,-1.86,0.275632,-5.47844,-1.01744,0.559706,0,
0.300007,-5.74874,-3.37414,0.298483,-5.80975,-3.05859,0.585355,-5.54729,-1.86,0.483644,-5.56623,-1.11899,0.829009,0,-5.28031,-1.86,0.598664,-5.24191,-1.15386,0.968268,0,-5.68665,-1.86,0.448013,-5.73147,-1.11611,0.782549,0,-5.23085,-1.86,0.366459,-5.17322,-1.13826,0.681498,0,-5.43929,-1.86,0.774382,-5.43609,-1.12644,1.1954,0,-5.04057,-1.86,0.758117,-4.91279,-1.08932,1.18856,0,-5.60386,-1.86,0.748084,-5.64334,-1.14794,1.15111,0,-5.3275,-1.86,0.455221,-5.28555,-1.1022,0.793054,0,-5.01362,-1.86,0.128643,-4.88312,-1.11456,0.38072,0,-5.30702,-1.86,0.778622,-5.25967,-1.11684,1.2007,0,-4.91125,-1.86,0.33967,-4.77669,-1.1557,0.65013,0,-4.82579,-1.86,0.754955,-4.72087,-1.2108,1.14408,0,-5.86683,-1.86,0.409812,-5.97169,-1.21596,0.728145,0,-5.45161,-1.86,0.595915,-5.42207,-1.05202,0.984132,0,-5.11647,-1.86,0.552484,-4.99841,-1.07411,0.927347,0,-5.40041,-1.86,0.241315,-5.37019,-1.11034,0.508684,0,-5.09137,-1.86,0.380495,-5.01141,-1.16522,0.697583,0,-4.88071,-1.86,0.505443,-4.72041,-1.11973,0.865803,0,-5.42927,-1.86,0.371764,-5.4258,-1.17055,0.689324,0,-5.11946,-1.86,0.236868,-5.01512,-1.11553,0.516811,0,-5.17034,-1.86,0.712409,-5.0742,-1.07746,1.12927,0,-5.23747,-1.86,0.121954,-5.16562,-1.10357,0.366761,0,-5.60422,-1.86,0.351349,-5.62908,-1.08703,0.658632,0,-4.83264,-1.86,0.170482,-4.66121,-1.11555,0.434988,0,-4.83498,-1.86,0.625213,-4.72267,-1.20436,0.998665,0,-5.87527,-1.86,0.152716,-5.9818,-0.97377,0.390148,0,-5.38798,-1.86,0.113879,-5.34963,-1.08934,0.364255,0,-5.86509,-1.86,0.550425,-5.97197,-1.07862,0.908039,0,-5.5017,-1.86,0.275632,-5.49608,-1.08363,0.5625,0,
