time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,
0,-4.44898,-3.36751,0.293011,-4.43931,-3.15192,0.532418,-4.7105,-1.86,0.736587,-4.92552,-0.349132,1.35712,0,-3.97165,-1.86,0.555609,-3.58267,-0.446514,1.00368,0,-4.73946,-1.86,0.435884,-4.99262,-0.280311,0.804573,0,-4.17082,-1.86,0.160869,-3.92022,-0.338688,0.285821,0,-4.27462,-1.86,0.72032,-4.11688,-0.36436,1.32256,0,-4.72735,-1.86,0.235794,-4.98296,-0.207747,0.420673,0,-4.6441,-1.86,0.157857,-4.80746,-0.307466,0.277402,0,-3.97624,-1.86,0.18824,-3.57026,-0.380635,0.339815,0,-4.72052,-1.86,0.555568,-4.95642,-0.281106,1.03242,0,-4.09999,-1.86,0.546627,-3.79143,-0.353369,1.00323,0,-4.559,-1.86,0.753149,-4.64396,-0.347824,1.38831,0,-4.41609,-1.86,0.517588,-4.37669,-0.282237,0.959921,0,-4.54673,-1.86,0.487725,-4.62315,-0.316756,0.898616,0,-4.52892,-1.86,0.347302,-4.59345,-0.24479,0.637114,0,-4.32817,-1.86,0.615669,-4.2111,-0.304238,1.14192,0,-4.49545,-1.86,0.192353,-4.52705,-0.305651,0.342368,0,-4.45298,-1.86,0.66766,-4.44693,-0.278803,1.24645,0,-4.35752,-1.86,0.159004,-4.26217,-0.232174,0.272872,0,-4.25532,-1.86,0.441191,-4.06951,-0.273307,0.81537,0,-3.95277,-1.86,0.395497,-3.51744,-0.351261,0.722817,0,-4.39519,-1.86,0.281055,-4.33484,-0.223974,0.509197,0,-4.39241,-1.86,0.751163,-4.33869,-0.471007,1.34718,0,-4.55213,-1.86,0.607922,-4.63675,-0.266256,1.13522,0,-4.22955,-1.86,0.543791,-4.02422,-0.300247,1.00681,0,-4.6527,-1.86,0.369591,-4.83479,-0.225409,0.68108,0,-4.26956,-1.86,0.209274,-4.09398,-0.250493,0.371253,0,-4.59995,-1.86,0.259537,-4.73324,-0.216896,0.467246,0,
0.0333341,-4.42405,-3.36704,0.292981,-4.42418,-3.15252,0.531841,-4.7105,-1.86,0.736587,-4.91439,-0.469965,1.32086,0,-3.97165,-1.86,0.555609,-3.61493,-0.528142,0.989589,0,-4.73946,-1.86,0.435884,-4.97527,-0.435966,0.788312,0,-4.17082,-1.86,0.160869,-3.95888,-0.484397,0.298115,0,-4.27462,-1.86,0.72032,-4.14773,-0.522781,1.27607,0,-4.72735,-1.86,0.235794,-4.96877,-0.355392,0.424804,0,-4.6441,-1.86,0.157857,-4.80003,-0.438224,0.288045,0,-3.97624,-1.86,0.18824,-3.62421,-0.514497,0.344805,0,-4.72052,-1.86,0.555568,-4.94611,-0.382653,1.01507,0,-4.09999,-1.86,0.546627,-3.8324,-0.485103,0.980005,0,-4.559,-1.86,0.753149,-4.64529,-0.512343,1.33557,0,-4.41609,-1.86,0.517588,-4.38964,-0.421568,0.932828,0,-4.54673,-1.86,0.487725,-4.62456,-0.447695,0.882426,0,-4.52892,-1.86,0.347302,-4.59644,-0.427667,0.629035,0,-4.32817,-1.86,0.615669,-4.23471,-0.450328,1.11002,0,-4.49545,-1.86,0.192353,-4.53389,-0.461496,0.352285,0,-4.45298,-1.86,0.66766,-4.45693,-0.405476,1.21304,0,-4.35752,-1.86,0.159004,-4.28505,-0.394318,0.285844,0,-4.25532,-1.86,0.441191,-4.10529,-0.444514,0.798027,0,-3.95277,-1.86,0.395497,-3.58567,-0.51301,0.704428,0,-4.39519,-1.86,0.281055,-4.35254,-0.380567,0.510745,0,-4.39241,-1.86,0.751163,-4.35579,-0.637455,1.29596,0,-4.55213,-1.86,0.607922,-4.63906,-0.432646,1.09989,0,-4.22955,-1.86,0.543791,-4.06223,-0.466632,0.976625,0,-4.6527,-1.86,0.369591,-4.82463,-0.416962,0.67414,0,-4.26956,-1.86,0.209274,-4.12649,-0.414431,0.378905,0,-4.59995,-1.86,0.259537,-4.73038,-0.355182,0.462038,0,
0.0666681,-4.41481,-3.36681,0.292652,-4.413,-3.15313,0.531412,-4.7105,-1.86,0.736587,-4.90831,-0.571738,1.28929,0,-3.97165,-1.86,0.555609,-3.64995,-0.603546,0.971491,0,-4.73946,-1.86,0.435884,-4.96614,-0.534119,0.777516,0,-4.17082,-1.86,0.160869,-3.9868,-0.58178,0.30521,0,-4.27462,-1.86,0.72032,-4.16946,-0.625443,1.24933,0,-4.72735,-1.86,0.235794,-4.96096,-0.452147,0.427047,0,-4.6441,-1.86,0.157857,-4.79718,-0.551099,0.296669,0,-3.97624,-1.86,0.18824,-3.66844,-0.618717,0.350823,0,-4.72052,-1.86,0.555568,-4.93773,-0.505721,0.998114,0,-4.09999,-1.86,0.546627,-3.86097,-0.568728,0.960197,0,-4.559,-1.86,0.753149,-4.64787,-0.639446,1.29568,0,-4.41609,-1.86,0.517588,-4.40164,-0.525268,0.911352,0,-4.54673,-1.86,0.487725,-4.62921,-0.592262,0.862509,0,-4.52892,-1.86,0.347302,-4.60032,-0.538262,0.623608,0,-4.32817,-1.86,0.615669,-4.25264,-0.548465,1.08747,0,-4.49545,-1.86,0.192353,-4.53758,-0.520057,0.354714,0,-4.45298,-1.86,0.66766,-4.46852,-0.515958,1.18408,0,-4.35752,-1.86,0.159004,-4.30148,-0.499899,0.293807,0,-4.25532,-1.86,0.441191,-4.12157,-0.521662,0.783074,0,-3.95277,-1.86,0.395497,-3.62817,-0.611296,0.700466,0,-4.39519,-1.86,0.281055,-4.36639,-0.485054,0.510046,0,-4.39241,-1.86,0.751163,-4.36794,-0.729406,1.26563,0,-4.55213,-1.86,0.607922,-4.6418,-0.536213,1.07666,0,-4.22955,-1.86,0.543791,-4.07663,-0.528129,0.968542,0,-4.6527,-1.86,0.369591,-4.81848,-0.544411,0.666086,0,-4.26956,-1.86,0.209274,-4.15278,-0.5385,0.38445,0,-4.59995,-1.86,0.259537,-4.73084,-0.452739,0.462988,0,
0.100002,-4.41481,-3.36681,0.292652,-4.4025,-3.15365,0.53101,-4.7105,-1.86,0.736587,-4.90759,-0.630668,1.2705,0,-3.97165,-1.86,0.555609,-3.67786,-0.657785,0.963356,0,-4.73946,-1.86,0.435884,-4.96298,-0.607445,0.769243,0,-4.17082,-1.86,0.160869,-4.01121,-0.654559,0.312141,0,-4.27462,-1.86,0.72032,-4.19069,-0.708259,1.22574,0,-4.72735,-1.86,0.235794,-4.95863,-0.525699,0.42851,0,-4.6441,-1.86,0.157857,-4.79667,-0.6533,0.306746,0,-3.97624,-1.86,0.18824,-3.71207,-0.715622,0.355588,0,-4.72052,-1.86,0.555568,-4.9335,-0.596099,0.982271,0,-4.09999,-1.86,0.546627,-3.89886,-0.669685,0.944892,0,-4.559,-1.86,0.753149,-4.6523,-0.720276,1.26967,0,-4.41609,-1.86,0.517588,-4.41177,-0.57842,0.904941,0,-4.54673,-1.86,0.487725,-4.63367,-0.672423,0.851628,0,-4.52892,-1.86,0.347302,-4.6066,-0.609715,0.622423,0,-4.32817,-1.86,0.615669,-4.27669,-0.670095,1.05603,0,-4.49545,-1.86,0.192353,-4.54794,-0.601665,0.356747,0,-4.45298,-1.86,0.66766,-4.48351,-0.654043,1.14704,0,-4.35752,-1.86,0.159004,-4.31722,-0.57793,0.301322,0,-4.25532,-1.86,0.441191,-4.14567,-0.606825,0.776102,0,-3.95277,-1.86,0.395497,-3.65882,-0.67305,0.697654,0,-4.39519,-1.86,0.281055,-4.38137,-0.573816,0.508488,0,-4.39241,-1.86,0.751163,-4.37921,-0.785601,1.24886,0,-4.55213,-1.86,0.607922,-4.64721,-0.606403,1.05963,0,-4.22955,-1.86,0.543791,-4.09715,-0.589782,0.958647,0,-4.6527,-1.86,0.369591,-4.81783,-0.626911,0.662272,0,-4.26956,-1.86,0.209274,-4.17495,-0.629288,0.391001,0,-4.59995,-1.86,0.259537,-4.73449,-0.503505,0.467602,0,
0.133336,-4.3906,-3.36636,0.29266,-4.37665,-3.15481,0.530022,-4.7105,-1.86,0.736587,-4.8874,-0.715755,1.24543,0,-3.97165,-1.86,0.555609,-3.69312,-0.727008,0.951246,0,-4.73946,-1.86,0.435884,-4.94092,-0.68593,0.761723,0,-4.17082,-1.86,0.160869,-4.0231,-0.751842,0.320513,0,-4.27462,-1.86,0.72032,-4.19636,-0.811246,1.19831,0,-4.72735,-1.86,0.235794,-4.93908,-0.584948,0.431484,0,-4.6441,-1.86,0.157857,-4.777,-0.751024,0.313853,0,-3.97624,-1.86,0.18824,-3.74201,-0.829153,0.364741,0,-4.72052,-1.86,0.555568,-4.91124,-0.680226,0.967255,0,-4.09999,-1.86,0.546627,-3.9005,-0.723136,0.932415,0,-4.559,-1.86,0.753149,-4.63901,-0.800519,1.24516,0,-4.41609,-1.86,0.517588,-4.40844,-0.670126,0.891526,0,-4.54673,-1.86,0.487725,-4.62,-0.715947,0.846537,0,-4.52892,-1.86,0.347302,-4.59517,-0.69236,0.619275,0,-4.32817,-1.86,0.615669,-4.27683,-0.770509,1.03169,0,-4.49545,-1.86,0.192353,-4.53924,-0.718473,0.368084,0,-4.45298,-1.86,0.66766,-4.47581,-0.765723,1.11997,0,-4.35752,-1.86,0.159004,-4.32504,-0.750193,0.319823,0,-4.25532,-1.86,0.441191,-4.15298,-0.711043,0.765968,0,-3.95277,-1.86,0.395497,-3.68151,-0.759704,0.691728,0,-4.39519,-1.86,0.281055,-4.37329,-0.628741,0.508369,0,-4.39241,-1.86,0.751163,-4.37556,-0.865125,1.22547,0,-4.55213,-1.86,0.607922,-4.63434,-0.708067,1.03343,0,-4.22955,-1.86,0.543791,-4.10367,-0.677305,0.94591,0,-4.6527,-1.86,0.369591,-4.79903,-0.712533,0.656223,0,-4.26956,-1.86,0.209274,-4.17415,-0.701401,0.399199,0,-4.59995,-1.86,0.259537,-4.72058,-0.586004,0.468522,0,
0.16667,-4.38118,-3.36609,0.292312,-4.36618,-3.1553,0.529622,-4.7105,-1.86,0.736587,-4.88523,-0.776453,1.22878,0,-3.97165,-1.86,0.555609,-3.73097,-0.811779,0.939287,0,-4.73946,-1.86,0.435884,-4.93583,-0.761074,0.757659,0,-4.17082,-1.86,0.160869,-4.04374,-0.820965,0.329512,0,-4.27462,-1.86,0.72032,-4.21606,-0.905379,1.17506,0,-4.72735,-1.86,0.235794,-4.93489,-0.66868,0.433221,0,-4.6441,-1.86,0.157857,-4.77528,-0.831231,0.322461,0,-3.97624,-1.86,0.18824,-3.77061,-0.896847,0.372157,0,-4.72052,-1.86,0.555568,-4.90672,-0.757183,0.956622,0,-4.09999,-1.86,0.546627,-3.93333,-0.8176,0.924189,0,-4.559,-1.86,0.753149,-4.64257,-0.874894,1.2237,0,-4.41609,-1.86,0.517588,-4.42126,-0.783463,0.880948,0,-4.54673,-1.86,0.487725,-4.62518,-0.755191,0.842612,0,-4.52892,-1.86,0.347302,-4.59986,-0.759309,0.613624,0,-4.32817,-1.86,0.615669,-4.29228,-0.853727,1.01536,0,-4.49545,-1.86,0.192353,-4.54367,-0.772153,0.373005,0,-4.45298,-1.86,0.66766,-4.48562,-0.884921,1.08962,0,-4.35752,-1.86,0.159004,-4.3372,-0.842224,0.330789,0,-4.25532,-1.86,0.441191,-4.16709,-0.767537,0.761019,0,-3.95277,-1.86,0.395497,-3.71656,-0.83882,0.691032,0,-4.39519,-1.86,0.281055,-4.38984,-0.744001,0.512664,0,-4.39241,-1.86,0.751163,-4.38504,-0.920518,1.21051,0,-4.55213,-1.86,0.607922,-4.6377,-0.770396,1.02182,0,-4.22955,-1.86,0.543791,-4.12847,-0.776779,0.932226,0,-4.6527,-1.86,0.369591,-4.7984,-0.776978,0.654126,0,-4.26956,-1.86,0.209274,-4.18812,-0.755257,0.40467,0,-4.59995,-1.86,0.259537,-4.72243,-0.659141,0.472514,0,
0.200004,-4.35508,-3.3656,0.292328,-4.35099,-3.15602,0.529041,-4.7105,-1.86,0.736587,-4.87806,-0.837764,1.20925,0,-3.97165,-1.86,0.555609,-3.7507,-0.867176,0.928067,0,-4.73946,-1.86,0.435884,-4.92821,-0.80952,0.750665,0,-4.17082,-1.86,0.160869,-4.05438,-0.870193,0.335,0,-4.27462,-1.86,0.72032,-4.22675,-0.977991,1.15279,0,-4.72735,-1.86,0.235794,-4.92648,-0.726511,0.435728,0,-4.6441,-1.86,0.157857,-4.76958,-0.887597,0.324068,0,-3.97624,-1.86,0.18824,-3.80207,-0.984091,0.376405,0,-4.72052,-1.86,0.555568,-4.89769,-0.823448,0.946512,0,-4.09999,-1.86,0.546627,-3.95049,-0.881563,0.911406,0,-4.559,-1.86,0.753149,-4.63995,-0.945794,1.19755,0,-4.41609,-1.86,0.517588,-4.4244,-0.850893,0.868141,0,-4.54673,-1.86,0.487725,-4.62509,-0.800358,0.835183,0,-4.52892,-1.86,0.347302,-4.59903,-0.807691,0.611228,0,-4.32817,-1.86,0.615669,-4.29869,-0.91305,1.00134,0,-4.49545,-1.86,0.192353,-4.54511,-0.836423,0.375826,0,-4.45298,-1.86,0.66766,-4.48633,-0.957914,1.07477,0,-4.35752,-1.86,0.159004,-4.34164,-0.897487,0.333265,0,-4.25532,-1.86,0.441191,-4.17747,-0.825825,0.754712,0,-3.95277,-1.86,0.395497,-3.74122,-0.904655,0.685015,0,-4.39519,-1.86,0.281055,-4.39202,-0.796165,0.511627,0,-4.39241,-1.86,0.751163,-4.39251,-1.00742,1.18622,0,-4.55213,-1.86,0.607922,-4.6364,-0.836561,1.00667,0,-4.22955,-1.86,0.543791,-4.13796,-0.83308,0.921969,0,-4.6527,-1.86,0.369591,-4.79384,-0.823269,0.651008,0,-4.26956,-1.86,0.209274,-4.19795,-0.812117,0.405324,0,-4.59995,-1.86,0.259537,-4.71856,-0.725414,0.477002,0,
0.233338,-4.35508,-3.3656,0.292328,-4.33873,-3.15653,0.528573,-4.7105,-1.86,0.736587,-4.87612,-0.872793,1.19835,0,-3.97165,-1.86,0.555609,-3.78313,-0.946573,0.909163,0,-4.73946,-1.86,0.435884,-4.9244,-0.859093,0.744645,0,-4.17082,-1.86,0.160869,-4.06934,-0.921117,0.338068,0,-4.27462,-1.86,0.72032,-4.24148,-1.05721,1.12793,0,-4.72735,-1.86,0.235794,-4.92178,-0.785591,0.437516,0,-4.6441,-1.86,0.157857,-4.76796,-0.941862,0.329338,0,-3.97624,-1.86,0.18824,-3.8258,-1.04624,0.378337,0,-4.72052,-1.86,0.555568,-4.89442,-0.866657,0.935737,0,-4.09999,-1.86,0.546627,-3.96618,-0.929818,0.898263,0,-4.559,-1.86,0.753149,-4.64029,-1.01924,1.17824,0,-4.41609,-1.86,0.517588,-4.43143,-0.919969,0.855248,0,-4.54673,-1.86,0.487725,-4.62696,-0.89534,0.821349,0,-4.52892,-1.86,0.347302,-4.60172,-0.854637,0.607392,0,-4.32817,-1.86,0.615669,-4.3076,-0.963867,0.989995,0,-4.49545,-1.86,0.192353,-4.54838,-0.886842,0.378648,0,-4.45298,-1.86,0.66766,-4.49159,-1.03893,1.05082,0,-4.35752,-1.86,0.159004,-4.35181,-0.969529,0.337369,0,-4.25532,-1.86,0.441191,-4.19174,-0.891863,0.745017,0,-3.95277,-1.86,0.395497,-3.75735,-0.941555,0.682417,0,-4.39519,-1.86,0.281055,-4.39745,-0.83086,0.510286,0,-4.39241,-1.86,0.751163,-4.39903,-1.06792,1.16288,0,-4.55213,-1.86,0.607922,-4.63759,-0.875993,0.996282,0,-4.22955,-1.86,0.543791,-4.14743,-0.874136,0.907203,0,-4.6527,-1.86,0.369591,-4.79298,-0.867889,0.646501,0,-4.26956,-1.86,0.209274,-4.21654,-0.90761,0.411459,0,-4.59995,-1.86,0.259537,-4.71878,-0.773407,0.474772,0,
0.266672,-4.32904,-3.36501,0.292323,-4.31153,-3.15764,0.527536,-4.7105,-1.86,0.736587,-4.85786,-0.922392,1.18048,0,-3.97165,-1.86,0.555609,-3.79664,-1.02255,0.894724,0,-4.73946,-1.86,0.435884,-4.90285,-0.920443,0.73629,0,-4.17082,-1.86,0.160869,-4.0645,-0.959331,0.337838,0,-4.27462,-1.86,0.72032,-4.23811,-1.12872,1.10513,0,-4.72735,-1.86,0.235794,-4.89617,-0.876728,0.436725,0,-4.6441,-1.86,0.157857,-4.74977,-1.00157,0.332517,0,-3.97624,-1.86,0.18824,-3.83509,-1.11166,0.380511,0,-4.72052,-1.86,0.555568,-4.87211,-0.937681,0.917959,0,-4.09999,-1.86,0.546627,-3.98133,-1.03285,0.881029,0,-4.559,-1.86,0.753149,-4.62513,-1.05,1.16699,0,-4.41609,-1.86,0.517588,-4.42073,-0.967618,0.849719,0,-4.54673,-1.86,0.487725,-4.61046,-0.981245,0.808492,0,-4.52892,-1.86,0.347302,-4.58838,-0.919047,0.602561,0,-4.32817,-1.86,0.615669,-4.30226,-1.03003,0.972036,0,-4.49545,-1.86,0.192353,-4.5357,-0.981278,0.378555,0,-4.45298,-1.86,0.66766,-4.47906,-1.09893,1.03212,0,-4.35752,-1.86,0.159004,-4.34835,-1.08497,0.347284,0,-4.25532,-1.86,0.441191,-4.19508,-0.993955,0.734184,0,-3.95277,-1.86,0.395497,-3.76879,-1.0053,0.673903,0,-4.39519,-1.86,0.281055,-4.38764,-0.868897,0.506217,0,-4.39241,-1.86,0.751163,-4.39001,-1.12809,1.14149,0,-4.55213,-1.86,0.607922,-4.62347,-0.943737,0.979067,0,-4.22955,-1.86,0.543791,-4.14793,-0.942909,0.892409,0,-4.6527,-1.86,0.369591,-4.77401,-0.937117,0.639575,0,-4.26956,-1.86,0.209274,-4.21317,-0.978654,0.41504,0,-4.59995,-1.86,0.259537,-4.69817,-0.898697,0.471522,0,
0.300007,-4.32904,-3.36501,0.292323,-4.29638,-3.15824,0.526959,-4.7105,-1.86,0.736587,-4.84996,-0.978522,1.16267,0,-3.97165,-1.86,0.555609,-3.82133,-1.09782,0.883155,0,-4.73946,-1.86,0.435884,-4.89237,-0.981824,0.729209,0,-4.17082,-1.86,0.160869,-4.07231,-0.996273,0.341914,0,-4.27462,-1.86,0.72032,-4.24563,-1.19377,1.08675,0,-4.72735,-1.86,0.235794,-4.88371,-0.947887,0.43822,0,-4.6441,-1.86,0.157857,-4.74331,-1.05709,0.338899,0,-3.97624,-1.86,0.18824,-3.84508,-1.14559,0.383148,0,-4.72052,-1.86,0.555568,-4.86047,-1.00062,0.900906,0,-4.09999,-1.86,0.546627,-3.99996,-1.11467,0.86641,0,-4.559,-1.86,0.753149,-4.62327,-1.09944,1.15213,0,-4.41609,-1.86,0.517588,-4.42475,-1.0582,0.836159,0,-4.54673,-1.86,0.487725,-4.60545,-1.06561,0.796065,0,-4.52892,-1.86,0.347302,-4.586,-0.984444,0.60058,0,-4.32817,-1.86,0.615669,-4.30768,-1.09204,0.960346,0,-4.49545,-1.86,0.192353,-4.53362,-1.05708,0.386087,0,-4.45298,-1.86,0.66766,-4.47905,-1.14755,1.02031,0,-4.35752,-1.86,0.159004,-4.35236,-1.17285,0.35322,0,-4.25532,-1.86,0.441191,-4.20891,-1.10304,0.725199,0,-3.95277,-1.86,0.395497,-3.78978,-1.0664,0.671468,0,-4.39519,-1.86,0.281055,-4.39223,-0.931871,0.507861,0,-4.39241,-1.86,0.751163,-4.39286,-1.18849,1.12335,0,-4.55213,-1.86,0.607922,-4.61872,-1.03743,0.960074,0,-4.22955,-1.86,0.543791,-4.1561,-0.995262,0.885069,0,-4.6527,-1.86,0.369591,-4.76479,-1.01446,0.634941,0,-4.26956,-1.86,0.209274,-4.2223,-1.05091,0.417652,0,-4.59995,-1.86,0.259537,-4.68758,-1.00537,0.472833,0,
