time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,
0,6.98027,-3.08678,0.171289,7.41739,-3.68935,0.0793304,6.16,-1.11037,0.563689,6.24474,-0.863889,0.640303,0,6.16,-0.760872,0.766065,6.39819,-0.79938,0.818347,0,6.16,-1.63109,0.63233,6.06478,-1.28895,0.839578,0,6.16,-1.10107,0.0276095,6.25916,-0.885516,-0.123547,0,6.16,-1.43789,0.436788,6.10702,-1.05526,0.503462,0,6.16,-1.46976,0.222228,6.09702,-1.08647,0.161325,0,6.16,-1.15033,0.370173,6.25198,-0.938118,0.361897,0,6.16,-1.34162,0.800007,6.19053,-1.07915,1.01969,0,5.64105,-1.86,0.174425,5.12696,-1.59122,0.0846927,0,6.16,-0.548187,-0.0654346,6.47784,-0.781597,-0.191818,0,6.16,-0.746005,0.499543,6.4043,-0.798318,0.484749,0,5.71758,-1.86,0.29168,5.22917,-1.56337,0.287964,0,6.16,-1.61875,0.0315253,6.01451,-1.17863,-0.159703,0,6.16,-1.79861,0.520874,5.93011,-1.3537,0.713183,0,6.16,-0.914674,0.236796,6.32941,-0.808341,0.166216,0,6.16,-1.8474,0.665648,5.9174,-1.42295,0.983343,0,5.72516,-1.86,0.449371,5.24741,-1.56835,0.560111,0,6.12123,-1.86,0.111911,5.70979,-1.25075,-0.0387031,0,5.74447,-1.86,0.738212,5.33183,-1.61901,1.03608,0,5.90909,-1.86,0.390531,5.49106,-1.4832,0.473599,0,5.67218,-1.86,0.0549469,5.17649,-1.58775,-0.119976,0,5.88575,-1.86,0.244946,5.4734,-1.51045,0.210154,0,6.10957,-1.86,0.352278,5.73482,-1.31868,0.429078,0,6.16,-1.72726,0.345489,5.92871,-1.222,0.395481,0,6.06719,-1.86,0.585614,5.69256,-1.37194,0.861997,0,6.16,-1.62546,0.761145,6.04849,-1.25063,1.06371,0,5.8486,-1.86,0.597957,5.36297,-1.46227,0.853898,0,6.16,-1.74984,0.232273,5.91149,-1.23492,0.191287,0,6.06194,-1.86,0.216917,5.59264,-1.2517,0.169994,0,5.98916,-1.86,0.69675,5.64596,-1.4967,1.0185,0,6.04766,-1.86,0.474205,5.63527,-1.34511,0.658168,0,6.16,-1.32787,0.648369,6.19851,-1.0757,0.788247,0,5.93886,-1.86,0.120157,5.46204,-1.38595,-0.0166761,0,
0.0333341,6.98027,-3.08678,0.171289,7.42501,-3.6836,0.0791504,6.16,-1.11037,0.563689,6.27744,-0.950619,0.622929,0,6.16,-0.760872,0.766065,6.42924,-0.90423,0.789614,0,6.16,-1.63109,0.63233,6.13714,-1.43213,0.794855,0,6.16,-1.10107,0.0276095,6.29692,-0.983554,-0.118406,0,6.16,-1.43789,0.436788,6.17271,-1.20384,0.47949,0,6.16,-1.46976,0.222228,6.15164,-1.2045,0.157614,0,6.16,-1.15033,0.370173,6.28644,-1.02207,0.350954,0,6.16,-1.34162,0.800007,6.23516,-1.1883,0.982834,0,5.64105,-1.86,0.174425,5.17532,-1.63486,0.082263,0,6.16,-0.548187,-0.0654346,6.50318,-0.863252,-0.185668,0,6.16,-0.746005,0.499543,6.42651,-0.862123,0.475157,0,5.71758,-1.86,0.29168,5.28734,-1.62164,0.281222,0,6.16,-1.61875,0.0315253,6.08817,-1.32364,-0.14813,0,6.16,-1.79861,0.520874,5.99182,-1.45826,0.685542,0,6.16,-0.914674,0.236796,6.35131,-0.859556,0.162772,0,6.16,-1.8474,0.665648,5.98836,-1.54053,0.937109,0,5.72516,-1.86,0.449371,5.30157,-1.62255,0.546038,0,6.12123,-1.86,0.111911,5.78111,-1.35992,-0.0334605,0,5.74447,-1.86,0.738212,5.40054,-1.69319,1.00024,0,5.90909,-1.86,0.390531,5.5636,-1.57218,0.454064,0,5.67218,-1.86,0.0549469,5.23826,-1.64729,-0.117173,0,5.88575,-1.86,0.244946,5.54154,-1.5907,0.203463,0,6.10957,-1.86,0.352278,5.82903,-1.46411,0.405068,0,6.16,-1.72726,0.345489,6.00669,-1.36338,0.377185,0,6.06719,-1.86,0.585614,5.77068,-1.48787,0.824168,0,6.16,-1.62546,0.761145,6.12068,-1.39617,1.00524,0,5.8486,-1.86,0.597957,5.42652,-1.53782,0.826039,0,6.16,-1.74984,0.232273,6.03609,-1.46247,0.177484,0,6.06194,-1.86,0.216917,5.68872,-1.3958,0.163331,0,5.98916,-1.86,0.69675,5.73214,-1.61466,0.969604,0,6.04766,-1.86,0.474205,5.71123,-1.45442,0.628873,0,6.16,-1.32787,0.648369,6.24282,-1.17914,0.760147,0,5.93886,-1.86,0.120157,5.55125,-1.50014,-0.00776262,0,
0.0666681,6.99858,-3.06961,0.170835,7.44507,-3.66823,0.0786798,6.16,-1.11037,0.563689,6.29625,-1.0655,0.603927,0,6.16,-0.760872,0.766065,6.44041,-1.01093,0.770254,0,6.16,-1.63109,0.63233,6.1957,-1.58197,0.754092,0,6.16,-1.10107,0.0276095,6.32379,-1.11933,-0.104001,0,6.16,-1.43789,0.436788,6.21969,-1.35287,0.459767,0,6.16,-1.46976,0.222228,6.20598,-1.36978,0.155534,0,6.16,-1.15033,0.370173,6.30516,-1.13107,0.343517,0,6.16,-1.34162,0.800007,6.26092,-1.29769,0.94854,0,5.64105,-1.86,0.174425,5.22008,-1.71009,0.0844793,0,6.16,-0.548187,-0.0654346,6.51683,-0.99931,-0.173281,0,6.16,-0.746005,0.499543,6.43307,-0.959925,0.468649,0,5.71758,-1.86,0.29168,5.31831,-1.68135,0.274707,0,6.16,-1.61875,0.0315253,6.14335,-1.46976,-0.130919,0,6.16,-1.79861,0.520874,6.07194,-1.63291,0.64245,0,6.16,-0.914674,0.236796,6.36204,-0.968614,0.16175,0,6.16,-1.8474,0.665648,6.0429,-1.66202,0.895985,0,5.72516,-1.86,0.449371,5.36855,-1.72623,0.528363,0,6.12123,-1.86,0.111911,5.85256,-1.50767,-0.0251769,0,5.74447,-1.86,0.738212,5.45497,-1.78061,0.96898,0,5.90909,-1.86,0.390531,5.61898,-1.67045,0.443842,0,5.67218,-1.86,0.0549469,5.30048,-1.7411,-0.105589,0,5.88575,-1.86,0.244946,5.60219,-1.69432,0.200563,0,6.10957,-1.86,0.352278,5.88835,-1.58508,0.392984,0,6.16,-1.72726,0.345489,6.07891,-1.53132,0.359563,0,6.06719,-1.86,0.585614,5.83085,-1.60794,0.789027,0,6.16,-1.62546,0.761145,6.16711,-1.5229,0.962549,0,5.8486,-1.86,0.597957,5.47509,-1.62615,0.80413,0,6.16,-1.74984,0.232273,6.11678,-1.63438,0.173583,0,6.06194,-1.86,0.216917,5.75768,-1.52811,0.160605,0,5.98916,-1.86,0.69675,5.79325,-1.72514,0.930384,0,6.04766,-1.86,0.474205,5.82032,-1.64595,0.590948,0,6.16,-1.32787,0.648369,6.27649,-1.31048,0.729955,0,5.93886,-1.86,0.120157,5.62583,-1.62587,0.000446096,0,
0.100002,7.00549,-3.06236,0.170353,7.45306,-3.66189,0.0784966,6.16,-1.11037,0.563689,6.3337,-1.15944,0.58732,0,6.16,-0.760872,0.766065,6.46717,-1.08802,0.750154,0,6.16,-1.63109,0.63233,6.25008,-1.68142,0.722116,0,6.16,-1.10107,0.0276095,6.35881,-1.20349,-0.10281,0,6.16,-1.43789,0.436788,6.27065,-1.45857,0.442104,0,6.16,-1.46976,0.222228,6.25473,-1.46656,0.151197,0,6.16,-1.15033,0.370173,6.34379,-1.22754,0.332961,0,6.16,-1.34162,0.800007,6.3065,-1.40159,0.913607,0,5.64105,-1.86,0.174425,5.27418,-1.76043,0.0829528,0,6.16,-0.548187,-0.0654346,6.54471,-1.08361,-0.168937,0,6.16,-0.746005,0.499543,6.45397,-1.01438,0.458083,0,5.71758,-1.86,0.29168,5.36723,-1.73036,0.269,0,6.16,-1.61875,0.0315253,6.20751,-1.59003,-0.120609,0,6.16,-1.79861,0.520874,6.12658,-1.71776,0.621197,0,6.16,-0.914674,0.236796,6.38626,-1.02751,0.159357,0,6.16,-1.8474,0.665648,6.10447,-1.76003,0.856682,0,5.72516,-1.86,0.449371,5.42843,-1.785,0.51363,0,6.12123,-1.86,0.111911,5.92806,-1.61971,-0.020729,0,5.74447,-1.86,0.738212,5.5138,-1.84102,0.940908,0,5.90909,-1.86,0.390531,5.68754,-1.75279,0.427112,0,5.67218,-1.86,0.0549469,5.3662,-1.80442,-0.0994039,0,5.88575,-1.86,0.244946,5.6717,-1.77541,0.196402,0,6.10957,-1.86,0.352278,5.95843,-1.68846,0.378434,0,6.16,-1.72726,0.345489,6.14743,-1.64826,0.345298,0,6.06719,-1.86,0.585614,5.90216,-1.70824,0.758934,0,6.16,-1.62546,0.761145,6.21975,-1.62175,0.921645,0,5.8486,-1.86,0.597957,5.55154,-1.71457,0.776704,0,6.16,-1.74984,0.232273,6.18129,-1.74099,0.167857,0,6.06194,-1.86,0.216917,5.86378,-1.67865,0.155438,0,5.98916,-1.86,0.69675,5.85541,-1.80522,0.895363,0,6.04766,-1.86,0.474205,5.89819,-1.74927,0.56645,0,6.16,-1.32787,0.648369,6.324,-1.41802,0.701487,0,5.93886,-1.86,0.120157,5.70155,-1.71843,0.00230233,0,
0.133336,7.02393,-3.04454,0.169919,7.47349,-3.64562,0.0780287,6.16,-1.11037,0.563689,6.34199,-1.22467,0.575156,0,6.16,-0.760872,0.766065,6.47015,-1.14886,0.740128,0,6.16,-1.63109,0.63233,6.28511,-1.77106,0.696026,0,6.16,-1.10107,0.0276095,6.37357,-1.28676,-0.0921165,0,6.16,-1.43789,0.436788,6.28907,-1.5264,0.434174,0,6.16,-1.46976,0.222228,6.28345,-1.5574,0.150446,0,6.16,-1.15033,0.370173,6.35388,-1.29281,0.329168,0,6.16,-1.34162,0.800007,6.31989,-1.46443,0.892215,0,5.64105,-1.86,0.174425,5.30467,-1.81363,0.0838764,0,6.16,-0.548187,-0.0654346,6.54273,-1.12959,-0.160689,0,6.16,-0.746005,0.499543,6.45938,-1.09197,0.454306,0,5.71758,-1.86,0.29168,5.39676,-1.78459,0.263363,0,6.16,-1.61875,0.0315253,6.23292,-1.66057,-0.112445,0,6.16,-1.79861,0.520874,6.16893,-1.81133,0.596924,0,6.16,-0.914674,0.236796,6.39301,-1.10508,0.157435,0,6.16,-1.8474,0.665648,6.13919,-1.83597,0.830021,0,5.72516,-1.86,0.449371,5.45526,-1.83417,0.506665,0,6.12123,-1.86,0.111911,5.96273,-1.69372,-0.0175676,0,5.74447,-1.86,0.738212,5.55854,-1.91021,0.910498,0,5.90909,-1.86,0.390531,5.71757,-1.80909,0.420266,0,5.67218,-1.86,0.0549469,5.39342,-1.85178,-0.0998197,0,5.88575,-1.86,0.244946,5.696,-1.8224,0.190752,0,6.10957,-1.86,0.352278,5.99856,-1.76952,0.365429,0,6.16,-1.72726,0.345489,6.18458,-1.73535,0.336219,0,6.06719,-1.86,0.585614,5.93995,-1.78345,0.734322,0,6.16,-1.62546,0.761145,6.25618,-1.71736,0.885477,0,5.8486,-1.86,0.597957,5.57805,-1.76561,0.759894,0,6.16,-1.74984,0.232273,6.21069,-1.81019,0.166006,0,6.06194,-1.86,0.216917,5.91116,-1.7643,0.151935,0,5.98916,-1.86,0.69675,5.90077,-1.88564,0.867558,0,6.04766,-1.86,0.474205,5.93905,-1.82561,0.546015,0,6.16,-1.32787,0.648369,6.34275,-1.49228,0.686137,0,5.93886,-1.86,0.120157,5.72738,-1.76955,0.0033533,0,
0.16667,7.02393,-3.04454,0.169919,7.48468,-3.63635,0.0777791,6.16,-1.11037,0.563689,6.35664,-1.26513,0.566238,0,6.16,-0.760872,0.766065,6.47339,-1.14609,0.735605,0,6.16,-1.63109,0.63233,6.311,-1.81859,0.678739,0,6.16,-1.10107,0.0276095,6.39656,-1.35013,-0.0897936,0,6.16,-1.43789,0.436788,6.31134,-1.57599,0.424689,0,6.16,-1.46976,0.222228,6.30604,-1.60366,0.146444,0,6.16,-1.15033,0.370173,6.37025,-1.33707,0.32206,0,6.16,-1.34162,0.800007,6.33102,-1.48848,0.88143,0,5.64105,-1.86,0.174425,5.32935,-1.83866,0.0841279,0,6.16,-0.548187,-0.0654346,6.55106,-1.16015,-0.161376,0,6.16,-0.746005,0.499543,6.46555,-1.10365,0.447526,0,5.71758,-1.86,0.29168,5.42684,-1.81755,0.259468,0,6.16,-1.61875,0.0315253,6.26179,-1.71672,-0.108062,0,6.16,-1.79861,0.520874,6.19641,-1.85526,0.584154,0,6.16,-0.914674,0.236796,6.41044,-1.15941,0.15594,0,6.16,-1.8474,0.665648,6.16549,-1.87778,0.811783,0,5.72516,-1.86,0.449371,5.47872,-1.85955,0.49925,0,6.12123,-1.86,0.111911,6.00404,-1.75784,-0.0165401,0,5.74447,-1.86,0.738212,5.58765,-1.94102,0.896722,0,5.90909,-1.86,0.390531,5.74585,-1.84461,0.412952,0,5.67218,-1.86,0.0549469,5.42185,-1.88205,-0.0979299,0,5.88575,-1.86,0.244946,5.72047,-1.85274,0.188055,0,6.10957,-1.86,0.352278,6.02999,-1.81611,0.358761,0,6.16,-1.72726,0.345489,6.21763,-1.79314,0.327018,0,6.06719,-1.86,0.585614,5.97226,-1.82976,0.720596,0,6.16,-1.62546,0.761145,6.28798,-1.77746,0.85924,0,5.8486,-1.86,0.597957,5.60879,-1.80346,0.747317,0,6.16,-1.74984,0.232273,6.24733,-1.87405,0.160968,0,6.06194,-1.86,0.216917,5.95683,-1.82907,0.151538,0,5.98916,-1.86,0.69675,5.92888,-1.92165,0.852262,0,6.04766,-1.86,0.474205,5.97744,-1.87953,0.532228,0,6.16,-1.32787,0.648369,6.36353,-1.54208,0.671235,0,5.93886,-1.86,0.120157,5.7612,-1.81396,0.00252318,0,
0.200004,7.04136,-3.027,0.169448,7.49289,-3.62955,0.0775962,6.16,-1.11037,0.563689,6.37905,-1.31917,0.558252,0,6.16,-0.760872,0.766065,6.4897,-1.20385,0.721893,0,6.16,-1.63109,0.63233,6.34737,-1.88407,0.659852,0,6.16,-1.10107,0.0276095,6.41702,-1.39552,-0.0868803,0,6.16,-1.43789,0.436788,6.34342,-1.64087,0.416882,0,6.16,-1.46976,0.222228,6.3394,-1.67013,0.147841,0,6.16,-1.15033,0.370173,6.39678,-1.40128,0.318342,0,6.16,-1.34162,0.800007,6.35315,-1.53688,0.868244,0,5.64105,-1.86,0.174425,5.36014,-1.86611,0.0836584,0,6.16,-0.548187,-0.0654346,6.56593,-1.20652,-0.153751,0,6.16,-0.746005,0.499543,6.4769,-1.13544,0.4444,0,5.71758,-1.86,0.29168,5.46942,-1.85973,0.257392,0,6.16,-1.61875,0.0315253,6.30134,-1.7881,-0.0998628,0,6.16,-1.79861,0.520874,6.23447,-1.9154,0.570933,0,6.16,-0.914674,0.236796,6.4345,-1.22264,0.157763,0,6.16,-1.8474,0.665648,6.20104,-1.93194,0.793581,0,5.72516,-1.86,0.449371,5.51342,-1.89381,0.492049,0,6.12123,-1.86,0.111911,6.04658,-1.81718,-0.00902675,0,5.74447,-1.86,0.738212,5.62608,-1.97997,0.880448,0,5.90909,-1.86,0.390531,5.79434,-1.90204,0.404576,0,5.67218,-1.86,0.0549469,5.45478,-1.91219,-0.0929776,0,5.88575,-1.86,0.244946,5.75991,-1.89803,0.184452,0,6.10957,-1.86,0.352278,6.07811,-1.88527,0.349972,0,6.16,-1.72726,0.345489,6.25881,-1.86091,0.32143,0,6.06719,-1.86,0.585614,6.01615,-1.88952,0.702795,0,6.16,-1.62546,0.761145,6.33009,-1.85389,0.828798,0,5.8486,-1.86,0.597957,5.65992,-1.85915,0.735867,0,6.16,-1.74984,0.232273,6.2809,-1.92611,0.162388,0,6.06194,-1.86,0.216917,5.99815,-1.88258,0.149896,0,5.98916,-1.86,0.69675,5.96908,-1.97244,0.832953,0,6.04766,-1.86,0.474205,6.01487,-1.92747,0.522751,0,6.16,-1.32787,0.648369,6.39036,-1.59945,0.657568,0,5.93886,-1.86,0.120157,5.80287,-1.86324,0.00631416,0,
0.233338,7.04763,-3.01987,0.168912,7.50017,-3.62328,0.0774379,6.16,-1.11037,0.563689,6.41219,-1.39542,0.548718,0,6.16,-0.760872,0.766065,6.51647,-1.27289,0.711671,0,6.16,-1.63109,0.63233,6.39349,-1.96298,0.638395,0,6.16,-1.10107,0.0276095,6.45539,-1.48756,-0.0729567,0,6.16,-1.43789,0.436788,6.38722,-1.726,0.407043,0,6.16,-1.46976,0.222228,6.37751,-1.74141,0.148756,0,6.16,-1.15033,0.370173,6.43147,-1.4783,0.316372,0,6.16,-1.34162,0.800007,6.40458,-1.64863,0.832896,0,5.64105,-1.86,0.174425,5.40946,-1.91048,0.0877303,0,6.16,-0.548187,-0.0654346,6.58454,-1.25619,-0.144266,0,6.16,-0.746005,0.499543,6.50157,-1.20089,0.443502,0,5.71758,-1.86,0.29168,5.50948,-1.89498,0.258134,0,6.16,-1.61875,0.0315253,6.34712,-1.86624,-0.0880808,0,6.16,-1.79861,0.520874,6.2778,-1.9805,0.556171,0,6.16,-0.914674,0.236796,6.46294,-1.29181,0.160916,0,6.16,-1.8474,0.665648,6.24956,-2.00384,0.768099,0,5.72516,-1.86,0.449371,5.5589,-1.93671,0.485748,0,6.12123,-1.86,0.111911,6.09755,-1.88783,-0.00328417,0,5.74447,-1.86,0.738212,5.67138,-2.02298,0.865018,0,5.90909,-1.86,0.390531,5.84242,-1.95446,0.397631,0,5.67218,-1.86,0.0549469,5.49448,-1.94726,-0.0866151,0,5.88575,-1.86,0.244946,5.80032,-1.94006,0.187367,0,6.10957,-1.86,0.352278,6.1228,-1.9436,0.346134,0,6.16,-1.72726,0.345489,6.30947,-1.94152,0.314486,0,6.06719,-1.86,0.585614,6.05754,-1.94256,0.684632,0,6.16,-1.62546,0.761145,6.37714,-1.93441,0.799989,0,5.8486,-1.86,0.597957,5.71822,-1.92096,0.717146,0,6.16,-1.74984,0.232273,6.3243,-1.99436,0.161527,0,6.06194,-1.86,0.216917,6.05745,-1.96023,0.149425,0,5.98916,-1.86,0.69675,6.01293,-2.024,0.81485,0,6.04766,-1.86,0.474205,6.06444,-1.99091,0.510002,0,6.16,-1.32787,0.648369,6.42385,-1.66773,0.643033,0,5.93886,-1.86,0.120157,5.85235,-1.91885,0.0136362,0,
0.266672,7.06494,-3.00169,0.168412,7.51116,-3.61369,0.0772016,6.16,-1.11037,0.563689,6.43395,-1.4523,0.53723,0,6.16,-0.760872,0.766065,6.53156,-1.32131,0.6995,0,6.16,-1.63109,0.63233,6.42777,-2.02348,0.619082,0,6.16,-1.10107,0.0276095,6.47663,-1.54063,-0.0723182,0,6.16,-1.43789,0.436788,6.41953,-1.79203,0.396263,0,6.16,-1.46976,0.222228,6.40594,-1.79889,0.146026,0,6.16,-1.15033,0.370173,6.45231,-1.53024,0.310981,0,6.16,-1.34162,0.800007,6.43224,-1.70723,0.811547,0,5.64105,-1.86,0.174425,5.4376,-1.93778,0.0854705,0,6.16,-0.548187,-0.0654346,6.59723,-1.30384,-0.140991,0,6.16,-0.746005,0.499543,6.51218,-1.23608,0.434398,0,5.71758,-1.86,0.29168,5.54673,-1.93515,0.253516,0,6.16,-1.61875,0.0315253,6.38525,-1.93514,-0.0825391,0,6.16,-1.79861,0.520874,6.30734,-2.02697,0.543277,0,6.16,-0.914674,0.236796,6.47953,-1.34099,0.157601,0,6.16,-1.8474,0.665648,6.28186,-2.05288,0.747402,0,5.72516,-1.86,0.449371,5.59591,-1.9759,0.475601,0,6.12123,-1.86,0.111911,6.13799,-1.94668,-0.00182865,0,5.74447,-1.86,0.738212,5.71242,-2.06717,0.845283,0,5.90909,-1.86,0.390531,5.87489,-1.99294,0.390298,0,5.67218,-1.86,0.0549469,5.52846,-1.9821,-0.0834091,0,5.88575,-1.86,0.244946,5.84142,-1.98946,0.184772,0,6.10957,-1.86,0.352278,6.16455,-2.00443,0.336369,0,6.16,-1.72726,0.345489,6.35155,-2.01135,0.302272,0,6.06719,-1.86,0.585614,6.09865,-1.99977,0.667791,0,6.16,-1.62546,0.761145,6.41109,-1.99501,0.774656,0,5.8486,-1.86,0.597957,5.75979,-1.96849,0.699362,0,6.16,-1.74984,0.232273,6.35333,-2.04072,0.159616,0,6.06194,-1.86,0.216917,6.09173,-2.00522,0.145894,0,5.98916,-1.86,0.69675,6.04264,-2.06225,0.796936,0,6.04766,-1.86,0.474205,6.1098,-2.05196,0.494186,0,6.16,-1.32787,0.648369,6.44798,-1.72265,0.62546,0,5.93886,-1.86,0.120157,5.89205,-1.96774,0.0149492,0,
0.300007,7.07123,-2.99429,0.167874,7.51939,-3.60661,0.0770229,6.16,-1.11037,0.563689,6.45852,-1.5072,0.526844,0,6.16,-0.760872,0.766065,6.5434,-1.34492,0.691526,0,6.16,-1.63109,0.63233,6.45898,-2.07438,0.602566,0,6.16,-1.10107,0.0276095,6.50525,-1.60697,-0.0663574,0,6.16,-1.43789,0.436788,6.45299,-1.85448,0.386627,0,6.16,-1.46976,0.222228,6.43718,-1.85621,0.144783,0,6.16,-1.15033,0.370173,6.47632,-1.58313,0.305388,0,6.16,-1.34162,0.800007,6.44945,-1.73702,0.799953,0,5.64105,-1.86,0.174425,5.47009,-1.96571,0.0853918,0,6.16,-0.548187,-0.0654346,6.61405,-1.35078,-0.136563,0,6.16,-0.746005,0.499543,6.52811,-1.2764,0.431209,0,5.71758,-1.86,0.29168,5.58912,-1.97478,0.249537,0,6.16,-1.61875,0.0315253,6.41914,-1.99073,-0.077455,0,6.16,-1.79861,0.520874,6.34532,-2.08394,0.527166,0,6.16,-0.914674,0.236796,6.50088,-1.39372,0.155833,0,6.16,-1.8474,0.665648,6.31421,-2.09817,0.731319,0,5.72516,-1.86,0.449371,5.63044,-2.00702,0.469694,0,6.12123,-1.86,0.111911,6.17698,-1.99867,0.000529654,0,5.74447,-1.86,0.738212,5.7491,-2.10117,0.82953,0,5.90909,-1.86,0.390531,5.90882,-2.02948,0.382663,0,5.67218,-1.86,0.0549469,5.5647,-2.01419,-0.081063,0,5.88575,-1.86,0.244946,5.88061,-2.03074,0.182599,0,6.10957,-1.86,0.352278,6.20211,-2.05346,0.328166,0,6.16,-1.72726,0.345489,6.38444,-2.06027,0.297756,0,6.06719,-1.86,0.585614,6.14156,-2.05419,0.650683,0,6.16,-1.62546,0.761145,6.44131,-2.04459,0.752535,0,5.8486,-1.86,0.597957,5.79596,-2.00454,0.688321,0,6.16,-1.74984,0.232273,6.39028,-2.09757,0.155945,0,6.06194,-1.86,0.216917,6.11946,-2.03829,0.14589,0,5.98916,-1.86,0.69675,6.07658,-2.10234,0.779136,0,6.04766,-1.86,0.474205,6.15084,-2.10195,0.482822,0,6.16,-1.32787,0.648369,6.47194,-1.76958,0.611426,0,5.93886,-1.86,0.120157,5.92634,-2.00475,0.0175722,0,
