time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,
0,7.44119,-2.31925,0.155278,7.9574,-2.98583,0.071945,6.16,-1.04781,0.599282,5.91383,-0.957812,0.780156,0,6.16,-1.71935,0.620138,5.53564,-1.85187,0.950646,0,6.16,-1.14259,0.733448,5.85578,-1.05568,1.02035,0,6.16,-1.30645,0.492885,5.6651,-1.17372,0.675992,0,6.16,-0.718896,0.585012,6.07044,-0.628799,0.704865,0,6.16,-1.39409,0.04453,5.63665,-1.30998,-0.128663,0,6.16,-1.16377,0.281185,5.76289,-1.00664,0.287608,0,6.16,-0.852603,0.41886,5.94614,-0.683423,0.485728,0,6.16,-1.35836,0.219903,5.66574,-1.26708,0.18754,0,6.16,-1.51102,0.611535,5.54027,-1.461,0.932733,0,6.16,-1.70725,0.185778,5.38803,-1.75848,0.133112,0,6.16,-1.38673,0.344644,5.62047,-1.28487,0.417356,0,6.16,-1.06298,0.422504,5.83688,-0.906545,0.514236,0,6.16,-1.2193,0.603089,5.75656,-1.09632,0.841199,0,6.16,-1.52154,0.256596,5.54993,-1.48686,0.262331,0,6.16,-1.2257,0.398155,5.71948,-1.07566,0.496192,0,6.16,-0.859399,0.131788,5.92378,-0.668624,0.0346606,0,6.16,-0.864661,0.276413,5.92686,-0.680466,0.26393,0,6.16,-1.37021,0.700668,5.71291,-1.32322,1.0274,0,6.16,-1.10728,0.142736,5.7782,-0.924366,0.0506125,0,6.16,-1.70503,0.0705382,5.46964,-1.79315,-0.0925984,0,6.16,-1.56396,0.107534,5.47206,-1.52066,-0.0206707,0,
0.0333341,7.44119,-2.31925,0.155278,7.96216,-2.97674,0.0719322,6.16,-1.04781,0.599282,5.92392,-0.968995,0.774484,0,6.16,-1.71935,0.620138,5.59679,-1.88961,0.927752,0,6.16,-1.14259,0.733448,5.88264,-1.08981,1.00172,0,6.16,-1.30645,0.492885,5.70614,-1.21591,0.665321,0,6.16,-0.718896,0.585012,6.08406,-0.651198,0.69937,0,6.16,-1.39409,0.04453,5.71837,-1.38353,-0.11971,0,6.16,-1.16377,0.281185,5.80433,-1.05537,0.283164,0,6.16,-0.852603,0.41886,5.96806,-0.719834,0.478242,0,6.16,-1.35836,0.219903,5.7257,-1.3242,0.186839,0,6.16,-1.51102,0.611535,5.58556,-1.49775,0.918743,0,6.16,-1.70725,0.185778,5.50939,-1.83188,0.130823,0,6.16,-1.38673,0.344644,5.68949,-1.34803,0.406458,0,6.16,-1.06298,0.422504,5.8797,-0.962376,0.504478,0,6.16,-1.2193,0.603089,5.79216,-1.13813,0.827436,0,6.16,-1.52154,0.256596,5.60362,-1.52804,0.257341,0,6.16,-1.2257,0.398155,5.74867,-1.10626,0.493579,0,6.16,-0.859399,0.131788,5.94348,-0.700574,0.0329943,0,6.16,-0.864661,0.276413,5.93498,-0.690467,0.266281,0,6.16,-1.37021,0.700668,5.75449,-1.36349,1.00726,0,6.16,-1.10728,0.142736,5.82336,-0.980499,0.051103,0,6.16,-1.70503,0.0705382,5.57089,-1.85501,-0.0886022,0,6.16,-1.56396,0.107534,5.55585,-1.58339,-0.0183312,0,
0.0666681,7.45098,-2.2952,0.155232,7.97435,-2.95315,0.0719059,6.16,-1.04781,0.599282,6.00717,-1.06364,0.750807,0,6.16,-1.71935,0.620138,5.76006,-1.9754,0.866654,0,6.16,-1.14259,0.733448,5.96114,-1.17031,0.968549,0,6.16,-1.30645,0.492885,5.80479,-1.30198,0.642234,0,6.16,-0.718896,0.585012,6.12058,-0.70139,0.691698,0,6.16,-1.39409,0.04453,5.84195,-1.47925,-0.10953,0,6.16,-1.16377,0.281185,5.85773,-1.10295,0.285495,0,6.16,-0.852603,0.41886,6.01386,-0.774431,0.477802,0,6.16,-1.35836,0.219903,5.83908,-1.41595,0.185166,0,6.16,-1.51102,0.611535,5.7443,-1.61093,0.862536,0,6.16,-1.70725,0.185778,5.66389,-1.91069,0.124016,0,6.16,-1.38673,0.344644,5.80425,-1.43829,0.390961,0,6.16,-1.06298,0.422504,5.94131,-1.02608,0.495702,0,6.16,-1.2193,0.603089,5.8698,-1.21093,0.803138,0,6.16,-1.52154,0.256596,5.76108,-1.63676,0.246794,0,6.16,-1.2257,0.398155,5.83175,-1.18496,0.481977,0,6.16,-0.859399,0.131788,5.9891,-0.758682,0.0380549,0,6.16,-0.864661,0.276413,5.98702,-0.759591,0.267071,0,6.16,-1.37021,0.700668,5.88012,-1.46477,0.962351,0,6.16,-1.10728,0.142736,5.89677,-1.05566,0.0553498,0,6.16,-1.70503,0.0705382,5.71785,-1.93035,-0.0772953,0,6.16,-1.56396,0.107534,5.69573,-1.67255,-0.0101139,0,
0.100002,7.45098,-2.2952,0.155232,7.9811,-2.93993,0.0718943,6.16,-1.04781,0.599282,6.05421,-1.11457,0.719596,0,6.16,-1.71935,0.620138,5.82671,-2.00841,0.837388,0,6.16,-1.14259,0.733448,6.00534,-1.21532,0.937729,0,6.16,-1.30645,0.492885,5.87037,-1.35956,0.613758,0,6.16,-0.718896,0.585012,6.15564,-0.75431,0.666286,0,6.16,-1.39409,0.04453,5.93727,-1.55523,-0.105602,0,6.16,-1.16377,0.281185,5.90691,-1.15548,0.270537,0,6.16,-0.852603,0.41886,6.07003,-0.851105,0.450748,0,6.16,-1.35836,0.219903,5.92282,-1.48494,0.170611,0,6.16,-1.51102,0.611535,5.82538,-1.66599,0.822946,0,6.16,-1.70725,0.185778,5.79045,-1.97714,0.11335,0,6.16,-1.38673,0.344644,5.89031,-1.50641,0.366811,0,6.16,-1.06298,0.422504,6.00118,-1.09335,0.47061,0,6.16,-1.2193,0.603089,5.92493,-1.26453,0.772453,0,6.16,-1.52154,0.256596,5.85649,-1.70144,0.232792,0,6.16,-1.2257,0.398155,5.88555,-1.23585,0.45952,0,6.16,-0.859399,0.131788,6.01887,-0.794715,0.0278873,0,6.16,-0.864661,0.276413,6.02697,-0.811685,0.251072,0,6.16,-1.37021,0.700668,5.93513,-1.50998,0.928805,0,6.16,-1.10728,0.142736,5.95988,-1.1231,0.0472012,0,6.16,-1.70503,0.0705382,5.83026,-1.99051,-0.0738838,0,6.16,-1.56396,0.107534,5.79508,-1.73683,-0.0144548,0,
0.133336,7.46071,-2.27106,0.155184,7.9863,-2.92976,0.071885,6.16,-1.04781,0.599282,6.10348,-1.17491,0.699735,0,6.16,-1.71935,0.620138,5.89996,-2.05097,0.809152,0,6.16,-1.14259,0.733448,6.05134,-1.26794,0.914779,0,6.16,-1.30645,0.492885,5.93637,-1.4218,0.593807,0,6.16,-0.718896,0.585012,6.1845,-0.800435,0.655104,0,6.16,-1.39409,0.04453,6.0179,-1.62188,-0.0982455,0,6.16,-1.16377,0.281185,5.95786,-1.21175,0.266196,0,6.16,-0.852603,0.41886,6.10381,-0.897069,0.44156,0,6.16,-1.35836,0.219903,5.97724,-1.53245,0.167468,0,6.16,-1.51102,0.611535,5.898,-1.72041,0.794531,0,6.16,-1.70725,0.185778,5.87562,-2.02438,0.115474,0,6.16,-1.38673,0.344644,5.96212,-1.56739,0.355121,0,6.16,-1.06298,0.422504,6.05001,-1.15103,0.46108,0,6.16,-1.2193,0.603089,5.97224,-1.31411,0.755063,0,6.16,-1.52154,0.256596,5.91945,-1.74689,0.227103,0,6.16,-1.2257,0.398155,5.93643,-1.28909,0.449405,0,6.16,-0.859399,0.131788,6.05155,-0.84391,0.029191,0,6.16,-0.864661,0.276413,6.05838,-0.856914,0.248851,0,6.16,-1.37021,0.700668,5.99032,-1.55984,0.903087,0,6.16,-1.10728,0.142736,6.01376,-1.18369,0.0472182,0,6.16,-1.70503,0.0705382,5.922,-2.04143,-0.0684965,0,6.16,-1.56396,0.107534,5.87237,-1.78979,-0.0120915,0,
0.16667,7.4641,-2.26195,0.154945,7.99078,-2.92087,0.0718792,6.16,-1.04781,0.599282,6.15192,-1.2333,0.680663,0,6.16,-1.71935,0.620138,5.97472,-2.0937,0.780948,0,6.16,-1.14259,0.733448,6.09832,-1.32065,0.895151,0,6.16,-1.30645,0.492885,5.992,-1.47413,0.580414,0,6.16,-0.718896,0.585012,6.21613,-0.851304,0.645576,0,6.16,-1.39409,0.04453,6.07905,-1.67293,-0.0926381,0,6.16,-1.16377,0.281185,5.99223,-1.24947,0.261581,0,6.16,-0.852603,0.41886,6.13773,-0.94625,0.438026,0,6.16,-1.35836,0.219903,6.0403,-1.58894,0.166919,0,6.16,-1.51102,0.611535,5.97042,-1.77458,0.77138,0,6.16,-1.70725,0.185778,5.951,-2.067,0.115084,0,6.16,-1.38673,0.344644,6.02447,-1.62073,0.348365,0,6.16,-1.06298,0.422504,6.08787,-1.19612,0.453884,0,6.16,-1.2193,0.603089,6.01541,-1.35945,0.741944,0,6.16,-1.52154,0.256596,5.99697,-1.80413,0.220287,0,6.16,-1.2257,0.398155,5.95676,-1.31004,0.445262,0,6.16,-0.859399,0.131788,6.07562,-0.877571,0.0256799,0,6.16,-0.864661,0.276413,6.0945,-0.909137,0.246598,0,6.16,-1.37021,0.700668,6.03641,-1.60157,0.883256,0,6.16,-1.10728,0.142736,6.05446,-1.22998,0.0507654,0,6.16,-1.70503,0.0705382,5.99272,-2.08135,-0.0641191,0,6.16,-1.56396,0.107534,5.95002,-1.84367,-0.00715226,0,
0.200004,7.47357,-2.23804,0.15492,8.00246,-2.89746,0.0718686,6.16,-1.04781,0.599282,6.20053,-1.27946,0.664057,0,6.16,-1.71935,0.620138,6.05685,-2.12817,0.752407,0,6.16,-1.14259,0.733448,6.16017,-1.37711,0.866119,0,6.16,-1.30645,0.492885,6.0618,-1.5277,0.56221,0,6.16,-0.718896,0.585012,6.245,-0.886126,0.635671,0,6.16,-1.39409,0.04453,6.16914,-1.73501,-0.0850414,0,6.16,-1.16377,0.281185,6.04978,-1.30185,0.25593,0,6.16,-0.852603,0.41886,6.18306,-0.999493,0.426554,0,6.16,-1.35836,0.219903,6.12065,-1.64649,0.162998,0,6.16,-1.51102,0.611535,6.03124,-1.8085,0.749912,0,6.16,-1.70725,0.185778,6.05275,-2.11177,0.112696,0,6.16,-1.38673,0.344644,6.09995,-1.6727,0.337591,0,6.16,-1.06298,0.422504,6.15099,-1.25895,0.44009,0,6.16,-1.2193,0.603089,6.08249,-1.41707,0.719227,0,6.16,-1.52154,0.256596,6.0962,-1.8626,0.21281,0,6.16,-1.2257,0.398155,6.03218,-1.37809,0.431819,0,6.16,-0.859399,0.131788,6.11549,-0.924159,0.0222529,0,6.16,-0.864661,0.276413,6.13461,-0.954836,0.240333,0,6.16,-1.37021,0.700668,6.09588,-1.64323,0.858944,0,6.16,-1.10728,0.142736,6.1184,-1.29068,0.0497818,0,6.16,-1.70503,0.0705382,6.0887,-2.12323,-0.0584281,0,6.16,-1.56396,0.107534,6.04341,-1.89517,-0.00427602,0,
0.233338,7.47692,-2.22912,0.154689,8.00912,-2.88392,0.0718659,6.16,-1.04781,0.599282,6.27952,-1.3652,0.633938,0,6.16,-1.71935,0.620138,6.20578,-2.20017,0.693842,0,6.16,-1.14259,0.733448,6.24688,-1.46298,0.8257,0,6.16,-1.30645,0.492885,6.16305,-1.61274,0.532905,0,6.16,-0.718896,0.585012,6.32857,-1.00521,0.602805,0,6.16,-1.39409,0.04453,6.30593,-1.83529,-0.0763722,0,6.16,-1.16377,0.281185,6.14962,-1.39931,0.2443,0,6.16,-0.852603,0.41886,6.25637,-1.09263,0.40859,0,6.16,-1.35836,0.219903,6.20135,-1.70937,0.159993,0,6.16,-1.51102,0.611535,6.13145,-1.87614,0.712978,0,6.16,-1.70725,0.185778,6.18777,-2.17678,0.105328,0,6.16,-1.38673,0.344644,6.21471,-1.7598,0.319327,0,6.16,-1.06298,0.422504,6.22856,-1.34059,0.421259,0,6.16,-1.2193,0.603089,6.17703,-1.50421,0.684761,0,6.16,-1.52154,0.256596,6.21355,-1.9372,0.201673,0,6.16,-1.2257,0.398155,6.14197,-1.47812,0.409062,0,6.16,-0.859399,0.131788,6.20048,-1.03353,0.0263743,0,6.16,-0.864661,0.276413,6.21435,-1.05649,0.233215,0,6.16,-1.37021,0.700668,6.20934,-1.73322,0.807461,0,6.16,-1.10728,0.142736,6.2214,-1.39451,0.0493656,0,6.16,-1.70503,0.0705382,6.20872,-2.18157,-0.0522122,0,6.16,-1.56396,0.107534,6.17824,-1.97662,0.00351732,0,
0.266672,7.48659,-2.20494,0.154673,8.00689,-2.88855,0.071865,6.16,-1.04781,0.599282,6.30492,-1.40399,0.623529,0,6.16,-1.71935,0.620138,6.24514,-2.23014,0.680415,0,6.16,-1.14259,0.733448,6.27334,-1.50056,0.810981,0,6.16,-1.30645,0.492885,6.20058,-1.65545,0.519012,0,6.16,-0.718896,0.585012,6.36183,-1.06091,0.588584,0,6.16,-1.39409,0.04453,6.3712,-1.8957,-0.0700965,0,6.16,-1.16377,0.281185,6.18992,-1.44941,0.240864,0,6.16,-0.852603,0.41886,6.28395,-1.13777,0.404977,0,6.16,-1.35836,0.219903,6.237,-1.75038,0.157177,0,6.16,-1.51102,0.611535,6.20798,-1.93931,0.682854,0,6.16,-1.70725,0.185778,6.23053,-2.20924,0.106771,0,6.16,-1.38673,0.344644,6.26451,-1.80955,0.311558,0,6.16,-1.06298,0.422504,6.25997,-1.38566,0.4139,0,6.16,-1.2193,0.603089,6.22197,-1.55736,0.665429,0,6.16,-1.52154,0.256596,6.25974,-1.97903,0.197736,0,6.16,-1.2257,0.398155,6.18357,-1.52695,0.398968,0,6.16,-0.859399,0.131788,6.23314,-1.08386,0.0310856,0,6.16,-0.864661,0.276413,6.25508,-1.11823,0.228175,0,6.16,-1.37021,0.700668,6.26858,-1.79147,0.778716,0,6.16,-1.10728,0.142736,6.25094,-1.4349,0.0495009,0,6.16,-1.70503,0.0705382,6.25254,-2.21513,-0.0471269,0,6.16,-1.56396,0.107534,6.20554,-2.0036,0.00766793,0,
0.300007,7.48659,-2.20494,0.154673,8.01865,-2.86497,0.0718543,6.16,-1.04781,0.599282,6.3166,-1.40546,0.619745,0,6.16,-1.71935,0.620138,6.27601,-2.23558,0.669396,0,6.16,-1.14259,0.733448,6.28992,-1.50646,0.805251,0,6.16,-1.30645,0.492885,6.22418,-1.66487,0.512929,0,6.16,-0.718896,0.585012,6.37465,-1.06635,0.586029,0,6.16,-1.39409,0.04453,6.39927,-1.90446,-0.0679144,0,6.16,-1.16377,0.281185,6.20971,-1.45757,0.239248,0,6.16,-0.852603,0.41886,6.29862,-1.14541,0.402578,0,6.16,-1.35836,0.219903,6.27655,-1.7715,0.15288,0,6.16,-1.51102,0.611535,6.24954,-1.95524,0.668698,0,6.16,-1.70725,0.185778,6.25917,-2.21339,0.104829,0,6.16,-1.38673,0.344644,6.28456,-1.81334,0.308495,0,6.16,-1.06298,0.422504,6.2708,-1.38532,0.413117,0,6.16,-1.2193,0.603089,6.2434,-1.56572,0.659091,0,6.16,-1.52154,0.256596,6.27752,-1.97946,0.196262,0,6.16,-1.2257,0.398155,6.20643,-1.53713,0.39527,0,6.16,-0.859399,0.131788,6.24918,-1.09325,0.0304703,0,6.16,-0.864661,0.276413,6.27111,-1.12612,0.227072,0,6.16,-1.37021,0.700668,6.29463,-1.80007,0.769244,0,6.16,-1.10728,0.142736,6.26524,-1.43849,0.0503086,0,6.16,-1.70503,0.0705382,6.27868,-2.21787,-0.0469881,0,6.16,-1.56396,0.107534,6.24202,-2.01707,0.00749123,0,
