time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,
0,7.52469,1.62199,0.191366,7.52684,1.62164,0.193352,6.16,1.47026,0.0885898,4.96731,1.33706,0.00059031,0,6.16,1.18598,0.507003,5.03529,0.825597,0.769618,0,6.16,1.73236,0.656634,4.97084,1.82834,1.06478,0,6.16,1.27049,0.565443,5.0447,0.982311,0.873733,0,6.16,1.33994,0.655808,5.05349,1.11045,1.0351,0,6.16,1.26203,0.374352,4.88302,0.924288,0.547851,0,6.16,1.50421,0.549565,5.02845,1.40601,0.849119,0,6.16,1.62382,0.442903,4.95729,1.62507,0.666965,0,6.16,1.55791,0.646482,5.00473,1.5032,1.03446,0,6.16,1.47287,0.418654,4.97589,1.34289,0.618211,0,6.16,1.23171,0.265202,5.00166,0.899473,0.329976,0,6.16,1.26503,0.106089,5.05276,0.974482,0.0387498,0,6.16,1.7475,0.336829,4.8886,1.86428,0.474562,0,6.16,1.1866,0.644962,5.05207,0.832084,1.01592,0,6.16,1.3911,0.337063,4.95434,1.18639,0.467996,0,6.16,1.68354,0.515446,4.9198,1.73921,0.812459,0,6.16,1.69601,0.199451,4.90465,1.76385,0.208886,0,6.16,1.35426,0.49101,5.01527,1.1289,0.744816,0,6.16,1.38679,0.15761,4.89979,1.16887,0.128369,0,6.16,1.44978,0.648696,5.02546,1.30598,1.0316,0,6.16,1.17552,0.179285,4.99992,0.79493,0.17098,0,
0.0333341,7.52082,1.64807,0.191589,7.52517,1.63683,0.193876,6.16,1.47026,0.0885898,5.09067,1.34278,0.0115,0,6.16,1.18598,0.507003,5.13011,0.84691,0.750223,0,6.16,1.73236,0.656634,5.07921,1.81128,1.03095,0,6.16,1.27049,0.565443,5.15277,1.00092,0.846705,0,6.16,1.33994,0.655808,5.18843,1.12733,0.993917,0,6.16,1.26203,0.374352,4.99031,0.943066,0.5356,0,6.16,1.50421,0.549565,5.16912,1.40857,0.815479,0,6.16,1.62382,0.442903,5.13812,1.61223,0.640784,0,6.16,1.55791,0.646482,5.12981,1.49936,0.996248,0,6.16,1.47287,0.418654,5.09953,1.34736,0.600122,0,6.16,1.23171,0.265202,5.14739,0.929387,0.324191,0,6.16,1.26503,0.106089,5.18551,1.00014,0.0497167,0,6.16,1.7475,0.336829,5.00776,1.84423,0.466139,0,6.16,1.1866,0.644962,5.14883,0.85445,0.985536,0,6.16,1.3911,0.337063,5.07768,1.19872,0.454908,0,6.16,1.68354,0.515446,5.04721,1.72361,0.785676,0,6.16,1.69601,0.199451,5.03459,1.74698,0.211338,0,6.16,1.35426,0.49101,5.14656,1.14476,0.719387,0,6.16,1.38679,0.15761,5.00992,1.18016,0.131732,0,6.16,1.44978,0.648696,5.13315,1.31135,0.999044,0,6.16,1.17552,0.179285,5.13617,0.8283,0.176802,0,
0.0666681,7.52082,1.64807,0.191589,7.52371,1.6478,0.194261,6.16,1.47026,0.0885898,5.28813,1.34886,0.0241862,0,6.16,1.18598,0.507003,5.26307,0.874839,0.718923,0,6.16,1.73236,0.656634,5.23636,1.78324,0.977163,0,6.16,1.27049,0.565443,5.3599,1.03618,0.788073,0,6.16,1.33994,0.655808,5.30323,1.13978,0.953316,0,6.16,1.26203,0.374352,5.18998,0.977514,0.508303,0,6.16,1.50421,0.549565,5.35276,1.40954,0.766898,0,6.16,1.62382,0.442903,5.33719,1.59772,0.603761,0,6.16,1.55791,0.646482,5.30436,1.49228,0.937753,0,6.16,1.47287,0.418654,5.2963,1.35283,0.567676,0,6.16,1.23171,0.265202,5.31408,0.962826,0.314614,0,6.16,1.26503,0.106089,5.36762,1.03248,0.0602412,0,6.16,1.7475,0.336829,5.18667,1.81211,0.446361,0,6.16,1.1866,0.644962,5.31533,0.890371,0.930977,0,6.16,1.3911,0.337063,5.2741,1.2157,0.435191,0,6.16,1.68354,0.515446,5.17445,1.70626,0.759177,0,6.16,1.69601,0.199451,5.20019,1.72385,0.209648,0,6.16,1.35426,0.49101,5.32863,1.16508,0.678983,0,6.16,1.38679,0.15761,5.19471,1.19561,0.135638,0,6.16,1.44978,0.648696,5.29224,1.31626,0.946324,0,6.16,1.17552,0.179285,5.28958,0.864304,0.176392,0,
0.100002,7.51884,1.6578,0.191239,7.5225,1.65755,0.194601,6.16,1.47026,0.0885898,5.48385,1.36013,0.0381768,0,6.16,1.18598,0.507003,5.44727,0.920096,0.677045,0,6.16,1.73236,0.656634,5.4172,1.75663,0.91484,0,6.16,1.27049,0.565443,5.5381,1.07191,0.738292,0,6.16,1.33994,0.655808,5.46222,1.16025,0.898951,0,6.16,1.26203,0.374352,5.40245,1.02131,0.478976,0,6.16,1.50421,0.549565,5.53345,1.41485,0.719337,0,6.16,1.62382,0.442903,5.5495,1.58695,0.563891,0,6.16,1.55791,0.646482,5.49637,1.48994,0.874242,0,6.16,1.47287,0.418654,5.49365,1.36379,0.534348,0,6.16,1.23171,0.265202,5.47554,0.998502,0.305409,0,6.16,1.26503,0.106089,5.5296,1.06502,0.0686834,0,6.16,1.7475,0.336829,5.37633,1.78353,0.425586,0,6.16,1.1866,0.644962,5.48467,0.932491,0.874389,0,6.16,1.3911,0.337063,5.47153,1.23824,0.412951,0,6.16,1.68354,0.515446,5.38812,1.68239,0.705586,0,6.16,1.69601,0.199451,5.38906,1.70238,0.207872,0,6.16,1.35426,0.49101,5.50568,1.18933,0.638958,0,6.16,1.38679,0.15761,5.38222,1.21674,0.14059,0,6.16,1.44978,0.648696,5.45079,1.32553,0.894446,0,6.16,1.17552,0.179285,5.482,0.914645,0.176119,0,
0.133336,7.51884,1.6578,0.191239,7.52064,1.67237,0.195119,6.16,1.47026,0.0885898,5.62745,1.37316,0.0497629,0,6.16,1.18598,0.507003,5.55715,0.952278,0.650315,0,6.16,1.73236,0.656634,5.55244,1.74181,0.868202,0,6.16,1.27049,0.565443,5.64899,1.09807,0.706783,0,6.16,1.33994,0.655808,5.56502,1.17852,0.86237,0,6.16,1.26203,0.374352,5.56886,1.06121,0.455358,0,6.16,1.50421,0.549565,5.64864,1.42252,0.688271,0,6.16,1.62382,0.442903,5.65313,1.58602,0.542946,0,6.16,1.55791,0.646482,5.6072,1.49303,0.835678,0,6.16,1.47287,0.418654,5.6279,1.37595,0.510364,0,6.16,1.23171,0.265202,5.58072,1.02578,0.299533,0,6.16,1.26503,0.106089,5.63889,1.09174,0.0697965,0,6.16,1.7475,0.336829,5.5169,1.7672,0.408121,0,6.16,1.1866,0.644962,5.59388,0.964037,0.837247,0,6.16,1.3911,0.337063,5.6067,1.2584,0.396985,0,6.16,1.68354,0.515446,5.5442,1.67174,0.668129,0,6.16,1.69601,0.199451,5.53148,1.6913,0.206,0,6.16,1.35426,0.49101,5.63214,1.21121,0.609619,0,6.16,1.38679,0.15761,5.53543,1.23916,0.142668,0,6.16,1.44978,0.648696,5.55386,1.33559,0.858193,0,6.16,1.17552,0.179285,5.58584,0.946459,0.177389,0,
0.16667,7.51266,1.70382,0.192081,7.5225,1.65755,0.194601,6.16,1.47026,0.0885898,5.76828,1.36767,0.0550178,0,6.16,1.18598,0.507003,5.65896,0.962954,0.623692,0,6.16,1.73236,0.656634,5.66926,1.71152,0.824803,0,6.16,1.27049,0.565443,5.73929,1.10011,0.67896,0,6.16,1.33994,0.655808,5.66465,1.17758,0.823306,0,6.16,1.26203,0.374352,5.69172,1.0731,0.435236,0,6.16,1.50421,0.549565,5.7408,1.40963,0.660566,0,6.16,1.62382,0.442903,5.75554,1.56474,0.521211,0,6.16,1.55791,0.646482,5.71409,1.47645,0.797526,0,6.16,1.47287,0.418654,5.73074,1.36655,0.490205,0,6.16,1.23171,0.265202,5.67293,1.03108,0.289671,0,6.16,1.26503,0.106089,5.74201,1.09644,0.0757899,0,6.16,1.7475,0.336829,5.63001,1.7367,0.39366,0,6.16,1.1866,0.644962,5.69109,0.973744,0.799421,0,6.16,1.3911,0.337063,5.7098,1.25515,0.382818,0,6.16,1.68354,0.515446,5.66698,1.64575,0.636204,0,6.16,1.69601,0.199451,5.63286,1.66625,0.20121,0,6.16,1.35426,0.49101,5.72399,1.20867,0.585709,0,6.16,1.38679,0.15761,5.64441,1.23755,0.141899,0,6.16,1.44978,0.648696,5.65222,1.32635,0.821614,0,6.16,1.17552,0.179285,5.69734,0.960777,0.174051,0,
0.200004,7.51266,1.70382,0.192081,7.51697,1.70338,0.196196,6.16,1.47026,0.0885898,5.83066,1.39824,0.0606242,0,6.16,1.18598,0.507003,5.73666,1.00864,0.604875,0,6.16,1.73236,0.656634,5.74488,1.72627,0.79951,0,6.16,1.27049,0.565443,5.7853,1.13445,0.666859,0,6.16,1.33994,0.655808,5.71793,1.21025,0.806169,0,6.16,1.26203,0.374352,5.73281,1.10742,0.430354,0,6.16,1.50421,0.549565,5.82331,1.43817,0.639588,0,6.16,1.62382,0.442903,5.85469,1.58635,0.502776,0,6.16,1.55791,0.646482,5.76287,1.50124,0.781102,0,6.16,1.47287,0.418654,5.79313,1.39572,0.480237,0,6.16,1.23171,0.265202,5.72696,1.06831,0.286808,0,6.16,1.26503,0.106089,5.7895,1.13194,0.0782353,0,6.16,1.7475,0.336829,5.69946,1.75128,0.385993,0,6.16,1.1866,0.644962,5.74304,1.01196,0.783431,0,6.16,1.3911,0.337063,5.78592,1.28994,0.374962,0,6.16,1.68354,0.515446,5.75609,1.66288,0.616492,0,6.16,1.69601,0.199451,5.70696,1.68295,0.201558,0,6.16,1.35426,0.49101,5.77086,1.24035,0.575874,0,6.16,1.38679,0.15761,5.70391,1.26989,0.14357,0,6.16,1.44978,0.648696,5.70102,1.35435,0.80585,0,6.16,1.17552,0.179285,5.75817,1.00284,0.174426,0,
0.233338,7.5085,1.73075,0.192275,7.51349,1.73036,0.19714,6.16,1.47026,0.0885898,5.89855,1.41529,0.0651383,0,6.16,1.18598,0.507003,5.79406,1.03655,0.588293,0,6.16,1.73236,0.656634,5.81781,1.72907,0.773097,0,6.16,1.27049,0.565443,5.85847,1.1611,0.647968,0,6.16,1.33994,0.655808,5.78176,1.23131,0.783976,0,6.16,1.26203,0.374352,5.80011,1.13284,0.421641,0,6.16,1.50421,0.549565,5.86475,1.45199,0.628277,0,6.16,1.62382,0.442903,5.94012,1.59675,0.487399,0,6.16,1.55791,0.646482,5.82592,1.51248,0.759399,0,6.16,1.47287,0.418654,5.87026,1.41318,0.467596,0,6.16,1.23171,0.265202,5.792,1.09485,0.284279,0,6.16,1.26503,0.106089,5.83931,1.15362,0.0809262,0,6.16,1.7475,0.336829,5.82761,1.74819,0.376597,0,6.16,1.1866,0.644962,5.80872,1.04032,0.763198,0,6.16,1.3911,0.337063,5.85526,1.31112,0.367411,0,6.16,1.68354,0.515446,5.84001,1.66845,0.596398,0,6.16,1.69601,0.199451,5.7892,1.68726,0.201439,0,6.16,1.35426,0.49101,5.83451,1.26112,0.561511,0,6.16,1.38679,0.15761,5.78802,1.29254,0.146727,0,6.16,1.44978,0.648696,5.76503,1.37013,0.78552,0,6.16,1.17552,0.179285,5.8379,1.03696,0.175252,0,
0.266672,7.5085,1.73075,0.192275,7.51149,1.7454,0.197668,6.16,1.47026,0.0885898,5.98038,1.42583,0.0722622,0,6.16,1.18598,0.507003,5.87792,1.06283,0.569782,0,6.16,1.73236,0.656634,5.89216,1.724,0.749057,0,6.16,1.27049,0.565443,5.96867,1.19076,0.62202,0,6.16,1.33994,0.655808,5.85845,1.24714,0.758651,0,6.16,1.26203,0.374352,5.89779,1.15926,0.409128,0,6.16,1.50421,0.549565,5.93994,1.45867,0.609373,0,6.16,1.62382,0.442903,6.02736,1.59908,0.471784,0,6.16,1.55791,0.646482,5.91116,1.51717,0.732218,0,6.16,1.47287,0.418654,5.94908,1.42333,0.454551,0,6.16,1.23171,0.265202,5.90572,1.12788,0.278376,0,6.16,1.26503,0.106089,5.91239,1.1727,0.0863408,0,6.16,1.7475,0.336829,5.93487,1.74135,0.365055,0,6.16,1.1866,0.644962,5.88186,1.06355,0.739565,0,6.16,1.3911,0.337063,5.93836,1.32642,0.358171,0,6.16,1.68354,0.515446,5.9334,1.66598,0.574082,0,6.16,1.69601,0.199451,5.88572,1.6836,0.20099,0,6.16,1.35426,0.49101,5.90702,1.27596,0.545731,0,6.16,1.38679,0.15761,5.87698,1.30918,0.148503,0,6.16,1.44978,0.648696,5.88981,1.38634,0.743659,0,6.16,1.17552,0.179285,5.91842,1.06417,0.17669,0,
0.300007,7.50452,1.7579,0.192466,7.51018,1.75766,0.19809,6.16,1.47026,0.0885898,6.00512,1.42913,0.0732247,0,6.16,1.18598,0.507003,5.91984,1.07666,0.558269,0,6.16,1.73236,0.656634,5.92334,1.7217,0.73645,0,6.16,1.27049,0.565443,6.00243,1.20055,0.612759,0,6.16,1.33994,0.655808,5.88601,1.25303,0.749823,0,6.16,1.26203,0.374352,5.93812,1.17078,0.402553,0,6.16,1.50421,0.549565,5.97776,1.46223,0.597895,0,6.16,1.62382,0.442903,6.04504,1.59979,0.4672,0,6.16,1.55791,0.646482,5.94377,1.51917,0.720809,0,6.16,1.47287,0.418654,5.97601,1.42675,0.448955,0,6.16,1.23171,0.265202,5.94922,1.14153,0.274915,0,6.16,1.26503,0.106089,5.96009,1.18522,0.088349,0,6.16,1.7475,0.336829,5.94126,1.74223,0.364385,0,6.16,1.1866,0.644962,5.91077,1.07308,0.727947,0,6.16,1.3911,0.337063,5.96474,1.33151,0.354249,0,6.16,1.68354,0.515446,5.96309,1.66544,0.56595,0,6.16,1.69601,0.199451,5.92205,1.68243,0.200247,0,6.16,1.35426,0.49101,5.93678,1.28198,0.538614,0,6.16,1.38679,0.15761,5.92822,1.3186,0.148729,0,6.16,1.44978,0.648696,5.93668,1.39361,0.726705,0,6.16,1.17552,0.179285,5.94455,1.07325,0.176131,0,
