time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,p33wx,p33wy,p33wz,p33wHatx,p33wHaty,p33wHatz,converged33,p34wx,p34wy,p34wz,p34wHatx,p34wHaty,p34wHatz,converged34,
0,5.76736,3.67618,0.213685,5.81457,3.69,0.27456,5.16269,1.86,0.729276,4.87518,0.86848,1.07555,0,5.77067,1.86,0.288735,5.81992,0.752357,0.395952,0,5.59269,1.86,0.228694,5.5302,0.733281,0.298994,0,5.45055,1.86,0.699913,5.30723,0.781636,1.05319,0,5.58837,1.86,0.423719,5.525,0.751934,0.614334,0,5.80186,1.86,0.714277,5.86898,0.825777,1.06402,0,4.96183,1.86,0.013037,4.60607,0.96528,-0.0264626,0,5.89723,1.86,0.590115,6.02796,0.70583,0.893072,0,5.64168,1.86,0.551564,5.61132,0.752954,0.820962,0,5.33686,1.86,0.458804,5.12119,0.764797,0.669357,0,5.11902,1.86,0.530411,4.80337,0.857353,0.768549,0,6.04378,1.86,0.37435,6.25397,0.80295,0.529956,0,5.44684,1.86,0.210276,5.30082,0.778952,0.269095,0,4.89563,1.86,0.302528,4.48956,0.929434,0.4096,0,5.04654,1.86,0.324651,4.71322,0.915056,0.444105,0,6.05505,1.86,0.0926537,6.27967,0.753827,0.0788907,0,5.69789,1.86,0.159701,5.70283,0.768978,0.187734,0,5.27801,1.86,0.614349,5.02595,0.763104,0.920256,0,5.13572,1.86,0.019897,4.8326,0.866532,-0.0267075,0,5.99735,1.86,0.671513,6.18402,0.77252,1.01001,0,5.73643,1.86,0.461234,5.76441,0.745156,0.675947,0,5.42901,1.86,-0.016964,5.28637,0.854795,-0.0855028,0,5.23251,1.86,0.215785,4.96436,0.802963,0.277897,0,5.61325,1.86,0.04393,5.56599,0.760536,0.000747502,0,5.99024,1.86,0.260886,6.17766,0.731301,0.351453,0,5.87606,1.86,0.440229,5.99016,0.756184,0.640514,0,5.67882,1.86,0.73727,5.67657,0.859499,1.09056,0,5.49019,1.86,0.549042,5.37436,0.80548,0.807185,0,5.98651,1.86,-0.0374828,6.16679,0.770937,-0.129132,0,5.78144,1.86,0.0418842,5.83723,0.76687,-0.0019533,0,5.02242,1.86,0.166896,4.6661,0.890009,0.202425,0,5.86555,1.86,0.208714,5.97452,0.731517,0.266462,0,5.23322,1.86,0.361332,4.93997,0.716214,0.516315,0,4.82793,1.86,-0.0328186,4.40991,0.9744,-0.0940196,0,5.45396,1.86,0.339569,5.30684,0.747673,0.478499,0,
0.033334,5.74042,3.67731,0.214016,5.78784,3.69092,0.275264,5.16269,1.86,0.729276,4.89425,0.916675,1.06206,0,5.77067,1.86,0.288735,5.82202,0.838287,0.398695,0,5.59269,1.86,0.228694,5.53964,0.804313,0.300344,0,5.45055,1.86,0.699913,5.32457,0.861913,1.03327,0,5.58837,1.86,0.423719,5.53468,0.824379,0.609222,0,5.80186,1.86,0.714277,5.86998,0.897952,1.04586,0,4.96183,1.86,0.013037,4.62576,1.00733,-0.0205866,0,5.89723,1.86,0.590115,6.02616,0.780203,0.882102,0,5.64168,1.86,0.551564,5.61094,0.78573,0.813156,0,5.33686,1.86,0.458804,5.13801,0.823715,0.662106,0,5.11902,1.86,0.530411,4.81828,0.896213,0.762298,0,6.04378,1.86,0.37435,6.24387,0.862192,0.530012,0,5.44684,1.86,0.210276,5.32007,0.861647,0.270773,0,4.89563,1.86,0.302528,4.50776,0.962205,0.408378,0,5.04654,1.86,0.324651,4.73444,0.962496,0.441424,0,6.05505,1.86,0.0926537,6.2692,0.844157,0.0892096,0,5.69789,1.86,0.159701,5.71258,0.87772,0.193245,0,5.27801,1.86,0.614349,5.04115,0.807982,0.910847,0,5.13572,1.86,0.019897,4.84988,0.910153,-0.0178122,0,5.99735,1.86,0.671513,6.17742,0.830994,0.990879,0,5.73643,1.86,0.461234,5.76798,0.815357,0.667341,0,5.42901,1.86,-0.016964,5.30197,0.929083,-0.0720433,0,5.23251,1.86,0.215785,4.98758,0.868469,0.279736,0,5.61325,1.86,0.04393,5.5746,0.832588,0.0105618,0,5.99024,1.86,0.260886,6.17068,0.843001,0.353555,0,5.87606,1.86,0.440229,5.98811,0.829737,0.634418,0,5.67882,1.86,0.73727,5.6817,0.928055,1.07343,0,5.49019,1.86,0.549042,5.38958,0.88133,0.795498,0,5.98651,1.86,-0.0374828,6.15935,0.864655,-0.112852,0,5.78144,1.86,0.0418842,5.84185,0.87042,0.0100758,0,5.02242,1.86,0.166896,4.68804,0.937908,0.202945,0,5.86555,1.86,0.208714,5.97317,0.80274,0.267642,0,5.23322,1.86,0.361332,4.9631,0.779783,0.512928,0,4.82793,1.86,-0.0328186,4.4505,1.03774,-0.0838371,0,5.45396,1.86,0.339569,5.32248,0.818799,0.475423,0,
0.0666681,5.71408,3.67827,0.214358,5.77296,3.69134,0.275654,5.16269,1.86,0.729276,4.91056,0.952959,1.04842,0,5.77067,1.86,0.288735,5.82906,0.91852,0.39008,0,5.59269,1.86,0.228694,5.55124,0.867675,0.29603,0,5.45055,1.86,0.699913,5.3373,0.911299,1.01688,0,5.58837,1.86,0.423719,5.54794,0.893547,0.597951,0,5.80186,1.86,0.714277,5.87385,0.953243,1.02796,0,4.96183,1.86,0.013037,4.65257,1.05428,-0.0184698,0,5.89723,1.86,0.590115,6.02826,0.859004,0.864986,0,5.64168,1.86,0.551564,5.61784,0.821759,0.805363,0,5.33686,1.86,0.458804,5.15297,0.868353,0.65491,0,5.11902,1.86,0.530411,4.83511,0.931048,0.753069,0,6.04378,1.86,0.37435,6.24151,0.901749,0.525321,0,5.44684,1.86,0.210276,5.33719,0.927507,0.268311,0,4.89563,1.86,0.302528,4.53013,0.997685,0.404054,0,5.04654,1.86,0.324651,4.75418,1.00167,0.435065,0,6.05505,1.86,0.0926537,6.26389,0.916141,0.0903492,0,5.69789,1.86,0.159701,5.72117,0.956003,0.193317,0,5.27801,1.86,0.614349,5.05196,0.837079,0.90263,0,5.13572,1.86,0.019897,4.87344,0.960235,-0.0156888,0,5.99735,1.86,0.671513,6.17605,0.871152,0.980442,0,5.73643,1.86,0.461234,5.77506,0.88001,0.657305,0,5.42901,1.86,-0.016964,5.32439,1.01012,-0.0676171,0,5.23251,1.86,0.215785,5.01415,0.939193,0.270627,0,5.61325,1.86,0.04393,5.58616,0.899048,0.0135314,0,5.99024,1.86,0.260886,6.16718,0.9057,0.351479,0,5.87606,1.86,0.440229,5.98674,0.862172,0.623128,0,5.67882,1.86,0.73727,5.69065,0.990061,1.05235,0,5.49019,1.86,0.549042,5.40862,0.95833,0.780728,0,5.98651,1.86,-0.0374828,6.15659,0.93174,-0.106064,0,5.78144,1.86,0.0418842,5.84284,0.909707,0.0128528,0,5.02242,1.86,0.166896,4.71195,0.983628,0.200122,0,5.86555,1.86,0.208714,5.97561,0.868276,0.266627,0,5.23322,1.86,0.361332,4.98364,0.831394,0.506462,0,4.82793,1.86,-0.0328186,4.47859,1.08344,-0.0815591,0,5.45396,1.86,0.339569,5.33744,0.875733,0.469253,0,
0.100002,5.71408,3.67827,0.214358,5.76171,3.69165,0.275948,5.16269,1.86,0.729276,4.92891,0.990857,1.03286,0,5.77067,1.86,0.288735,5.83606,0.993041,0.38543,0,5.59269,1.86,0.228694,5.56468,0.933729,0.293199,0,5.45055,1.86,0.699913,5.35181,0.958841,1.0021,0,5.58837,1.86,0.423719,5.56272,0.966394,0.587328,0,5.80186,1.86,0.714277,5.88044,1.021,1.00651,0,4.96183,1.86,0.013037,4.67745,1.09701,-0.0158465,0,5.89723,1.86,0.590115,6.02885,0.896868,0.854884,0,5.64168,1.86,0.551564,5.62987,0.879118,0.792926,0,5.33686,1.86,0.458804,5.17276,0.921796,0.644555,0,5.11902,1.86,0.530411,4.85836,0.976218,0.742189,0,6.04378,1.86,0.37435,6.24028,0.964595,0.517939,0,5.44684,1.86,0.210276,5.35878,1.00348,0.267477,0,4.89563,1.86,0.302528,4.55977,1.04318,0.401105,0,5.04654,1.86,0.324651,4.77792,1.04518,0.429791,0,6.05505,1.86,0.0926537,6.2602,0.983428,0.0929375,0,5.69789,1.86,0.159701,5.7291,1.016,0.193243,0,5.27801,1.86,0.614349,5.07138,0.881784,0.889632,0,5.13572,1.86,0.019897,4.89911,1.01438,-0.0130937,0,5.99735,1.86,0.671513,6.17673,0.932239,0.968338,0,5.73643,1.86,0.461234,5.78207,0.936153,0.647491,0,5.42901,1.86,-0.016964,5.34324,1.07599,-0.059417,0,5.23251,1.86,0.215785,5.05316,1.03448,0.271634,0,5.61325,1.86,0.04393,5.59706,0.956694,0.0167907,0,5.99024,1.86,0.260886,6.16585,0.952288,0.344321,0,5.87606,1.86,0.440229,5.99049,0.906532,0.615446,0,5.67882,1.86,0.73727,5.70026,1.04903,1.03396,0,5.49019,1.86,0.549042,5.43126,1.04785,0.764845,0,5.98651,1.86,-0.0374828,6.15555,1.0044,-0.0979092,0,5.78144,1.86,0.0418842,5.85158,0.986331,0.0179394,0,5.02242,1.86,0.166896,4.74216,1.0377,0.201202,0,5.86555,1.86,0.208714,5.97932,0.940244,0.264645,0,5.23322,1.86,0.361332,5.0068,0.885773,0.500879,0,4.82793,1.86,-0.0328186,4.52225,1.14846,-0.0738861,0,5.45396,1.86,0.339569,5.35442,0.935678,0.460993,0,
0.133336,5.70345,3.67859,0.214247,5.7517,3.6919,0.276209,5.16269,1.86,0.729276,4.95022,1.03176,1.02198,0,5.77067,1.86,0.288735,5.8416,1.04064,0.383863,0,5.59269,1.86,0.228694,5.57941,1.00138,0.293772,0,5.45055,1.86,0.699913,5.35991,0.983711,0.991478,0,5.58837,1.86,0.423719,5.57265,1.01178,0.581163,0,5.80186,1.86,0.714277,5.88471,1.05922,0.995443,0,4.96183,1.86,0.013037,4.69754,1.12924,-0.0134092,0,5.89723,1.86,0.590115,6.03381,0.967978,0.838653,0,5.64168,1.86,0.551564,5.64231,0.94074,0.77965,0,5.33686,1.86,0.458804,5.18818,0.961631,0.638138,0,5.11902,1.86,0.530411,4.87934,1.01607,0.733324,0,6.04378,1.86,0.37435,6.23929,1.01306,0.512317,0,5.44684,1.86,0.210276,5.37124,1.04585,0.267621,0,4.89563,1.86,0.302528,4.58254,1.07811,0.396867,0,5.04654,1.86,0.324651,4.80427,1.09144,0.427415,0,6.05505,1.86,0.0926537,6.2585,1.03621,0.0980474,0,5.69789,1.86,0.159701,5.73753,1.06678,0.19397,0,5.27801,1.86,0.614349,5.08954,0.923507,0.878413,0,5.13572,1.86,0.019897,4.91825,1.05271,-0.0101447,0,5.99735,1.86,0.671513,6.17741,0.973066,0.956762,0,5.73643,1.86,0.461234,5.79043,0.992211,0.63868,0,5.42901,1.86,-0.016964,5.35806,1.12373,-0.0548459,0,5.23251,1.86,0.215785,5.07413,1.08718,0.271258,0,5.61325,1.86,0.04393,5.60663,0.999115,0.0216183,0,5.99024,1.86,0.260886,6.16656,1.02318,0.34174,0,5.87606,1.86,0.440229,5.9943,0.944657,0.609563,0,5.67882,1.86,0.73727,5.70628,1.0804,1.02351,0,5.49019,1.86,0.549042,5.43627,1.07148,0.755163,0,5.98651,1.86,-0.0374828,6.15558,1.05682,-0.0897997,0,5.78144,1.86,0.0418842,5.85634,1.03007,0.0215728,0,5.02242,1.86,0.166896,4.76296,1.07477,0.200282,0,5.86555,1.86,0.208714,5.98243,0.987739,0.263683,0,5.23322,1.86,0.361332,5.02693,0.931108,0.497083,0,4.82793,1.86,-0.0328186,4.54375,1.18166,-0.0710195,0,5.45396,1.86,0.339569,5.37156,0.991521,0.457353,0,
0.16667,5.67751,3.67932,0.214632,5.72564,3.6924,0.276885,5.16269,1.86,0.729276,4.95621,1.05729,1.01132,0,5.77067,1.86,0.288735,5.83855,1.08838,0.375645,0,5.59269,1.86,0.228694,5.58187,1.05203,0.290647,0,5.45055,1.86,0.699913,5.36076,1.00535,0.983291,0,5.58837,1.86,0.423719,5.57525,1.05639,0.574404,0,5.80186,1.86,0.714277,5.88182,1.09905,0.982302,0,4.96183,1.86,0.013037,4.70695,1.15365,-0.00985432,0,5.89723,1.86,0.590115,6.02833,1.03567,0.823235,0,5.64168,1.86,0.551564,5.64221,0.979919,0.775548,0,5.33686,1.86,0.458804,5.19318,0.99201,0.632977,0,5.11902,1.86,0.530411,4.88751,1.04457,0.725229,0,6.04378,1.86,0.37435,6.23011,1.0679,0.505299,0,5.44684,1.86,0.210276,5.37861,1.09558,0.263913,0,4.89563,1.86,0.302528,4.5956,1.10829,0.390044,0,5.04654,1.86,0.324651,4.81554,1.12472,0.421902,0,6.05505,1.86,0.0926537,6.24909,1.08388,0.0985191,0,5.69789,1.86,0.159701,5.73657,1.11174,0.192507,0,5.27801,1.86,0.614349,5.09577,0.954234,0.868449,0,5.13572,1.86,0.019897,4.94282,1.12045,-0.00918055,0,5.99735,1.86,0.671513,6.16941,1.0209,0.938291,0,5.73643,1.86,0.461234,5.78892,1.03785,0.630718,0,5.42901,1.86,-0.016964,5.36135,1.15807,-0.0512125,0,5.23251,1.86,0.215785,5.085,1.13087,0.267964,0,5.61325,1.86,0.04393,5.60807,1.04006,0.0236003,0,5.99024,1.86,0.260886,6.15805,1.06083,0.338932,0,5.87606,1.86,0.440229,5.991,0.996652,0.603323,0,5.67882,1.86,0.73727,5.70381,1.10436,1.01491,0,5.49019,1.86,0.549042,5.44424,1.12147,0.747675,0,5.98651,1.86,-0.0374828,6.14776,1.10849,-0.0850272,0,5.78144,1.86,0.0418842,5.85294,1.06284,0.0237979,0,5.02242,1.86,0.166896,4.77746,1.11154,0.198728,0,5.86555,1.86,0.208714,5.97837,1.03742,0.262975,0,5.23322,1.86,0.361332,5.03436,0.963418,0.491397,0,4.82793,1.86,-0.0328186,4.56292,1.2182,-0.0684385,0,5.45396,1.86,0.339569,5.3783,1.04157,0.449679,0,
0.200004,5.66702,3.67951,0.214535,5.71582,3.69251,0.277137,5.16269,1.86,0.729276,4.98625,1.12506,0.998767,0,5.77067,1.86,0.288735,5.84492,1.16077,0.373535,0,5.59269,1.86,0.228694,5.5967,1.13549,0.293281,0,5.45055,1.86,0.699913,5.37712,1.05971,0.972577,0,5.58837,1.86,0.423719,5.58929,1.13152,0.568121,0,5.80186,1.86,0.714277,5.88676,1.16034,0.969269,0,4.96183,1.86,0.013037,4.73504,1.20241,-0.000998169,0,5.89723,1.86,0.590115,6.02829,1.08155,0.817384,0,5.64168,1.86,0.551564,5.65646,1.06664,0.759068,0,5.33686,1.86,0.458804,5.21407,1.0526,0.628616,0,5.11902,1.86,0.530411,4.91853,1.10938,0.715984,0,6.04378,1.86,0.37435,6.22595,1.1326,0.503435,0,5.44684,1.86,0.210276,5.39773,1.16832,0.265764,0,4.89563,1.86,0.302528,4.62776,1.16038,0.39036,0,5.04654,1.86,0.324651,4.84484,1.18208,0.422801,0,6.05505,1.86,0.0926537,6.24515,1.14406,0.104166,0,5.69789,1.86,0.159701,5.74721,1.20107,0.19977,0,5.27801,1.86,0.614349,5.12258,1.02394,0.855132,0,5.13572,1.86,0.019897,4.98304,1.21334,0.0070537,0,5.99735,1.86,0.671513,6.1674,1.0964,0.920558,0,5.73643,1.86,0.461234,5.7968,1.11212,0.623273,0,5.42901,1.86,-0.016964,5.38214,1.23155,-0.0406367,0,5.23251,1.86,0.215785,5.10222,1.1751,0.267951,0,5.61325,1.86,0.04393,5.62104,1.11318,0.0331511,0,5.99024,1.86,0.260886,6.15589,1.13869,0.338732,0,5.87606,1.86,0.440229,5.9929,1.06654,0.598283,0,5.67882,1.86,0.73727,5.71526,1.17638,0.997184,0,5.49019,1.86,0.549042,5.45942,1.1861,0.739058,0,5.98651,1.86,-0.0374828,6.14485,1.18736,-0.0710206,0,5.78144,1.86,0.0418842,5.85874,1.12415,0.0313613,0,5.02242,1.86,0.166896,4.8134,1.1809,0.206123,0,5.86555,1.86,0.208714,5.98075,1.11274,0.264036,0,5.23322,1.86,0.361332,5.06365,1.03644,0.489272,0,4.82793,1.86,-0.0328186,4.59146,1.26268,-0.0588143,0,5.45396,1.86,0.339569,5.39881,1.12042,0.446375,0,
0.233338,5.64087,3.68014,0.214963,5.70095,3.69263,0.277518,5.16269,1.86,0.729276,5.01193,1.18846,0.978126,0,5.77067,1.86,0.288735,5.84737,1.22537,0.370036,0,5.59269,1.86,0.228694,5.60642,1.20818,0.291282,0,5.45055,1.86,0.699913,5.39466,1.13124,0.951064,0,5.58837,1.86,0.423719,5.59923,1.20167,0.558882,0,5.80186,1.86,0.714277,5.88925,1.22908,0.94783,0,4.96183,1.86,0.013037,4.759,1.24816,0.00307974,0,5.89723,1.86,0.590115,6.02754,1.182,0.794513,0,5.64168,1.86,0.551564,5.66424,1.13696,0.744744,0,5.33686,1.86,0.458804,5.23086,1.1089,0.618155,0,5.11902,1.86,0.530411,4.94124,1.16357,0.703864,0,6.04378,1.86,0.37435,6.21761,1.21829,0.492932,0,5.44684,1.86,0.210276,5.41373,1.24094,0.267135,0,4.89563,1.86,0.302528,4.65571,1.21002,0.389427,0,5.04654,1.86,0.324651,4.87148,1.23902,0.417879,0,6.05505,1.86,0.0926537,6.23791,1.21369,0.107929,0,5.69789,1.86,0.159701,5.75172,1.26888,0.198913,0,5.27801,1.86,0.614349,5.14171,1.08234,0.839485,0,5.13572,1.86,0.019897,5.00507,1.27139,0.0114963,0,5.99735,1.86,0.671513,6.16122,1.17545,0.89761,0,5.73643,1.86,0.461234,5.8,1.16941,0.61364,0,5.42901,1.86,-0.016964,5.39628,1.29416,-0.0329628,0,5.23251,1.86,0.215785,5.13073,1.25331,0.269275,0,5.61325,1.86,0.04393,5.63156,1.19318,0.0396355,0,5.99024,1.86,0.260886,6.14908,1.22521,0.334739,0,5.87606,1.86,0.440229,5.99241,1.15146,0.585836,0,5.67882,1.86,0.73727,5.72096,1.23661,0.978051,0,5.49019,1.86,0.549042,5.47138,1.24591,0.724265,0,5.98651,1.86,-0.0374828,6.13913,1.25917,-0.0618867,0,5.78144,1.86,0.0418842,5.86277,1.21471,0.0391354,0,5.02242,1.86,0.166896,4.83623,1.23038,0.203946,0,5.86555,1.86,0.208714,5.97953,1.20226,0.259965,0,5.23322,1.86,0.361332,5.08969,1.1104,0.480346,0,4.82793,1.86,-0.0328186,4.61097,1.29575,-0.0556521,0,5.45396,1.86,0.339569,5.41526,1.19637,0.440585,0,
0.266672,5.63029,3.68032,0.21486,5.68962,3.6929,0.277814,5.16269,1.86,0.729276,5.01631,1.20432,0.971396,0,5.77067,1.86,0.288735,5.84521,1.23317,0.365689,0,5.59269,1.86,0.228694,5.60584,1.22067,0.28748,0,5.45055,1.86,0.699913,5.40053,1.16136,0.940068,0,5.58837,1.86,0.423719,5.60449,1.23989,0.553631,0,5.80186,1.86,0.714277,5.88823,1.24275,0.943951,0,4.96183,1.86,0.013037,4.77617,1.28206,0.00413948,0,5.89723,1.86,0.590115,6.02503,1.24479,0.778936,0,5.64168,1.86,0.551564,5.66544,1.16044,0.736043,0,5.33686,1.86,0.458804,5.23724,1.13354,0.612227,0,5.11902,1.86,0.530411,4.94984,1.18655,0.697486,0,6.04378,1.86,0.37435,6.21389,1.23699,0.490421,0,5.44684,1.86,0.210276,5.42067,1.2768,0.262878,0,4.89563,1.86,0.302528,4.66858,1.23483,0.386066,0,5.04654,1.86,0.324651,4.87898,1.26078,0.410662,0,6.05505,1.86,0.0926537,6.23359,1.25086,0.112075,0,5.69789,1.86,0.159701,5.75579,1.31706,0.200135,0,5.27801,1.86,0.614349,5.1509,1.11265,0.829421,0,5.13572,1.86,0.019897,5.0141,1.2966,0.011491,0,5.99735,1.86,0.671513,6.15823,1.18847,0.893897,0,5.73643,1.86,0.461234,5.80109,1.19455,0.607546,0,5.42901,1.86,-0.016964,5.40319,1.32565,-0.0307352,0,5.23251,1.86,0.215785,5.13576,1.27354,0.267611,0,5.61325,1.86,0.04393,5.63651,1.23672,0.0410112,0,5.99024,1.86,0.260886,6.14595,1.24219,0.334241,0,5.87606,1.86,0.440229,5.99065,1.17688,0.580869,0,5.67882,1.86,0.73727,5.7209,1.24863,0.973754,0,5.49019,1.86,0.549042,5.47452,1.26588,0.718948,0,5.98651,1.86,-0.0374828,6.1362,1.28696,-0.0604767,0,5.78144,1.86,0.0418842,5.86479,1.28178,0.0440199,0,5.02242,1.86,0.166896,4.84657,1.25548,0.200201,0,5.86555,1.86,0.208714,5.97805,1.2483,0.257554,0,5.23322,1.86,0.361332,5.09819,1.13855,0.477271,0,4.82793,1.86,-0.0328186,4.62839,1.32508,-0.0545853,0,5.45396,1.86,0.339569,5.41751,1.21437,0.437946,0,
0.300006,5.63029,3.68032,0.21486,5.67936,3.693,0.278077,5.16269,1.86,0.729276,5.03963,1.25415,0.960938,0,5.77067,1.86,0.288735,5.85103,1.27173,0.366683,0,5.59269,1.86,0.228694,5.6207,1.29692,0.290096,0,5.45055,1.86,0.699913,5.42327,1.24873,0.921753,0,5.58837,1.86,0.423719,5.61299,1.28397,0.549694,0,5.80186,1.86,0.714277,5.89372,1.29578,0.929739,0,4.96183,1.86,0.013037,4.7952,1.31535,0.0120425,0,5.89723,1.86,0.590115,6.02409,1.3256,0.760694,0,5.64168,1.86,0.551564,5.67835,1.23915,0.72487,0,5.33686,1.86,0.458804,5.25415,1.18148,0.610292,0,5.11902,1.86,0.530411,4.97308,1.23439,0.692868,0,6.04378,1.86,0.37435,6.21206,1.28863,0.486813,0,5.44684,1.86,0.210276,5.43296,1.32123,0.265414,0,4.89563,1.86,0.302528,4.69366,1.27493,0.385087,0,5.04654,1.86,0.324651,4.90628,1.31257,0.413804,0,6.05505,1.86,0.0926537,6.23034,1.3008,0.11379,0,5.69789,1.86,0.159701,5.75948,1.347,0.201226,0,5.27801,1.86,0.614349,5.169,1.15914,0.82206,0,5.13572,1.86,0.019897,5.03715,1.34581,0.0200005,0,5.99735,1.86,0.671513,6.15726,1.25697,0.880422,0,5.73643,1.86,0.461234,5.80667,1.23566,0.603643,0,5.42901,1.86,-0.016964,5.41563,1.36842,-0.0247364,0,5.23251,1.86,0.215785,5.15182,1.31149,0.271042,0,5.61325,1.86,0.04393,5.64588,1.29202,0.0487522,0,5.99024,1.86,0.260886,6.14522,1.29788,0.333201,0,5.87606,1.86,0.440229,5.99318,1.2381,0.575791,0,5.67882,1.86,0.73727,5.73001,1.30045,0.959396,0,5.49019,1.86,0.549042,5.48961,1.3254,0.712102,0,5.98651,1.86,-0.0374828,6.13551,1.33383,-0.0515848,0,5.78144,1.86,0.0418842,5.86795,1.3403,0.0500366,0,5.02242,1.86,0.166896,4.87608,1.31077,0.207781,0,5.86555,1.86,0.208714,5.97938,1.28121,0.258348,0,5.23322,1.86,0.361332,5.11998,1.19281,0.476439,0,4.82793,1.86,-0.0328186,4.65394,1.3637,-0.0467345,0,5.45396,1.86,0.339569,5.43648,1.2843,0.435382,0,
